Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-25	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-99	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-103	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5887149	Johansson, Mattias Bäckström	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-108	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-110	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4563096	Nilsson, Jennie	F	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-117	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q50353136	Widegren, John	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-124	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4563096	Nilsson, Jennie	F	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-129	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q50353136	Widegren, John	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-135	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4563096	Nilsson, Jennie	F	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-147	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q50353136	Widegren, John	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-153	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4563096	Nilsson, Jennie	F	-	
