Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-ATNd3r5ieMr2VDFg7L8iKf	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-32	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q19976447	Cato, Jonny	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-34	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-37	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	-	-	-	-	Q18238235	Dadgostar, Nooshi	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-41	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-47	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	-	-	-	-	Q18238235	Dadgostar, Nooshi	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-50	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-54	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5556973	Anefur, Michael	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-FNcjKdrxaRqQaSXKF77XsG	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-60	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5556973	Anefur, Michael	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-62	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-65	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-69	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-74	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-77	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-80	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q71465386	Begic, Denis	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-VLQRnhbcJ33zvW3qB2iTpw	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-85	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q71465386	Begic, Denis	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-87	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-90	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	MP;Q10585380	Miljöpartiet;Miljöpartister i Svenska kyrkan De Gröna	Coalition	Centre-left	Q57168687	Berginger, Emma	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-FvH6UtwXULff9j5HdTBKhP	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-98	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	MP;Q10585380	Miljöpartiet;Miljöpartister i Svenska kyrkan De Gröna	Coalition	Centre-left	Q57168687	Berginger, Emma	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-99	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-101	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q3112958	Billström, Tobias	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-104	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-107	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q3112958	Billström, Tobias	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-110	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-113	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18237639	Bengtsson, Angelika	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-MnDrNVbuh3PTDMW6qbUr7x	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-120	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18237639	Bengtsson, Angelika	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-123	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-125	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-129	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-132	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-136	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-139	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q26305112	Forssell, Joar	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-142	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-144	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q26305112	Forssell, Joar	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-145	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-146	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q9393603	Eriksson, Åsa	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-148	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-151	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q9393603	Eriksson, Åsa	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-152	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-154	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-158	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-161	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-162	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-165	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4990884	Zander, Solveig	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-168	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-171	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4990884	Zander, Solveig	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-173	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-177	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	-	-	-	-	Q18245020	Persson, Magnus	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-180	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-183	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	-	-	-	-	Q18245020	Persson, Magnus	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-184	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-186	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q56706633	Sandell, Joakim	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-189	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-6iAhiYz3v13ffFqUA6VmnF	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q56706633	Sandell, Joakim	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-194	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-195	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q70592245	Westergren, Sofia	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-197	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-201	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q96323985	Gustafsson, Elin	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-Nx6YmW6jVh2j5PH6aFUpaj	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-207	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-211	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-214	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q42712344	Malmqvist, Josefin	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-217	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-221	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035682	El-Haj, Jamal	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-223	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
