Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-0	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-133	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-135	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-136	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-137	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-139	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-140	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-141	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-143	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-149	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-151	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-152	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-153	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-154	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-156	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-158	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-161	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-164	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-166	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-168	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-170	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-172	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-174	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-177	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-180	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-182	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-183	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-185	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-187	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-189	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-190	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-195	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-198	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-200	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-202	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-204	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-207	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-208	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-211	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-213	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-214	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-216	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-219	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-221	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-228	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-229	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-231	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
