Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-3	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-158	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035705	Lantz, Gustaf	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-170	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6039678	Pehrson, Johan	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-179	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18243853	Ling, Rasmus	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-185	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5737622	Forssell, Johan	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-195	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035705	Lantz, Gustaf	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-198	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5737622	Forssell, Johan	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-203	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035705	Lantz, Gustaf	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-206	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5737622	Forssell, Johan	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-211	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q19976447	Cato, Jonny	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-218	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5602835	Carlson, Andreas	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-230	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-253	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q65499866	Christiansson, Alexander	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-273	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6254715	Ådahl, Martin	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-289	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-292	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6254715	Ådahl, Martin	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-297	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-300	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6254715	Ådahl, Martin	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-304	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-336	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6254715	Ådahl, Martin	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-340	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-343	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6254715	Ådahl, Martin	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-WvCjjkGHou3D6zumXBcEn2	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-350	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q18238286	Damm, Sofia	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-Af47ZriKPEFcmxb4zCkGYd	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q3674337	Avci, Gulan	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-392	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-7UoZUhUyWUkxRyXvDt6bKF	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q3674337	Avci, Gulan	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-400	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-404	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q3674337	Avci, Gulan	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-407	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5577436	Björck, Patrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-418	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-421	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5577436	Björck, Patrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-424	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-427	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5577436	Björck, Patrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-429	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q3674337	Avci, Gulan	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-431	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5577436	Björck, Patrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-432	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70621742	Akhondi, Alireza	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-441	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-444	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70621742	Akhondi, Alireza	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-448	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-453	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70621742	Akhondi, Alireza	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-456	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q26710616	Köse, Serkan	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-472	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18452054	Fundahn, Marianne	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-483	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5388484	Bengtzboe, Erik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-498	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q56164156	Vinge, Henrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-521	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5388484	Bengtzboe, Erik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-524	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q56164156	Vinge, Henrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-528	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5388484	Bengtzboe, Erik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-532	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q56164156	Vinge, Henrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-537	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70621742	Akhondi, Alireza	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-551	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q56164156	Vinge, Henrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-555	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70621742	Akhondi, Alireza	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-557	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q56164156	Vinge, Henrik	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-561	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70621742	Akhondi, Alireza	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-564	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168740	Weidby, Ciczie	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-575	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q18238286	Damm, Sofia	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-586	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q57168632	Blom, Juno	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-612	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202412	Haraldsson, Johanna	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-635	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q56640168	Elmi, Leila Ali	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-643	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q56164156	Vinge, Henrik	M	-	
