ParlaMint-FR_2022-01-05-O1110.u1	The meeting was suspended.
ParlaMint-FR_2022-01-05-O1110.u31	[["Yes! » on some benches of the LR group]] [[Applause on several benches in the LT, FI and GDR groups. – Mrs Martine Wonner also applauds]] The debate had calmed down, but unfortunately, the words of the President of the Republic put oil on fire. These words are hurtful, stigmatizing, they fuel discord between the French. While some are afraid of catching covid-19, others are afraid of being vaccinated, but fear is not controlled. We must therefore reassure the French, and not push them against each other. What do we do about fraternity and social cohesion? These remarks also attack the freedom represented by the informed consent of the patient: if a procedure is imposed, it must be proportionate and useful; That is what we need to discuss. It's a matter of freedom, and we're for freedom. [[Charles de Courson raises his arms to heaven]] [[Mrs. Agnes Thill applauds]] [[Applause on the benches of the LT, LR, FI and GDR groups as well as among non-attached Members]] Finally, these disproportionate remarks attack equality: "When my freedom comes to threaten the freedom of others, I become irresponsible. An irresponsible person is no longer a citizen." It doesn't matter if he's irresponsible, he's a citizen! The law can then condemn him, but we do not have to decide who is irresponsible and who is not. [[Applause on several benches in the FI group. – Exclaims on several benches of the LaREM Group]] [[Murmures on the benches of the LaREM group]] These words struck me deeply. They have also saddened me, because popular vindiction may turn against us, especially against the deputies of the majority; I do not want to do that at all. I could do provocation by asking: "Will these citizens who are no longer in power have the right to vote in the next elections? We can ask ourselves the question. We've seen things like this before; To tell you frankly, it scares me. Finally, on the substance, we do not believe that this law is necessary. You had precisely created the sanitary pass by saying that it would avoid the obligation to vaccinate; You are now going back to that promise. [[Applause on the benches of the LT group]] In any case, I can see that the text sows discord, the bazaar in the Republic, and here in the first place. I would not like the Prime Minister to come and tell us that this will end with the use of Rule 49(3) or the blocked vote; Our discussions would not have served much. I'd rather the Prime Minister explain himself and reassure us. The President of the Republic said in December that he had changed; I'd like to believe it.
ParlaMint-FR_2022-01-05-O1110.u32	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2022-01-05-O1110.u33	[[Murmures on several benches of the LaREM group. – Mr. Nicolas Dupont-Aignan applauds]] [[Brouhahaha]] Ladies and gentlemen, I would like to share with you a quote from Camus in The Revolted Man: "Any form of contempt, if it intervenes in politics, prepares or introduces fascism. I do not think that the words reported in the interview of the Head of State reflect contempt for our fellow citizens, but I hope that the President of the Republic can clarify his thinking and apologize to our fellow citizens who have felt despised by his words. As was said last night, a political leader represents those who elected him, but also those who did not vote for him. Today we must come together. Last night, we managed to adopt almost unanimously an amendment by my colleague Cécile Untermaier allowing young people between the ages of 12 and 15 to retain an area of freedom by continuing to engage in sports and leisure activities, which I welcome, for it has been a long time since our assembly found such a consensus.
ParlaMint-FR_2022-01-05-O1110.u34	That's not true!
ParlaMint-FR_2022-01-05-O1110.u35	Lie!
ParlaMint-FR_2022-01-05-O1110.u36	[[Applause on the SOC benches]] This had not happened in a long time; You can check in the annals. We will listen and question the Prime Minister later. In the meantime, we agreed to resume work on the issue of the 12-15 years that we had begun last night and that we did not have time to finish. In any case, I would ask the minister delegate to convey the following message: we wish the President of the Republic to speak out in response to the contempt felt by many citizens and, if this contempt was voluntary – which I dare not conceive – to apologize to our fellow citizens.
ParlaMint-FR_2022-01-05-O1110.u37	Mr Jean-Christophe Lagarde has the floor.
ParlaMint-FR_2022-01-05-O1110.u38	As far as the IDU Group is concerned, we hope that the work can resume, despite two profound regrets. The first is that contempt for the National Assembly, which is the trademark of this quinquennium and which the docility of the majority only makes easier,...
ParlaMint-FR_2022-01-05-O1110.u39	That's so true!
ParlaMint-FR_2022-01-05-O1110.u40	[[Applause on the benches of the IDU-I and FI groups. – Protests on the benches of the LaREM group]] ... led the Prime Minister to speak before the Senate before condescending to come before the National Assembly.
ParlaMint-FR_2022-01-05-O1110.u41	There are questions to the government!
ParlaMint-FR_2022-01-05-O1110.u42	It would have been easy for him to come yesterday to appease things;...
ParlaMint-FR_2022-01-05-O1110.u43	You weren't even here!
ParlaMint-FR_2022-01-05-O1110.u44	[[Exclaims on the banks of the LaREM Group]] ... he didn't want to do it, which brings us to this situation. The Government explains to us that there is an urgent need – Mr.Véran reminds us regularly, and I think he is right. Does the bill respond to this emergency? That is the subject of the debate that we wish to see resumed. But – and this is my second regret – if there is an emergency, the executive would have done better to avoid our debates being delayed twice. The day before yesterday, it was because your parliamentarians were sleeping too early (Applause on the benches of the IDU-I group and on several benches of the LR and FI groups. – Protests on the benches of the LaREM group);...
ParlaMint-FR_2022-01-05-O1110.u45	Liar! Liar!
ParlaMint-FR_2022-01-05-O1110.u46	... yesterday, it was because your President of the Republic opened it a little too much, expressing his contempt for the French population, thus committing a fault in regard to his institutional function. [[Mrs Agnes Thill and Mr François Ruffin applaud]] [[Applause on several benches of the IDU-I and FI groups and on a few benches of the LR group]] It is written in the Constitution that the President of the Republic is the guarantor of the unity of the French; Not French minus one, not French minus 1 million, not French minus 6 million! He is supposed to be the President of all the French; With this interview, he gave up being one, since he decreed that a part of our fellow citizens were no longer French whose, as Head of State, he felt responsible. [[Applause on the benches of the UDI-I group, on several benches of the GDR and FI groups and on a few benches of the LR and SOC groups]] Here is the real irresponsible: he resides at the Elysée.
ParlaMint-FR_2022-01-05-O1110.u47	Mr. Patrick Mignola has the floor.
ParlaMint-FR_2022-01-05-O1110.u48	He woke up!
ParlaMint-FR_2022-01-05-O1110.u49	Before saying a few words which I hope will prompt us to resume our work,...
ParlaMint-FR_2022-01-05-O1110.u50	Impossible!
ParlaMint-FR_2022-01-05-O1110.u51	[[Protests on the benches of the IDU-I group]] [[Applause on the benches of the Dem and LaREM groups]] ...I want to give a personal thought: for forty-eight hours – and I will admit that the responsibilities are shared among all – the National Assembly has not shown a good image of itself. It is time to put an end to this melodrama which is echoed in the media and which does not grow up in Parliament. [[Exclaims on FI banks and on several LR banks]] Unlike President Lagarde – for whom I have the greatest respect and friendship, he knows – it seems to me quite logical for the Prime Minister to attend to current issues in the Senate and then join us; You have to respect both rooms!
ParlaMint-FR_2022-01-05-O1110.u52	He should have come last night!
ParlaMint-FR_2022-01-05-O1110.u53	Pending his arrival, there is nothing to compromise the continuation of a debate on the living conditions of adolescents, who, just before 20 hours yesterday, had reached a consensus.
ParlaMint-FR_2022-01-05-O1110.u54	No, no consensus!
ParlaMint-FR_2022-01-05-O1110.u55	[[Applause on the benches of the Dem group and on several benches of the LaREM group. – Protests on the benches of the LR and FI groups]] Collective work does not prevent differences. I want to say this to the oppositions, even to those who are furthest from supporting the Government: we can work together, even if it is to show differences. It must be done, as it is true that every hour that passes, every hour that we lose, it is 12 dead and 12,000 more contaminated.
ParlaMint-FR_2022-01-05-O1110.u56	[[Exclaims on various benches]] A request for suspension was made by President Panot; She's right. I would remind you that each group is entitled to two suspensions per session.
ParlaMint-FR_2022-01-05-O1110.u57	The meeting was suspended.
ParlaMint-FR_2022-01-05-O1110.u58	The meeting was resumed. Mr Sebastien Jumel has the floor for a point of order.
ParlaMint-FR_2022-01-05-O1110.u59	It is based on Rule 48 of the Rules of Procedure. [[Applause on several benches in the FI group. – Mrs Martine Wonner also applauds]] Of two things one: either we consider the Prime Minister's speech important and structuring, including for the organisation of institutions – its mission is indeed to set the course of government policy; or it is of marginal importance and is of no use. In our view, the word of the Head of Government is important under the Fifth Republic. That is why we believe that we cannot resume our work until we have heard the Head of Government on the main objectives of its twelfth text on the management of the health crisis. [[Applause on the benches of the GDR and FI groups. – Mrs Martine Wonner also applauds]] I come to the attempt to bring the burden of the drama caused by the crisis to the oppositions. The Government spokesman, in particular, has dared to claim this morning that we have been responsible for this or that for two years. But two years ago, there were no tests, no masks, no vaccines! Two years ago, you were in the most complete artistic blur! Putting responsibility for all your evils and all your turpitudes on the French, it can't do the trick! [[Applause on the benches of the GDR and FI groups]] I recall the spirit of the communist group: we are in favour of vaccination. We make proposals for this text to take care of people: go to meet each non-vaccinated person to convince him; generalize the wearing of the FFP2 mask to the most vulnerable audiences and the most at risk professions; refund the tests which, according to what I understood with the omicron variant, are the only way to avoid the spread of the virus; rearm the hospital – because by pouring tears of crocodile on hospital tensions, you forget to say that all the caregivers regret you for not having taken into consideration the alarm cry they have been making, not for two years, but since the beginning of the quinquennium. Since the beginning of the legislature, we have been drawing your attention to hospital degradation and the abyss in which it is located. I therefore ask for a suspension of the meeting, pending the words, not of the providential man, but of the head of Government, who must inform us of the objectives of the text he presents.
ParlaMint-FR_2022-01-05-O1110.u60	You don't have the group delegation, Mr. Jumel.
ParlaMint-FR_2022-01-05-O1110.u61	I am making this request on behalf of President Chassaigne here!
ParlaMint-FR_2022-01-05-O1110.u62	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2022-01-05-O1110.u63	I welcome the statements made by most of the group presidents, including the opposition, who called for no more time to be wasted. I will not go back to the urgency of the situation: everything has been said about it. [[Applause on a few benches of the LaREM group]] In a purely formal way, the amendments we are proposing to deal with are, for the most part, in keeping with the continuity and logical continuation of the amendment adopted yesterday before 20.00 p.m., which reached a very broad consensus in the national representation since it was adopted unanimously minus two votes, including, Mr Jumel, by the Members of the Communist Group. These amendments do not pose any substantive problems, which is why I propose that you move forward in the discussion pending the arrival of the Prime Minister.
ParlaMint-FR_2022-01-05-O1110.u64	You're not answering!
ParlaMint-FR_2022-01-05-O1110.u65	[[Mr. Jean-Luc Mélenchon applauds]] [["One hour! »on the benches of the GDR group]] The suspension requested by Mr. Jumel is ex officio. So I'm going to suspend the meeting for five minutes, and not one more.
ParlaMint-FR_2022-01-05-O1110.u66	The meeting was suspended.
ParlaMint-FR_2022-01-05-O1110.u67	The meeting was resumed. Mr Eric Coquerel has the floor for a point of order. On what basis, please?
ParlaMint-FR_2022-01-05-O1110.u68	On the basis of rule 48, paragraph 11, of the Rules of Procedure, Madam President. As the Rules of Procedure give me the right to do so, and for the same reasons as those which gave rise to previous requests, I would like the House to take a decision on a request for suspension of the sitting. I object to the argument that it would be necessary to pass the bill as quickly as possible, on the grounds that every hour that passes sees an increase in the number of people infected. [[Exclaims on a few benches of the LaREM group]] Indeed, there is already a health pass requiring either vaccination or a negative test: the introduction of a vaccination pass, which is equivalent to compulsory vaccination, will clearly not prevent such contamination, which was the stated objective. But the head of state highlighted another one, that of punishing the non-vaccinated, of "wronging them". In order to inform the debate, I therefore expect the Prime Minister to come and tell us what the real objectives of the Government are.
ParlaMint-FR_2022-01-05-O1110.u69	What is the connection with article 48, paragraph 11, concerning the modification of the agenda by the Government?
ParlaMint-FR_2022-01-05-O1110.u70	I note, Mr Coquerel, that you are resorting to all the subtleties of our Rules of Procedure – which do not fail to exist. You are not asking for a suspension on behalf of your group, which would exhaust your quota – I explain the text at the same time – but for the House to decide on a request for suspension. I will therefore ask the House to vote...
ParlaMint-FR_2022-01-05-O1110.u71	By public ballot!
ParlaMint-FR_2022-01-05-O1110.u72	[[Laughs and applause on the benches of the LaREM and Dem groups and on a few benches of the LR group]] This is probably better, indeed: we must not abuse good things! On this request for suspension of the sitting, the vote is announced in the National Assembly.
ParlaMint-FR_2022-01-05-O1110.u73	We have to wait five minutes before we vote!
ParlaMint-FR_2022-01-05-O1110.u74	Please return to your place, without rushing, because we have all the time... Five minutes, five minutes!
ParlaMint-FR_2022-01-05-O1110.u75	If that's not obstruction!
ParlaMint-FR_2022-01-05-O1110.u76	We shall proceed to the vote. The question is simple: are you for or against suspension?
ParlaMint-FR_2022-01-05-O1110.u77	Five minutes, Madam President!
ParlaMint-FR_2022-01-05-O1110.u78	I put to the vote the request for suspension of the sitting.
ParlaMint-FR_2022-01-05-O1110.u79	The result of the vote is as follows: Number of voters 335 Number of votes cast 324 Absolute majority 163 For suspension 41 Against 283
ParlaMint-FR_2022-01-05-O1110.u80	Good job!
ParlaMint-FR_2022-01-05-O1110.u81	I call Mr Molac to support Amendment No. 648.
ParlaMint-FR_2022-01-05-O1110.u82	The aim of Jean Lassalle's amendment is to consider that, while the text of the bill was amended, during its examination in committee, so as to allow young people to access school leave without being stigmatized in their classrooms – upon presentation, at their option, of a negative test or a complete vaccination scheme – it is urgent to recall that these leavers are indispensable and must be – as far as possible and except for special measures – kept in the midst of a health crisis. Indeed, while the Government prides itself on providing young people with the opportunity to attend normal school on the condition that they comply with health measures – that is, to agree to test themselves or to immunize themselves – this promise is illusory. Worse, it is ultimately a trap, because the existence of a sanitary pass becomes the pretext for which some academies prohibit schools from going out to school subject to its presentation. Thus, some – for example in Versailles – have been recommended by their academy not to organize outings forcing young people to have a sanitary pass. Despite the Government's promises to motivate young people, it does not help. Worse, he stigmatizes them and deprives them of the activities they need to discover new horizons and establish links with their comrades and teachers. After the many periods of confinement and the distance education they have already had to undergo, this is completely unacceptable. That is why we wish to warn the Minister of National Education, Youth and Sports: the additional measures proposed by the Government should not prevent young people from taking full advantage of their schooling. As for academies, they must follow national recommendations and not create inequalities.
ParlaMint-FR_2022-01-05-O1110.u83	Mr Jean-Pierre Pont, rapporteur of the Committee on Constitutional Laws, Legislation and General Administration of the Republic, gave the opinion of the Committee.
ParlaMint-FR_2022-01-05-O1110.u84	Unfavorable opinion.
ParlaMint-FR_2022-01-05-O1110.u85	Mr François Ruffin has the floor for a point of order. On what basis?
ParlaMint-FR_2022-01-05-O1110.u86	[[Protests on the benches of the LaREM group]] It is based on Rule 48, paragraph 11, of the Rules of Procedure and concerns the proper organisation of our debates. The amendment that has just been discussed is technical and has little connection with the substance of the debate and the broader political question raised since yesterday evening, at 20.00 p.m.: is the aim of the text to bother some of the French by excluding them from citizenship?
ParlaMint-FR_2022-01-05-O1110.u87	That's not a point of order! I'm sorry, Mr. Ruffin, but this is not a point of order.
ParlaMint-FR_2022-01-05-O1110.u88	Yes!
ParlaMint-FR_2022-01-05-O1110.u89	[[Applause on a few benches of the LaREM group]] The groups have already spoken. I cannot leave you the floor for a point of order that is not a point of order.
ParlaMint-FR_2022-01-05-O1110.u90	I'm asking for a session suspension!
ParlaMint-FR_2022-01-05-O1110.u91	Mr Jean-René Cazeneuve has the floor to support Amendment No. 651.
ParlaMint-FR_2022-01-05-O1110.u92	It aims to extend to business restaurants the obligation to pass vaccinations, with a double objective: to establish equity – the risk is the same regardless of the type of restaurant, as long as the mask is removed to eat – and to protect and strengthen the protection of companies and their employees.
ParlaMint-FR_2022-01-05-O1110.u93	What is the opinion of the committee?
ParlaMint-FR_2022-01-05-O1110.u94	Request for withdrawal or unfavorable notice. Very strict rules apply to collective catering – in particular the requirement of a two-metre distancing – which does not take place in restaurants. So we can't compare the two situations.
ParlaMint-FR_2022-01-05-O1110.u95	What is the Government's opinion?
ParlaMint-FR_2022-01-05-O1110.u96	We have of course asked ourselves the same question, but, as the rapporteur rightly pointed out, the very specific health protocol that applies to business restoration is likely to limit the risks. In addition, it is very complicated to deny people who do their day of work the opportunity to eat. With regard to the occupational health pass, I would like to point out that no consensus has been reached with the employee and employer organisations – we will come back to that. I therefore invite you to withdraw your amendment.
ParlaMint-FR_2022-01-05-O1110.u97	I call for a vote on a request for suspension of the sitting!
ParlaMint-FR_2022-01-05-O1110.u98	You don't have your group's delegation, Mr. Ruffin!
ParlaMint-FR_2022-01-05-O1110.u99	Each Member of Parliament can make this request on an individual basis!
ParlaMint-FR_2022-01-05-O1110.u100	We still need a green leaf!
ParlaMint-FR_2022-01-05-O1110.u101	The meeting was suspended for two minutes.
ParlaMint-FR_2022-01-05-O1110.u102	The meeting was resumed. I have before me eight amendments, Nos 627, 667, 86, 93, 127, 358, 444 and 687, which can be discussed jointly. Amendments Nos 627 and 667 are identical. Amendments Nos 86, 93, 127, 358, 444 and 687 are identical. Mrs Cécile Untermaier has the floor to support Amendment No. 627.
ParlaMint-FR_2022-01-05-O1110.u103	Presented by the Socialist and related group, it aims to maintain the health pass for access to interregional public transport. Indeed, the application of the vaccination pass in these transports would de facto deprive the 10% of the French population who do not have a complete vaccination scheme of their ability to go and come. It would also lead to absurd cases: one could travel without vaccination pass within large areas such as New Aquitaine and Occitanie, but it would be required to travel from Mâcon to Villefranche-sur-Saône, two cities 40 kilometres away but located in two different regions. In its opinion, the Conseil d'État states that this provision "is likely to substantially affect their freedom to go and come and their right to respect for private and family life". However, these transports are a vehicle for economic and social integration and for maintaining private and family ties. It seems to us excessive to exclude from access to interregional public transport the population who are not vaccinated but who are able to present a health pass. The health pass should therefore be maintained. This is the subject of this amendment.
ParlaMint-FR_2022-01-05-O1110.u104	Mrs Emilie Cariou has the floor to support Amendment No. 667.
ParlaMint-FR_2022-01-05-O1110.u105	[[Smile. – Mr. François Ruffin applauds]] We are at the heart of the trouble of the French, if I may say so. The provisions we are talking about would prohibit people who are not vaccinated but who are potentially negative to covid-19 from travelling, while people who are vaccinated and positive – who do not necessarily know – will be able to do so. It's aberrant. [[Ms. Muriel Ressiguier applauds]] The amendment, identical to that of Mrs Untermaier and that which Mr Molac had defended in the Committee on Laws, aims to maintain the health pass for access to interregional public transport. You have used us so much to liberticide measures that we are reduced to prefer this mechanism, which is less binding, in the end, than the outliers and incoherent measures proposed in the bill. [[Mrs. Agnes Thill applauds]] Indeed, it is incoherent to prohibit certain French people who are not sick, who are even potentially negative and therefore not dangerous from a medical point of view, from exercising their fundamental right to move in their own country – especially since the purpose of this journey may be to go to a loved one who would be ill. Therefore, the obligation to present a health pass must be maintained. An unvaccinated person – which I regret personally, because I am for vaccination, as you know, minister – but negative could still travel.
ParlaMint-FR_2022-01-05-O1110.u106	We come to a new set of identical amendments. Mr Nicolas Meizonnet has the floor to support Amendment No. 86.
ParlaMint-FR_2022-01-05-O1110.u107	I agree with the arguments that have just been put forward. The amendment aims to exclude interregional public transport from the scope of the vaccination pass. The Council of State itself, sometimes recalling the role it must play, states in its opinion on the bill that this provision "is likely to cause substantial damage to their freedom to come and go", fundamental freedom guaranteed by Article 13 of the 1948 Universal Declaration of Human Rights, adopted by the United Nations General Assembly at the Palais de Chaillot, a few hundred metres away. We do not want to withdraw this freedom from the 5 or 6 million of our compatriots whom, unlike you, we do not want to piss off. Among them, there are assets that travel for work or people who go to the bedside of a loved one. Beyond thinking about freedom, have you thought about the absurdity of such a measure, minister? Thus, I could, without vaccination pass, leave from Nîmes, located in my department of Gard, to go to Perpignan in the Pyrénées-Orientales, that is 204 kilometers and two and a half hours by train. On the other hand, I could not reach Avignon de Nîmes, which is only 45 kilometres away, because they are not in the same region. Everyone can appreciate the relevance of this provision. That is why we are calling for its abolition.
ParlaMint-FR_2022-01-05-O1110.u108	I call Mr Fabien Di Filippo to support Amendment No. 93.
ParlaMint-FR_2022-01-05-O1110.u109	As you have understood, the oppositions are very constructive and willing to move forward, helping you to restore a minimum of credibility to the bill after the lamentable words published last night. The balance between health protection and the life of the country must be preserved, not to try to twist the arms of our fellow citizens, to despise them, to "wrong them" them, in the words of the President. My Socialist colleague pointed out that transport is a very particular sector since it allows everyone to find their family, go to work and exercise the constitutional freedom to come and go. Ms. Cariou said this very well: in the current circumstances, with the circulation of the omicron variant, people who have obtained a negative result in a test carried out in the last 24 hours are not likely to contaminate more people than those with a complete vaccination schedule. Common sense must be restored in order to restore a minimum of credibility to your text, without which it will continue to suffer from all the ills we have accused it of since we started the debates three days ago.
ParlaMint-FR_2022-01-05-O1110.u110	Madam President!
ParlaMint-FR_2022-01-05-O1110.u111	Identical amendments No 127 by Mrs Laurence Trastour-Isnart, 358 by Mr Marc Le Fur and 444 by Mr Sébastien Chenu are defended.
ParlaMint-FR_2022-01-05-O1110.u112	[[Protests on the benches of the LaREM group]] I'm asking for a point of order!
ParlaMint-FR_2022-01-05-O1110.u113	If you will allow me, Mr President, I shall conclude my examination of the amendments under joint discussion.
ParlaMint-FR_2022-01-05-O1110.u114	The point of order has priority!
ParlaMint-FR_2022-01-05-O1110.u115	You cannot stand in the way of the continuation of the procedure. The floor is for Mrs Martine Wonner and for her own sake, in support of Amendment No 687.
ParlaMint-FR_2022-01-05-O1110.u116	[[Exclaims on the banks of the LaREM Group]] Unfortunately, as a non-attached Member of Parliament, I was unable to make a point of order on this subject, but before defending the amendment, I would like to say how shocked I was by the words of the President of the Republic, whom we heard yesterday, who bruised and upset many of our fellow citizens. Similarly, I was deeply shocked...
ParlaMint-FR_2022-01-05-O1110.u117	You're shocking us by your words, Mrs. Wonner!
ParlaMint-FR_2022-01-05-O1110.u118	... to hear once again President Castaner invoke the number of dead persons.
ParlaMint-FR_2022-01-05-O1110.u119	You didn't have to vote for him!
ParlaMint-FR_2022-01-05-O1110.u120	[[Protests on the benches of the LaREM and Dem groups]] I would remind you that early treatments exist and if you are treated early, you will never be admitted to the hospital, let alone resuscitation.
