ParlaMint-NO_2011-11-25.ana.ud135e39	The representative, Frank Bakke-Jensen, will present a proposal for a representative.
ParlaMint-NO_2011-11-25.ana.ud135e205	The proposers shall include, inter alia: starting from the 3 p.m. target and, in particular, the responsibility of industry to achieve this. The government has retained the 3 pst. goal as a vision, which also applies to the rest of Europe. It's a vision that our part of the world needs to raise its level of competence and knowledge if we're going to get involved in international competition. We see that many countries in Europe have major problems, high unemployment, and they have not been able to compete in markets that require a high level of competence. Norway has a different situation. Our society is adaptable and highly productive. We share the 3 pst. vision in the long term because it is important not to rest on their laurels, but the situation in Norway is not precarious. It is difficult to find good arguments that we need a rapid conversion of Norwegian business and economics. The government is facilitating the strengthening of established business and the emergence of new business. It takes place through general initiatives independent of industry and themes, but also through cross-cutting technologies, which are important for the whole range of business, such as nanotechnologies, biotechnology and ICT. Let me also mention two initiatives in which the government, through public research and innovation efforts, stimulates Norwegian business to develop green solutions. We do this because it is good for the environment and good for Norwegian competitiveness and Norwegian jobs. Through the environmental technology initiative and the FME scheme – research centres for the environment-friendly energy system – we encourage academic environments and business actors to work together on concrete issues in the field of the environment and energy. Taking good ideas from our academic environments into commercialisation must of course be part of this, but it is much more complex than counting the number of new businesses and patents. It's also about nurturing our strong clusters, where knowledge forms and flows between established industrial and academic environments. R & D efforts in Norwegian business are lower than those in the other Nordic countries, despite the substantial increase in public R & D aid to enterprises in recent years. I should like to see industry's research efforts further increased, and, of course, I have dialogue with my colleagues in the government, as some people have missed here, and with business even on these issues. Although we have a competitive business with significant adaptability, a business that has been successful in recent years, it is important that the entire business community recognises that competence, education and research will play a crucial role in our innovative capacity in the future. Then to the representatives' proposals: FORNY2020 started on 1 January 2011. The programme has taken important steps to facilitate the commercialisation of research results. I therefore do not see the need for a plan to strengthen the FORNY programme right now. Now we first have to let the new program work. Point 2 of document 8:148S asks the government to present a strategy for strengthening incentives for commercialising research results. Let me say that there already exists a wide range of tools for commercialising just research results. In addition, this issue indicates a somewhat narrow perspective on how we will succeed in increasing value creation and innovation based on public research efforts. Such a strategy should be fattened beyond commercialisation. It is about developing a dynamic cooperation that provides learning and knowledge transfer between higher education, research and business. This perspective will be shared with us in the work on the new Research Communication. The Government is asked in paragraph 3 to incorporate commercialisation as part of the award criteria for research funding in universities and colleges. This issue has already been addressed in two sessions with sector representatives. The conclusion is that such an indicator is considered to have a low incentive effect. I would therefore not recommend the introduction of such an indicator. However, for next year’s research survey, I would like to assess whether there are indicators that provide a good comparison between institutions and countries in terms of commercialisation of research. In paragraph 4, the government is asked to ensure that higher education institutions report on the commercialisation of research results. Such a reporting scheme is already in place here. In paragraph 5, the government is asked to introduce a direct deductibility scheme for R & D investment. Here I would like to show that we have a favourable tax treatment for research and development costs through the TaxFUNN scheme. In paragraph 6, the Government is asked to strengthen the Tax FUNN scheme. The expenditure of this scheme is estimated at 1.3 billion in 2012. kr. We therefore provide substantial support for the cost of research and development to industry. This is what we are going to do, and we want to continue with the broad measure of the tax FUNN scheme. But we are not in favour of further enlargements that will lead to a sharp increase in expenditure. The gift-enhancing mechanism is for budgetary treatment in Stortinget. With regard to strengthening the BIA programme, it is not appropriate, from the government's point of view, for us to set up several programmes similar to the BIA, targeting the same target audiences. We have taken action to improve the design of the instruments and, of course, we will continue to develop research policy for the purpose of value creation and innovation in the context of the research communication.
ParlaMint-NO_2011-11-25.ana.ud135e233	It is opened for line chord shift, limited to up to four lines. The first representative is Tord Lien. So it's drawn two lines from the Right, and the President asks to clarify it. It was the representative Tetzschner who drew himself first to line up, and then it is well that he gets that line. It'll be a little negotiation meeting. So we go to the line from Trond Lien, and then we get to who's going to take the Right Line afterwards.
ParlaMint-NO_2011-11-25.ana.ud135e237	The quorum is high in the Progress Party, President. The councils will be aware that at NTNU's campus on Glöshaugen, we have something called the Valley of Death. It is also a well-known concept in the innovation and seed communities. So the Dal of Death is about how much good commercial technology comes from Norwegian universities and colleges, and then falls into this Valley of Death and does not come out and be implemented in the market. I said in my speech – and I am absolutely convinced of it – that in this debate, the Council of States must also engage Trond Giske in the Ministry of Economic Affairs and Trade. However, the Council of State itself has an important instrument, namely the technology transfer companies, the TTOs, at the major Norwegian universities, and eventually at the colleges. Is the State Council comfortable with the situation there and the limited resources available in the same institutions?
ParlaMint-NO_2011-11-25.ana.ud135e248	It's absolutely right that we have the TTO systems. We just have them to help the measures and ideas through this Valley of Death, with which I am well acquainted. Now, I guess it's probably not supposed to make everyone manage to get through. There must be a certain priority here. The purpose of TTO is just to establish a system that can help the companies that want to establish themselves to come up with those ideas. Of course, I will consider the efforts of the TTO at all times, depending on both the amount of applications and the complexity of the challenges that this establishment poses. But here it is also important that both working life and academics work together. We have many good examples of how this can be done, including from other countries. I've tried to get into this and I certainly believe that we can have something to learn from the experiences of other countries, but also from good experiences done in the NTNU environment.
ParlaMint-NO_2011-11-25.ana.ud135e255	Then it is clear that the next replicator will be the representative Henning Warloe. It looks like we'll also have room for the representative Michael Tetzschner.
ParlaMint-NO_2011-11-25.ana.ud135e258	The government has this year published the Research Barometer for the first time. That is a positive measure. It was also one of the measures taken by the Fagerberg Committee as a recommendation in its investigation. The Fagerberg committee didn't talk much about the results of research, as many might have expected in advance. But the government's research barometer doesn't say much about research results either. I don't know if the Minister of Research had thought of it that way. I think at least that when such a good publication comes, with 100 pages of interesting material, of which a chapter is called ‘What results does R & D work?’ and it consists of two pages on a magazine, it doesn’t give the impression that the government is rather so much concerned about focusing on the results, such as the results. Commercialisation is.
ParlaMint-NO_2011-11-25.ana.ud135e265	In the government, we don't count sides, but we're looking at what's on them. As far as the Research Barometer is concerned, it is important that there is a new response – the idea comes from the Fagerberg Committee. The intention is of course to develop this further, so that it becomes a good measuring instrument. I am very pleased with the pink representative Warloe is just giving to the Research Barometer, because in our opinion it is very one-sided to measure the research only by percentage and only by narrow and narrow targets that are difficult to control by. It is much better for all those involved in research policy and research to get the best possible dissemination of the criteria it is measured by. Here, of course, we will accept all the good input into the further development of the Research Barometer, and we have it as an important tool and instrument of governance in the years to come.
ParlaMint-NO_2011-11-25.ana.ud135e272	The next replicant is the representative Michael Tetzschner, and the last replicant is the representative Tord Lien. The representative will have to take the line from the speaker's chair down.
ParlaMint-NO_2011-11-25.ana.ud135e275	I thought it was posts I got.
ParlaMint-NO_2011-11-25.ana.ud135e280	All right, all right, all right. All right, all right. All We're still in the loop. If the representative wants the line he has requested, he will have it.
ParlaMint-NO_2011-11-25.ana.ud135e283	I'll wait.
ParlaMint-NO_2011-11-25.ana.ud135e288	Then we move on to the next replicator, the representative, Tord Lien, who is the last replicate recorded.
ParlaMint-NO_2011-11-25.ana.ud135e291	I fully agree when the Council of State says this must be about the companies that can cope with commercialisation. But now it is still such that we flag out significant parts of the technology and commercializable projects developed at Norwegian universities. There are two reasons for that. One is that we are the best in the EU class to deal with EU legislation – and this may be true, as the Council of State often points out, that there are budgetary priorities that are the reason for it, that we spend too little money to ‘bridge the gap’. The second reason is that there is simply a lack of technologists in Norway. We have too little skilled workers, but we also have far too little civil engineers to be able to commercialize all of these ideas. I hope that the Council of State is not comfortable with this situation, that even those companies that are commercialised are not commercialised in Norway, but are commercialised in other countries.
ParlaMint-NO_2011-11-25.ana.ud135e302	The aim of the government is, of course, to help with the best possible commercialisation here in Norway where the companies are and where the academic institutions are, where the ideas are often hatched. So that's the goal, and that's also why we have established these arrangements. Since NTNU and the Trondheims environment are often highlighted as good examples, where there are also many good ideas, I would like to mention that there is also a system for the capitalisation of research results, Investinor, which is an important part of the overall picture that we must imagine when we are both going to help companies up and down when they come up with new ideas, and also have a good system for capitalising research efforts. So here it's just to stand on, both by finding good ideas and helping businesses to get good commercialization of the results. Then we're going to hope that society is served with the good results that come out, and that knowledge and new products will be useful for further social development.
ParlaMint-NO_2011-11-25.ana.ud135e309	Then the representative of Warloe has requested the last line, and that will be the occasion.
ParlaMint-NO_2011-11-25.ana.ud135e312	Thank you, President. We'll have to take advantage of the occasion. When the Council of State is here and is available and waiting for a line, she must of course also have it. I want to capture the government's research report, which Stortinget adopted in 2009. There is also something about commercialisation, although it is also far behind and relatively limited. It says: ‘Commercialisation from Norwegian universities and colleges, health companies and research institutes shall be at least at level with comparable countries.’ I assume the Council of State agrees that among comparable countries, for example, we can find. Our neighbouring country, Sweden, Finland, Denmark, which not only has a significantly stronger focus on research but also has a commercialisation culture and obviously more success in commercialising its research than we do in Norway. What is the status now, two years after the adoption of the Research Communication, and is the Council satisfied with the situation?
ParlaMint-NO_2011-11-25.ana.ud135e326	For the sake of order, the President will draw attention to the fact that when four lines are given rise, the representative must not feel it as a coercion, that is an occasion.
ParlaMint-NO_2011-11-25.ana.ud135e329	Nor is it necessary for the Council of State to stand still and wait for more lines! I would like to take the challenge from the representative of Warloe. Once again, it's not about how many pages or where a document says something about it, but it's about what we think is important. We know that we have a lag relative to e.g. our neighbouring country. I think it has a connection with the same reasons that make Norwegian business worse in research than for example. Sweden and Denmark. It is – at least when we measure this in GDP – both about the target, which is quite mobile, and it is of course about the structure of our business, which is different from what is in our neighbouring country. But once again, something's done, and we're going to do more. We are going to be working on more of the tools I have mentioned, and in cooperation with other departments. It's a goal for the government to give help to those who have ideas and want to come forward, and we're going to have systems that facilitate the commercialization process.
ParlaMint-NO_2011-11-25.ana.ud135e338	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2011-11-25.ana.ud135e343	After only three hours of sleep due to coughing, I should have spent time talking about more research on bronchitis. I'm not going to do that. In my first post, I commended the proposers for the invitation to debate the commercialisation of research results. I'm still standing by that rose. But what I'm wondering is that a party that calls its alternative budget for knowledge and competitiveness uses so much energy to blackball Norwegian research. I'm trying for the best of my ability to listen to positive rhetoric, but it ends with the fact that the Right over time appears with a black measurement of Norwegian research in general and the publicly funded research in particular — and that on the basis of just one measuring indicator, that's the research run as a percentage of GDP. It's not strange, by the way, because it was Right that in its time it introduced a little bit unprecise the measuring indicator. Yes, that indicator is low, and it has to be low because Norwegian GDP is necessarily quite high because of our petroleum activities, and especially since, for example, Statoil petroleum exploration, offshore, is not included in that accounting. Warloe is not even trying to be nuanced by pointing out that the publicly funded research, measured as a percentage of GDP, is in the European top class — while it is the privately funded one that is limping. No, he claims that public funding fails. It doesn't sound logical in my ears. However, the Right does not want to change the distribution key about how much the public and how much industry should invest to achieve the 3 pst target of GDP. Where is the logic? Despite the fact that Warloe is a westerner and a mountainzar, and so should have a good starting point to boast the unhindered of the marine research, which is just going to take place in Bergen, it is silent about it. Warloe was right within Bergen a short distance, but not a word that the marine research community in Bergen is leading Europe in this area. In Trondheim, I had the joy of being impressed by the medical-technological research community at St. Olav's Hospital, which lives in a very fruitful symbiosis with NTNU. Norway is in the elite series in a number of areas. I mention in flig space exploration, northern light exploration, climate research and cancer research. The research value is complex, and we need a wide set of indicators to give the right picture of the position. Right is only busy by two indicators. I would like to refer to the Research Barometer, which the Minister of Research was also in, which uses 24 different indicators to get a more accurate picture.
ParlaMint-NO_2011-11-25.ana.ud135e357	I am pleased, but not surprised that the case-rapporteur is impressed when he travels to Trondheim. I would like to say that I am often annoyed when I hear SVs from this pulpit. I was too today – but not for the same reason that I used to be, because I think what Aksel Hagen said was very good, and I was most annoyed that I didn't say it myself. This debate is about commercialising what can be done. I think that's the essence of what we're discussing here. Norwegian research is good, as it shows evaluations. That's a lot we have to clean up too. But much of Norwegian research is good, it's commercialization that doesn't work completely. It is quite right that there is something about statistics in Europe. As we increase the rate of extraction in Ecofisk from 17 to 70 pst, it is not the innovation, according to the crowd that sits and rules down in Brussels. But then it's not just useful to come here and say that, then we have to make sure that we get these numbers, this statistics, into both Norwegian and European statistics. I'll comment on the last proposal to the Right. Here we come to the conclusion that Norwegian research works well. We also need research into things that cannot be clearly commercialised, such as humanities and social sciences and welfare-oriented disciplines. I know that there are historians around Norway now who are involved in the development of games. After a while, the kind of knowledge can probably also be commercialised. But I believe that this proposal will create unnecessary noise in the sector. Generic knowledge-building is important, including in technological and real science-oriented disciplines. That's not all that can be commercialized overnight. I think if we had looked at nanosciences and education in nanotechnology today, we would have said that this is not commercialised in a business-economy perspective. If you were to follow this rhetoric fully, we would have put down the whole nanoscience. I have no doubt that nanotechnology will become a major and important industry in Norway in the future. But, as the Council of State says, it's not only useful to say that you're going to keep going, we also have to have some concrete measures. I have been very clear that we must have the Ministry of Industry and Trade with us on this. But there are two things that the State Council of Aasland itself can provide – one is to ensure that we have competent labour force outside the sector to commercialise these thoughts. The second is to strengthen the TTOs, so that we can build a bridge over this Valley of Death, not just to commercialize the ideas, but to commercialize them in Norway.
ParlaMint-NO_2011-11-25.ana.ud135e370	The President understood this correctly – that the representative decided that no support was given to Right-wing proposal No. Eight?
ParlaMint-NO_2011-11-25.ana.ud135e373	Yes, I've explained that before.
ParlaMint-NO_2011-11-25.ana.ud135e378	Of course, we do not have to make the big ideological debate based on this proposal for a representative, but I would say to the representatives of the government parties who have spoken that we must not use this proposal against us in the right. Promoting a representative proposal specifically on commercialisation and measures to improve commercialisation in Norway does not have to be interpreted as being the only thing we are concerned with. Let's do it. The second thing I would like to say to the government parties, and perhaps in particular to the rapporteur of this matter, is that I realized yesterday that it had become such a plate that went on again, that when the Right had something to criticize, we were driving with black paint. I also want to distance myself from that. When we talk about commercialisation in this context, it is a fact that we have a long way to go in Norway – which may be due to many things. The Council of State was concerned with some of the circumstances of its contribution. But I think we may also have to note that there has not been any culture to a particular extent in order to think commercialisation at Norwegian universities and publicly funded research institutions. There are good exceptions, but not to a large extent. I would like to quote a few sentences from an interview with the chairman of the Bergen Technology Transfer in the latest issue of the magazine Research, which says the following: ‘But there is still a large unsolved potential out there. Researchers are today under strong pressure to secure funding for research and to publish results. Unfortunately, the commercialisation of results falls far below the priority list.’ That's what the leader of one of our eight TTOs says. The feedback I have also received in conversation with people from other TTOs indicates very strongly that we have a way to go before we have a culture that promotes commercialisation, and that stimulates it. That means that incentives are needed. In this context, the proposal on which the Right in this context stands alone, namely that commercialisation should be incorporated as one of the award criteria for research funding in the university and higher education sectors, must be an incentive to put the topic of commercialisation on the agenda in addition to reporting, and also that the Council of State has said that she wants to use greater space on this in the next research barometer.
