ParlaMint-NO_2011-01-13.ana.ud1737e51	The representative, Linda C. Hofstad Helleland, will present a proposal for a representative.
ParlaMint-NO_2011-01-13.ana.ud1737e315	I would first like to start by thanking everyone who has taken part in the debate. I think we've got a very good focus and a lot of good insights into the problem that lies in my interpellation. I want to start by commenting on some of the posts that have been. I can start with the last two – in terms of responsibility around the kitchen table: simply to discuss with our young people the problems young people face in the real world. We have all been through a life phase where we stood in the hands of the bank manager and asked thinly for loans, until today aggressive sellers meet both at Karl Johan, at the electrical store, at the furniture store or where they may be, who offer cards – not necessarily just one card, but you may be left with 10–15 cards in your pocket if you really accept all the offers. So this with attitudes, discussions and understanding of meeting an aggressive and partly material world is important to address. I also think that among the forums for that type of debate is perhaps around the kitchen table the most important place. Then more people have been concerned about how the public acts in connection with being a creditor. I think that's a good point and it's an important topic to discuss. We don't necessarily just have to look at what's happening around us, but I also think it's important to look at how we act ourselves when we're in such a situation. I would like to attend that debate. The representative Andersen also makes an important point, and this concerns the new business area that has flourished after the debt situation that has developed, namely the resale of debt claims. It doesn't just go into one term, but it also goes into several terms, and the further in the terms you get, I'll also think that the collection methods will become more aggressive and in that way also put the one that's in a debt situation, in a much, much more difficult situation than you were in. I also think it is important to point out that part of the new business area, so here there are enough people who should go on their own. I would like to conclude by thanking you again for the debate I don't think this is the last debate on this topic, but I hope at least that this is a start to a discussion that can make life easier for many who are in a very difficult situation. And, as I've said, we all have a responsibility, but perhaps the most important responsibility is around the kitchen table, to start there, because there I think the lesson needs the most in our minds.
ParlaMint-NO_2011-01-13.ana.ud1737e331	I would also like to take the opportunity to thank the interpellant for addressing this important issue, and the breadth of the debate shows how challenging it can be for everyone, not just young people, to navigate in a world based on electronic payment, easy access to credit and many tempting offers. I also want to repeat what I said about the government looking at the issue of setting up a debt register. The Ministry of Children and Gender Equality has examined the question, and this investigation has now been at the hearing, and the case will be followed up by the Ministry of Children and Gender Equality. Let me also end by summarizing that I think we have a good framework in the area of credit. As the review has shown, first of all, we have a number of provisions to protect the consumer from borrowing that he/she will find difficult to operate. In addition, the government, as I also mentioned, has reduced the costs for which the consumer can and will be responsible for legal collection and collection, which in turn will make the situation easier for people who have had debt problems. And the government has also, and there are several people who have pointed out that is important here today, have been concerned that the legislation in the field of credit is being complied with in practice. In particular, the supervision of credit institutions is an important keyword. Many have illustrated the importance of providing information and disseminating knowledge on economic issues in a good way. I have to admit that I was also very concerned when I saw the headline in the media related to what young people really know about interest. It says something about the knowledge challenge we have in this area. Here I think we all see that it is important to follow this area carefully and also to assess the need for new measures.
ParlaMint-NO_2011-01-13.ana.ud1737e340	So the debate is on case No. 1 over.
ParlaMint-NO_2011-01-13.ana.ud1737e356	The use of tenders and, in particular, the consequences of the use of tenders have been an important policy theme in this autumn. This is due in many ways to the results of part of the tendering procedures that have been carried out. In that debate, sometimes the impression is that the political debate is about being in favour of or opposed to tenders. I believe that it is not a debate that brings us forward. My clear impression after six years of red-green government is that there is a relatively broad connection in this room to make the use of tenders necessary – not only necessary but also mandatory – in some areas where the public is to purchase services from private individuals. However, tenders are much more than compliance with the procurement rules and public procurement laws. Compliance with the legislation is, of course, important and a matter of course. Several of the issues that have been raised in the autumn are likely to end up in the legal system, where one will be able to assess this. But it's not the theme of this interpellation. Compliance with the procurement rules and public procurement law is necessary but not sufficient to have a good public procurement policy, in order to implement a tender, is in fact also a political issue. I believe that part of the tenders made by regional health establishments during the harvest are examples of a bid being made in the blind without considering what a wish is, whether as a short-term or long-term consequence of the tenders being launched. There are many reasons why public policy needs to be extra careful in terms of both the short-term and long-term consequences of its procurement policy. Not least in the field of health, it is important that the public is actually in a monopolistic position as a customer, and therefore public procurement policy is crucial for the further development of this area. There are no alternative customers other than the public in this market. Health is a policy at whatever level it is. This means that the results of a bidding round are about a lot more – whether you can earn or save a few dollars in short-term profits. It's about diversity in services, it's about freedom of choice, it's about quality, and it's about proximity to services. All of this is a matter for which you have to pay attention when submitting a tender. I want to use, for example, two bids made in the autumn to illustrate the point of this interpellation. Health South-East offers in the case of X-rays, and Health West offers in the case of treatment for drug addicts in the Health Stavanger area. I could have also used many other examples that illustrate the exact same thing. I could have used as an example the purchase of rehabilitation services. I could have used as an example bid for psychiatry that hit Oslo Hospital, and I could have also used as an example other offers around the country, which had the same content and the same consequences. However, in order to go back to what must be part of a well-thought-out public strategy when making good tenders that deliver the results that a person wants in relation to the population, it is important on the market that a buyer ensures that it is also a well-functioning market in the future. So to the two examples: Health West conducted in the Health Stavanger area a drug treatment-related tender, which resulted in the Rogaland A centre becoming almost exclusively a supplier of that type of treatment, at the expense of, among others, Blue Cross's treatment services elsewhere in the same area. This means that the next time Health West is to launch drug-related tenders in that area, there will in reality be only one private non-profit player, and it is the Rogaland A centre. Well to mark this was a tender, but many would like to have a discussion about ideal or commercial operators. I would like to make it clear that this offer was a limited offer which only covered non-profit actors, but the way in which the tender was carried out, all the other non-profit actors disperse with the result that the next time Health West is to make a tender here, I am convinced that Health West will argue that since there is only one private non-profit player, Health West must build up a public offer for this patient group, because they do not want one private non-profit player to dominate this area. And why do I say that? Well, because that's exactly what you now experience in the Health West in the Health Bergen area, where the Bergen clinics are in the situation that the Rogaland A-centre will be in the next time tenders are to be made in the Health West. So the more you wonder if this is a conscious strategy, or an unconscious strategy, but the consequences for the patients are still equally serious. In the case of X-rays, Health South-East submitted as a condition in the tender that one of the operators could receive 80 pst. of the market. What does that mean? Well, that means half of Health Norway, which Health South-East represents, ends up giving one actor not 80 pst, but in this case 78 pst. by the market, and thus exclaims another major actor who previously had 60 pst., to earn a few dollars in a short period of time. The consequence is that the next time Health South-East is to launch an X-ray for tenders, there is therefore no competition between equivalent players, and with the result that the small crowns that you have earned these four years of this tender will be a very rapid loss in the next round, both because one might then be in a situation where a nearly private monopoly exists, and also because any private operator entering such a risky market will have to price that risk in the tender. Something else would be totally unprofessional. One would not bring serious actors on anything like this. In relation to diversity and freedom of choice, one sees that the offer made in Health South-East in relation to x-rays not only destroys the market but also destroys the diversity and supply of patients. There will be fewer places where it will be possible to get the offer, patients will have to travel longer, and patients will have less choice. There will be a poorer diversity – poorer freedom of choice for patients. Within the ru area, this may be even more serious, precisely because the Rogaland A centre treats its ruspacers in one way – so they have one approach to patients – while the Blue Cross has another. Now the patients in Health Stavanger no longer have that option. Now the diversity is gone. This means that also many patients who could have been drug-free because they found a treatment that suits them, now probably won't be drug-free, because they can't choose a treatment that will work for them. As regards x-ray quality, this may be the most special offer made in Health South-East. In the letter to the Minister of Health, where Health South-East will explain the tender that has been carried out, Health South-East responds to the emphasis on quality. It was actually added 70 pst. weight on quality and 30 pst. weight on price. But then you get to the point: Health south-east defined in the offer the different offers to have equal quality. So that's why it counted 70 pst. That's really zero, and that's what counted 30 pst. This is a pointless way to do it, and that Health South-East is daring to argue that way to the Minister of Health, is quite surprising, namely, not to tell you what was actually the reason that one ended up with that supplier as one did. So quality would count zero. The same applies to the offer related to drug treatment in the Health West, where, for example: not thought of proximity as an important quality. Looking now at what is important, namely to have predictability for the partners, it is necessary for public authorities to act in such a way that, in the future, there are, in fact, partners who want to be an important healthcare provider, on which the public is completely dependent – and that there are individuals who want to deliver.
ParlaMint-NO_2011-01-13.ana.ud1737e384	It was a great political interest around the public acquisitions that were made just before Christmas. Both Health North, Health West and Health South-East carried out acquisitions. I am pleased that the representative Höie sees that tenders are not always a perfect way to provide health care for people in Norway. When we acquire services from private individuals, it is important that we do this in a tidy way, so that the actors have confidence in the processes, and not least – the most important thing – that patients receive good services. The acquisitions have now been largely carried out, the review process has been completed, and some measures have been implemented to remedy unintended effects. I'm glad that we got a solution for Oslo Hospital that looks after patients in a good way. This is an institution that many people have been concerned about, and that offers patients that we are very committed to. The representative, Mr Höie, is concerned that unilateral emphasis on prices in the tendering round could lead to monopoly formation and that it could in the long run lead to poorer quality and rising prices. This is an important issue. Regional health establishments shall provide specialist health services to their inhabitants. It takes place through the activity of health enterprises and through the purchase of healthcare from private individuals. The aim is to ensure a good health offer for everyone. I am concerned that we should have a strong public health service where hospitals are mainly owned and operated by the public. I do not believe that more tenders and privatisation will solve the problems in the health sector, but it is clear that private enterprises and contract specialists are important and useful partners. It is also important that hospitals and health institutions owned and run by non-governmental organisations should be guaranteed good conditions through public contracts. In some areas, the use of private health institutions is relatively high. This is particularly the case for training and rehabilitation and in the field of drugs. Private institutions provide more than 60 pst. of the total daily capacity of multidisciplinary specialised treatment for drug addicts. This is done through agreements with the regional health establishments. The government has been concerned with the long-termity and predictability of the non-profit institutions. This objective is clearly also supported by the representative of Höie. However, we all agree that the objective does not have to be drawn to the point where it becomes difficult to adapt to changing needs or the necessary changes in services. Such a development will affect patients. The reasons behind the public procurement legislation are to maintain the quality of the service and to ensure that we make good purchases for the benefit of patients. Regional health establishments must comply with the public acquisition rules when purchasing health services. They may use the derogations applicable to NPISHs, as Health West has done, for example: in the case of acquisitions in the field of drugs, but in any case the essential legal requirements for competition and non-discrimination apply. The award of contracts is usually based on pre-defined criteria. These criteria are made known to all stakeholders and form the basis for the private offerings. This contributes to predictability and non-discrimination. It's common for quality to be weighted by 50 pst, the price by 30 pst. and availability at 20 pst. Quality is usually the most important criterion for selecting a service provider. The Code of Public Acquisition shall contribute to ensuring efficient resource use and equal treatment of all suppliers. It is therefore important to take account of the reasons behind the legislation. The respective institutions may not govern the agreements. When contracts with individual institutions are not continued, the institution is likely not to provide the services it needs. Other reasons are that the services are not of sufficient quality or that the price is too high compared to other private suppliers. The latter may in some cases be due to the fact that individual actors are too safe in their position and thus allow themselves to praise the services well. The acquisitions made have undoubtedly triggered efficiency gains and, in some cases, a clear improvement in quality. In the Health West, the acquisition of the drug area has led to a significant increase in outpatient services and in day-care facilities. In addition, new outpatient services have been established and the capacity of the daily supply of drug addicts has increased. Both in the North and Health South-East there have been changes in the rehabilitation field, which have also affected the quality in a positive direction. In the field of mental health protection too, the conversion of the supply to patients has led to the conversion of the services of the suppliers. That's the way it has to be. Private institutions, like publicly owned enterprises, must adapt to a new reality as a result of changing needs. The acquisition of health in radiology by the South-East is planned to lead to 14 pst. several surveys in 2011, at approximately the same level as in 2010. That's maybe this acquisition Höie is especially concerned with this interpellation, that's from what came out. Health South-East claimed that no supplier would receive more than 80 pst. of the volume of radiology contract. The aim was to ensure competition. It is difficult to assess whether this was an adequate requirement as the market develops over time. But it's interesting to note that Aleris Health AS has come into being as a new actor in Health South-East in connection with this acquisition. They were awarded contracts for the purchase of outpatient radiology together with Unilab’s Norge AS and the X-ray centre AS. Curato, who lost the competition, has taken legal action against Health South-East because they disagree with the award of Health South-East. I take note of this. I cannot intervene in a legal dispute between a private provider and a regional health company. The Ministry has committed itself to ensuring that citizens, irrespective of the provider, are assured of the proximity to radiological offers with sufficient capacity. According to Health South-East, UNILAB’s Norway AS will consider continuing institutes on Lillestrøm and in Porsgrund. These are relationships that I still want to follow up on. I don't think the way to go is to preserve the existing services – neither public, non-profit or commercial. The specialist health service shall cover the needs of the population for services within the financial framework provided by the Storting. The dilemma is that the offer will never meet any demand for services. A professional assessment of the facilities of the services must be carried out, and this is the responsibility of the regional health establishments. Acquisitions must be governed according to the needs of patients and not of providers. But we have to learn from the experience that has been gained. I believe that the measures taken after acquisitions, not least in Health South-East, help to resolve many unintended effects, and – I would like to add – that it is reasonable that we now evaluate the procurement processes that have been carried out in order to prevent the unfortunate consequences of future acquisitions.
ParlaMint-NO_2011-01-13.ana.ud1737e422	There was nothing in the Minister of Health's response to the idea that a fundamental approach has been taken to the procurement practices of health businesses in order to actually prevent what the Minister of Health calls 'unintentional effects', but which I would call the obvious results of carrying out poor bidding rounds that are not thought out in advance, and the consequence of the fact that the Minister of Health obviously does not direct health businesses towards a procurement policy that operates according to the political objectives that we have set. The Minister of Health, in effect, explained that, as a result of poor bidding rounds, health businesses are starting some fire-fighting measures to prevent the results of the tenders they have made. Some of the fire-fighting measures are obviously on the edge, or at least you can question their legality. It's very unfortunate in terms of how this is going to develop further. I don't think anyone in this room like that. do not believe that it is quite ok that most of the X-ray and laboratory activities in Norway are carried out in good, private X-ray and laboratory institutions. I don't think the public had managed to run those institutions just as well at the same price. At least no other person has proposed anything else in this area, as far as I have registered. Then it's very unfortunate when the public acts the way you do. In any case, the most important thing is the provision of patients. On 30 November, Sonja Irene Sjøli asked the Minister of Health about how the offer of X-rays in Health South-East would affect both availability and waiting time, because the Minister of Health has said in the State budget that it is her goal to reduce the waiting time in this area. The Health Minister replied to that on 10 December by referring to Health South-East, but there was no answer to whether an actual target of reducing the waiting time for X-rays for half of the country's population was reached. I note that the Minister of Health himself found the need to ask Health South-East exactly the same question a few days after she had answered the representative Sonja Irene Sjøli, and the Minister of Health received an answer to the same question on December 23rd – at least it was an attempt to answer. I have read the letter of reply from Health South-East and find no evidence of whether Health South-East actually sees itself able to reduce the waiting time for the X-ray in 2011, as the Minister of Health writes in the State Budget. My question to the Minister of Health is simply: does the Minister of Health feel safe that the waiting time for the X-ray in Health South-East, for half of the country's population, is going to fall in 2011?
ParlaMint-NO_2011-01-13.ana.ud1737e435	I do not know if the representative Höie understood that I said we would have an evaluation of the purchase process that has been in Health South-East. With regard to the details in it, I find it very difficult to enter into this case, because there is a legal dispute and therefore there is a disagreement between the one who lost the tender and the one who has won. What has been looked at through the process and the complaint handling process is whether there have been unintended effects because the new supplier has offered elsewhere than the old supplier has had. But this is something we're looking through. When I say we should have an evaluation, it is because we also need to learn from tendering practices for future tendering. I think that's important. In the case of waiting time, it is a very important issue for patients in Norway. I am very concerned that we will succeed in bringing down the waiting times. That is why we have also made stricter demands on the number of surveys, because we know that there is a need, and that is why we need to do so. in Health South-East have a 14 pst. increase in the number of X-rays in years compared to last year. Then I'd like to comment on Health West, because here it's said that you don't have a diversity, that you haven't provided for it in your acquisitions in the field of drug treatment. Health West, as the interpellant said, only went out to non-profit institutions in its bidding round. They have awarded the Church's Social Service, the Bergen Clinics, which are a non-profit foundation, the Blue Cross West, the Church's City Mission, the Salvation Army, and the Valdresklinik Foundation, which is a non-profit foundation. If one of these actors had received all these institutional assignments, I have to say that there was no diversity. But here are many different providers, non-profit institutions and institutions doing a very good job, which have been awarded this offer. But the most important thing is that they can deliver what Health West asks for in terms of the arrangement of the offer – the offer that they believe is the professionally correct and the best for patients.
ParlaMint-NO_2011-01-13.ana.ud1737e446	We often have debates in the United Kingdom about tendering practices in the health sector. That's good. It is important that the significant public funds used to purchase healthcare from private providers are used as best as possible for the benefit of patients. Today’s interpellant focus is on the use of tendering rules in such a way as to maintain the diversity of providers in a varied market of private health services. It is easy to agree that we need different actors in this field to enable the public health system to choose partners in line with health care needs. But I can't free myself to think that in these debates one gets a little bit preoccupied by the providers, i.e... the private health actors. I don't doubt that all the parties in this room are concerned with patients and users, but I notice that the opposition – and not least the interpellant party, which is a hot defender of free competition – is so insidious when someone loses in the same bidding competitions. I thought in my simplicity that there's this competition going on, that someone wins, while others have to bite the grass. In the debate on a proposal for a representative on these issues just before Christmas last year, the representative Höie deepened his view. He acknowledges that he is a member of more competition in the health sector, more private and commercial operators, and hence more tender, while accusing the parties to the government of accepting that health-care establishments are engaged in a tendering procedure with the «obligation to the eyes», as he said. In this debate, the debate in the course of the day, and he repeats it in today's debate, meant that the tender descriptions should be formulated in such a way as to ensure agreement with more, and less, actors, so as not to be monopolised. That is, of course, a good objective, and the government parties had clear formulations in the comments on the State budget to take advantage of the space available under the Public Acquisitions Act, for example. to conclude longer-term contracts and to conclude agreements with non-profit-making providers other than regular bidding rounds. The comments chosen by the opposition for some reason not to be included. But then we have to be clear that the desire for a large number of contract partners may conflict with the three main considerations that must be given priority when concluding agreements, namely quality, including good and proper competence, price – in order to help patients as much as possible – and availability. These considerations must always weigh heavily, for the benefit of patients. This may mean that from time to time there will be fewer private providers who will receive the award. Often, individual actors and some choices made by health businesses have been the subject of debate in Stortingen, as well as today. And it can be quite right if you see that the choices made in healthcare companies do not provide clear political guidance from Stortinget. But in these debates it has been almost made as if it were for those actors who do not get an agreement with health businesses, the hook at the door. I have an example of this not being necessary. Salangen HealthRehab in Troms did not renew his contract with Health Nord now in the harvest. We red-green big politicians from Troms, Health Nord, Salangen municipality's management and other municipalities in Mid-Throms then put our heads in the soft and asked: What if we are now using the rehabilitation competence in Salangen as an inter-municipal rehabilitation offer? Everyone said yes to that. And Salangen rehabilitation is now continuing with all its employees in cooperation with the municipalities around and with the support of Health Nord's means of interaction, which they actually have in their budget. I think that can be a very good solution for a lot of other rehabilitation environments, and that will be completely in line with the Cooperation Reform, which has been adopted in the Stortinget. So I would recommend the interpellant to whisper his party traps here in Oslo a few words in his ear when it comes to tendering practices. It is now widely known that, with regard to the outsourcing of hospitals in this city, only a small number of large players have been awarded the award. Voluntary, non-profit organisations are now getting fewer and fewer in terms of care for the elderly, and many have told us that they are unable to join the carousel. These players who have been awarded the award have one thing in common: they are subsidiaries of large, international groups that have an address for tax havens — perhaps with blindfolds or perhaps a practice with an open, blue eye.
ParlaMint-NO_2011-01-13.ana.ud1737e461	First, I want to thank the interpellant for keeping focus on this important issue. There is no doubt that there have been major changes in the health sector over the last decades, how good financial management has had a significant focus with a view to getting more healthcare out of each krona. We know that in Norway, the public sector is purchasing goods, services, construction works for about 330 billion. kr per year. We have the right to public acquisitions, public acquisition regulations, supply regulations, EU procurement laws and related directives, and we have the EU thresholds, to mention some of those that regulate public procurement. A dedicated public procurement database — Doffin — has also been established to allow contracting entities and contractors to come into contact with each other. And we have received a complaint subject for public acquisitions – KOFA – which acts as an advisory complaint body with sanction possibilities in relation to breaches of procurement law. The reason why this system is established is precisely belief in the market and market forces. It is underlined that public acquisitions should be based as far as possible on competition, because competition is considered an appropriate instrument to ensure efficient public use of resources and to contribute to increased value creation in society. The regulatory framework for public acquisitions shall ensure that the public funds are used as best as possible through cost-effective and socially sound procurement. It is also underlined the importance of the public sector contributing through its procurement to the development of a competitive business. On the Internet pages of the Ministry of Renewal, Administration and Church, we read the following: ‘Competition helps businesses to become more efficient and thus keep prices and costs down. When companies have to compete, innovation and consumer-oriented product development are stimulated. It makes Norwegian business more competitive. The Government will therefore pursue a policy to promote competition.’.» The health sector consists of a number of actors and providers of health and care services. It's public municipal, intermunicipal, county and state, and we have private NPISHs, private commercial and voluntary. The Progress Party believes that we are dependent on having a wide range of offers and different actors to meet the ambitions of getting as good a health care as possible out of the health crowns we use. We have been deeply concerned about the government's policy and rhetoric, which has helped to put private suppliers under a severe pressure, and which has led to several of them having to throw in their towel. We received alerts that private, ideal healthcare providers were at risk of being history in five to ten years if no important action was taken. Therefore, the Progress Party promoted the proposal to draw up a social contract as many EU countries have done. We have pointed to the Swedish model, which we believe could form the basis for a Norwegian variant. Together with the Right and Christian People's Party, we asked that the government set up a sample where authorities, user organisations and a wide range of ideal and private healthcare providers were represented. The main purpose of course was to ensure that ideal suppliers could still be life-making, but we also wanted to draw with private commercial ones, precisely because we wanted a unified understanding and in order to avoid distortions of competition. Unfortunately, the government parties would not listen to us. I noticed that the Minister of Renewal on Monday had a meeting with some of the ideal actors, and that is positive. I fear, however, that there will be too small a forum and a basis for ensuring diversity and greater predictability for suppliers. Tenders and competition are sound instruments to stimulate innovation, innovation, efficiency and quality development. Unfortunately, in many cases the public sector is not competent enough to order, and in many cases private non-profit and commercial suppliers have significant potential for improvement in the knowledge of public procurement legislation. But in any case, we need a market in order for competition to be possible. We must then have several different actors. We need a completely different awareness of service quality, so that price is not the most important and only criterion. Nor am I convinced that the public sector has taken into account all the factors such as overheads and alternative costs when they build up their own offers to compete for a well-functioning offer, for example. from an ideal supplier. We must not get to the point that ideology and rhetoric are becoming more important than the consideration of the sector for which it really exists, namely the individual user or patient. That's why it's important that we concentrate on diversity, it's important that we focus on quality, and it's important that we take care of freedom of choice.
ParlaMint-NO_2011-01-13.ana.ud1737e485	Public health procurement and tendering practices in the country are unsolicited. That's the background for this interpolation. Then I would like to say, a little contrary to the Council of State, that there is no fault in the principles of tenders, but it is several times to criticise the government's handling of the principle of tenders in everyday life. I think the reason why you have this insatiableness is that you're not really very interested in how to use the competitive moment between different actors -- what we achieve in society when a lot of people try to tackle the same problem from different starting points and angles, is that there's someone who's better than others, and then they get a reward for this by the influx of customers. This field has a tradition of state-run operations almost according to centralist governance principles. I also believe that the interpellation takes the side of this as an unfortunate allocation practice. But for me, this is an example of the fact that, through its regional health companies, the State does not have the power to establish a sound procurement practice. This is probably due to involuntaryness and lack of contractual competence, as the private non-profit organisations may say a lot about it, but this is probably also due to the system's unwillingness to do things a little differently. One is opposed to establishing a real situation where those who deliver the best quality and the lowest price are charged because one is not willing to look at the inefficient places and the expensive places that the public itself insists on. I would like to justify this with the following three points: Firstly, the state leaves its own companies out of price comparison, and I believe in and of course that quality work will be harmful to it. Secondly, the State does not clearly distinguish between its role as the owner of competing activities, i.e. those that may be exposed to unpleasant competition, and those who would like to have contracts. And thirdly, and it's perhaps the most serious thing in this phase, purchases are not used to produce alternative thinking, innovation or efficiency, but in this round, as we've seen in the autumn, it's been used as the regulator of an overall capacity, which the ministry – and therefore we'll assume also the Council of State – wants to bring down. This means that the ministry believes that too many offers are produced, and too much healthcare is provided around, and then they use the tendering process where the contracts with the private are open to renewal, not to enter into an agreement. It is then said that the agreement was not concluded due to a high price, a lack of quality – but it is rhetoric. What really happens is that you use the public procurement and competition rhetoric, while you actually refuse further business contacts with the providers. And what we're talking about is the closure of spaces. Oslo Hospital was out in various posts here. The government also considered that the problem had been solved, but it does not cover the fact that when you are through the tendering process in Oslo, the number of psychiatric beds in the Lovisenberg sector has been halved. I just want to ask if the Council of State is aware of this. Is she aware of the system she is operating? So that's the other question: if she's not familiar with it, will she do something about it from a political point of view? Because that's what we're talking about. It is not a bid, but it is therefore the use of tenders as a pretext for interrupting the business relationship with private individuals, who have invested in staff, effort, capital and what they have to have in order to be part of and build the welfare state together with the state, but who are actually used as a regulator in everyday life, and then the state withdraws the private when it finds it too good and has to save money. It has been the situation up to the turn of the year. For the way the Workers' Party and the Red-Green Government manage Health-Norway, it is really the financial framework that ultimately determines to what extent one is at all interested in bringing in private.
ParlaMint-NO_2011-01-13.ana.ud1737e504	In the autumn, there has been a strong focus on public tenders and the outsourcing of health and social services. The background is that public acquisitions have been carried out in Health North, Health West and Health South-East just before Christmas. This meant that some institutions lost the tender and were not allowed to continue their contracts. It is basically part of the deal: if there is a tender, it is the best and cheapest one that has to win. The criticism has been made in the manner in which the tender has been made, but also in the area of health in general: whether it is appropriate and whether it goes beyond the patient offer. The bidding system is perceived by the operators as arbitrary and bureaucratic. A lack of objective assessment criteria is reported and the system contributes to fewer actors and less competition in the long term, which could lead to monopolisation in the next round and to the public takeover, as the inter-pellant has mentioned. From serious actors, we are told that tenders as they are being conducted today are countering innovation and the development of new health services adapted to new patient groups. It's mostly about being the best to adapt to standard criteria, not about developing offers to meet patients' needs. Although we have organised specialist health services in a business model where we have given regional corporate governance the responsibility for the execution of public procurement, the processes of the harvest have moved the Stortinget. In particular, there has been a focus on the framework conditions for non-profit actors operating in health, care and child protection services. In its position on representatives’ proposals from the Christian People’s Party on framework conditions for non-profit-making actors, the Political People’s Party, together with the government parties, stated that interaction between the public sector and non-profit-making organisations should be further developed in order to improve the provision of services to the population. The majority of the Committee, the government parties and the Christian People's Party, in this case, showed that the health, care and social sectors are poorly suited to traditional tendering procedures where short-term economic criteria are most often decisive. The comments made by these parties show that the built-in dynamics of the competitive regime focus on price rather than quality and short-term rather than long-term. Furthermore, it is assumed that the government will facilitate interaction between the public and voluntary sectors on the basis of the most long-term and predictable framework conditions, and that the procurement process must be set up in such a way as to ensure that users’ needs for stability and good services are properly met. The majority also believe that in the case of many health and care services, contracting authorities should place more emphasis on quality than on price when purchasing services, and that a person should take advantage of the possibilities of applying different procurement procedures in order to obtain better procurement. In the comments made by the Health and Welfare Committee on the State Budget, government parties have agreed that, in some cases, pure outsourcing of health services and social services may have negative consequences for the development of service provision over time. The majority are concerned that, within the principles on which the Law on Government Acquisitions is based, one uses instruments other than open, restricted tendering. Purchases in negotiations may be such an alternative, as is also apparent from the procurement regulation in Part II. Regional health enterprises must establish special-purpose rehabilitation agreements for periods of predictability and basis for the development of better quality services. I am pleased that a majority of the Stortinget – in committee comments, as described – have been clear on the challenges of health tenders. The majority have pointed out that instruments other than open procedures should be used, for example: purchase by negotiation. In addition, it is clarified that if tenders are made, political governance must be ensured. The case of Oslo Hospital has shown that the offer of healthcare services in psychiatry was in the process of compromising the health supply to heavy psychiatric patients. I am just as happy as the Minister of Health that a solution was found – not because of the tendering system, but despite the tendering system. However, there must be an alarm, that in the case of disease tenders are complex and often inappropriate. The right-hander says that there is no tender, but the use of a tender that is the problem. I believe that tenders can also be the problem, and that if we are to have and continue to tender in the field of health, we must agree that we must then ensure that the quality is different from what we have seen in the autumn round of tenders.
