ParlaMint-NO_2011-04-06.ana.ud2177e26	The representative, Arve Kambe, will put forward a proposal for a representative.
ParlaMint-NO_2011-04-06.ana.ud2177e109	The most important thing we can do to ensure that Norway continues to be a good country to live in, including for the consumers with whom the representative Svendsen is engaged, is to pursue a responsible economic policy. It's to make sure that one keeps order in the Norwegian economy, it's to make sure that the rule of action is followed, it's to make sure that we can set ourselves up so that our competitive companies don't lose competitiveness, and it's to make sure that the next generation is able to pay for our common well-being by saving for the future. Then it is interesting that one of the most important steps we have to take in order to conduct a responsible policy is to follow the action rule – a rule that the Progress Party will scrap. It will mean that there will be less confidence in the Norwegian economy, that will mean that interest will go up. It will be blind, and it will be much stronger than part of the fees to which the representative Svendsen refers and which are high in Norway. It also has to do with the fact that the level of fees we have in Norway provides the community with large revenues that are used for a safe and well-being country. So there are more things between heaven and earth than high taxes — there is a strong welfare state, there is a safe and good economic policy that ensures that Norwegian citizens have a relatively low interest rate, among other things. So there's more between heaven and earth than just fees.
ParlaMint-NO_2011-04-06.ana.ud2177e118	I fully agree with the Minister of Finance that there is more between heaven and earth than that both he and I see. But the point is that it's the same old lesson we get. Once the Progress Party has submitted proposals to the State budget in the past, we have heard that we will destroy the economy with it. But by the end of the year, it has been shown that the Workers' Party and the other red-green parties have spent the same amount of money through revised national budgets and appropriations in addition to the year that the Progress Party has done. We're in the middle of the annual payroll now. That's something we hope to improve the purchasing power of most people, and we're glad when it does. But now it looks like the red-greens aren't very happy about it, because they're increasing the fees, they're under-regulating pensioners' pensions, they're introducing new planning and building laws that make consumers in this country get worse and worse out, and the pay increase is being eaten up by this. Wasn't it a thought to start facilitating the opposite way, creating a code that leads to lower house prices, a charging system that doesn't lead to increased costs for most people, and giving pensioners the same wage development as most people do?
ParlaMint-NO_2011-04-06.ana.ud2177e129	Yes, in fact, we are in the middle of the so-called interim settlement, and once again, the main contribution that politicians can make to a responsible and good income settlement is to pursue a predictable economic policy. Then it is also worth noting that the attitude of the Progress Party to trade unions, to collective bargaining and to wage negotiations would probably lead to higher pay demands, because a desire to send a wedge into the organized working life, which has contributed in a good way to Norway being where we are. So there are some effects of the policies of the Advance Party that, when you put it into a larger whole, may not be as tempting as when you hear the words of the Advance Party about lower charges in some areas – which is to some extent to live up to that party's foundation. In its time, it was founded as a party to a strong reduction of taxes and public taxes and against public intervention.
ParlaMint-NO_2011-04-06.ana.ud2177e136	Four follow-up questions will be raised – first from Bård Hoksrud.
ParlaMint-NO_2011-04-06.ana.ud2177e139	It is probably true that there is a lot between heaven and earth, and at least it is clear that the Minister of Finance has now forgotten what he said in 2008 about the rule of action and the use of money on investment. However, in the case of charges that affect the drivers, it can unfortunately be stated that the state imposes charges that give the impression that it should be paid for something, which they do not, of course, are not. Let me give you some examples. The registration fee may amount to several dozen thousand kroner, but the job itself costs between 300 and 400 kroner to be completed. Where does the rest of the money go? The annual tax comes as a bill in the post office and is just that – a bill. It's a bill for nothing, just for the state to get hold of the car drivers' money. The fuel and diesel taxes have been renamed to user charges to give the impression that the money goes to road maintenance. But the fees are far from being earmarked. Then we have the one-time fee. What's that name? And you have to pay for it every time you buy a new car. It must be said that the State provides misleading information about the invoices they send to the drivers, and the charges they charge for other services. In future, will the Council of State contribute to a stronger consumer focus on charges, so that people are more informed about what they are actually paying for? Or is it for purpose and for political reasons... [[The President clubs.]]
ParlaMint-NO_2011-04-06.ana.ud2177e160	Then State Council Johnsen will have the opportunity to answer.
ParlaMint-NO_2011-04-06.ana.ud2177e163	... you misplace the tax jungle that affects Norwegian consumers?
ParlaMint-NO_2011-04-06.ana.ud2177e168	Thank you, President. As far as car charges are concerned, the government has announced that we will carry them out a broad review. It will be about all car charges, i.e. both the fuel dependants and others. We aim to present this assessment in the context of the 2012 budget, and then we will also discuss whether part of the fees are appropriate, in accordance with their purpose. But then it's worth noting that these fees are also part of the total income of the community. It is correct, as the representative Hoksrud says, that there are no earmarked fees. It goes to all the good purposes that make this country the best country in the world to live in.
ParlaMint-NO_2011-04-06.ana.ud2177e178	Inherit Kambe - for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e181	When I listen to the Minister of Finance, it's almost as if it's with a fatherly pride he protects about all the state's tax revenue. It reminds me that when former fiscal spokesman Erik Dalheim of the Workers' Party resigned as a fiscal spokesman for the Workers' Party for many years, he said: ‘A place out there is a hopeful and exciting growing representative – completely unaware that he or she will become a fiscal spokesman for the Workers’ Party.’ This may illustrate some of the challenges facing the Workers’ Party — the difficulty of obtaining tax revenue for the State, rather than social development, in order to reduce the need for taxes and taxes, and also to allow new ones to be introduced. When will the Workers' Party come to recognise that policy is not always about giving more money, and therefore not always about increasing taxes and taxes?
ParlaMint-NO_2011-04-06.ana.ud2177e195	When the government joined Stoltenberg in 2005, it made a promise, and it was that the tax level should remain unchanged at the 2004 level. That promise was made by the government of Stoltenberg. I'm basically proud that one has managed to do that, at a time when there are still demands for increased counts in a wide range of areas. That's the one. The second is that the former Grandfather Dalheim – mentioned here – was an excellent rapporteur for the fees in the Finance Committee. I believe that being able to hedge off the Community's revenue in a good way is actually one of the most important jobs that the Minister of Finance and not only tax-policy spokespersons in the Financial Committee should be engaged in, but the entire Financial Committee.
ParlaMint-NO_2011-04-06.ana.ud2177e202	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e205	When I heard the main question, it was just before you could imagine that we had to turn off the light all of us, with the huge tax burden that we have in this country. But I feel like some of the things the Progress Party came along with. A group that, in addition to increased taxes, has received a new tax is part of our pensioners, who received a new pension tax from this year. At least there it's come in the messages here to this house, I'll also believe to the Minister of Finance, that the results may not have been exactly as expected. In addition to increased charges and increased electricity bills, it can be understood that some people feel that this is mostly done. My question is: does the Minister of Finance think that pensioners' taxes have worked according to the assumptions?
ParlaMint-NO_2011-04-06.ana.ud2177e214	I want to use the opportunity now to also answer something that I forgot to answer in the question from the representative of Kenneth Svendsen, and that is the regulation of pensions. I just want to remind you that a broad majority in the United Kingdom has been behind the Pension Reform, behind the new way of regulating pensions from 2011. As regards the conversion of pensioners' taxes, this was absolutely necessary because of the pension reform that came on 1 January of this year. The general rule is that those who have less than 300,000 kroner in pensions get relief. But then we saw that in some special cases you didn't get the intended relief. That is why there is also a transitional arrangement in pensioners' taxes in order to be able to take care of it. So it will probably be like this – and I have got some phones and some letters – that there are still special cases. But we now get to evaluate a little bit later and see if there are unintended effects beyond what this transitional arrangement was supposed to cover.
ParlaMint-NO_2011-04-06.ana.ud2177e223	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e226	The left and the government parties largely agree on the size of the tax and tax burden, but we disagree on the device. On 6 June 1996, Minister of Finance Sigbjørn Johnsen received a report from the Green Tax Commission, which proposed to shift the tax burden from tax on labour to tax on low-environmental consumption. The polluter-pays principle was established. The government has moved for six years to 1.5 billion. kr in green tax change. Left moved to nearly 6 billion. kr only in its alternative budget in 2011, and that at a time when we, for example. in Technical Weeksheets, it can be read that CO2 emissions are increasing. Does the Council of State see the potential for a major shift from red to green tax?
ParlaMint-NO_2011-04-06.ana.ud2177e238	Yes, it'll probably be a potential for twisting the tax in a more green direction, and I'm going to assume that it's going to be a very central question in the future. Then there is reason to remember that the Labour Party government introduced the CO2 tax early in the 1990s, which has proved to be successful in the sense that you both tax CO2 emissions and have reduced emissions. Another example of the distortion of the tax in the green direction is the conversion that has taken place, which is still happening with regard to the one-off charge on cars, which means that environmentally friendly cars get much less one-off charge, and the CO2 emissions from new cars have been reduced. So it shows that in several areas it's possible to turn the tax in the green direction, and I'm pretty sure this is going to be an important topic for this government too.
ParlaMint-NO_2011-04-06.ana.ud2177e254	We're going to go to the next main question.
ParlaMint-NO_2011-04-06.ana.ud2177e257	My question also goes to the Minister of Finance. I registered that the Minister of Finance in his first reply stressed that one of the most important things we do is to facilitate businesses and jobs. In January, Minister of Industry Trond Giske went high on the track. According to Today’s Economy, he wanted to remove the property tax because the companies ‘are in a tough competitive situation with other countries’. Let me add that it's not just the companies that are in competition. Also, countries compete to attract private capital that can help to expand and invest in businesses and secure jobs. The government's response to this challenge has so far been to double the tax on working capital. Working capital is the capital invested by the owners in the enterprises and intended to contribute to the creation of value and jobs. There is a tax that only applies to Norwegian owners, and that must be paid completely regardless of whether the company is running with profits or with a deficit. This has happened despite the fact that the government also knows that private ownership may mean the most in District Norway, in the West and in North Norway. I registered that LO's leader, Roar Flåthen, said to the VG in February: ‘It is not likely that some owners of small and medium-sized enterprises will have to pay more dividends than usual in order to pay the property tax.’ In short, it means that owners have to hold the company for capital, even if the company is running short, in order to pay taxes on wealth. When will the Minister of Finance follow up the performance of his own Minister of Industry and of the head of the LO?
ParlaMint-NO_2011-04-06.ana.ud2177e276	In the referenced interview, LO's manager said something in the continuation that I think is important to bring with him for the sake of the whole. Now I haven't quoted directly in my head, but I know about what stood there. It was that he expressed that he could participate in an investigation into so-called working capital, provided that one could keep up the state's proceeds, and provided that the rich could still pay taxes in that country. That's the whole of Lo Leader Roar Fletchen's statements in that area. We have assessed this in the context of the assessment of the tax reform. There we came to the conclusion that we would not grant exemptions from so-called working capital, because it is difficult to distinguish between working capital and not working capital. The reality of it would have been that you would have had to remove the entire wealth tax – and that is to the extent that the primary objective of the Right. There is a rather sharp distinction in Norwegian policy between those who want to eliminate the wealth tax and thus also the good distributive effects of the wealth tax and the provision of the wealth tax. So for the sake of the whole: if you look at the results of the Norwegian economy, it is actually that Norway has the lowest unemployment rate in Europe. We are among those with the highest professional participation, and if you look at the development of production in Norway after the financial crisis, it turns out that Norway has recovered faster than countries with which it is natural to compare. So I don't think it's so picky, to use that expression, to run manufacturing in Norway, to create new jobs, and not least to make sure that businesses in this country are doing well.
ParlaMint-NO_2011-04-06.ana.ud2177e285	The finance minister has obviously both chewed, thought and concluded, and the answer is that this is not the case. It was possible in Sweden to remove the property tax on working capital. My experience with the Ministry of Finance is that it is possible if you want to. If the Ministry of Finance and the Minister of Finance want to do so, it is possible. So the Minister of Finance says it's not that hacking fervor. Well, say it to sausage maker Albert Idsøe, who in Stavanger Aftenblad stood up and told about his business, which is running short, but where he still has to pay a lot of property taxes, and not just property taxes – he also has to pay taxes on the dividends he collects. What he pays taxes on is the building mass, it's the stick meat that was in the warehouse waiting to be sold. That's what he has to pay taxes on wealth. Does the Minister of Finance think that this is not a problem for production companies, like Albert Idsøe?
ParlaMint-NO_2011-04-06.ana.ud2177e294	In 2003, we had a civil government with a Finance Minister from the Right. In 2003, a former Minister of Finance from the Right presented an inquiry into what was to be the basis for the tax reform that came from 2004 onwards. There, the so-called 'Skauge' committee proposed that the taxes on wealth should be reduced, but that the tax on property should be increased accordingly. The Bondevik government, with the Right in the Ministry of Finance, would have had the opportunity to reduce both the wealth tax and to remove the property tax — if it had been political will to do so. What has happened after this government took over is that the proportion of people paying taxes on wealth in Norway has fallen from 34pst. until 17 pst. – So we have taken a long step forward in making the wealth tax fairer. This has meant that small and medium-sized enterprises have actually also benefited from the change and conversion of the property tax made by this government. So political will, yes, but that will was not sufficient in the government that ruled until 2005.
ParlaMint-NO_2011-04-06.ana.ud2177e301	There will be four follow-up questions – first from the representative of Gunnar Gundersen.
ParlaMint-NO_2011-04-06.ana.ud2177e304	In his last reply to the representative, Mr Sanner, the Minister of Finance spoke against better knowledge. He knows that it was really the right idea was an agreement that the wealth tax should be reduced, when the dividend tax was introduced, and it was not followed up by the Workers' Party. So here you should at least write the story right. Private, diverse ownership is important. It is central to future value creation and jobs in Norway. With regard to the current employment situation, we also know that Norway is extremely dependent on state ownership and foreign ownership. That is what dominates Norwegian business today. The representative Sanner used Idsøe as an example. You can also mention Elkem, who was sold abroad a while ago. A Norwegian owner would have to take out 275 million. kr more than a foreign investor to defend the property tax. The Minister of Finance was concerned about this in 1992. Does he feel that such taxation is more important today than it was in 1992?
ParlaMint-NO_2011-04-06.ana.ud2177e311	The answer to that question lies in the evaluation message that has now been submitted to the Storting. It was presented last Friday. There we have reviewed the experience of the 2006 tax reform. There we have gone through the question of whether we should exempt working capital from property taxes. The answer to that is that we will not propose such a sharing of the property tax, nor remove the property tax. On the other hand, this government wants to continue what can be called the reform of the wealth tax, to see if it is possible to make further redistribution, after the lines that have been done in the past, on a broader basis and for example. larger base deductions, which make small and medium-sized assets either exempt property taxes or receive greatly reduced taxes on wealth.
ParlaMint-NO_2011-04-06.ana.ud2177e316	Christian Tybring-Gjedde – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e319	Right-wing burning to get rid of the property tax is something historyless. On the right was the possibility to get rid of the property tax when the tax reform was negotiated in 2004, if the party had chosen to settle with the Progress Party. But the right chose a deal with the Workers' Party and still taxes on wealth. But leave it. The removal of taxes on wealth will increase the willingness to invest. It will be an investment in future value creation and in new jobs. It will safeguard the equity of family-run enterprises and ensure Norwegian ownership. It will also ensure that more investors and people with capital remain in Norway and that they will choose to invest their money in Norway. In other words, property tax is a penalty for investment and saving, a call for consumption and a call for capitalists to move abroad. The state's taking in 14 billion. kr in taxes on wealth. This contributes to a corresponding increase in the surplus of the State budget. The money is placed in the oil fund. The oil fund uses the money to buy shares in our competitors. Does the Minister of Finance think that AS Norway gets better returns on this money in the oil fund than if the money was managed and invested by Norwegian business owners and investors?
ParlaMint-NO_2011-04-06.ana.ud2177e328	First of all, I would like to thank the representative for his support for his story. It's part of the story, but the political game doesn't always work to get the marriages you want in politics. Some people make agreements with others other than them, but this is the policy. My main point is that the Right had an opportunity when they put in government to do far more with the property tax than they actually managed during the four-year period. With regard to the approximately 13 billion that the property tax means, removing the property tax means finding other forms of holding up the income of the country. Finding tax proposals that absorb such large amounts is difficult. It would be very hard to get away from, for example. increasing the employer’s contribution or increasing the social security charge, which would have a significant impact on the provision of employment.
ParlaMint-NO_2011-04-06.ana.ud2177e337	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e340	It's always exciting to hear when government parties are going to talk about property taxes. For one day – in the context of the campaign – it is the tax that really puts the distribution society and inequalities on the agenda, and one fights for the tax on wealth. The second day, as the Minister of Finance is doing here today, one boasts of how many fewer people suddenly pay the same taxes on wealth that you are very much for, when the mood dictates it. My question is: does the Minister for Finance think, objectively from his point of view, that the property tax is positive or negative for Norwegian business?
ParlaMint-NO_2011-04-06.ana.ud2177e346	I believe that the wealth tax has an important distributive effect. It's not weakened from yesterday to today. The Minister of Finance's mood in relation to the taxes on wealth is much the same all the time. It's that we need property taxes to have a fairer distribution in the tax system. The evaluation shows that the tax on wealth has made the tax system more progressive. However, the fact that we have made redistributions in wealth taxes by expanding the base, increasing the bottom line is also a recognition that for some enterprises with smaller and medium-sized assets, this can be a challenge. Therefore, one has made the conversion that one has done with the property tax. In addition to what was involved in the 2006 tax reform, such as protective deductions and the share dividend tax, I believe that all in all it is a change that is good for business.
ParlaMint-NO_2011-04-06.ana.ud2177e353	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e356	I will continue on the track to the Seven: the left has been on a number of company visits, and one of the visits was at the Aass Brewery in Drammen. Aass Brewery is a typical Norwegian company; it is family time, it is run by the fourth generation and employs 150 people. They run fairly; almost all the profits are brought back to the company, but as the manager, Terje Aass, said, "We never got thanks or a pat on the shoulder because we contribute to value creation and employing a significant number of people. Instead, we're being countered. The changes in taxes on wealth and inheritance have made it more difficult and expensive for the next generation to take over. This is not money that this generation has on book, but for which they have to bottle up the company. Is that what the Minister for Finance wants?
ParlaMint-NO_2011-04-06.ana.ud2177e363	I see that in some companies that might be what you could call liquidity challenges in paying the property tax. It is a disadvantage that one has to weigh up against other effects that property taxes have, among other things. ensuring a fairer distribution between taxpayers. So I agree that it's a difficult balance sheet, but we've chosen to keep the property tax primarily for important redistribution reasons, so that a more than previously paid tax by ability. But I would also like to say that I think one of the most important things about Norwegian business is that we are able to conduct an economic policy that keeps interest rates low and that ensures that we get a responsible income statement in the big accounts. I think that's what's most important for Norwegian value creation and production in the future.
ParlaMint-NO_2011-04-06.ana.ud2177e370	Let's go to the next main question.
ParlaMint-NO_2011-04-06.ana.ud2177e373	The question goes to the Minister for the Child. I also take the opportunity to welcome him back after the paper commission. We appreciate seeing him back in his work. I want to go from the wealth tax to the administration of other great values that exist in the Norwegian community. For the past few weeks, the address paper has had a series called ‘The Forgotten Children’. There they present the story of 40 babies in foster home queues, which they have followed for almost two years. These stories tell us about a child's protection that gives a lot of kids good help. And then they also tell us that on the way to getting that help, many kids experience instability and moving on the move on the move. I could have told the story to Kari in ten years, who has tried to move from one measure to another. I could have told the story to Silje in seven years, who has moved ten times in his short life. Psychologist Kristin Lemmervik states to the Address Paper in this context: ‘Many movements may result in the child’s being rejected and worthless. The child does not trust in others. He wonders what is wrong with himself. He fears how long it will last." These are the most vulnerable kids we have. And the question to the Council of State is, what will the Council of State do to ensure that the young people for whom the authorities are actually taking responsibility will have the security and stability that was the whole point of taking care of them?
ParlaMint-NO_2011-04-06.ana.ud2177e385	Thank you for your question and thank you for your welcome. I have also read the articles of the Address Paper with great interest. They're part of an image of an increased awareness of child protection, which I think is positive, part of an image of an increased political focus on child protection, and part of an image that gives more shades of child protection, because we now see that there are many good news from Norwegian child protection. There is optimism in child protection even in relation to the increased resources now being given to child protection. We have conducted a user study to show that children in child protection are largely satisfied with the way they are treated in child protection. And we've just had a foster home study that's very uplifting, because it shows that most foster parents are not only satisfied and proud of the job they're doing, but could imagine doing it again. We're not going to let the good news in child protection become a sleep cushion, because we also have many serious problems that remain to be solved. One of them is that we still have cows in child protection. Although the queues for foster homes are reduced, they are still too long. Another is precisely the problem raised by the representative. I have also met many children who say they have moved too often. There might be different reasons for that. There are children in institutions who experience that the institution is being closed or is losing a tender and must move for that reason. There are children who have been moved between foster homes, and there are children who experience that there are constant struggles between child protection and biological parents about who should be responsible. For this very reason, I have said that when we are now well-started with the first stage of the reinforcement of child protection, which is the resource situation, we shall start the debate on principles. And one of the principles we need to discuss is the biological principle of child protection and whether we open up too many fights about the child's care situation.
ParlaMint-NO_2011-04-06.ana.ud2177e396	I thank you for your answer. I share the Council's description that there are both positive features and challenges in child protection. But I do not feel that the Council of State gives any very good answer to how he will solve the problem of many movements. It is also true that many of these movements are actually due to a lack of follow-up from child protection and a lack of child protection capacity. This applies not least to municipal child protection that does not have the power to follow up foster parents, which causes foster homes to collapse. And it's not least that we have foster home queues, which make the kids come into foster homes too late. Then ear-marked grants are good, and the government deserves praise for strengthening the county council. But the Council of State has not announced any further action, any promise, to lift the sector to meet the need that is actually there. We have not received a stepping-up plan for full child-resistance coverage. So the question is, what will the Council of State do to raise the child protection sector to the level it deserves, so that we give young people stability?
ParlaMint-NO_2011-04-06.ana.ud2177e403	I will do that both by improving the resource situation for child protection and by addressing the systemic challenges we face in child protection. The government is now making the biggest promise for Norwegian child protection in 20 years, and we're doing it in two stages. The first one is about the most acute, which is strengthening the first line of child protection and getting rid of the queues in the counties. We do that through the allocation of 400 new positions to municipal child protection, which are ongoing in these days, and which will result in significant capacity improvements. And we're doing it by putting in place multiple denominators in the counties. So we budget, as I said, and as the representative knows, for just one year at a time. But there will be resource challenges also after that, as the government and I intend to address. Let's get to the system questions. It's about assessing whether there are things we can do in the purchasing system to create more stability. Magne Raundalen is now leading a sample to go through the biological principle, which will just look at the questions the representative has addressed.
ParlaMint-NO_2011-04-06.ana.ud2177e412	Four follow-up questions are raised – first Geir Jørgen Bekkevold.
ParlaMint-NO_2011-04-06.ana.ud2177e415	A very simple question to the Council of State: can the Council of State guarantee that the funds for municipal child protection will be stepped up even after 2011? Or do we still have to wait and see how things went in the government's annual internal budget drawdowns even in the years that come, despite the great unsolved tasks, despite the great documented needs, despite the deadlines, despite the queues, despite all the children who need help but who do not get it, at least not at the right time?
ParlaMint-NO_2011-04-06.ana.ud2177e421	The government has been very clear to the municipalities, among others. in the circular that first gave guidance on how to distribute the earmarked funds, that we have a long-standing perspective on the commitment we've now begun. It's not like this money comes one year and disappears the next. These posts are there to provide a permanent strengthening of municipal child protection. So is it that even though what we are doing now is the greatest promise for child protection since the early 1990s, which will mean a significantly better coverage in very many municipalities, there will still be resource challenges after 2011. We just grant money in the state budget, I can't afford money here and now, but I acknowledge and acknowledge that it will be such a resource need, and it's a goal for the government to do something about it in the future.
ParlaMint-NO_2011-04-06.ana.ud2177e428	Solvent Horn – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e431	Unintentional child protection movements are a major problem, as the first questioner asked. Much of the problem is due to poor coordination and poor follow-up and monitoring of children’s needs. In his answer, the Council of State says that there is optimism in child protection, but then I would like to inform you that, despite the optimism, the County of Troms is now very concerned because very many private non-profit institutions are being laid down because state spaces that are available are going to be used at any price. I will almost go as far as to say that the ideology of the government is at the expense of these children. The county fears that the children will now be offered a reduced offer because they are now being laid down. My question to the Council of State will then be: does the Council of State share the concern of the County Council in Troms that cuts in private places will affect the children who really need this help?
ParlaMint-NO_2011-04-06.ana.ud2177e438	There are a number of private institutions offering an important and necessary offer to Norwegian children’s protection. That's what the government is going to add up to, that they're going to keep going. One of the things I have previously notified Stortinget about is that we also go through the purchasing system we have to assess how we can protect ideal actors, among others. against the pressure from the commercial operators. I want to challenge the Progress Party on it, because the Progress Party is only concerned with the state capacity and sees it as a problem. I believe it is a matter of course that we should make full use of the state capacity for which we are paying in any case. Something else would be very bad resource usage. What really threatens the ideal actors is an increase in the commercialisation of child protection, that more and more commercial actors are coming in with a completely different resource situation from the ideals. Here the Progress Party sails under false flag because they have always wanted the commercial welcome, and so, in fact, they are the ones who stand for a policy that will squander the ideals over time.
ParlaMint-NO_2011-04-06.ana.ud2177e443	Olemic Thommessen – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e446	When you travel around and meet municipal child protection, and in and of course talk to those who work in the state, you sometimes get the feeling that there's something -- what should I call it -- a little unsolved in the transition between the municipal and the state. That's a very critical point. Because we're talking about those who are going into state child protection, are the heaviest, those who have the greatest challenges. Then there's one thing that's hit me in the last few days, and that's that we're now seeing research that shows that the kids themselves are less likely to be heard than before -- maybe a little surprising. The Children’s Protection Act says that children over the age of seven are entitled to be heard in the proceedings. Then I think it's a little disturbing to see that the system, be it municipal or state, gets a little bit enough with itself, and that today's children, as the research shows, are actually getting less heard. Could the Council of State reflect on that? And what will the Council of State do to pay for such a thing?
ParlaMint-NO_2011-04-06.ana.ud2177e453	I agree with the representative, Thommess, that is a concern I share. We are now doing a number of things to improve children's participation in child protection. This is also something that the Children's Convention very clearly imposes on us. We have carried out the first user survey in the field of child protection, with very interesting feedback. It's in itself a cross of thought that it's the first time it's done. It shouldn't be the last time it's done. I've been very concerned that the supervision of child protection institutions should always hear the children. One of the important objectives of the upgrading we are now undertaking in municipal child protection is that there should be capacity to take this seriously. The resource situation is no excuse for not doing this. But an improved resource situation will hopefully also produce better results. One thing that is important to emphasize is that this is not just a moral question about hearing children. Child protection is getting better if we hear children, we get more effective solutions that way.
ParlaMint-NO_2011-04-06.ana.ud2177e458	I want to follow up right where the Olemic Thommessen left off and the Council of State ended in its answer. For the Left, it is important to strengthen the first line service in the field of child protection. It is the first line service in the field of child protection that has the major challenges. They're the ones who see the kids in their eyes, and they're the ones who make the tough decisions in their everyday lives. We probably wanted to move resources, money, people -- everything -- down to the first line service. Because if you don't have stability in the first-line service, you don't get to do the things that the Council of State is now doing as well. If you're going to have good supervision, if you're going to give good guidance to people, if you're going to work with kids for the day, you're going to have to work with the same kids for a long time to have that stability. My question is, is the Council of State willing to take the big grips as well? The big grips are about building up the first-line service to be much better than it is today, by moving people, resources and decisions down the system.
ParlaMint-NO_2011-04-06.ana.ud2177e467	The short answer to that is yes. I'm glad that the bourgeois parties are going into such an open discussion, because there was a government left in it, which presented the reform that gave us today's organisation of child protection, and that has for several years ensured that the large amount of money in child protection has gone to state child protection. We've had a development where we've risked getting a large state upper body on thin municipal bones. I also hope that the representative Skei Grande will recognise the important shift that lies in the 2011 state budget, where the big money for the first time after the reform goes to the first line. It's a development I'm going to continue, and it's a development that's necessary, because it's the municipal child protection that's the first line that meets the children. We also need to review the system of child protection in order to avoid unnecessary conflicts and to discuss the distribution of responsibilities between the state and the municipality. I'll do that in a big message coming next year. Then I would like to invite Stortinget to decide on the future organisation.
ParlaMint-NO_2011-04-06.ana.ud2177e476	Let's go to the next main question.
