ParlaMint-NO_2011-06-01.ana.ud1111e26	The representative Anne Marit Bjørnfacen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2011-06-01.ana.ud1111e138	My question goes to the State Council of Storberget. In these days there has also been a violent debate in the Drammen area. In Lier, where a burned-out asylum provider has been empty for a year, a lot of wrecks have suddenly begun to be moved in. UDI has not informed the municipality and the Ministry of Justice has come to the heels. They're now saying maybe there's going to be 300 places there. Now we see this in the light of the last play of the Prime Minister to send the criminals out into the country. But we have just discussed in the Municipal Committee a proposal from the Left on the rapid treatment of asylum seekers who commit criminal acts. There the majority parties, and the Council of State, write that this is not necessary because ‘it is already well taken care of in the government’s work on asylum matters and return’. What has happened since Stortinget gave this setting four days ago, until Jens Stoltenberg's play now, which will suddenly bring new measures in this area? Hasn't the government done enough work?
ParlaMint-NO_2011-06-01.ana.ud1111e149	As regards the rapid treatment of asylum seekers who commit criminal offences, this is something that was well introduced more than a year and a half ago. It is a very good cooperation between the Oslo Police District, the Police Directorate and the Foreign Affairs Directorate, where significant results are actually seen. There are hundreds of people involved, and there are now – as I said in my previous answer – several thousand who are actually being sent out. As far as I'm concerned, it was about... 700 who had committed criminal offences sent out only last year. So that's a very useful tool. We see that what can really both bring down the number of unjustified asylum applications, which we have managed to halve, and help reduce crime, as we see now, actually happens in several places in the country, is that you react quickly. As far as the situation in Lier is concerned, I have stated that I believe that we cannot provide enough information in this type of case, and I am pleased that the meeting held between Secretary of State Lönseth and the municipality yesterday gave good results.
ParlaMint-NO_2011-06-01.ana.ud1111e156	Geir Jørgen Bekkevold – for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e159	My follow-up question goes to the Minister of State. When I saw the interview with the Prime Minister yesterday, I immediately thought that now the election campaign in Oslo is going on. Here, the Labour Party and the Prime Minister need to show their power of action, and what is better than to send criminal asylum seekers to the country. Here, Oslo's streets are to be cleared for criminal asylum seekers. From a regional policy point of view – we have now seen that the Länsmannskontoret in the Länsmannskontoret has been laid down in the districts – does the Minister for Local Affairs think that this proposal is a good regional policy instrument, and does she think that the small municipalities around Norway think that this bill was a very good idea?
ParlaMint-NO_2011-06-01.ana.ud1111e168	This proposal has nothing to do with district policy. There's a farce in the media on it. It is about making it easier for criminal asylum seekers to be imprisoned. I actually think there was a party in this hall that would have taken the wave for it. It is a question of ensuring that if they are not to be imprisoned, they will be returned to their asylum recipients. They are not to be sent out to the districts. What this government is busy about when it comes to district policy is ensuring a commitment to transportation that allows both asylum seekers and others to travel safely, it's having good municipal services, it's actually strengthening the county labour offices in line with what's in Soria Moria, it's ensuring business development and innovation across the country, and it's an active policy where municipalities can provide good and equivalent services across the country. It's our district policy. This proposal is not finally designed – it should not be a negative regional policy instrument.
ParlaMint-NO_2011-06-01.ana.ud1111e175	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e178	I would like to follow up – to the Minister of Justice. Yesterday, the Labour Party started its electoral campaign in the Workers' Society by singing 'Good in the Country', and it was thought that you would win the Oslo elections by sending all the problems out of town. The left has done the job in this respect. Maybe one of the reasons why the socialists always lose in this town is that you don't listen to the people who live here and listen to the police who work on this. The biggest problem, as they describe it, is that people are being expelled, but not handling the asylum application, only sending them to Schengen – sending them to Germany. Then it takes as long as it takes to buy an airline ticket in Berlin and get on the plane, before you are back along Akerselva. That is why the Left has presented the 8th document on examining the applications here and sending people out of Schengen. My question is, why don't you hear what the police say in Oslo about what would work? Why don't you go for those solutions instead of sending the problem out of town?
ParlaMint-NO_2011-06-01.ana.ud1111e187	As I said in my previous answer, it is such that we, together with the Oslo police district, have established a special, very good routine of how to deal with these matters as quickly as possible and as consistently as possible. That's what results are. It is also true that no other government has ever been able to point out both the type of procedure and not least the volume that can now be dealt with and enforced. So I have faith that one of the reasons we're now seeing a significant decrease in e.g. Gross burglary in Oslo — a half of it — is that very cash has been reacted to particularly foreign citizens coming to Norway and committing criminal offences. They react quickly to criminal law, and together with the foreign agencies, they get this into a track that makes them very quick to send out as well.
ParlaMint-NO_2011-06-01.ana.ud1111e192	Let's go to the next main question.
ParlaMint-NO_2011-06-01.ana.ud1111e195	I will continue to ask the Minister of Justice. This is because the previous round was not particularly elucidating. I would like to begin by congratulating the Minister on one part of what was launched yesterday, namely new rules to facilitate the imprisonment of criminal asylum seekers. It's a good turnaround. Two years ago, Right proposed this in Stortinget. Then, under the leadership of the president responsible for government at the time, the government said that this was not necessary. I think it's a good confession that now you think it's necessary, and that we might get caught up in the criminal activity that is obviously organised through asylum networks. But the second proposal, that of distributing those who commit crime of a slightly lower severity, around the country, seems to be a little thoughtful. Many of our rapporteurs just got coffee in the consternation yesterday when they felt that the Prime Minister was directly countering the work they have done over several years to create safer communities — the job of turning down drug turnover by a zero-tolerance strategy on drugs in their local environment and working to strengthen youth work on drugs. Then they are told that this government's gift to District Norway, or to smaller areas around it, is to create a new drug distribution network by moving asylum seekers who are in the open drug settings in Oslo, around the country. Because that's what the Prime Minister said. My question to the Minister of Justice is: Does he realize that yesterday many local politicians felt that the government is countering their strategy to make youth environments drug-free when they send more people with drug distribution networks around the country?
ParlaMint-NO_2011-06-01.ana.ud1111e206	I have to admit quickly that I understand, as the case has been made in the media, and as it has now evolved, that you are being worried out in District Norway. That's why I tried to be as clear as possible in my first answer, that this is not a proposal to send criminal asylum seekers around almost on a tour in Norway. But this is an extension of the home that you already already have to those who refuse to leave the country, and those who cheat with identity, that is, an opportunity to impose a permanent residence. We also believe that it is necessary to be able to do so in relation to those who commit criminal offences. Then it's most practical and close to thinking that they're like, for example, living at a reception in municipality A, and committing criminal offences in municipality B, is required to stay and be at the reception they have actually been assigned, and where they live, and to be in the municipality in which they are actually to be located, before being sent out of the country. This could be combined with a reporting obligation, which is also stated in the proposal, which makes it possible when the day comes, that the plane is clear and the ticket is arranged – and you have an agreement with the respective country – it will be easier for the police to find the person so that the broadcast is effective. That is the reason for the proposal. This has been on the hearing since last summer. To the extent that it has created misunderstandings about this that it is now time to start moving people around in small and large district municipalities, I just want to make it clear that it is not the intention of the proposal.
ParlaMint-NO_2011-06-01.ana.ud1111e214	I feel the need to read the press release of the Prime Minister's office, from which the Prime Minister quoted yesterday: ‘The Government will propose, inter alia, that asylum seekers who commit crime in open-ended drug settings in the major cities should be able to be assigned a specific place of residence elsewhere in the country.’ It does not sound like a small crime activity in the centre of Elverum if you live in a nearby asylum facility. What the Prime Minister said yesterday was that you should move those who are at Akerselva, those who are at Plata – those who are driving drug traffic here – to certain places in the country. Those who have then created these misunderstandings must be the government itself. Can the Minister of Justice say that it will be appropriate to move people involved in drug trafficking in Oslo to other places outside the Oslo region as a consequence of this proposal?
ParlaMint-NO_2011-06-01.ana.ud1111e224	I can cancel that far on the way. It will not be appropriate to transfer criminal asylum seekers to other municipalities, but they may be required to stay where they actually live, so that the police know where they are. That's the intention. We already have this provision in foreign legislation, linked to some asylum seekers. We also want to be able to apply this to those who commit criminal offences, so that they can better understand where they actually are, so that they can be effective.
ParlaMint-NO_2011-06-01.ana.ud1111e229	Four follow-up questions will be raised – first by the representative André Oktay Dahl.
ParlaMint-NO_2011-06-01.ana.ud1111e232	The Prime Minister’s opinion reads ‘other places in the country’. Then I would recommend that the Minister of Justice take a little talk with his media advisers to clarify, so that the country's prime minister does not make a false policy. Visible and accessible police are functioning. The newspaper today shows that the Right has been right for a long time when we have pointed out that the police coverage has fallen since 2004. What is the background for the Council of State to believe that crime will go down by exporting criminals from Oslo to the districts, where the police coverage is now lower than it was in 2004?
ParlaMint-NO_2011-06-01.ana.ud1111e241	Now I don't think that Norway's crime is getting any less by exporting people around the country. I tried to explain what was in the proposal. However, what is interesting in Norway, and which the representative André Oktay Dahl can bring with him, is that since we took over the government power in 2005, it has just been done the steps that need to be taken in order to obtain, among other things, greater police coverage in Norway. I believe that it is an unusually good answer to get a more effective and powerful police force to triple the recording at the Police College. If we're going to have more policemen, we're going to have to train more. And now the recording is up to over 700. It's never been so loud, and I'm glad that of those who graduated from the Police College last year, over 90 pst. the police payroll. I'm recording that I'm being blamed for bluff in the newspaper today, but it's interesting that whoever's the sender of the statement, the head of the Police Union, said last year at the same time that none of those who went out of the Police College last year were going to get a job. Now we have over 90 pst. Of them, working in the police. Then others will assess where the bluff is.
ParlaMint-NO_2011-06-01.ana.ud1111e248	The President must be allowed to recall that, in Storting's Rules of Procedure, supplementary questions should relate to the main issue. There was nothing wrong with it in this case. However, there is nothing in the Rules of Procedure to say that the answer should be related to the main question, but there are things that might suggest that it should be, because the main question was therefore asylum seekers who commit crime and not admission to the Police College. Per Sandberg – for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e253	Thank you for the President's comment, because then I wouldn't comment on it. I note that, to the best of my ability, the Minister of Justice is trying to get away from the challenge, namely that the Minister of Justice and the Prime Minister have different perceptions of what this proposal involves. Even the municipal minister has a different opinion. Now I think the Minister of Justice might be honest and say yes or no. Is this a proposal to imprison asylum seekers who commit a criminal act, or is it a proposal to impose permanent residence on asylum seekers with reporting obligations elsewhere in the country than in the major cities, because that is what the press release says? I believe that the Minister of Justice now has an opportunity to clarify this, so that the Storting will at least have a slightly better understanding of what is contained in this proposal, and not create this confusion by the Prime Minister, the Minister of Justice and the Minister of the Municipal Council here.
ParlaMint-NO_2011-06-01.ana.ud1111e260	I'm sorry if the president thinks it was outside the main question, but it's now reasonable that part of the build-up of these questions is on whether you can fight crime locally and that the police coverage is too bad. That was the background for me to take up the educational perspective. With regard to the issue of being able to impose permanent residence, it is therefore the case that today we have a basis in foreign legislation in order to impose a permanent residence on an asylum seeker, that he should be in that place – when they avoid persecution, among other things. We want to extend it to cases where criminal offences are committed. It will be very important for them to stay in the municipality where the reception is located and where they actually live. When asylum seekers who are travelling in the country commit criminal acts elsewhere than where they live, the government's view is that it can be a constructive tool to know where they are, that it is decided that they should be within the municipality they live.
ParlaMint-NO_2011-06-01.ana.ud1111e267	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e270	This is starting to be a pretty interesting round. I note that the Council of State says that it is ‘made in the media’, but when I saw the media yesterday, it was the wise Prime Minister ‘live’ who immediately said what has been quoted several times today, and then it would have been interesting to know whether Storberget really thinks it is the Prime Minister who has misunderstood the proposal. But I can ask another question, because the simple thing is often the best: if you're an asylum seeker at an asylum reception in Oslo and do something criminal in Oslo, are you going to be sent out of Oslo?
ParlaMint-NO_2011-06-01.ana.ud1111e277	I don't see that as a matter of time, that you are then sent out by Oslo. But it may be topical to have restrictions on your freedom of movement and to be told that you are at the reception you live in Oslo, and also to be obliged to report to the police, so that you can ensure that when that day arrives, you have an opportunity to pick him up for transport to Gardermoen. It may also be an option to be required to stay, for example: However, the fact is that there is more talk of getting a prison decision at the Gardermoen and the rest of the world, so that we actually move to Trandum. When the day comes, it's okay to find him. Then you will be moved out of Oslo, but then to Ullensaker.
ParlaMint-NO_2011-06-01.ana.ud1111e283	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e286	I am most disappointed that the Minister of Justice has not done the job of understanding what the problem is. There's not a number of expulsions here. Most of the people who talk about this are expelled from Norway many times. Some of them have over 40 expulsions from Norway. They've been transported again and again. The point is that they come back, because they are not transported out of Schengen, they are sent to the first country for asylum applications — often for example. Germany. Why has not the Council of State heard policemen saying that they are transporting the same criminals repeatedly and again out of the country because asylum applications are not being treated in Norway? Transport is not carried out to Morocco and Algeria and the countries from which we know they come, but to Germany, the Netherlands and the countries which were the first to be applied for.
ParlaMint-NO_2011-06-01.ana.ud1111e293	The implementation of the Dublin acquis, which is being discussed here, is of particular importance in order to reduce the number of unwarranted asylum seekers to Norway. I'd like to warn as strongly as I can, against a policy where we park the cooperation that lies within the Dublin Convention, that is. return to the country in which asylum was first sought. If Norway were to suspend those rules, I am afraid that many would have chosen Norway as a destination, so it is important that we follow that cooperation, that it is the country in Europe that first received the asylum seeker and registered it, that actually deals with the asylum application. If we think that there is any benefit in dealing with the application here in Norway, and that there will then be some minor risk of returning to Norway when returning to the country of origin, I think we have to think about it, because this is primarily about dealing with asylum applications where the person first applied for asylum.
ParlaMint-NO_2011-06-01.ana.ud1111e302	Then we move on to the next main question.
ParlaMint-NO_2011-06-01.ana.ud1111e305	I will continue to focus on the government's district policy, but this time I will ask the Minister of Local and Regional Affairs about jobs in the districts. It's a case that upsets the red-green politicians in North Norway. We know that fishing industries have been the dominant industry in North Norway. In some island communities it's actually like 40 pst. the population is employed in this industry. The industry has also created many jobs on land; in fishing facilities, in the processing industry, in the shipbuilding industry and in transport. The connection between marine resources and construction has been very important. This was the idea and I would also say one of the success formulas behind the Norwegian oil adventure, i.e. activities at sea, operating organisations and shore-based bases. Now the petroleum industry in Norway is entering a new era. We're moving from the center of gravity from the south to the north. Therefore, it is very alarming that the government will throw away such an important regional policy tool, the requirement that we can have operational organisations and based on land. The Christian People's Party is in complete agreement with the Center Party when the Center Party says that we must pursue an active and targeted regional and regional policy that leads to the creation of value, jobs and well-being where people live. Therefore, it is impossible to understand why the government is throwing waste on such an important regional policy tool, namely the requirement for operating organisations and based on land for the petroleum industry.
ParlaMint-NO_2011-06-01.ana.ud1111e314	Interestingly, Knut Arild Hareide and the Christian People's Party are just asking this question. For the background to the issues sent to Stortinget, the EEA Agreement is – once again. Professor Finn Arnesen refers to the EEA Agreement in the nations today. According to him, this agreement is governed by Norwegian law. As a result, this case, whether it had come to the EU Court of Justice, would have led to the danger of losing the case in the EFTA Court being very large, because the ESA legislation, which is linked to the EEA Agreement, is under Norwegian law. Professor Finn Arnesen also says that the solution the government has come up with is “reasonable and patternable”. One had to change because the EEA Agreement deals with the four freedoms, the EU's internal market, and that the legislation of Paragraphs 10 to 2 of the Petroleum Law goes beyond one's ability when competition is to be superior to getting conductors and demands for jobs in the north. And so is it, and it's important to say, that what has been presented to the Storing will not prevent one from continuing with today's practice. The same professor at the Centre for European Law also says: Yes, one has let go a little – one has to meet ESA – but one also has a tight edge, so that one will also have the right to make specific demands on the Norwegian legal system. The important and quite clear objective of the oil and energy minister and the government has been that we should still be able to have today's practice, but because of an EEA agreement, which the Central Party has never wanted, but which the Christian People's Party participated in, we must make these changes.
ParlaMint-NO_2011-06-01.ana.ud1111e325	I think it is a little special when we hear the Council of State saying that the EEA Agreement is above Norwegian law, when we see the management of the government in this matter, a management where the government has, first of all, been operating secrecy on the basis of the fact that she is afraid of the consequences if this had been brought to the attention of the large groups in this Chamber, and, second, that there has not been any hearing on this matter. So the Council of State is saying that something is above Norwegian law. It's this room that's going to deal with this, but we're not going to be able to go into it, but we're going to be the legislative assembly – no hearing!
ParlaMint-NO_2011-06-01.ana.ud1111e330	I hear the representative swinging up to the great heights, but he does not take a position on what is at the heart of the matter, namely the EEA Agreement and the requirements of ESA, an EEA agreement that the Christian People's Party was driving to introduce. I quoted Professor Finn Arnesen of the Centre for European Law, who today claims that the EEA Agreement and ESA are under Norwegian law. So we can mean what we want about it, and there might be different views of how we want this world to look like. But what he and other professional bodies also say, and of course also professionals both in the departments and those consulted, is that the danger of losing this case, and thus having additional restrictions also in relation to today's practice, will be great. When there are questions related to the specific handling in another department, I asked for an understanding that I cannot comment on it.
ParlaMint-NO_2011-06-01.ana.ud1111e339	Four follow-up questions have been asked and given an opportunity to do so – first Geir Jørgen Bekkevold.
ParlaMint-NO_2011-06-01.ana.ud1111e342	The reality of this case is that according to ESA’s demands, the government now opens up the possibility that oil companies with concessions for oil extraction in North Norway may choose to operate most of the business from any EU country. So it took care of the Center Party in government. And the worst thing is that, as Hareide was also involved, the government has actively tried to keep the matter hidden from the public. In a letter to the Civil Ombudsman on 11 May this year, the Ministry of Oil and Energy writes: ‘Surveillance of that ESA letter could lead to a press review of the case or a publicity from others, and this was politically important for the government to prevent. This was not least important in view of the groups of parties on the Stortinget, which could easily get a false impression of the case if it was wrongly or uncritically publicly referred to.’ My question to the Council of State is: Is this in line with the government's ambition of Soria Moria for a clear, early and open European policy?
ParlaMint-NO_2011-06-01.ana.ud1111e352	The negotiating tactical link to the agreement is, of course, the Ministry of Oil and Energy. And I've registered that you've wanted to keep a very low profile in the negotiations. It gives the Stortinget the full opportunity to discuss when the Saka has come here, and the Stortinget should also have a hearing next week and discuss the matter further. I would like one to take up the specific questions with the Minister of Oil and Energy and the department that has been responsible for the specific matter. When it comes to government policy, and both open and early intervention in many issues related to the EEA Agreement, and other important issues relating to the EU, I think we have made a big change with this government. We're early in processes. We are also able to turn matters to the best of Norwegian interests in this way, and under the terms and conditions of debt to the EU, we have good cooperation with our good friends around Europe. For Norway is a country in Europe. We are not in the EU, but cooperation and interaction are important.
ParlaMint-NO_2011-06-01.ana.ud1111e360	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e363	I'm a little surprised when I hear the argument from the Council of State. For you would think that the EEA Agreement was what was a barrier to district policy. But the Council of State itself says that the changes that the government is now proposing in the petroleum law make the law conform to current practice. The government says that one has not used the space of action for which the law has so far provided a basis, but has taken a less offensive line, and now the law is changing so that it also becomes less offensive. Is that good district policy? In my ears, it's not that. It simply shows that the government cannot owe it to the EEA Agreement, but in fact to its own lack of offensive commitment that the oil business should benefit the whole country. Yes, there are some oil fields that are being developed, but the pace could have been much higher. We see that where oil fields are opened, like outside Hammerfest, there is a significant revitalisation of local business and housing. Is it really the EEA agreement that has been the problem for the government?
ParlaMint-NO_2011-06-01.ana.ud1111e370	In many areas, the EEA Agreement prevents one from having as offensive a district policy as the Centre would like and which the government could also wish for in a number of areas. We have to live with that, because we have decided that he is the basis of his government's work, and then we stick to it. And so do we in this case. We actually have to keep us that ESA has raised a case, and that we have to stick to it. We also need to maintain that in the practice that has been practised, we need to make a difference to the possibilities that the company has just to bring a case before ESA. So we also have a practice that gives us a lot of activity, a lot of bases. I can refer to my own state, in Florø, where the activity has increased from almost nothing to today there are at least 600-700 jobs – a fantastic development. We can take base for base northwards, not least in North Norway, associated with the activity there. There will be more activity in North Norway. The government will also help to increase activity on land. The last management plan, which was created earlier this year, shows that a new area is being opened and that there will be more activity.
ParlaMint-NO_2011-06-01.ana.ud1111e379	Ivar Kristiansen – for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e382	My impression is that the center part of the degrees today has been taken with the pants down. I guess there's no party that's had it more as its own sport to challenge the ESA system. I think the Council of State could take the trouble to quote Professor Arnesen in full, because he also says that he will not comment on whether the Ministry of Oil and Energy has been open enough on this matter, and that is after an opening letter that has nothing to do with the negotiations on this matter. So you don't even want to take the trouble of checking out what kind of action space the Petroleum Act provides for the development of the nation within our largest economic, industrial and knowledge clusters. So all normal democratic processes have been phased out in a case that requires transparency, that requires consultation, and that, in fact, also requires the involvement of people living in this area. Why are normal democratic processes being phased out?
ParlaMint-NO_2011-06-01.ana.ud1111e387	I'd like to ask the President to consider how much a specialist council should comment on another specialist council's area. I can answer in general, according to the government's policy: we're a government both for openness and not least for challenging ESA. The interests involved are very vital to Norway. The fact that we can make sure that through a trial as a professional body, either Arnesen or others, we say that we would be doomed to lose, we could be at greater risk of intrusion than what we are now able to negotiate through that process, it's the deviations that a government must make. Which Will Tene the Future Best? And what you've put on, I think I'll feel best in the future because we'll still be able to make demands on the lawyers about activity on land. It has been very important for both the Center Party and the government: that we should also continue to impose the requirements on the company.
ParlaMint-NO_2011-06-01.ana.ud1111e394	To the question from the Council of State, the President would just say that sometimes the political issue lies in the borderlands between several ministries, and it is up to the Council of State even if one wants to answer. But if there are questions that are obviously entirely under other departments, the Council of State has the opportunity to choose not to answer the question. Abid Q. Raja - for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e399	As a Muslim, I'd rather not bring anyone with my pants down, but now the cat is out of the bag. However, I react to the fact that the Council of State, which is responsible for regional policy issues and for district policy in Norway, has not dealt better with this matter. [[Laughter]] This is a embarrassing matter for the government, one that you did not want us in Stortinget to see. Now, however, we have got this insight, thanks to the Evening Post. Now that we know what ESA thinks about it, I wonder what strategies the Council of State has to ensure that the Norwegian districts – and especially North Norway, in view of the latest oil discoveries – keep jobs and values where they are. She must be able to answer that, even if she is not an oil and energy minister. I expect that at least she has knowledge of her own department and what they intend to do to ensure that the districts get to keep both the jobs and the values there.
ParlaMint-NO_2011-06-01.ana.ud1111e410	I can keep a separation longer if it is than the minute I now have at my disposal. Firstly, I use a lot of power both in the Ministry of Oil and Energy and in other departments to ensure that the various sectors secure jobs, and secondly because the broad district policy is also about what welfare developments we have and how we develop the community sector. This government has more than 48 000 new annual works, not least in smaller municipalities – also in northern Norway and in other parts of the District of Norway. One must ensure a transport policy that facilitates business, ensure an industrial policy, both largely in relation to industrial policy and small ones, through the municipalities. They have increased their funds significantly since this government came to power, they use it through Innovation Norway, SIVA and other instruments. They can be used for entrepreneurship and innovation. And we're going to make sure through the law that we can be involved in the continuation and make demands on the legal entities on the Norwegian pedestal. This is also what we are doing in this matter that is being discussed today.
ParlaMint-NO_2011-06-01.ana.ud1111e419	I almost got an answer to the question.
ParlaMint-NO_2011-06-01.ana.ud1111e424	Let's move on to the next main question.
ParlaMint-NO_2011-06-01.ana.ud1111e428	My question goes to the Minister of State. I perceive that the Minister of Local Affairs has a sincere commitment to local democracy – and it will be allowed to flourish – even though she is constantly feeling overwhelmed by her partners in the government, especially in the field of asylum. But I was going to give an example, if I am allowed to: in my own municipality of residence, Harstad, it is clearly demonstrated that local politicians need to be corrected in dealing with local democracy and the rules of the municipal law. We have one thing in Harstad about tolls – introducing toll funding. In order to ensure a majority of tolls, the Workers' Party and the Right chose to operate with what is the selective calling of representatives to meetings. It is clear in the Official Journal of Harstad how to clear away opponents, let alone call in representatives who are against tolls, in order to obtain a majority of the local government. Even worse than that: the head of the Harstad Workers' Party goes so far as to instruct employees in the City Hall to refuse legally elected representatives access to the Municipal Council and access to the City Hall, because the representative in question has a so-called "wrong" meaning in terms of tolls. This is a fairly horrific example of a violation of the municipal law, and a lack of respect for the rules of local democracy. What do the Council of State think about these types of examples, and what will be done – not least to ensure that democratic rules of play are observed in Norwegian municipalities and that the municipal law is complied with? Here in this case, it is quite a coincidence that you get insight into what actually happened, and I fear that this also happens in many other municipalities.
