ParlaMint-NO_2011-10-01.ana.ud869e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2011-10-01.ana.ud869e335	I allow myself to propose Per-Kristian Foss.
ParlaMint-NO_2011-10-01.ana.ud869e343	Per-Kristian Foss has been proposed to the second Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2011-10-01.ana.ud869e351	The President then asks for proposals from the Third Vice-President of the United Kingdom.
ParlaMint-NO_2011-10-01.ana.ud869e356	I allow myself to propose Marit Nybakk.
ParlaMint-NO_2011-10-01.ana.ud869e363	Marit Nybakk has been proposed to the Third Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2011-10-01.ana.ud869e372	The President then asks for proposals from the Fourth Vice-President of the United Kingdom.
ParlaMint-NO_2011-10-01.ana.ud869e377	I'm delighted to propose Akhtar Chaudhry.
ParlaMint-NO_2011-10-01.ana.ud869e385	Akhtar Chaudhry has been proposed to the Fourth Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2011-10-01.ana.ud869e393	The President then asks for proposals from the Fifth Vice-President of Stortinget.
ParlaMint-NO_2011-10-01.ana.ud869e398	I am delighted to propose Dagfinn Høybråten.
ParlaMint-NO_2011-10-01.ana.ud869e406	Dagfinn Højbråten has been proposed to the Fifth Vice President of Stortingen. Other proposals are not available.
ParlaMint-NO_2011-10-01.ana.ud869e415	The Secretary and the Secretary of State of the Grand Duchy shall then be chosen. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2011-10-01.ana.ud869e421	I suggest Tor-Arne Stroem.
ParlaMint-NO_2011-10-01.ana.ud869e428	Tor-Arne Stroem has been proposed to the Secretary of the Storting. Other proposals are not available.
ParlaMint-NO_2011-10-01.ana.ud869e436	The President then asks for a proposal from the Secretary of State.
ParlaMint-NO_2011-10-01.ana.ud869e442	I suggest Karin S. Woldseth.
ParlaMint-NO_2011-10-01.ana.ud869e449	Karin S. Woldseth was proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2011-10-01.ana.ud869e457	Norway's 156th magnification is hereby declared legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the government, so that he may obtain the King's decree on the time of the opening of the Great. – It shall be deemed to have been adopted. The time will be published later. The President requests that, after the Grand Duchy has been declared to be open, and after the census and the report of the state of the kingdom has been delivered, give the customary wish to the King and the country of origin – and consider this authority to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting. This authorisation shall be deemed to have been granted. As a deputation, representatives are appointed Ingjerd Schou, leader, Jon Jäger Gåsvatn, Thor Erik Forsberg, Wenche Olsen, Vigdis Giltun, Freddy de Ruiter and Inbjørg Gössken. In response to the solemn opening of the Stortinge, Oslo Bishop has invited Stortinget’s representatives to worship in Oslo Cathedral on Monday 3 October. 17. Does anyone want a word before the meeting is cancelled? - The meeting's been cancelled.
