ParlaMint-NO_2011-05-25.ana.ud1979e26	The representative of Sonja Mandt, who has been licensed, has once again taken his seat.
ParlaMint-NO_2011-05-25.ana.ud1979e124	It is an interesting question that the representative fleet asks, whether it damages the industry's reputation, and whether something should be done with the agricultural contract institute, as I understand the question. I think we need to keep the Agricultural Agreement Institute. It allows for influence on the part of business organisations, and at the same time they have to take responsibility for overproduction, to put it simply. So the agricultural agreement system is important and must be defended. That we get this kind of discussion, I think it's pretty logical in a society where there's openness and we want a political discussion. The fact that the requirement is significantly higher than the offer and that the result is slightly higher is also logical. I believe that the result of the agricultural agreement this year is good for Norwegian agriculture. It gives income opportunities beyond what other groups have, as a percentage, it gives a crown-like development compared to other groups when one rains like that. The starting point for it is that one starts at a very low level. But doing something about the system means I'm wrong.
ParlaMint-NO_2011-05-25.ana.ud1979e133	Rigmor Andersen Eide – for follow-up questions. The president announced three follow-up questions, but in addition, the representative Abid Q. Raja has also asked for a follow-up question, and is given the opportunity to do so.
ParlaMint-NO_2011-05-25.ana.ud1979e138	The agricultural settlement of the year has several sides. The final contract profit or loss does not provide an income promise that provides the basis for the necessary faith in the future. We've looked at the reactions of the farmers. An area that is important for both quality of life and recruitment is the possibility of regular holidays and leisure time. A 2008 survey showed that half of those asked leave less than three weeks. Each 12th farmer does not have a holiday at all. It may be difficult to get a replacement, you can't afford to take a vacation. The negotiating committee thought there was a need for 7 pst. increases in grants to welfare schemes, including: for holidays. In the final agreement, there was only 4 pst. How has the Council of State intended that the farmer should take part in the development of wealth also in terms of holidays and leisure time?
ParlaMint-NO_2011-05-25.ana.ud1979e147	The most important thing for the farmer in relation to various welfare schemes is that he has an income he can live on. This means that in the development of income, there are also appropriations for redundancy grants and holiday and leisure schemes, which are part of the total package. There was an agreement on 4 pst. I think that's a fairly correct result. There was an agreement on a frame of 1.4 billion. kr. It provides an increase for Norwegian farmers who are significant and who are in line with what we have managed to achieve in increasing income opportunities over many years. The total development since 2006 is DKK 110 000. It should provide confidence in the future for Norwegian farmers that the red-green government is involved in delivering such good results.
ParlaMint-NO_2011-05-25.ana.ud1979e152	Abid Q Raja – for follow-up questions.
ParlaMint-NO_2011-05-25.ana.ud1979e155	The Vara representative first thanks the President for speaking time! The agricultural settlement of the year contains several elements. In particular, the value of the promised tax changes related to social security contributions, agricultural deductions and the food production charge is estimated to be 400 million. kr in the farmer's favor. In the view of the Left, this presents us with a major democratic problem. In the form of a letter, the Minister of Finance, the Bondelag, informs that these changes will be proposed in the context of the 2012 government budget – long before the Stortinget has received the same information. The conclusion of the agreement shall read as follows: «These two letters have been used by the parties as part of the basis for the premises of the contract concluded.» In reality, if the agreement on agriculture is approved, the Stortinget also adopts tax changes for 2012 before the Stortinget sees the context of fiscal policy. Not least because the government has promised to keep the overall tax package unchanged in 2012, it means that there are some others who have to pay the tax bill to the farmer without knowing who today. Does not the Council of State see the democratic unhappiness in this? And who is it that the Council of State might send this bill to – to business or to most people?
ParlaMint-NO_2011-05-25.ana.ud1979e171	Major structural changes have been made in several contexts of the agricultural agreement. The discussion has also dealt with tax matters in previous agricultural settlements. I see that it can be a challenge. At the same time, it is quite clear that the budgetary implications of changes in food production fees, etc. will be included in the budget for next year. It will be part of the proposals put forward by the government in October. It will be that we continue to keep the tax policy and the promises that have come there, and we will then come back to how we solve the budgetary adjustments that must result from this change.
ParlaMint-NO_2011-05-25.ana.ud1979e176	Let's move on to the next main question.
ParlaMint-NO_2011-05-25.ana.ud1979e179	I have a question for the Minister of Transport. The Minister for Foreign Affairs has recently been in Brussels at the EEA Council meeting, and he has been here and explained afterwards. One of the themes was the third EU postal directive. It is natural for Norway and Norwegian enterprises to benefit from access to the EU’s large internal market for 17–18 years, and the possible negative consequences of a conflict with the EU are difficult to understand. However, with its position on the Postal Directive, the government has created an unnecessary uncertainty. Because while our dynamic state enterprise The Post is asking for full access and competition in a market they define as their domestic market, i.e. Nordic, the government, and in particular the Centre Party and SV, has apparently been more concerned with testing EEA cooperation. Let me quote from yesterday's speech by the Minister for Foreign Affairs, which mentions Norway's position on EU directives in general, which gives rise to optimism: ‘We are well served by Norway’s adherence to these directives, not from a forced point of view, but because Norway, perhaps above all some, has served with uniform legislation, equal playing rules, predictability and recognition.’ [[...]] That is well said, and in line with the view of the Right. The Minister for Foreign Affairs has also made it clear that he is now entering into a negotiation process with the EU and will not pre-empt the outcome. In other words, the outcome of the negotiations will be crucial for the Norwegian position. This is also referred to in Today's Business Today. Thus, the right of reservation, to which other government parties still refer, was not mentioned. My question to the Minister for Transport will then be whether she also sees the possibility that we can clarify the ambiguities and find a agreed solution as a way out of this mess. Or is the requirement that the right of reservation be applied in any case?
ParlaMint-NO_2011-05-25.ana.ud1979e197	The Government has decided to make known to the EEA Committee that we wish to benefit from the right of reservation in connection with the third EU postal directive. The reason is the peculiar quality of our society that we want to keep, which relates to post-transmission six days a week, mail at the same price, that's the one-porto. We have carried out five distributions where the consequences for those added, the pay and the employment of those added are also a central element. That's the background. Then there are certain procedures associated with this. The first was to inform the Stortinget. It's done. This is about informing our partners in EFTA. Then it's the EEA Committee. There was a meeting of the EEA Council on Monday, and that was where the Foreign Minister did well for Norwegian views. I don't want to advance the way these negotiations are going. It goes without saying that it's wise to wait for them to walk. There is a procedure under Article 102 for the management of the right of reservation. It's the one that's now being followed. It goes without saying that the government here agrees on that further passage.
ParlaMint-NO_2011-05-25.ana.ud1979e206	President, it is possible that you perceived a clear answer here – at least I did not. The Minister of Transport accused us the other day of wanting to raise Norwegian standards in our society on board with a pen stroke, as she said. It's a pretty strong claim when we know that we want others to get together and to be able to bear the qualities of our society, that's a free and competitive business. No country has, as it is known, isolated itself from growth and progress. I would therefore like to ask the Minister for Transport quite specifically what she refers to as Norwegian qualities, namely six days' travel and one-porto for letters under 50 grams. Where does the third EU Postal Directive state that Norway cannot maintain this by incorporating the Directive?
ParlaMint-NO_2011-05-25.ana.ud1979e216	What is presented in this directive – and in the light of the provisions of the Ministry of Transport – is that there is pressure on the one-person portfolio, on six days' pay and working conditions for postal agents. So it's that way that we can have different approximations to different directives. Here I thought we must have respect for different views. I can't, like Halleraker and Right, embrace every new directive that comes in. There are many directives here that need to be looked at with a critical look. We have recently had a round on another directive in this way, the Data Storage Directive. So when it comes to the Postal Directive, the government agrees on the procedure.
ParlaMint-NO_2011-05-25.ana.ud1979e223	Three questions have been asked and given rise to follow-up – first Jan Tore Sanner.
ParlaMint-NO_2011-05-25.ana.ud1979e226	This just becomes more and more unclear. First of all, the Minister of Transport is now saying the exact opposite of what the Minister of Foreign Affairs said yesterday. Because while the Minister of Transport is now saying that the government has decided that it wants to exercise the right of reservation, yesterday the Minister of Foreign Affairs said that I will not rule out that we can agree with the EU. Then, if you're going to make a reservation, there's got to be something to reserve against. I have understood that what you're concerned about is six days of mail distribution, that's unit price, and that's good working conditions. Then I must be allowed to repeat the question from Øyvind Halleraker: Where in the postal directive is it said that it will not be possible to maintain six days of mail distribution? Where is it said that it is not possible to maintain the unit price? And what would it mean for it to go beyond the working conditions for the distribution of less than 50 grams? [[President clubs]]
ParlaMint-NO_2011-05-25.ana.ud1979e233	The president wants to reserve himself against people not respecting speaking time.
ParlaMint-NO_2011-05-25.ana.ud1979e236	Let me make it quite clear: the impact of the third postal directive was important for the government to gain more knowledge about what the text of the directive is like. Thus, the Soria Moria Declaration explicitly reported. It was reported that we delayed the implementation, and it was reported that we wanted to acquire knowledge. We got knowledge, and we went through the different things very carefully. This is the background. The government can't tell us that we'll use the reservation right if we're not in advance. But then it is clear that the outcome of the negotiations we are going to enter into with the EU is no one to know at this point.
ParlaMint-NO_2011-05-25.ana.ud1979e241	Arne Sortevik - for follow-up questions.
ParlaMint-NO_2011-05-25.ana.ud1979e244	This isn't easy to understand. It seems that the right of reservation is used, but in the view of the Progress Party, it is not a sin that is applied to a matter of national importance, namely in the case of privacy and data storage. What remains as questions is whether the reservation will be lost in the dialogue, if this is only a game. When the Foreign Minister says, in any case in some context, that the dialogue can lead to the effective implementation of the Directive, there is considerable doubt as to whether this is a right of reservation with real content. What is the Minister of Transport's view that this dialogue can actually lead to the postal directive being introduced anyway?
ParlaMint-NO_2011-05-25.ana.ud1979e249	In fact, I think it is important to stick to the procedures that have been set up for a case like this, and which is thus set out in Article 102, which tells about both cancellation in turn and order and about negotiations. I find it neither right nor possible to say in advance how these negotiations will proceed. What is our point from the Norwegian government is that there are qualities in today's postal delivery that we want to deliver, and that is why we have notified what we have notified the EU.
ParlaMint-NO_2011-05-25.ana.ud1979e254	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2011-05-25.ana.ud1979e257	There is a collective opposition that is somewhat confused. I think it's going to be taking things in the wrong order to say that here we have to make a reservation. The most important thing is what we do in dialogue with the EU in relation to a good postal service for the whole country and that we ensure good working conditions. That's the most important thing. We had a debate on the Data Storage Directive. At that time there was a split government, and it was suggested from the big government party that this could be a danger to the EEA Agreement. So my question to the trade union council now is: is there a collective government that can confirm that we can use the right to reserve and still retain a good EEA agreement?
ParlaMint-NO_2011-05-25.ana.ud1979e264	On Friday we had an extensive discussion based on an interpellation on the Postal Directive, where I did more of a good thing for an uncertain moment that pertains to the EEA Agreement. We believe that what can be suspended in this case is the first and the second postal directive – i.e. no particularly extensive suspension. But there is also something that will come out of the negotiations, or the dialogue that is to take place. Let me end by stressing that I am completely in agreement with Hareide – or Hareide is completely in agreement with the government – that the goal here is to keep post-oppression for six days, a uniform sport and pay and working conditions that they are currently adding to the Post.
ParlaMint-NO_2011-05-25.ana.ud1979e272	We're going to go to the next main question.
ParlaMint-NO_2011-05-25.ana.ud1979e275	We have experienced a communication revolution that has simplified and streamlined our societies. But it's also made us more vulnerable, and I'm thinking about telecommunications. If he collapses, our country will stop more or less. On May 18th we experienced a fiber fraction at Telenor in the West. 23 000 customers lost mobile/fixed-phone connection. We know that parts of Hordaland and Rogaland were unconnected with NetCom's network. 5 pst. by the 2G senders. 10 pst. The 3G transmitters were framed. On May 23rd, we experienced a new fiber fraction. There was a rough tree and a slightly overly rough excavator that resulted in that over ten counties were rammed. We experienced that aircraft were put on the ground – all air traffic north of Trondheim was cancelled, among others. Because of these two relatively innocent events. After the dramatic event of 28 November 2007, when a short stop to Oslo S led to a power surge of more than ten hours, we also experienced a social crisis. We can never secure ourselves against such serious events, especially if groups deliberately work to put the system out of play. After the kind of random events we have now had, which affect the system, my question to the Council of State is: How does the government work to ensure safe and stable communication systems? Then I think about the phone and the Internet.
ParlaMint-NO_2011-05-25.ana.ud1979e284	Let me first concentrate on the last event, May 23rd. The postal and telecommunications authorities are now making a major effort to clarify what really happened. That means that a report is to be drawn up, and then we have to look at how it is to be followed up. When it comes to social vulnerability and security, otherwise, the Ministry of Transport is one of several. Post and telecommunications are the responsibility of the Minister for Transport. The Directorate of Social Security and Preparedness is under the responsibility of the Minister of Justice. But let me say, what happened on Monday, in addition to the previous events, is a reminder that we still have to do what we can to ensure security – beyond what we have seen in these cases. The railway works are responsible – the railway infrastructure was listed here. Everyone has their responsibility, but it's the Ministry of Justice that's responsible for it.
ParlaMint-NO_2011-05-25.ana.ud1979e291	After the 2007 debate – which was due to the event on 28 November 2007 – there was a discussion about which department is responsible. It was then made clear that the Ministry of Transport is responsible for our telecommunications. What I think is serious is that we have now seen how these types of random events are involved in networking. When one gets two events relatively simultaneously, we get a domino effect that makes the system collapse in a relatively short time. So ten counties are going to be framed because of two small events. My questions are: These are random events, but what does the Council of State think if groups deliberately want to hit this network? When we see how vulnerable this is to random events, what is it not if a worker is conscious of paralyzing this network?
ParlaMint-NO_2011-05-25.ana.ud1979e300	I think that in the middle of all our technology, in the middle of everything we think we both have an overview of and – shall we say – can take care of in every detail, this is how vulnerable we really are. It's a powerful reminder that we have to get all the sides of what happened this time. Then we have to have contingency plans that range longer than they do today. Then we can forget that the error was found, and that the contact was made over the country in a short time. But we have a vulnerable society, and we need to put even greater emphasis on security.
ParlaMint-NO_2011-05-25.ana.ud1979e307	Three follow-up questions will be raised – first Kjell Ingolf Ropstad.
ParlaMint-NO_2011-05-25.ana.ud1979e310	I hear that the government is not very convincing in terms of crisis management, but the government is not very firm in terms of daily coverage either. One thing is that I am happy that the Council of State stresses that it is important with security and good network, but it is also important that everyone should have the right to have it. I know that the Council of State has been busy and repeatedly promised that there will be full mobile coverage throughout the country. At the latest today, I was in contact with a colleague of the central party – an excellent rapporteur in the municipality of Iveland, which is my neighbouring municipality. When I spoke to him on the phone, it scrambled – it hacked. Unfortunately, almost half of the population in the municipality does not have good mobile coverage. The council has repeatedly said that full mobile coverage should come, and we both – both the central party rapporteur and I – wonder very much: When will full mobile coverage come?
ParlaMint-NO_2011-05-25.ana.ud1979e317	The mobile coverage in Norway is actually among the best in the world, despite the fact that there are undoubtedly many places where the coverage is not good enough. That's because we've been working systematically. Both actors, such as their own networks, Telenor and NetCom, have shown on a commercial basis that they can and will expand, and we now have permission for a third network, which we believe will benefit the districts. But then there is this combination between the commercial and different local and regional split layers to get things done and to get better coverage. We've seen that in some states, not least the Agder model is well worth paying attention to. Local authorities, county councils, companies and the state have joined forces to get things in place. I can't mention an end date here or now, but what I can say is that developments here are getting better year after year, thanks to these spice layers that have been in place, where also the state has funds.
ParlaMint-NO_2011-05-25.ana.ud1979e326	Bård Hoksrud – for follow-up questions.
ParlaMint-NO_2011-05-25.ana.ud1979e329	It is quite frightening that a excavator or two can put half of Norway out of play, at least in the case of large, important areas of society in Norway such as telecommunications and air traffic. The Council of State's response is that the Post and Telecommunications Authority will produce a report and come back, and that we are all concerned about looking at this issue. More than ten years ago, the Vulnerability Committee delivered its opinion on what had to be done to improve safety in Norway. I feel that there is a lot left when it comes to following up the recommendations that the Vulnerability Committee made at the time. Doesn't the Council of State think it might be time for a new vulnerability analysis to look at our society and what challenges we have? There has been a technological revolution in the last ten years that means that a new vulnerability analysis should definitely be in place to look at just how to secure our society. Two excavators or three can't be what's going to knock out our entire community.
ParlaMint-NO_2011-05-25.ana.ud1979e336	I am responsible for my field, and I have shown that it is the Post and Telecommunications Authority that is actually the actor in the field, who follows questions like this, who needs to draw up a report that we must follow up afterwards. But there's work going on in the government that's led by another government council, where we're one of several pieces. For this reason, when it comes to the big message of vulnerability and social security, when it comes to following up the selection setting, etc., single state councils are responsible for each of their areas, and then we have a common responsibility led by another state council. I would like him to know more about the details there.
ParlaMint-NO_2011-05-25.ana.ud1979e342	Lars Myraune – to the last follow-up question.
ParlaMint-NO_2011-05-25.ana.ud1979e345	I am pleased that the Council of State is working hard to get more mobile coverage across the country, and as the Council of State knows, the youth does not settle in the country until they know that there is mobile coverage there. I want to go back to the main question from the representative Hareide, who's on security. As the Council of State itself said, we have become more vulnerable in today's society. That's absolutely right. Then it's important that we take some action to make sure that we become less vulnerable. Now it is the case that the Council of State has previously said that the actors themselves, who are expanding both broadband and mobile networks, are responsible for it. I guess that's okay. In relation to their performance, they're going to put up a system that makes them say that we don't need more lines than we can have coverage for economics. Then, in my opinion, it is the responsibility of the Council of State to ensure that this is not so vulnerable. That's why I ask, what has the Council of State done to make demands on the actors?
ParlaMint-NO_2011-05-25.ana.ud1979e354	The last thing that's been done is the announcement of the so-called digital dividend, that is, frequencies that have been available. We now have a hearing with deadline of 5 June, in which the actors themselves are allowed to respond to certain demands. Developments are required to participate in the auction to be held over these frequencies to the house. That auction will mean too much broadband, and may also mean a lot for the mobile network. The final requirements in connection with that will come back when the hearing is cleared. But let me say, we're constantly concerned about where the boundaries are going between demands and commercial operations.
ParlaMint-NO_2011-05-25.ana.ud1979e359	Let's go to the next main question.
ParlaMint-NO_2011-05-25.ana.ud1979e362	It is good that the Minister of Transport is still in place, because of course it is to the Minister of Transport I have to ask questions. We have a zero vision to reduce the number of accidents on our roads. I feel a little bit like the government's zero vision for maintenance, as much is about zero improvement and zero progress. This government – and in particular the central government partner – says that it is concerned about and has as its motto that the whole country should be used. Yes, if you're going to put the whole country into service, infrastructure is crucial for success or failure. During the six years of the Central Party, the Minister of Transport, we have heard every year the following: We have granted more money than any government before us, this budget is a historic budget, we build our roads, we have stopped the fallout on the road network, we have to expand even more – we just have to wait for the next national transport plan. After summarizing all the statements, you'd think that here people would be happy, but then one: Most people feel that it's far from the content of the boast and in the tribute numbers to what they see, the realities. Just two days ago, a poll showed that 70 pst. of the Norwegian people are dissatisfied with the roads. And not enough with that: the greatest dissatisfaction comes from people in District Norway and in North Norway. It's perhaps a little surprising with the Center Party, which likes to call itself the District Party, in government. This cannot be seen as anything other than that the government and the minister are on complete collision courses with people most. And the answer from the government councillor Meltveit Kleppa is that we build and repair the roads, and that we have stopped the decay. The question is whether the Council of State is satisfied with that 70 pst. of the Norwegian people are dissatisfied with the road standard, and whether it is okay for the government to pursue a policy that will make people at least as happy when the Stoltenberg government leaves in 2013.
ParlaMint-NO_2011-05-25.ana.ud1979e373	This inquiry is an inspiration to continue our work, both with maintenance and renewal, and with building safer and better roads. And then I want to thank Hoksrud for the summary that he did. She's reasonablely precise, like he started out, but then he came to point to the next national transport plan, and that's a solid misunderstanding. There will be a new national transport plan in spring 2013. We are now working on the content of that plan, but in the meantime there is very important maintenance and renewal work on the Norwegian road. There's a lot to do again. There are many bad roads in this country. I understand that many people answer that they are not satisfied with the road standard. I had probably actually been surprised if everyone were satisfied with the standard that is now. But unlike Hoksrud, luckily, there's a part that sees it's improvement. It concerns both maintenance and renewal, and in fact it also builds quite a lot of new and safer roads. When it comes to stopping the decay, we asked the State Road Administration: What do they need in 2011 to stop the decay? They said, after today's calculation models -- 550 million. kr. They've got the money. That means that the decay will be halted in 2011, and we're starting to resume. Now I think Hoksrud travels quite a lot around this country, and then he will see that there is a good deal of road work going on – fortunately. Some of it is maintenance, and something is building new roads, based on an ambitious national transport plan today.
ParlaMint-NO_2011-05-25.ana.ud1979e384	I realize that the Council of State was not happy when I came to reality. In Norway, we have a government government in the form of protection authorities. Nearly every road development creates problems for the protection authorities that make it difficult to expand or that cause costs to fall. We've got nesting hubs in Trøndelag, we've got island sticks in the West and pictures in Finnmark, and we've got birds and potato fields in Hedmark, just to name a few. All of this means that roads need to be converted or reduced. In addition, it has been decided that a number of new species should also be protected, which further reinforces the challenges. It is not strange that it is expensive to build roads and infrastructure in this country when such considerations have to be taken into account. But, as we know, politics about art is a priority. That's why I wonder if the Council of State can say something concrete about how much extra costs all the protection and species considerations, rarities and perhaps specialities impose on society.
ParlaMint-NO_2011-05-25.ana.ud1979e391	I thought Hoksrud here also gave a nice overview of the dilemmas that we can now come up with in relation to the laws that Stortinget has made, which are the law of managing nature's diversity. It's a law that's adhered to here. So there's a law that you have to consider, as well as a lot of other laws to build a road. I don't have an overview -- I'm most in doubt about someone who has it at this point in time, because it's the way that some of these species come for a day after a time when a place is planned. I know the exact amount on fv. 714, where a new bridge was absolutely necessary between Hitra and Frøya. There was a bridge planned ten years ago that was not approved by the environmental authorities – then a new location and now back in the original place, 100 million. kr from the country side.
ParlaMint-NO_2011-05-25.ana.ud1979e398	Three follow-up questions are raised – first from the representative Jan-Henrik Fredriksen.
ParlaMint-NO_2011-05-25.ana.ud1979e401	We hear that the Council of State talks hot, both on the outside and on the inside, about everything that is going on in maintenance on our roads and within transportation. But the Council of State’s own body, the Nation, indicates that 70 p.m. the population is dissatisfied with the standard. In North Norway, it's 90 pst. by the people who think we have a terrible standard on our roads. Is it so that 70 pst. of our population and 90 pst. the population of Northern Norway is completely wrong in terms of road standards in Norway? Or is it that the Council of State is on a completely different planet?
ParlaMint-NO_2011-05-25.ana.ud1979e408	I don't think the nations would agree to be the Council of State's own newspaper – to have said that. I don't know what's going on, but I've got to the representative Hoksrud and also separate times before this collapse, but there's a lot of bad roads in this country. But there's an improvement. I understand that Fredriksen doesn't see that improvement at all. It must be up to him to evaluate, but even in Fredriksen's own homeland, there is now an important project going on – E6 west of Alta and east of the Church. So there is a very important maintenance and renewal work. I would have been surprised if everyone in this country said that everyone was as good, because they aren't. But we're following a plan for continuous improvement.
ParlaMint-NO_2011-05-25.ana.ud1979e418	Despite repeated boasts about our own and the government's efforts in the field of transport, we are constantly receiving reports that people out there are becoming more and more dissatisfied. It might be time to take this over. It is not certain that the brilliance helps, but that it is actually action and will for reform and innovation that must be done. This government thinks old-fashioned in the field of transport. That's what we see the results of. Neither traffic safety nor maintenance will satisfy this government. I can mention another newspaper, today's Trønderavias, which has a large report that salmon is being destroyed on Norwegian roads, because the road quality is so poor. When will this Council of State and the Government take this on board and implement reforms that really work?
ParlaMint-NO_2011-05-25.ana.ud1979e427	Laying 1000 km of new asphalt on our national roads this summer calls Halleraker 'old-fashioned'. Maintaining our roads so that they can better cover, renewing, clearing side terrain, making our roads safer, calls Halleraker – as I understand it – «old-fashioned». It's actually so that it's necessary, and there's good methods of cleaning up our roads. It is also true when it comes to building new and better roads. So I know that Halleraker is in charge of other forms of funding, and so it is that both in terms of organisation and funding, we have distributions that will be ready for discussion in connection with a new national transport plan. We're also trying out some new ways to organize maintenance and construction now.
ParlaMint-NO_2011-05-25.ana.ud1979e434	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2011-05-25.ana.ud1979e437	Some of the great dissatisfaction with the Norwegian road network I believe that there are a lot of people looking at Sweden, and that we have a significantly better name there. We know that in 2010 it was built 20 km with middle parts in Norway, while it was built over 200 km with middle parts in Sweden. We saw what happened in Westfold as we got a place middle parts there. Then the fatal accidents went down by 90 p.m., while road traffic increased by 40 p.m. We know that the road directorate in Sweden has a different standard for when it can be built middle parts, than the standard we have in Norway with regard to the width of the road. There is also a problem that several Swedish roads are wider than the Norwegian ones. So my question is, is it relevant for the Council of State to look at what standards are underlying when we build central areas in Norway?
ParlaMint-NO_2011-05-25.ana.ud1979e444	The answer to that is yes. There is already a work being done. In June, the state Road Service was given the time to come up with an assessment of the existing service and the availability of greater flexibility, especially for off-road routes on the road network we have today, and they are also asked to review the plans for the future, to look at the need for greater flexibility. It is true that it is annual traffic that is an important criterion for mid-term care today. And then I have to add something that I think Hareide and I'm a few, and that's that we have different names in Norway and Sweden. We build roads in the whole country in a different way than Sweden does.
ParlaMint-NO_2011-05-25.ana.ud1979e451	Abid Q. Raja - for follow-up questions.
