ParlaMint-NO_2011-03-10.ana.ud2107e122	The representative of Borghild Tenden will put forward a proposal for a representative.
ParlaMint-NO_2011-03-10.ana.ud2107e624	This was about as expected. There is no active desire here to have an active evaluation process from the State itself on one of the perhaps largest reforms or changes in road policy in recent years. It seems that the Progress Party is both regrettable and sceptical. At the same time, it is a little strange that you almost boast that KS should take care of this. It is no wonder that those who are closer to the county councils, who have thus received these poorly maintained roads, have a self-interest in seeing how this has worked out. However, the fact that this is to be a satisfactory evaluation of such a major reform is thin and in no way satisfactory, with the eyes of the Progress Party. I record that some investigations have been carried out – and in part also carried out. Road users have to record that, in very many cases, poorly maintained roads that were transferred appear to be poorer after the reform has been introduced. The road system itself, as far as I have understood it, has also pointed out that there is an acute risk of accelerating decay in today's maintenance situation. It is a little in contrast to that government and not least this Council of States has said in the past: it seems that we are going to be able to stop the fallout on Norwegian roads in 2011. It's probably a hope and a claim that there's reason to doubt, unfortunately. We want to know if it has become better for the money. I heard the council say that we have got more money. In any case, some money has been transferred in connection with the reform, and that should be lacking. But the question is whether we've got a better way for the money. The questions are in line. State councils will provide the Stortinget with maintenance status measurements on the county road network before the reform and the following years – 2010 and 2011 measured against e.g. 2009? Will there be a minimum standard on how the road network will look in the counties? Is there something we can hope to get in place soon, so that's an objective goal to measure by? Will the Council of State measure the quality of the 78 national highways for which the counties have assumed responsibility and ensure that we are reported? There are some of the many questions that, in the view of the Progress Party, it is necessary to answer after the launch of this major reform.
ParlaMint-NO_2011-03-10.ana.ud2107e637	Following the administrative reform, the county councils have been owned by four times the size of the state. It goes without saying that we have to be very careful to have a very active dialogue with the county councils on what was positive – and positive – with the implementation of the administrative reform, and whether these are aspects that we need to address better than what has been done. Let me mention the work on the new national transport plan. It's kind of special, but we're going to be one year and three months inside the national transport plan, which is actually going to go over ten years. At the same time, we are preparing a new big message to be submitted in 2013. We're now focusing, of course, on getting all of the projects that we promised in the first four-year period, while adding a longer run. We've recently had a meeting with all the county councils. It was very well received, there was a good dialogue on how the situation is also when it relates to them, and on what priorities they have in the work to be done with the new national transport plan. We've done an organisational grip. We have the county councils represented directly into the governance group that the etats now have in their preconstruction so far. We have the councillor in Telemark directly inside. We're going to have a new meeting with the same actors, plus business and many others, in February 2012, when the etats have submitted their proposals after phase 2. It is such that the county councils on their behalf also have road normals to follow. I think it's important to help strengthen the maintenance both on the highways and on the county road network. When it comes to the highways, I was standing last year saying that we have a aftermath, we have a aftermath, we have a lag on maintenance. Sortevik is sure to think about what it was like when his party was a supporting party to the previous government – the retarded wax. It's important for me to get numbers that show that we're stopping the lag. That's where the State Road Service uses the term ‘after today's calculation models’, and we have that number and expect us to stop the aftermath. When it comes to ferries, I just have to say that there is now a group of our own that follows up what is called contracts by offer in order to ensure that we there act neatly also from the state and from the county councils.
ParlaMint-NO_2011-03-10.ana.ud2107e650	I would not be surprised if, in this debate, we had different views on how the administrative reform has worked so far, on the basis of our view of the county councils, and on the basis of our confidence in the county councils and state policies. Then I have to go straight away and say that I am probably the county's best friend. I have a great sense of the county council as a level of government. The task of the county council as a regional development authority is no one else, as I see it now, that can take over and do in the same way that the county councils can do today. Therefore, the content of the administrative reform – although I could have thought that the administrative reform had become much more than it was – was actually important for the county to further develop its role as a regional development operator. Because it's regional you see the challenges. It is regional that you know what action you need to take to solve them, and it is regional that you get the interaction between the actors. In addition to what happened on the roadside, it was important for the economic development of the counties that the county councils were given joint ownership in Innovation Norway. It was important for the economic development of the counties that we set up regional research funds, in which the county councils are involved and govern and decide how to use regional research funds. Then it is also important that you actually have more direct control with more of the roads in county municipalities than you had before. I agree with the Minister for Transport who says that the administrative reform so far seems to be successful in the road sector, but also in the other areas. I also see, on the basis of a relatively large number of county councils that I know well, that we are getting a more comprehensive development of the former highways that are now new county roads. The studies referred to by the Minister for Transport also show the same. The county councils are doing their job. We get more money, and I think we can show that the roads are getting better. That is at least what the studies indicate. So the county councils do their job. It's nothing new that county councils are weed owners. We have to remember that. We had old county roads, and in many counties the old county roads are still longer in kilometers than the new county roads. So you have experience in being a weigher. The distinction between the old highways and the old highways was unnatural in many ways. As a former County Council for Transport, I can sign that it was not always so easy to see the whole. But now you see the whole of this new county road network. Prior to that, the county councils had a decisive influence on the order of priority on the old highways. The distribution of money between the counties was decided in Stortinget through the treatment of the transport budget. Now it is the way that the Stortinget transfers the money to the county municipalities as free resources, and the county municipalities give direct priority. As far as road safety is concerned, county councils already had a great deal of responsibility in the past. According to Section 40(a) of the Road Traffic Act, county councils were responsible for coordinating road safety measures in their own county, recommending road safety measures and implementing road safety measures. I believe that when one got more direct responsibility for several of the roads, it will only strengthen regional road safety work. What we should not take too lightly, and which is very important in this context, is the regional interaction with the regional partnership. All counties have an up-to-date regional partnership that cooperates with industry, with the social partners, with educational institutions, with research institutions on: What is best for our state? What do we have to do to achieve the goals we set? In fact, in many contexts, what is happening on the road network is important. It is then important that the county councils have direct responsibility. So far at least I have to say, for my part, that the result of the administrative reform, although it has been relatively short, seems to be very good. I have to say that I have great confidence that the county councils and state politicians will give priority to the future. All possible experience suggests that it's going to be the result.
ParlaMint-NO_2011-03-10.ana.ud2107e669	I must honestly admit that I am probably not a friend of the county council as good as the previous speaker. I had hoped, before I entered the Stortinget, that I could be able to turn off the light and put down the county council, because there were not many tasks that were put back in place – until one was able to cough up the county councils being allowed to take responsibility for the worst road network we had, which we just sent over with bill and without check. I hear the Council of State say that the reform has so far been successful, the purpose was more comprehensive planning and expansion in the counties, and it is a state responsibility to ensure the county council's ability to solve its tasks. At least when it comes to the last, I think that the vast majority of state politicians experience this as a black player game, where the state has sent them a bill and a problem that the state won't deal with itself – and that's very fine – and then you have to hold on to something like the horse biting because it doesn't get high, and it's about to die. That's the same thing in this area as well. I think it's special that the Council of State says this has been such a great success, when NAF has done a survey that shows that there are 700 million. kr unused which would have been used to build the road, repair the road or maintain the road – they are therefore unused. And then the Council of State believes it's a success. I don't understand it's a success. When the Council of State is so concerned about how successful this has been, I want to take a few examples. The representative of Sortevik was in the morgue and Romesdal, which received 700 million. kr in problems with berths and ferry solutions. And just to go back to my own county: for many years, the state road authority has had a plan for repairing tunnels, but has not chosen to follow it up, but the bill is sent to the county council. So that means they have to spend an entire year's budget on the road just to refurbish tunnels that the state should have rusted up a long time ago. That's reality out there. These are just two examples. But I'm convinced that we can go to all 19 states and find the exact same examples. The state road service has now gone through the tunnels to look at the quality and the state of these tunnels, and it is these tunnels that are generally the worst. And then you boast that you've let them get the same money that you got when it was the state that was responsible, and that's got another billion. With the huge decay and the huge need that is out there, this becomes something like peanuts and small buttons and glossy images that state politicians are going to play with. So I totally disagree with the representative Bratli, who thought that there were now many opportunities to have fun as a state politician. I don't think there are many state politicians who think this is fun, with the huge needs and challenges they face. I hope that the Council of State takes seriously what NAF has come up with, which shows that you are not using the money. What we also experience is that money that should have been used to build roads or to maintain roads must be used by county councils for public transport. So you move money from road to public transport. That's why I think it's a bad solution that you've only given this as a free means that the county councils can dispose of just as they like. Then the result is more bad and not more good. This is a bit like what I said to the head of the NHO in my home state, who operates hotels in Telemark. His problem is that today almost no buses will drive there. I said that I don't think they want to go there when the county councils get the responsibility, because then you have to give priority between the roads you have. Then it is likely that the country will choose to give priority to the roads on which it is most traffic and which have to be taken, because directives and other things from the state that are not provided with the means to follow up are imposed. So unfortunately, I'm probably afraid that this is a reform that will ensure that people in many parts of the districts will experience a much worse road offer, unlike a better one, which the government has tried to present would be the result of this reform. But I really hope that the Council of State will follow closely, and that she will take over the investigations carried out by both the NAF and by others, which prove that money on the road is not being spent.
ParlaMint-NO_2011-03-10.ana.ud2107e691	I want to thank the interpellant for this interpellation. I also want to thank him for a very comprehensive and thorough presentation of what is the message, and many of whom are concerned about this matter. I am not as impressed by the response of the Council of State, although I was probably a little excited when in the previous case she was a little bit involved and thought it was a surrealistic experience to sit in the staging room. When she got a really serious and good question from a representative, I think she might be able to answer the questions he asked. But I guess that's the kind of answer we get from the press councils that don't meet their own plans. There is no doubt that the Right has opposed this so-called administrative reform, and we are still. It is the reform of which it became something, really, this great, great regional reform, which was supposed to regionalize the whole of regional Norway. It ended up transferring 18 000 km of bad roads and ferries to the county municipalities, and then there was a bit of ferniss within Innovation Norway and a little bit of trifling – that's all. Because one of our all, the biggest organizations -- I'm talking about NAF -- has put the spotlight on the fact that there's actually no target in the transfers given to the county councils, the interpellant and more with good reason are asking about the 700 million. kr which could have been used by road. We still have not received an answer to that, but the Council of State is going to have another post, so I expect her to answer there. What NAF pointed out was that the counties used the loan scheme to meet the framework that was actually directly transferable and comparable to the previous year to the same types of roads. This means that a lot of the framework transfer has gone for other purposes, because of course county municipalities are under pressure on the economy. A little bit about the principle of transferring roads, we also have to take. There we have been dealing with the Road Act every year, which says that the roads should not be able to be transferred without being in good condition. I was recently at an exciting seminar where a former Labour Party Council, Matz Sandman, made his experience known. He had also been a county councillor, and they had transferred roads to a municipality in the county, and was told by the state that this could not be done without repair under the Road Act § 7. Then he's still councillor when he gets transferred I don't know how many kilometers to Buskerud, but then the government just chooses to create a new paragraph in the Road Code, which makes it possible to do this anyway. So this is what a state and government can do, which I'm saying is not concerned with the county council, which they put forward as being so good at solving problems. It is to stick under the chair not to draw out the many, many frustrations that emerge in all contexts in this field from the county rapporteurs, state politicians and others. I want to raise a point that has not been raised by others, and that concerns county toll projects, where the state still regulates in detail the conditions for this. This also applies to toll projects on state roads, where county municipalities are still the important player to enable the many major road projects promoted by the government to be realised. Here's a misunderstanding that the government should answer for. Finally, the right has opposed this reform. We're still opposed to it, and we want to reset it if we get in position to it.
ParlaMint-NO_2011-03-10.ana.ud2107e718	I am pleased that Arne Sortevik saw the focus on this reform, which the Progress Party strongly warns against when she was treated in Stortinget. What we are now seeing is that the former highways are being downgraded, both in terms of investment and maintenance. This poses a great risk to those who are going to school, those who are going to work, because they must use narrow, poor and racially dangerous ways. In my view, this will result in centralization, which I thought the Center Party would not stand behind. The fact that the country has not introduced reductions in the number of road users in the state is totally unacceptable, especially in order to reduce its expenditure. Another factor is that since the State Road Service does not reduce staffing, it is very difficult for county authorities to recruit skilled labour to manage their new tasks in the road sector. New regulations have also been adopted before several areas of operation. Among other things, there are new requirements for tunnels, leading to enormous extra costs for the county. These requirements were not adopted until after the adoption of the administrative reform, and were not part of the funding, and therefore this is not compensated by the state. All states have large transit routes, for which they are now responsible, without the reform taking over a good enough coordination between them. This can lead to high-quality transit routes, which in turn lead to high maintenance costs for professional carriers and bus companies, and for most people. Evaluation is essential. The state must go in and look at the consequences of the reform of the transit roads, which have now been state roads. Let me say something special to Sogn and Fjordane. Several reports have been prepared to show the value creation in the West. We have nothing to be ashamed of. The reports show that in Sogn and Fjordane there is enormous value creation, not least on the coast. If these jobs are still to be safe and secure, better infrastructure is needed, not least better roads. Option to close or move currently active items in this window. Another point I want to mention is that the current government is pursuing an active centralisation policy of important services. Looking at the centralisation that is currently taking place in the health sector, especially good infrastructure is required if life is not to be lost. Both the previous and this winter have shown with all clarity how necessary it is that the supply for maintenance contains a requirement specification that requires the suppliers to have good quality equipment available. So it is equally important that the Road Service, which is to check that the maintenance is carried out in accordance with the offer, is out and performing the control job, and not sitting in its office and looking through the fingers that the maintenance is not carried out in accordance with the offer and contract. In my view, we've seen too much of the last two winters. I would therefore like to ask the Minister for Transport to put extra emphasis on this in the evaluation process.
ParlaMint-NO_2011-03-10.ana.ud2107e739	First, I thank you for an important interpellation. The Progress Party is opposed to the waste of taxpayers' money. That is exactly why we only want two levels of government: state and municipality. The counties have played their part a long time ago. For the Progress Party, the municipalities are the very foundations of Norwegian democracy. This is where the population has the most direct influence possible. On 6 October 2010, in connection with the 2011 State Budget, we asked a budgetary question as follows: ‘How has the maintenance run for the county roads developed every year from 2005 to 2009 and so far in 2010?’ This should have been a simple question to answer. So here we asked about the very simple facts related to the maintenance kit, and one would think that Norwegian road authorities had such an overview. From the Ministry of Transport we received the following answer: ‘The road authorities of the Member States have not carried out any analysis of the maintenance seat run on the county road network since 2004. The Ministry of Transport therefore has no reason to answer the question.’ This response was reasonably alarming. Riksrevisor Jørgen Kosmo slaughtered the government's and former Minister of Transport Liv Signe Navarsete's efforts in the operation and maintenance of the road network in a report published 10 days after the election. One of the main challenges was that the then Minister for Transport did not have reliable information about the state of the road network. It would have been exciting to know if the current Council of State has received or is interested in obtaining such information. What kind of freedom do state policies actually have to implement autonomous policies? In fact, state policies are largely bound by state priorities. If the county road network becomes too poor, state politicians may feel compelled to introduce tolls before the poor safety of the county road network is completely compromised. At the same time, in such a situation, the government may blame the states when it becomes tolls – and that may well have been the point. In the Progress Party's proposal for a national transport plan, we committed 90 billion. kr more than the government for upgrading the county road network for the period 2010 to 2019. Traffic trends and dues on the road network make this absolutely necessary. Some money for the maintenance of such bad roads is also traffic safety that will benefit us all. Only there should be a good reason to carry out an evaluation, as the interpellant here talks about, so that we can see whether this reform is totally flawed or not.
ParlaMint-NO_2011-03-10.ana.ud2107e763	Thank you for the little debate that has taken place. The answers are still missing. I would like to remind you of what the previous Minister for Transport, Navarsete, said for approx. two years ago at the NRC when she commented on the reform: many would say that much worse than today should be done to get it. Unfortunately, things have gotten worse. At least the county road network is getting worse. Two years after this statement by the last Minister of Transport, the Minister of Transport we now have, has the ambition that she will stop the fall of Norwegian highways from 2011. What about the new big county road network? What's the ambition there? Or is it that now it's out of sight and then out of mind? Is it the case that the problems have been exported to another authority, and then it gets the road network to live its own life? But it is important to look at how the county road network develops after the reform has started. The signals are not good, and the Progress Party believes that an evaluation is necessary. Measurement is done. You know, the state road service is doing measurements. They have measured the status in 2010 on the proportion of bad roads – i.e. bad or very bad with regard to the tyre condition, it alone. We want more criteria, but here the State Road Service has measured by tyre state: Western: 60 pst. of the county road network is poor. North Norway: 58 pst. of the road network is poor. South: 52 pst. Is bad. East: 52 p.m. Is bad. Middle Norway: A little better – just 44 pst. Is bad. The whole of Norway has a status on the county road network in 2010 where 53 pst. the county road network is characterised by the road authority, the state road authority, as being poor or very poor. Road users and the Progress Party will have a recording of the state of the roads after the major reform has been introduced. We want national leadership, and we want independent supervision to ensure that the continuation of the administrative reform provides better roads, until a new government with a different political colour can terminate the scheme and bring the majority of the road network back to the state. It is good governance to evaluate major reforms. It is a pity, therefore, that there seems to be no sign of this from the government and from the Minister of Transport to go into this very matter. You can wait and let things go wrong, or you can take a quick reading and a quick consultation and correct errors and shortcomings before the reform gets in the wrong direction. The government should do that, but obviously it won't.
ParlaMint-NO_2011-03-10.ana.ud2107e791	I was a local and regional minister at the time of the administrative reform. As a result, I also know very well what was the main reason why the county councils were strengthened as regional development actors. I also know well which laws had to be changed. There is an obvious misunderstanding when the representative Sortevik here makes it possible for the government to change the law by means of an additional contact when it comes to the transfer of the road network. The law in force applied to the transfer of individual sections of the road. So here we also had to have the formalities in place. The main point was a reform of democracy, i.e. to allow the inhabitants of a region to be directly affected in a different way from one in the past to the local populace, i.e. regional populace, and to participate in a dialogue on what should be given priority in each state. When I say that the administrative reform in my view is so successful, it is not least from the messages that have come into the contact we have in our own contact conferences and in other ways with the county municipalities. When it concerns road maintenance, and insofar as initial investment is concerned, I think we just have to be honest and some say that here it had a maintenance run that is not of a new date. Here there is a need for new road construction, and so the government also has so far paid 50 pst. in an increased budget. There is an extreme need for racial protection. Not everyone was equally involved in it. So the counties now get 0.5 billion. kr per year, and that is great joy over. Then I have to stress that I am busy having very special attention to the county councils in the future. I have both said that and written to the Stortinget at several times. That's what I think is absolutely necessary, precisely because we see that there is a need for more renewal and maintenance on the national road network, and we know that that's the same thing on the county road network. I have said quite clearly that the Ministry of Local and Regional Affairs will evaluate an evaluation of the whole of the regional reform, but I must say that I think it is a bit striking to demand it before the first year's reckoning – i.e. 2010 – is led by the counties.
ParlaMint-NO_2011-03-10.ana.ud2107e804	The debate on substance is closed. So 3 is over.
ParlaMint-NO_2011-03-10.ana.ud2107e818	At the request of the Foreign and Defence Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2011-03-10.ana.ud2107e827	As the rapporteur, I would like to begin by stressing the broad consensus there is on the importance of critical evaluation in order to increase efficiency and to strengthen the achievement of results in international development cooperation. In the Christian People's Party, we have for decades highlighted control and evaluation as an indispensable part of development cooperation from the Norwegian side. It is the results of the fight against poverty that count, and then more and better assistance is inseparably linked. Document No. The 8th Progress Party proposal provides both the opportunity to take stock and to identify new measures to improve the budgetary, reporting and evaluation systems of assistance provided by Norway to the United Nations system. Together with other donor countries, Norway participates in the governing bodies that define the activities plans and budgets of the United Nations organisations. Our money contributions have an impact. Yes, it allows Norway to impose requirements and to provide guidance, not only for the use of Norwegian financial contributions, but for its overall operations. This is the best strategy for improving the quality and efficiency of UN assistance. Consequently, the majority of the Committee, all except the members of the Progress Party, emphasises that, in order to ensure effective UN assistance, it is important that the specific requirements of individual countries do not prevent the overall management of funds. Let me briefly comment on the main features of the proposals presented in the document. In proposal I, ‘the government is asked to draw up continuous evaluations of UN sub-organisations in terms of efficiency and performance’. There is a broad consensus on the intention of this proposal, but the Norwegian authorities have long worked for increased effectiveness, evaluation and achievement of the UN target. The majority of the Committee, the members of the Progress Party, the Right and the Christian People's Party, consider that the challenge is therefore not whether to have an ongoing assessment but how to further develop and systematise this evaluation work. With these clarifications, the majority of the Committee supports proposal I. Proposal II calls on the ‘government to make Norway’s contribution to the UN dependent on the progress and results of the reform work of the organisation’. The Committee as a whole, with the exception of the members of the Progress Party, considers that the wording of the proposal is not acceptable. In fact, due to the agreed allocation keys and scales, Norway cannot decide on the amount of Norwegian contributions to the regular budget of the United Nations in addition to seeking to influence the size of the total budget. Instead, the majority of the Committee calls on the government to state more clearly in the future what the Norwegian authorities consider about the relevance, effectiveness and willingness to reform of each UN body and the budgetary implications the government recommends for Norway’s voluntary contribution in the light of such an evaluation. It is a dangerous path to better prioritisation and influence. The third proposal states that ‘The government asks the Government to wind up the multi-annual indicative commitment system to the UN sub-organisations’. The majority of the Committee disagrees with this proposal, for the multiannual commitment mechanism is in fact a step forward which has contributed to greater predictability for the UN organisations in their budgeting and planning. Proposal IV implies that ‘The Government is asked to provide a report on the progress of the reform work of the United Nations Department of Peace Operations’. There is a broad consensus on the intention of this proposal, but it is already being followed up. The Committee has received a thorough presentation from the Ministry of Foreign Affairs on both received and forthcoming progress reports. The parties to the government and the Christian People's Party therefore do not support the proposal. However, an overall committee considers that an additional separate Norwegian reporting should be considered as appropriate. Only the Progress Party supports proposal V, where ‘The Government asks the Government to base the principle of zero nominal growth in the UN budgets on the annual/two-year budgetary procedures of the organisation’. The reason why the proposal is thus proposed is that a principle of zero nominal growth in the regular United Nations budget would break Norway’s ambitions for further development of the United Nations. It would simply weaken the UN. With regard to proposal VI, a unanimous committee shares the view that an increasing number of mandates result in increasing fragmentation and duplication in the work of the UN. It's unfortunate. However, all parties, except the Advance Party, consider that the proposal has been formulated in such a way that it should not be accepted. The description of the problem needs to be nuanced, and Norway’s strategy needs to be more refined than this proposal expresses. However, an overall committee believes that Norway’s position should rather be to continue its work on the elimination of out-of-date, irrelevant or duplicate mandates, thereby achieving savings. At the same time, Norway needs to be open to several approaches in the reform process and actively contribute to giving the UN financial strength in its efforts to solve new and important tasks for the world community. The UN is an important pillar of Norwegian foreign policy, and Norway is an important contributor to many of the UN organisations and engagements. I believe, for my part, that making strong and clear demands on the management of these organisations and making clear assumptions for Norwegian contributions will be the best way to influence efficiency. That is why the Christian People's Party believes that reforms are important that streamline and strengthen the UN's ability to promote peace and development, and for the same reason we reject proposals that will in practice undermine the United Nations' ability to succeed.
ParlaMint-NO_2011-03-10.ana.ud2107e855	The rapporteur has gone through the content of the matter that we have to deal with today, but I want to make some general considerations and link a few comments to some of the proposals. At first, I think it is important to stress that there is a broad consensus in the United Nations on the importance of the UN and that it is essential that the organisation works well. The UN is important to Norway, not least because it is a very central channel for our assistance. It is important that the money we allocate is spent in a sensible way, and that the United Nations has good budgetary, reporting and evaluation systems. And we need to focus on efficiency and achievement. More proposals are being made here today which are about making more demands on the United Nations and that we should have a different budgetary strategy than we have today. The majority of the Committee is of the opinion that it is not appropriate for individual countries to impose a lot of specific requirements because, among other things: will lead to even more bureaucracy and more complexity in administration. Norway participates in a number of governing bodies that are just planning and budgeting. It is central to the influence and control of the follow-up of our financial contributions, but also to provide guidance for the organisation's overall activities. So over to a couple of the suggestions. The Progress Party proposes that the Storting should ask the Government to ‘underpin the principle of zero nominal growth in the UN budgets in the annual/two-year budgetary procedures of the organisation’. I strongly disagree with that proposal. Such a principle will in practice lead to a reduction in the activities of the United Nations and the role of the United Nations, and, as it is written in the comments of the majority of the Committee, that we will have a static approach to the UN's tasks through the sementing of old tasks rather than a United Nations which is changing in line with new global tasks. The Progress Party also proposes that the Multi-Annual Indicative Commitment Scheme for UN Sub-Organisations be phased out. I also strongly disagree with that proposal. Multi-annual commitments contribute to greater predictability for the organisations and enable them to operate more efficiently and able to follow the long-term plans they have, and their priorities. For those of us who make multi-annual commitments too, we can then expect reform, results-based governance and more efficiency. With regard to the proposal from the Right and the Progressive Party concerning the reform work of the UN Department of Peace operations, and the wish that the government should present a report, I would like to make it clear that Norway has been a driver in relation to the reform processes that have gone on in recent years. The Council of State has also explained in the letter to the Committee the work that is being done, and I expect that he will also address it in his statement. Finally, I am concerned that we should have ongoing discussions on the UN challenges, both in terms of efficiency and results. My starting point is that Norway should contribute to strengthening the UN, not the opposite. Norway must be active in the reform process, and we must use the influence that we actually have, for the benefit of the development of the organisation. Finally, I would like to address the proposal made by the government parties in the vote.
ParlaMint-NO_2011-03-10.ana.ud2107e876	The representative Eva Kristin Hansen has taken up the proposal she referred to.
ParlaMint-NO_2011-03-10.ana.ud2107e879	Norway is among the five largest contributors to the UN humanitarian activities, and among the top contributors to the UNDP. There are over 75,000 employees in the United Nations, and let me stress that many of these people are doing a great job. However, bureaucracy, corruption, lack of results, overlapping mandates, duplication of activities and secrecy are increasingly part of the challenges facing the UN. Recently, it was found that the United Nations Development Programme, UNDP, refuses transparency in documents that can reveal corruption and default in the Global Fund equivalent to several million dollars. As a significant contributor to UN activities, Norway should lead in reforming the UN. Instead, we see that this role has largely been taken over by our neighbouring countries and allies, among others. Sweden. The Minister for Development recognised in 2008 that: ‘Norway has been naive and our assistance has helped to make corruption possible in Africa’. The government's naivety vis-à-vis the United Nations is an active obstacle to the use of tax credits where they are most useful and we get the most development for the money – and often this is not in the UN organisations. The need to streamline and reform the UN is urgent. In the National Audit Office's annual report to Stortinget, we can read each year about the lack of coordination and effectiveness of the UN organisations. Norad’s 2009 performance report states that UN organisations are bureaucratic and have difficulties in delivering assistance effectively. Evaluation carried out that both Norwegian and Swedish U.D. show that many UN organisations have significant challenges in terms of efficiency, better coordination and the establishment of a performance-based organisational culture. What has been the Norwegian Government's response to these challenges? It can be described in two words: more money. Assistance to the UN has increased dramatically under the red-green government, which has granted more than 30 billion since 2005. kr to the UN. Independent researchers indicate that the proportion of assistance channelled through the UN has fallen in recent years, but despite this, the organisation’s massive bureaucracy has not been adapted. The Progress Party supported the merger of four UN agencies into the new women's initiative, the UN Women, among others. for reasons of efficiency. But when the budget of the new organization turns out to be over 3 billion. kr, twice as large as for all the former organisations together, this can hardly be called a step towards efficiency and reform. ‘UN reform’ has become a political mantra without content and meaning. It reminds me of the film 'Groundhog Day', where the main character wakes up every morning and has to experience the same day over and over again. And over and over again, we hear about UN reform, that now the red tape in the organization is to be streamlined, now the aid has to be streamlined, just to be equally disappointed the next day. The lack of progress in the mandate revision prevents the channelling of funds to where the need is greatest and prevents the effective use of existing resources in the organisation. At the end of 2010, the UN peacekeeping forces included more than 123 000 personnel. However, a number of corruption cases in recent years have revealed the need for a wide-ranging review of major reforms in the UN Department for Peace Operations. Last year, the Minister of Development of the NRC said that we have sometimes forgotten the critical dimension of our UN thinking. Norway should be critical of an organisation that receives billions of support each year from Norwegian taxpayers, and we should be critical, not only in words, but also in action. We must demand results. If we don't hold back funds or channel them through other organizations. The time when the UN was elevated to a sacred cow should now definitely be over. Finally, I would like to include our suggestions in the vote.
ParlaMint-NO_2011-03-10.ana.ud2107e910	The representative, Kari Storstrand, has taken up the suggestions she has referred to.
ParlaMint-NO_2011-03-10.ana.ud2107e913	It was a very good speech made by the rapporteur. I have no problem joining everything that was said – therefore just a few brief comments from my side. We make major Norwegian contributions – important contributions – to the UN. For Norway, the UN is an exceptionally important beneficiary of assistance, but not least an important donor. It is an organisation which, unfortunately, is heavy and desperately needs reform, but which on the other hand is indispensable. Once again, our attitude has to be that we're a tough giver. We're making demands. We expect progress both in the reform process and in the UN meeting where Member States expect the organisation to use its time and resources. There is broad consensus on the evaluation. That's excellent. But I also expect that we will see concrete actions by the government after the debate. I expect the evaluation to be reviewed as critically as it is seen from the Swedish side – that the evaluation actually contributes to Norway also changing its resources internally in the UN between the UN organisations. It has an effect on the fact that organisations within the UN will fight more and more about the resources, and it may even focus on the duplication that exists, so that we can get clearer decision-making lines. In general, we know that evaluation means better assistance, increased success security and increased efficiency. So evaluation is all reason to go on with life and desire also in the case of the UN and UN organisations.
