ParlaMint-NO_2011-06-16.ana.ud1149e148	The representative, Bent Höie, will put forward a proposal for a representative.
ParlaMint-NO_2011-06-16.ana.ud1149e838	A lot has already been said about the international economic crisis and how Norway is in a special position with robust government finances, which we just discussed in the SPU management case, so I'm not going to repeat it. I will go straight to three steps that I ask the government to assess in the follow-up to the Financial Crisis Committee's position: There is a need for monetary policy reform that more effectively counteracts strong credit growth and the development of destabilising financial bubbles. It is necessary to impose stricter requirements on the coverage of equity and liquidity reserves in banks and other financial undertakings, which were also subject to the representative Lundtigen. We need to strengthen the diversity and competitiveness of the financial industry, as my predecessors in the Financial Committee, Terje Johansen, were – and are – very concerned about. I'm not sure if we've fully taken the consequences of an important lesson from the Norwegian banking crisis in the 1980s, which was re-updated by the latest financial crisis. In order to counteract excessive credit growth, it is not sufficient for Norway’s Bank to operate with a narrow inflation target related to the consumer price index. Experience has shown that this somewhat narrow approach is not sufficient to address the problems created by strong money and credit growth, problems that first come to light through inflated prices of dwellings, properties and securities – prices that do not appear in the consumer price index. That is why I believe that an investigation is necessary with the aim of extending the mandate of the Bank of Norway, so that this also seems more stabilising to the overall credit growth and the price development of properties and securities. The overall objective of international cooperation on new financial regulatory reforms is to develop a banking and financial system that will act more stabilisingly in economic development and contribute to reducing both the risks and the negative effects of future financial crises. The Left believes that Norway should make an additional contribution to this work by being among the first countries to implement new and more stringent international requirements for banks and other financial undertakings, requirements that strengthen resilience and resilience to crises, based on increased risk-weighted requirements for equity coverage and stricter requirements for liquidity reserves. In this way, individual financial undertakings will also be able to withstand short-term liquidity crises without public support. Finally, one of the most important lessons from recent banking and financial crises is that local and self-owned savings banks have been the most stabilising part of the Norwegian financial industry. The left considers that it is of great importance for both the Norwegian economy and many communities that the decentralised diversity represented by savings banks is ensured in the future. Therefore, the Left will circle around the institutional status of savings banks as self-owned financial institutions and ensure that all fiscal regulation and measures are as equal as possible with small and large actors and contribute to the strengthening and strengthening of the role of competition surveillance in the financial market.
ParlaMint-NO_2011-06-16.ana.ud1149e861	This Communication clearly shows the importance of financial stability. I would also like to commend the President of the Central Bank for the statement he made in the Committee: sober, but with clear challenges also to the politicians, that is. us. I'm not going to repeat everything that's right that was said by the case rapporteur and others, but just point to a couple of relationships. It is the debt of households and the degree of indebtedness with which many can now have problems, with increasing interest rates. I even saw that the Consumer Council now asked the government to improve the BSU so that it was possible to acquire equity. After all, I think the Consumer Council is going very far in making political recommendations, but now it's not. It's interesting, at least, that such a body now sees this in context. I do not know if the Minister of Finance has responded to this challenge – otherwise he can do it here – if there is any reason to look at the BSU, just to give incentives to increase savings and more equity, so that you do not have a debt ratio, for example. on mortgages, which will be impossible to deal with in the event of an increase in interest rates. Clearly, the financial crisis remains a topic when we discuss this communication. That crisis showed that banks had on average too little equity, not least internationally, too much short-term market financing and too small buffers. With the situation we had at the end of the 1980s, it is clear that Norwegian banking industry and Norwegian politicians learned something at the time that made us stand better rusted this time. At the same time, the state also had financial muscles on its side that no other country had, which enabled us to meet the banking industry. But the question now is: how will the government deal with the proposals of the Committee on Financial Crisis? For example, you want to do this. Take a Nordic initiative, which makes you go a little ahead of other European countries, or will you, as the industry of course wants, sit quietly and join in what all other countries will eventually find it necessary to do? Some of the background that this time the crisis did not become so great for Norwegian banks was that Norwegian politicians went ahead of the last time it was a crisis. There is also something that needs to be taken into account in the evaluation of the measures that are now being recommended. What is absolutely certain is that the administrative powers and authorities must have the means at their disposal to manage a financial industry in such a crisis. There I have to say that I hope the government will follow up many of the proposals that the sample has made. In conclusion, I would like to add a few words to the International Monetary Fund – Per Olaf Lundtägen was also involved. We are quite clear that there can be a lot of good advice given by the IMF, but that the IMF should operate ideological political governance of some countries is unacceptable. That is why – together with the government parties – we have been involved in the comment to which it was referred. I think it is an important principle that we separate political governance from advice, which may, of course, be in place, but which cannot have political motives in it first and foremost.
ParlaMint-NO_2011-06-16.ana.ud1149e874	We are discussing the 2010 Financial Market Communication in an external framework of unrest. There is reason to remind ourselves that Norway is a country in the world, and that it is the international situation that in many ways puts the framework around the discussion we have today. And here's the big challenge. The reason why this is important to us is that a new turbulence can be introduced internationally into the Norwegian financial industry and into the Norwegian economy. If the turmoil in sovereign markets related to the situation in exposed euro area countries should spread further, it could result in losses in Norwegian financial institutions, increased risk margins in credit markets and a weakening of credit offers to households and businesses. Until this year, we have also seen significant effects of what is happening internationally, for example. in the context of political unrest both in the Middle East and in North Africa, inter alia: through higher oil prices. Several speakers have pointed out that the debt burden in Norwegian households is high and is likely to increase further in the years to come. A significant proportion of banks' loans to the household sector are loans to households with very high indebtedness. These households are vulnerable to a higher level of interest rates or to a weaker development in the economy. There is a low level of interest over time that has led many households to over-indebtedness. I would say that one makes sense to expect that both the Norwegian and the international interest rates will increase in the future. Improvements in international financial market regulation resulting from experience from the financial crisis have an impact on the prospects for financial and economic stability. For example, the introduction of new soundness rules will include: the Basel III requirements contribute to lower risks in the international financial system, but many other improvements are unlikely to be made within several years. As a direct response to, inter alia: the representative Syversen took up, I had a meeting with my Swedish colleague early in May, where we agreed to look at the possibilities of an overall Nordic initiative in the context of the introduction of the new capital requirements in line with Basel III, and whether we are going to move somewhat faster than what is in the intention. Otherwise, there is also an international regulatory development. New rules in the context of experience from the financial crisis – back to the Basel Committee, which proposes stricter capital and liquidity requirements. The European Commission is working on the follow-up of the rules in the EU. I think one in the years to come can expect increased international cooperation in the financial sector. Financial industry is such a global and technological industry that it is important that it also sees the development of rules in a wider international context. Then I want to use a few words on the deposit guarantee scheme. As already mentioned in the debate today, the government has worked actively to enable Norway to continue its 2 million coverage. kr per customer per bank. In the recent opinion of the ECON Committee, i.e. the financial committee in the European Parliament has introduced a provision allowing Norway to maintain a level of coverage of 2 million. kr, combined with a condition that a level of coverage higher than EUR 100000 can only be offered to depositors resident in the country in question, in this case Norway, which could prevent distortions of competition. The Council shall now proceed to work on the matter. Later in the process, there will be so-called trialogue negotiations between Parliament, the Council and the Commission. It is now expected that there will be a decision after the summer, i.e. under the Polish Presidency. I had a meeting with my Polish colleague a short time ago on the matter – to keep the matter warm. I would also like to commend the Committee and the committee members for their wholehearted support, and for working against their party traps around Europe. It has contributed to the result so far. Then I would like to remind you that a 1 January of this year set up a new system of financial supervision in the European Union. Three new supervisory bodies oversee individual institutions, so-called microsupervisory bodies, while a new systemic risk board oversees the financial system as a whole, so-called macroprudential supervision. Norway, Iceland and Liechtenstein will have permanent observer posts in the micro-supervisory bodies and will be able to participate in the System Risk Board on an ad hoc basis, as it is called in the EU language, but not where individual countries or individual enterprises are discussed. I would like to stress that the government will ensure that Norway does not in any way transfer sovereignty to the new supervisory bodies. It is an interesting chapter in the financial market communication on the development of the financial industry in the last 40 years. What has happened is that this industry has grown big and significant. It is an important industry for Norway. And what perhaps not many people think about today is that the Minister of Finance not only has a responsibility for lawmaking, supervision and control, but is also the Minister of Industry for this industry. It is a task that I take seriously, considering both developing a forward-looking regulatory framework and having a good framework around the industry, but also contributing to this industry becoming a good, competitive and forward-looking industry. If one were to describe the short history from 1970 onwards, one could say it in the following way: from rationality and regulation to release, crisis and consolidation. We are now in the consolidation phase, which is important for both Norwegian and international finance industries. And the other new thing that has happened in this period is that money is no longer just money, to say it that way, but also has become a commodity and a product that in itself is to give returns and new products. So we're living in an exciting time in financial markets. In the case of the Bank of Norway and the exercise of monetary policy, the regulation is final from 29 March 2001. There is no reason to do anything else, for this, along with the rule of action, which came the same day, has served us well, and I expect this to serve us well in the future as well. Last May, Norway’s Bank increased its interest rate by 0.25 percentage points, to 2pst. The interest rate was then kept unchanged for the rest of the year. The Bank of Norway has estimated that the interest rate will increase to just over 2.5 pst. towards the end of 2011. What is important now, as I said earlier, is to take on board that both in Norway and internationally expect interest rates to increase in the future, but, of course, economic developments both in Europe – the different countries in Europe, both inside and outside the euro zone – and in Norway, will determine how much and when this happens. So a point about the State bond fund. The Public Security Fund has an important role to play in managing the government bond fund. The notification refers to a corporate event related to a bond investment that led the fund to hold shares for a shorter period. In a letter to Stortinget on 14 June, I have informed about another corporate event that is linked to a bond investment in the State bond fund. I believe it is important that the Social Security Fund has a sufficient degree of freedom to safeguard the fund's values in this kind of special situation, and I am committed to clarify this in the mandate of the State Bond Fund. Finally, a few lines about the International Monetary Fund. I would say that the IMF is important to Norway. Norway is an important supporter of the IMF, and it is also important to ensure both that the IMF has sufficient lending capacity and that the IMF governance bodies reflect developments in the international economy and changed country-to-country strength relationships. It is also reflected in the quota reform that is now taking place in the IMF. I just want to stress that Norway places great emphasis on the work of the IMF. It is an important body to ensure international financial stability in the future.
ParlaMint-NO_2011-06-16.ana.ud1149e910	It's going to be line change.
ParlaMint-NO_2011-06-16.ana.ud1149e914	Let me first thank the Minister of Finance for a status update on the work on the deposit guarantee scheme. As the Minister of Finance probably registered by my post, I am very pleased with the job of the government and not least the Minister of Finance in this area. The question relates to the comment contained in the attitude of an overall opposition, which refers to the possible publication of the minutes of the interest-rate meetings at the Bank of Norway. I have recorded that in the many parties and in other contexts, the government and many politicians talk about the need for more publicity, and the importance of getting the important debates into public space. Many actors point out that it may be a good idea to have the minutes published by the interest rate meetings at the Bank of Norway, in line with practice in many other countries. I would like to get some views from the Minister of Finance on whether this is something he actually shares and sees the need for, and whether it might be possible to change it.
ParlaMint-NO_2011-06-16.ana.ud1149e923	First, transparency is also important when it comes to issues relating to interest rate fixing and monetary policy. In fact, the central bank has gained a great deal of recognition for the way in which it has done so, when it comes to making public the assessments behind the interest rate setting. One presents the interest rate path, one presents a separate note in retrospect of the Governing Council meeting, where one refers to the main considerations that the Governing Council has highlighted, and one also publishes important things in the Monetary Policy Report. So, the Ministry of Finance places great emphasis on openness. That's one of the reasons why we're participating in the financing of Norway's Bank Watch. However, with regard to the specific question — whether Norway’s Bank should continue to publish reports — it is actually a matter that I leave to the Norwegian Bank and the Norwegian Bank’s main board of directors to assess. But experience shows that they've put great emphasis on openness, and I expect that it's also a line forward from the central bank.
ParlaMint-NO_2011-06-16.ana.ud1149e930	The Minister of Finance suggested what I had to say about Norwegian or Nordic special requirements and faster capital adequacy requirements than in EU countries and in other countries. There is an overall financial industry that is reasonably concerned that it will happen, without knowing what the other requirements will be for the other countries, and that one thus starts in advance. The Financial Supervisory Authority writes in a press release: ‘For the time being, caution should be exercised in formulating Norwegian or Nordic specific capital adequacy requirements.’ Financial supervision warns against the practice open up today by the Minister of Finance from the Chair. What reasons does the Minister of Finance have for this? And what kind of dialogue is there with the Norwegian financial industry ahead of this?
ParlaMint-NO_2011-06-16.ana.ud1149e942	What I was referring to was a meeting I had with my Swedish colleague, where we discussed the possibility of seeing whether the Nordic region should move a little faster in terms of building up the capital and soundness of the industry than what is foreseen in the Basel III timetable. This is important for two reasons. One consideration, of course, is the speed with which one can compare with the competitiveness of the Norwegian financial industry. On the other hand, in a world where the soundness of the financial industry can be called into question, I believe that having a solid financial industry with good equity coverage, with good liquidity and with great confidence, is a competitive advantage. These are important questions where one must weigh these two considerations. I'm going to come back to that question when we've examined this a little bit more closely in the Nordic region.
ParlaMint-NO_2011-06-16.ana.ud1149e951	In an article in Today's Business Today, on dn.no, it says that LO-delede Argo Securities is one of the most exposed buyers of personnel, with high bonuses, with high ‘sign-on fees’ – and with LO's vice-leader The Solbaken on the board. In the light of the red-green criticism of bonuses and the red-green criticism of ‘sign-on fees’ and others.: Does the Council of State consider LO to be a double moral driver? And is what LO is involved in this matter, in line with red-green policy?
ParlaMint-NO_2011-06-16.ana.ud1149e958	Now I have not been involved in the matter to which reference is made. I actually saw the title, but I didn't read the article – I didn't get it until I got to Stortinget. But I want to assume that LO acts as you talk, also in those questions.
ParlaMint-NO_2011-06-16.ana.ud1149e963	For some of us, after reading the title, there is no need to go further into the article. Well, there might be something there, too. I want to go a little further on this with the Financial Crisis Committee. The IMF and the sample agree that the financial industry has particularly favourable tax conditions. The IMF proposes, inter alia: an activity tax on the financial sector. Denmark – with a civil government, I say – has introduced some kind of tax on the industry. Representative Karen Helene Ulltveit-Moe wrote in Today's Business: «We owe all those who lost their jobs and homes during the financial crisis to settle the particular conditions of the industry.» On a scale from one to ten, how does the Minister of Finance agree with her that the industry has special conditions?
ParlaMint-NO_2011-06-16.ana.ud1149e977	It is true that this industry, for example: does not have value added tax and is not subject to any part of such things as other industries are. But at the same time, it's important to be aware of a few things. First of all, there is a European work. There are now several European countries that consider introducing a balance sheet tax, or activity tax, as one calls it. It is clear that in our follow-up to the Committee on Financial Crisis, we will draw attention to what is happening in Europe in order to introduce similar things in Norway. Secondly, Norwegian banks pay a fee to the Swedish Insurance Fund. What we're assessing here is whether to make the fee mandatory, because today there are some special rules attached to when the fund is filled up. But these are questions that we will come back to in the follow-up to the Financial Crisis Committee. I promise that this will be carefully considered, but the answer I am not prepared to give today.
ParlaMint-NO_2011-06-16.ana.ud1149e984	We experience a strong movement and increase in childbirth in and around our big cities. At the same time, access to dwellings has not been proportionate, and the result is a price increase, which none of us want. According to the SSB, the price increase this year will be 7 pst. nationally, and, of course, higher in the press areas. The consequences can quickly become a new housing bubble and at least a faster interest rate increase than we want. I may not have a question, but more a challenge to the Minister of Finance. What does the Minister of Finance think it is important that we allow national politicians to do to counteract this and ensure access to housing in the press areas?
ParlaMint-NO_2011-06-16.ana.ud1149e991	The housing market is important both for those on the housing market and for those on the housing market. It also plays a very important role in the economy. These are examples of housing bubbles that have led to significant disruptions and, in fact, crises in the banking industry. So it's important to have that view of it. Housing policy and the housing market also have an important distribution policy side. The fact that people have to be able to get a good living is in many ways important for people to feel safe and feel good. What is happening now is that we will discuss this issue in the context of the distribution communication, which the government will present later in the autumn. It's a sample that's now going through housing policy. There will also be a housing report, which Stortinget will have the opportunity to discuss at a later stage. This shows that this is a question that both the government and the opposition will have to discuss, and that we need to be concerned about in the future, because it means a lot both for the financial industry and for the individual that a good balance exists in the housing market.
ParlaMint-NO_2011-06-16.ana.ud1149e998	The cord shift is over.
ParlaMint-NO_2011-06-16.ana.ud1149e1002	Norway has been through the financial crisis in a good way. The crisis was the biggest backlash in the international economy after World War II, and we now see, as many have seen, that many countries in Europe have major challenges in dealing with their sovereign debt in the wake of the major banking and financial institutions rescues that were set in motion during the crisis. Growth in the world economy has taken place after the financial crisis, but growth has not been strong enough to significantly reduce unemployment in several European countries. This creates uncertainty and unrest in many individuals and in many countries. In an interview in Today's Business yesterday, the famous investor and philanthropist George Soros said that Europe needs a plan B, and pointed specifically to the situation in Greece. He said, ‘Europe cannot let Greece default the debt because it would be an uncontrolled default with disastrous consequences for Europe’. [[...]] Norway is also part of Europe, and the countries there are our neighbours and the closest trading partners. The unstable economic situation in Europe and elsewhere in the world can easily enter the Norwegian economy, which is small and vulnerable. At the same time, one should also be alert to changes in our own economy that can contribute to creating financial instability. Many households in Norway are heavily indebted. Most of the debt is related to housing, but many households also have high consumption debts. This creates problems for the individual at home even here if interest rates rise. If many households have problems paying their interest and repayments on loans at the same time, there may also be a threat in the next round to financial stability in Norway. Good consumer protection is essential for financial stability. The financial crisis committee, which presented its position now after Christmas, has a focus on it. In recent years, and especially in the years leading up to the financial crisis, we have failed to understand many examples of sales of composite and loan-funded savings products to consumers. They prided themselves on their bank or other financial institutions' advisors, and bought products on which they lost their savings. This has now been cleared up in Norway, but there is no reason not to focus on consumer protection equally fully. We have good regulation and good supervision of the financial market in our country. For example, the financial supervisory authority seized: vis-à-vis banks and financial institutions in respect of equity requirements in respect of the purchase of dwellings. In addition, there is an obligation to discourage customers who are unable to serve their debts. In April this year, the Ministry of Finance also stressed the importance of consumer focus, with reference to the complexity of the current financial market and the ever-new product solutions being marketed. That's good. It is also important that consumers themselves become more aware of products offered in the financial sector. To make it easier for consumers, there is a financial portal that facilitates the comparison of prices and services offered to us as consumers. The financial sector itself is also committed to developing this portal, and it is important that further development takes place in cooperation with industry. Most of the players in this important sector are serious and good business operators who have the same interest as us in not getting unprofessional products on the market – products that are helping to destroy the industry’s reputation in the next round. Confident customers – loan customers or customers who want to invest their savings – are also an advantage for the industry. In recent years, we have tightened up the law in a number of areas to avoid emerging financial crises. An example is tightening up the bonus rules. It is disappointing that the Progress Party and the Right are still not in favour of the absolutely necessary tightening of the remuneration and bonus rules in order to counter incentives for high and short-term risk-taking for employees in the financial sector. It's going very well in Norway. We have good governance and control of banks and financial institutions. However, I welcome the follow-up to the Financial Crisis Committee's position, which points to a number of areas where, like other countries, we can take action to secure ourselves against new crises.
ParlaMint-NO_2011-06-16.ana.ud1149e1026	Several relations in the Norwegian economy are now pointing in the right direction. Developments in the Norwegian economy are promising the demand for goods and services in the future. It's positive. But in Europe there are several countries with large budget deficits and high government debt, and there is a concern that this can spread further. We can read in Today's Business both yesterday and today about warnings about a new financial crisis, and we also saw that Obama warned against this today. Although things are going very well in Norway, it's important that we are awake for what can happen, and what actually happens around us. Then it is important that we put in place international rules that can help prevent a new crisis. Many countries are working on proposals for new rules and regulatory changes. The Basel Committee has introduced stricter capital and liquidity requirements for banks – the Basel III requirements. These requirements shall contribute to lower risks in the international financial system. However, it may take time for some of these changes to be made. The EU has also set up a new financial supervision system, and I believe it is unlikely that Norway should participate where we can in the new supervisory systems in the EU. I also mean that both here at home and in the North can, and must, be in the forefront. With new rules we can go leading to influence internationally. I also think it is important that we have good consumer protection on the financial market. Financial supervision is responsible for consumer protection and consumer information. It's not that easy for individuals to maneuver right between all products for savings, loans, pensions, etc. available on the market. And even though entrepreneurs have an obligation to provide relevant and understandable information about the different financial products, I actually think there are many who still don't understand what they're going into. In the financial crisis selection setting, this is also pointed out. They suggest measures to make it easier for consumers. These measures include requirements for consultation on the investment product and the design of standard risk profiles in the Inlet Pension Scheme. I want to say a little bit about the IMF as well. The report to the IEO, which is the IMF’s monitoring body, shows that from 2004 to 2007 neither warns the IMF countries where the crisis occurred, nor the Member States more generally, about the risks and weaknesses that led to the financial crisis. Nor did the IMF discuss the dangers of an increasingly relaxed credit policy for mortgage loans in the United States, or the dangers of the less transparent financial instruments that were designed to do so. On the contrary, the U.S. government was praised for not regulating too much, and for facilitating financial innovation! As late as in 2007, the IMF expressed good prospects for the world economy. I think this is pretty serious. This is actually the world's leading economists. But it is good that the IMF now sees the responsibility, and follows up the report. The report is important, and it provides a good basis for strengthening and improving the IMF and international protection against economic crises. And we see that as the world economy continues to improve, the IMF could move the focus from crisis management to try to learn from what has happened. Nevertheless, there is a great need for IMF loans, and the IMF has large outstanding loans. Then it is very important that the IMF should not, on an ideological basis, make demands for privatisation and liberalisation when the fund lends to states, and I am very pleased that the Left and Christian People's Party supports us in that remark. But the financial crisis has created great unemployment in the world. Over 30 million people have lost their jobs since 2007. The high unemployment rate among young people seems to me to be very serious. I can't think of anything more wasteful with resources than having young people walking without work. In Spain, the number of unemployed young people is actually up to 25 pst. I am very pleased that the IMF and the ILO will cooperate on measures to contribute to economic growth and development, and in particular to curb the increase in unemployment. The IMF has an important function that we need to support.
ParlaMint-NO_2011-06-16.ana.ud1149e1054	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Footing, see page 4999]]
ParlaMint-NO_2011-06-16.ana.ud1149e1070	At the request of the Financial Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each Party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-06-16.ana.ud1149e1079	The majority has received a report from the Norwegian Bank’s representation that, in accordance with Section 5 of the Central Bank Act, has overseen the operation of the Norwegian Bank in 2010, including the State pension fund abroad, SPU. Following amendments to the Central Bank Act of 2009 and 2010, the supervisory report is now sent directly to Stortinget and not via the Ministry of Finance as before. The Committee is pleased with the new audit and supervisory system, which includes and emphasises that the representation of the Bank of Norway is the independent Supervisory Body of the Storting. The fact that, following the amendment of the law, the Storting also provides for compensation for the members of the representation also underlines that fact. It is important that there is maximum transparency around the activities of Norway’s Bank. The Bank manages State pension funds abroad, as there is a lot of attention both here in the United Kingdom, in the media and in society. It should also be missing when it is the Norwegian people's common savings account. The establishment and transparency of a new audit and supervisory system on the basis of the amendments to the Central Bank Act. The size has made a number of changes to the law whereby Norway’s Bank is audited by an external independent auditor appointed by its representative. At the same time, an independent supervisory secretariat is established to strengthen the ability of the representative to exercise supervision. The Committee is pleased that the representativeness of the Bank of Norway has worked actively to put in place the new system of audit and supervision. The Committee has noted – and is very satisfied – that no issues have been identified through the supervision of the Bank of Norway, which provides the basis for specific observations under the Central Bank Act. At the same time, we must understand that Norway’s Bank, and in particular the management of the State pension fund abroad, is a very complex activity. We have to assume that this will happen from time to time. However, it is important that Norway’s Bank seeks to reduce the likelihood of such errors to as low a level as possible. I would like to link some comments to one of the focus areas of the current year's representation. The Committee supports the priorities of the Representation for further supervisory work, and my comment will relate in particular to the work that the Representation will do in following established principles of interaction with the National Audit Office with regard to the management of the SPU. The size has dealt on several occasions with the distribution of responsibility for the supervision of the management of the State pension fund abroad, but I record that this is still an area that needs to be actively worked on. I would like to point out the importance of a clear division of responsibilities and roles between the various bodies that supervise and control the State pension fund. The size has decided to strengthen the supervisory and supervisory role of the board of directors. As I mentioned earlier, the representative is responsible for ensuring that the management of Norway's Bank takes place within the guidelines drawn up by the Ministry, based on the work of the external auditor. The National Audit Office is not responsible for auditing the Bank of Norway but for auditing the State pension fund’s external item in the national accounts. Furthermore, the Riksrevision shall review whether the Ministry of Finance’s management of the Fund is in accordance with the decisions and assumptions of the Storting. The National Audit Office’s work on auditing the State pension fund’s foreign item in the national accounts is based on the work of the bank’s external auditor. In addition, the National Audit Office shall not carry out any checks on the Bank of Norway and SPU. This division of labour has clarified the Stortinget on several occasions, and the Committee has therefore noted that the representation has a high focus on the established principles of interaction with the National Audit Office in relation to the State pension fund abroad, so as to avoid ambiguities between the various bodies appointed by the Stortinget, which we have experienced in several contexts. The Committee welcomes the work carried out by the representative body of the Bank of Norway and is also pleased that the supervisory report has now been sent directly to the Stortinget.
ParlaMint-NO_2011-06-16.ana.ud1149e1096	Several have not asked for the floor on case No. 4th@item: inlistbox [[Footing, see page 4999]]
ParlaMint-NO_2011-06-16.ana.ud1149e1112	The matter under consideration is the result of decisions of the EEA Committee on 10 November last year which decided to amend Annex IX to the EEA Agreement to include Directive 2009/65/EC of the European Parliament and of the Council of 13 July 2009 on the coordination of laws, regulations and administrative provisions relating to undertakings for collective investment in transferable securities. The directive is also referred to as the UCITS IV Directive. To put it simply, this is the EEA passport of management companies, which provides for the establishment and management of a fund by a management company authorised and supervised in a Member State other than that in which the fund belongs. A unit trust shall be manageable directly across borders from the home Member State of a management company or through the establishment of a branch. In order for investors in funds managed on a cross-border basis not to be exposed to any additional or lower standards of protection, the Directive requires the Commission to regulate key areas such as: organisational, conflict of interest and sound conduct of business. The case also contains the decision of the EEA Committee to amend Annex IX to the EEA Agreement to include Directive 2009/110/EC of the European Parliament and of the Council of 16 September 2009 on the taking up and pursuit of the business of electronic money issuers, on the supervision of such activities and amending Directives 2005/60/EC and 2006/48/EC and repealing Directive 2000/46/EC. This means that access to the market for e-money companies will be easier and start-up capital requirements will be lower. Another key change is that the definition of e-money is made technology-neutral to take account of the likely developments. The matter may seem technical. But it's now that we're dealing more and more online, and we're using digital money today. We act across borders, and it is therefore necessary to adapt the legislation to the new everyday life we experience, and that consumer interests are also safeguarded in that kind of trade. The new e-money Directive lays down requirements for consumer protection and the repayment of paid-up capital from customers. With that I put the matter forward. The Committee has no further comments and consents to the approval of the decision of the EEA Joint Committee.
ParlaMint-NO_2011-06-16.ana.ud1149e1125	Several have not asked for the floor on case No. 5th@item: inlistbox [[Footing, see page 4999]]
ParlaMint-NO_2011-06-16.ana.ud1149e1141	No one has asked for the floor. [[Footing, see page 4999]]
ParlaMint-NO_2011-06-16.ana.ud1149e1157	No one has asked for the floor. [[Footing, see page 4999]]
ParlaMint-NO_2011-06-16.ana.ud1149e1173	No one has asked for the floor. [[Footing, see page 4999]]
ParlaMint-NO_2011-06-16.ana.ud1149e1189	At the request of the Municipal and Administrative Committee, the President will propose that the debate be limited to 2 hours and 5 minutes and that speaking time be allocated to the groups as follows: The Working Party 45 minutes, The Advance Party 30 minutes, Right 20 minutes, Socialist Left Party 10 minutes, Center Party 10 minutes, Christian People's Party 5 minutes and Left 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after contributions from the main speakers of the parties and up to three lines with replies after contributions from the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
