ParlaMint-NO_2011-01-19.ana.ud2356e26	The representative, Dagrun Eriksen, will present a proposal for a representative.
ParlaMint-NO_2011-01-19.ana.ud2356e184	It's at least a dilemma: we want to give everyone who comes here, legal certainty and individual treatment. It is a comprehensive process, in which it is often difficult to find out, for example: basic documents as a birth certificate – who are people? That's why it takes a lot of time. Then there is appeal – twice treatment in the UDI, in the Foreign Affairs Department and often in a Norwegian law. It'll take time. At the same time, it is frustrating that people are here for a long time when they end up going out anyway, and through that treatment process people are often linked to the country, to the kingdom. It is particularly serious that once a final decision has been taken in a Norwegian court, you still do not choose to leave and stay in the country. That is why the laws have now been designed so that the time you are in the country is not counted in assessing whether you have a special connection to the kingdom, that is, a special connection to the kingdom, because you can't reward people being here illegally. With regard to the specific foreign police unit, I don't know exactly what it is about, but what I know is that this government has strongly strengthened the aliens unit, or the police, and increased the transports, just to succeed in our asylum policy.
ParlaMint-NO_2011-01-19.ana.ud2356e191	There will be follow-up questions – first Per-Willy Amundsen.
ParlaMint-NO_2011-01-19.ana.ud2356e194	The number of illegal immigrants in Norway has increased, but the SSB has said that there can actually be as many as 32,000 illegal immigrants in Norway. It's a problem. Whatever you do with the situation here and now, we have a lag of people who have to get out of the country. What seems obvious is that the government – at least as long as you depend on the Socialist Left – has no solution to that problem. For every year that goes, it becomes more and more necessary to clean this up, and I don't see that the government is going to be able to do it without actually applying for cover from other parties in the Stortinget. That is why, on behalf of the Progress Party, I would like to offer the Prime Minister the opportunity to sit down with the Advance Party and negotiate, so that we can actually find good solutions, by the majority in the Grand Duchy, to resolve the problem we have with illegal immigrants. [[The President clubs.]] Will the Prime Minister consider such a compromise with the Progress Party?
ParlaMint-NO_2011-01-19.ana.ud2356e199	The President recalls that follow-up questions must be taken within the speaking time.
ParlaMint-NO_2011-01-19.ana.ud2356e202	We have made significant changes in Norwegian foreign policy. We have also implemented some restraints in asylum policy, with a strong desire to succeed in caring for those who have the right to stay in the country but return those who do not have the right to stay in the country. We have announced our own child growth message in transit, which is an opportunity for the Stortinget to re-examine that part of foreign policy. And it's always a challenge for us to be consistent, to be specific, but at the same time to care for human interests, to be right and in place with regard to the institution of asylum, and to provide protection to those who need it. Illegal residence is a big problem. There is no one who has certain figures on it, because it is precisely because people are illegal here, and can also travel around the Schengen area without it being possible to have full control over it. That's why we've stepped up sharply the number of returns and doubled them in a few years. The advantage of increasing the number of forced returns is that that also increases the number of voluntary returns, and both are good.
ParlaMint-NO_2011-01-19.ana.ud2356e211	Two further follow-up questions will be raised – first Michael Tetzschner.
ParlaMint-NO_2011-01-19.ana.ud2356e215	I noticed that the Prime Minister used the expression that someone has to go out to make others. I would like to point out that this is not a final size. Those who are going out are going out as a result of our position on the basis to be in Norway, whether they come as immigrants or refugees or as an asylum seeker. If you were to take the prime minister seriously, then Maria Amelie would have to go out to make room for the drug pushers along the Akersleven who would then obviously be allowed to stay. Such an allowance does not exist. My question to the Prime Minister is whether the Prime Minister has not gone a bit far in defending intransigent decisions in the UN. For it is that there must be a certain discretionary room for the administration, but he has to the degrees set behind a decision without having seen the clearly unreasonable and inhumane in that decision. Or, as the Prime Minister is quoted in the Evening Post, someone has to set up the system. I'm asking whether the Prime Minister should not put up with the individual rather than the system.
ParlaMint-NO_2011-01-19.ana.ud2356e222	We stand up for the individual. That is why we need to have a fair system, so we need to have an individual procedure, and that is why we have to assume that everyone who comes here is individuals who have to be judged as the individuals they are – comprehensive individual treatment. However, once a decision has been taken for several rounds in the UDI, in the UN and then in Norwegian law, that decision must be implemented for all. Then it has to be equal to the law. It is obvious that we should have out those people who, in addition to having illegal residence, commit criminal acts. The number of sentence fields returned by force has increased strongly – 700 last year. We're going to send out those who commit criminal acts, as well as sending out those who are here with illegal residence. Well, I think that Erna Solberg, when she was a state councillor, was very clear that she did not want to go into individual matters. I also do not want to try out individual items. The size has deprived me of the right to do so too, because the Stortinget has been very clear that we have a legal system, and we have a foreign subject who assesses the individual matters. They are implementing the policy we have adopted.
ParlaMint-NO_2011-01-19.ana.ud2356e231	Geir Jørgen Bekkevold – to the last follow-up question.
ParlaMint-NO_2011-01-19.ana.ud2356e234	Perhaps the Prime Minister will get a slightly different angle, a very concrete case relating to the paperless immigrants, who are going on with health care. On today's news, we were told that paperless immigrants still do not receive the health care they need, and this despite the fact that the Minister of Health opened up that this was a scheme that was to be put in place. Paperless immigrants would also receive health care. In contrast to what the Progress Party proposed, that of criminalising the provision of health care, the government will open up to it. But today we have heard that this is not yet in place. What will the Prime Minister do to ensure that paperless immigrants also receive the absolutely necessary health care they need?
ParlaMint-NO_2011-01-19.ana.ud2356e241	First, just a little reflection around the term ‘paperless’. These are people who have illegal residence in Norway. There has been extensive treatment of them. There are large piles of paper in the UDI, in the UNE and also in themselves, so I believe that the term ‘paperless’ is a little unpresist. It is about people who are here on illegal residence and who do not have the right to stay based on the laws adopted by a broad majority. And then it's up to the police to implement – follow up – the laws of the Stortinget have been passed. You should not have illegal residence. Then you're going out. A prescription has been sent to the hearing to provide an offer of health care to those who have an illegal stay. There is some offer already today, but it is about strengthening it. But the whole point is that once you've been denied, you're going out. As far as we have an overview of it, only one country, Cuba, does not accept people who want to return voluntarily.
ParlaMint-NO_2011-01-19.ana.ud2356e248	Let's move on to the next main question.
ParlaMint-NO_2011-01-19.ana.ud2356e251	Every week people die on Norwegian roads. The reasons are many. It's speed, it's rush, it's road standard, traffic, race, inattentiveness, or just randomness. Many drivers lay out on the road with gnawing upset in their stomachs. There are many factors that the driver himself cannot control. Lower speed limits and more speed control will not help you when you suddenly encounter an unnoticeable driver coming at you in your own lane. Attitude campaigns will not be able to save you from the consequences of having tossed on the car on the day you drive on a road with poor road standards and without auto protection, or meet a car train with a sling on the trailer. The dramatic meeting accidents take life on the fraction of a second. Perhaps the driver of one car is to be skeptical. It has little to say to those sitting in the other car. It's in such a situation that midwayers save lives. Someone is pointing the index finger at the drivers themselves, but I find it difficult to point the index finger at those who are hit by a car that gets into the wrong lane. As responsible politicians, we have to go in ourselves and ask: what better can we do? Therefore, last week, the Right Party invited all the parties to a joint meeting for road safety by joining in on a proposal to get a quick case for the Stortinget on a much higher pace in the construction of, among other things. middle parts. With great disappointment, I have to say that the representatives of the Workers' Party and the other government parties rejected this invitation. My question to the Prime Minister is therefore whether there was anything wrong with the form of the proposal. On the right-hand side, we would like to get back to the proposal in a different form, if it can be made more edible for the Workers' Party. The most important thing for the Right is that we advance the construction of middle parts on Norwegian roads, so that we can secure our roads and avoid the loss of so many lives in meeting accidents.
ParlaMint-NO_2011-01-19.ana.ud2356e260	I believe that the work to reduce traffic accidents on Norwegian roads is one of the most important tasks we face. In no other area of society, we had accepted that hundreds of people will die every year, in addition to hard damage. Every life lost on Norwegian roads is one life too much. That is why we must constantly reach out to improve road safety on Norwegian roads, and there are, of course, many measures that must work together to succeed in reducing the number of accidents. Last year, 210 people lost their lives on Norwegian roads – there are 210 people too many. But at the same time we have to take inspiration in the following: that's the lowest number since 1955. During the same period, traffic has increased sharply, with a dramatic reduction in the number of accidents on Norwegian roads relative to traffic volume. The lowest number of fatalities since 1955 in a period when traffic has increased sharply is an expression that, after all, road safety has improved, although there is no consolation for those who continue to experience accidents, lose their closest or suffer serious damage to Norwegian roads. There are certainly many reasons why the number of road accidents is falling, and it is bound to fluctuate slightly in the years to come, but the trend is downward. On the one hand, there are better roads, and on the other hand, there is better traffic monitoring. But we know that 40 pst. traffic accidents are associated with high speed, and therefore it is also about accountability and traffic monitoring, to ensure that we bring down the number of accidents further. We have stepped up heavily the appropriations for road safety, stepped up the appropriations for road and transport, increased the appropriations for middle-parties and will follow it up in the national transport plan, and we will be happy to discuss at each budgetary procedure how we can improve road safety. We will also present a new national transport plan, and we will then have a new opportunity to discuss long-term work to improve road safety on Norwegian roads.
ParlaMint-NO_2011-01-19.ana.ud2356e271	As usual, we're getting this monetization from the government parties. I want to remind the Prime Minister that there are 500 million. kr according to the plan you have made. From the right-hand side, we've added 1.4 billion. kr more on the table than the government in the last two years. No, I'm disappointed! I had long believed that the Prime Minister would cut through and receive such an outstretched hand from the Right, for the good purpose of saving more from the terrible meeting death on the roads. In our opinion, we cannot sit and watch people die or get hurt hard in traffic, when it is possible to do more about what we can actually do about, namely build middle parts. I am surprised and ask the Prime Minister once again: Is it possible that we can sit down with the government to agree that an obliging action plan is to be established to build middle parts on Norwegian roads, to save more Norwegian lives?
ParlaMint-NO_2011-01-19.ana.ud2356e280	As I said, we are ready to discuss to reach a broad consensus on transport policy and road safety on many occasions. We have budgets every year, where we have extensive discussion about appropriations for road safety measures and the opportunity to arrive at agreed positions, and we are presenting a national transport plan, where we can do the same. So, of course, we are not opposed to discussing to reach a broad consensus on transport and road safety measures. But short on figures: this government was elected in 2005, when we were in opposition, on a transport plane every year was 2 billion. kr above what the previous government provided. Then the previous government said that it was a completely unrealistic over-representation. We did it and even added a little bit to the two billion each year. Now we've put forward a new transport plan, which is going to be 10 billion. NOK over it again, and we're in the full path of fulfilling it. We've never said to go up 10 billion. kr immediately, but we're on a stepping up that will make us reach that goal. Then you want to weigh, you have to vote on the red-green!
ParlaMint-NO_2011-01-19.ana.ud2356e287	There will be three follow-up questions – first Jan Tore Sanner.
ParlaMint-NO_2011-01-19.ana.ud2356e291	The last thing I don't think impress anyone. I don't think the crutch to the Prime Minister impresses anyone either. Most people have experienced sitting with their hearts in their throats along Norwegian roads and have breathed easily when you have come home yourself, or when some of your loved ones have come home safely. That's what this case is about. When the Right says that we want to sit down with the other parties on the Stortinget to discuss an obligating action plan, it is too obvious that there is something more important than anything else. It happens that the Prime Minister invites the opposition to discuss matters, whether they be pensions or disability, to show that it is important. We believe that road safety is more important than most. I note that the Prime Minister refers to budgetary procedures. Well, we have experience in the budgetary processes in Stortinget. Then the government parties do what they want. National transport plan is far ahead. I therefore repeat the question: Is the Prime Minister willing to sit down now to discuss a binding action plan?
ParlaMint-NO_2011-01-19.ana.ud2356e300	Firstly, we have a binding action plan. We have a national transport plan, and for this government it is a binding document. The previous government presented a transport plan which it did not follow up. There was a lot of beautiful about bets on different measures, but the money did not come. The follow-up to the national transport plan in the previous government period — under the Bondevik government — did not stop it. We have presented two national transport plans, with a significant focus on road safety. We follow it up, so for us, it's a binding document. So we're going to put forward a new national transport plan. Then, of course, we will open up new discussions about further escalation, because of course we are not in target. 210 killed on Norwegian roads is, as I say, 210 too much, but that's the lowest number since 1955, and although it's definitely going to swing up and down in the years to come, we've done something about the fact that the trend is now falling. In particular, in relation to traffic growth, the likelihood of death on Norwegian roads is significantly reduced. We're not satisfied, it has to be done more, but it's now such that you can drive... [[The President clubs.]]
ParlaMint-NO_2011-01-19.ana.ud2356e309	Bård Hoksrud – for follow-up questions.
ParlaMint-NO_2011-01-19.ana.ud2356e312	The Prime Minister says that one of the most important tasks we face is road safety. Oil money flows at a rate far higher than that foreseen in the 2011 State budget. When we know that the Prime Minister always boasts of everything you do, it's okay to have built a 17.3 km motorway in the year over the last six years, which the government has run. In Sweden they build almost 200 km every year. There are people who are really betting on road safety. They're the world's best at road safety. Is the Prime Minister proud that our neighbouring country is far ahead of us when we have both the opportunities and the resources, if there is political will to do so? And why won't the Prime Minister accept the invitation to invest in road safety? I want to say at the end that one of the measures that does not cost much money, but that is important, is to use a seat belt. I encourage both the Prime Minister and everyone else to do that when you're in traffic and driving.
ParlaMint-NO_2011-01-19.ana.ud2356e319	You always have to wear a seat belt. As far as road safety is concerned, we do. But when you're betting on something, it doesn't mean that we're in the goal, or that we're satisfied. When we point to an escalation in the transport plan that we have adopted, it's because we're going to use more in the years to come. And there'll be more. I agree to discuss this in order to reach an agreement on these measures, both in the budgets and in the national transport plans. I would also like to stress that there has also been a sharp increase in four-field motorways in Norway. Soon we will open towards Hamar, and then you can drive from Mjösa/Hamar to Svinesund. You can go through the entire Westfold soon, and we're building down in Telemark, so in South Norway there'll be a pretty large network of four-field highways. We also build elsewhere in the country, so there has been a sharp increase in motorway investment in Norway.
ParlaMint-NO_2011-01-19.ana.ud2356e328	Knut Arild Hareide – to the last follow-up question.
ParlaMint-NO_2011-01-19.ana.ud2356e331	The previous government put forward a national transport plan which it did not follow up, said the Prime Minister. There are two errors in the same sentence. The Bondevik government took over in 2001, and it was actually the government of Stoltenberg that put forward a national transport plan in spring 2001. The Bondevik government followed up was the Sem declaration, and I do not need to remind the Prime Minister that it was followed up to the point and the point. I agree with the Prime Minister when he says that road safety is the number one job. But then it's a paradox to me that the government has organized the road sector oversight in a completely different way than in the other sectors. Before aviation, we have Avinor, but we have air traffic control. Before the railway, we have the Railway Agency, but we also have a railway supervision. In the road sector, however, we have a roadside supervision that is subject to the Directorate of Roads.
ParlaMint-NO_2011-01-19.ana.ud2356e338	It is true that there was an agreement on the national transport plan in force for the period 2001–2005. So the government of Bondevik stood behind and wanted to implement it, but it was not followed up. You didn't fund it. Then came a new national transport plan – which you thought was irresponsible – for the period 2005-2009. We overfilled it. So we put forward another national transport plan for the next period, and we're going to follow it up. So the difference is that this government has followed up the national transport plans. The previous government didn't. We are concerned with good supervision, but we are not least concerned with strengthening road safety measures. This is why we are stepping up both traffic monitoring and route-based speedometers, so that we can get even better measures to prevent people driving too fast on Norwegian roads — perhaps the main cause, or at least one major cause, of traffic death on Norwegian roads.
ParlaMint-NO_2011-01-19.ana.ud2356e345	Then we go to the next main question.
ParlaMint-NO_2011-01-19.ana.ud2356e348	I'm going back to immigration policy, because the expulsion of Maria Amelie has in recent days created a strong commitment both politically and publicly in this country. The police have been given their work form characterised by the court as a lack of musicality and a sense of fingertips. Many might say that it is a characteristic that can to some extent also take care of the government's and the Prime Minister's handling of the matter. I'll leave it. The Prime Minister has made himself a strong spokesman for, even here in the United Kingdom today, that immigration policy should be strict but fair. I think some reason why we get this kind of heated discussion about individual matters is that many people perceive that immigration policy is strict, but that it is not fair. The Prime Minister has made it a big point to be principled and stand up for the legislation. It is in many ways an important role for regulators. But there's reason to remember that there's a difference between principle and principle etiquette, and that part of the responsibility that you have for the regulation is also to take responsibility when the legislation meets reality, and the results are different from what you'd have thought. Interprets the code correctly? Does it match correctly? Recently, quite fundamental criticisms have been raised against the way our foreign administration practices the policy-specific legislation – when children have to answer for parental sins, when families split, and UNE says that it is enough with father, you don't need mother, when converts are sent home with notice that only the tens of their faith, they can well be sent to a country that does not accept that they are converted, and last but not least as regards practices on paperless. I would like to know what the Prime Minister intends to do in the extension of the specific matters that we have now discussed, in terms of legislative changes.
ParlaMint-NO_2011-01-19.ana.ud2356e361	We have already announced – long before this specific case came up – a separate big message about children on the run. There we will come back to adjustments and changes in the legislation, but it will cover everyone. What we're concerned about, is that what we do for one, we also have to be able to do for others in the same situation. There are thousands of different human creatures, there are individuals, and everyone has to be seen and treated as the individuals they are. Therefore, we need to have the strict, tidy, proper and individual treatment of them. But what we're concerned about is that when a decision is made, it has to be respected by everyone. Then it has to be equal to the law. There is no contradiction between being concerned with individuals, and at the same time being concerned that there should be equality of law, that people should be treated fairly. There are a lot of individual ships, and I cannot comment on the specific examples to which the representative Højbråtten refers. But it's just because there's so many single companies that we have a system where you normally get twice the treatment in the Foreign Directorate. Then there's a lot of people who go to Foreign Affairs and get one or two treatments there, and then there's a lot of people who try it again at a Norwegian court. When that process is over, when a Norwegian law has taken a decision, that decision has to be respected. What the police are doing is enforcing the laws adopted by this magnificence, and there has been a broad consensus on the restrictions we have imposed. When we return 4,600 people, there are over 4,000 fates — people who believe they have had a better life in Norway than they will in the country we send them back to. But it is the Stortinge that adopts the laws, because we believe that we need a regulation on immigration and who is allowed to come to Norway. What the Biggest thing has done – which I think is very interesting – is that you have opened up more labour immigration. Among other things, this is the case. made on the proposal of this government, but then we have tightened up on asylum. It is very important to separate the two things, and I am also concerned about communicating in this matter.
ParlaMint-NO_2011-01-19.ana.ud2356e373	Let me come back to what was my question, because my question was not whether the Prime Minister would intervene and deal with individual matters contrary to what the Stortinget has decided. The system is such that it is left to the administration. My question was whether, in the light of the experience with the kind of things I mentioned – not concrete matters, but I can give concrete examples if necessary – the government in its discussions has come to the conclusion that it will propose to change interpretation and practice, or change the legislation, in such cases. That was the question. Otherwise I have to add that I have with some wonder followed today's Question Time. The Prime Minister was ashamed at the beginning of this questioning process by the Progress Party for his firmness of principle, and he did not seem to be ashamed of it. He has received an open invitation from the Progress Party to a settlement on immigration policy. [[President clubs]] I did not register that he rejected it. Are we, in fact, in the face of a new change of direction in the direction of immigration policy on the part of the government?
ParlaMint-NO_2011-01-19.ana.ud2356e380	The President allows you to add anything, only that happens within speaking time.
ParlaMint-NO_2011-01-19.ana.ud2356e383	I will never stop wondering what people interpret into my body language. They know how I feel, what I mean and how I feel. I have it excellent, and I'm busy making political arguments. We are always open to adjust the policy. Clearly, we learn things and see things. The world is changing, and then we're adjusting the rules. We have adjusted asylum rules, we have adjusted labour immigration rules and we have opened up significantly more labour immigration in Norway. We have notified a big message, and then you often come up with suggestions – exactly which one we get back to. But we have announced our own big message about children on the run. So there will be new proposals for policy adjustments and changes. But I want to be sure that that policy will continue to be based on the basic principle that it is those who are persecuted – or there are strong human interests – who will be allowed to be here, and that those who do not meet the requirements after careful processing individually must exit. The best thing is if they return voluntarily, but if they don't, they have to expect to be forced to return. There's a similarity to the law.
ParlaMint-NO_2011-01-19.ana.ud2356e392	There will be three follow-up questions – first Geir Jørgen Bekkewold.
ParlaMint-NO_2011-01-19.ana.ud2356e395	The Christian People's Party, together with the SV and the Left, launched an open consultation on the paperless and their situation in Norway. It was arranged at the end of November last year. Ingrid Wirum, who is the head of the Foreign Office of the Police, also took part in this hearing. She said that after the government tightened up in 2008, the proportion of rejected applications for asylum seekers that are difficult or impossible to return has increased to 50 pst. There are three reasons why the paperless are not returned: it is impossible to return them because of security, the home country requires voluntary return, or the home country refuses to accept them. These conditions are of course UNKNOWN but choose to define them as return technical conditions and continue to reject them. So we know that there is a large group of people in Norway who cannot be returned, either by coercion or by voluntary means. I wonder how long will the government sit and watch this group of people just keep growing?
ParlaMint-NO_2011-01-19.ana.ud2356e402	First, until this term «paperless»: it is people who have unlawfully resided after assessing their application for residence in the light of laws adopted by the Stortinget and which the police of course enforce. It's people with illegal residence. Of course, you can change the laws, but there is also a broad majority on the Grand Council that has adopted them, and we have to respect that they are enforced. That was point one. Point two: Of course, there are different reasons why it's hard to return different people, again we're talking about thousands of different individual ships. But the main reason why it's hard to return people is that they don't return voluntarily. If they return voluntarily, tell who they are, they will be accepted in almost every country. As far as I understand, only Cuba does not accept voluntary return. The problem is that those who do not want to return voluntarily after a clear refusal, a final judgment or a decision in Norway that they do not have the right to stay. Then the problem is that they do not cooperate, that they refuse to return, that they do not provide the right identity — that kind of problem. That is why we are retiring to help increase voluntary return.
ParlaMint-NO_2011-01-19.ana.ud2356e409	Per-Willy Amundsen – for follow-up questions.
ParlaMint-NO_2011-01-19.ana.ud2356e412	I record that the representative Højbrätten in the Christian People's Party is ashamed of the Progress Party, and does what he can to run away from the responsibility that he was actually involved in under the Bondevik government, and which is actually much of the reason for many of the illegal immigrants who are on Norwegian soil. But this illustrates a problem, namely that most of the parties on the Stortinget do not have the will and the ability to put in place all the necessary measures to clean up what I'm saying, that maybe almost 32,000 illegal immigrants are on Norwegian soil. That is why I would like to extend a hand to the Labour Party and say that we should like to sit down, we would like to discuss measures and compromises in order to find good solutions to clean up this problem, because this is starting to get so large that it is of national importance to do something about it. Does the Prime Minister see the need for new measures in this area in order to obtain illegal immigrants?
ParlaMint-NO_2011-01-19.ana.ud2356e421	I think it's the result of a majority rule that the opposition invites conciliation in all areas, because that's the way you can have some influence. I see that in and out of my mind. I answer every time that well, well, brought documents to Stortinget, and then we will discuss whether there is any basis for agreement on more or less of those matters. But we're going to bring our documents. We've notified a big message about children on the run, and we also come up with budget proposals and other things that will be dealt with in the Stortinget, and then we'll see if there's any basis for consensus, whether it's road safety, refugee children or other areas. It is essential that action is taken, and there has been a sharp increase in the return of those who have not legally resided in this country. This has also led to an increase in voluntary return. Among other things, we have increased the number of employees in the Police Foreign Unit, we've started chartering, and we've done other things to take care of those who are entitled to stay. If we are to succeed in the integration policy, we must therefore return those who do not have the right to stay. If we want to do something different, we need to change the rules – not intervene in individual cases.
ParlaMint-NO_2011-01-19.ana.ud2356e428	Jan Tore Sanner – for follow-up questions.
ParlaMint-NO_2011-01-19.ana.ud2356e431	In the Marie Amelie case, the government itself has painted itself into a corner. Large resources are now to be used to transport her out, while the government openly signals that she is welcome back as a jobseeker. The Prime Minister says that the rules adopted must also be followed up. But we also know that judgement is exercised on how the rules are practised. The right agrees that it shall not be instructable in individual cases. But the Right has for a long time been calling for the Government to be able to instruct the Foreign Minister on fundamental issues concerning the elements to be taken into account. The government could have chosen to do so, and then this matter could have been resolved. Will the Prime Minister now make it possible for the government to instruct UN on fundamental issues so that policy can also be influenced?
ParlaMint-NO_2011-01-19.ana.ud2356e439	It's a little bit unclear what the Right really means. But I think what the Right believes is that they support that proposal from the Malta Committee to also give the opportunity to give instruction to the UN in principle matters relating to how to focus on strong human concerns. Well, it's a proposal that's there and it's going to be evaluated. But it is not a proposal that had in any significant way changed this matter, and it has also been said by Trond Helleland in a radio debate programme. Either way, you have to enforce and practice the rules that we have. And it's not like general instructions on the evaluation of humanitarian grounds change this specific case. What we've been saying, and what I'm standing by, and as I've been saying since day one, is that the Stortinge, among other things. on a proposal from this government as late as in a wholesale communication two years ago, increased access to labour immigration. There's a quota of 5,000, and we want labour immigration of qualified people. But this is it very important, as Stortinget said, to separate from the asylum institute.
ParlaMint-NO_2011-01-19.ana.ud2356e446	Let's move on to the next main question.
ParlaMint-NO_2011-01-19.ana.ud2356e449	In Soria Moria I it was said that the government should conduct a humane, solidarity and legally secure refugee and immigration policy. Then ‘human’ and ‘judicial’ were used in the rhetoric as ‘string’ and in other government statements as ‘consistent’. For the government has tightened in and tightened in and tightened in again. Now it is such that so many restrictions have been made. You're so hard on those who aren't returnable. There are so many areas where there is so much resistance that there has now been political outreach in Europe. It is such that Prime Minister Jens Stoltenberg is now on the right-hand side of Berlusconi and Sarkozy, who have made arrangements for this group. This is a wild strategy. This is a prime minister who says that it is more important to set up the law than to stand up for individuals. This is a prime minister who has stepped into immigration policy so much that Norway is on the outside of Europe. This is wild. This is the wish. My question to the Prime Minister is whether he is in company with Berlusconi and Sarkozy in immigration and refugee policy.
ParlaMint-NO_2011-01-19.ana.ud2356e454	The representative is quite right that the policy we are pursuing is a misguided policy. And if we didn't want it, we should have changed it. We must also face the consequences of the policy. An essential component of that policy is that we should have individual treatment of each one. It is thorough, it is comprehensive and often takes a long time, and it is extensive appeals. But once the individual treatment of each one is completed, we have to respect the result, because if not, there will be no justice, there will be no cleanness, and there will be a randomness that no one is earned with. There has been my message in this debate all along, and I like to stand up for such a policy, which I therefore see as fair, as humane, but also as consistent. What the government has done is, as I say, to open up further access to labour immigration, but has tightened up on some points regarding asylum. We did so, among other things. because we saw that there was a sharp increase in the number of arrivals of asylum seekers who did not need protection and who did not meet the requirement for strong human interests to stay in the country. These included: a very strong increase in the number of children who came, both lone minors and children who came with parents. In 2009, more than 5,000 children sought residence in Norway. That means having a general rule that if you come as a minor, you're going to be, is an impossible rule to have. But emphasising that you are coming as a minor is another matter. We're already doing that today. We will look at this further in the big message we are presenting during the spring. But I'm so concerned about taking care of the asylum institute, not destroying it, but just taking care of it in order to provide protection for those people who need protection.
