ParlaMint-NO_2011-05-05.ana.ud1933e53	The representative of Mr Morten Ørsal Johansen will put forward a proposal for a representative.
ParlaMint-NO_2011-05-05.ana.ud1933e158	This is a very important question. The Enterprise Security Council is an active organisation, which takes many initiatives and has made very important contributions, including: at our hearing in the committee. One of the actions highlighted in the Single European Act Communication is that we want to create a new form of cooperation forum – an operational cooperation forum between the business community and the Police Directorate, Kripos and the judicial authorities. It is absolutely necessary, because I had a meeting with the Social Security Council last week, which describes that the forum is ok, and it is fine also when the police meet with their representatives there, but there is a need for more operational, ongoing work, where you can take care of things that appear, in a more direct way than you get now. So I think the question is very good, and I think we should get back to it in the work on organized crime in all ways, because we see, for example. notifications of suspicious transactions. We rely on active commitment to do so in those institutions that do not contribute well enough today.
ParlaMint-NO_2011-05-05.ana.ud1933e163	So the chord change is over.
ParlaMint-NO_2011-05-05.ana.ud1933e166	It is an important matter we have to deal with today – Report. St. 7 for 2010–2011 The fight against organised crime – and that is what concerns Norway as a whole, and all its inhabitants in Norway. I would like to take the opportunity to commend the rapporteur for the thorough work he has done, and at the same time that he has also been open to the opposition, and was willing to include many of the opposition's comments in joint comments, so that there is an overall committee that is behind most of the issues that are now being put forward. It means that the case gets a much greater weight, and a much greater credibility in the population as well. So all praise to the case rapporteur for the job that has been done. Organised crime is international. It knows no borders. It has no county boundaries, no municipal borders and at least no police district borders. The criminals are well organized. They do this for economic gain, and they do it because they want to gain power through economics. These groups, which come to Norway from among others: Eastern Europe, are mobile criminals. They operate across county borders and across police districts, and they are fast. They carry out their breaks, disappear to the next district and continue the runway there. It's hard to track them, and the police are actually doing a good job today to get these taken. But more coordination is needed to cope. Coordination between police districts is a crossroads, and in order for us to do so, the Progress Party believes that we need to reorganise the police districts – that is, organize the districts in a completely different way. Today we have 27 police districts in Norway, which are partly unable to cooperate in a good way. We have started some projects, including: Borderless, which shows that cooperation between districts works in an excellent way. This is what the Progress Party wants to do. We want to merge more police districts, we need no more than between five and ten police districts in Norway. If these between five and ten districts can cooperate in a good way, we believe that much is being done to solve a lot of organized crime. What is also important is the cooperation between police and customs. It's the customs office that's often the first instance, and it discovers some of the criminal elements that come in. They are the first instance to take those who run with, among other things. smuggling, and good cooperation between customs and police is important. It turns out that in some cases customs authorities lack effective tools to do their job in a good enough way. The Progress Party would like to see a limited police authority for the part of the customs authorities, including: have the possibility to pull out with blue lights in order to pursue persons who do not wish to stop for control at the discretion of the customs authorities. It has been shown in some cases that the customs authorities have driven after people who have not been willing to stop, and tried to stop them by waving a light or lamp, on which these persons have, of course, gone on. They have no obligation to stop for someone who comes and blows with a flashlight. Some cases also show that those who have tried to run away, which has thus gone on, have not been criminals at all, but have been in the belief that the customs person who stood and waved with the flashlight was one who was going to engage in highway robbery. It is clear that when customs authorities are perceived as highway robbers, then we have a problem. And that problem and that challenge we should take seriously and give customs the opportunity to move out with limited police authorities. We must allow them to use blue lights, so that they can stop these people safely and in a good way – not least in a safe way for the other road users who are on the road at the same time. As I said, some of the criminals who come to Norway to commit crime come from Eastern Europe, from countries with some significantly lower living standards than we have here. They come to Norway to commit crime because it's easy to do it. What they do is assess the risk of being taken and the penalties they may receive if they are to be taken and the conditions under which they are to be taken. The risk of getting caught isn't too great, the punishments aren't very high, but the settlements, on the other hand, are very good. It is a clear incentive for these people from Eastern Europe to come to Norway to pursue their crime, when the risk of being caught is low, the benefits they can get from crime are high, the punishment is low, and the settlement conditions are better than in a normal dwelling in the countries from which they come, while they, while in prison, receive financial benefits that are roughly like average wages in the country from which they come. In this way, it is not particularly risky to come to Norway and commit crime. There are police officers in Latvia who say that as long as we have the settlement conditions we have in Norway, the Eastern European criminals will never stop coming to Norway for crime. They are also encouraged to do so. It is also important when we are going to do something about organized crime, that we have a targeted response to it. The Progress Party has proposed the creation of a separate entity with the overall responsibility for investigating and coordinating organised crime. It might be an idea to organize this in the same way that the police security service is organized, without comparison, where we have a central unit with the primary responsibility, and that we have units out in the five to ten districts that the Progress Party wants us to have. They shall have special competence in their field of competence. They shall have the competence and impact to enable them to investigate this crime, to cooperate with neighbouring districts, to have the opportunity to do something there and then, and not least to have the economy to do so. This unit must then be financed in such a way that it does not charge the ordinary budgets of the police district from which they are from, so that they have the opportunity, as I said, to make this independent of the economy of the police district from which they are from. We see today that things that have to do with organized crime are often thrown into police districts. No police districts will take responsibility for the investigation, because it is so resource-intensive that they will not have the opportunity to investigate other crimes later. So it's important, I think, to look at organized crime as a special part of crime, and that the investigation and resolution of such crime is economically independent of the economy that the police districts otherwise have. There has also been talk of recruiting the police. It is important that the police get the people they need in order to solve the issues they are investigating. But it doesn't help if they just get the key personnel, there also need to be enough staff to be able to investigate matters. We aim to have in the police a number of two police officers per 1 000 inhabitants, but it was worrying when we heard the Minister of Justice say for a while back that if we are to recruit more police officers, some people have to retire or otherwise end. Then I have trouble getting my math to go up, because if someone has to stop or retire to hire more police students, we will never, in my opinion, be able to achieve two per 1,000. So I think there are a lot of tools that can be used against organized crime. But the most important thing is that we, as politicians, can agree on large parts of this. The representative, Mr Bøhler, asked if it was possible to turn the two proposals on cybercrime into transmission proposals. Of course, the Progress Party agrees. Finally, I would like to address the suggestions made by the Progress Party in the vote.
ParlaMint-NO_2011-05-05.ana.ud1933e192	The representative of Morten Ørsal Johansen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2011-05-05.ana.ud1933e198	The representative of Ørsal Johansen spent some time at the customs authorities in his post. In the setting, the Progress Party states that resources for customs duties should be increased. We are hearing new tones here, and this is a clear breach of the line that the Progress Party has been leading in all budgetary years from 2006 until today. To date, in its alternative budgets, the Progress Party has proposed major and dramatic cuts in the Customs and Fee Setaten – significant cuts that would have had a significant impact on the fight against, among others. organised crime. Does the comment in today's position indicate that the Progress Party will change its policy in this area of action and, in line with the comment, propose to increase the allocation of the customs tariff in 2012? Or is this just once again empty words from the Advancement Party?
ParlaMint-NO_2011-05-05.ana.ud1933e205	These are not empty words from the Party of Advancement. We want – and have always wanted – the job done by the customs office to solve crime to be put on and increased. When the Progress Party in its budgets proposes cut, as the representative rightly says, in the Customs and Fee Set, the Progress Party believes that the Customs and Fee Setaten is also one of the agencies that can be more efficient in doing a better job. It is also possible to cut part of the appropriations allocated to the Customs and Fee Seat. Because, as I said, efficiency in the public sector is a main objective, and I think there are great opportunities to cope with the efficiency of the customs and tax haven, as in other public sectors.
ParlaMint-NO_2011-05-05.ana.ud1933e210	It is interesting to hear from the representative Ørsal Johansen that the customs duty rate can be made more effective by giving it less money to do a better job, but that you can't do it with the police. We simply note that. Then I have a question for the representative Ørsal Johansen. It is the way that the representative Ørsal Johansen and the Progress Party have been very optimistic about – we are all – the fight against mobile criminals coming from the Baltic countries and celebrating across the country, making life miserable for very many people, and spreading insecurity and anxiety. The police officer aired the last thought that Schengen cooperation had to be taken into account for a serious assessment. This means that they are actually saying that the border control should be reintroduced. Does the Progress Party share this idea?
ParlaMint-NO_2011-05-05.ana.ud1933e217	First of all, when the representative Chaudhry says that the Progress Party will not – and cannot – streamline the police, it is with respect that customs should be notified. Police can also be effectively streamlined. But as with the organization that the police have today, they need money and resources to do the job they're going to do. Until the Progress Party gets an impact on its way to organise the police, we are attached to providing the police with the means they need to do a good job. With regard to Schengen cooperation, the Progress Party has been reasonably clear that the border control we have today is not a satisfactory way of controlling the border. The Progress Party is concerned that we should be able to strengthen the control of the border. We have also said that the internal borders of Schengen must be able to be controlled more effectively than what is being done today.
ParlaMint-NO_2011-05-05.ana.ud1933e224	I agree with the representative that when we reassemble a setting, it reinforces the setting. Traffic data storage is an important tool for the police to fight serious crime. We have many examples of data storage leading to clarification, apprehension and conviction. We also record that burglaries, especially in Oslo. The police control of the telephone usage of criminals gets a lot of credit for this. Thus, the Progress Party, which is opposed to the Data Storage Directive, stands out from all the assessments made by both the police and prosecution authorities. Does not the Progress Party see that this is a very important venture to effectively fight serious crime, or does the Progress Party not trust these professional assessments?
ParlaMint-NO_2011-05-05.ana.ud1933e231	Whether the storage of traffic data has been the most effective way to solve crime can well be discussed. The EU evaluation does not provide a very clear picture that data storage and phone storage have been as effective as hoped. I think we'll take it with a little pinch of salt. In the case of telecontrol, as the representative mentions, the Progress Party is concerned that the police should have the opportunities they can afford, among other things. operating telephone interception and surveillance of the computer network related to suspected persons in a much better way than they are doing today. Such monitoring is much more effective than the storage of data by all residents in Norway.
ParlaMint-NO_2011-05-05.ana.ud1933e238	The cord shift is over.
ParlaMint-NO_2011-05-05.ana.ud1933e241	Crime challenges are increasing. Reports, analyses and research all point in the same direction, namely that crime is better organised, more advanced and increasingly cross-border — in other words, organised crime is increasing. Therefore, for a long time and through several proposals, the Right has called for a comprehensive, overall and coordinated government strategy to meet these challenges. That is why the Right wishes to welcome this big message. We would have liked it to have arrived earlier, but now that we finally have the message on the table, we will from the Right praise those who have worked on it and thus contribute to us now having an important tool in place in the fight against organized crime. An overall strategy is the foundation for hard, targeted work over time to deliver the results we want. In the opinion of the Right, the Storing Message is just contributing to this. The fight against organised crime must take place on many fronts. It is demanding, and it will take time for the results of society's efforts to become visible. As a result, the Right has placed great emphasis on helping to maximise the political commitment to the strategies proposed. We think it's an important signal in itself when the Storting gathers to face organized crime in this way. And we think it will help to give the fight greater weight, and thus also help us get the results we all want. In line with the previous speakers, I would also like to commend the rapporteur for the work he has put into this matter. It is an inviting and open form of work that has in itself contributed to a good result. Organized crime is a social problem, especially for two reasons. Firstly, of course, crime itself is a major problem. And secondly, we see that in parts of these criminal environments shadow societies are established on the side of democracy, which live by their own rules that they override the rules of democratic society. We hear from the police that organized crime is growing into the legitimate business life of Norway. We see an increasing black economy linked to organized crime. These conditions are also behind the fact that last year the Riksrevision strongly criticised the police’s efforts against organised crime. This is an offensive response and the approach of the Right is based on three fundamental pillars in the fight against organised crime. Firstly, we need to have a broad societal effort against organised crime – the police cannot solve this entirely by themselves. Secondly, we need to have a strategy that is more and more marked by following the flow of money and attacking the driving forces behind organized crime. The third and last factor for the Right is that broad work is needed to prevent organised crime. I would like to take some of the specific measures covered by the Storing Communication. There is a great deal of emphasis on the need for public authorities to cooperate much better than they do today. Police and prosecution authorities have a key function, but also tax authorities, municipalities and Nav can be mentioned among others who also have a responsibility, as well as the involvement of business itself in the fight against organised crime. Each of these has a responsibility to contribute. Strengthening the cooperation body is important in this context. At the same time, the Right would strongly stress that the Ministry of Justice and Political Affairs have the overall responsibility for the functioning of this coordination and that it is clearly anchored in the relevant departments. Attacking the flow of money from criminal activity is the same as attacking the very lifeblood of organized crime. Increased efforts in this area will therefore be one of the prerequisites for our success. Possibilities for monitoring illegal cash flows, the establishment of methods and tools to prevent money laundering and increased powers to withdraw dividends from criminal activities can be mentioned. The right would stress that economic crime must be combated jointly by several authorities. A clear division of responsibilities between them will result in more targeted and effective work. The right assumes that the coordination and responsibilities between, in particular, Ecocrime, the police district ecoteam and the tax authorities are clarified. I also want to mention that Nav has a role in this picture. Earlier this week we heard at the NRK Focus at 37 million. kr in social security has been paid to Hells Angels members in recent years. Not illegal in itself, of course, but there may be reason to take a closer look at this when Kripos simultaneously refers to the one-percent-MC environment as one of the best organised criminal networks in the country. Just one per cent of theMCs are increasing throughout the country. There are environments that actively use violence and fear, both to create discipline within the environment and to create work space externally. There is reason to praise the KS, formerly the Municipalities' Central Association, for their attitude towards just one percent of the environment. This means raising the awareness of municipalities, and it will be an example of making the important role of municipalities visible in the fight against organised crime by helping municipalities to prevent naivety and what part of these criminal environments represent, by using their role as building authority, as a licensing authority and all the other different roles of municipalities, precisely in the fight for a safer society. Data crime and cybersecurity are also mentioned in the main message. There is hardly any international conflict in these days that is not followed by any form of data attack. Of course, it has an international dimension, but it also has a national dimension, because it makes just how vulnerable we are to unsafe computer systems. This points to the need to strengthen and improve the Committee as a whole, and it is very pleased with the right. The right will also point out that, in cooperation with the Workers' Party, a balanced agreement was put in place to ensure the implementation of the Data Storage Directive in the country in a balanced way between crime prevention and privacy. Information and information security are also at the heart of the Committee's work. The right and the committee have taken note of the plain warning given by the national lawyer that we are putting too little emphasis on the legal area, which is not enough to ensure the safety of informants. It is an attack on the legal state itself and on democratic principles when witnesses and informants do not feel that their security has been safeguarded and thus cannot, wish and dare to contribute to the detection of serious crime. The right will underline what is stated in the remarks on the matter that we are meeting, quickly, a proposal for a change in the law that strengthens that very relationship. The right will also point to the need for Kripos to be given increased resources to increase their efforts against organised crime. We're pointing out that Kripos needs to increase operational capacity, and we're referring in particular to the creation of a separate inspection unit at Kripos, so that they get an extra tool, which they have to borrow from others today, that is. Oslo Police District, when they're going to carry out the important task of fighting organized crime. The right will come back to that point later. International cooperation is crucial for the judiciary in combating organised crime. All reports have indicated that this is an international phenomenon. We can do a lot of important work nationally, but it is important that the Minister of Justice, the Ministry of Justice and the police authorities facilitate the best possible international cooperation, the best possible coordination and the best possible flow of information across borders in the fight against this crime. I would also like to take this opportunity to say, and it is clear from the big news that Norway is the first of the Nordic countries to present a strategy to combat organised crime. The right will take the opportunity to congratulate the ministry on that. It shows that we're in the forefront, and we from the Right want to contribute to that being good results.
ParlaMint-NO_2011-05-05.ana.ud1933e283	It's going to be line change.
ParlaMint-NO_2011-05-05.ana.ud1933e286	I believe that the Right agrees with us that a national operational force is not the right tool to fight organised crime – contrary to what the representative Octay Dahl said to Dagbladet on 11 May last year. It says: ‘He wishes to establish his own operational response force under the auspices of Kripos to combat the organised crimes in Norway.’ The Labour Party believes that it is important that competence exists in the districts, because organised crime finds its place there. Can I now see that a national effort force was only high-thinking from the representative Octay Dahl and not from the Right, as the Right now does not support the comments of the Progress Party in this area? I'm a little insecure – on the basis of the post of the representative – on what Right really means.
ParlaMint-NO_2011-05-05.ana.ud1933e296	Thank you for the question. It gives me the opportunity to elaborate on this very important question. This is by no means a hoax from the Right. On the one hand, our comments on this matter underline that the Right wants to contribute to the widest possible political gathering on important policies. On the other hand, as I also underlined in my post, the Right wants to reinforce the effort and the operational capacity of Kripos, initially with a probe unit. But this is part of an overall approach, and in our comments on this matter, we underline and join in what we agree on, just to make it clear that the Right should help fight organized crime.
ParlaMint-NO_2011-05-05.ana.ud1933e304	I think the representative, Werp, had a good job. I'm going to have a more questioning than the critical approach in the line. First of all, the structure of the county councils and the police districts. I want to right a little bit about what Right thinks about this. Is it a massive restructuring that is planned you, or is it new and better forms of cooperation? So to the warp mentioned in his post, where he referred to and problematized unsafe computer systems, before he immediately began to talk about how positive it is that the data storage directive should be implemented. He also said that privacy should be kept at the same time. However, looking up the comment on unsafe computer systems, I would like to ask whether the risk of just these unsafe systems is also relevant to the issue of data storage and privacy.
ParlaMint-NO_2011-05-05.ana.ud1933e313	Thank you! Right-wing promotion – I think it is – three-quarters of a year ago, just before the summer break last year, a proposal for a representative to use the near-police model as the basis for the organisation of police work. The centre party voted against that proposal. We have the approach that closeness and anchoring to the police are linked, and that's what we're going to use when we get the government's proposal on the table and we're going to deal with it here in Stortinget. It is precisely the organisation of police districts. I would like to elaborate on that, but I also need to spend time on the issue of the Data Storage Directive. Indeed, the data stored are not guaranteed by the fact that we do not subject them to more stringent public controls, on the privacy side, in the form of judicial control and in the form of clear restrictions on the penalties for which data is to be stored. The situation just underlines the importance of the reconciliation Right and the Workers' Party came into being in that area.
ParlaMint-NO_2011-05-05.ana.ud1933e322	I would like to thank Mr. Werp for a very good and insightful statement. I have to say that there are parts there that I would like to have more time to get in, among other things. on informants and their protection. It was very well justified by the representative here – I am very happy about it. But in the positive spirit in which we are working on this message, there is one thing I would like to ask about the work on a point that is important here, bringing in more of the necessary civil competences – economists, auditors and civil engineers within data, etc. What's happening today is that when they're going to be hired by the police, they get a course at the Police College that lasts for up to a few months, where they get the skills to work in the police — legislation, etc. – so that they can also be assigned limited police authorities when entering the police and working there. In the context of a comment in the position that the Right and the Advance Party have together, we are uncertain about what is written here about ‘shorter and more adapted training courses’ for civil servants. I'd like to hear how to explain it.
ParlaMint-NO_2011-05-05.ana.ud1933e329	I think I can reassure the representative, Mr Bøhler, that there is no major difference here with regard to the question from the representative. What's important on the Right's part of that comment is to emphasize that we want more flexibility. We want more dynamism in the relationship between civil competences and competences needed by the police, without necessarily being tied up in special educational courses or courses. That's the flexibility that we're concerned with, and that we want to emphasize with that remark.
ParlaMint-NO_2011-05-05.ana.ud1933e334	The cord shift is over.
ParlaMint-NO_2011-05-05.ana.ud1933e337	Security is the foundation of the welfare society. The absence of crime, both in society in general and in the lives of individuals, is essential for the success or not of a society and a single person. Therefore, it is important that society does all it can to prevent, solve and punish crime. The Red-Green Government has this as its guide, and the Ministry of Justice and the Minister of Justice are at the head. Over the last few years, we have increased the police budget, trained a historically high number of police officers, recruited civil competences in the police, and increased the penalty for gross crime. This message is another component of the government's commitment to crime. I am very pleased that the Committee on Legal Affairs and Citizens' Rights has come together on important principles and measures, with a few exceptions for the Progress Party. The world today is very different than it was too few years ago. Short distances around the world, an integrated Europe and technological development face new and major challenges. Economic crime through technology, organisation and coordination and implementation of crime across borders through technology, transfer of dirty money, trafficking in human beings, sexual abuse of children on the Internet and through Internet technology requires those who are also required to prevent and solve crime, master technology and exchange information and intelligence with partners across borders. That's only how we can succeed against dark forces. That is why I welcome this communication. Several public agencies, and the business community, must stand together to succeed against these cancers. I fully share the Committee's views on close cross-border cooperation. It is important to close the holes and eliminate the possibilities for offenders to flee the investigation or asylum abroad. We need to have more agreements with relevant countries on the provision of information, return of money acquired as a result of criminal activity and agreements concerning persons wanted in criminal matters. Our police associates and women in different countries do a great job, but they need both increased resources and reinforced political support to do an even better job. The other day, I visited the police liaison woman in Pakistan. She does a great job, but needs further political and financial help. It is worth mentioning that Norway, Sweden and Denmark share only one position there. In my conversations with politicians in Pakistan, it was also found that Pakistan is willing to reach an agreement on the provision of information and people. I expect political leadership in the Ministry of Justice to take the floor and continue to engage in dialogue with Pakistan. It is important to preserve the lives of money laundering. Here we need all the good forces on board. I would therefore like to welcome the involvement of the Association and their input into how to open up bad lawyers and gain insight into illegal transactions. Let me first commend the police's fabulous efforts against organized and mobile crime originating in the Baltic countries. However, the police association now believes that the situation is such that ‘we cannot live with it’. Arne Johannessen, as a leader, believes that, if the situation persists, Schengen cooperation and its external borders must be seriously considered. Let me say this: SV warned against this development when Schengen cooperation was concluded. SV therefore shares the police association's reflection on the matter. Schengen cooperation is not a sacred cooperation. The safety of the Nordics is far more important for the SV than this agreement. In any case, we must be willing to listen to the professional advice provided by the police's own associations and associations.
ParlaMint-NO_2011-05-05.ana.ud1933e354	It's going to be line change.
ParlaMint-NO_2011-05-05.ana.ud1933e357	Akhtar Chaudhry's party colleague, Oppebøen Hansen, was involved in the data storage directive, and said among other things. that the recovery crime has fallen and that before the data storage Directive has been introduced and implemented. I would like to ask the representative, Mr Chaudhry, whether this does not show that the data storage directive is not as necessary as it is. The Labour Party claims.
ParlaMint-NO_2011-05-05.ana.ud1933e364	It is true that SV believes that the Data Storage Directive is not as necessary to combat crime, for example: The Working Party and the Right believes. Here it is quite clear that we have disagreed on the matter.
ParlaMint-NO_2011-05-05.ana.ud1933e369	The representative Chaudhry was occupied with two things in particular in his post. One was cross-border cooperation, child abuse, and cooperation across borders is extremely important. But what is the background to the fact that by voting against the implementation of the Data Storage Directive, the representative Chaudhry would ensure that such cooperation would be impossible in practice? What other concrete action will the representative, Mr Chaudhry, take to ensure that information is provided that is necessary to solve the crime of which the representative, Mr Chaudhry himself, was involved?
