ParlaMint-NO_2011-12-16.ana.ud856e63	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2011-12-16.ana.ud856e246	This case is an important issue for the area along Mjösa and the transport challenges on both road and rail. We are very pleased with this kind of development, where you can see the railway and the road in context, and where you can lay a planning basis where the road and the railway are put together in terms of both planning, economics and the effects it has on the land and the environment. That being said, we're going to be very clear that the expansion of E6 northward along Mjösa is good, and we're going to support it wholeheartedly. However, what has been disturbing in this matter is the fact that new elements have emerged both during the management of the matter in the Committee, in the course of the work of the Committee and before its delivery, but not least after the matter has been referred to the Committee. There have been new moments about every day and several times a day. Summaries are that there is a big gap in the cost estimate based on what Norsk Bane/Deutsche Bahn has done in its calculations, and what the government is presenting. What is also alarming is that this information has moved to the government along the way, without being mentioned in the proposition. In addition, in this case, there are alternatives from the High-Speed Investigation, which outlines where a high-speed straé, if any, will go in this area. That is quite surprising with what is the starting point for the Deutsche Bahn and Norsk Bane options. But it is not coordinated and mentioned in the proposition and in the case delivered by the government. There it lies to an eastern trasé, which is not similarly located along Mjösa. It just means that once in the future, when we're going to treat a high-speed rhinestone, it's going to go in the path that's along Mjøsa, which the government is now presenting, and give a speed of 140 km/h on some sections. In addition, it is said that there is a majority decision in the Storting that new lines in the case of railway should be prepared for a speed of 250 km/h. Nor is it likely and demonstrated in the proposition, despite the fact that the high-speed investigation comes back and outlines another alternative. As if not enough, with regard to the new information in today’s business yesterday in the context of railway quality assurance along Mjösa, there is a claim – and partly undocumented by the government, so it is not mentioned – that the government council Meltvei Kleppa stopped the process only six days after she took the Ministerial post in the autumn of 2009. What is this? More democracy, more openness? And what does this mean in terms of quality assurance, costs, environment and area? It has at least led us to question this and also to propose a postponement, which has been rejected here today. But I come back to another suggestion at the end of my post. So it's private actors who feel that they're being kept out, and they've made it clear that they have a different option, and that this is not mentioned by the government. This means that we, who are going to deal with this matter, will receive new information, and despite questions to the government about the cost estimate, it becomes black that this planning has come too far, we cannot take account of majority decisions in the Stortingen regarding 250 km/h, and the cost estimate produced by Norsk Bane and Deutsche Bahn is not credible, it is not going to be cheaper, as these claim, says the government, it will be on the contrary 4 billion. kr more expensive with their arrangements than what they sketch. In addition, the information that quality assurance has been stopped and that we do not have a complete review of what should be the basis for such an important issue in terms of creating a railway for the future – which will be there for more than 100 years – and which will also ensure that it is speeded up and that quality is important. So when it comes to accountability from the representative of the Progress Party, I just want to comment on it so far. It is a matter of the fact that, in its position and in its proposal, the Progress Party goes right on to another proposal, without this having been quality assured, without this having been calculated in terms of cost, without going any further than sending this matter back to the Committee. I will address a proposal which will be subsequently distributed at the seats of the representatives. This proposal is a postponement – not by points 1, 2 and 3 of the vote itself, but by point 3 of the ballot. It's on behalf of the Right, Left and Christian People's Party.
ParlaMint-NO_2011-12-16.ana.ud856e275	Then we will see the proposal that the representative Mr. Ingerd Schou spoke about and took up.
ParlaMint-NO_2011-12-16.ana.ud856e278	It's a big day for me today when it's about high-speed. Now all the parties in the Storting are for the development of high-speed trains, for today the Progress Party has gone for a trajectory that can be used in a future high-speed betting in Norway. There was a check information for SV today. So the case spokesperson has presented the government party's setting in a good way. Not least, the case spokesman stressed that this is a joint project between Vegvesenet and the Railway Agency and that it is positive. I think most of the parties are some that it's positive, and that we want more of it. I think it's necessary for Stortinget to have a little review of the history of this. Now I've been on this committee for six and a half years. This matter is not new to us in the government party at all. The premise for this matter is not made by the Minister of Transport or this government, they are made by the previous government, and the cases are followed up by today's Minister of Transport. She has also, of course, been followed up by our new railway director, in line with the decisions made by the Stortinget and the government. The responsibility for what is being presented today lies with the current Minister of Transport, but it has a history, which has instructed both the Minister of Transport and the new Director of Railways to follow up the principle of where this trajectory is going. There is no doubt that this matter has been raised on a high level many times before. She has, of course, our quality insurance in the Ministry of Finance, she has been in the Prime Minister's office many times, so here there are many who have said that the premise is that this should go along Mjösa. Nor is it to hide that initially working SV for another trasé choice – one that does not go along Mjösa, considering 250 km/h plus, for which a multiple has gone for, in view of environmental interventions, given that a new trasé can be built without a stop to existing train traffic, and not least there was an insecurity when it came to cost estimates, also for me in 2008. But in February 2009, the Ministry of the Environment said that these are good things, and that is what they are doing, and so our cases have been dealt with almost at all levels of the government apparatus. State councils will now answer the new questions that may have appeared in the media image. Among other things, I may have thought that the experts on clay from the geological institute were not in contact, but here it is still possible to follow up the further work of the Council of State. I'm really sure she'll do it. So with these few, but who always chose the words, I thank you for your attention.
ParlaMint-NO_2011-12-16.ana.ud856e295	The rapporteur has explained the matter in terms of history and consideration in the Committee in a very good way, so I shall just add a few words. This is one of the projects where we've really seen railway development and road development as a whole, and that's very useful. These are the projects we want to have several of, where you see the total transport demand together and look at how you can solve it together. Now we have an example of that -- that's very good. New Dovrebane and E6 shall be built as a joint project along Mjösa. The lines will go parallel. The route being built shall be built for freight trains, intercity trains, long-distance trains and possibly high-speed trains. There's been a lot of talk about the beach zone, that you get reduced chances of using it. But in fact, this expansion will release 8.5 km of beach area, and you can make good use of subways and secure walking and cycling roads. This makes it more accessible to the public, and you can use the beachline better than you could have done at this point. It's an important matter for Hedmark, of course. There's been a lot of commitment there over a very long time. The case has a long history, as has been explained, from the beginning of 2000, when the planning process was started. Local authorities and county municipalities have been heard, as the representative of Langeland said, by a lot of authorities inside the government apparatus, and there have been communications along the way with several possible actors. So that's a good thing, I mean, it's an important thing, not only for Hedmark, but actually also for us further north of the country, who need to transport goods from north to south, to the Alnabru terminal and beyond. It is important that we facilitate increased freight traffic, and we will have the opportunity with this double track where we ensure that there will be capacity for freight in the future. With these few words, the Central Party clearly supports the project that exists, and believes that it will be a good solution, which will benefit us all.
ParlaMint-NO_2011-12-16.ana.ud856e308	This should actually have been a joyful debate, a debate in which we just pointed out that almost for the first time we are able to see the road and the railway at once. This has been an important goal for the majority in Stortinget, and it is clear that it also has our intention on the part of the government. I don't think there's any reason to smile too much, and that's among other things. because of the unexplained parts that we have on the railway side – the environmental aspects. That extension we will now see at Mjøsa, will be one of Norway's largest interferences in the coastal zone. Questions have also been asked about the estimate of costs. It's also done in the setting, and that's one of the things I want to challenge the government council today. Now what do the last cost estimates say, and is what is said in the proposition from the government, the cost estimate that the government now thinks is the right one? And we've also been able to present our plan sketches over this period of time to the Stillesby Committee. When they think of high-speed, they add a different plan than what the government proposes in its proposal. This, which I have come up with now, has been a familiar case, which has been part of the thorough examination of the committee, and I can conclude that the case-speaker has managed this work in a good way. It has been a thorough and good consideration in the committee; it has asked our 15 questions on these matters to the ministry. But there are also issues that come up after the treatment that I thought it was well worth looking at. One is that the KS1 process should never have ended. I thought the Council of State would have to say something about that in its article. So once again, there's new figures around the cost estimate, which makes it even more uncertain, but there was also a discussion during the process. So we have today's headlines, where it is said that a builder of clay, and that researchers who should have been in the process, have not been. I expect that there is also something the Council of State mentions in its article. It is wrong what the representative Hoksrud says in his post. The Christian People's Party, the Right and the Left do not ask that this matter be brought back to the government, we ask that this matter be referred back to the committee. So what Hoksrud said about us demanding this back to the government is wrong. We would like to see a discussion within the committee. Therefore, the Christian People's Party will support paragraphs 1 and 2 of the resolution, and we ask that paragraph 3 of the resolution be set up against the proposal from the Right. And so I also thought, as the representative Langeland is here, that it's nice that the Progress Party adds to a certain understanding of high-speedness by going for a plan sketch that opens up to 250 km/h. It's the same party that a couple of years ago said Norway isn't particularly suitable for railways. What we can say is that the Progress Party is changing its railway policy in high speed! As I said, this should be a happy day. But before we can say that, I think the Council of State has to do the right thing on several points for what the process has been. This is particularly true of the KS1 process, it is true of what the last estimate of costs is now, and it also applies if the necessary professionals have been associated with, among other things. the ground, soil and clay conditions in this matter.
ParlaMint-NO_2011-12-16.ana.ud856e325	It's with a little bit of mixed emotions I'm standing on this pulpit today. This is a matter I've been following for a long time – I'll come back to – and it's a matter that's important for us who are concerned with good communication paths in Norway. Both the E6 and the expansion of intercity are important steps in such a context. The government has put the Storting in a difficult situation. Let me start with the most important thing: all transport growth in and between the largest cities should in the future be done with rail and public transport, not with increased car and air transport. The trajectory that underlies the railway between Eidsvoll and Hamar, can, or we shall say, prove to be poor planning for the future. The decision is bad for the beach zone along Mjösa, and it is not sufficiently dimensioned for speeds neither for intercity nor as the first step towards a high-speed network in Norway. The government thus undermines the entire high-speed investigation before it has at all started, as the Left sees it. It's a problem that today's policy suggests that parts of the new intercity triangle are being expanded without being organized for high speed, and the government can't say it didn't know. Already in 2006 I addressed these issues in a written question, and I have followed up with questions almost every year since then. The government has with full insight and with full consciousness entered into this trajectory, although it always knew that it would not be a decision for the future. In addition, there is now uncertainty about costs, as explained by the chairman of the Committee. In a known style, the government parties owe to the previous government. With respect to reporting: after sitting with a majority government for six years, most outside this house understand the unfairness of this.
ParlaMint-NO_2011-12-16.ana.ud856e337	The Dovre track is currently running as single tracks along the Mjösa and is a barrier. The new parcel that is now to be built will go in tunnels at Morskogen and will thus release 4 km of shoreline where there is today a railway. In addition, a path extends further from Mjösa than the current one. This will release 8.5 km of coastline between Minnesund and Espa. In other words, the development of new roads and railways means that more shoreline is available than is the case today. Parts of the existing Dovrebane along Mjøsa shall be converted to walk and cycle path, Mjøstläkk. In addition, subways and bridges will be created to ensure easier access to the beach zone than is the case today. Mr. President, I have to make sure there must be something wrong with the clock.
ParlaMint-NO_2011-12-16.ana.ud856e346	The councils will have a fresh start!
ParlaMint-NO_2011-12-16.ana.ud856e349	It's fine! The 17 km long parcel to be built is planned and dimensioned for 200 km/h. The feasibility of building the 250 km/h parcel was assessed after the Stortinget asked for such an assessment, even if the parcel was planned and traverse determined before the staging decision. However, the path distance is not sufficient to be dimensioned for 250 km/ h. If it would be possible to build the entire stretch Eidsvoll-Hamar for 250 km/h, it could give 120 seconds faster running time for the high-speed Oslo-Hamar. In practice, for intercity trains to stop the tangent and bar, there will be no difference in travel time. In the further extension northwards towards Hamar and Lillehammer it will be possible with 250 km/h as dimensional speed. It's now under construction. As you know, a concept evaluation for intercity Oslo-Lillehammer is being carried out. In the planning process of today's expansion, three main options were considered for trasear in two stages, including an eastern trasé along the hill above Mjøsa. The plan began early in the 21st century and was finally established by the Ministry of the Environment in 2009. A total of two eastern trasears have been evaluated. They were put away because it would then take too many years before such a parcel could be used. Parcels along existing paths will be able to be applied as they are completed. The costs of an eastern trasé, custom freight trains, were estimated to be 50 pst. higher. I think we use too much time to plan big projects. I also have the impression that it is Stortinget's vision. I have started a project to streamline planning processes. This project is a good example of why it takes too long. Even after nearly ten years of planning, persistent attempts are still being made to question a concept that was chosen several years back in time, after an extensive debate. There is a time for planning – for discussion, for distribution and quality assurance – and a time for construction and implementation. I think this project is ready for construction. The best concept is chosen. Now we have to get started. During the treatment of the previous NTP, Stortinget concluded the development of the road project E6 Gardermoen–Colomoen in Akershus and Hedmark. Further development of the quadruple road north of Gardermoen was prioritised, for the sake of both road safety and road safety. The development has taken place in stages, with the road section between Minnesund and Creatorud as the last of a total of three. The route is expected to open in the autumn of 2014 and will then have a continuous four-field path from Oslo to Colomoen. Inherent national transport plan is the simultaneous planning and development of E6 and the Dovrebahn along Mjösa. Development is organised as a common project. The railway is upgraded with double tracks between Langset and Kleverud – an extension, as a means of increasing the capacity of the Dovre track. The railway project is a priority within the inherent NTP, starting during the first planning period and expected completion in 2015. A total expansion is estimated to reduce costs of about 300 million. kr due to large coordination gains. In addition, the local environment is saved for the disadvantages of the work itself by reducing the overall construction time of the two projects. As the Committee points out, such coordination poses challenges. The Ministry of Transport is working to improve governance and see, among other things, on reporting procedures and the management of inconsistency.
ParlaMint-NO_2011-12-16.ana.ud856e370	It's going to be line change.
ParlaMint-NO_2011-12-16.ana.ud856e373	I very much agree with the Council of State that it is important to get ahead of the projects. But I would like to know what the authority the Council of State has to say that she can only drop the quality assurance work in this case, because it may be important for the Stortinget – and possibly the Control and Constitutional Committee – if something has been broken. But it's going to be exciting to hear what the council says about it. So I think it's special that the Council of State says that this is done well and thoroughly, when you see that it's a cash gap without equal. So from 2008 until today, it's 3.1 billion. kr in exceedances – so far – and the railway works say that there is more to come. How can the Council of State think that this is thoroughly investigated, and that you have all the facts on the table that make it just to run, when the Railway Agency says they don't know what the final sum is actually going to be on this project?
ParlaMint-NO_2011-12-16.ana.ud856e382	It is not obvious that KS1 will be done on all projects. But let me underline: this project is quality-symbol of an external quality insurer, as suggested by the proposition. There is also no requirement about it. There will be given exceptions. If we had followed up here with KS1 on a KVU – where one should go new rounds before that was the case – then this project had to have been postponed to the next four-year period and could not be followed up in line with what was agreed in spring 2009. So let me say, the whole thing has been treated, for example. Kvivsvägen, Vosepaket, Sky-Langang, rv. 2 Kongsvinger–Slomarka, E6 west of Alta – without having been KS1 on any of them. Nor have we asked any questions about it.
ParlaMint-NO_2011-12-16.ana.ud856e389	The Quality Assurance Institute was established by the Stoltenberg I Government in 2000. Then it was KS1. There were clear assumptions as to what should be taken into account in a KS1 assessment. It was then felt that quality assurance of cost estimates and management data was also necessary, so that there was a supplementary provision in 2005 – in any case, it was presented at that time. So we're talking about two very different things when we talk about KS1 – which is a quality assurance of the choice of concepts – and KS2, which is therefore a cost estimate and the management basis. Governments always refer to KS2. I have a very specific question to the Council of State: Why has KS1 not been carried out in this project?
ParlaMint-NO_2011-12-16.ana.ud856e396	As the representative of Halleraker is well aware, there is far wider and longer experience with KVU/KS1 processes on the road than on the road. As you know, so many railway projects have not been undertaken before this government took over. So the local processes were very far away when one was faced with the question of going a new round of concept evaluation, and then KS1, rather than following up what the Storting had already agreed on in spring 2009 and earlier. Here you need to bet on a joint project - road path along Mjøsa. Then it is true that the choice was true: We build in this period.
ParlaMint-NO_2011-12-16.ana.ud856e403	The answers from the Council of State on how the Council of State deals with quality assurance schemes are suitable for reflection and provide a basis for us to pursue it in a different way in retrospect. But in order to be more direct and constructive, does the Council of State feel sure that the technical solutions are satisfactory on the railway part of the project? Is the Council of State confident that the price calculations have been satisfactorily carried out for the railway project? Is it also the case, as the Council of State has suggested to today's business, that if it is cutting at the speed of this double track in view of a possible high-speed concept, will you actually build a new double track for high-speed alongside what you are now proposing to build? And where are the quality assurance reports? Why not follow those projects up to the committee?
ParlaMint-NO_2011-12-16.ana.ud856e410	To the question if I feel sure, the answer is yes. If not, I would not have presented this matter either to the government or to the Stortinget at that time. I feel confident that there is something called decision-making and follow-up. It's something like one today, this day, looks like a bad turn of events, and it's something that's called a fight for decisions that's been made several years back. So for high-speed output, yes, we could choose to wait for the next big message to set a high-speed setting, i.e. spring 2013. I actually didn't think that the people along the Mjösa, who are waiting for a better train track on a stretch where today there is a burst of capacity, are on fire.
ParlaMint-NO_2011-12-16.ana.ud856e419	In its replies, state councils now said that it is not obvious that there is a KS1 process, and that KS1 processes have a longer history on the road than on the road. But then my question is, if a KS1 process is started, isn't it natural to end the kind of process that a process has started? Then my question is also: is it that a KS1 process has never been started associated with this case and the railway, or is it such that a KS1 process has been started that has not been completed? There is great uncertainty about when the Stortinget now deals with this matter, and I ask the Council of State to do the right thing for it.
ParlaMint-NO_2011-12-16.ana.ud856e427	Let me say that it is often the case that KVU – i.e. final completion, follow-up of the distribution, with listening rounds, etc. – goes parallel to quality assurance, i.e. KS1. What one stood up to in the autumn of 2009 was: should one here ignore the local processes that have come a long way? Should a new question be asked about concept currency operations and then complete the quality assurance? Or is one going to act on the Stortinge's decisions, as they were already in the spring of 2009? We chose to stick to the Stortinget.
ParlaMint-NO_2011-12-16.ana.ud856e434	In 2005, the then Minister for Transport Torild Skogsholm took the initiative to conduct a high-speed investigation. That's what this government has been following up, and that's what the Left is very pleased about. The left is especially concerned with the intercity triangle. What thoughts does the Minister for Transport now make himself concrete about this intercity section? Will this not undermine a future high-speed rail?
ParlaMint-NO_2011-12-16.ana.ud856e439	I mean first of all, it's very important to get the distance that we're dealing with today, precisely because it's becoming part of a future intercity triangle. I argued that we could come back with the timing of the entire triangle in connection with the forthcoming national transport plan. So it's clear to be able to plan for 250 km/h, as the high speed lead, as we do north of the tangent, but here's also done the trick for why it doesn't go south anymore. In the longer term, I see that there can be a debate about a private high-speed track further east.
