ParlaMint-NO_2011-11-23.ana.ud1456e26	The representative Anne Tingelstad Wøien, who has been licensed, has once again taken the seat.
ParlaMint-NO_2011-11-23.ana.ud1456e163	I have a question for Minister of Foreign Affairs Gahr Støre. We see that the situation in Egypt is dramatic. Violence increases and has increased dramatically over the weekend. Several dozen demonstrators are killed, as many as 30. We know that approx. 1,800 demonstrators are wounded, more are to be arrested and imprisoned without law and judgment, and they are tortured. Amnesty says very clearly that the human rights situation is worse now than under the Mubarak regime. The climate of rights is poor, it's getting worse, and many people ask themselves if it's possible to hold free and confident elections as early as Monday next week. The immediate situation is explosive, and the path to an even deeper spiral of violence and repression is short. The positive development we saw in the spring part, where the upheavals were positive for most, seems to have only been the first act in a much larger picture, and that process is now at risk. Given also Egypt’s very important position in the region – every third Arab is an Egyptian, the country is large and has a great signal effect on other countries in the region – it is important that what happens in Egypt is done in a good way in the future. At the same time, we see that the protests that are now taking place in the Tahrir place are of a slightly different character than those that were there in our place. Observers believe that the middle class is not present, but that it is the more political and religious conservative forces that have now occupied the arena. Another challenge, of course, is that Egypt is a society with a very low average age of 24 years, about 50 pst. Of the people living under $2 a day, and where you have illiteracy in half of the population. In addition, they have said that they do not want any special help from the outside. In this context, how does the Minister for Foreign Affairs now assess the situation in Egypt and what Norway and other countries can do to remedy it?
ParlaMint-NO_2011-11-23.ana.ud1456e174	At first I think the representative Eriksen Soreide gave a good description in a short time of the complex situation that is in Egypt. I do not want to repeat it as it was precisely described. My reflection on this, and what I want to focus on, is that we have to wait for this to take time. Use as an example how long it took after the fall of the Berlin Wall for the communities that then entered a great transition. Those transitions have not yet been completed on the Western Balkans, and that is 20 years ago. Now we're just a few months after Mubarak fell. That's the first observation, and here it's going to be the ups and downs. We're going to notice the downs, especially because the economic side of this is important. He who drives a taxi with tourists in Cairo, doesn't have a job, because it's not tourists. Hundreds of thousands of guest workers have come home from Libya, so the economy is struggling. That was also the starting point for the protests that killed Mubarak. I think Egypt is facing a very difficult balance here. On the one hand, the structure of this country is largely built around the army. The army is the army of the people. It's now being tested. The army was on the side of the people in February. Now the army is exposed. The second is: How does the attitude of the Egyptians appear? Can they make choices? Can they implement meaningful positions options, i.e. that those who win elections actually get power as well? Or is it, in fact, that the military is in power? As a talking example: He who is today Egypt’s strong man was the Minister of Defence under Mubarak. What can we do? I think it's important that we are very clear about what we're saying, and that we say and point out week by week what we see. The second is that we continue to offer our experience, but we can't apply our experience, and as the representative says, the Egyptians are good for it. The third is that we keep regional organisations engaged – the Arab League, the African Union – that become important organisations around these countries and that are to try to create democracy. Egypt is the nucleus, and one third of the Arabs live in that country.
ParlaMint-NO_2011-11-23.ana.ud1456e185	It is also quite right that those who are now standing in the Tahrir place feel in many ways that the revolution has been hurled, and that they still see Mubarak's hand ruling the country. We have been positive that the government has invested extra money into human rights and democracy in the region. From the right-hand side, we've added another 100 million. kr because we believe it is important in all possible ways to support the development that must take place, both in Egypt and in other countries of the region now. In this context, I would like to mention in particular three concrete things that several other countries have gone in and supported: one is indebted. The second is the entrepreneurship fund to relaunch the economy – which the Minister for Foreign Affairs may well mention is the biggest problem – and not least support for independent civil societies. We met in the committee with several, completely new political parties when we were in Cairo in May. It was an exciting experience, and it's a lot of positive that can happen, but that development has to be drawn in the right direction. Is there any Norway that can support measures?
ParlaMint-NO_2011-11-23.ana.ud1456e195	The stylist in Tahrir Square in February was 23 years old, it's said. There's another grouping that's there now, and the analysis of it is important. So even if there's 100,000 there, there's 60 million people in Egypt, and how the Egyptians think and think, it's hard to get a clear picture of. The measures referred to by the representative are good. What I want to point out is that transfers of funds to this country should be carefully considered in the context of corruption and control procedures, so that both debt and investment can be implemented in a way that actually benefits the people. We are committed to thinking from below: civil society support, support for knowledge environments and support for fragile civil organisations, who are trying to form the counter-power we know is important in this kind of society. We do that directly to some organisations and also in cooperation with established environments from the outside that have experience in Egypt. It's important that much of this is built from the bottom, so we have to go step by step.
ParlaMint-NO_2011-11-23.ana.ud1456e204	Three follow-up questions have been asked, and this will be the occasion – first Ivar Kristiansen.
ParlaMint-NO_2011-11-23.ana.ud1456e207	The situation in Egypt goes from bad to worse. I think it's a pretty good analysis the Foreign Minister here gave, that this is going to take time, while the Foreign Minister stressed that we must be clear in our message. The international community has been waiting. It's been more than a year since the revolts started, and Mubarak left on February 11th this year. So during this period, 12,000 civilian Egyptians have been sent to the military court, and 13 have been sentenced to death. Naturally, the international community does not want to conflict either with the military regime that was deployed by the people or with the civilian population. My question to the Minister for Foreign Affairs is: How does Norway coordinate its support in both words, money and action, internationally, so that this support can be strengthened and impacted?
ParlaMint-NO_2011-11-23.ana.ud1456e216	The keyword for the representative Kristiansen is important – how we coordinate – because here I think it is important to remember that Norway’s voice, like Norway alone, has limited value. Therefore, a key strategy in this area, which is about values, directions, societies, human rights and minorities, has been to follow the multilateral tracks: clear messages through the UN, clear messages through the UN Human Rights Council and to work hard against regional organisations. I mentioned in the debate we had in the Chamber yesterday that the United Nations has now adopted a resolution for human rights defenders, such as the United Nations. establishes the principle of peaceful demonstrations. It does not create peaceful demonstrations overnight, but it creates a counterweight for those who will defeat peaceful demonstrations. Then I will focus on an area that we are going to prioritise in the future, and that is the position of minorities, and in particular the position of Christians – not only in Egypt, but in the Arab world, where these minorities go from a situation where they have been exposed to extra exposure. It concerns the Copts in Egypt, it is a relatively large minority, but also smaller Christian minorities in the Arab world.
ParlaMint-NO_2011-11-23.ana.ud1456e225	Morten Højlund – for follow-up questions.
ParlaMint-NO_2011-11-23.ana.ud1456e228	After Mubarak's fall, we have had the hope that Egypt would be more like Turkey than Iran and Saudi Arabia. But now we also see a worrying development in Turkey, another country – which has a great signal effect. Sixty-three journalists are in prison. An Internet filter similar to that in China was recently launched and the EU also reports a worrying development of freedom of expression. Is this something that concerns the Minister for Foreign Affairs, and is there something Norway is pursuing in its dialogue with Turkey?
ParlaMint-NO_2011-11-23.ana.ud1456e235	First, let me just say that there are interesting parallels to compare Egypt with Turkey with Iran. Often they just keep the comparisons going because the story is so different. Some may also refer to Indonesia, and then development takes its own path. I think Egypt is going to be Egypt, with special characteristics. With regard to the situation in Turkey, it is first of all very positive to say about that country over time. It's about the country's economy, development, education, democracy's implementation of elections, etc. But there is also reason to be vigilant in some developments, as the representative Höglund describes. We'll go with that. I believe an important strategy for us is to address it through the commitments Turkey has in an organisation of which we are both members, namely the Council of Europe. There are the fundamental conventions for fundamental European human rights for which they are also responsible in terms of freedom of expression, freedom of assembly, etc. We follow it there, and we take it into account in the discussions we have with Turkey at political level, and also in the ongoing contacts at diplomatic level.
ParlaMint-NO_2011-11-23.ana.ud1456e242	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2011-11-23.ana.ud1456e245	The Arab spring gets the result of a harvest, it looks like in many areas. I would like to mention a country that has not yet been involved in the discussion, Libya, where Norway can play a special role precisely with our expertise in natural resources, which makes it possible, perhaps in a special way, to contribute to the country's development in terms of human rights. My specific question is: have you received enquiries from the Libyan authorities, possibly taking initiatives from the Norwegian side, so that Norway, with the expertise we have in a particular field, can also have a positive impact in other areas of the development of a new Libyan society?
ParlaMint-NO_2011-11-23.ana.ud1456e254	The answer to both questions is yes. What I am pleased about is that our initiative to meet Libya in this area is an answer to a Libyan question. One might well not say that Libya had legislation on oil development and oil wealth management under Gaddafi. It was a system, but it was a system that was corrupt and belonged to another world. We have noted the interest of the Libyan Transitional Council and now the coming Libyan government to learn from what is from Norwegian experience. We're clear that they can't be copied, but you can learn from them, and we're willing to share. We now want to make available our expertise in this area in a follow-up to the oil for the development experience we have with many countries, and clear resources to do this with Libya. There have already been detailed contacts on this, and it will also be in connection with the parts of Norwegian business that have been and will continue to be in Libya on the energy side. So this we'll follow up in the weeks and months that come.
ParlaMint-NO_2011-11-23.ana.ud1456e263	Let's move on to the next main question.
ParlaMint-NO_2011-11-23.ana.ud1456e267	I also have a question for the Minister for Foreign Affairs. I am still in the Middle East. There are clear indications that the situation in Egypt, in particular, following the fall of President Mubarak, has led to a severe deterioration in the situation of minorities in general and of the Christian minority in particular. In a number of countries in the Middle East, there has traditionally been a significant Christian minority. Many of the oldest Christian churches are just in this area, naturally, but we are seeing a development in countries like Iraq, Iran, the Palestinian region and now Egypt, where the proportion of the population who are Christians is falling sharply. The refugees from the area, or they are subjected to regular persecution and executions. In Egypt it has been confirmed from various sources that there has been an increase in Islamic attacks on Coptic Christian villages, their properties, their religious centers, their churches, and their priests. Egypt's ID card system is used discriminatoryly against those who do not belong to the approved Muslim religion. Extra evil is the fact that the military forces that were supposed to protect people seemed to share in attacks on Christians earlier in the harvest. There may be indications that some of the most intolerant Islamists, the so-called salafists, have a dangerous influence. If such groups gain greater power in Egypt, its religious minorities, not least millions of Coptic Christians, can be subjected to increasing harassment and attacks. Professor Unni Wikan, who is an expert on Egypt, calls what is happening a tremendous deterioration, and she fears an extensive emigration of Coptic Christians from Egypt – according to statements she gave to the Evening Post last Sunday. From the Christian People's Party we have addressed this in several ways with the Minister of Foreign Affairs in the last few years, and I would like to ask: what is he doing about this?
ParlaMint-NO_2011-11-23.ana.ud1456e282	Again, I believe that this is a precise and alarming situational description that is correct – unfortunately. This is a serious problem. There have been questions about this to me over the last few years, and I have also tried to answer it very thoroughly by saying that it is a priority for us to follow up the position of minorities, where Christians stand in a special position in the Arab world. The situation in Egypt is complex at the same time. Copters and Muslims stood side by side in Tahrir Square. We received a delegation of young leaders from that place. It was representatives of the Muslim brothers – young people – and it was Christians who for the first time were on a trip together and found out what they had in common, and one could get the impression that there was a potential here. Who is behind these gangs that attack Christian churches in Egypt is also a slightly unclear theme. Is the purpose of organised gangs engaged in provocation? Are those salafists? The sum of it is insecurity for the minorities and it cannot be accepted. That's why I think we have to attack this in two ways. One is in our direct relationship with Egypt, in our contacts with Egyptian leaders, saying that the standard against which democratic Egypt will be measured is based on respect for minorities. It is a paradox that minorities in some of these countries have had a more protected situation under the dictator than under democracy. The next country out is Syria, where there are some of the same issues. The other area we need to be very clear is left in the multilateral forums. It is to address the issue of religious freedom as a fundamental human right, in the Human Rights Council, in the UN and in regional forums. It's updating and clarifying the norms for this. I can here inform you that we in the Ministry of Foreign Affairs will define this as a separate project in the future – with a particular focus on the Christian minorities in the countries that the representative mentioned, but also in several countries in this region, and also working with Norwegian environments with knowledge in this area to get a reporting system that we can use for follow-up with up-to-date information.
ParlaMint-NO_2011-11-23.ana.ud1456e293	The foreign minister now replied, is a very happy news, because we have long called for a systematic and targeted strategy. I assume that when a project is established based on the resources we have here in Norway, and with the network these organisations have across the world, there will be at the bottom of it a strategy anchored in our commitments to fight for freedom of belief and other human rights. I just want to say that this is an initiative that we want to welcome. The Foreign Affairs Committee had the opportunity to meet religious leaders, both Muslim and Christian, among others. the Coptic pope, when we were in Egypt earlier this year, and it is clear that the contact that the Norwegian Embassy and Norwegian diplomatic staff also have with different environments, both religious and human rights, in these countries is very important.
ParlaMint-NO_2011-11-23.ana.ud1456e300	That's why I'm also trying to meet these on my travels – to make it visible to the host that we care about it. It is – I was saying – a method we have used in former Eastern Europe, where we made visible to the leaders who it was we thought it was important to be concerned about. I look forward to coming back to Stortinget and briefing on how we will organise this work, which is not new, because we have had a wide network of contacts. We've had some contacts with church environments in Norway lately to get their experience. But we now want to systematize it in the way we work, and the way we follow up. I believe that this is an important area – the minorities themselves, but also the principle of minority protection. Then I also shift my focus to another area that is women's position in the legislation of these countries. When creating new constitutions and new detailed legislation, we see a disturbing tendency for women's equal rights to be pushed aside, as well as the paradoxical situation in which women can get worse protection, worse protection than they actually had before. We have to deal with this bilaterally and in the multilateral bodies.
ParlaMint-NO_2011-11-23.ana.ud1456e307	Three follow-up questions are raised – first Hans Olav Syversen.
ParlaMint-NO_2011-11-23.ana.ud1456e310	I would also like to say that I am very pleased with the answer given by the Minister for Foreign Affairs. It's a paradox: we've had two or three big torch trains in this town for the past couple of weeks. Something has received more attention than anything else. I notice that torch trains for fur animals' rights were duly included in various news broadcasts, while the torch train for the Christians who are being persecuted for their faith was something that was overlooked in silence in the Norwegian public. So thank the Foreign Minister for the positive answer he has given. It's actually like in the Middle East, which had 20 pst. Christians 100 years ago, you're now down to 5 pst. Christians to a great extent because of persecution. When the Minister for Foreign Affairs talks about the multilateral forums, my question is related to the project he mentioned: How does the Minister for Foreign Affairs feel that what Norway is addressing is being met by the relevant national authority?
ParlaMint-NO_2011-11-23.ana.ud1456e319	The advantage of including it in the multilateral bodies is that there is a framework to which all countries have joined. So those who have an aberrant practice at home have more difficulty arguing it off in the multilateral forums. It is a force, for in this way we can also be driven by resolutions and principles of freedom of religion as a central human right to which the countries have joined. The weakness of this, of course, is that the translation of what they adopt back into the countries of central multilateral bodies can fail. But we have to start somewhere. I believe that there are standards and standards to which countries have joined and to which they can be held responsible at hearings and through special rapporteurs who can go out and in, which, as we say in English, name and shame, can, in other words, hang out those who do not follow up on what they have undertaken to do, is a method of working. As long as this is anchored in a universal human rights scheme to which all countries have joined, we have a very good starting point for keeping the country accountable.
ParlaMint-NO_2011-11-23.ana.ud1456e324	Morten Højlund – for follow-up questions.
ParlaMint-NO_2011-11-23.ana.ud1456e327	The representative on the high turn takes up a very serious situation. How does the Minister of Foreign Affairs assess the possibility of influence and support by the West, including Norway, for example? women and Christian minorities in the Middle East and the promotion of universal human rights, given that the West is largely also synonymous with Christian nations?
ParlaMint-NO_2011-11-23.ana.ud1456e332	It is a fact that the West as a group has a mixed reputation in these countries, not only because they are considered as Christian countries, but also because of history. We have had interesting debates on this in this Chamber last year. That means that we must approach this not because we are the West, or because we are countries with a Christian majority population, but because we anchor it in the universal human rights to which all countries have joined. It's not because we're the West, or because we're from countries that provide assistance, that we're going to swing positions here. It's because we can tie countries in to what principles they expect when they're part of the international community. Then we have to have access to the central groups. That's one of the reasons why I think we should speak clearly to the Muslim brothers as an organization – there is a heavy organization in Egypt, among other things. – to say what is expected of them for them to be considered a valid organisation in a hopefully valid democracy, Egypt.
ParlaMint-NO_2011-11-23.ana.ud1456e339	Ine M. Eriksen Soreide – to the last follow-up question.
ParlaMint-NO_2011-11-23.ana.ud1456e343	One of the most hopeful moments when we met the same group that the Foreign Minister met was when they told us about how Christians aroused Muslims to prayer in the Tahrir place earlier in the spring, and that it was a sign of incarceration. It's quite obvious that a society's ability to handle and protect minorities is a very good signal of what kind of state and what kind of society we're dealing with. We recently had a meeting with this year's Raftopris winners, who work for the rights of sexual minorities in Uganda, a job that is deadly in every way. The trend is that minorities, whether religious or otherwise, are blamed for things that go wrong in the country. It's an increasing effect that we can also notice especially in Egypt, where the Cops, especially, are very vulnerable. Churches are burned down, Copts are killed, and society is incapable of protecting them. The question is, can we use some of the knowledge we have in particular in interreligious dialogue to get a popular protection of, among other things. religious minorities?
ParlaMint-NO_2011-11-23.ana.ud1456e354	I think we can use those experiences. I think we should again be careful to say that we can almost only take them into a large country like Egypt, but we can, through the contacts we have, engage groups in Egypt for conversations and dialogue, which can enable them to continue working with. That is what I think we have learned now through the approach that when we talk to them, it is also to target what we expect of them, if they become a valid democracy. There is a tendency that very many of the conflicts in Egypt, conflicts that do not necessarily have a religious basis, are put into a religious perspective. But it's a dangerous development. We also see this in Europe today – on the point that minorities are blamed. Europe has no glorious history here, and it is about being vigilant in the current situation of Europe. Through inter-religious dialogue, Norway has got a contact network in these countries that I think few countries have, and it is a strength we will use when we are now developing the project I have mentioned earlier today, for the protection of minorities.
ParlaMint-NO_2011-11-23.ana.ud1456e363	Let's move on to the next main question.
ParlaMint-NO_2011-11-23.ana.ud1456e366	Not surprisingly, the Left has a question for the Minister of Research. In this room, under the last governments, a number of bold, long-term and courageous decisions have been made to ensure that research has been prioritised over time and has been given a long-term perspective – by the Jon Lilletun Research Fund, from the demands for recruitment positions in research and the percentage of time-laging goals for how much research we should have in Norway, for Kristin Clemet's implementation of the gift enhancement scheme and what we are doing with SkattenFUNN, which she is transforming into a new right law. Much of this has worked well, yes actually so well that they should have expanded, and many of the goals have been achieved. Some of us really want to have their own research minister as a new part of this, have their own minister who is just going to have the task of devising new arrangements to secure research and devise new opportunities to ensure that we are going to bet on research in the future. What the Minister of Research has done is put down Jon Lilletun's research fund, stop introducing new scholarship positions, put down Kristin Clemet's gift enhancement scheme and do not extend the tax FUNN systems, which we see have worked so well. What I really want to say when we got our own state council in the field is that it wasn't the Left's goal that we should put down all this that ensured long-term research. We had actually believed that a research minister would be investing in research, not shutting down research.
ParlaMint-NO_2011-11-23.ana.ud1456e377	It was a sad description by the representative Skei Grande, of both my responsibility and the government's commitment to research. If there's something this government has done, it's to bet on research, and the fact that you have your own research minister who can be a voter in the government on that bet, I think has been an advantage. What has been done has also been some bold measures, and not everyone likes bold measures; it is a bit about the direction. You have to, for example, realize that the research fund for Lilletun – for which I had great respect, and which was also a personal friend, and I have great sympathy for what he did – no longer worked because it was built on a structure that depended on the interest rates in the market. We have taken a step forward in Lilletun's intention and idea, we can get back to the discussion on this in connection with the state budget. What I have done on behalf of the government in this matter is to save Norwegian research from a descent that would be quite significant if we had continued without doing anything. The saving we have done is about ensuring the long-term and fundamental, secured the research infrastructure, being given permanent posts on the state budget, which also guarantees price and salary adjustments, which we have not had in the research fund before. These have been good actions that contribute to safe research. In addition, Norway has about the world's highest public consumption of research, and we have increased our research effort by over 50 pst. Since we started. I cannot believe and understand that this should be as deplorable as the representative of the Skei Grande describes. So we have strengthened research. My role in this, of course, has been to promote this voice – both internally in the government and externally in the discussions we have had.
ParlaMint-NO_2011-11-23.ana.ud1456e392	You have a strange view of recovery, if you first push people outside the dot, then take them two heels further down the cliff, and then you have saved them from the fall. It's actually this government that's pushed the Research Fund out of nowhere. There is no party that has granted less to the Research Fund at any budgetary direction. Of course, the lack of funding for the Research Fund over time means that the Research Fund receives too little money, which causes problems in terms of interest rates. It is not interest that has destroyed the Research Fund, it is actually the government's priorities. This week NIFU provided figures showing that Norway is now the only country in the Nordic region that does not reach the target of 3pst. Yeah, we've actually given up fixing time when we're going there once. Finland is at 3.9 pst., Sweden at 3.4 pst., Denmark and Iceland at 3.1 pst. and Norway at 1.7 pst. – 1.7 pst.Oh, my God! Nevertheless, the government is putting down all the tools that make it possible for us to achieve that goal by getting business to join the team.
