ParlaMint-NO_2007-10-10.ana.ud1506e24	The representative of Laila Bavøy, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-10-10.ana.ud1506e160	The Central Party's fiscal spokesman, Per Olaf Lundtägen, invited the Left and Christian People's Party at the latest yesterday to join in improving the effort to combat poverty. There is an invitation that the Left accepts. And when you get that kind of invitations in the open landscape, it would be interesting to be able to hear the Council of State, which has been listening to questions in the Stortinge, think about the following: Where in this complex landscape is what we should go a few steps further, to try to reach someone that we haven't seen now, to try to be accurate? I perceive that when a political invitation is given, it is hardly given by chance when it comes from an experienced politician like the one I referred to instead. So my invitation to the Council of State is, when the Left responds positively to the invitation, where is the Council of State seeing that we're going to do something that we haven't done right now?
ParlaMint-NO_2007-10-10.ana.ud1506e167	When it comes to the specific budget for 2008 and the work to be done in that context, it is now in the Storting. I therefore refer to the discussions and the treatment that should be available. But let me point to some areas that it's important to reinforce, and where the government is now on the right track. There's an escalating plan for the drug field, the psychiatry plan is in a final phase and gets 980 million. Next year, we are going through all aspects of housing policy. As I already have notice, we also see the social security network, the social assistance measures, and in connection with social security, we have a review of the situation of the minimum pension list.
ParlaMint-NO_2007-10-10.ana.ud1506e174	Robert Eriksson – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e177	The government has spent a lot of time referring to the qualification programme, and that it should be rewarding to solve much of the poverty problem. In connection with putting in place the 140 new NAV offices, the government has only granted money to help seven pieces per year. NAV Office in connection with the qualification programme. That's what's been inputted by funds. On 15 August this year, State Councillor Bjarne Håkon Hanssen said to the evening post that he is open to a debate on whether we should have a basic plan in terms of social assistance rates, precisely on the basis of a series of notices in the evening post that there are great differences between municipalities and municipalities in terms of rates. Can the Council of State guarantee that there is a debate going on in the Government in order to achieve standardised rates with a basic plank, or is it just an empty election vow?
ParlaMint-NO_2007-10-10.ana.ud1506e186	When it comes to the fight against poverty, there is, of course, a joint effort from many departments. As a result, several of the questions here have been quoted by other government councils. When it comes to the NAV reform, it should be in place in 2010. The reform is known in the Ministry of Labour and Inclusion. The details there I think councillor Bjarne Håkon Hanssen must answer for. So far there is a good cooperation between the municipalities and the state in that field. It must be a solid misunderstanding if the representative, Eriksson, believes that the qualification programme is, as he said, the only salvation. The Qualification Program is an extension of very many other actions for those who now explicitly want to try in a job and who have not been given the opportunity. Then, of course, we have to follow up with additional measures for those who cannot work.
ParlaMint-NO_2007-10-10.ana.ud1506e193	Let's go to the next main question.
ParlaMint-NO_2007-10-10.ana.ud1506e196	I will allow myself to ask a question to the Minister for Fisheries. Along the coast of this country, industry by industry feels that what has been called an ‘active industrial policy’ has become an active deprioritising of coastal business. One thing is that many small companies feel that much of their equity is now being withdrawn. Another thing is that the large industrial companies experience that the industrial power regime promised by the government parties before the 2005 elections has never come. In particular, these signals come from the industry for which the Vice-President of the Workers' Party is responsible, namely the fishing industry. They have now experienced regional quotas, new and more stringent delivery obligations, the extension of the net pay system without any compensation measures for the change in competition it entails for the fishing industry, they have experienced structural breaks, at the same time a macroeconomic policy that contributes both to higher interest rates and a strengthened crown price, and they have experienced a significant increase in tax liabilities through a NOx tax – a tax that the Council of State itself, a year ago in this Chamber, said was to find a solution, but which has not yet been identified as a trace of a solution, and which is a mere withdrawal. It may not be without reason that many in the industry now question whether the country has a fisheries minister, or whether it has its own State Council post for the Vice-Chairman of the Workers' Party to carry out programme work for the next four years, due to the lack of attention that is now being directed. I will be allowed to challenge the Council of State to say what she means: Is there any improvement for the fishing industry in her budget?
ParlaMint-NO_2007-10-10.ana.ud1506e213	This government is pursuing an active fisheries and coastal policy. When we took over the government offices, many communities along the coast experienced difficult times, with high unemployment and relocation. An important challenge for the fishing industry was that the fishing industry did not have access to raw material. That is why we have implemented measures such as the district quota system, and we have increased universality. We have put in place a new structural policy that will ensure predictability of the industry for many years to come. We carried out the broad processes that the previous government did not find time to implement. We have just presented a fresh fish strategy. We have presented a strategy for the competitiveness of the aquaculture industry, which I believe has been well received in the industries concerned. Last week we presented proposals for the 2008 government budget. In that budget, there is half a billion dollars for a separate marine fund. There is a strong strengthening of the allocations to fishing ports and ferries. We are continuing the fight against overfishing, which is the top priority of this government's fisheries policy. It's starting to give positive results, and we're assuming that we're going to be able to get completely rid of it. We have strengthened marine research in several areas, and we have committed appropriations to follow up the Barents Sea Management Plan. From before, we've doubled the appropriations for the Marine Value Creation Program. These are some examples of what the government has got into, and only in two years. I have a very good conscience for the work we've done so far, and we're going to get a lot more over the next two years. With regard to the NOx tax, I would like to point out that the previous government had several years to reach Norway's obligations in the Gothenburg Protocol. They did nothing. We're running out of time now.
ParlaMint-NO_2007-10-10.ana.ud1506e225	It's interesting to hear what the council says now. On a challenge from the Fischeriblad on what was positive for the fishing industry, she said that it was positive that hospital appropriations increased, because fishermen also had to use hospitals. I guess that was an indication that you're not really so proud of this budget that's been presented. But I can't understand how a fisheries minister can be proud of the fact that today the shrimps of fish that are delivered elsewhere, that companies that do re-pilling in District Norway, do not experience access because of a NOx tax that makes it unprofitable for the few Norwegian shrimp trawls that are left, to operate shrimp fishing. The truth about the NOx tax is that it does not have any environmental impact, but it increases the burden by NOK 1 billion for the industry, which is therefore a mere withdrawal from the state treasury, without any environmental impact. The Council of State has promised this room to clean up in this, and this budget provides nothing in relation to the clearing up and in relation to obtaining other solutions, a fund solution. When will the Council of State deliver on a change in the NOx tax?
ParlaMint-NO_2007-10-10.ana.ud1506e243	It is the responsibility of the Minister for the Environment to negotiate an environmental agreement with the industries concerned. She has invited to a meeting on Wednesday next week. I am optimistic that an environmental agreement will be reached and that we will reach the commitments that Norway has made through the Gothenburg Protocol. It would be interesting to hear what kind of action the representative Solberg thinks we are going to take in order to reach Norway's commitments in the Gothenburg Protocol, to which the previous government also joined, but which they did not care about following up during the four years they were in government. I am very proud of the budget presented by the Ministry of Fisheries and Coast for next year. I also look at the reactions that there is a budget that is well received across the board also in the industries concerned. In addition, it is very important for the coast to have a good municipal economy, to have a good rescue plan, as the government has strengthened, and to have a safe hospital offer throughout the country.
ParlaMint-NO_2007-10-10.ana.ud1506e250	There will be follow-up questions – first Øyvind Korsberg.
ParlaMint-NO_2007-10-10.ana.ud1506e253	It is a pleasure to hear that there are also other parties at Stortinget who are concerned about the NOx fee. When the Progress Party proposed to remove it in revision, we were alone proposing it. When it comes to increasing the fishing deduction from 80 000 kroner to 150 000 kroner, we proposed it in the budget last year, and we were also alone on that proposal. But that other parties come after, is nice. Another area the Progress Party has focused on, and where we have been reasonably alone, is the fight against overfishing in the Barents Sea, which amounts to billions. The government has proposed to strengthen the budget by 10 million. kr. It's pretty puzzled. As a result, the Coast Guard Chief Arild-Inge Skram says he has to take three coastguard vessels out of service because of the budget. If there are two things that are important to combat illegal overfishing, it is the law, and that you are present. With the removal of three vessels, does the Council of State believe that overfishing in the Barents Sea is being reduced?
ParlaMint-NO_2007-10-10.ana.ud1506e268	I have to say that I do not know myself at all again in the reality description with which the representative Korsberg opened his question, when it comes to claiming that the Progress Party has been alone to face the fight against overfishing. It's a gross distortion of reality. The government has been fighting overfishing in the Barents Sea as one of the highest priority fisheries policy issues since we entered the offices. Every year we have taken action on the State budget against overfishing in the Barents Sea. It has been dealt with in the Fisheries Directorate. There has been a strengthening of the Coast Guard in the two previous budgets, and in the justice sector too, we have strengthened the budgets. And we see results. From 2005 to 2006, overfishing in cod in the Barents Sea was reduced by between 23 and 25 pst. Overfished in the Barents Sea by 55 pst. It represents values of about 400 million. kr. So we see results. That is the result of the appropriations we have put in this area, and also of all the agreements and the strengthening of the legislation that this government has been given.
ParlaMint-NO_2007-10-10.ana.ud1506e275	Elisabeth Røbekk Nørve – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e278	The last time the fisherman's deduction was cancelled, it was from 70 000 kroner to 80 000 kroner under the previous government. In the election campaign, we saw several prominent politicians among the red-greens go a long way in promising growth to compensate for the offshore industry. Stortingsrets Svein Gelseth from the Workers' Party went so far that he said that the deduction should be increased to NOK 150 000 per year in relation to recruitment. Otherwise, it's in line with what the right has proposed. Conditions of competition against other vessels with an extended net pay system make it necessary to increase the fishing net in order to allow the fishing fleet to recruit fishermen. Why do the Government and the Council of State not follow the calls from industry, the opposition and their own representatives to increase the fishing deduction in order to ensure the recruitment of the fishing profession?
ParlaMint-NO_2007-10-10.ana.ud1506e287	This government is concerned that we should ensure the recruitment of the fishing industry and the fishing fleet. It's about several things. Firstly, it is about training. Secondly, it is also about young people not having to have too high a threshold to purchase a vessel to obtain quotas. Thirdly, it is about areas of competition against other industries. So there are three different issues we're talking about. The ministry is reviewing these conditions, and during the autumn we will propose measures across a wide range of ways of improving the recruitment of the industry. But I am absolutely convinced that no matter what we do from the department or from the government, it does not help unless people along the coast and the government show that the fishing industry is an attractive industry, and that there is something to be put on. I believe that once the Government has submitted a very offensive budget to the Ministry of Fisheries and the Coast, it is a very clear signal that the fishing industry is on.
ParlaMint-NO_2007-10-10.ana.ud1506e296	Ingredient S. Sørfonn – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e299	The government has previously said that fishing should be a cornerstone of coastal activity. The two most important tools that the fishermen themselves have asked for have not touched the government. Firstly, it is the NOx tax, or the NOx reduction policy. Here the government has not lifted a finger to meet it as a whole business life, including the fishing industry, has asked for – namely a business NOx fund. There should be a meeting next week, says the Minister for Fisheries, but it seems that the Government is paying more attention to the increase in fees. The leader of the Fiskarlag, Reidar Nilsen, says it is ‘wonderful and despairing’. When there is an increase in the fisherman’s deduction, it is about strengthening the recruitment process. The leader of Nordland Fylkes Fiskarlag, Steinar Jonassen, says that the result is that fishermen run away to other industries, which offer better conditions. When the Government will not use these two main tools — what will the Minister for Fisheries do to restore confidence in the future?
ParlaMint-NO_2007-10-10.ana.ud1506e316	As regards the NOx issue, there shall be a meeting between the industries concerned and the Minister for the Environment next week. I am optimistic that an environmental agreement will be reached. I continue to record that the opposition is very critical of what the Government is doing in this area, but has no alternative suggestions on how to achieve Norway's NOx obligations. Neither did the Bondevik II government have power in this country in the four years. With regard to the recruitment of the fishing fleet, I believe that several different measures need to be considered here. Had I been convinced that only we increased the fishing deduction, it would have flowed on with future potential fishermen, the matter would have been simple. But I think this is where you have to look at recruitment from several different perspectives.
ParlaMint-NO_2007-10-10.ana.ud1506e331	Bea Lymph – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e334	In the 2008 draft budget, the Government proposes to increase the appropriations for the net pay scheme for seafarers by 380 million. kr, an increase of nearly 30 p.m., on the grounds of a strong increase in the salary level of the beneficiaries of the scheme, which is a paradox in itself. At the same time, the Government proposes a nominal continuation of, inter alia: the deduction of the fisherman's income which, in effect, constitutes a tax consolidation for that group. It is a well-known case that there is now considerable competition in shipping and fishing for skilled labour, and that there are problems in recruiting, among other things. the fishing fleet. Is the Government's policy comfortable with the fact that labour disappears from the fishing fleet to other shipping due to discrimination between employees of vessels covered by the net pay scheme and those of fishing vessels?
ParlaMint-NO_2007-10-10.ana.ud1506e341	When coastal youth today is going to choose a profession for the future, I don't think that's how they think: shall I become a fisherman, or shall I find myself a job in the offshore? You consider far more alternatives than that, like: Shall I become a fisherman, shall I become a farmer, shall I study jus, or shall I become a pop star? This means that we have to start the recruitment debate at a much more basic level: how do we draw a picture of the industry that makes it appear to be an attractive professional choice for young people? How are we going to strengthen education in high school? How are we going to strengthen higher education to attract young people to the fishing profession? The net paycheck and the fishing discount is a little bit of a very large picture.
ParlaMint-NO_2007-10-10.ana.ud1506e348	Let's move on to the next main question.
ParlaMint-NO_2007-10-10.ana.ud1506e351	I have a question for the Minister of Local and Regional Affairs. Never has anyone gone to elections on such clear promises to eliminate poverty. Nor has any finance minister had as fat a wallet as this government has. Nor have we failed as much as this government has done to combat poverty. Those who looked a way out and a light at the end of the tunnel when it was their own situation must feel lazy in the hole. Some of them say from, but others remain quite tause. I'm afraid this will be written into the history book of Soria Moria with a dark and black pen. Some of us have also heard about the yellow post- IT note of the Minister of Finance to remind her of combating poverty. I think it's a part that now wants that note to be converted into a yellow card. As we know, with two yellow cards, it's over. If the Council of State wants to dismiss this as opposition rhetoric, I ask her to listen to her own government representatives who have acknowledged it and who are ashamed of what you have not achieved, or take a trip in her car and just look around in the capital here. Then one will see that we have great challenges in terms of poverty reduction. My clear question to the Council of State is: Do you think that the will and action are proportionate to the promises made two years ago?
ParlaMint-NO_2007-10-10.ana.ud1506e364	Let me first pair Dagrun Eriksen's introduction. It's probably also true that never has a government done so much to fight poverty. It's enough to show you the dry numbers in the comparison between the Bondevik II government and today's government. Never has a municipality been able to use the resources they now have. So I'm going to say that I want to listen both to my own, to the opposition and not least to people out in the field who know this on the body. But I have to remind you that this government has been sitting for two years. We have two birthdays in a short time, and we have another two years left. I think the government is on the right track, both in terms of work, housing, social security networks and better public services. We're far from the goal, we have great challenges leading us, but I don't think anyone seems to be measuring the situation more black than he is. When the representative asked me to take a walk around Oslo, I thought I would ask her to take a walk into the capital message, which also points to concrete measures for improvement. That message is now being processed in Storting. And then I'd like to point out what happened when it's about kindergarten, the great possibilities that one now has to follow up the individual at school, and the cultural lift, with the possibilities that it provides for a better recreational and growing environment. In total, a lot has been done, but there are still major challenges.
ParlaMint-NO_2007-10-10.ana.ud1506e373	The poor house has distributed an almost quadruple number of food bags since ours. We have great challenges. The Christian People's Party has said earlier today in this Chamber that there are things we want to be with and improve to be more focused. This government is being met with strong words about the failure of the poverty campaign. I would like to remind both this hall and everyone else that it is a matter of making strong promises when you joined, and there was great hope. We in the Christian People's Party are constructive. We want to help improve the housing support system and increase the amount of money spent on care. In the past, we have made proposals in relation to debt and debt action plans, which we must make, and not least in relation to social welfare. The Joint Organisation and the Fattighuset asked: Who in 2008 will feel that they are less poor than they were in 2007? And that question I will also ask the Council of State.
ParlaMint-NO_2007-10-10.ana.ud1506e382	I don't think there's any simple answer to that. However, in any case, the aid recipients in the eight largest Norwegian cities are experiencing up to NOK 10 000 more in housing support, and this helps. There are 140,000 more people who have got work, and that clearly means something. There is someone who will be involved in the qualification programme and someone on the introduction programme - there will be a combination of active measures with support possibilities. Overall, there are a few groups and many individuals who are going to experience an improvement. The representative named the Poor House. Yes, I was probably the first councillor to visit the Fattighuset. I have been there afterwards, and I have also planned to take the trip there again. I intend to have contact with several voluntary engagements to look at the interaction that should be with municipalities in order to eradicate poverty.
ParlaMint-NO_2007-10-10.ana.ud1506e389	There will be follow-up questions – first Ib Thomsen.
ParlaMint-NO_2007-10-10.ana.ud1506e392	Governments have gone high in the media by promising that the government will provide housing for 5,000 people who need it, i.e. homeless people. The council also told the press that she wanted to follow up what Haga had done for the homeless and the poor. The paradox here is that SV-Holmås says to VG that Haga gives the bluff to the poor. In order to help the State Council on the road to action and to achieve goals set by the Government, the Progress Party will propose that the State Council assess the simplification of the works reports, lower the level of charges in the municipalities, so that it can build cheaper, look at the high level of interest rates in Norway that make housing more expensive, and not least assess the new environmental requirement that the State Council will now introduce for all new dwellings, which the Progress Party believes is also involved in lavishing housing in Norway. What will the Council of State do with these recordings from the Progress Party?
ParlaMint-NO_2007-10-10.ana.ud1506e402	Ensuring a better environment in the individual dwelling will mean, with the regulations that are now in place, that it is cheaper to build. It's a good grip, which I didn't intend to reverse. There is now a dialogue with KS about a cooperation agreement to secure more difficult housing in municipalities, i.e. cheaper rentals, start-up loans and new testing of risks. There is a lot of work to do here and a lot of things to follow up. In addition, the bumps are actually significantly improved – there are several that come under the support schemes, and the bumps are paid monthly and increased by NOK 10,000 in the eight largest cities.
ParlaMint-NO_2007-10-10.ana.ud1506e409	Bent Höie – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e412	After the Storting had dealt with the revised national budget in the spring, where the Government did not do anything for the poor who are not part of the working line, the parliamentary leader of the Central Party, Magnhild Meltveit Kleppa, said to the Dagbladet that the Government had to intensify itself in relation to poverty reduction. Now Magnhild Meltveit Kleppa is part of the Government and has the opportunity to sharpen itself. The housing aid scheme is probably the most targeted scheme when the poor in Norway, which is not part of Bjarne Håkon Hanssen's strategy that everyone should be working, because there are some who do not have that possibility in any case. Now is it the case that municipal minister Magnhild Meltveit Kleppa is the first municipal minister since Social Minister Magnhild Meltveit Kleppa presented the Cohesion Communication, which has not proposed improvements in the housing support scheme that are directed towards others other than those who are part of the working line Does it mean that the municipal minister is satisfied with today's housing support scheme, or does it mean that one did not find room for it in a state budget that was so liberal that one had the opportunity to give tax relief to those who are members of the LO? [[The President clubs.]]
ParlaMint-NO_2007-10-10.ana.ud1506e421	The President will remember the time of speech.
ParlaMint-NO_2007-10-10.ana.ud1506e424	Let me start by pointing out: I think that the government is tightening up every time a budget and a revised budget are put in place, in the sense that every time there are new proposals, additions to existing proposals – DKK 1.6 billion more directly to the poverty pact than to the Bondevik II government – and in addition to the local economy and many other proposals that we have already discussed. When it comes to the bumps, my department now has a review of the bumps with the aim of reaching more people and being more focused on them as they should now. But let me remind you: it also has our significant improvements in the bush under this government, among others. increase payments, more into the scheme and monthly payments, which means that more people have come in faster.
ParlaMint-NO_2007-10-10.ana.ud1506e431	Bjørg Tørersdal – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e434	Many of us in the opposition are amazed that the government, which had so very clear objectives in terms of housing policy in its Soria Moria statement, did not use the occasion as a majority government that could really do what it wanted. They had the money, they had the formulations, but they chose not to invest in housing policy, which we know is one of the big challenges for those who have little money. Increased housing prices and increased rents are a concrete problem that one has to solve with increased transfers. We are amazed that the Government did not choose to bet on it in this budget. There is time to do something in the Storting, not just wait for investigations and for arrangements to be made in the long term. One has to do something in this state budget that applies to next year. I would like to repeat the question that has been raised many times today: will the Council of State be in favour of improving the housing support system at the time of landfill treatment? Yes or no?
ParlaMint-NO_2007-10-10.ana.ud1506e441	This state council had our council for two weeks when the state budget was presented. I had not had the great potential to go into detail in the last turn, but I was behind the budget that was put forward, along with the rest of the government. Now the budget is in Stortinget. Then I must be allowed to say that I am surprised that both from the Right Party and the Advance Party and not least from the Christian People's Party and the Left are serious ambitions on behalf of this government, while the Right Party, the Christian People's Party and the Left, who put together for four years, continuously promised tax laws and let it go out on those who wore the most. In this way, I can now see that there is greater confidence in today's government when it comes to the fight against poverty. That's good, and we're going to continue with the good work we've started.
ParlaMint-NO_2007-10-10.ana.ud1506e448	Helge Solum Larsen – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e451	So it turned out that it wasn't that way that you could do this with a pen stroke. The problem of poverty is probably marked by many more complex situations than has been the case in the political debate, such as: has been raised by the Minister of Finance who is currently sitting. The left has repeatedly pointed out that there are enough system errors, that there is reason to look at how we find out about systems so that we reach people, not clientising them, not stigmatizing them, but rather raising them up and down and out of an unpleasant situation, among other things. by means of a proposal for guaranteed minimum income. There is reason to regret that the Central Party does not seem to be reaching the government in this important battle. My question to the Council of State is: What does the Council of State feel that she needs help from a friend at the centre of this important work?
ParlaMint-NO_2007-10-10.ana.ud1506e460	Thank you for the invitation. It is true that in the Equalisation Notice, a common minimum income was announced. There was no followup in Stortinget. Nor is it something that has been evaluated later. There's nothing in the Soria Moria statement. It may also be that in 1999, when the Equalization message was produced, it was not a good idea to use the word 'poorness' throughout the text. There were very few who would recognize that there were actually some who were either poor or on their way to poverty in Norway. What is now important is that this is a common recognition of the need for concrete action. The government has an ambitious plan in the Soria Moria Declaration and is open to further proposals from whoever it might be.
ParlaMint-NO_2007-10-10.ana.ud1506e470	Let's go to the next main question.
ParlaMint-NO_2007-10-10.ana.ud1506e473	I want to ask questions to the Minister of State. The Left Party and the Center have, through a long life, had a great commitment to local democracy, to local solutions, so that it should actually be well distributed across the country. You might get the best solutions if you let people find the solutions locally. That's why the Left was quite amazed when it was Party Secretary Martin Kolberg, who is not a people-elected, but a party-elect, who assumed that the Government was now considering bringing together municipal elections and major elections and having one election day. I realize that from a party secretarial point of view, it's a good thing to do that. It is very practical and easy to have one day to deal with. In addition, the same party secretary believes that a local election is really bringing the government to a referendum. I'm a little overstated that you think by merging both choices in one day you'll get more focus on local issues, more focus on local candidates, and that this will lead to people getting more involved in our local elections. The centre party has previously been on left layers in this area. I realize that from a political point of view, it's very convenient just to deal with the voters every four years. But I wonder: what really indicates that there are more local solutions, more local focus, increased electoral participation, more space in the media for local politicians or more local people in position, not so many central politicians around, to meet the people? Is there any indication that people are going to care more about local democracy by gathering everything in one day?
ParlaMint-NO_2007-10-10.ana.ud1506e484	I argued, with the open handle that left has to break sense, that the government party does not bind each other, whether it is party secretaries or others who express themselves. On the contrary, it is fine that there are different actors who take the initiative and raise debates – including this case. The government is now preparing a local democracy message, which is located in my department. We're busy getting more people involved, both in elections and outside elections, and we're busy showing what local referendums can mean by commitment. We are also going to evaluate this proposal, which I understand has been raised earlier just by Martin Kolberg and has been rejected. We know that there are positive experiences from Sweden, and we know that there may be different views here. There are some who think that then the politicians would be forced to stick to national politics, and local candidates would have the opportunity to focus on their things, and then one would avoid a central and national promise of a policy that was contrary to what those who were on elections from the same party in the same year on the same electoral campaign focused on. I can assure Trine Skei Grande that no conclusion has been reached here. It is a proposal that my department should evaluate with many other proposals. It is also a proposal on which there was a great deal of dissatisfaction in the Local Democratic Commission.
ParlaMint-NO_2007-10-10.ana.ud1506e495	The left is sincerely pleased that the Center Party says that Martin Kolberg does not control everything in the Government. That's why I want to make a recording of maybe going the other way. In 2003, we had a test in Nittedal to have local elections on our own date, not gathered throughout the country. It led to roughly equal electoral participation as otherwise, because it was a very narrow attempt. The left would have liked this to be tried in several municipalities, perhaps in regions, and perhaps with more resources to mobilise around the elections. Is it possible, then, not to go Martin Kolberg's way, but actually to go the other way, by strengthening local democracy by also allowing local politicians to set the election date?
