ParlaMint-NO_2007-05-15.ana.ud2683e51	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2007-05-15.ana.ud2683e148	Yes, in all things, as politicians, we must listen to professional environments. What's the problem in this case is that the trade unions are partly opposed to each other. The NIVA report and recommendation are met by relevant settings. That's what's serious. As far as the lifting option is concerned, I assume, therefore, that the coastal and fisheries ministers who are sitting here have assessed this differently, precisely because the alternative lifting methods that could help to ensure that this happened were not well enough investigated.
ParlaMint-NO_2007-05-15.ana.ud2683e153	The cord shift is over.
ParlaMint-NO_2007-05-15.ana.ud2683e157	Today we are dealing with an important matter, Document No. 8:33 for 2006-2007 on submarine U-864. There has been a great deal of interest in the submarine, both mediated, political and especially from the population living around the area. Nor is it so strange that you are concerned about this matter and care. There have been strong opinions about how this should be done, and some claim that they have the right answers and are 100 pst. safe in his case, but that is not the case. It is now important to take good time, as the majority assumes that the Government will return to the Stortingen case in an appropriate manner and at a time when the Government considers it appropriate in relation to the necessary assessments it has to make. That is why we have rejected the proposal of the proposers to present such a case immediately, and we do not understand that it is as important as possible to take this matter as quickly as possible, as the Progress Party, among other things. suggests. U-864 has been there for many years. Now that you're going to go a few rounds, it's even more important that you have some ice in your stomach, so that you can make new assessments in peace and quiet. The danger of a major mercury contamination from the wreckage makes this case too serious for us to take chances. Actually, that's what this is all about. I don't just think, but I know, that the Coastal Plant has the same objective: to find the option that, overall, is the best solution for the environment. The Coastal Agency is the Department of Fisheries and the Coastal Ministry of Acute Pollution. Therefore, it is quite natural that the Swedish Coast Guard Agency is leading the further work to be done to investigate the cancellation option, something else would be completely impossible. Then you could really talk about distrust. That's why it's important to realize that with the knowledge that the government had this winter, you couldn't take the chance to lift the wreck with cargo, and I think that the Coastal Works and the Government will be believed in. So it's like someone's accusing the government of having turned this case around. That's not right. I rather think that the opposition should have praised the government for the decision it has made, to want to turn more stones. So finally, we're going to hope that the government, after going the necessary rounds and making its decision to the Stortinget, will receive the broadest possible political support for the option being chosen. It is very important in such a difficult case that you base your political decisions on the competence we have per. today. That's why it's important that we get the time we need, and let the government get some rest.
ParlaMint-NO_2007-05-15.ana.ud2683e174	It's going to be line change.
ParlaMint-NO_2007-05-15.ana.ud2683e177	Has not the Labour Party representative come to realize that the Progress Party has not repeated its original proposal? As the rapporteur recently stated, there has just been so much new information through consultations that what ends up as a proposal from different opposition parties, including from the Progress Party, is of course completely different than it was at the entrance. The purpose of proposing was to get the matter to Stortinget, out of the government offices. Question no. 2: Why does the Workers' Party not want to look at the removal option, the third independent removal option, when it comes to having a broad, good and thorough assessment, which the representative himself now expresses must be the result of this exercise? Why don't you look at the third option? It became clear, especially at the last hearing on 16 April, that removing mercury as an alternative to raising it with mercury is an independent alternative. Why does the Labour Party not want to look carefully at that solution?
ParlaMint-NO_2007-05-15.ana.ud2683e186	I also said in my post that now the government has to get a rest of work to turn the stones that are needed to get a solution to this. We've now had a lot of laps on it, and I think it's important that you now get to grips with this, and that you now go a few laps to get to clean up if you're going to do one or the other. I would also ask the opposition to put the government at ease in this situation. When it comes to what I've got with me or not, there's a lot of things going on in this case. However, I believe that at least now we should agree that the option that the Government comes up with must receive the broadest possible political support.
ParlaMint-NO_2007-05-15.ana.ud2683e193	It may seem that the representative Stroem did not hear everything I said. After all, I just acknowledged to the Council of State that she has turned the case around. On 17 March, the annual meeting in Hordaland Arbeiderparti adopted an opinion in the same direction. At the same meeting, the country's prime minister, who, on the other hand, was very clear that the wreck had to be covered. So he supported the Council of State Day Terje Andersen. However, helga Pedersen, the state council, did not meet the opposition as well as others. What's interesting in this context is, what does the Workers' Party's big group really mean? Do you have an independent opinion on the matter that can help eliminate the environmental threat of Fedje?
ParlaMint-NO_2007-05-15.ana.ud2683e202	With regard to the relationship between the Government and the Workers' Party's large-scale group, there have been many rounds. It is not possible to stick under the chair that there have been different opinions in this matter. But I think it is important now that the government gets credit for having taken up the matter again, because it has been a difficult and complicated matter. At the time when it was supposed to cover the wreck, we thought it was a correct solution. But then you've gone a few rounds, and it's no shame to turn around – it doesn't mean turn around when it comes to what to do – but that you take this again.
ParlaMint-NO_2007-05-15.ana.ud2683e209	I noticed that the representative Ström has now in the change of line that the government has turned around in this matter. That was not the same thing as the article. But is it not the case that the government's own representatives have contributed to the government's turning around? As far as I have seen from the debate here on the Stortinget and in conversation with the government's own representatives, there has been a disagreement with the conclusion that was originally reached. The Christian People's Party is pleased with this reversal. So let's do it with hibernation. The Christian People's Party is very concerned that we are now getting a broad review, a complete review, of the situation of the submarine. We do not want to interfere with who you are going to use, whether it is the Coast Guard or others is the government's responsibility in the matter. But in order to have next round's stability because of going out so strongly, we now expect to get a big deal for the Storting in the next round.
ParlaMint-NO_2007-05-15.ana.ud2683e218	The representative Jan Sahl is trying to focus on me saying that the government had turned around. If I'm going to be very precise about that, I said in my post that you now want to turn some stones to look at the lifting option. It was because this case has been complicated, and you want to go a few more rounds. So if it's perceived as the government has turned around in this case, it's actually in relation to turning some rocks. The representative, Jan Sahl, has probably come to realize that there have been different perceptions in the government apparatus and in the big group regarding this matter, but at least we made it clear that it was to be covered in the first round. That's why you want to go a few more rounds based on the situation we have. There has been a lot of uncertainty about this matter.
ParlaMint-NO_2007-05-15.ana.ud2683e225	So the chord change is over.
ParlaMint-NO_2007-05-15.ana.ud2683e228	This case concerns an international environmental scandal in Norway’s own backyard, more specifically in the sea outside Fedje in Hordaland. It's not a local matter, it's not a regional matter. This is a matter of international interest. What does Norway itself do with a marine environmental poison in coastal areas? Of course, for a nation that, through its Prime Minister, is seeking the leadership role among the world's leading environmental nations, this is of international interest. It is also a matter of international implications for Norway as a fishing nation. That is why we have recorded that different fisheries organisations have been very committed to the matter, and at both hearings that the Committee has had, we have called for the removal of mercury. It's mercury, not just a little bit, but a lot of mercury. At least 65 tonnes are stored in metal containers inside the submarine. We find few, if any, similar situations. As stated in their strong and long-standing arguments for cover, the Coastal Plant does not have 30 known international cases of cover. That is at best incorrect information. It is regrettable that this is carried over and repeated by the competent authority. On the other hand, it is known to many – but perhaps not to the Coastal Works and perhaps not to the Department – that since the mid-1950s Japan has been struggling with the fatal consequences of mercury dumping in the sea, which is said to have started in 1925. It's about Minamata, the Japanese disaster. In 1959, a Japanese university concluded that the release of organic mercury was the cause of what has been described as the Minamata disease: the nervous system was paralyzed. Even the unborn were hit. Sources I have found have reported 1,760 confirmed victims, while 3,000 are waiting for replacement. I'm not pointing at this to paint a scare image, but to stress that the consequences if mercury leaks out and connects to seawater are that the poison goes into the food chain, that the toxic effect is reinforced, and that the effect on those who eat/exposed to such poison can be evident over a 50-year period. The idea of fresh Norwegian fish can be difficult to combine with ‘The Minamata Disaster’. We are pleased with the first important ‘operation’ in the case, namely the Workers’ Party’s ‘stupid operation’. On 17 March of this year, Prime Minister Jens Stoltenberg said at the annual meeting of the Hordaland Workers' Party: 'It is urgent to cover up'. On 17 April of this year – two days before the national meeting of the Workers' Party started – the Minister for Fisheries said: ‘In the light of consultations held in Stortinget, where several actors have come up with new proposals on how to lift the submarine, more time is needed to investigate the lifting option of the submarine missile’. The hearings and proceedings in Stortinget have taken place on the basis of initiatives and proposals from the Progress Party. As the proposer, I am pleased with the ‘spinning operation’. I am much less satisfied with the arrangements and framework for further treatment. The Progress Party wishes to consider raising and other alternatives other than the Coastal Works. It has been rejected by the Council of State. Therefore, the Progress Party considers that another department should take over the case. It is natural for the Ministry of the Environment to become the Ministry of the Environment, and the Progress Party therefore proposes it. I'm dealing with that proposal. I also point out that there is a competent disagreement between the Ministry of the Environment and the Ministry of Fisheries on the role of State pollution control in this matter. The Party of Progress considers that the Authority must also approve the solution when the State authority is the action holder. The Party points out that the third option also needs to be thoroughly addressed: the removal option through the combined dive/subsea solution. We believe it became clear at the last hearing on 16 April that this is an independent and alternative solution. It should be considered as carefully as the cancellation option. The removal of mercury is more important than the removal of the wreck. The progress party wants the matter back to Stortinget when it has been re-examined. The solution of the government parties to come back ‘in an appropriate manner’ is for upresis: the majority should and should, in the opinion of the Progress Party, be returned to full consideration to ensure that the Workers’ Party and the Government’s ‘stupid operation’ become an action resulting in the removal of mercury. For information, we have not repeated our original proposal. The process of Document No. After all, the 8 proposal and the hearings have led to the cessation of coverage. It's a good start to a better solution. It remains to be ensured that this does not stand as political tactic from the Government. I also remind you that the Committee has still not received an answer to its last questions to the Council of State. [[President clubs]]
ParlaMint-NO_2007-05-15.ana.ud2683e255	The representative of Arne Sortevik has addressed the proposal to which he referred. It's going to be line change.
ParlaMint-NO_2007-05-15.ana.ud2683e261	The representative of Sortevik had a comprehensive description of the negative consequences of mercury and mercury poisoning. Then I must point out that it has always been the Government's goal to do what was possible to prevent a major environmental disaster due to the mercury lying there. It was a collective government that was behind it. I note that the Progress Party will now tell the Government that the Coastal Agency is not capable of doing this, and they will also move the settlement to another department. Then I have to ask Sortevik: is it the Storting or is it the Government that is going to rule here in the country? Otherwise, I have to say that it is unlikely that the Progress Party knew so much better early on than the Coastal Agency and the national and international professional bodies they had used. I have to ask the next question: what kind of professional is the representative of Sortevik in this area? The progressing party says in the setting that they have been too uplifting all the time, as they point to hearings and the new ones that have emerged. But it doesn't have any significance for the Progress Party, because they had already initially decided to raise something if something went wrong during the raising? [[President clubs again]]
ParlaMint-NO_2007-05-15.ana.ud2683e270	The Progress Party believes – and has long believed – that the best solution is to remove mercury. The reference to the event in Japan, which is internationally known, shows just the great, negative effects that may occur when mercury remains long in the sea. We have seen that when the Coastal Works are re-arranged from and actually repeated their distance to hearings conducted by the Storting Transport Committee, we have little confidence that there will be a new, thorough and balanced investigation.
ParlaMint-NO_2007-05-15.ana.ud2683e277	I am registering a well-trained country meeting with the Progress Party. I also register that one should train to sit in government. I would like to believe that Sortevik, if he ever became a member of the government, will have problems if Stortinget had such a level of instruction as Blackevik here puts himself on. - But don't worry about it. Then I will also warn against using Minamata-saka as an example, because – and this knows Sortevik – Professor Delete in his report refutes this as a problem for this particular submarine. But to answer these questions, I have two questions: now the revised national budget is being presented. The government spends 20 million. kr more to get rid of this. Is the Progress Party and Sortevik content with that? So something more surprising: USA uses uranium-animated ammunition in Iraq, which leads to cancer [[President clubs]]
ParlaMint-NO_2007-05-15.ana.ud2683e286	I think we're going to stick to the issue, and it's an international environmental scandal in Norway's own backyard linked to our reputation as an international fishing nation. That is what is the starting point of the Progress Party. As regards claims and comments on big business, it is true that the founding of the Minister of Fisheries – who has taken a good step and made sure that there is a turnaround by the Government, a turnaround in relation to that country’s Prime Minister himself proclaimed a month before the Minister of Fisheries, who has also in the meantime become the Vice-Chairman of the same party, intervened and carried out – is precisely the reference to the fact that one is now investigating more. That's what happened to the Storting. – So, above all, this is a good example of the fact that initiative by the Stortinget, from parties on the Stortinget, from representatives on the Stortinget, in important matters can lead to something good and is a good instrument that should and should be used. In this case, the government is turning around, and we hope that the final solution will be to remove the mercury.
ParlaMint-NO_2007-05-15.ana.ud2683e293	I registered that the representative Sortevik did not answer my previous question. The Government will now review the cancellation option and the options. Basically, we've always had the mistake of doing what's right for the environment. If the conclusion then shows that there is still too risky with an uplift, will the Progress Party nevertheless support an uplift, towards what is the professional conclusion in this area? Will the Progress Party and Sortevik take responsibility if something happens with the spreading of mercury during the upliftment? The other is mentioned by the Coastal Agency. I myself was involved in this hearing. What the Coastal Agency did was that they explained and based their conclusion and stood so clearly on it. My starting point is that I would doubt very much at the Coastal Works if they had begun to draw their own conclusions in doubt. Then I would have wondered what the Coastal Works were doing, and what kind of professional work they had done.
ParlaMint-NO_2007-05-15.ana.ud2683e300	In fact, in the hearing, I expected the Coastal Administration to have a somewhat more open and respectful view of the views of other trade unions. It was precisely the views of other trade unions that emerged from the two hearings of the Transport Committee. I had actually expected that the Coastal Works Director would have been more liberal and transparent in that other professionals with high international competence actually have a different view than the Coastal Works have concluded. With regard to the method of cancellation and the risk associated with it, I have to repeat that we want first of all to investigate the third option. There are three solutions. Luckily, we've gone away from cover. The lifting of the submarine and the removal of mercury on board thereof is one solution. That is what the government has now clearly said that they will assess. But the third option we want to investigate. It's removing the mercury bottles lying there. The submarine missile is far uninteresting. That's the mercury we have to get away. [[The President clubs.]] Let me add that Norsk Veritas has a more conditional risk...
ParlaMint-NO_2007-05-15.ana.ud2683e309	Time's up! The cord shift is over.
ParlaMint-NO_2007-05-15.ana.ud2683e314	We can start by thanking the case spokesman for the work on a matter that became interesting after all, with some political tension in it. The case shows that the Stortinget is also an interesting workplace not only for the government party, but also for the opposition. Perhaps the Right People who are here can pass it on to former Secretary of State Jan Petersen, who thought it was too little to do here! So to the point. It's the way the government trades. She is presenting the revised budget today. That's 20 million. DKK for the further settlement of this matter, which one has already spent millions of dollars in making up its mind. I believe that an aggregate accumulation is very much satisfied with today, and that when any new conclusions are reached, at least clear distribution options, the Storting will be satisfied with it. I can't let go of those who once had political power in Norway, that is, the Progress Party itself and the Bondevik II government. They have also had this matter lying down. They could have speeded up, they could have wagered more, and spent more money on distribution. It records us that the cork Left, Right, Christian People's Party or the Progress Party contributed to it. But now I'm assuming that these, which are now opposition parties, are quite happy that the government is actually spending more money on this arrangement. It's a good night's work! Hordaland SV has been concerned about this matter for a long time and has repeatedly taken it up with us in the SV and in the Storing Group, because one has wanted to get the options out further. The starting point is, of course, that no one wants a submarine with mercury lying in the neighborhood. All of them have the starting point that they want to remove. One wants to get rid of the problem, so that one knows that one has a safe environment in its neighborhood. I think that's the starting point of most people. But then, as SV's national meeting concluded, one has to figure out the security of this. Even if I think that it would be best for a submarine to be lifted – also SV believes it – then one must look at the results before a conclusion is reached as to whether this is dangerous. Of course, I don't want to be in an operation where a gamer with security can make a problem worse rather than solve it. It seems to me that I must be the approach of all the parties on the Storting, that one does what is most defensive and that is best for the environment. At least that's my starting point. So it's clear that what's come out in the two hearings we've had, it's important to keep in mind. Questions that will be related to Norway as an environmental nation, Norway as a fishing nation, can be very serious if we do not do this the right way. It can be done, among other things. have enormous economic consequences, but of course also environmental consequences. That's why what the government is doing, the only sensible thing to do, is to use more resources to sort this out, so that you can choose the best solution and the safest solution for the environment. It's a little premature already to have concluded what kind of solution is the best, before this distribution to 20 million. kr will be provided. With this input, I conclude that the Government has now done something very reasonable, by using more money to sort this out, and that one will come back to the Storting with the conclusion that such a settlement would have to be made. I am absolutely sure that at least the majority of the stakes on the Stortinget will be discussed what the consequences of the distribution will be in relation to the conclusion that will be drawn when it comes to the matter itself.
ParlaMint-NO_2007-05-15.ana.ud2683e333	It's going to be line change.
ParlaMint-NO_2007-05-15.ana.ud2683e336	First of all, I have to say that the matter has been driven by governments and departments, but that it was only when the Progress Party came up with its proposal for a representative that the matter came to Stortinget. I'm glad. Then I think it is new that SV does not conclude in an environmental matter, because we are well-known that SV almost always concludes early and is very clear about what you want in environmental matters. I also think it's a little special that a party like SV – which is trying to make itself a big environmental party, and which is dedicated to solving the major problems associated with climate and other environmental challenges in the world – is completely different and much more defensive in terms of problems in our own backyard than we're used to looking at completely different things. My questions to the representative Langeland are: Does SV want a cancellation, or will you still allow the poison to lie at the bottom of it, so that future generations might have to deal with the problem? And: Does SV think that this matter should be in another department – perhaps the Ministry of Environmental Protection, which also has an Swedish State Council – in order to gain more objectivity? We recorded how the coastal director was at the hearing in relation to not wanting this solution.
ParlaMint-NO_2007-05-15.ana.ud2683e347	When environmental criticism comes from the Progress Party, a listener should be careful, because if there is something the Progress Party is not known for, it is to have an offensive environmental policy. But in this case, a job has been done – I should say. But I should have liked the Progress Party now, not least as the situation is most common among people, to have a commitment to both climate and environmental policy. But I'm sure it'll come if the gallupons for the climate are good in the future, too. I found it irresponsible when the Progress Party concludes that an absolute lifting of this submarine, regardless of what experts and international expertise say. It's very dangerous for Norway as an environmental nation to risk accidents with mercury etc. I don't think that's responsible. That's why I'm saying now I'm using 20 million. kr to, and then we're going to cancel this out. I want a cancellation, but I dare not conclude until I have been informed that this is safe.
ParlaMint-NO_2007-05-15.ana.ud2683e355	The representative of Langeland would like to visit the former governments. I think maybe it's time, after two years, to start steering on my own. He accuses the previous government of not having speeded up. I just thought what we were into here today was to relax a little at the pace, to make proper assessments. But the SV is in good shape when they say that they believe that raising is the best. The Norwegian Veritas say, ‘The only measure with a low risk in the long term is raising. Coverage, on the other hand, has a high long-term risk.» That's what they say. What I want to ask the representative of Langeland is the minority’s wording on the role of SFTs – State pollution control – in the matter. Here's a proposal that SV won't be on. Does SV and Langeland consider that the proposal to clarify the role of the SFT is not essential in a case like this? And: does SV mean that there is therefore no reason to clarify this either?
ParlaMint-NO_2007-05-15.ana.ud2683e369	One of the reasons SV wants to do this is because the relationship with the SFT is not clear. That we do not enter this into the comment made by the case-speaker is because we expect that the government, at the State Council of Helga Pedersen and the State Council of Helen Bjørnøy, will itself go further into the problem raised by the case-speaker. So I've answered that. The fact that I'm constantly ripping up in the reigns of the Right, Left and Christian People's Party in this case, too, is because I've missed one from the previous government's side spending more money and resources on distributions. That's what I want. My conclusion must be that as long as the representative Halleraker and Right feel attacked, it must be because he and the party are not proud of what they did when they were in position. I'm trying to sit in the position to be proud of what I and my party do, and I'd rather be doing for four new years.
ParlaMint-NO_2007-05-15.ana.ud2683e376	I am recording that the representative Langeland is very concerned about the story, but he is dealing with a bit of a wrong history description. The party of progress has not yet been in any government, as was said from the pulpit. I register that Hallgeir Langeland also says that SV primarily wants to cancel. Then I think it is a little strange that SV would not clearly agree to find a third alternative, because that is much more interesting to the Progress Party, as the matter stands now. The wreck may be totally uninteresting. The important thing is to get the mercury up. Then I register that the representative Langeland again criticises the Progress Party for not having taken up the matter earlier. We just can't take over all the stuff all the time! My question to SV is: When Hordaland has been so strongly involved in this matter, why has SV never raised the matter, in position or in opposition? It is the case that this case has the department, not the Stortinget, worked with, but the Progress Party has at least raised the case [[President clubs]]
ParlaMint-NO_2007-05-15.ana.ud2683e387	Let me give the representative Sandberg the right to say that the Progress Party has not been in government, but they have participated in the adoption of three state budgets and have thus been responsible for both the petrol and tobacco taxes and to get something done with the submarine outside of Fedje, possibly for spending money on payment. The main point of drawing this up is that the Progress Party is a little too good at releasing itself from responsibility instead of actually admitting that they are responsible for a part of what is happening – and has happened – in Norway. Now I understand that it might have to change, and that the representative Sandberg, as the next leader of the party, will also profile what the Progress Party did while they were «put in government». When it comes to raising, my answer is that I think one, same place you are in Hordaland, will want a raise. Everyone in the neighborhood wants it. So do I. I'm not hiding that. But as I've said to previous replicants, I can't take the chance to conclude on this right now, until the government's statement is complete. It would be irresponsible for me to go for a solution that we don't know is safe. [[President clubs]]
ParlaMint-NO_2007-05-15.ana.ud2683e396	The Christian People's Party is pleased that the Government has withdrawn the original decision not to lift the submarine outside of Fedje. We believe it is very important that new assessments be carried out before a final decision is taken. There has been an enormous interest in this matter locally. The debate has been heard between different professional bodies and different interest groups. In two hearings, we've recorded a total of 23 instances. The advice that has been given is very disconcerting. I have also noticed that no one is speaking with a sloping safety. It only underlines the complexity of this matter. Significant uncertainties have been associated with both options. The consideration of possible environmental damage must always be controlling, whether you choose to cover the submarine or you choose to raise it. Therefore, the Christian People's Party supports that the cancellation proposals that have come up after the Government's first decision will have the same thorough assessment as the alternatives that have already been investigated. We also believe that the Government will now take good time and then come back to Stortinget with the matter when the necessary reassessments have been carried out properly. This case is extremely difficult. There is so much at stake, and it is so important for the environment to make the right decision. It is a long story that lies behind the matter that we have to deal with today. Although we've known about the wreck of the German submarine for just four years, it has actually been lying there today, for over 60 years. The findings of pilot studies carried out in the autumn of 2005 confirmed that the submarine was loaded with mercury. Mercury is one of the most dangerous pollutants in existence and poses a threat to the environment and to humans. This submarine wreck poses a huge threat to the marine environment. Many are concerned that the situation here can help to weaken the international reputation of Norwegian seafood products as clean and safe food. The Christian People's Party is very concerned that, at the end of the day, no questions should be asked in the ministry's handling of the matter, all the time already recommended for the submarine to be covered in advance. Therefore, it is now extremely important that all bodies that have notified their interest in the matter should be provided with their solution proposals before drawing the final conclusion. Finally, the consideration of possible environmental damage must be crucial to the conclusion reached. There is a broad consensus that we need to do everything we can to minimize any damage that mercury can cause. We expect the government to come back with solutions that support the trade unions and that the Stortinget can gather around. Finally, I support proposal No. 7 from Øyvind Halleraker.
ParlaMint-NO_2007-05-15.ana.ud2683e415	It's going to be line change.
ParlaMint-NO_2007-05-15.ana.ud2683e418	The representative of Sahl has made a lot of sense about this matter, including: through a series of listings in the Official Journal of Bergen. At the same time, we know that the representative Sahl, in the same way as we in the government party, is very busy with the reputation of Norway as a fishing nation and a maritime nation. Does the representative of Sahl agree with me that this partly significant turbulence that the opposition party has created in the media about mercury loads can in itself be detrimental to the reputation of Norwegian marine food?
ParlaMint-NO_2007-05-15.ana.ud2683e423	The media attention on this issue was primarily aroused by concerns in the local environment and concerns among local politicians. There has been an enormous pressure against Stortinget to get a further investigation of a case where one felt that the Government concluded that many characterised as a failing basis. Then we've had two hearings on the matter. We've heard 23 instances. What has been my concern in – I would say – the few media reviews I have had in this case after contacting from the Official Journal of Bergen, has been to ensure that we now get a wide consultation. The Christian People's Party has no tradition of running government, of ruling governments, even though we've met a little bit of each of them in previous contexts. Because of the stability question in this case, my commitment has been to the thoroughness of the job that is now to be done.
ParlaMint-NO_2007-05-15.ana.ud2683e430	I could imagine asking the representative Jan Sahl why he and the opposition use the words that the government has turned around. Have you predicted the outcome of this case? I think it is important to clarify that there is a difference between turning some stones and seeing the need to look at the matter again, and that you have turned around in this matter. So I don't know if the representative Jan Sahl can elaborate on it a little bit, because that might be interesting.
