ParlaMint-NO_2007-11-21.ana.ud1835e24	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2007-11-21.ana.ud1835e184	Once again, we hear the Council of State defend the purpose of the Government to grant only framework transfers to the municipalities. We hear once again that she is talking about building 12,000 new nursing homes and homes for the elderly. It's completely wrong. The government has said that the grant to nursing homes and housing should go to older people, but it should also go to mentally retarded people, to psychiatry and drug care homes and to other types of housing. There are only 6,000 of the 12,000 places that are dedicated to the elderly. When we talk about 10,000 new posts for the care of the elderly in the municipalities, there are also direct defects. A very large proportion of those jobs go to completely different users than older ones. It is a fact that older people today have quite serious problems getting the help they need from municipalities. How will the Council of State make sure that what goes to older people and what goes to other caregivers, so that we can see how much need is for nursing homes and more care services for the elderly?
ParlaMint-NO_2007-11-21.ana.ud1835e191	There is no doubt that many of the new annual works that have arrived in the municipalities since we took over will benefit older people. The same thing applies to the number of places. But I'm somewhat surprised that the Progress Party doesn't seem to be at all concerned that there are also people in our country with mental disorders, cancer and other things that make them also need a place to live, and that also makes them need care and care. But we just have to take note of that. Then, as far as the Progress Party system is concerned, which should be so much better, I would like to say: we do not believe in a new bureaucratic system that requires a decision to be taken. As I understand it, the Progress Party wants to have it, it means, for example. that you have been in the office and got a decision on what kind of help you need, and are so unfortunate to fall on the way out, you have to come back again to get a new decision on more help. This is an uneasily bureaucratic system, and it won't, as we see it, get any better for those who actually need help, whether it's older or younger users. We believe in a system where the best offer is made in cooperation with the user and the employees of each municipality.
ParlaMint-NO_2007-11-21.ana.ud1835e198	Let's move on to the next main question.
ParlaMint-NO_2007-11-21.ana.ud1835e201	My question goes to the Minister of Finance. There is a lot of good going on in Norway, including in the economic area. At the same time, we know that in many sectors Norwegian society faces major challenges. We have just heard about failures and deficiencies in the care of the elderly. We know that health cows are now growing. There are challenges in child protection, road construction and the school and knowledge sectors. These tasks are so large that it is important to mobilise both the public sector, the private sector and voluntary and non-profit institutions serving households. This is within the responsibility of the Minister of Finance, because it is about how we use our resources in society. Now I'm not going to accuse the Minister of Finance of breaking his promises, because in this area, we see that the Government and the Red-Green parties are doing exactly what they have promised, namely consistently choosing public solutions and far-reachingly choosing away private solutions and voluntary and non-profit organisations. This gives users a worse offer. We see that the ideological glasses of the government, or ideological sky posters, make users pay a price. Health cows are growing, among other things, according to the Health Directorate, because the Government chooses out private solutions. We see, in the area of child protection, that child protection institutions are threatened by closures or have to go down, because the government consistently chooses to give priority to public solutions. We see that the government is increasing the tax on private capital, at the same time they are running with a state fund. Is it so that the government's ideological skylights and dogmatic attitudes in this area make you willing to pay a price, that is, a worse offer for patients, for those who need care and a better offer?
ParlaMint-NO_2007-11-21.ana.ud1835e211	It is right, as the representative Sanner says, that we believe that the most important both welfare and education tasks will be carried out under the direction of the public sector. It is because we believe we have better governance and better access to the type of services if they are not privatised. There's a clear distinction between the previous government and our government on it. But that doesn't mean we mean that e.g. voluntary organisations and NPISHs do not have a place in relation to the offer to be made. On the contrary, we believe that very many municipalities have much more to pick up by cooperating more with non-governmental organisations than they have done, and that – let me not call it bidding hysteria – the ideological choice of tendering solutions in many municipalities has just led to that kind of cooperation being squandered. But the main challenge we have is labour. No matter how we turn around and turn around, it's the biggest challenge in both the public and private sector. That's why it's a very important part of this year's government budget, and what we have to try to get even better in the future.
ParlaMint-NO_2007-11-21.ana.ud1835e216	Of course, a red-green government also gives some room for voluntary and non-profit organisations. But my point is that the place is getting smaller because the government has gone from the more pragmatic attitude Right has to cooperation between the public and private sectors. Right does not want large-scale privatisation in knowledge, health or care. We want cooperation between the public and private sectors to mobilise all good forces. That's where we see that the government has put on its ideological skyscrapers. Let me do two very specific examples. In the health sector, we now see health cows growing, among other things. because the Government chooses private options. These aren't my words, but it says a director of the Health and Social Directorate. We see that road construction has gone faster where there is a stake in OPS, Public Private Cooperation. But the government has also iced it because you don't want to pull private ones in. They want to focus exclusively on public solutions.
ParlaMint-NO_2007-11-21.ana.ud1835e223	Let me go to the last one first. We have a great opportunity to implement road development and large infrastructure projects more effectively than what has been done, including: Mr Navarsete, Minister of Transport, is clearly in the process of doing so. But we don't need to make privatized loan projects in connection with transportation, because that's basically not the money we lack. It is basically the labour force we lack to implement the projects we want, and that also means that costs are significantly higher. In the health sector, there is also a struggle for the labour force. Now the length of the queues is one question, another question is how long people are in those queues. The important thing for us is to ensure that we have a public health service that has the necessary workforce and that can provide the services that patients need as quickly as possible. There is no doubt that a great encouragement to several private solutions will mean that much of the competence we need to get a public health service to go around goes elsewhere.
ParlaMint-NO_2007-11-21.ana.ud1835e230	There will be four follow-up questions – first the representative Christian Tybring-Gjedde.
ParlaMint-NO_2007-11-21.ana.ud1835e233	The need for labour in the private sector should be a loving opportunity to make structural changes in general government. The left saw growth in the public sector as a means of relieving unemployment in the 1960s, 1970s and 1980s. Today, the issue is the opposite. Why does the Government not then choose to reduce the number of employees in public administration and bureaucracy, so as to free the labour needed by the private sector and which will result in value creation? It could be that the private sector can do things better, and maybe there are things the public sector shouldn't do at all. The consequence of today's policy is that fewer and fewer employees in the private sector need to finance more and more employees in the public sector. Will the Government do anything about this? The budget presented shows that there are increasing numbers of employees in public bureaucracy and administration.
ParlaMint-NO_2007-11-21.ana.ud1835e240	I think this is a very one-tracked way of looking at government employees. Now I noticed what was the Progress Party attack on the Government in the previous question, where it was about getting enough hands to do the job in the care of the elderly. What is it? It's government employees. There are people we need. It's not bureaucracy – it's just people we need to give the elderly in Norway a real deal. I totally disagree with the entrance of the Progress Party here, namely that it is seen that it is the private sector that carries the rest of Norway. The private sector depends on having a functioning public sector. It depends on kindergartens, it depends on people who can be at work without worrying about parents who don't get the care they need. We have a strong desire to expand that part of the service offer. So, of course, we're going all the way to see if there's anything we can do in question ways, and whether there's unnecessary bureaucracy. But having as a heading that you want to reduce the number of employees in the public sector, I totally disagree with. It's bad for business.
ParlaMint-NO_2007-11-21.ana.ud1835e249	Ingredient S. Sørfonn – for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e252	We are really concerned, because we see the germ of poorer conditions for the voluntary sector, and we need a voluntary sector. We need this flora from both volunteers, private businesses and public enterprises. We also need this in the business community, because about two out of three Norwegian companies are family businesses. They account for approx. 40 pst. of the total value creation. But this flora can easily be confused, because many of these businesses are in front of a generation change, and it's too many an economic failure to get over. These are everyday businesses that don't bathe in luxury. The Christian People's Party has been working for a long time for the exemption of inheritance tax on generation change in family businesses if the next generation operates for at least 10 years. A Document No has also been generated. Eight proposals on this. My question to the Minister of Finance, if she at the moment puts the rhetoric aside, is: Can this be a sober, accurate and practical starting point for solving a demanding challenge, a challenge that is also described in the Soria Moria Declaration?
ParlaMint-NO_2007-11-21.ana.ud1835e261	We have come up with this problem that Sørfonn addresses here, something in response to, because we have made a favourable arrangement for how to pay the inheritance fee when taking over family businesses. It is a seven-year free-of-interest scheme – an opportunity that our government has implemented. Then I see that the Christian People's Party wants to go further. For us it has been important to get a much more fairer arrangement of the property tax. These include: Therefore, in the next year's budget, we propose that shares be valued at 100 pst. And don't have the discount that we have now. And then we use the money we get in there to simplify the wealth tax at the bottom. This means that 180,000 people will not pay taxes on wealth next year – compared to those paid this year. Half of them are retired. We think that is a sensible approach to the general heading of taxes on wealth, a much fairer distribution. So I believe we have come to this issue of taking on family businesses well. [[The President clubs.]] I think it might have very unfortunate distribution effects if we were to go further as the Christian People's Party suggests. [[The President clubs again.]]
ParlaMint-NO_2007-11-21.ana.ud1835e268	The president reminds us that when the red lamp turns off, the mouth should be closed!
ParlaMint-NO_2007-11-21.ana.ud1835e271	Not if you're engaged, President, but I'm going to tighten up!
ParlaMint-NO_2007-11-21.ana.ud1835e277	Unfortunately, the regulation requires that the answer be terminated.
ParlaMint-NO_2007-11-21.ana.ud1835e280	I promise to extinguish the engagement!
ParlaMint-NO_2007-11-21.ana.ud1835e285	Lars Sponheim – for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e288	The Minister of Finance is also head of the Socialist Left Party, and comes to Stortinget as Minister of Finance and is met by a bourgeois opposition who accuses her of governmentizing Norway. The country acquires more means of production, becomes a country, becomes a less voluntary and private community, etc. The answers are not very clear. This puzzles me: why does the Minister of Finance and the head of the SV not shine like a sun, corrects his back and says: I manage to socialize Norway slowly, but surely. Why don't the Minister of Finance and the head of the SV do it?
ParlaMint-NO_2007-11-21.ana.ud1835e295	I shine like a sun! It has never been SV's policy that the state and the public should take over everything – and all ownership. It has been SV's policy that we should have a balance, but that of course we should use the opportunity we have of state ownership to ensure that we have national anchoring of important value creation in Norway. In an increasingly globalised and internationalised economy, ownership is key. Therefore, it is good that we have a large proportion of public and state ownership in Norwegian business, but it has never been SV's policy that all business activities should be owned by the public. So we're very satisfied with this balance. Sponheim can feel absolutely confident that there will continue to be a balance in this!
ParlaMint-NO_2007-11-21.ana.ud1835e302	No pay - for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e305	If the President allows me to give a good advice on getting state councils to hold their speaking time, the President could consider using the same language as the Spanish king would use on such occasions! I was actually going to address the follow-up question to the Minister of Health, but I'm going to extend mercy to the Minister of Finance. I noticed that the Minister of Finance mentioned kindergartens as an example of the public sector. It amazed me a little. This is the only area where both the Swedish Government and the Swedish Government have reported their allergy to private and bets all the straps and clothes can hold, on private developers and kindergarten drivers. It may be because the Minister of Finance has made his political life depending on that. Why, then, continue with the allergy when it comes to, for example. – to take a close-up example – the 600 million. kr that will bring people back to work faster? Yesterday we heard a dispute between the head of the NAV and the head of the NHO about who is responsible for not using that money. The debt simply has the government’s allergy to using the private capacity in the healthcare system.
ParlaMint-NO_2007-11-21.ana.ud1835e316	I don't know if Inge Wohnning will be the king of Spain or recommend the president to be the king of Spain, and that I shall be Chavez...
ParlaMint-NO_2007-11-21.ana.ud1835e321	That's the last one!
ParlaMint-NO_2007-11-21.ana.ud1835e326	Yes, I can try to get in the same excited mood! First of all, I have to say about the kindergarten sector: private and private – it's not an ideological crusade to privatize kindergartens. It is simply that, through government appropriations, private sector spending has also been used to provide full childcare. I myself have been involved in starting a private nursery – not for ideological reasons, but because the municipality was never able to offer me the place my kids needed. So we don't have any allergies to this, but we don't think it's particularly appropriate. We believe that the most important thing is that we are able to bring about an upgrading of public welfare. The municipalities use approx. 58 billion kroner of their money for the care of the elderly. That's very good. The increase we have had in care is of great importance. That also means that we have to keep doing this.
ParlaMint-NO_2007-11-21.ana.ud1835e333	Let's move on to the next main question.
ParlaMint-NO_2007-11-21.ana.ud1835e337	I have a question for the Minister of Health. Private non-profit hospitals are at risk of bankruptcy because of a pension bomb. One example among many I mention: For Haraldsplatz Diakonale Hospital in Bergen, costs will become so unmanageable that the hospital board will have to ask if there is a basis for further operation. 120 000 people who serve this hospital may lose their health services. Public hospitals may continue to operate by exempting unforeseeable pension costs from the performance requirement, which the private non-profit hospitals cannot do. The Bondevik II government found a solution for 2003 when similar problems arose, namely a liquidity loan scheme from regional health firms to private non-profit hospitals. The solution was then well received by the hospitals. But it has been shown that these loans still paid by hospitals are very heavy to deal with within the operating budget. Repeating this now is completely wrong. As limited liability companies, private non-profit hospitals must operate in a responsible manner. Taking up additional liquidity loans, as proposed by the Government in the balancing proposal, is simply not possible. Hospitals also don't have enough equity to handle this themselves, so the bankruptcy risk is imminent. What will the Council of State do to prevent bankruptcy in 2007?
ParlaMint-NO_2007-11-21.ana.ud1835e350	There is no doubt that there is a serious and – I would say – worrying situation in some of the private ideal hospitals. There is also a reason why we have already had meetings with representatives of them, to look at what the situation really is. It's meetings we're going to continue -- let me express myself that way. So, with the time we have at our disposal now before Christmas, we have put in what the representative Davøy refers to, that we give them access from next year to take up liquidity loans to deal with the situation next year. It is also important to say that we are aware of the situation, and that we have also announced in the same proposition that we on the part of the Government will come back to this, at the latest in the revised national budget. This applies both to the situation of regional health enterprises and to the situation of private non-profit hospitals. We are, as I said, aware of this, and we are working very quickly on this matter. That's the answer we have to give per. today.
ParlaMint-NO_2007-11-21.ana.ud1835e357	The Council of State really does not respond to how she has intended to solve this. The economic situation of private non-profit hospitals is completely different in 2007 than it was in the past, when this solution was first found. It is absolutely essential that this matter is now resolved in the short term. In my opinion, the fact that they have to raise unmanageable liquidity loans in 2007 and then go into 2008 without knowing how to deal with the increased costs is a very poor treatment of hospitals that provide a public service. They cannot wait for the revised national budget, as I understand it, until they find a solution. And what the government proposes in the balancing proposition is absolutely no solution. My question for follow-up is: Is the Government, in the light of the meetings you have had and are going to have, willing to find a real solution for the private ideal hospitals in the treatment of the balancing proposition, which is now in Stortinget?
ParlaMint-NO_2007-11-21.ana.ud1835e366	I record that what the government has proposed in our proposal today is not suitable, according to the representative, Davøy, but was suitable when Davøy himself put in government. But it's now – leave it now. I just want to repeat: I'm taking this situation, the government is taking this situation, seriously. It is clear that we depend on the private non-profit hospitals in our overall healthcare system to provide patients with the best possible offer and to wait as short as possible, but it has not been possible to give a clear answer to what we can do in the short time we have had at our disposal. That is why we have already started meetings, and I would like to stress that the Government says that we are coming back to the revised national budget at the latest. I can't say when we get back, but I want to make sure we work very quickly and carefully on this matter.
ParlaMint-NO_2007-11-21.ana.ud1835e376	There will be three follow-up questions – first Harald T. Nesvik.
ParlaMint-NO_2007-11-21.ana.ud1835e379	If the President allows that, I would like to ask the follow-up question to the Minister of Finance on this matter. We have now seen that not only are the private non-profit hospitals struggling with increased pension costs, but also the public hospitals, the health care companies, get an extra bill of NOK 2.2 billion next year. I hope that the Minister of Finance was not surprised when these figures came, because they come as a consequence of both legislation and what is happening in health businesses. My question to the Minister of Finance is this: why has this not been included in the government budget for next year, both in the private sector and in the public sector? And, once you get this bill, why haven't you come to Stortinget with your own proposition on the matter, so that you can see the real use of money for next year, and that you don't cover these expenses?
ParlaMint-NO_2007-11-21.ana.ud1835e388	The reason why the Storting is not previously informed about this situation is that this knowledge and this information have come to us now, and we have briefed the Stortinget as soon as we had an overview of the situation, namely in the context of the new aging proposition. Now this is a situation that is triggered by how the Accounting Act is to be understood in relation to the Storting, so that initially it does not affect the operation of hospitals, but of course it is something that we have to solve in relation to how we handle the hospitals' accounting situation. We have now presented this in the context of the new aging proposition, and we are going to follow that situation up.
ParlaMint-NO_2007-11-21.ana.ud1835e395	No pay - for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e398	It would now have been tempting to ask the follow-up question to the Minister of Aid, but it will be enough for the Minister of Health. Last year the Health and Care Committee visited Lovisenberg Diakonale Hospital. It's a hospital that has very good order in its economy, and that has also managed to fund its own development in a exemplary way. One of the committee members asked the director the question: how does it relate to the fact that this privately run hospital, which is formally a whole-time stock company with a foundation behind it, always manages to keep the economy in order, while the public hospitals almost never manage it? He replied: It has a very simple explanation: We can go bankrupt – they can't. Now the situation is very precarious, as Laila Davøy sketched, for some of the large private hospitals. That is why my question to the Council of State is: would the Council of State – I had just said – be able to guarantee that she will clarify this question to these hospitals earlier than May until next year, i.e. in the revised national budget? She said ‘latest in the revised national budget’, and I hope she can confirm that the clarification will take place earlier.
ParlaMint-NO_2007-11-21.ana.ud1835e407	I repeat that I am aware that this is a serious situation. We need these hospitals that do a lot of work for many patients. I am aware that for part of them too is a rather precarious situation. It's in that we're working on it, with it as a starting point. We're working fast, but I can't say anything but what I said today, and as the government has announced in the proposition that came last Friday: we're coming back to Stortinget when we have a proposal for a solution, and that's the latest in the revised national budget.
ParlaMint-NO_2007-11-21.ana.ud1835e412	Gunvald Ludvigsen – for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e416	We're used to large numbers when it comes to the hospital sector, and we've gradually become well used to messages about huge health shortages. We have received a report from the National Audit Office for 2006, which states that there are miles between the political signals from the Brustad Government Council and the ministry's ability to control the economy of the state health care providers. Last Thursday, the Minister of Health and Health, in an open hearing, informed that health care professionals, including private non-profit institutions with agreements with healthcare professionals, would go on a campaign announcement of DKK 3.2 billion this year and DKK 2.2 billion next year in increased pension costs. So the information was given on November 5, one and a half months before the year 2007 ebbs out. In addition, we know that the operating budget for healthcare professionals will be at least DKK 1 billion in relation to the balance sheet requirement this year. The question to the Brustad State Council is: do these billions of exceedances in 2007 mean that healthcare professionals are still without economic governance?
ParlaMint-NO_2007-11-21.ana.ud1835e427	I take a strong distance from the fact that our hospitals should be without financial control. So here we're talking about the amount of over 80 billion dollars. So there is no doubt that there are some challenges associated with balancing, as the Storting has determined. Next year, it's going to be about $1 billion. The government has proposed one of the very best hospital budgets in history for next year. So we're talking about 1 pst. Of the total budget that hospitals have, which is then, we can say, deficits that they have to do something about next year. But that's what we're taking seriously, and it's also going to be on some challenges. In terms of pension costs, this is something beyond our control, because it is about hospitals having to comply with the Accounting Act – in line with others. We presented this to the Stortinget as soon as we had the overview enough to do so, at an open hearing last Thursday, and presented the proposition on Friday. The SEK 3.2 billion in increased expenditure for the current year we have proposed is excluded. It is not possible to take it from now until Christmas. With regard to the SEK 2.2 billion that we're talking about next year, we've said that we're working on it, and we'll get back to that at the latest in relation to the revised national budget.
ParlaMint-NO_2007-11-21.ana.ud1835e436	Let's move on to the next main question.
ParlaMint-NO_2007-11-21.ana.ud1835e439	I have a question for the Minister for the Environment. The government had a strategy conference yesterday, and concluded that the environmental threat is much more obvious and extensive than it appeared when the Soria Moria declaration was made two years ago. The government has therefore concluded that a more offensive climate policy is needed. It is a pity that not the strategy conference was held before a team of climate communication, but I hope that the recognition that there is a need for a more offensive climate policy will come true when we are negotiating a climate settlement at Stortinget. When the Soria Moria declaration was made two years ago, SV celebrated as a major saying that it says that the gas power plant at Kårstø is to be cleaned in 2009. Now we know that the promise will not be kept. It is most unclear when the gas power plant at Kårstø will be purified — while generating annual emissions of 1,2 million tonnes of CO2. The government will now decide who will pay for these emissions, for some have to pay. That makes sense, because setting a price for emissions also makes it more profitable to clean. SV and Left have been followers of and cooperated to strengthen the polluter pays principle. And my question to the Minister of Assistance is: Can he guarantee and assure the Storting that when one is going to lay the framework conditions for the gas power plant on Kårstø, which increases the annual CO2 emissions in Norway by 2 pst., will the Government base the polluter pays principle?
ParlaMint-NO_2007-11-21.ana.ud1835e456	State Council Erik Solheim – as Minister for the Environment – please!
