ParlaMint-NO_2007-12-19.ana.ud897e24	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-19.ana.ud897e135	We made yesterday's speech, our estimate, for how it will go with the Government's goal of reaching full child-care coverage in 2007. The figures show that we have come very far, almost 250,000 children will have space in kindergarten by the end of 2007, according to that estimate. But we've only reached almost the goal, because almost 4,000 children will be out of space. I don't want to say good-bye until 'nearly' has been that we're completely in the game. So the estimate shows that there are five rather large municipalities, all run by the Right, who have a particular challenge, because almost four out of five children on the waiting list live in those municipalities. It is true that the big cities have had special challenges when it comes to kindergarten development. However, some major cities have met this challenge through a systematic effort over time, through a clear political will – by setting land to land, setting clear goals, and one has achieved them. Trondheim, Tromsø, Kristiansand and the last Stavanger, whom I want to give praise here, have reached them. By contrast, there are other cities that have not reached their destination. I have gone through the work they have done, and I want to say that everyone has done a lot of good work to achieve full child-care coverage in recent years, but I can also see that everyone could do things better to reach full child-care coverage. That is why I have also sent a letter to the representative Erna Solberg asking me to cooperate with the Right to achieve full child care coverage. My predecessors took the initiative to meet the Red-Green Party Secretaries before the summer, to review how we can press against the red-green municipalities that still don't have full child care coverage. Now I thought that the Right should also be involved in how the right-wing municipalities should come into being. This is about very important questions for parents and children throughout Norway. If we're all on top of each other, we can get to the goal.
ParlaMint-NO_2007-12-19.ana.ud897e146	If you want to invite me to work together, you don't do that by sending a letter – so I was informed about a wish that I would come to a debate in the Norwegian media, until I had received the letter. This is a mediajippo. It is symptomatic of how the former party secretary of the SV is doing his job, as a minister at the moment, namely that you are busy mastering the media rather than doing what you have promised. In 2006, the Prime Minister invited all these cities – including the red-green cities, how many have long queues, especially in relation to the number of children – to a meeting. He then gave the impression that something had to be done to advance the work of the statesmen with the regulation and preparation of the plots. The party leader and finance minister Kristin Halvorsen promised to give plots without tender and competition in Oslo. Can the Council of State now tell what has been done in relation to County, and how many plots have the Municipality of Oslo actually received?
ParlaMint-NO_2007-12-19.ana.ud897e155	The government is very committed to how we will achieve the goal, and will have special contact with all the municipalities, but especially with the five that are far from reaching the goal. We'll run through all the government tools. We've identified a number of state-owned plots around Norway that could be used for kindergarten purposes if one was in agreement with the municipalities. We're going to review how we're going to proceed with this, and we're going to contact all of these five municipalities and other municipalities with regard to what extra we can contribute from the state in the future. But it is clear that we both depend on the municipalities taking their responsibility, and that the state takes responsibility for the health of the people. In Oslo one has e.g. sold a number of plots in the last years, while a missing plot to build kindergartens. This is one of the reasons why Oslo is also not fully targeted with its goal over many years of full child-care coverage.
ParlaMint-NO_2007-12-19.ana.ud897e162	Olemic Thommessen – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e165	I hear the Council of State talk about this as if it were a new issue. He's talking about what you want to do, and now you're going to review things, without being specific about it. This is something we've known for a long time. We have known that the big cities in Norway have special challenges. We have known that the maximum price setting will make an extra big impact in view of higher demand. We know that population growth is larger. We've seen that the cost level is higher, and the construction costs have been on top. At all, we know that there's a series of problems here. And then the council now comes and talks about what he might think to do! Shouldn't the Council of State have had a strategy for this at a little earlier time? As early as 2006, the Prime Minister felt it was necessary to attend a meeting. We can't say that we just heard what the follow-up will be. What is the strategy of the Council of State now? I think he might also have to answer a little concretely.
ParlaMint-NO_2007-12-19.ana.ud897e174	This gives me a good opportunity to say a little bit about what's been done, because there's been a huge effort in the last few years to get full babysitting. We have come with significant government funds, through investment advances and financial means that come automatically, and that will cover the municipalities' costs of development. We have made a great effort to guide local authorities and municipalities on how to get prompt treatment and avoid some of the problems that have taken a long time to get new kindergartens established in the past. We have gone through state-owned plots, but have also tried to guide the municipalities with regard to how they can set up own plots for this purpose. We've met municipalities with special challenges in the past. I now announce that we will continue that work systematically in the future, because we are not yet fully in line with this important goal for parents and children in Norway.
ParlaMint-NO_2007-12-19.ana.ud897e182	Siv Jensen – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e185	There are now torches all over Norway in protest against the cuts and cuts that occur in almost every municipality as a result of poor municipal economy. Jan Davidsen, working party leader and head of the Trade Union, is going out in the newspaper today and is accusing the Government of a gigantic breach of promises in the community economy. My question to the Council of State will then be as follows: In its eagerness to achieve full child care coverage around the country, in a situation where the local economy is very under pressure as a result of the government's high rhetoric, does the money spend many times, but does not take responsibility for the full funding of all the tasks that the municipalities have, the Council of State then believes that the municipalities should cut down in school in order to achieve full child care coverage, which is also the responsibility of the Council of State? Or does he think it would be more right for the municipalities to cut in the care of the elderly? After all, most municipalities must be cut, and this Council of State must also give priority to this.
ParlaMint-NO_2007-12-19.ana.ud897e194	In the years that we have provided the budget, this government has achieved a strong improvement in the local economy compared to the budgets that the representative Jensen voted for in the previous ageing period. This means that there has been a great deal of room for bets on kindergartens, schools, culture, care and other areas that each municipality itself has prioritised. Fortunately, one here also sees significant improvements in many areas. When it comes to kindergartens, the development of kindergartens is particularly financed by a very large investment investment investment and clientele, in the billions class, that goes to local development. In addition, there are some challenges when it comes to land and treatment, which are not primarily due to high expenditure. So I see that many municipalities will get better supply both when it comes to care, school, kindergartens and other areas, because of the efforts of the government.
ParlaMint-NO_2007-12-19.ana.ud897e201	May-Helen Molvær Grimstad – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e204	I can understand that the Council of State does not answer Erna Solberg's question, when the Municipality of Oslo has not been offered a single empty even if they have reminders of the state. Yesterday, the Council of State said that we are very close to full child care coverage. Only 4000 places are missing. But it's a creative bookkeeping, because not everyone who wants kindergarten during the year counts. Øystein Djupedal has said before that we don't know what full coverage is until we have the new maximum price. Only one of four municipalities has an income graded parent payment, and the maximum price level 2 has been promised before the end of this year, but it has not been met. How can the Council of State say that we are very close to full coverage, when many parents still can't afford kindergarten?
ParlaMint-NO_2007-12-19.ana.ud897e211	In the past, there has been no national definition of full child-care coverage, however, many localities. In order to measure, among other things, we've seen a definition of it for this year that we see as reasonable, that everyone who applied for a spot before the main take-up would have a place before the end of the year. Then we have contacted all the municipalities to see how they are compared to that goal, so that they can compare with others, and so that everyone can see how we, as a government, are doing. Then the answer is that we're almost in goal, but not completely, and it's serious for them. When it comes to the issue of price, it is quite right that full child care coverage and demand depend on the price. Now we have kept up the price of NOK 2,330. I cannot say anything about the way forward when it comes to how the price will be, but it is true that future price reductions will lead to a greater need for development.
ParlaMint-NO_2007-12-19.ana.ud897e220	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e223	I must say that Solhjell's statements have been quite provocative to the Oslo citizens. Now we've managed to get this town so close to track that people actually want to live in the center with little kids, which they didn't have before. It's made things very different. This has led to an enormous pressure on everything we have of green space. SV and Left have had to stand together many times to stop kindergarten expansion that would have destroyed green space that would make it popular to live in the town with little kids. But SV has been against a lot of other projects as well. For example, in St. Hanshaugen, who has a lot of problems in providing kindergartens, SV has opposed the use of buses and outdoor children's gardens to get a good offer for the kids. Why is it that SV opposes things locally, but insists on local politicians that they do not get things through centrally?
ParlaMint-NO_2007-12-19.ana.ud897e228	I myself have been in Oslo for many years and bid in the same district as the representative Skei Grande. I don't do that anymore, but I can sign that it's a great and exciting city – and city – to live in. SV has proposed, in a series of contexts in Oslo, the development and regulation of plots for kindergarten purposes in recent years. Among other things, in the context of large-scale development projects, SV has submitted proposals to the City Council on several kindergartens or that it should be required to do so, and one has proposed regulations. Then there is also an example that SV, as also the representative Skei Grande mentions, has in some cases not supported development projects. However, the important thing is that we take responsibility nationally and now they have submitted superior figures. In addition, the Board of Governors of individual cities must take responsibility. It turns out that a lot of big cities have come into being, other big cities have not come into being, despite that, for example. in Oslo, has had clear goals for many years in front of the voters to reach goals.
ParlaMint-NO_2007-12-19.ana.ud897e235	We're going to go to the next main question.
ParlaMint-NO_2007-12-19.ana.ud897e238	I have a question for the Minister of Justice. An important tool to prevent crime is zero tolerance. Lawbreakers must see that crime, large and small, is not accepted by society. Not least, this is important to young offenders, as the Storberget's own party has pointed out. Police Norway has long pointed to the challenges of serious crime, trafficking, recrimination, etc. Not least, Oslo has had one of the worst years for a long, long time in terms of the number of rape cases. The half-yearly figures from the police also show a sharp increase in gross acts of violence. They also show that the large volume is still a winning crime, and here you have an explanation rate of 18 pst. Not long ago the Minister of Justice stated that he wanted a better use of the money that the Oslo police get. He challenged the Oslo police to make better priorities. So far, the Minister of Justice has not answered what he thinks must be done, but he has, on the other hand, challenged the people of Oslo to do so. The consequence of this for Oslo part is that one has to consider putting one of the world's most advanced police helicopters on the ground. I further expect that the natural thing to do is to give priority to issues relating to moral crimes, violence and young people under 18. In addition to this, the chances of the police fighting crime are minimal. But I have seen that the Council of State has given a signal about what should be given priority. After a heated debate on the apprehension of a thief, he said this week that the civil weight industry should not use power, that's the task of the police. Since the Minister of Justice is also Minister of Police, I expect him to have enabled the police to handle these tasks that he himself points out. It doesn't seem like it when you read in the newspapers about frustrated entrepreneurs or others who don't feel like the police are setting up when you need help and expect help. Furthermore, it cannot be that we should have a freedom for people who commit crime if only crime is low enough. Then my question becomes to the Council of State: What should the threshold be to be able to expect police assistance – should there be a value of one hundred, one fifty, or two hundred?
ParlaMint-NO_2007-12-19.ana.ud897e252	It is difficult to specify any values for police intervention. But for the government, it's imperative now that we just get more police out there, especially in the big cities. It's about organisation, which I've pointed out a number of times, but it's also about how we have to be able to train more policemen in Norway. That's why I'm not so proud that we're actually getting as big a recording at the police high school as we have. Had we had it in place during the last four-year period of the Bondevik government, we would today have 400-500 additional policemen out in Norway. The recording that is now taking place at the Police College is record high; it has not been so large in ten years. I believe that it is the key to getting more policemen out, so that in many ways you too can lower the threshold for when the police intervene in situations. That's absolutely necessary. But we are also totally dependent on the fact that we can now do grapple, among other things. to the seniors. I have several times here in Stortinget explained what is actually being done, where we, among other things. Starts a pilot scheme in one district to get more seniors to stand in positions. The third thing that I think is also very important, and it's also about organizing, is that you now get more of those who are doing civil work in the police today, out in regular police work. This means that when you increase the resources available to the Norwegian police, as the government has done, and as we will also do next year, you will be able to free some of those who are currently working on civil tasks, just to come out and do the work that both the Progress Party and not least the government parties see as very important. The last thing I want to say is that besides strengthening the police in this way, we also have to have an active look at prevention. There I warmly welcome...
ParlaMint-NO_2007-12-19.ana.ud897e263	I thank the Council of State for the answer. What does not surprise me, but which I take note of, is that the Council of State does not have an ambition about the threshold for where the effort will go. I also record that he takes self-criticism for the lack of training of police officers during the previous period, among other things. through its own budgetary settlement with the previous Government. Of course, he should pay attention to that, although I may not be sure that it was intended in this case. However, the challenge in the Council's response is that the educational capacity that the Council of State now boasts is not enough to meet the needs we have today. The Oslo police alone run with approx. 100 job vacancies. Natural retirement in the form of retirement and people applying for employment in other professions mean that the rate of departure is higher than that of newly educated policemen. We're not going to solve this. And then when the government council is critical of one of the other branches that actually helps keep the system in place, in connection with money transport and other things, namely the weight industry, I'm surprised. Then my question is: what kind of solutions does the Council of State see about the relationship between the police and what the weights stand for?
ParlaMint-NO_2007-12-19.ana.ud897e272	There's one not too bad solution The government has chosen in the absence of policemen, one actually chooses to train more policemen. You'd like to characterize it in the opposition as a show of glory. But once we've chosen to run the recording as high at the Police College as we do now, that's the solution to get more policemen in Norway. Nor is it possible for the Advance Party to escape. Then you might get to fight about the history of the four years that the last Bondevik government set up. But I remember that if we had had the same recording when we are now running, we would have had between 400 and 500 extra policemen, such as. would have covered up the vacancies we're facing in Oslo, and I'm just as concerned that we're going to fill up as Elling's representative.
ParlaMint-NO_2007-12-19.ana.ud897e279	Morten Ørsal Johansen – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e282	Governments are concerned that, among other things: In Oslo, he's going to spend the money better, and he's also very busy training more policemen. The Council of States must be commended for that. But how will the Council of State solve the problem of the more efficient use of money, the more the Council of State in the budget of the Oslo Police? How, then, will he be able to employ more policemen to perform the service needed to get a safe and good capital?
ParlaMint-NO_2007-12-19.ana.ud897e289	Our government has not cut the appropriations of the Oslo Police District, we have increased the appropriations of the police district. Since 2000, if taken in a larger historical context, the Oslo Police operating budget has been strengthened from 1.1 to 1.4 billion kroner. So at least we're going to try to have the sizes right when it comes to police issues. What the Oslo police experienced in 2005 was that the outgoing government made a cut, which we wanted to fix. We also did that in the supplementary proposition that came. This does not mean that Oslo police are not still facing major challenges and the need for resources. But I think we can't just solve this by giving more money in, we're totally dependent on that we're also getting more money for the heads that are being granted. We're going to do both. The decision that Stortinget was invited to make here the other day, among other things. For a major DNA reform, extra funds are also allocated to the police districts – over 60 million. We're going to spend it on it. There's also something that will pay off.
ParlaMint-NO_2007-12-19.ana.ud897e296	André Oktay Dahl – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e299	Over the weight industry, the Council of State has had a strategy for two years: nothing seen and nothing heard. All proposals have been voted down, budgets have not increased, and TV 2 has had a better overview than the Council of State and POT together. Small, medium-sized and large companies have asked for help in getting better control of the unprofessional parts of their industry. Governments call it unprofessional and have had no dialogue with the industry in two years, despite their begging and asking for it. Actually, after over two years, the State Council of an Oscar inspires for the best side role in this matter. When has the Government planned to make the necessary legislative changes, tightening up and improving control procedures, we in Oslo saw in particular, where the police are struggling with tight budgetary frameworks because of this government's policy, not seeing a blossoming of what I would call – once again, it is possible that it is not parliamentary – chewing berry police activities, which happen because of the Oslo Police's lack of resources?
ParlaMint-NO_2007-12-19.ana.ud897e306	It was a little unclear to me what the question really was. But when that is said, I would say that before the representative Oktay Dahl swallows raw the arguments that are now out in public space regarding the weight industry, he might also want to check a little bit what is the real fact of the situation. It is not true that this government and the department have not been in contact with the weight industry, as it was claimed, among other things. in the sacred day's revision, which I understand must be part of the source of this statement that now comes from the representative Oktay Dahl. Last week we had a meeting with the weights industry. We are in a joint working group in the ministry, just to review the legislation in this field. This group also met in October. We believe that we actually have the main role in the issue of the development of legislation that surrounds the weighting industry. I am not so provoked by both the question from Oktay Dahl and the claims that now come from the weight industry, where one tries almost to shift responsibility, get it over to the public, under the condition that we are not available and have no contact.
ParlaMint-NO_2007-12-19.ana.ud897e313	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e316	The struggle for security is now, and then it does not help with Bolshevik history about the past. Under three out of four years under the Bondevik II government, the admission to the Police College increased. But it is also the case that recently during the financial debate the government parties voted down the Left's proposal on 550 policemen trained from the next fall of and about civil positions. But when the situation is this, I'd rather go into the weighting industry. My key question to the Council of State is, when we know that there are weights, and we know that weights have the same right as the Council of State or any other citizen to hold back: will we now get a systematic, well-described code of what weights can do, and what they can't do, in public space? The police have a very solid background for this. Will we have such a code, and will we have simplified procedures for reporting to the police so that we can have systematic control of this exercise of power? It should ideally be that the police take care of people and weigh on buildings, but if we are to have them, we must have clear rules of play. So do we get the rules in detail?
ParlaMint-NO_2007-12-19.ana.ud897e326	That's what we're doing now. I remind you that the working group and the work that we are doing started before the last episode showed up in the case of weights. So I think it's worth clarifying that we're not doing this on the basis of the last episode, we're doing it on the basis of actually a good deal of events that have happened in the weighting industry. The use of power that we see deeply worries me. There is a need not only to look at the question of competence and the criteria to be applied to those entering this type of industry, but also now to have a review of the rules surrounding instruments, as asked by Mr Dørum. It was precisely in Dørum's time that the Council of State also had a debate on this, among other things. by providing the weighing industry and all of us with a certain opportunity to hold back offenders who are closer to fresh work, or on fresh tracks. There's a need in this game to do something about it. That is why I have set up this working group – which has been reduced and which has already had several meetings – where we actually feel that we have good dialogue with the industry.
ParlaMint-NO_2007-12-19.ana.ud897e333	Let's go to the next main question.
ParlaMint-NO_2007-12-19.ana.ud897e336	I have a question for the Minister of Knowledge. In these days there are Christmas graduations in the school. Unfortunately, there is once again concern and uncertainty in the school regarding Christmas labelling. Teacher and management are in doubt about whether it is allowed to sing Christmas songs and to have Christmas services. The government has sent out a proposal to remove the CRL subject at school. For the Christian People's Party, it is important that the subject is in line with human rights. The European Court of Human Rights has assessed the subject during the 1997–2001 run-in period. After that, with broad political support, we have implemented the necessary changes, not later than 2005, in order to ensure that human rights are respected. Therefore, the Christian People's Party believes that there is no need for major changes in the CRL subject. We believe that the adjustments pointed out in the judgment have already been made. It seems that the minister of knowledge is using the sentence to remove the KRL subject. That is why I should like to ask for concrete reasons for two aspects. Firstly, the government proposes to change the name of the CRL subject by removing the word "Christianity" so that the subject should be called Religion, Life View and Ethics. This is done ‘as one of several measures to follow up the judgment of the European Court of Human Rights’. My question is, where in the judgment is the subject's name problematized? And further, the government is proposing to remove today's rule on the percentage distribution of quantities between the different main areas of the subject. Today, Christianity has a greater emphasis than other religions in view of the place Christianity has in the national history and tradition of Norway. My question is, where in the judgment is it problematic that Christianity is given a greater place in the subject?
ParlaMint-NO_2007-12-19.ana.ud897e351	Let me first briefly mention, since it was recorded, that school gods are allowed, for example. in connection with Christmas, in the Norwegian school, if the school complies with some of the basic regulations, so that it is clear. So to the judgment of the European Court of Human Rights. Norway has been convicted of having a subject in school that breaks with, or is indicted, human rights. It's a very serious thing. We in Norway are ourselves of that opinion, and Norwegian courts have said that this is not the case, but we are still condemned in the European Court of Human Rights. There has therefore been a need to clarify how the subject can be in line with human rights. So it's not right if you have the impression that from the government's side we've used this to make changes. We have made the necessary changes with the aim that there should be no doubt that the subject is in line with human rights. We think that when you have a subject to create respect and dialogue, it's crucial that it's in line with human rights, and that we, for example. avoids new legal proceedings if so. The judgment points to two specific aspects – that is the purpose paragraph and some aspects of the training law § 2–4 – but otherwise refers to the health. We've got legal advice on what changes are going to be in line with this, and we've put forward a proposal based on that. I would particularly like to point out that the proposal that has been put to the ears, and of a curriculum in the future, is that quantitatively Christianity is still the major part of religious education – as it is today.
ParlaMint-NO_2007-12-19.ana.ud897e360	I thank the Council of State for the answer. We are very concerned not to make more extensive changes than is necessary — and that is why changes have been made — and we must point out that it is true that the subject is as it was when it was new, not as it is now, when the changes have been made. The Christian People's Party is very concerned that knowledge of the Christian values should not be lost. Therefore, it is reasonable that Christianity is given a special place in school – not in the form of preaching, but in the form of engaging knowledge dissemination. In an interview in Our Country, the Council of State said that ‘you have to stop preaching’. My question is, what kind of cover does the Council of State have to say that the teachers who teach at school today are preaching? Is it not a huge distrust of the teachers who today teach in a field of knowledge where it is Christian knowledge to be taught in school?
ParlaMint-NO_2007-12-19.ana.ud897e369	Announcement in today's CRL field is not allowed, and will not be in the future. Today's CRL is a knowledge subject and should be in the future as well. That sounds like we're some people about it. But there's a need to clarify this, because we're actually condemned for the Christian part of the subject, as he is today, against human rights. Now we have sent a proposal with what we perceive as necessary changes, on hearing. When one sends a proposal on the phone, many, I guess – and I have reason to believe – will turn right. My ambition is that we should both have a dialogue with the parties on Stortinget and go through all the listening questions that come, and make a proposal for Storinget at a later date.
ParlaMint-NO_2007-12-19.ana.ud897e374	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e377	There are a number of parents, students and teachers who are concerned about whether this government is in the process of downplaying the Christian purpose paragraph, the Christian part of the CRL subject. That concern is not merely expressed in doubt about Christmas services. I recently heard that it was a question of whether it was allowed to sing Christian Christmas songs in school. The table-verse discussion is well known, and it has appeared again. And then last, it's the KRL. The Christian People's Party has been eager for a broad, pooling subject, which conveys our Christian and humanistic cultural heritage and also other religions in respect of their peculiarity. It's been a joint project for almost the entire Biggest. Every time there have been adjustments in the subject, we have had a dialogue line – not a split and ruling line. We feel that the Government has left that line in many ways, but I am pleased with what the Council of State is now saying, and I would like to ask: will the Council of State ensure that there is a dialogue with the opposition in the Storting before the matter is presented?
ParlaMint-NO_2007-12-19.ana.ud897e384	Let me first, just to clarify it, say that there are no changes when it comes to Christmas or table verses this Christmas. And, as I said, giving certain appointments is allowed to offer schoolgods services to students. The CRL subject was modified at a specific point, namely the exemption rules, in 2005. But the very Christian part of the subject, for which we are condemned, has undergone only insignificant changes. The legal advice we've been given makes it clear that if the subject is to be open to human rights, we now have to make changes. Finally, let me say that I am prepared to have a dialogue with the opposition in Stortinget, and I am prepared to speak to others who express their views on the proposal we have now sent out on the phone, and I look forward to a good debate with the representative of Højbrätten about it.
ParlaMint-NO_2007-12-19.ana.ud897e393	Ine Marie Eriksen Soreide – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e396	It is important to know your own background and cultural heritage in order to understand others, and so the Right has also been critical of the proposed changes in the CRL subject. We're not the only party that is. In our country, December 11, we can read that a new life - vision profession creates resentment in the Center Party. Per Olaf Lundtigen from the government party of the Centerpartiet, says: ‘I do not see the need for a change in the CRL subject’. To the extent that he supports the proposal, the Social Force of the Centre Party answers Vedum: ‘No’. My question is really simple: how can it be that the two government parties SV and the Central Party look so different on the question of the need for change in the CRL subject? After what the Council of State has previously said in this round, it is not possible to interpret the Council of State in any other way than that the Central Party Party violates human rights.
ParlaMint-NO_2007-12-19.ana.ud897e409	The government has a fairly clear view of this issue, and it is that we have been forced to make changes in the CRL field as it stands today, because the subject has been sentenced in the European Court of Human Rights to violate human rights. It's a very serious thing. That is why we have submitted the necessary changes and sent them to the audience now. Then we're going to have a further process with that before we finally make a proposal to the Storting. Let me use the ability to clarify that it should be so that because of our historical tradition and cultural heritage Christianity has a clearly greater part of the teaching of the subject than other religions. That's the way it is today. On the other hand, we must be outgoing, there must be no doubt that there should be no preaching. We must clarify it in the light of the judgment given by the EMD.
ParlaMint-NO_2007-12-19.ana.ud897e416	Let's move on to the next main question.
ParlaMint-NO_2007-12-19.ana.ud897e419	My question goes to the Council of State Solhell, and it says this: Yes, think it; wish it; would it with; – but do it! No, I don't get it! Today it's not about Peer Gynt in the third act and the first stage, but it's about State Council Solhell that tells us about everything he wants by VG on December 4th, after the state custom that now characterises the Swedish government councils: Trust in the press, but not the Stortinget. There, the Council of State tells straight out that he wants systematic further training for teachers. However, after the introduction of parliamentaryism, state councils should deal with the Stortinget. And what's happening in the Storting is that when the Left is promoting proposals to develop an obliging capacity, further education, for teachers, it's voted down by the government parties, including SV. If you want to break through, the Left has now learned that we are making budgetary negotiations with the Right, the Advance Party and the Christian People's Party in Oslo, because then we are actually getting this systematic further training, such a teacher's promise. The deep wonder is that the Council of State, which admits that he is happy with teachers, will do something about teacher training, will do something about further education, does it anywhere other than in the Stortinget. And that's in the Storting you're going to do it. It is also the case that if the Council of State wants to take inspiration, it is at these times that a Norwegian government can take inspiration in Sweden in the field of environmental policy – that is actually the way it is. But it is also possible to get inspiration in Sweden, which now systematically does what the Left proposes, namely to create a learning lift through systematic further training, and to commit to spending the money on it. When we get back to the situation, and aren't in Peer Gynt, where, as I said, it's about not acting, not doing anything that's entirely, my question becomes to the Council of State: when can we count on SV having its thoughts, dreams, wishes, opinions practical against? When will Stortinget get a systematic set-up for further training of teachers who are committed to money, and which means that we know what we are going to do in Norway when we are going to build up competence for Norwegian teachers, for society and for Norwegian students?
