ParlaMint-NO_2007-06-19.ana.ud1045e39	The representative, Mr. Bård Hoksrud, who has been on leave, has once again taken the seat.
ParlaMint-NO_2007-06-19.ana.ud1045e156	We fully agree that the normal rules must be based on them. That there may be exceptional situations, as has been done in this case, we must also be open to future events. It is a bit dependent on the case and the circumstances that develop. I have therefore been willing to deviate from my position on tenders in this case, on the basis of a very specific assessment. That should be appreciated by the representative Jacobsen as a representative of the government parties. But in reality, he may not appreciate what he has to do.
ParlaMint-NO_2007-06-19.ana.ud1045e161	Several have not asked for the word for a line.
ParlaMint-NO_2007-06-19.ana.ud1045e164	As the Advocate General has explained, the aim of the investment proposal is to obtain the approval of two new property, construction and construction projects by the Storting. This is a multi-purpose hall at the Setermoen garrison and embellishments in Rena clay. Furthermore, there is the approval of two new material projects, new sea target missiles and new C-130J transport aircraft respectively. In addition, a modified cost framework is proposed for the project for new facilities for the rescue helicopter service in Bodø and for the acquisition of satellite communications for the frigate and MTB projects. Finally, the proposition contains some issues for information. This is the connection of Mauken-Blötind, ground-to-air radio infrastructure, secure access to space segment, i.e. satellite, and a review of the down-and-out processes in the Defence. As regards the review of the disembarkation and dissociation processes in the Defence, the Workers' Party is pleased that these issues are addressed in depth as a matter of their own at a later stage. I would like to stress that in all cases, except for the quick acquisition of new C-130J transport aircraft, it is a unanimous committee setting. I think this is good, as defence policy is too important for us to play political games on such issues. The aim of the Stortinget should, in the view of the Labour Party, be to seek broad political settlements on defence issues. I therefore think it is sad that we have not managed to agree on the need to quickly provide new tactical transport aircraft. The Labour Party believes that Norway and the Defence have a need to dispose of tactical transport aircraft capacity both today and for the future. We therefore look with concern at the information that has come from the Ministry of Defence that Norway is currently in practice without operationally available tactical air transport capacity. Today's old Hercules planes are not fit to fly in war zones, even after completed upgrade. What is crucial for the Workers' Party is that the solution of quick purchase is the one that gets the fastest transport aircraft available for our international operations and thereby the best possible security for our soldiers. In recent years, the Investment Plans for the Defence have operated on the acquisition of new transport aircraft in the period 2012-2015. Based on such an investment plan, it has been necessary to upgrade our old aircraft, so that we have some operational capacity until a future solution is in place. Unfortunately, the new information from the Ministry of Defence shows that the state of our existing C-130H is worse than expected and that a limited upgrade will be more extensive and take longer than previously foreseen. In addition, the availability of our old aircraft by such a solution will be so low that it will not give us the ability to make a contribution in the form of a transport plane in an international operation over time. In my opinion, unfortunately, the situation we are now in shows that former governments and defence have not prioritised the follow-up of our national tactical transport aircraft as you should. But one thing is to complain about things that should have been done, another is to take responsibility once the situation has become as it has been. In the view of the Workers' Party, the need for new tactical transport aircraft is undeniable. In our view, a normal acquisition that would give competition between the relevant operators of aircraft – C-130J or A400M – would initially be preferable. However, this must be weighed against the fact that Norway is currently without a real tactical flight capacity, while there is an increasing need to have such aeroplanes available to take care of the safety of our forces out in international operations. The intention to ensure the safety of Norwegian personnel and thus ensure as quickly as possible the availability of international tactical transport aircraft means that the Workers' Party supports the proposal for the rapid acquisition of four new C-130J for a cost framework of SEK 3.6 billion, combined with the possible rental of an aircraft from Italy. It is this option that will provide Norway with the necessary capacity as a matter of urgency, i.e.: a partial capacity from 2009 onwards and full capacity from 2011. I would like to stress that it is commendable that this government takes responsibility and cuts through on this issue, given the lack of prioritisation and follow-up that has been revealed in relation to Norway's tactical transport aircraft in the last ten years. I'm proud to belong to a government coalition that makes sure that the soldiers' safety is focused. Finally, I would like to make some comments to the Progress Party and the Right in this matter. Firstly, I find it very alarming that the Progress Party is moving towards the rapid acquisition of transport aircraft, after the Progress Party has been complaining for years that we do not have good enough transport aircraft and that other parties have not wanted to take responsibility for the acquisition of new aircraft. It is therefore strange that the Progress Party is now opposed to a flight acquisition on the basis of a proposal that is more or less in line with the earlier proposed Progress Party. The progress party should therefore give credit to this government when there is finally someone who takes responsibility. But when it comes to the problem, this does show that the Progress Party is more concerned with political double games than with dealing with actual realities. Secondly – and that is both to the Right and the Advance Party – I would like to say that I understand that you think it has been a short time to deal with the matter. But I must also stress that sometimes the situation is such that we have to extend far, and let security – in this case for our soldiers in operational service abroad – go ahead of proceedings preferred by us depositors. As we have also seen from some media recordings, it was not the case that the defence committee was reading down on issues when the investment proposition came. As regards the procedure in this case, I would like to point out that the committee has worked under high pressure. I would like to commend the rapporteur and the other members of the Committee on Legal Affairs and Citizens' Rights for their thorough and effective treatment. We have conducted open consultations with stakeholders and the Minister of Defence. In addition, we have sent very many questions from the Committee, to which we have once again received detailed answers. What questions have the Right asked, but have not been answered, are incomprehensible to me. I can't imagine how we could deal with this matter differently, taking into account the actual reality and the critical situation in which we, after all, are up to, and which we must take seriously. But after all, I am satisfied with the result and the setting, not least that the Right Subsidiary chooses to support the proposal for quick purchase of four new C-130J, as it is precisely this option that will provide ‘lesser uncertainties’, according to the Right, which I agree with. So finally, it's the Storing that orders the soldiers to go out in international operations. Then it is also our responsibility to ensure that they get the security that is possible when they are out. New transport aircraft will be part of such enhanced safety.
ParlaMint-NO_2007-06-19.ana.ud1045e201	It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e204	In this case, the working party has been very anxious to put in place this so-called quick acquisition of new C-130J. How does the Workers' Party consider that Norway should be able to participate in rapid response operations on special missions when the C-130J chosen according to the case documents cannot be used for this type of task?
ParlaMint-NO_2007-06-19.ana.ud1045e209	I don't agree that the new C-130J planes from Lockheed Martin that we're now getting can't participate in the operations that we're in now. This concerns Afghanistan, and it could also apply alternatively in Sudan, if we are going to participate there. We've been confirmed by the Ministry of Defence that these planes can definitely participate in these dangerous operations. It's also the way they want the self-protection system and the instruments and technical details that are needed, that I didn't know very much about, but that I've learned a lot about gradually during this treatment. There's nothing that needs to be upgraded when we get the planes from Lockheed Martin – the first in 2009, and all four in place in 2010.
ParlaMint-NO_2007-06-19.ana.ud1045e214	Signe Eye underlined the desire for a broad consensus on defence policy, which I agree with. But then she said that she was sorry that there had not now been an agreement on the quick purchases. It means in good Norwegian that in order to reach a broad consensus, one must agree with the Government. I hope it's not with the attitude you're going to take to work on the future long-term plan. If there is to be broad political agreement, the Government must be prepared to compromise also in relation to the parties in the Stortinget.
ParlaMint-NO_2007-06-19.ana.ud1045e219	I still want to argue that in terms of defence policy, it is very important that we have broad consensus. In fact, today’s Storting has a broader consensus in defence policy than we have ever had. It's important. We agree to send soldiers to Afghanistan, and we are also discussing Sudan. As for the coming long-term message, I see that this is one of those points where it's not enough for just a majority government to conclude. Here we also have to bring with us other parts of the Storing. If we take such a decision with a broad consensus, it's a long-standing decision. It deserves our defense, and it deserves our soldiers. That's why I'm very busy that we're going to get to that. I also hope that the High Representative and the chairperson of the Committee are prepared to arrive at a sensible outcome that our country has served – long or short time in the course of its proceedings.
ParlaMint-NO_2007-06-19.ana.ud1045e226	The Christian People's Party is also committed to reaching broad consensus in defence policy, but then the starting point is that one must have time to find that consensus. The Christian People's Party is a little surprised at what the position writes in the note, where they indicate that previous governments have not prioritised this, and therefore we have ended up in this situation that we are now in. It's become a kind of pattern for this government to owe to previous governments. Now a question was asked at the hearing of the representative Thorbjørn Jagland, but it was in cash rejected by the head of defense that former governments could have known about the new information that has come. In addition, this government did not know the new information when the matter was referred to in the budget proposal. What is the representative Signe Eye's opinion when she joins and writes that the failure of previous governments is the cause?
ParlaMint-NO_2007-06-19.ana.ud1045e233	When we write that there are past governments that have neglected, there is a criticism of both former workers' party governments and former Bondevik governments. So we all cut over one comb. We think that's right. It's actually not like many people have said that this is a quick purchase. We've been investigating for ten years. We have had five-six samples that have been investigated year after year and that have said that we need new transport aircraft, and there has also been a great deal of agreement that both the aircraft from Airbus and the aircraft from Lockheed Martin are suitable aircraft for Norway in the future. There must be reason to be critical of processes that have not been brought about and that now we have come up with a situation of coercion. The Labour Party believes at least that regular bidding rounds with regular purchases are the best, but as the situation is now, we had no choice, because we put the soldiers' safety in the high seat.
ParlaMint-NO_2007-06-19.ana.ud1045e238	Several have not asked for the word for a line.
ParlaMint-NO_2007-06-19.ana.ud1045e241	Let's be clear: the progress party wants to buy new transport aircraft. But the Progress Party wants a clean procedure and process, so that we can be sure that we make the right choice. After all, it's approx. Four billion taxpayers we're talking about, and that's plane defense going to operate on for decades to come. There is no party that has so often proposed to acquire new transport aircraft over so many years. Time and again, either by a representative proposal or in budgetary positions, we have proposed purchases, and again and again, and as many times, the proposals have been voted down by the government parties, the Workers' Party, the SV and the Centre Party. Why, then, have we made these proposals again and again without receiving response and support from other parties? Well, because we've seen how different changing governments have let it slide and go until finally all six Hercules transport planes were parked on the ground. This was predictable. Nevertheless, it was not taken solemnly. When we proposed this, it was also because there was only one alternative, namely new Hercules aircraft. We didn't have any other options. The crisis was great, and the offers were there – as good and as quickly delivered as now. Then we've come into the situation that the Storting has granted 300 million. NOK for wing change and repair of four of the old aeroplanes. They are scheduled to be back in Norway during this month, fully operational to operate tactical operations until 2017, according to the warranty from the factory that has repaired the aeroplanes and has extensive experience with these aeroplanes, and has repaired these types of aeroplanes since they were placed on the market. When it is now announced that the aeroplanes are not avionic-coupled, that any avionic-couple upgrade will take 45 months, i.e. that they are unable to fly, for example: in Afghanistan or other similar areas of war, and that they can only fly 50 pst. in Norway, this comes as a great surprise. This was not informed by Stortinget when the 300 million were granted. kr. I expect the Control and Constitutional Committee to take a closer look at this, when it is now proposed to purchase new aircraft for approx. DKr 4 billion. It's very close to thinking that these 300 million. Nor could it have been used for the purchase of the new aeroplanes. I also expect that all this strange thing that has happened will be subject to the subsequent interest of the National Audit Office. The Government has now recommended the launch of a so-called fast acquisition of new Hercules C-130J transport aircraft, after several years of proposed acquisition of new aeroplanes by the Progress Party. When I first mentioned that there is a desire for a clean process and procedure, this is also due to the fact that the proposal has been in the department for months due to disagreement within the Government. When the matter finally reached Stortinget, the parties actually only had three days to group it. This is what I call inexcusable proceedings. Due to the goodwill of the Committee and the extension of the session, the matter is being examined today, despite the imprudence of the Government. In our opinion, this is not how we deal with issues in Stortinget, as far as so much money and aircraft are concerned that the defense, after all, is likely to live with for many years to come. The mission of the Ministry has also resulted in the postponement of part of this investment proposal to the autumn. We are reminded of the military settlement which the committee most favourably dealt with in the Storting a few days ago, with irresponsible short term treatment, but which was of great importance to the soldiers. A few days ago, we were informed from the Ministry that the planned report on women in the Defence Office, which was due to be presented in May, did not come until June, and that therefore we did not have to deal with it until the harvest. The same applies to the Odelstingen proposal for amendments to the Safety Act, which was announced in March. Now this is exposed to the autumn. The progress batch has, as mentioned above, been engaged in the creation of new transport aeroplanes. Today we have newly repaired aircraft, and we do not see the need for so-called quick purchase and believe we have time for a tidy bidding round, otherwise quite in line with the Government's own Soria Moria declaration. Today, we have all the more planes to choose from. New Hercules aircraft is one alternative, A400M from Airbus another, and C-27J Spartan a third. It's a fact that A400M will be the only aircraft capable of carrying the Defense Helicopters, the United Nations SISU vehicles and major humanitarian equipment. The Hercules is getting too small. When this is pointed out, the answer is that Hercules will never transport more material into disaster zones, or in a zone like Afghanistan. According to the proposition, such material shall be carried by road, rail or seaway. Then maybe a small and tactical plane like C-27J Spartan might have been the right one. The plane only takes 62 soldiers on board, but is fast and modern. But all these questions would have been answered by any open tendering procedure, which the Progress Party wants. It is also strange that seven professional military assessments have been carried out, all of which are recommended by the Airbus A400M. The Ministry has also not had real talks with Airbus. The information on the professional-military investigations and whether there has been no real conversation with Airbus has not been the case with Stortinget. There is at all more information in this case that has not happened to Stortinget, and it may therefore appear that the case has a very poor basis for decision. Objective information for the Storting may therefore appear to be insufficient, and the need for rapid acquisition can be described almost as irresponsible. An open tendering procedure should be possible in a short time. It will also provide greater opportunities for Norwegian industry to repurchase, while industry will also have better time to make good technological agreements. The entire purchase is otherwise based on 100 pst. repurchase and a repurchase agreement is assumed to have been signed. In practice, there will also be no significant difference between the delivery time between the different suppliers, since the latest deliveries of Hercules aircraft are unlikely to take place until 2011. So some quick acquisition will in any case not be. The security of our soldiers in Afghanistan has been used as an argument. Of course, the safety of our soldiers is important – no one will dispute it – but I don't think this flight purchase will be decisive for safety. In addition, the Progress Party considers that there is uncertainty about the Government’s conduct as regards the rules on public acquisitions, acquisitions of defence, the EEA Agreement and the EU Directives on defence procurement. We therefore have difficulties in seeing good business practices relating to acquisitions into the Defence but expect the Government to deal with adopted guidelines for this type of acquisition. In this context, the Progress Party encourages proposals for an open tendering procedure and for the promotion of a new issue for the Storting based on such a process. This setting of investments in the Defence includes other important things for the Defence, although the purchase of the aircraft is what will give the largest counts and that have gained the most general interest. The cost framework for the ‘New frigates’ project is increasing by a total of 526 million. NOK 17 404 million. kr – far above the agreed starting point – and should also include a certain examination. Other chapters that increase cost-effectively relate to Skjold-class missile torpedo boats and to air radios. The Progress Party will point out here the importance of dealing with the adopted budgets and cost frameworks. Finally, I would like to make the proposals of the Progress Party included in the vote.
ParlaMint-NO_2007-06-19.ana.ud1045e288	The representative Per Ove Wideth has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e294	In the setting and also here in the post today, the representative of the Progress Party expressed doubts as to whether there is a sustainable legal basis for the quick acquisition of new transport aircraft, without providing any particularly good justification. It could therefore be interesting to know what, in the opinion of the Progress Party, is not legally sustainable in relation to this rapid acquisition. Is the representative of Wideth able to clarify this claim in the light of the special legislation for the acquisition of this type of defence material?
ParlaMint-NO_2007-06-19.ana.ud1045e299	I can't do that in 1 minute. I have referred to rules on public acquisitions, acquisitions of defence, the EEA Agreement and the EU Directives on defence procurement, i.e. a complex that requires several more than 1 minute to explain. But I would recommend the representative to go into these directives and these processes and see what's standing there, and then he'll quickly find out that there's room for doubt here.
ParlaMint-NO_2007-06-19.ana.ud1045e304	I have noticed that the representative in his speech today and the Progress Party have been concerned about whether it is such that Norwegian industry gets good enough conditions and technologically driving jobs in connection with repurchases that are established in connection with defence acquisitions. However, it is not the case that the Council of State has confirmed that it is in line with the guidelines for the purchase of defence equipment from foreign suppliers that 100 pst will now be required. the repurchase of the value of the contract in connection with the rapid acquisition of the four C-130J? What, then, stands in the way that Norwegian industry will have good conditions and technologically driving tasks in connection with this repurchasing? That's my question to the representative, Width.
ParlaMint-NO_2007-06-19.ana.ud1045e309	Firstly, no repurchase agreement has been signed, and that's what we're asking a big question mark. This must be done before the flight purchase is started – that is a condition. In the case of repurchasing for other Norwegian industries, it is clear that they need time to assess what is important in technology and what is important for individual operators to go into. These stakeholders will be given too little time to consider these issues.
ParlaMint-NO_2007-06-19.ana.ud1045e319	I have to say that it is surprising and quite strange that the Progress Party, which year after year has given blank mandates for the purchase of new aircraft, says no now, when we have the opportunity to have this implemented. In the setting, the Progress Party shows that Airbus has said that they can deliver A400M in Norway as early as 2010–2011. However, the defense as a professional body says that it can be operational in 2014 at the earliest, perhaps later. What kind of basis the Progress Party relies on when the batch claims or suggests that the A400M can be both delivered and operational in 2010–2011. Isn't that also based on a quick acquisition?
ParlaMint-NO_2007-06-19.ana.ud1045e324	Firstly, this possibility of acquiring new transport aircraft has been ours for at least the last ten years. The Progress Party has proposed it, as I said in my post, time and time again, and the Labour Party has voted it down again and again. We have had more offers in the past that have been as good, perhaps even better than the offer we are now given, and then the Workers' Party has voted it down, so it surprises me that the Workers' Party has such haste right now, which they did not have at the time, and which I also pointed out. We now have more planes to choose from, and we have time to go through this properly, not through a quick acquisition and a quick transmission to Stortinget that we almost have to take on a tight arm. I think that is critical, and I think that the Labour Party must take over.
ParlaMint-NO_2007-06-19.ana.ud1045e329	Several have not asked for the word for a line.
