ParlaMint-NO_2007-10-01.ana.ud2007e29	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2007-10-01.ana.ud2007e344	The representative Rolf Terje Klungland has asked for written voting. The President will then refer to the provision of the Rules of Procedure in Section 44d, first and second sentences: ‘In currency without signature. This voting procedure is only used in elections and only when several proposals have been made for the same office or for a representative present so require or when the assembly adopts it on a proposal from the President.» With the consent of Storting, the President will propose that this be done. A written vote shall be taken. The choice had the following result: A total of 152 votes were cast. The Vice President of Stortinget was elected Carl I. Hagen by 120 votes. 29 ballots were blank, and 3 votes were cast on non-proposed candidates.
ParlaMint-NO_2007-10-01.ana.ud2007e365	The Secretary of State and the Secretary of State, the First and Second Vice-President and the Secretary of State of the Grand Duchy shall then be elected. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2007-10-01.ana.ud2007e373	I suggest Signe Eye.
ParlaMint-NO_2007-10-01.ana.ud2007e381	Signe Eye has been proposed to the Secretary of the Storting. Other proposals have not been made.
ParlaMint-NO_2007-10-01.ana.ud2007e391	The President then asks for a proposal to the Secretary of State.
ParlaMint-NO_2007-10-01.ana.ud2007e396	I allow myself to propose Karin S. Woldseth.
ParlaMint-NO_2007-10-01.ana.ud2007e404	Karin S. Woldseth was proposed as Secretary of State. Other proposals have not been made.
ParlaMint-NO_2007-10-01.ana.ud2007e413	The first and second vice-presidents of Stortinget shall then be elected. The President will first ask for proposals for the first Vice-President.
ParlaMint-NO_2007-10-01.ana.ud2007e419	I suggest Eirin Fallet.
ParlaMint-NO_2007-10-01.ana.ud2007e427	Eirin Faldet is proposed as the first Vice-President of the Stortinget. Other proposals have not been made.
ParlaMint-NO_2007-10-01.ana.ud2007e436	The majority has then come to the election of the other vice-president. The President is asking for proposals.
ParlaMint-NO_2007-10-01.ana.ud2007e442	I allow myself to propose Lodve Solholm.
ParlaMint-NO_2007-10-01.ana.ud2007e451	Lodve Solholm is proposed as other vice-president. Other proposals are not available.
ParlaMint-NO_2007-10-01.ana.ud2007e460	It shall then be elected Secretary of State. The President is asking for proposals.
ParlaMint-NO_2007-10-01.ana.ud2007e466	I allow myself to propose Kari Lise Holmberg.
ParlaMint-NO_2007-10-01.ana.ud2007e474	Kari Lise Holmberg is proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2007-10-01.ana.ud2007e483	The President proposes that the alternate representatives Ann-Kristin Engstad, Harald Victor Hove, Laila Skaret, Morten Ørsal Johansen, Anne Tingelstad Wøien, Bente Thorsen, Espen Torsteinsbø Hansen and Magnhild Holmberg be elected to Lagtinget for the time they meet the representatives Eva respectively. M. Nielsen, Øyvind Halleraker, Bjørn Jacobsen, Thore A. Nistad, Inger S. Enger, Øyvind Waksdal, Eirin Kristin Sund and Bård Hoksrud. – It shall be deemed to have been adopted. The President proposes that the Storting should now suspend its negotiations so that the Laging and Odelstinget can meet and elect presidents and secretaries. – It shall be deemed to have been adopted. The stork continues its negotiations after the Lagninget and Odelstinget have formed.
ParlaMint-NO_2007-10-01.ana.ud2007e529	The President hereby declares Norway's 152nd biging legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the Government, so that he may obtain the King's decree on the time of the opening of the Storting. – It shall be deemed to have been adopted. The time will be published later. The President requests authorisation after the announcement of the opening of the Grand Duchy, after the surrender of the throne and of the state of the kingdom, to make the customary wish for the King and the country of origin – and considers this authorisation to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting – and considers this mandate to be granted. As a deputation, representatives of Øyvind Korsberg, director, Anne Marit Bjørnflaten, Per-Willy Amundsen, Lena Jensen, Tove Karoline Knutsen, Elisabeth Aspaker and Gerd Janne Kristoffersen are appointed. In response to the solemn opening of the Stortinge, Oslo Bishop has invited Stortinget’s representatives to serve in Trefoldighet church today, Monday 1 October, at 9 p.m. 17. Before the meeting is closed, the President will note that the time for the presentation of the budget has been set at 5 a.m. on Friday 5 October. 10th@item: inlistbox
