ParlaMint-NO_2007-06-01.ana.ud1321e51	The representative of Laila Bavøy, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-06-01.ana.ud1321e411	It's not much to add. I agree with the representative of Solberg that it is important to get this case up in Stortinget. I have noticed that in the time I have had the responsibility I have now, we have had several debates on this type of topic. I think that is also important, because it is also noticed both in the country concerned and in our home environment. The relationship that Solberg's representative points out that Norwegian citizens can feel intimidated in some way, I think, unfortunately, is a phenomenon that not only affects the Vietnamese-related part of our population; even other groups can actually experience even worse things, and we have to focus on that. Then, too, with Norwegian assistance and the way in which we contribute to civil society, we need to assess continuously. How are we effective in this? This I think was also something Secretary of State Stenhammer took up during his visit. So there's always room to do more, but the important thing is to do the right thing and find the balance between the dialogue that we have as a country, and what we do with other countries. And then it's to look at this from a perspective: how has the human rights situation evolved in the last year, in the last two years? But do we take a longer perspective, the last 10-20 years – which way does it go? Then I think we have to find this balance between where the general trend is going and where what we can call more economic trends is going. In other words, does this alert the shift we have seen around the turn of the year in connection with the WTO, a new permanent course from the authorities, or can there be any other relationship with Vietnamese policy that is also behind it? It is therefore important that we have an embassy in Hanoi that follows the political work, that we have visits from Norway to Vietnam that can bring about changes in this country, and that we have a close dialogue with other ASEAN countries. In particular, I would like to highlight an important country for us, namely Indonesia, which is a country that has gone quite clearly in a democratic direction and with which we have a meaningful dialogue, because they are once again taking these issues into the ASEAN forum. We also know that countries in the region probably have a greater impact than what we have that is far away. So it's a broad register we have to play on.
ParlaMint-NO_2007-06-01.ana.ud1321e425	It is an interesting and important interpellation that Solberg’s representative has gone through — about a sudden deterioration in the human rights situation in a country that really has all the opportunities for both development and prosperity. It is a deterioration that requires both our attention and, of course, our action. Vietnam has had an average economic growth of about 7.5 p.m. over the past 15 years, and is one of the fastest growing economies in the world. This has also led to a strong improvement in people's living conditions. In addition to growth and increased trade, exiles contribute about $6 billion each year — money injected into the Vietnamese economy. Almost no country has had such a decline in the number of poor over a short period of time as Vietnam. As the Foreign Minister also said, from a lack of food, Vietnam is today an important exporter of agricultural products. This is also part of the picture. The importance for social and economic development of their peace since they left Cambodia may not be overestimated. Peace is a prerequisite for growth and well-being. But it is also human rights and democracy – at least in the long run. Peace is fragile, and it requires democratic development with a multi-party system, a good system of governance, democratic institutions and respect for the rights of the individual. That's right now reason to worry. Probably there is an internal power struggle in which the Ministry of Internal Security cares about the reform forces. For there is a reform work going on, both in the party and in the central government – a work that Norway also supports, as we heard. It is extremely important that we maintain good contact with Vietnam in this situation in order to ensure that the human rights situation stabilizes and improves. We need to take the repression seriously, and it is therefore also more important than ever that we keep this contact, that we keep pressure on the development of dialogue with Vietnam – including the critical dialogue on human rights. So Vietnam is not black and white, which I also suggested in the introduction. Thus, in addition to the development of well-being and poverty reduction, Vietnam scores relatively high on a recently published peace index. I think it was actually published yesterday. The Global Peace Index from the Economist Intelligence Unit, who has worked with the University of Queensland in Australia, has produced a peace index of 121 countries based on inner and outer peace. Here thrones for the rest of Norway at the top, but Vietnam is 35th place with France. The index measures the level of armed conflicts and acts of war. But the index also measures security and human security, the number of murders, the number of prisoners and violations or violations of human rights. Vietnam has every opportunity to develop into a country where the population lives in well-being and democracy. Then it is important to look at what can create political change in Vietnam – first of all, of course, that we now have an external pressure. Vietnam is also vulnerable. Exports to the United States are important. Secondly, the dissidents play an important role, and we need to respect them. If someone is doing a real job, it's those who stand up and claim human rights internally. They may be few, but they do have all the wind in the sails, even though we now experience a narrowing in Vietnam. Finally – and we should not underestimate that – we also have internal reform requirements in the party. All of this has to play together, if not necessarily on a team. We have to be in. We must contribute to a political and democratic development in Vietnam that builds on and stabilises the welfare, growth and poverty reduction both by targeting assistance and through an important dialogue on human rights. Finally, I would like to mention a very special matter, because the Minister of Foreign Affairs also dealt with trafficking in human beings. When we were in South China, we were told that Vietnamese girls were shutting in to South China to serve businessmen coming up from Hong Kong. Trafficking in human beings is also part of the human rights violations that it is important that we engage in when we have a critical dialogue or when we communicate with countries – including Vietnam.
ParlaMint-NO_2007-06-01.ana.ud1321e445	I will first of all commend the interpellant, who has addressed this very important issue. I am also very pleased with the feedback from the Minister for Foreign Affairs, where he promised to focus on the matter, and where he also explained what has been done on the Norwegian side so far. As mentioned, unfortunately, the human rights situation is now getting worse in Vietnam. There is a lot of evidence that the rulers were driving a short-lived smear offensive, among other things. prior to the APEC meeting last autumn, and in order to increase the qualification for WTO membership. Human rights and freedom of expression and the press are something we who live in a democracy take for granted. Vietnam, however, is not a democracy, but a Communist one-party state in which the population has little or no influence on social development. However, the country has had a very positive economic development in recent years, as the Foreign Affairs Committee saw when we visited the country in September last year. Like its big neighbour in the north, China, the country has developed industrially and today has a large and growing export to the West. This economic development of the country has had many positive and extensive ring-fences and has brought many people out of poverty, as the representative Nybakk was in place. However, it has not contributed positively to either the development of democracy or the view of human rights in Vietnam. Many even believe that economic development has actually dampened the demand for more influence and democracy. In this respect, we can also see clear parallels to China, where it is also said that economic development is dampening the demand for more influence on the population. The increase in the standard of living for more and more people, the fact that most people get better, means that demands for change and participation are no longer so prominent. Nor should we ignore the fact that both tradition and lack of contact with the outside world of most people also contribute to the fact that democracy development has been and is deficient. I am not going to decide whether all these speculations are correct, but I note that the situation of democracy and human rights in Vietnam is alarming and requires action from the world community. One of those who have felt the abuse of power by the rulers is Dr. Pham Hong Son. In March 2002, he was arrested for writing and publishing articles on democracy and human rights on the Internet. 15 months later, he was charged with espionage and sentenced to 13 years in prison and 3 years in house arrest. The worst crimes he had committed were to translate and publish the article "What Is Democracy", which he had found on the website of the American Embassy in Vietnam, and also sent out his own article "Hopeful Signs of Democracy in Vietnam". The trial against him was avoided in record time, where he was also accused and convicted of having contact with other system critics in and outside Vietnam, as well as distributing information such as the ‘maliciously accused state of human rights violations’ mentioned in the charge. Dr. Pham Hong Son, however, was one of the luckiest, and last fall, during the sham offensive, he was released from prison, even after pressure from international organizations, so then «only» remained three years of house arrest from the sentence. This is just one of many examples of human rights violations in Vietnam – which are now increasing in scope. Unfortunately, the development that last year looked to go in a positive direction now seems to have turned around. There is therefore every reason to call out a warning and focus on the situation in the country even more strongly than before. I therefore assume that the Minister of Foreign Affairs and other representatives of the Government have a clear and unambiguous speech on human rights issues in conversations with the Vietnamese authorities.
ParlaMint-NO_2007-06-01.ana.ud1321e471	The extent of violations of human rights and democratic rules is rapidly increasing in Vietnam. Only in six weeks, since the end of March to the middle of May, 15 pro-democratic activists have been convicted in cases that are anything but fair. I'll interpret it, among other things. as that the Vietnam Communist Party will now withdraw the concessions given to the population, under pressure from the international community, while the country was a candidate for the World Trade Organisation and had the world or at least Asia's searchlight on it from the ASEAN meeting. Since it became a member of the WTO in January this year, Vietnam has not pressed the same pressure to reform. We saw the same trend in Vietnam’s big brother in North China. In the pre-IOC allocation of the summer Olympics, China had a great sarcophagus offensive against the outside world and set free prominent political prisoners known in the rest of the world. Now that Beijing is elected to OL-by in 2008, the charm is turned off and increasingly replaced by paranoia for the rest of the world to see the shadows of the regime. International attention and international exposure have an effect. The two examples here are not unique. The best effect is, however, when the repressive regime wants to achieve something, whether it is an OL or a WTO member. Vietnam's 85 million people experience a combination of increased wealth and fewer rights. I also want to add that far from everyone getting to share in the huge economic growth. It must be a great paradox for the Communist regime in Hanoi that it is the most free economies that have the evenest distribution of wealth, and the same is true for the most democratic states. Vietnam is at the bottom in terms of both. It is a major problem for especially Vietnam's most vulnerable part of the population that Doi Moi, or economic liberalisation under authoritarian control, continues. Women and children are particularly affected by the fact that education and health become the means of payment for each individual to participate in the economy. Trafficking young girls and women is also increasing alarmingly. Often it happens while the police and party officers look away or actively support it. As more and more Northmen view Vietnam as an attractive destination, it must be remembered that this is a brutal dictatorship. There is no free press, the 600 newspapers are all state-controlled, trade unions are not allowed, there are no independent NGOs, there is no freedom of religion, and it is a non-existent civil society. The main problem is that human rights violations in Vietnam are not the result of a violation of the law, but that it is because of the law. An increasing number of laws, decrees, regulations and regulations restrict individual human rights and fundamental human rights. Most dissidents are convicted under Article 88, on propaganda against the Socialist Republic of Vietnam, or Article 80, on espionage. These are both vague paragraphs that usually result in severe punishments. This is particularly alarming because we know that many countries in Western Europe, democracies in Asia and the World Bank have spent the last 10 years trying to get the rule of law into the law. Now the law is being used only more strongly to increase the control of the Communist Party. Norway must use its position much more strongly both as an economic contributor and as a respected member of the world community to release political prisoners, or rather, because Vietnam itself believes that they do not have political prisoners, the people who are in prison for their opinions and opinions, because it is a big problem that as a political prisoner one is being taken to be a common criminal. We must fight for greater freedom of religion. In the case of Buddhists, Christians in the northwest or west, and all other religions naturally, the law must be used to protect rights, not to restrict rights. We need to intensify the human rights dialogue and use every opportunity to address these issues, and we need Norwegian assistance to get measures that contribute positively to the human rights situation, the rule of law and a real democracy. Violations of human rights must not be pointed out for the sake of a home audience, but because we actually want concrete changes out there.
ParlaMint-NO_2007-06-01.ana.ud1321e492	I would like, like most of the others who have spoken, to thank the interpellant for giving the Storting an opportunity for an in-depth discussion of human rights and to focus on the fact that many countries, including Vietnam, are not dealing with human rights as they are obliged to under signed and ratified UN conventions. When one from Norway has chosen Vietnam as one of the countries with which we have a formalised human rights dialogue, it signals that we are concerned about the human rights situation in Vietnam and that there is a need for clear reinforcements. I would like to thank the Minister of Foreign Affairs for a very clear position in the answer to the interpellant. The situation of those who work for fundamental human rights in Vietnam, such as freedom of expression and democratisation, is worrying, as many others have said. They are increasingly subjected to harassment and arrests. As late as March of this year, Human Rights Watch reported on the arrest of two human rights lawyers working as spokespersons for putting the spotlight on Vietnam's multiplicity of human rights violations, on which the interpellant was involved. Human Rights Watch also points out how Vietnam, strengthened by international recognition in the form of being admitted as a member of the WTO and hosting the APEC meeting, has now launched the main attacks on peaceful opposition and dissidents of 20 years, as others have also mentioned. In addition, Vietnam is an Asian candidate to the UN Security Council for the period 2008-2009, and in this context pressure should be put on the country to make strong improvements to comply with the UN’s fundamental human rights conventions. This also applies to Vietnam’s relationship with the UN Convention on the Rights of the Child and the fact that so-called social protection centres – or social support centres – run by Vietnamese authorities keep children in custody for a long time and expose them to physical abuse and lack of medical treatment. I know that the Norwegian authorities included children's rights in the human rights dialogue with Vietnamese authorities earlier this year. I hope this was a problem that was also raised. Human Rights Watch has focused in particular on the situation of street children in Hanoi, who are being held in custody in the Dong Dau Centre, where they have to sit with, among others. homeless adults, prostitutes and drug users over periods of up to six months. The report Human Rights Watch, published in 2006, shows that these children lack total protection, and when they leave custody, they are often proposed and are not given any help to return to parents or families. This is a clear violation of Vietnam's obligations under the UN Convention on the Rights of the Child. Another group exposed to human rights violations is the indigenous population. They are persecuted both politically and religiously. One of the groups subjected to such persecution is the assembly houses, which live in central parts of the highlands of Vietnam. Vietnamese authorities force the indigenous people to sign documents where they have to renounce their own religion. Aborigines who continue to practice their religion and participate in religious ceremonies are subject to arbitrary arrest. More than 350 members of the Montagues have been imprisoned since 2001, mainly because of peaceful political or religious activity. I've spent my speaking time focusing on other groups that are subjected to serious violations of human rights, than what was the starting point of the interpellation text. I support the interpellant. But I think it is important to show tension in the abuses, and I would like to encourage that further dialogue between the Vietnamese and Norwegian authorities has a concrete visualisation of an improvement and effective compliance with the obligations of Vietnam by accepting, signing and ratifying the UN's important human rights conventions. The Foreign Minister has shown that both Anne Stenhammer and Raymond Johansen have addressed this in the dialogue with Vietnam. It is important to continue it alongside providing support to those organisations that work for human rights in civil society. One can never get enough emphasis on the importance of building a civil society to respect human rights and democratisation.
ParlaMint-NO_2007-06-01.ana.ud1321e511	The sight of a secret policeman who, by coercion, holds his hand over the mouth of the Catholic priest Nguyen Van Ly to prevent him from shouting out anti-communist poems during his trial, gives a talking picture of Vietnam's attitudes to political opponents. As said earlier in the debate, not many weeks have passed since the old human rights champion Father Ly was sentenced to eight new years in prison. He took up violations of human rights, and he was sentenced to ‘propaganda against the authorities’, as it is called. Two of his employees were sentenced to six and five years in prison. In Vietnam you have freedom of expression as long as you don't challenge the Communist Party. As the interpellant said, in 2006, Thich Quang Do was awarded the Rafto Prize for his efforts for human rights, but he has not been able to come to get the prize. When a Norwegian delegation recently went to Vietnam and visited him, they barely got the price before the police intervened, and the Norwegian interpreter who was there was arrested. As many of the debaters have been in today, it is that in the interview until Vietnam this year was accepted as a member of the WTO, the country worked intensively to give a good impression to the rest of the world. During a period, there was an improvement in the human rights situation in the country. The government released prominent religious leaders from captivity, proposed some law reforms, simplified the recognition of religious faith societies, and ended mainly with organized measures to force people to renounce their faith. But since Vietnam became a member of the WTO, the development towards greater respect for human rights has largely stopped. Unfortunately, there are signs of setbacks, among others. in the event of a serious attack on human rights lawyers, on those fighting for freedom of expression in general, and on those fighting for the right to freedom of belief and freedom of association and assembly. The interpellant mentioned a number of arrests and judges that have been in ours. On 10 May, three human rights defenders were sentenced to five, four and three years of imprisonment respectively by the National Court of Ho Chi Minh City. The day after, the Hanoi People's Court sentenced a lawyer to five years of imprisonment plus four years of house arrest, while another human rights lawyer received four years of imprisonment plus three years of house arrest – a whole series of arrests and judges. Many have responded sharply to this wave of imprisonment. I am pleased that the Minister for Foreign Affairs made a clear statement that this is responding to Norway. It is important, as the Minister for Foreign Affairs also said, that a person reconsiders the use of the instrument. The Czech Republic's first president after the Communist period, Vaclav Havel, has gone out with other dissidents from former Communist countries demanding that Father Ly be released. Norwegian authorities must also work for that. Vietnam's authorities note the protests that are now coming about as a result of a deterioration in the human rights situation in the country. The loss of trust for the Vietnamese authorities is great. Now the outside world has to push. Perhaps this could lead to Vietnam's government releasing some of the human rights champions to dampen the strong international reactions. The Christian People's Party is very concerned about the situation in Vietnam – not least as regards the conditions of religious freedom. That is why I have recently asked the Foreign Minister a question about this side of the human rights situation in the country. As this debate shows, human rights violations in Vietnam are a broad problem. There is reason to ask whether the official human rights dialogue Norway has with Vietnam is working properly. The last round of dialogue was in January of this year, just before the deterioration had become visible, just before the spring prison wave. Has this dialogue become too vague and toothless? Does the repressive regime set for the narrow frames in the dialogue? And how does the Minister for Foreign Affairs think that one can improve this dialogue until the next meeting in Hanoi in 2008? Finally. I agree with the representative Nybakk, who says that trafficking in human beings and a number of violations of human rights are taking place in Vietnam. It is important that a central theme is also addressed in Norway’s dialogue with Vietnam.
ParlaMint-NO_2007-06-01.ana.ud1321e538	As many people before me have said, Vietnam is experiencing strong economic growth. Foreign investment shoots in the weather. The country is now the second largest rice exporter in the world, and Vietnamese farmers are ready to send ever new agricultural products onto the world market. Other sectors, such as textiles and IT, also apply. The economic policies of the authorities deliver good results. Outside, it seems that the country is undergoing major economic and political reforms. But the skin is deceiving. While adapting to an increasingly market-liberalist economic policy, the authorities are tightening their response to the population. Many Vietnamese people have a strong hope that economic freedom will lead to political freedom. They want fundamental democratic rights in line with us here in the West. But Vietnam, like China, has embarked on a course that involves a raging economic development led by an authoritarian communist regime. No political opposition is allowed, and there is little freedom of expression. The regime is striking down on people who are fighting for fundamental rights such as freedom of religion and assembly, as many have mentioned before. Today, the country has hundreds of political and religious prisoners, and torture and abuse are still reported. Furthermore, there is strong pressure on the press, and there is an increasing problem that Western press journalists do not let into the country. The group of dissidents who dare to oppose is subjected to regular harassment by the police. Central instruments include continuous surveillance, house search, computer confiscation and daily interrogation. The left – and I – are very concerned about this development in Vietnam, and I want to praise the Right to focus on the human rights of the country. As the representative of Solberg said, when we visited Vietnam last September, we raised human rights issues in the Foreign Affairs Committee, and we got the impression of some openness and some positive developments. I also want to mention – because I am concerned – this with freedom of religion, and not least this with women and trafficking, which is a very important topic, and which the Foreign Minister, fortunately, also mentioned that there is a focus. I want to take this opportunity to encourage the Government to put an increased pressure on Vietnamese authorities. This can be done through the bilateral human rights dialogue launched in 2001 — and in all other relevant arenas, as explained by the Minister for Foreign Affairs. We must say clearly that fundamental rights are being broken. We have to do what we can to influence the rulers of Hanoi in the right direction. Finally, I would like to point out that the Communist regime in Vietnam is being drawn ever further into the international heat. Membership of the WTO is here a central key. On the Norwegian side, we should bear in mind that, for Vietnam, this clearly presupposes that they respect fundamental civil and political rights.
ParlaMint-NO_2007-06-01.ana.ud1321e564	In the case we had on the map earlier today, I have had the opportunity to comment on how things stand in the world society in terms of fulfilling the obligations under human rights and democratic development. I just want to repeat quite briefly that I think it seems to be an absolute need to further concreteise not least the binding elements of what must be the core elements of democratic development and human rights, and unfortunately Vietnam is a good example of why it is necessary. There are many who have mentioned concrete examples of abuses against dissidents and human rights activists in Vietnam in today's inter-pelling debate. We also receive regular lists of concrete violations from human rights fighters inside and outside Vietnam. So the examples are many. I just want to say – as several others have been involved in – that the efforts of many of these people are incredibly impressive, impose great respect and deserve the greatest possible support. I will nevertheless grasp a slightly different source. A Norwegian journalist student, Ralf Lofstad, was in Vietnam in March this year because, as part of his graduation at the University of Oslo, he was going to write an exam report with the support of the Ministry of Foreign Affairs. He wanted to write about human rights and democracy in Vietnam, and in that case he was going to meet dissidents. He ended up being deprived of that opportunity, imprisoned for 19 hours and had some experiences that he has reported quite comprehensively about in writing. The fact that a Northman is imprisoned for 19 hours is not comparable to what many of those who are dissidents in Vietnam are exposed to. Nevertheless, Lofstad is an interesting source, for he had intended to study exactly what several people have been into here, the paradoxical situation that Vietnam, on the one hand, has opened itself to Western capital and tourism and, at the same time, practises bone-hard censorship, banishment, narrowed religious freedom and persecution and imprisonment of human rights and democracy champions. Lofstad writes in his summary that what happened to him clearly shows how rescued the authorities of Vietnam are for any kind of hers, and that they put in great resources to deal with the ‘problem’, a business that also includes foreign espionage, obviously. He writes: ‘But the enemy image is out of proportion. The number of dissidents spoken inside Vietnam is only a few thousand, who also profess to be non-violent, and the response of the authorities to the pure paranoia.’ One of the things that comes out in the report of Lofstad is a relationship that was also interpellant at the beginning, namely that during the interrogations he was subjected to in Vietnam, he was confronted with the obvious understanding of who he had talked to, where he had been, and which assemblies he had attended in Norway before he left. This is a relationship that strongly occupies our new Norwegian-Vietnamese compatriots. One thing is that the Vietnam regime exports its lack of respect for human rights to other countries, in this case also ours, another thing is that people living in our country should not feel safe that they are not exposed to that kind of surveillance. It's a relationship that I think many people are surprised about, and I hope and believe that many, with both the interpellant and me, think this is such a serious matter that it deserves to be looked at more closely. I also heard the Minister for Foreign Affairs say in his first reply that he took note of it. I hope, at least, that we will be able to assure our new compatriots that they will come to our country in a good way and that they will be able to feel confident that freedom of expression and assembly are real.
ParlaMint-NO_2007-06-01.ana.ud1321e582	I think this interpellation debate has clearly shown that all political parties in Norway support the need to have an active attitude towards the human rights abuses taking place in Vietnam and that it is important to have a dialogue. But it is also important to give clear information about what we think about the developments that have worsened in the last few months. It's dangerous to start relativising human rights. I sometimes think that we tend to excuse human rights violations a little bit of social and economic development. But I think it's important to see that two human rights, namely freedom of expression and the right to try their case for justice, are the basic security mechanisms, no matter what system and well-being you've come to, in order to get a society where people are dry and have the opportunity to express their opinion. These are the two basic things that I think you always have to focus on: the justice system should protect the right to say things, and that there should be an opportunity to express its opinion and influence. And that's the two things that are experiencing particularly difficult in Vietnam right now. Because, although a long time has passed and a lot of money has been spent on legal reforms to ensure the rights of individuals, there has not been far enough progress, and there is still a system of administrative decisions that allows people to be sent both to rehabilitation camps and to mental hospitals. Last year, a lawyer who was a spokesperson for farmers who, in the name of economic development, loses their land and does not have the opportunity to operate any longer, was administratively sent to mental hospitals because he defended the rights of farmers. Although there are few dissidents in number, there is explosive power, both in China and in Vietnam, that makes the Communist parties afraid. One is that farmers are moving because economic development is taking away many poor people from the small livelihood they had. And the second is that the problems of corruption – because the lack of transparency in a society also creates a basis for corruption – lead to mass dissatisfaction, which threatens the communist communities. It's part of the economic development that has the kind of sides. Then I think it's important that we, even though fewer hungers, continue to insist that freedom of expression, human rights and the right to have a fair trial, which all those who are now most concerned with justice through American soap series, know it's called, should apply fundamentally around all countries.
ParlaMint-NO_2007-06-01.ana.ud1321e591	I'll be very short. I think the posts have been good and the discussion has been basically, concretely and practically linked to both names and groups and categories of people who experience a demanding human rights situation. A few comments: The representative Tørersdal was concerned about what we get back for the MR dialogue – does it work? I think that is a fundamentally good and important question. It's hard to give a very precise answer, because after such a dialogue, we can't go in and measure by a barometer or by a statistic what happened. To me, there are two guiding principles. One is, what is the feeling that we're left with over some time of these meetings? What did that lead to? How is it perceived by the authorities, and how does it help to focus internationally and provide us with information that we can use in the processes we are involved in internationally? I referred to the comments of the China dialogue, which I think is an illustration that long-term work produces results. The second approach to that question is, what is the alternative? The alternative, of course, is that we tell Vietnam that we're breaking the dialogue, because we think it's not being followed up the right way, and it's not producing results. I think that in the current situation is a little lucky tool, which I don't think is going to have much effect. We have to stick to dialogue, but we can use it by working on the agenda – with whom we take part in the meetings, what we put on the agenda, and how critical we are around each meeting, so that this does not become a kind of grey tradition that is predictable. That I think must be the way to go. Finally, I would like to thank the inter-pellant, the representative of Solberg, for the debate and agree with what she says about not relativising human rights. I agree. But I think – although it was not a review theme – that her comment on the fact that the left side was almost locked in the image of the Vietnam war was not really very striking for this debate. Here, I believe that the entire Storting – broad – has agreed on fundamental issues relating to human rights in Vietnam and Asia. I also think we've drawn some lines that we must at least include about Vietnam's quite dramatic development since the beginning of the 1980s. There is no excuse or legitimacy for being relativistic towards human rights, but we also need to include it in a broader picture. I think the Stortinge in this debate has been basically, written into the tradition that different governments have followed the same course. I think we'll be able to have a common Norwegian front in these important principal questions.
ParlaMint-NO_2007-06-01.ana.ud1321e606	That is when the debate is on case No. Two over.
ParlaMint-NO_2007-06-01.ana.ud1321e624	This interpellation could also have been addressed to the Minister of Knowledge, who has been responsible for the declaration in the Council of Ministers. But since it is the Minister of Culture who has the responsibility for language policy in Norway, and he is also working on his own report on Norwegian languages that will come to Stortinget, I thought it was right to correct the interpellation with the Minister of Culture. It is the language that constitutes us as human beings. It is the language that is the bearer of culture and tradition. Without language, we would be both cultural and historyless. If we lose our understanding of language, we lose much of our culture and identity. ‘If we are to be able to maintain and further develop a living democracy in Norway, it is crucial that we have a common national language that is used in a good, clear and appropriate way. A well-functioning national language is also important for security, efficiency and resource use in all areas of society.’ This is a quote from the introductory part of the study ‘Norwegian in a hundred!’, which the Language Council is behind, and which will form the starting point for the big message we are going to receive. The investigation has therefore been carried out by a separate group set up by the Language Council. In addition, the investigation states: ‘The existence of Norwegian as a language is not trusted today. When we look at how the entire Norwegian community today is based on Norwegian languages, we see it as very unlikely that Norwegian will disappear in the overcrowded future. However, important areas of society may be lost to English. In these areas, therefore, action needs to be taken.’ This was also a quote from the introduction. An area in which Norwegian language can be lost is like professional language, as academic language. The Declaration adopted by the Nordic Council operates with three definitions for languages in the Nordic region. First of all, it's the social languages. There are six languages that are defined as community-supporting, they are complete, and they are used officially, such as: in education and legislation. Secondly, there are the state-supporting languages, which are defined to be Norwegian, Finnish, Danish, Swedish and Icelandic. Thirdly, we have minority languages. There are over 200 minority languages in the Nordic region. The Nordic Language Declaration takes as its starting point the right of all northern residents to learn a community language. I guess this is the easiest thing to do with the whole declaration. Secondly, they have the right to acquire the understanding and knowledge of a Scandinavian language, Danish, Norwegian or Swedish, in order to participate in the Nordic community. Thirdly, the Declaration states that one should have the right to learn a language with international scope, and fourthly that minority speakers should develop their native language, that we should facilitate it. In this context, our challenges, as I see it, are linked, first of all, to facilitating the Norwegian people to learn about and use either Danish or Swedish in addition to their native Norwegian language. Secondly, how should a strength of Norwegian and Nordic languages be a language of science? And third, what is our responsibility, and how are we going to take our responsibility seriously in relation to the minority languages in our community? With minority languages, I think not only in Sami or female, but also in the new languages that are the result of immigration into our language area. Knowledge of neighbouring languages has become poorer, shows studies. The Nordic Cultural Fund had a study that was presented two years ago, I think it was. It shows that knowledge of neighbouring languages among young people has deteriorated compared to similar studies for some years ago. Norwegian youth does better than young people from Denmark and Sweden; Norwegian youth have more knowledge of Danish and Swedish than Danish and Swedish youth have about their neighbouring languages. That's good, and we'll be happy for that. Nevertheless, we are going to take this development seriously, and there are several measures that should be taken at the same time, as I see it. Firstly, it is important that we strengthen language training in neighbouring languages at school. We need to stimulate the use of texts in neighbouring languages in Norwegian schools, both primary and secondary schools and also in higher education. Secondly, it is important to get involved in teacher training. I think it's incredibly important that Norwegian teachers get more knowledge of and spend more time in the studies reading texts, acquiring knowledge and skills about neighbouring languages. Thirdly, it is important that access to literature in the neighbouring languages of Norway in Norwegian bookstores and libraries is improved. Fourth, the exchange of classes and students between Nordic countries is important in order to strengthen and increase knowledge of neighbouring languages. Fifthly, we must take action in relation to the Nordic languages as scientific languages. Moreover, we must also have a policy and be clear about what we want in relation to minority languages. The declaration is clear that we have a responsibility for the 200 minority languages that exist in the Nordic countries. The declaration states that there will be competence, there will be environments of expertise that can take care of and participate in and develop these minority languages. This is a common Nordic responsibility. I clearly realise that in Norway we cannot have skills and knowledge and training provision around our higher education institutions in all these 200 minority languages, but in a Nordic context it is important that we find cooperation between the Nordic countries so that one can jointly take responsibility, that one maintains competence, knowledge and education in these minority languages. In addition, it is also important, in my opinion, that we develop further the mother-in-law offer around Norwegian educational institutions, so that those who belong to a minority language group can get a good and a proper mother-in-law offer in Norwegian school. Finally, the scientific language – the Nordic languages, the Norwegian language as a scientific language, as used in academia. This is probably the area where the Norwegian language and the Nordic languages are most threatened. We see that we lose grip on professional terminology, because Norwegian and Nordic languages are not valid enough around in many disciplines. That's why it's absolutely crucial that we be able to take care of the Nordic languages and develop the Nordic languages as scientific languages. Then I think that if we're going to make it, maybe the most important thing we can do is to increase cooperation between the different educational and research institutions in the Nordic region. There are major challenges, but it is important that action is taken in Norway, so that the language declaration can be implemented in a good way, and that we can strengthen the Nordic languages.
