ParlaMint-NO_2007-06-05.ana.ud458e51	The representative André N. Skelstad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-06-05.ana.ud458e181	Let me first thank the case rapporteur for the job that has been done. There has certainly been a demanding process. The most demanding process was enough before the notification came, internally in the Government and among government parties. There has been talk of trying to reach a broad agreement on this message. I haven't seen that much. For what has been the goal of the government parties, it has actually been to stand fairly united behind the message that exists. I think it's a pity you couldn't make a broad deal in such an important matter. Fishing is one of the most important industries in Norway. If you take the seafood together, it was probably exported in 2006 for 36 billion kroner. In other words, it is a very important industry. It is an industry that is the lifeblood of very many communities along our coast. It is also an industry which is on its own economic level, a non-subsidized industry. I think you should be proud and happy that you don't have the same framework conditions as other industries that produce food. Of course, it is also an industry that requires good and stable framework conditions. If one compares the fishing industry with some other industries, for example: the oil and gas industries are tax-adapted industries, if necessary. Snow White is an example in that way, and we thought that was right when that debate was up. Power-intensive industry today has some favourable power agreements. If the government gets more in place, the time will show, but it will show that the industry has favorable conditions. Shipping has a net pay-as-you-go system. And Norwegian farmers get subsidies in the tens of billions of dollars class, in the form of direct and indirect support. What the fishing industry is experiencing is, unfortunately, changing framework conditions, constant changes and deterioration, NOx taxation, and political uncertainty at all. This policy has been pursued and addressed to a greater extent in the Communication. So especially in this case with an unlimited allowance that has been introduced, the government is making a change with retroactive effect. It is clear that changing the policy so radically affects those who have made great investments in good faith. There is considerable uncertainty in the industry as to what kind of policy will apply at all times. As the government parties write in the setting, they believe that the Government is ‘on a secure legal basis’. It is well possible to do so, and that you have legal cover to do this. But what about the moral side of what you do? As we assess it, it is simply a matter of creating political contempt when you can change the framework conditions as radically as the Government does here. I like to see those who dare to go into this industry with big investments. It will also be a constraint for those who want to enter the industry, when you can treat the industry with such changing conditions from one moment to the next. Then time limits are also imposed on future allowances. Once again, this will lead to uncertainty. What's going to happen to the quotas that you get after 20 years? What will the image look like when all allowances are redistributed? It is also creating changes to the framework conditions, and it will ensure that those who want to enter into new projects will be deterred from simply drying out to invest, because this changes all the time. It also contributes to the maintenance of overcapacity. For part of the purpose of structuring is just to get rid of the overcapacity that is. This is only being extended, and business and socio-economic overcapacity is being maintained. It is worth noting that the government parties believe that the finance industry is behind this. But as the opposition parties have referred to in the setting, it's a total financial industry that is going against what's happening now. It doesn't listen to the government parties at all, and that's what we're sad to register. So the government makes an interesting grip. Structures are being initiated for the vessel group below 15 metres. We think that's essentially interesting, and we were essentially positive to it. But it's not to hide that we've got a number of enquiries at that particular point. Around the entire hearing held by the Business Committee on the structural issue, we received warnings against making these changes. The Association of Norwegian Seafood Farms and the Association of Fish Purchases, which together organises 230 farms, opposes it, the Committee of the Regions opposes it, the Land Association of Fisheries and Aquaculture, the FHL, opposes it, the Sameting goes against it, the Coastal Fisheries Team goes against it, etc., etc., etc. I could spend a lot more of my speaking time telling about everyone who opposes it, even in terms of municipalities and county councils that have gone against this structuring. We think it's so good and important notions that come, that we actually want to listen to them. And here I think the big difference between the Advance Party and the government parties is. We listen to and talk to the people and industry, the government parties talk to them, they dictate what this is like, and they don't take over the recordings that are coming. And you can ask the question: what in the world is the point of having a hearing in the Stortinget, when nothing comes out of it and it's such a massive demand from a total industry in reality that doesn't want structuring for the ship group under 15 meters, until at least you've been able to find out what it is? I have to say it amazes me. For this reason, we have proposed that the impact of this should be assessed in a consistent manner before action is taken. The government is so uncertain about how this will work that it also writes in the Communication that this will be evaluated in 2009. In other words, you're going to have to structure a little bit, and you're going to have to figure out how to change the industry again. I have to say we are disappointed that the government parties could not take this on board and at least get it determined before taking such a big step. There are a number of coastal communities that depend entirely on this fleet group. So we hope that the government parties think about one more time before doing anything like that. One of the proposals that the opposition also addresses is the recruitment of the fishing fleet. Now, in my article, I have pointed to the uncertainty that the Government and government parties are applying to the Norwegian fishing industry. You can ask the question whether there is any reason to initiate recruitment measures at all. I think there'll be a lot of people thinking about both one, two and three times before they go into an industry that is experiencing so much changes in the framework conditions, almost from hour to hour, as this government is applying them. We think it is right to complete what the Stortinget did in 2005, under the previous government. Then there was a total accumulation asking for a model of recruitment quotas for young people. We think it is important that it is followed up. So far, the government has done nothing about this. That is why we are promoting a proposal asking the Government to speed up this work. And so we found this proposal in the Soria Moria declaration. It is quite remarkable that the government parties are unable to support their own proposals, which are set out in the Soria Moria Declaration. There is evidence that the fisheries policy is completely out of course — both at the Government and at the government parties at the Stortinget. So I'd like to address the proposals no. 7 and 8, on which the Progress Party stands alone, and proposals Nos. 1–6, which we have with the Right Party, the Christian Party and the Left.
ParlaMint-NO_2007-06-05.ana.ud458e216	The representative of Øyvind Korsberg has taken up the suggestions to which he referred. It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e221	I find it very interesting to hear that the representative of Korsberg is so pessimistic on behalf of an industry that is now going, so it laughs, as what he just said. We have seen that the Progress Party has gradually changed its view of fisheries policy. It is in itself gratifying that the party recognises the need for regulation of the fishing industry — not always the case — and that they now rely on the policy of former Minister for Fisheries Ludvigsen, from the previous period. I find it interesting to hear that the Progress Party now requires an impact assessment of the structuring of the group of ships with a length of between 11 and 15 metres. God sounds to help me out as if the Advance Party is like any other party – Left, for example. – in this area. Actually, this is hitting yourself on the mouth. I have to ask the representative of Korsberg: can he remember that there were such impact assessments in 2003 – not to say in 2005, when the permanent quota system was introduced?
ParlaMint-NO_2007-06-05.ana.ud458e232	It is a little sad that the rapporteur has not got the massive input into structuring for the fleet group of 11 to 15 metres. During about the entire hearing — for many hours — we were warned about the structure that the Government is putting up with. Obviously, the representative Gullvåg house has passed by. Afterwards, we have received daily e-mails, letters and telephones – enquiries that warn against this structuring and that are requested at least to be properly investigated. That is why we are promoting a proposal to have it assessed. As I said in my main post, we're talking to the people, not the people. The structure carried out in the previous period was positive to the industry – to eliminate overcapacity and to achieve profitability at the whole fleet stage, simply.
ParlaMint-NO_2007-06-05.ana.ud458e247	When Minister for Fisheries and Coastal Affairs Dag Terje Andersen presented the Government's structural message to the fishing fleet, the Progress Party was quick to criticise the work. On the same day the party sent out a press release saying that the message should have gone further in structuring the fleet of ships between 11 and 15 meters. When we were given the changes in structural policy in 2003 and 2005, the Progress Party was the main supporter of the Bondevik II Government and the then Minister for Fisheries Ludvigsen's proposal for change. Even then, the Progress Party wanted one to go even further in structural policy, especially in the case of the smallest vessels. One even said that the structural quota arrangements were to ‘apply to all categories of length within the coastal fishing fleet and not only to the two highest length groups’. It is my opinion that if the Advance Party had been able to see through its vision, we would have had a much smaller chess fleet than the one we have today, and we would have been able to see the end of that fleet. Is the point of view of the Progress Party in structuring vessels below 15 metres, pure populism, or is it real policy? That's my question.
ParlaMint-NO_2007-06-05.ana.ud458e258	If that's what the representative Breck says – that if the smallest coastal fleet had been structured in 2005, you would have had fewer vessels – that means that what the government is doing today is a structure for fewer vessels. So here, maybe the representative Breck should think about it. When we supported the Bondevik II government in 2005, it was based on the need to reduce overcapacity. In reality, an overall industry also agreed that it was necessary to do some work in order to achieve profitability — and to reduce the overcapacity at the time. This we were also positive to when the government presented its structural message in ours. But when we get so many shots – so many warnings – about structuring for ships less than 15 meters, we, as politicians in the Progress Party, think it is important to listen to those who make that kind of argument. We take them into account by asking for more time before we conclude, and by getting this question resolved.
ParlaMint-NO_2007-06-05.ana.ud458e267	The representative of Korsberg believes that the entire financial industry is concerned that the system of the everlasting quotas will be brought to an end. I am not surprised that a bank will have as long as possible security for its loans. With regard to previous unit allowances granted for 13 years or for 18 years — and also for others — there has been no problem in obtaining funding for boats and equipment, if otherwise there are normal conditions. After a study trip to Iceland, we know, for example. that Glitnir Bank says to them it's okay. Most of the loans they give to fishing fleets are between 10 and 15 years old. When the Progress Party regrets this so much, will I ask: is the Progress Party most concerned with the concerns of the financial industry, or are they concerned about creating a political space for action by changing the system of the eternal allowances to 25 years for those who have been allocated these quotas earlier and to 20 years for new allocations?
ParlaMint-NO_2007-06-05.ana.ud458e276	What we are most concerned about is the many thousands of jobs that will be put at risk, whether they are at sea or on land. These jobs are to be financed: some have to finance them. When we dealt with the structural issue, we received clear warnings in the hearing about the policy pursued by the Government, both in terms of retrospectiveness and in terms of the structural length of the quotas that will be allocated. So there's someone who's going to finance them. And if there's no one who's funding what's going on in the fishing industry, you really don't have a fishing industry. Then you would lose hundreds — perhaps thousands — of jobs. It's the coastal workplaces that worry us first and foremost. And then when key actors, who are going to finance this, come with so clear warnings, we think that's all reason to listen to exactly them.
ParlaMint-NO_2007-06-05.ana.ud458e281	The cord shift is over.
ParlaMint-NO_2007-06-05.ana.ud458e284	If we disregard the government's introduction of the NOx tax, this notification is the biggest and most important fisheries policy issue we have to deal with during this period. This is a matter that will have consequences for industry for years to come, at least until 2009. It is almost two years since the Government announced full stop in the structuring of the fishing fleet and that it would bring down a so-called rapid-working sample, the Structure Selection. The committee has been working for almost a year. In addition, the government has spent almost a year getting the matter through in Stortinget. That means that half the accumulation period has agreed to decide on this matter. During this period, the framework conditions of the fishing industry have been unexplained and unforeseeable. The fishing industry needs above all predictability. Then it is unfortunate that the government parties today push the matter through in Stortinget without lifting a finger to achieve a settlement that could stand firm beyond this downtime. The right has listened to the industry’s need for stable framework conditions. We have agreed on several occasions to make a broad settlement. We have written letters to the Government and offered adjustment of key principles in our own policy to give the fishing industry a broad deal. But conflict within the government – including in this case – never became a real process between the government parties and the opposition in the Stortinget. The opposition was, in effect, only invited to vote in favour of the Government's proposal. As a result, the government has spent half the time looking for its own policies and failed to ensure longer predictability with today’s decisions than until 2009. I therefore fully agree with Mr Nilsen in the Fiskarlag as in the Fiskarbladet on 2 June asks about the purpose behind this whole process. The profitability of the Norwegian fishing industry is generally good, although it varies from fishing to fishing and between industry and fleet. Employment has increased in recent years. Seafood industry had a record year in 2006, with DKK 35.6 billion in exports. Fisheries represent about half of this. The efforts of many small and medium-sized enterprises across the coast generate these revenues. In many coastal communities, these enterprises are central to employment and housing. Stable policy framework conditions are essential for business operators to invest in vessels and increase their quota base in the million class. Large investments to be financed and defended financially over time must have a longer time horizon than a major period. In the past, there was a possibility of structuring into several fleet groups to ensure profitability. A modern fleet provides recruitment and a more robust settlement along the coast. The right is critical for the Government to halt the use of the structural quota system from 20 October 2005. The scheme was stopped for nearly two years, with an alarming and partly false justification for the lack of legitimacy of the fishing industry. The time after the structural freeze has shown – among others. through the involvement of industry, the debate in the media and in the work of the Structural Committee – that a global industry has supported the fisheries policy under the leadership of the previous government and that of changing governments before it has been in place. An entire industry has therefore had to wait with necessary investments and strategic decisions because of a matter that has been unsolved internally in the red-green government for almost two years. It is then with great wonder that, after almost two years of reflection and debate between the government parties, it is now concluded that around the same structural arrangements that were stopped in 2005 will start up again. They are even to be expanded! For those who remember the election campaign in 2005, the violent attacks on the structuring of parts of today's government party, this becomes a very strange turnaround. In this setting, in fact, all the parties on the Stortinget, including the Socialist Left Party and the Center Party, establish that the principle of buying and selling allowances through so-called structuring is an appropriate instrument to increase the profitability of the fleet. This is a very important recognition that the Right fully supports. Although the Right wants to go further, it is good to finally reach consensus around the main direction and recognise the need for structuring in the fishing industry. The right is also satisfied that the Government proposes that a vessel be able to be structured as low as 11 metres, and the right will support this proposal. It is important that this group also has the same opportunities as the larger groups have had to increase their profitability. In view of the fact that the Centre Party, SV and parts of the Workers' Party have had a tough resistance to structuring as a tool until the 2005 elections, there must be more in the camp that has really seen the light during these two years of structural freeze. Nevertheless, some elements have been weakened in relation to the scheme that was stopped in 2005. The consequences of tying the length of structural quotas to 20 years, as proposed by the Government, include: that companies with a low allowance base will experience significant fluctuations in the allowance base when the time period for the structural quota is over and the allowance shall be re-allocated in the pool. On the other hand, the Right is in favour of the Government introducing tax reliefs to structural fishing boat owners by receiving tax deductions as vessel quotas are depreciated. The main organisation of the financial industry was clear about the uncertainty it creates to introduce a 20-year time limit when they were at consultation in Stortinget. The time limit on structural allowances, as proposed by the Government, with a setback to the Group will not result in greater democratic control or less privatisation of the allowances. The government's arrangement is only about how the allowances should be distributed within an already closed group. This shows that the government parties are largely engaged in rhetorical and ideological misrepresentation of their own and the principle position of others in the fisheries policy. There shall be no more fish in the Community of the re-allocation of allowances from one vessel in 20 years' time to other vessels in the same group. The right therefore believes that the position of the Bondevik II Government that structured quotas should be time-limited is a more optimal position and should be continued as a Norwegian fisheries policy. Furthermore, the Government proposes to lower the quota ceiling in the coastal fleet, towards large parts of the industry’s perception. Lower quota ceilings will weaken the basis for profitability and the ability of coastal fleets to renew. The right considers that there should be a cap on allowances but does not support lowering of the limits. Perhaps the most serious thing in this case is that the government proposes that structural quotas purchased with a time-limited duration and structural quotas that have been delimited with a curtailment up to 40 p.m. are now retroactively limited to 25 years. Thus, the government changes the rules of the game along the way, and all those who have made large investments based on previous decisions feel led away. In the evening post on 4 June, we can read that a dozen actors are notifying lawsuits against the State because they believe that the proposal is unconstitutional. For the Right, this is not primarily about jus, but about the fact that the population should be able to expect that when the Stortinge makes a decision, it will not be retroactive when it changes. How are enterprises to make large investments when, on the next day, the assumptions for the entire investment base can be changed? The Government has not made any concrete proposals on changes to or winding up the district quota system. All experience suggests that the scheme has failed. The scheme is unpopular in industry and helps to reduce the profitability of those who have to issue allowances under this scheme. A rapid closure of the district quota system is therefore, in the Right’s view, a good contribution to ensuring light in coastal buildings. In the Communication, the Government states that a stable distribution between vessel groups is a fundamental prerequisite for structural measures to have the desired effect. This principle fully agrees with the right, and we agree with that in the setting. On the other hand, the Right is critical that, contrary to this principle, the Government has distributed new allowances in the Industrial Radiation Group for the removal of beam trawl quotas. If we are to sum up the fisheries policy after half-way work by the government of Stoltenberg II, we are left with a discarded structural freeze of almost two years, with framework conditions being changed retrospectively, with the introduction of an unnecessarily burdensome NOx tax, with a non-functioning district quota system, with a debate on rigid supply conditions and with a fishing industry which is increasingly discriminated against by a net pay regime for a competing shipping industry. In addition, in the revised budget, the Government is in the process of seizing half of the industry’s own research fees after pressure from the Bondelag. In my opinion, this has become a series of small and large faults, which would have been largely avoided if the government councils and parties had taken the time to engage in dialogue and cooperation with the fishing industry. I think the fishing industry deserves a better treatment of the government, which claims that the marine industries are among the country's five most important industries in Norway. There was broad support in the fisheries industry for the fisheries policy managed by the Bondevik II Government. A good dialogue with industry is central to shaping a forward-looking and stable fisheries policy. In conclusion, I would like to address the right-wing proposal referred to in the vote.
ParlaMint-NO_2007-06-05.ana.ud458e341	The representative Torbjørn Hansen has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e347	The previous government changed the 2005 regulations on buying and selling quotas without going the way about Stortinget. I record that the Right Party, the Christian People's Party, the Left Party and the Progress Party in the setting wrote that they were some in this, and that there was no need for treatment in the Stortinget. The changes led to the most capitalist operators in the fishing industry being able to buy allowances for eternity, and at prices that only the fewer had the possibility to join. Fortunately, this is being changed, but I confirm that the Right is still stuck in its policy. I'd like to ask Right if they can explain why they think it's right that only the most wealthy in the sea and coastal fishing fleet should be able to own the fishing rights in the future.
ParlaMint-NO_2007-06-05.ana.ud458e356	I would first like to say that the fisheries policy of the previous government was well anchored in the Storting and fisheries industries. This government's fisheries policy is anchored in a marginal majority in the United Kingdom, but not in the fishing industry. In the case of fixed-term allowances, as the representative Eldegard asks, I think it's a very strange argument when it's such that once an allowance is limited to 20 years or 25 years, it's suddenly part of the community's property, while if it's time-limited, it's a privatized quota. The reality is that all vessel quotas currently in the Norwegian fishing industry are initially time-limited. Those that are now time-limited are re-allocated to a group of other allowance holders. So these allowances are never within the community. Making a big ideological case out of this in relation to the government parties' reluctance to privatization, I think, must be based on a misunderstanding.
ParlaMint-NO_2007-06-05.ana.ud458e363	Today, there is full access for two ship owners to cooperate, in such a way that they both participate – first on one boat, then on the other boat – and thus cancel the quotas. So they can join forces to catch the fish. Then they get the safety that lies in being two on board a boat, instead of being alone – in all kinds of weather. The right now proposes the introduction of a co-fishing system as a separate scheme. Then I would like to ask the representative Hansen: is it so that the Right does not see that it can mean that young people who board small boats as a crew can lose an arena for recruitment to the profession?
ParlaMint-NO_2007-06-05.ana.ud458e370	Recruitment to the fishing profession is important, although it has obviously become quite capital-intensive to start from scratch. This is right-wing, and in the setting we have underlined the need for, for example: to put in place recruitment quotas, which we record that the government parties have so far not been willing to accept. In the case of a joint fishing system, we believe that it is fully compatible with a new recruitment policy, and do not see that it will hinder recruitment to the fishing profession.
ParlaMint-NO_2007-06-05.ana.ud458e377	The right criticises the government parties for not being willing to settle the issue of structural policy. The question might as well be put back: What has the Right Party contributed to a settlement? They have not been interested in having a discussion on the question of privatisation of fish resources. In many contexts, the Right stresses that they agree that fishing resources are a Community resource. I have to ask the Right: what does the Right mean by that, when, at the same time as they defend the continuation of eternal quotas for former structural quotas, they defend a privatisation policy? It is not so unexpected, of course, that they defend the privatisation policy of the former government. My question is: does not the representative Torbjørn Hansen see that when the Right is in favour of eternal quotas and privatisation, is this contrary to the principle of Community resources?
ParlaMint-NO_2007-06-05.ana.ud458e386	As I said in my speech, the Right has been very concerned about ensuring a broad parliamentary basis in this matter, not because we are particularly in agreement with the government parties, but because we see it is important for the fishing industry. For this reason, the right has, among other things: sent a letter to the Minister for Fisheries where we have offered to negotiate in order to arrive at a parliamentary settlement, and we have also had contact in the course of the debate to see if there was a basis for such negotiations. I record with considerable disappointment that at no time has there been any access to processes to find such a parliamentary basis. This means that the predictability of what we are adopting today has a potential date stamping to 2009. As regards the issue of the privatisation of allowances, time-limitedness and time-limitedness, I would like to say that it is rather strange that the representative Breck believes that time-free allowances are privatisation, while fixed-term allowances to 25 years that go back to the same fishermen are not privatisation. I have great problems seeing the fundamental and ideological difference in it. We have also offered to discuss different arrangements that have a time-limited effect, in order to arrive at a settlement.
