ParlaMint-NO_2007-05-31-upper.ana.ud988e60	There is no record.
ParlaMint-NO_2007-05-31-upper.ana.ud988e286	There are a lot of things that we have to approach ourselves with a principal starting point, things that are bad for personal confessions, as we've heard part of in this case. I'll give praise to Inge's salary for a reflective, principled and informative post, as opposed to some others. I disagree with what Inge Wage says, especially about research on fertilized eggs. I disagree with his analysis and conclusion. We believe that the option is to destroy. That's what's the alternative. Either you do research on fertilized eggs, or you don't do research, it's about destroying in the last round. Then I find it difficult to understand that doing research on fertilised eggs should be wrong and can carry on wrong places. What I think has been difficult with this matter is what concerns preimplantation diagnostics. That's the hard part and the hard part. I have a great sense of Inge Wohnning's language when he talks about terms such as'sorting' and'selecting' in terms of the type of diagnostics in which you are looking for certain characteristics that you are going to get out and carry on. There it is perfectly legitimate to use terms such as ‘sorting’ and ‘selecting’. This is the theme that has created the most problems and that I think has been the most difficult. The proposal on the table is that Odelstinget be asked to table the bill. It's also a little problematic, because I have no ethical or principleal concerns about parts of the bill, while there are other parts that are very problematic. I will follow the case further and listen to the debate before I conclude with how I am going to vote in the last instance, because what is about preimplantation diagnostics is just going on my integrity, my basic understanding of what is right, and what is wrong.
ParlaMint-NO_2007-05-31-upper.ana.ud988e298	I think the matter has been presented in a good way from both sides. The reason why I chose to take the floor is that I want to say that when some representatives from this pulpit talk about their human vision and in that way – I believe – say that you do not agree with the introduction to the representative, that means that you may have a human vision that is at least dissatisfied with that person. Then I might try to be a little bit mild about how I express myself. For me, having a good view of human beings is being busy helping their fellow human beings, helping the family, and others who need help. Then, in fact, I think continuing to research to help these people is important. I think it's important to be able to help people who are sick, if there's technology and opportunities for it. I see, of course, the dilemmas that some people have had about how far you can go. But I feel that both the Council of State and others have made this very clear – that is also the basis for the treatment – that it should be done in a safe and proper way and that it should: be carried out within ethical standards and good official control. I am therefore not afraid that it will be the consequences of the law decision we are now making. I therefore do not want to go for the proposal of the Christian People's Party and the Right. I'm not going to define what others think about having a good view of human beings, but for me, a good view of human beings is to be concerned about helping all people, because we're actually sitting in this assembly and we're going to make decisions that can help others. For me it was quite difficult to hear about Mehmet. I have registered that someone believes that here we have not managed to do anything, it might be. For me, it was at least the time we had the matter up, important and good to experience that you have the opportunity to help individuals and individuals by allowing technology that can either make sure that people in the future can get help for their disease, or actually make sure that you don't get a disease. That's what this is all about. That is why I think the majority proposal is a good one, and we are going to support it.
ParlaMint-NO_2007-05-31-upper.ana.ud988e307	This is a debate that is full of dilemmas. When one sits here in the hall and listens to this debate today, on the one hand we get to hear about selection and sorting, about a very hard and brutal society. On the other hand, we are told that we must allow research that can help our fellow human beings. This is a matter that is not simple, if one takes one or the other position. As most people will be familiar with, this has been a difficult matter for the Center Party. It was said in Odelstinget when the matter was up there – I'm just going to go ahead today – that it is difficult for us, but we have sailed the countries along with the rest of the Government in this area. The program of the centre party is really clear, it says no to research on fertilised eggs and no to preimplantation diagnostics. Then it is obvious that most of us in the Central Party Group would have had a somewhat more restrictive law than the proposal that is currently in the Creation. This may also be the case in other cases and in other groups of parties, that there are different views and ethical considerations about which assessments one finally supports. The Government Declaration opens up research on surplus fertilised eggs and limited use of pre-implantation diagnostics. Furthermore, a legislative proposal will be in line with the Stortinge decision of 9 June 2005. When one takes into account the programme of the individual parties and previous decisions in the Stortinget, one will see that there is probably a majority for a more liberal law than the legislative proposal currently under consideration. – Now I see that the minister agrees with me. Therefore, limited use of PGD is very important, and therefore the concept of seriousness has been the subject of careful and in-depth discussions. Here the new bill differs from the law that applies and is practiced today. I would like to stress that a new name will be considered in the light of new rules. The proposal may, in specific cases, restrict the assessment theme of the denominator. The background to this is that the proposal provides for the legalisation of the concrete need to focus on relieving treatment, prevention or life-long treatment in specific cases. Such an assessment does not underlie the law in force today. The legislative proposal introduces liberalisation in an area by opening up research into surplus fertilised eggs. At the same time, the legislative proposal will be a narrowing in specific cases when examining applications for PGD and PGD/HLA, because the conditions for approval have changed.
ParlaMint-NO_2007-05-31-upper.ana.ud988e320	Most of the arguments in this debate have been excellently promoted by the Labour Party, the Progress Party and the majority that is here. I want to say a little bit about preimplantation technique, because it's a little taboo to talk about, and so not all arguments are heard. There are very few people who really know what this debate is about. For me, this is about the possibility of having children when you really can't have them. Because what happens when you can't have a child because of a genetic defect? Well, you get pregnant, you want to have a fetus that's not compatible with life, you go into pregnancy, four, five, six, seven months, and then you give birth artificially, that's when you give birth. Some believe that you should go out with the child who is incompatible with life. I certainly do not believe that. Then you are told that you have a diagnosis that is incompatible with having children, and you are told that you have a higher risk of spontaneous abortion. Such a couple would like to abort six, seven times before they – maybe – have a viable child. It's stressful for the couple you're dealing with, physically and mentally. Many give up and start an adoption process. Some people hope they have a child every time, they hope for the third month, and they hope for the fourth month. In addition to this process, we have the system of denominators which means that they must be interviewed before they have an abortion, with the burden of waiting to know if the child is viable or not. That's why I'm in favour of preimplantation techniques, because you can help medically parents who really can't have children to have their own children. I think we should use the medicine for the best for these parents. This is a taboo theme, and therefore no one is talking about this.
ParlaMint-NO_2007-05-31-upper.ana.ud988e329	I just want to respond a little bit to the representative, when he says we should approach this principle. Yes, I have approximated this in principle. I came to a principle position through personal experience. There are personal experiences – which I have had at heart – that have made me think that the majority in Odelstinget have done and that my party group has been in favour of is, in principle, correct. I hope to have respect for that.
ParlaMint-NO_2007-05-31-upper.ana.ud988e334	No wage has had the word twice and gets the word for a short note of up to 1 minute.
ParlaMint-NO_2007-05-31-upper.ana.ud988e337	Two brief notes. Inger S. Enger referred to the representative's posts in the Odelstinget with a presumption that there may be a majority in the Stortinget for a more liberal law than the one contained in the proposal. It is a guess that, according to my concepts, has little in common. There is more that speaks for the opposite assumption, namely that due to party constellations and government cooperation, the knitting has been done much longer than it really is covered for by the staging representatives. Because of this cooperation, the centre party has been forced to oppose what they have programmed and on which all representatives of the centre party have been elected and committed to their electorate. Fortunately, this does not happen often. So a little note to Rolf Rikvam. I understand very well his dilemma when it comes to voting. Let me therefore state that when the proposal has the wording it has, it is because I have received very good technical assistance from the administration of Storting. It is this formula that is used when the Creation rarely sends a case back to Odelstinget. It means nothing but that Odelstinget has to re-examine the matter. As far as I understand, the position of Mr Requam is, in fact, the same as that of the Left, and the Left has indicated that they will vote in favour of the proposal.
ParlaMint-NO_2007-05-31-upper.ana.ud988e346	Several have not asked for the floor on case No. 3rd@item: inlistbox Let's go to voting. On behalf of the Right and Christian People's Party, the representative Inge Wohnning has put forward the following proposals: ‘The decision of the nodule is not accepted. Lactation Note: ‘It is recommended that Odelsting should submit the proposal.’» The President has understood that the Left will support the proposal.
ParlaMint-NO_2007-05-31-upper.ana.ud988e368	The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-05-31-upper.ana.ud988e382	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The Act will be transmitted to the King in accordance with the Constitution.
ParlaMint-NO_2007-05-31-upper.ana.ud988e398	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-05-31-upper.ana.ud988e414	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
