ParlaMint-NO_2007-12-17.ana.ud1745e106	The representative of Asmund Kristoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-12-17.ana.ud1745e294	The Council of State said in its speech that she fully shares the Committee's concerns about the fight against illegal fishing, and I think that is good. What is the result of the government’s financial priorities for the budget in 2008 is a reduction in the number of sailing days – as I was in my post – of about 20-25 pst. The Coast Guard is worried and you don't think you can do the job you're set to do, well enough. I could imagine asking the Council of State whether there's a professional justification or economic priorities that will reduce the Coast Guard's budget. And is control in the Barents Sea getting better with a reduction in such a magnitude?
ParlaMint-NO_2007-12-17.ana.ud1745e301	This government has actually strengthened the budget of the Coast Guard in the State budgets for the previous two years. We have not reduced the appropriations for the Coast Guard in the 2008 budget. It's true that if you only look at the number of days sailing, there's a reduction here. At the same time, however, we are now deploying new coastguard vessels in the Barents Sea with a much larger capacity and reach than the old coastguard vessels, which have been largely reconstructed fishing vessels. So the capacity of the Coast Guard is strengthened. One of the things you want to do is to: have helicopters on board a part of the new vessels, and it is clear that the Coast Guard will then become a much more powerful instrument than it is today. So what we do is both economically and professionally sound.
ParlaMint-NO_2007-12-17.ana.ud1745e308	The representative of Steinar Gullvåg was concerned that the signals in this setting would weaken Norwegian interests in the international fisheries negotiations. For this reason, there is reason to note that the government parties actively seek to mark such a split in the setting. The Government Parties systematically disregard all observations made by the case rapporteur, although there is a great deal of consensus there that is likely to be, as the Minister for Fisheries also mentioned in his statement. There is also reason to mention the performance in the Fisherman on Friday, where the representative Steinar Gullvåg actively marketed a disagreement on these issues. My question is: does the Council of State representative Steinar Gullvåg's alleged concern that Norwegian fisheries negotiations are weakening that there is a public debate in Norway on such issues?
ParlaMint-NO_2007-12-17.ana.ud1745e316	I noticed that in his speech to the pulpit earlier in the debate, the representative Hansen made it clear that an overall committee was behind the Government in the agreements we negotiated. I am, of course, satisfied with that. I don't want to put Norway in a position where by opening negotiations we will drive it so far that we risk standing without an agreement. I'm very concerned that we're going to have agreements in place. It is important both for long-term sustainable management and for ensuring predictability of industry in the short term. Let me just underline once again that I do not want to conduct the negotiations in such a way that we risk standing without agreements. In addition, the Government’s position with regard to both the North-East Atlantic mackerel agreement and the Smutthull agreement is a continuation of the policy of the previous government.
ParlaMint-NO_2007-12-17.ana.ud1745e325	For many years, Norway and the EU have been in a real mess about the distribution of mackerel quotas. The EU has a not insignificant overfishing of mackerel. This is very complicated. A keyword is the zone association of the mackerel. The opposition has called for a research project to be set up to identify the mackerel's zone link, and for a better distribution of the mackerel between Norway and the EU in the light of this. So my question is, will the Council of State take the initiative for such a research project?
ParlaMint-NO_2007-12-17.ana.ud1745e334	Let me just first say that in the case of the southern component, there is a cross-political consensus in Norway that it should not have been there. In a totality, the most important thing for Norway has been to set up a mackerel agreement. The consequence of not having a mackerel agreement is that unregulated fishing has benefited, and it has been mainly EU fishermen who have benefited from it. Good marine research and the use of best available knowledge are the basis for all the agreements we conclude. In the years to come, we will also place great emphasis on research and knowledge both in the case of the mackerel – and its zone belongings – tobis, eyeball and all the other species we are negotiating.
ParlaMint-NO_2007-12-17.ana.ud1745e341	The government has promised a so-called active fisheries policy. In this case, the Government meets with some criticism from the industry about the extent to which Norwegian interests in international negotiations are actually actively followed up. In addition, this period has been marked by a lot of turbulence and a lot of dissatisfaction from the fishing industry. It is linked to the district quota system, which is seen as bureaucratic and inefficient. In the case of delivery obligations, which weaken industry profitability, two years with structural breaks, marginal majority behind new structural arrangements, net pay arrangements for competing seafarers without increasing fishing deductions, and the NOx charge, which substantially weakens the competitive conditions of the fishing industry. Does the State Council feel that the Government has sufficient support from the industry to the fisheries policy – the so-called active fisheries policy – that the Labour Party promised in the previous election campaign?
ParlaMint-NO_2007-12-17.ana.ud1745e353	If you ask different representatives from the fishing industry what are the right choices further, you will get different answers because of who you ask. It is not that the fishing fleet and the land side necessarily have similar interests. This applies, inter alia, to: on the issue of the law of participants. This government has doubled the marine value creation program. We have set up a new state investment fund with a large catch capital that is earmarked for the marine sector. We have concluded in structural policy and got a majority in favour of a line on which there was a cross-political agreement before the previous government broke it. We have taken up the fight against illegal fishing in the Barents Sea, and now we see results from it. Not least, we are taking a tough course in fisheries negotiations with other countries. There we continue the policy of both previous governments and governments before it has taken place. In negotiations, we are closely in contact with the industry before going to the negotiating table. I feel that from the industry there is broad support for the line that Norway leads in the negotiations.
ParlaMint-NO_2007-12-17.ana.ud1745e360	Several have not asked for the word for a line. Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 1534]]
ParlaMint-NO_2007-12-17.ana.ud1745e378	No one has asked for the floor. [[Fotation, see page 1534]]
ParlaMint-NO_2007-12-17.ana.ud1745e394	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each lot and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies from the Council of State in the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-12-17.ana.ud1745e401	There was a climate compromise in Bali. It's very good, because it needs the world. It is, after all, the poorest that becomes the hardest of the climate change we now see, and it is among them that climate change costs the most lives. But even in Norway, we now notice quite clearly that there has become more extreme weather, and this is a collective committee some about, minus the Progress Party, which is not entirely able to land this case about climate. In the evening post today it is warned that it becomes a harsher climate. It's going to cost more, and the costs are big, but they're not sure. So the government has started a screening work for how these greenhouse gas emissions will affect the costs of the transport sector. That's good, because we see that the cost will well increase, and in this new age we'll spend 39 million. kr to clean up things that might have caused greenhouse gas emissions. These costs will undoubtedly increase, so that the need for national measures related to climate change is increasing, and thus we also see the need to reach a good compromise here on the Storting against the climate negotiations that are taking place. When it comes to the submitted climate message, it is also very desirable for one to come forward. There are a few things that the committee shows relatively high attention. One is the cost of climate change, that one is aware of these and that the Government will continue to work on it. So there's a lot of concrete projects that I'm going to go into. One project concerns Hardangerbrua, which Stortinget has agreed to, but where it is now found that the cost of the route of administration is increasing by 38 pst. There is then a need to stop, and the government takes a nap when it comes to Hardangerbrua, by cutting off the supply competition. The plurality of the committee agrees that this must happen, because it is clear that if this large project gets such a crazy amount of cost, let's say 40 pst, there will be a very great need for new revenues to cover that increase. There must be a practice when you want to continue projects, if any. Therefore, it is very wise to look at this consensus decision, to see if this is becoming too expensive, or at least to know how to cover up the increase in costs of this project. It is also natural, when a new climate is more focused, that Hardangerbrua is also being discussed in connection with the national climate policy that will take place in Norway. But it's doubtful that if the increase is as large as it looks, i.e. almost 40 pst., it will have consequences for Storting's priorities in other states, because one of them has to be involved in covering an overrun at Hardangerbrua. That's why it's best to take this humpbone and look at how wise it is initially to go on as the bill develops. The third thing that the Committee is busy with is the general development of prices within the transport market. There are still increases. We see it on the railways, we see it on the road sector, and we see that they increase the promises that this government receives, they become eaten up by far higher prices – and that is an equal amount of money. So here's an important signal from a consensual committee that one now has to go through the different projects one's going on, in order to complete the most possible project, and not start many new ones there one to the seventh and last don't know the cost. As I said, I am very happy that there has been a climate compromise in Bali. I think it's important that we all now take on board that we have a national task of reducing greenhouse gas emissions, and then it's important to continue to assess different transport projects, that the climate is high in focus. It eats up our globe.
ParlaMint-NO_2007-12-17.ana.ud1745e420	I was afraid we ended up in Bali, but now we're on our way. We are examining changes to the state budget for the current year, 2007, under the Ministry of Transport. The case concerns not least overruns. I refer to the proposal of the Advance Party in the vote. Let me say that the Progress Party believes it is essential that the Storting can rely on cost calculations for large transport projects. The Progress Party will stress in particular that for a transport project where large shares of funding are collected through tolls, the Stortinget – where all parties except the Progress Party accept the use of tolls – has a special responsibility. It may, and should not, and should not be such as to bring costs in full, or the majority, into the hands of car users through increased toll prices, reduced discount schemes, multiple tolling stations and extended collection times — nor, in the opinion of the Progress Party, so that tolls are still used for purposes far away from road construction. The Progress Party also recalls that we have a control tool for large government investments of over 500 million. kr. They must be ensured through so-called external quality assurance. For this control tool legislation has been developed by the Ministry of Finance. The Progress Party sees the need for stronger and clearer supervision by the Ministry of Finance to ensure that external quality assurance is used and when and how it is to be used. Let me remind you that this control tool came into place some years ago with the background that a large number of transport projects were built with large cost exceedances. If that happens, of course, it should not come as a surprise, and after completion. There may be grounds for recalling that background. There may also be grounds for recalling that this control tool is not an unnecessary bureaucratic invention, but an important measure to ensure that the state, and increasingly the drivers, actually know how much transport projects will cost when they are finished. Therefore, it is necessary to provide exceptional special and good reasons for the known uncertainty associated with a project or new uncertainty whether a project should not be clarified through new external quality assurance. It is not available for the main projects mentioned in the case – the Urban Railway in Bergen and Hardangerbrua – rather on the contrary! The city railway in Bergen is mentioned in the case. The Party rejects the fact that this transport policy experiment paid by the motorists in Bergen is to be treated in an exceptional way in relation to excess costs and the need for quality assurance and new treatment. There is reason to believe that the Urban Railway – one of the two major projects in the so-called Bergen Programme – can crack by 40 pst. and approaching a cost framework of NOK 2.4 billion. In time, the project is already delayed by one year. The second major project in the programme – Ringveg West, a road project – keeps the planned progress and is within the cost framework. The main reason for the increase in costs is, in addition to what is stated in the case, declared by the municipality of Bergen as necessary changes from the original project basis. In good and understandable Norwegian, this means bad work. In addition, the problem of VAT is unclear: Should VAT be paid on the project or not? The discussion is ongoing about who will pay the bill for the necessary movement of the water and sewerage network – the urban railway project or the water and sewerage customers in Bergen. The Progress Party believes that it is necessary to carefully examine this scandalous project. There is a need for new quality assurance, not only for costs, but also for traffic, which determines the revenue of the Urban Railway. In this way, I fully agree with the comments made by the rapporteur in the previous article. Finally, some words about Hardangerbrua. When the calculation cracks by almost 40 pst. on the routes of administration, there is reason to review the overall calculations. It is understandable and necessary. There is new knowledge of new uncertainties. On the other hand, it is incomprehensible that conditions that were considered uncertain when the bridge was adopted – e.g. the traffic base, i.e. the income base — and which remains uncertain — shall not be guaranteed for quality when it has time to do so. Hardangerbrua, according to the State Road Administration, will be postponed for a year. It provides time for new quality assurance of the traffic base if one is willing. A person should make good use of the deferral period. Finally on racial protection in relation to Hardangerbrua. Many in the region consider racial protection to be more important than bridge. Many are concerned that the bypass when the Vallavik tunnel closes in connection with the construction of a bridge becomes a ferry. Ferry is a race-proof road.
ParlaMint-NO_2007-12-17.ana.ud1745e446	The representative Arne Sortevik has taken up the suggestions he referred to.
ParlaMint-NO_2007-12-17.ana.ud1745e449	Overall proposals from the Ministry of Transport have often been a pleasant reading in previous years – they have turned around and got new things at the end of the year. This time, the proposition is largely characterised by excess costs, especially in road projects. The right agrees with the Ministry and the Council of State that there is reason to stop when the increase in the cost of incoming tenders is as large as what we see in some projects. But we might have a slightly different diagnosis and maybe a slightly different solution to this relationship. Looking at cost developments in the construction industry, it shows an increase of 17 p.p. in the construction cost index of road installations by the Central Bureau of Statistics. from 2004 until today, i.e. 5 1/2 pst. per 1 % years. Now this index doesn't give any information about the contractor's progress, but can it be here that the dog is buried – so we see an increase in risk pricing due to a lack of trust between the actors? In that case, this is serious, and I expect the Council of State to take this into account. There is no doubt that mistrust and a high level of conflict increase costs. The Land Association of Construction, BNL, claims that they still have capacity – at least at the hearing in the Committee at the end of October – and that there was nothing to suggest such a price increase in the market. I also noticed that, at the hearing in the Committee, BNL wanted a better relationship with the State Road Administration and that, in addition to changing tendering practices, they wanted a State Road Service as the best builder, as they expressed it. Let's hope that could happen. Unlike what we see in traditional tender practices, we have seen completely different experiences with OPS. In this context, it is motivated to find solutions that provide lower maintenance costs. OPS has given greater innovation to the projects. There are good cooperation relationships between the builder and the contractor. Construction time is reduced dramatically, and thus building loan interest rates, and the socio-economic benefits are improved. There will be a lot more predictability for the public. We simply get more – and earlier – way for the money. I'm going to comment on a couple of the things that are addressed at the individual project level in the proposition. With regard to the Urban Railway in Bergen, I see that both the City Council and Hordaland County Council are asking for such a solution as the Council of State has now instructed us. We agree with the Right, but we are deeply sorry that this goes beyond the Skansen Tunnel. It says in the proposition that we now have to count on building stops for other projects in the Bergen programme. The Skansen Tunnel is an environmental project that will improve the conditions of Bryggen, which is a project and a building mass on the UNESCO list. With a small reference to the SV representative, who spoke most about climate negotiations, there is probably also a growing need for action in the future. The representative from SV thought we now had to take a break when it came to Hardangerbrua. It does not agree with the Right, and in particular not the type of slab cutting that SV has previously undergone in this room. We think it's right to stop and just work a little bit extra to get better prices and overall get a better economy in the project. We also do not agree on the topic of climate change raised by the representative. There is no doubt that the ferries pollute far more than traffic on the bridge will do. We largely agree with the Council of State in her assessment of this matter. We are also very pleased that she says that the decision on the bridge is firm, and that it is not added to new quality assurances to cover the traffic base. The right-hand side agrees with this.
