ParlaMint-NO_2007-06-13.ana.ud1426e94	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2007-06-13.ana.ud1426e310	The progress party has a different municipal policy starting point from that of the other parties. Policy is at the heart of increasing individual freedom of action by limiting public intervention and restrictions. Therefore, the public should not take on tasks that individuals, businesses or individuals can do as well – or better. I would like to stress that the role of local and local democracy is to ensure the individual freedom of choice and the ability to influence more fully decisions relating to themselves. At the same time, I see that because of, among other things, economies of scale are appropriate for some clearly defined public tasks to be addressed and financed by the State. The Progress Party believes that local self-determination ensures proximity to decisions, participation for the inhabitants and living democracy. I believe that municipalities should have the necessary freedom to facilitate growth and growth in wealth. I would like to point out that economic growth and wealth growth are an ongoing process in which Norway also participates, and that this process increases the individual's opportunities and freedom of action. I believe that today's income system allows municipalities that facilitate business and net entry to retain only a small proportion of the revenue that they can generate. Me and the Progress Party are concerned that it does not give the municipalities strong enough incentives to pursue a local policy that is at the best for the inhabitants of the municipalities and for the country as a whole. Many have seen the benefits of competition in a number of other areas and see a great potential if municipalities are similarly competing to attract business and skilled citizens. Today's system leads to too much redistribution to individual municipalities at the expense of others. I would like to express scepticism about the government's lack of measures to improve efficiency and modernise the municipal sector. I would also point out that an efficiency improvement of 1 pst. in the municipal sector, around DKK 2.4 billion will be released, which can be used for even better services. If you had an efficiency improvement of 2 pst., you would even have received 4.4 billion kroner, and you could have dropped property taxes in the municipalities. I would like to stress that although the local government sector now has a good foundation, it faces major challenges in the future. I find that there is still a long way to go until an elderly care centre that shines, none of the previous speakers from the government parties have been involved. Elder care in Norway has been under constant debate since the 1980s. Local authorities' responsibility for the care of the elderly is very different from that of the municipality. Alternative governments have presented plans, action plans and proposals for changes, but the situation in the care of the elderly and the criticism of municipal provision have not changed significantly. Increased allocations to municipalities, which are subject to the priorities of local authorities and administrations, do not lead to a commitment to care for the elderly. I think it is a great paradox that the world's richest country, with the self-confidence of a welfare state that all other countries seem to be looking up to, still has a steady media coverage of major problems and miserable old age care conditions. The Progress Party wants to strengthen the economy of municipalities, and believes that there is a particular need for increased efforts in the care of the elderly. The strength of approx. $1.5 billion of the government's free revenues are scarcely sufficient to cover the 1.5 billion that the government itself claims to have to cover the costs of demographic development if the average cost of service production is to be kept constant. I note that there is still a long way to go until an elderly care centre that shines, as I said earlier. I would like to refer to the comprehensive and comprehensive proposals of the Progress Party with a total of 19 concrete actions that should be implemented and that will raise the elderly at the level that they should be at in Norway. The Progress Party believes that there is a need to add DKK 1 billion more to the municipalities in 2008 than the Government provides, and will earmark parts of the municipality's revenue weight in 2008 for basic welfare services. That is why I had hoped that the government would also see opportunities there, as they do with resource-intensive services – that they would go in and out and think that this would also be national, priority objectives. It is precisely the care of the elderly that should have been promised. I would like to refer to the proposal of the representative of the Progress Party to repeal the Property Tax Act. I am of the opinion that property taxes are an unfortunate form of double taxation that affects people very badly, and that people have already paid taxes on the money they spend to invest in housing. I want to show that many people have large mortgages, and they therefore end up paying property taxes on a property owned by the bank. I would like to point out that the government's policy towards users of resource-intensive services has clear weaknesses. Firstly, it provides a low coverage of the real costs of municipalities to users with a high need for help, while encouraging municipalities to use hospitalised areas for the treatment of users with special needs — it is because in most parts of the country, hospitalization places cost less than DKK 770,000, approximately. NOK 575000. I would like to show that for each municipality it can be about annual appropriations of 2-3 million. kr per. users, which will give rise to a major impact on the economic balance of municipalities. The ideal model is that the state ensures 100 pst. financing of the needs of users with specific needs. With the model of the Progress Party, the debate on different funding models would be completely redundant, as it would fully satisfy the real needs of users. Until price financing is introduced, we will deal with today's system and want to lower the entry point of the funding mechanism for users with special needs to DKK 400000 per year. use, and modify the scheme in such a way that the expenditure of each municipality beyond the point of entry is taken as the basis for the state compensation, through a lowered entry point and an increase in coverage. I would like to show that the Progress Party, in cooperation with the Workers' Party, the Socialist Left Party and the Central Party – i.e. the present government parties – had such a funding model. I am very disappointed that the government parties do not follow up on what they promised when they themselves were in opposition. In other words, the Progress Party is alone on this model. In conclusion, I believe that the focus in child protection must be on the first line service. The funding of training in child protection institutions should be seen in the context of this focus. Funding via county municipalities is a detour and less appropriate. I look with concern at the poor implementation of the child protection reform in the last year. The consultation of the Supervisory and Constitutional Committee of the Stortinge showed that the reform was probably poorly prepared, and the economic need was underestimated. For several years, the Progress Party has pointed out that the annual increase in this chapter does not appear to have strengthened the first line work in the field of child protection, despite the fact that part of the intention to transfer the administration of child protection from the county to the state was just to gain better governance and financial control over child protection. The Progress Party is initially very critical of the inclusion of several earmarked grants in the ordinary framework grant. The conversion of several earmarked grants is not advisable within the current income system. The argument that inclusion is based on an assumption that local politicians know best to prioritise correctly is very descriptive, precisely because actions that fall outside the scope of designation will be set up against other important but unfortunately underfunded tasks. This means that when the earmarked grant is transferred to the framework funding, these institutions must compete for the crowns of other important offers, with the result that one of the offers will lose the battle for the crowns. I note that this has already happened in several municipalities, and that the freedom the Government has announced that the municipalities are now getting is actually a false freedom. I would like to raise the proposal of the Advance Party.
ParlaMint-NO_2007-06-13.ana.ud1426e351	The representative Ib Thomsen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2007-06-13.ana.ud1426e356	Earlier this year, the Progress Party went out with its policy on the organisation of the SFO. SFO is described as a leisure offer that the Advance Party believes parents have to take responsibility for themselves. Today, SFO offers parents supervision of the children in what I want to call the core working hours – between 1 p.m. 7 o'clock and 7 o'clock 17. Could the representative Ib Thomsen briefly describe how the Progress Party has intended to organise the new parental-driven offer?
ParlaMint-NO_2007-06-13.ana.ud1426e361	The scheme of the SFO is ready for the benefit of the child. If you want to develop the SFO in the future, I believe that all the parties on the Stortinget should and must be involved. It's an additional offer for the school. In my view and in the view of the Progress Party, it should not be a school but an additional achievement. The financing of the SFO takes place through the municipalities, in cooperation with the parents. The Progress Party has said that we want the schools to be governed by the parents – so you have to have a board of parents, teachers and school management. In the same way, we believe that the SFO should be controlled.
ParlaMint-NO_2007-06-13.ana.ud1426e366	The representative of the Advance Party was concerned with the care of the elderly, and it is a very important matter, which the Christian People's Party is also concerned about. But does not the Progress Party see that the greatest challenge in the care of the elderly in the coming years is labour? It does not help to set aside an extra DKK 1 billion for municipalities if there are no people – some hands and some heads – who can take care of the care services provided by municipalities. There is therefore a lack of coherence in the policy of the Progress Party. I can't see at any point that a person speaks positively about work immigration or other offensive measures that will help to get enough hands and heads to provide a decent care for the elderly. My question is: what is the answer to the challenge of health and care labour?
ParlaMint-NO_2007-06-13.ana.ud1426e375	I heard that the representative said there was no connection in the old-age policy of the Progress Party. I am very disappointed, especially when the Progress Party has put forward a comprehensive proposal with just 19 concrete measures that should be implemented to increase care for the elderly in the country. There is no doubt that the municipalities are underfunded in relation to the tasks they are assigned by the state, especially if we are to have an elderly care that shines, as both the Prime Minister and the government parties have promised. I think we have to initially finance the system the way we want it to be, before we start criticizing other parties because there's no connection in their policies. In any case, I think the representative should read the 19 specific points of the Progress Party in the field of care for the elderly.
ParlaMint-NO_2007-06-13.ana.ud1426e382	In Norway, we have a long tradition of cohesion, and we have had a willingness to use policies to balance differences. In his post, the representative Thomsen says that today's system leads to too much redistribution between municipalities. So Thomsen is dealing with the opposite of equalization. Did I understand Thomsen right in what he said, that he believes it is wrong that there is a balance between the municipalities in Norway, so that you get the same service throughout the country? Does Thomsen think it would have been better if, for example, All Akershus municipalities had more tax growth, while other municipalities had been cut off in their welfare services? So is that the opposite of balance Thomsen is calling for? Does he think it's wrong to redistribute, and does he think that those who have a lot already will get even more? Is that what the Progress Party is responding to the challenges of the municipalities?
ParlaMint-NO_2007-06-13.ana.ud1426e389	To that I will reply that the municipal committee has been travelling around the country and visited some county municipalities and some municipalities. When you get to the individual municipalities, you understand that they feel that there is a division of funds. Of the signals we get from the municipalities today, it doesn't seem that the Central Party recipe works completely. The last thing we can see here is about exactly this with the funding of resource-intensive services and users. Here you can see that there was a completely biased distribution, and you almost chose to designate the funds for this service. So yes, more attention should be given to municipalities and ensure that services are maintained in relation to the national priority objectives that should be set.
ParlaMint-NO_2007-06-13.ana.ud1426e396	The cord shift is over.
ParlaMint-NO_2007-06-13.ana.ud1426e399	Before I forget, I would like to address the suggestions that the Right is on – and promotes – in the vote. We can also say this year that the distance between the parties in terms of the economic space of the municipalities is minimal. In its alternative state budget, the right is going to put on a scheme that gives municipalities an economic freedom of action at about the same level as the government. In addition to the exceptional growth in municipal tax revenue in 2006, the economic growth of municipalities in 2007 and the scheme proposed by the Government for 2008 is a very sobering one. In fact, this means a reduction in free income in the current year. This confirms the Government's calculation selection, which in its April report states – and I quote: ‘Calculated against the adjusted level of revenue for 2006 is estimated to reduce free revenues from 2006 to 2007.’» The reason for this – and now I have to ask the representative Tryve Schlagsvold Vedum to listen extra carefully – is that the government did not continue the extraordinary tax revenues that came in 2006, but included a significant part of this in the 2007 scheme. The scheme for 2008 is in line with population developments. The central association of municipalities has been very clear about this in the hearings with the committee, and it is also possible to read it out of the proposition. It is true that the revenues of municipalities have grown annually since 2004, with a peak in 2006. But from this year to next year, this has flattened out. Government parties will soon have to stop believing that they are still in 2006. When we also have an arrangement this year at the level of the Government, it is very special to listen to the two previous speakers from the government parties. So I could have chosen to give a rosy representation of the development of the local economy like these, because the right has supported the same arrangement. But what would the purpose of that be? It'll just undermine local democracy. We now actually have a government that has reached half the course of its reign. When they are put in charge of problems in society, they have fixed, rehearsed answers — no matter what. The only answer is that the municipality's economy has improved, so the municipalities should sort it out. The second answer is that they owe the previous government. A government that is only four years old, and thus has already reached halfway, must stop blaming others and grow up enough to take responsibility for itself. It is no longer useful to blame the previous government, and it is no longer useful to blame the country's local politicians. This municipal proposal is completely out of the question of responding to the new challenges posed by municipalities. Local authorities are now experiencing the price of an increasing interest rate, they are experiencing that they are not getting access to the most important jobs, that wages are increasing, and they feel that they are not being helped by the Government to improve the quality of service provision. I think many rapporteurs reacted with disbelief as the last day's business yesterday, where the KS Director believes that increased interest rates are not problematic for municipalities. Many municipalities experience, on the contrary, that increased interest rates eat up their ability to provide better services. If in 2008 interest rates increase by 2 percentage points, yes, then the whole growth in the free income of Kommune-Norway has eaten up. It's not least the challenge of lack of people to solve the problems that drive interest. This problem has a double impact on municipalities. They must compete with highly paid companies. I think many municipalities are now afraid that the whole core competence of e.g. the construction works office shall disappear to the construction industry. Then both parties have a big problem. It does not help Rogaland County that they have the economy to build a new high school to be prepared for all the new 16-year-olds who are now going to start school, when not a single company was interested in offering to build such a school in the Awake in Sandnes. The latest NAV labour market report indicates that there are 88 000 uncovered annual works in the years ahead, while there are 47 000 registered unemployed. The right has repeatedly put forward proposals specifically aimed at Kommune-Norway to do something about this situation. Many of the 700,000 who today live out of social security want to work more. The right has proposed this, and the Government has rejected it. The right has made proposals that would make it profitable for the country’s spread pensioners to work – the government has voted against. The right has suggested that people who want to work for several years should have the opportunity to do so – the government has voted against it. Right-wing promote today in a later case eleven proposals to make it easier to get to Norway if you have a job – Government votes against. The government must take responsibility for this situation. We don't have time or money to wait for a big message in 2008. If we are unable to solve these problems nationally, local authorities will not be able to create more knowledge in schools locally, more quality of care or safe and pleasant communities. Therefore, the Government must now stop blaming local politicians and take responsibility for the problems they create for the municipalities. Today, the right-wing party, together with the Progress Party, is promoting proposals for a stepping-up plan to extend the school day in primary school. The right will develop a full-day knowledge school consisting of six clock hours in childhood and seven clock hours in childhood, with a voluntary school leave in the early and late hours of school. Such an increase in the number of hours must take place gradually, as we are able to recruit more teachers and continue to increase the level of competence of teachers. That is why we need an escalation plan, as we are proposing today. The government does not take this challenge seriously in the municipalities. In future care services, citizens must be met with care, respect and knowledge. It gives municipalities enormous responsibility, because while we require better services, the number of elderly people in need of care will double over the next 35 years. At the same time, there has been a doubling of the number of younger caregivers in the last ten years. The Right Party, the Advance Party, the Christian People's Party and the Left therefore invited the government parties to develop a binding economic action plan to upgrade the care services. The government accepted no, and thus the municipalities do not have the necessary predictability to meet these enormous challenges. On the right, 35 proposals have been made that would make it easier for municipalities to get access to knowledge-rich and caring staff to meet these challenges – the government said no. Care and respect are also about letting people continue to control their lives. We can't meet people with an attitude that everyone should be involved in the same A4 solutions. It is this freedom of choice in care – who will come into your home to help you with the most intimate needs. Then it is not a question of which logo is on the jacket, but whether you as a citizen feel secure that the job to be done is done in a proper way. We now have a government that has made it a goal to fight against the municipalities that have chosen to meet the inhabitants with respect for their own choices. Today we can read in the Evening Post about Kjell A. Wahl who had to fight for years to get a personal assistant. A new report reveals that the worst offer is for people with severe disabilities. It is now almost two years since the government took responsibility, and on the desktop there was a clear draft of the law of the right to personal assistant. Nothing's done. When Kjell A. Wahl is asked what is a tough party, he says, "A home, and getting to wash and get food, is not enough for a decent life. We also need new impulses, social contacts, an exhibition and concerts." The right to personal assistant is about regaining power in his own life. The right has confidence that local politicians are best placed to find the best solutions locally. They are best suited to prioritisation between school and care, culture and business development. But if they are to succeed, they need room of action and trust. It is not money that provides care, but competent people with care. It's not money that gives knowledge, but nice and committed teachers. It's not money that gives community security, it's neighbors that care about each other and take care of each other.
