ParlaMint-NO_2007-03-08.ana.ud644e41	The representative, Kenneth Svendsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-03-08.ana.ud644e172	I would first like to stress that I fully agree with what SV's main speaker, Rolf Reikvam, has said, but I have some additional comments. After all, we live in a time when privacy has scarcely been in a worse condition. I think that was quite well illustrated some time ago when former Prime Minister Kjell Magne Bondevik was going to Ålesund – I think it was – with the plane to launch his book “A Life of Stress”. He was stopped in the check and was seized by a bottle of shaving foam, which is said to be bombing. I think that someone has experienced it in part absurdly every once in a while when we go through checks at airports, where everyone and everyone now appears as possible attackers who need to be inspected, so that you soon begin to sense that the various guards are wearing rubber gloves to also check the body's cavity. It is clear that when you compare what is about to happen at airports before flying, and that we can go on board the Danish boat, which I hope we will still be able to do, and take with us what we might want in the quantities we want – for that matter also the most intricate weapons, and explosives, if you want to – are part of the security measures we face today, pure absurdities in a time marked by a kind of collective paranoia. We must dare to take a debate on it, so that the security measures are proportionate to the danger we are actually facing, or are in the process of creating an impression that God and everyone are being subjected to. Because at some level, linked to the resource use we're facing, this has to reach an outer limit. It may not be such that one quarter of Norwegian employees are ultimately employed by Securitas or other security companies. If you talk to Norwegian pilots, they point out that some of these security measures work against their purpose. They may help to make it more unsafe, and not more safe, to fly, simply because the communication to be between employees of the airlines no longer goes normally and with open doors, if anything unexpected happens. I believe that the Data Protection Agency as a body has a key role to play by pointing out some aspects of social development that are extremely unfortunate. That is why we need to give the Data Protection Authority the possibility of a greater impact on their objections than they have today. Now it's like using this one day to present the annual report and pointing out that it's important to the Data Protection Agency, on which we use the 364 other days of the year to do exactly the opposite of the remarks the Data Protection Authority had to have on warnings about what kind of society we're going to go into. Much of this is determined beyond the borders of the country in such a way that we have little we should have said. It is important that we have national leadership that makes it a balance between the measures being implemented and what actually makes sense from the real danger we have to face.
ParlaMint-NO_2007-03-08.ana.ud644e185	The left wants us to vote on this proposal today. We fear that the directive will be implemented without one thinking carefully through the privacy implications. The Left therefore wants the Storting to give a clear signal that the scope of the directive must be as small as possible. We have therefore proposed that the minimum retention period of the Directive be the maximum legal storage period in Norway.
ParlaMint-NO_2007-03-08.ana.ud644e191	Several have not asked for the floor on case No. 1st@item: inlistbox [[Footage, see page 2207]]
ParlaMint-NO_2007-03-08.ana.ud644e207	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 5 minutes to each party and 5 minutes to the Council of State. Furthermore, the President will propose that three replies be given within the allocated speaking time following members of the Government’s posts. Furthermore, the President proposes that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-03-08.ana.ud644e216	The Committee has examined a proposal from the Progress Party on enhanced requirements for auditor independence in the municipal sector. The Progress Party wishes to incorporate municipal audit into the statutory act. I expect the rapporteurs in the debate to explain their views. The majority in the committee, the government parties together with the Christian People's Party, do not agree with the proposal. All parties agree that auditors should be highly qualified persons for whom strict requirements must be met, both in the private, state and municipal sectors. The government audit mission includes, in addition to the accounting audit, administrative audit to determine whether the operation is cost-effective and to determine the level of achievement of the target. The majority of the committee, the government parties together with the Christian People's Party, cannot see that today's requirements for audit and auditors in private companies are higher than in the public sector. I believe that this could be a basis for claiming that the requirements are actually stricter, as the public sector audit mission, in addition to accounting audits, also includes administrative audit. The provisions of the municipal law on auditing are largely in line with the corresponding provisions of the statutory act, with the exception of one point: employment. The statutory auditor shall require that the statutory auditor cannot be employed by the statutory auditor. Today, local government is free to decide whether the municipalities should have their own audit, participate in an inter-municipal audit cooperation or enter into agreements with an external auditor. This practice will end with the Progress Party. A few municipalities have auditors employed in the municipality. For the vast majority of municipalities, the audit of own audit units is carried out in inter-municipal cooperation. I believe that this can be seen as having great confidence in the functioning of the audit system. The municipal law contains provisions which impose strict requirements on the independence of the auditor. The independence requirement is linked to all audit work carried out for the municipality and relates to the actual independence of the auditor and to conditions that may impair the confidence of the environment in the conduct of the audit. If the statutory provisions on independence of auditors are to apply to municipal audit, this would mean that an auditor cannot be employed in a municipality or in an audit firm in which the municipality is a partner. In practice, the proposal of the Progress Party will mean that there will be an obligation for the outsourcing of the audit in municipalities and county municipalities. Municipally owned audit firms will not be able to participate in such competition. This would be unfortunate in relation to the competence built up in municipally owned audit firms. In 2003, changes were made to the provisions of the municipal law on auditing. The changes led, inter alia, to: to open up the competition for the launch of municipal audits. Few municipalities have so far chosen to launch the audit. I think it is right to look at the experience of how the municipal audit system works after it was opened up to competition, before an assessor reviews changes in the legislation. The main argument that the Progress Party will introduce reinforced requirements is that they do not want municipalities to have their own auditors. The background is, among other things, recent evidence of corruption, including: The scandal in Bærum. I would like to underline the importance of a high ethical standard for the reputation of municipalities. One case of corruption is one case too much. Nevertheless, a nuanced debate is needed. Corruption is to be combated, but I do not think we are doing it through the proposal for the Progress Party, which we are dealing with today. I would like to remind you that there have been scandals in private companies too – despite the fact that according to the Progress Party, they have a stricter code to deal with. We have experienced tax fraud, tricking with VAT and crimes with hired black labour. Unfortunately, this has been part of the reality of the construction industry. So it's not the law that's wrong; it's the follow-up to the law that hasn't been enough. Finally, I would like to recommend the setting.
ParlaMint-NO_2007-03-08.ana.ud644e242	Today, we have a proposal from the representatives of Per-Willy Amundsen, Åge Starheim and Ib Thomsen on strengthened requirements for the independence of auditors in the municipal sector. The Working Party agrees with the proposers that auditors should be highly qualified persons for whom strict requirements must be met, as is the case in the private, state and municipal sectors. The government audit mission includes, in addition to the accounting audit, administrative audit to determine whether operations are cost-effective. I cannot see the proposal as different from the fact that the obvious intention of the Progress Party is to privatise the audit and force the municipalities to privatise their municipal owned audit firms. We are strongly opposed to this in the Labour Party. Substantial changes were made to the provisions of the municipal law on revision in 2003. The amendments entered into force on 1 July 2004. The main change involved opening up the competitive opening of municipal audits. Few municipalities have so far chosen to launch the audit. This indicates that municipalities have great confidence in the proper functioning of the audit system. I would also like to remind you that there are strict requirements for the independence of auditors in the provisions of the municipal law. The proposal will mean that an auditor cannot be employed in a municipality or in an audit firm in which the municipality is a partner. This will in practice mean that there will be an obligation for the outsourcing of audits in municipalities and county municipalities. The fact that municipally owned audit firms will not be able to participate in such competition will prevent the best possible use of the competences built up in municipally owned companies. The Labour Party agrees with the Minister of Local and Regional Affairs that it is right to gain experience in the functioning of the municipal audit system after it has been opened up to competition, before considering changes in the legislation. On this basis, the majority have concluded that the proposal should not be accepted.
ParlaMint-NO_2007-03-08.ana.ud644e261	The savings banks had former auditors who were employed in the company the audited, but this was changed about 20 years ago because an independent and neutral audit of the savings banks was to be carried out. At that time a NOU – NOW 1986:5 – was written where it said: ‘The appointment of an auditor may mean that the auditor becomes dependent on the institution. It is therefore important to select an auditor.’» Already 20 years ago, this problem was raised here in Stortinget. Political and business decisions are rarely better than the decision-making basis on which they are based. Even an excellent leader or politician could make crazy decisions if the facts are not right. The role of auditors in society is to ensure that the information we have is as good as possible. It should apply in both the private, state and municipal sectors. In the proposal, there are more areas than the independence of the auditor that make it appropriate to find a solution within the framework of the law on auditors. The Progress Party sees the need for private and municipal sector auditing to be in line with the same accounting auditing standards and for administrative auditing standards to be set in the same way. It may seem that today's audit works badly, not least because the audit is too close to politicians. It is the many corruption cases that have led the Progress Party to go in favour of a change in the audit in the municipalities, so that people further away from the municipalities are to monitor the municipal bodies. In Bærum, the county tax office discovered the case, not the municipal audit. The Progress Party believes that internal control is not working well enough in many municipalities. Although the auditor can experience himself as independent and tell us about things that should be examined in more detail, it is not certain that the people responsible in the municipality take the notification seriously. The idea is to lift the audit up and out of the individual municipality. I think the time is ripe, given the matter – and other matters – that have been mentioned in the media lately, which shows that the internal audit does not meet the objectives of the municipalities. I think Stortinget must consider new arrangements. The size has meant that all private companies should have an independent auditor in order to avoid any interaction between the company and the audit. But it surprises me that the government parties do not have the same assessment in terms of municipalities to avoid a mix-up and some unfortunate situations. Kosmo in the Riksrevision is not at all opposed to taking over the audit for the municipalities. It has to be seen that there may be some challenges with such a mix – with a municipal audit for closeness in small municipalities. It is difficult in some municipalities, although the audit is organised in a regional cooperation, when your salary is paid by the person you are reviewing. None of the reviewers should have an influence on priorities. Auditors are persons with a high level of competence who are subject to strict requirements. In general, the requirements for audit and auditors of private companies are higher than those of the public sector. In isolation, this should mean that public sector audit requirements should be stricter than private sector audit requirements because Community funds are managed. Minister of Local and Regional Affairs Haga confirmed in an answer to written questions from me that according to what the Ministry had an overview of per cent. October 2006, only 20 Norwegian municipalities have opted for an external audit of accounts. The Minister of Local and Regional Affairs also confirms that the Ministry does not have an overview of how much Norwegian municipalities spend each year on auditing or the extent to which Norwegian municipalities use external administrative audit. The proposers regard cooperation between several municipalities as a step in the right direction, but believe that the distinction between the order and the execution role should be clearer. It's amazing that the majority is not more solution-oriented to avoid the many issues of corruption and corruption that we see in Kommune-Norway at these times. There is something the Progress Party regrets very much.
ParlaMint-NO_2007-03-08.ana.ud644e292	The President expects the representative to address his proposal.
ParlaMint-NO_2007-03-08.ana.ud644e295	Yes
ParlaMint-NO_2007-03-08.ana.ud644e300	The representative Ib Thomsen has taken up the proposal to which it refers.
ParlaMint-NO_2007-03-08.ana.ud644e303	I think the proposers here address a significant issue that is absolutely necessary to ask questions about: if today's legislation relating to the independence of the municipal audit is strong enough. It is a guiding principle in the private sector that the auditor should not have a job with the company for which he is auditing. Yes, you go even further than that – you also demand that the audit firm should not be entrusted with any other tasks for this company. It was an intensification that came after the major scandals in the United States: although the auditor was outside the private company, the dependence on the company had become too great, by selling other types of assignments to the company. This was thereby inculcated. There is reason to ask questions – as the proposers do – about today’s legislation, which fully facilitates the ability of municipal sector auditors to be employed in the municipality, thus having both audit assignments and other tasks for the municipality. We believe that there is an absolute need for a review of the law to ensure greater independence between the municipal audit and the municipalities being audited. Today, however, we are not prepared to go directly in favour of the proposals of the Progress Party, because the proposal also has a number of other consequences. Among other things, it explicitly states in the proposal that municipalities should be made subject to accounting obligations under the Accounting Act, which would have significant consequences with regard to depreciation rules. The major challenges we have faced in the health sector in this regard give a small picture of how big a challenge we would have if we were to carry this out overnight in the municipal sector. That's why the Right with the Left here promotes a separate proposal, which I'm a little surprised that other parties, too, can not participate in supporting. I think there is reason to recognise the issue of the Progress Party in this area – and not just, as the Labour Party's representative here did, try to find hidden motives such as privatisation behind the proposals of the Progress Party. I do not perceive in any way that this is the reason of the Progress Party, but that they are concerned about the dependence that today's municipal audit has on the municipalities. This is also the reason why the Right cannot be included in the majority comment stating that ‘you cannot see that the current requirements for audit and auditors in private companies are higher than in the public sector’. It must be clear that they are – with the requirements of private sector independence in relation to the public sector. It should then be said that the public sector has in addition the control selection system, an additional mechanism that strengthens confidence in audit and control in the public sector – in addition to the audit requirements. However, in our view, it is not sufficient to establish that today’s public sector system is reassuring and that there is no need for a review, precisely to ensure greater independence for — and therefore greater trust in — the audit. As the representative of the Progress Party said, it is essential for a sector in which a user of Community funds can have confidence that these resources are properly used. We've recently seen too many examples of today's system not working. Therefore, I am surprised that the majority so cashy chooses to reject this issue, instead of acknowledging that the Progress Party here actually addresses a significant question.
ParlaMint-NO_2007-03-08.ana.ud644e322	The President assumes that the representative Bent Höie will make proposals.
ParlaMint-NO_2007-03-08.ana.ud644e325	I'm addressing proposal No. 2, from the Right and the Left.
ParlaMint-NO_2007-03-08.ana.ud644e333	The representative Bent Höie has taken up the proposal he referred to.
ParlaMint-NO_2007-03-08.ana.ud644e336	It's time for recycled progress party proposals – we've got some of them lately. We can approach this matter in two ways. We can approach in principle and say that in principle we take a distance. We do not like the fact that the auditor is employed in a municipality that he should also review. It could be the principle approach. Initially, I have a great sense of principle to approach this in this way. Then you can choose the pragmatic approach, as the Progress Party does. It is a purely pragmatic approach in which they present the law of auditors as the ideal. Ib Thomsen says today's audit works badly, it doesn't work well enough in many municipalities, etc. Then he frames up the pragmatic approach. But this isn't the actual ratio. We have a few examples – we should regret them, and we think they are unfortunate – where the audit obviously has not worked well enough. The examples we have are the municipalities of Oslo and Bærum, where the audit probably – I say probably – has not done a good enough job. But if we take care of the private sector – the ideal of the Progress Party – with auditors under the law on auditors, it is not a good example for the municipalities. There's somewhere where there's been corruption, and where the audit hasn't worked, it's in the private sector. They obviously didn't manage to do their job there, because that's where you've had the big corruption issues, the big losses, etc. The ideal for the Progress Party is therefore the statutory auditor and the private sector, which obviously does not work – and which obviously works worse than is the case for the municipal sector. And then you can keep discussing the principle. And we're going to do that -- we're going to take that debate all the time. Is it a lucky situation that the municipalities employ? What is happening now is that most municipalities establish intermunicipal audit firms. The municipalities are the owners of these companies, so you can get a mix that's unfortunate. But there's nothing about today's system that indicates that it's not working well for municipal audit. So there are a few exceptions, a few examples, but compared to what happens in the private sector, today's system works great. On the basis of a pragmatic approach, I conclude that the system is working well – there is no need to support the recycled proposal of the Progress Party. That's why we reject it. On a principle basis, we can continue to discuss it – and possibly make a decision on a purely principleal basis. But I do not think there is any basis for changing today's system either, precisely because the municipalities set up intercommunal companies to be responsible for the audit. I have faith that this system works – everything indicates that we all have reason to believe in this system.
ParlaMint-NO_2007-03-08.ana.ud644e355	The intention of the Progress Party’s proposal on enhanced requirements for auditor independence is good. Although the local authorities can experience themselves as independent and say something that needs to be examined, it is not obvious that the local authorities are taking the point seriously. Unfortunately, we have fresh examples of this, both in small and large municipalities and in intercommunal companies. But how we should do this in practice is not given with the proposals of the Progress Party. Firstly, it is important that the municipalities themselves are responsible for their own operations. It is in everyone's interest that the municipalities use their own housing in the best possible way. In particular, it concerns citizens – taxpayers. However, audit and control of the administration is not – and should not be – the only control of the activities of the municipality. The elected local government body, as well as the Presidency, and not least the control committee, have a very important task here. Therefore, we should also look at the conditions of the control committees, consider strengthening their ability to exercise effective control and take initiatives for consultations and reviews. We have delegated a responsibility and a trust, and then we also have to delegate the responsibility to solve the problem. Changes were made to the provisions of the municipal law on revision in 2003. The changes led, inter alia, to: to open up the competition for the launch of municipal audits. Few municipalities have so far chosen to launch the audit. For the vast majority of municipalities, the audit of their own audit units is carried out in inter-municipal cooperation, while a few municipalities still employ auditors in the municipality. The left agrees that it is right to gain experience in the functioning of the municipal audit system after it has been opened up to competition before considering new regulatory changes. A central question at the proposal of the Progress Party is the capacity of audit firms when one in practice omits all those who have been employed in the municipal audit. If the option is actually to transfer the task to the Riksrevision, the Left is very skeptical to it. In addition to the fact that it will hardly reveal any more mishaps, it would seem very centralizing to further remove responsibility from the elected and local administrations. Transparency International Norway wants to take the audit from the municipalities. Their option is to establish a national municipal audit. This is an interesting proposal that it might be worth discussing further. But I would remind you that this is actually possible already with today's legislation if all the municipalities gather on such a proposal. Such a proposal will certainly create debate in the municipalities – a debate worth it in itself. Local self-government also means that you look at how a person controls himself, and that is a good debate for local democracy.
ParlaMint-NO_2007-03-08.ana.ud644e370	The government has great faith in the municipalities. We think they are important – as the democratic arena, as a service provider and as a community developer. That is exactly why we are so concerned that everyone must have confidence in the municipalities. It is sad that we have had some unfortunate incidents in the municipal sector in those days. That's also why I have set up my own ethics committee, and I have carried out a full review of the law and legislation that has to do with ethical behaviour. Municipalities and county councils today have three alternative ways of resolving the audit obligation: by recruiting auditors/revisors in the municipality, through inter-municipal cooperation or with other – read private – auditor. This is in line with the principle of municipal maritime governance, and it was established when it was opened up in 2003 for municipalities to launch the audit. Access to the competitive environment implies an option. It was a premise for this amendment that the municipalities should be able to choose to keep also the old, day-old, employee-accounting scheme. Most municipalities currently have an intercommunal audit scheme. As has been mentioned here, the municipal law provisions on audit are largely in line with the corresponding provisions of the statutory audit act, with the exception of one point – employment. The statutory auditor shall require that the statutory auditor cannot be employed by the statutory auditor or by an audit entity owned by the statutory auditor. The introduction of the statutory independence requirement would mean that municipalities could not have auditors employed in the municipality or be audited by inter-municipal audit entities owned by them. An effect of the proposal in Document No 8:13 is that this freedom of choice is gone. In reality, it means the establishment of a system of compulsory contingencies. The audit scheme selected by over 90 pst. by the municipalities, would then have to be terminated. I think it is wise to await the ongoing research and evaluation of the system of competitive review. As of today, I see no reason for today's practice to change, but we shall keep an eye on these matters in the future. I will not rule out that it may be necessary to consider issues related to the role and independence of the auditor at a later stage. It must be taken into account that non-employment conditions have a significant impact on independence. Employment does not automatically involve a sub-scheme or dependency relationship. The important thing is that the person to be audited cannot influence the choice of the auditor, the auditor’s framework conditions and the content and reporting of the audit. An auditor employed in the municipality is not subordinate to the head of administration, if he receives a salary from the municipality. The auditor acts on behalf of the local authority and the control committee. Nor is it obvious that a municipal auditor would be less critical of one of the municipality’s activities than a private auditor, who has been commissioned as a market actor. Summary: I think it is important to gain experience in how the audit system we now have works, before any changes in the legislation are assessed. If it turns out that the municipal audit system we have today does not give enough independence, I will certainly come back to the question.
ParlaMint-NO_2007-03-08.ana.ud644e389	It's going to be line change.
