ParlaMint-NO_2007-02-06.ana.ud797e45	The representative Hans Olav Syversen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-02-06.ana.ud797e310	The theme we are discussing today, namely suicide, is still a taboo area. It is therefore important, as others have said before today, that such interpellations as the representative of Ljunggren travel should also be the subject of this Chamber. Fortunately, the suicide rate in Norway is lower than in our neighbouring countries, but that life, not least young lives, is lost as a result of suicide is both sad and tragic, not least for the relatives. I fully agree with the interpellant that the help supply to the survivors is important. In principle, everyone shall have access to fixed and municipal psychiatry services after a neighbor has taken his or her life. I still think it's wise to organize other offerings as well. I know that some municipalities, especially in built-in districts, organize specific services. In spread-built struts, e.g. In Sogn and Fjordane, where I myself live, I know that organisations like LEVE, who have been mentioned before, organize group talks for the survivors after suicide in the whole state. Those who have used such offerings, as I know, have been largely satisfied that there is such an offer. But the big question here is what healthcare can do. We've heard a lot about what the neighboring ring and the neighboring call are going to do, but we also need some systematic solutions. The question is, what can health care do to reduce the rate of suicide? I believe that the main issue must be that one follows the intentions of the stepping-up plan to invest specifically in children and young people, and the second continues the development of the mental health centre at the local hospital level, DPS, in order to provide long-term and coordinated services to the outsourced individual, and thirdly, in health centres to provide young people with low-threshold services with special emphasis on lifestyle and mental health, and fourthly, that a bet on better services for drug addicts. Finally, I would just like to say that general policy – both national policy and not least active district policy – has an impact on the topic we are discussing today. I live as named in Sogn and Fjordane, and it's a happy fact that in this county there's much less suicide than in other states. At the same time, we know that there is a relatively low frequency of mental disorders in Sogn and Fjordane. Oslo, for example, is lying. 40-50 pst. over Sogn and Fjordane in the event of mental illness, and it is also common in Oslo with many mental disorders at the same time. It's not unnatural to see the frequency of mental illness and the frequency of suicide in context, which we're all probably a few of, but the big difference in the rate of suicide that I'm referring to should be interesting to look at. I am not aware that there are research results that have been shown to be associated for a longer period of time. That's why I'm going to ask the Council of State about these contexts that I'm pointing at is familiar with the ministry, and if so, how it's going to work on this issue.
ParlaMint-NO_2007-02-06.ana.ud797e323	First of all, I would say that nothing is more tragic than when people come into a life situation where they see no other way out than to choose to end their own lives. That's why I would also like to thank the representative Ljunggren for now addressing the topic of suicide among young people, so that we can put the theme in focus and see what we in the community should do to reduce the number of suicides and attempted suicides. That is rarely a single reason for suicide. In most cases, suicide and suicide attempts are the result of several unfortunate factors, where mental illness is a significant but not sufficient explanation. Today, suicide is the most common cause of death among young men in Norway. Yesterday we could read on the front page of the Newspaper that the proportion of young girls who have tried to take their own life has increased by almost 30 pst. from 1992 to 2002, which Anna Ljunggren was also involved in. The number of young people with depressive symptoms has also increased sharply, especially among boys. Increased drug use — in particular alcohol — conflicts in the affected state and serious disputes with parents are highlighted as causes. Preachers at school and friends are also teasing young people's psyches. ‘You’ll have the right clothes, lots of friends and top characters. You're going to be something," says Heidi-Wibeke Bakkland, who is a member of the board of mental health youth. I agree with her – young people experience increasing pressure from more and more sides. Because the causes are so complex, I think we need both concrete measures and broad strategies against larger sections of the population to prevent suicide and attempted suicide. Prevention is a health care task, but very close to health care alone. In all environments, mechanisms such as exclusion, rejection, poverty, bullying, abuse, unemployment, infringement, etc. lead to suicidal thoughts. Prevention must therefore take place in many non-health areas: at school, at study places, in the workplace, in research institutions, in the police, in social affairs, in political work, in the care of the elderly, in housing planning, etc. Prevention is also about capturing young people and giving them an offer, especially those who are outside the field of sport. More specifically, prevention can be about school health services, where provision varies widely between municipalities and between different urban areas. In most places, several years’ work is needed in the school health service. There is a lot of good work in public health, but it is important that mental health is equated with physical health in this work as well. Health nurses should be available to children and young people, both for those with difficulties and to prevent them. Child and youth psychiatry is responsible for providing treatment services to children and young people under 18 years of age. In 2005, 1490 paediatric psychiatric patients with suicidal risk were registered as the main referral basis. Many also struggle with suicidal thoughts and impulses that may emerge in the course of treatment without being registered as grounds for referral. Fortunately, although few of these young people are in acute danger of taking their own lives, the assessment and follow-up of young people with such thoughts is an important area of childhood and youth psychiatry. But risk factors can only give a hint. There are also no reliable instruments for assessing the risk of suicide. One must ask. One must have an in-depth conversation. Help phones help you listen, to want to understand, to spend time and to be engaged with people who show you the ability to move on. It is good that we have such phones, and then everyone else needs to remember that we also have a responsibility to be more committed people, a responsibility to take that conversation and spend the time on those we see need it. Effective measures against alcohol and substance abuse, depression, sexual abuse of children, social isolation, solitude and mental disorders in general can also help prevent. Prevention is also achieved by reducing the availability of suicideicides and by reducing the number of sensational suicide press releases. It is also worth noting that many suicide attempts occur spontaneously. Based on studies addressing the effect of altered availability of commonly used suicidal methods, it can be assumed that the installation of obstacles leads to a decrease in overall suicide rates. It would be interesting to see if this is something you should bet more on. Finally, I would like to say that there is too much talk about all of them – those who don't get the best grades, those who have a different skin color, those who are unemployed, those who are not like us. We have to create a society where there is talk about us – not about us and them. It is also about prevention in the broadest sense.
ParlaMint-NO_2007-02-06.ana.ud797e352	First of all, thank you for the interpellant for the theme you're about to review. I don't want to spend the time repeating what many others have said, because they say a lot of wise words here today. On the other hand, I want to try to shed light on things that have not been so focused on. First and foremost, alcohol and alcohol are a problem. Yes, of course it is. But you might have to dig a little deeper to understand the problem, and ask yourself, why is it that someone falls on the outside and seeks comfort with like-minded ones, among other things. through alcohol and alcohol? Why is it that someone falls on the outside? That's where the question lies. So you get comfort in one or the other, but that's why you end up on the outside, which is the real challenge. Norway has the longest waiting time in the Nordic region for paediatric psychiatry. Figures from the Norwegian Public Health Institute show that mental health problems in Norway cost us almost 100 billion dollars a year. Furthermore, it is quite clear that we are too little able to capture those who have mental health problems in time. There's a big challenge. Because it's like this for people who have the kind of problems, that once you've gone deep enough into a depression, the risk of this repeating itself becomes bigger and bigger for every time it happens. And how are we going to catch up with those who have these kinds of problems? I think it is clear that we should strengthen the provision of school health, but should we not find other and more structured forms of catching up with those who have a psychosocial problem? How are we going to get into kindergarten and school a competence that captures this problem in time? There's the big challenge, as I see it. It's very nice to say about the neighbouring nucleus. She's an important part of society, but I don't think the neighboring frenzy is able to capture this kind of problem where it's concerned, because we have to catch it up so early. If we don't get into a situation where we'll see a repetition in people who have a huge problem. This is also interesting to see related to bullying in school, because, as many say, there's a lot of connection. But when you see parents, relatives, who take up a bullying situation at school today, it's actually so that a large majority of those who deal with the bullying problem become bullying victims themselves. Then it's clear that here we have to actively go in and do something. We can't have it like this!
ParlaMint-NO_2007-02-06.ana.ud797e365	Several have given praise to interpellant Anna Ljunggren, and there is every reason to do so, both because it is an important theme, and because it is difficult. It is often difficult to point to the reasons why people commit suicide, not least young people. I ate my ears when Anna Ljunggren said that she had contacted her teacher and asked him to have a conversation with a class around the theme – I did because I have experienced that very situation myself. As a doctor, I experienced that a young person took his own life because of grief, because the girlfriend had turned up the same day, and then the teacher just asked that the health care service was there, and that you had a conversation in the class afterwards. I think it was incredibly instructive to hear a whole class of 30 students come up with their innermost thoughts about how they even experienced a suicide in a 16-year-old. The boyfriend broke up, and then you killed yourself with a lot that afternoon. What the example also shows is that thinking that psychiatrists and psychologists could help this individual is not realistic. There, Anna Ljunggren is right when she uses the picture with the neighboring ring. There is, of course, the proximity to the situation, and the fact that young people are given the opportunity to be robust in the situation, which means that they will be able to survive. What the students then say is, we're angry at Thomas. Then I ask, why are you angry with him? Well, now he's given his girlfriend his guilt for the rest of his life. And they're right about that. You could say that the conversation in such a class situation makes many of these students, if they get in a similar situation, think that I don't have to do this, because it doesn't just happen to me, it affects those who remain. There are many good teachers in Norway who are able to conduct such conversations. Therefore, it is important that we do not institutionalise all the measures related to this. It also costs nothing, you don't get one penny in extra expenses by the teacher in a class situation addressing this issue to his students, provided he is sure about it. I think you can use the local health service much more in that kind of conversation than you do today. Most — it may be a health sister, it may be fixed, and there may be other health professionals — have been in these situations and have experience. Nor should we forget that the pastor often has experience. The pastor has had a conversation with the family afterwards and can communicate based on his impression. In the different communities, people who have been in the situation and who have knowledge from a prevention point of view are often used. My impression of psychiatrists and psychologists, as it is in practice three months' waiting time to get in, is that they become too exclusive. We have recently had a discussion where private psychologists are confronted with the fact that they do not take in very many new patients and that the waiting lists are long. They say it's a capacity problem. It is a type of exclusivity that the local health service cannot at all allow, because at the moment you get that kind of enquiry, you have to deal with it the same day. But it also gives you experience in these situations, which many psychiatrists may not get, because patients have to wait for many months. I record that this with tragedies in families was mentioned. They just used the term "family tragedy" attached to a family where three people were killed, on which the family father finally took his life. I saw that the newspaper had a leader on this, a type of consideration I agree with at least, where they say that we must stop using the term «family tragedy» about that. The fact that you kill three people before you kill yourself, we shouldn't interfere with a debate about suicide, where you're basically hurting yourself, but not threatening others. It creates a kind of impression of a legitimacy that is dangerous in public space, for some could get the wrong, misunderstood attitude that it's kind of a social acceptance for harming others. When you discuss suicide, I hope you're concerned that there's something quite different than the mechanisms that make you actually kill others. But again: Thanks to the interpellant for raising an important topic, which it is important to follow up on, including with soil-based measures.
ParlaMint-NO_2007-02-06.ana.ud797e387	I want to join those who praise the interpellant for bringing up the theme of suicide. The theme is hard to pick up, because it's connected to grief, shame, guilt, and it's very difficult for those who are left to understand why their very closest take their own lives. We're also talking today about a group that was supposed to have life in front of it, but that seems to be so hard to live that death is the only answer. The fact that children up to the age of 10-12 choose this way out is something we have to take particularly seriously. As the Council of State says, the matter is difficult to deal with, because it affects so many fields – school, growth, environment, intoxication and many other things in society. Predictability as to who chooses to take her life is also not present, as apparently normally functioning, happy young people choose this way for some reason. That's why I think it's very hard to catch everybody. The reasons and reasons, as we have heard from this pulpit, are also very different from person to person. As the Council of State mentions, several measures are possible. But I want to bring out the health wards, which also several people have been in, and perhaps especially the health center for young people. The health centre for young people is that low-threshold offer. It's free, and it's there for the kids on their premises. I want to draw an example from Skien. There I have heard that they have a very good offer where they can capture several cases of threatening suicide. There is a psychologist present, and there they can take the difficult conversations. What's easy for us adults may not be so easy for the young, and they need help to move on. Offers like what they have in the Ski, and probably many other places, can prevent, prevent and detect what young people are struggling with. Measures can be put in place much earlier. But the challenge is to get the boys there. There are very often girls who accept such offers, because they have easier to talk. The school health service is another offer aimed at young people, but unfortunately not all places are as well developed or have good enough staff. Young people need such places of trust and time, including time for the good conversation. Therefore, it is important that municipalities focus on building up and offering the good arenas in the school health service. As the interpellant pointed out, there is a link between mental health — and the life situation of individuals — and suicide. However, it is probably utopian to think that we can manage to prevent all suicides, even if we put in lowthreshold services such as the health centre and the school health service and all the measures mentioned by the Council of State. A well-developed range of paediatric psychiatric services is needed. Time for conversations, being taken seriously, and finding out what's struggling, is a long process. But first you have to be willing to accept help or see that this problem is going to do something about it. We also need to be aware that many are struggling alone. I will also mention the many survivors who struggle with guilt and questions about what could have been done differently. What LIFE does in its campaign is to make this less difficult. What can be talked about and discussed and made more general can help those who are left. The survivors also need help, and they must be in a good position when suicide has first occurred. Schools, work, family and friends – I think everyone can contribute according to their responsibilities. Giving young people self-esteem, talking about it, as the representative Ballo says, drying up difficult issues, can help to make this more general. In our society, where success is a goal, and where appearance, job and career are what is measured, we politicians should be careful about what we signal. We have to give opportunities for inequality and diversity and not create feelings of guilt for young people so that they don't reach the goals we set. Again, this is an important topic to discuss. We as politicians can do ours. We can make arrangements, we can reveal, we can prevent and repair – at least the Council of State has shown that you are willing to take a roof and try to do something. But at the end of the day, it depends on whether the individual wants to seek help.
ParlaMint-NO_2007-02-06.ana.ud797e410	This has been an incredibly important and great debate. Thanks to the interpellant! Aud Herbjørg Kvalvik said it so correctly: it's rarely one has such a serious and great debate in Stortinget on such an important topic. We often stand out of this pulpit and have to be world champions in percentage and billions. This debate is about so much, much more. Life is very difficult for many. We are all faced with great demands, but most difficult for those who stand on the threshold of adult life. You're going to look great, weigh exactly the right way, preferably be without squats as well. You're going to have the right clothes, the latest sports equipment, and you're going to be very much like them, with the right friends. And not least you should be able to work well at school, yes, be such a good fit. Don't hang by, for all things, but don't stand out by being the doll in class. Several speakers here have pointed to the neighbor, and she is important, well to notice if she is at home and has surplus to care. If she dares then, for we are so afraid to get involved in something unpleasant. But we have to care, we have to be there. In an article in the newspaper on February 3, Ole Rikard Haavet wrote, among others.\t\t You can change the settings of the grid. \t\t \t "The 15-year-old boy in front of me who doesn't feel any hope for his life, and his father, who together has visited me because I'm the guy's regular, is not the first in this situation to express his powerlessness. There are many similar stories. The boy's problems are played back to himself and otherwise fat under the carpet." We can only imagine how the young boy or girl has felt before he or she chooses to end life – a life that has not yet begun. We must never forget the relatives, the loved ones who are left with thousands of questions that they never get an answer to. We who are parents and grandparents, must be present, care about, encourage grandchildren and children to talk about things. And we have to give a lot of praise, give the young confidence, say more often that you're eely, you can, you're nice. I am pleased that the Council of State takes this problem seriously and makes several proposals for solutions. We've heard of the child and youth psychiatry that needs resources. Yes, but I honestly think it's getting a little bit small in such a serious debate trying to score party political points. When it comes to preventing suicide, we must stand together, be fellow human beings – not party politicians at such a time. In fact, the party-political superpowers have to be put on the booth. We have to be there, we have to be there for each other. That's what this is all about.
ParlaMint-NO_2007-02-06.ana.ud797e430	It's a social danger signal when a significant number of young people in that phase of life will normally think that you're most concerned with expectations of the future and have the most appetite for life, are gripped by such a fundamental despair that they find no other way out than the exit door. That should worry us all. It also suggests that it is important to intensify research in this area in order to try to identify the factors driving young people into such situations. You say very often that children and young people have never had it so well before, and it's always a sign that the person who says it is approaching the year of dust. What you forget to add is that it also applies to all other generations in today's society that we have never had it as well before – that is, in terms of the goods that can be counted and measured and weighed and taxed in dollars and ears. At the same time, the truth is that it's never been harder to grow up than it is in today's society, because you spend so much longer on it than you did before. In old society, the transition between childhood and adulthood was very simple, clear and transparent. To put it at the top of the table, it took exactly one hour, from entering the firmament service to coming out. When you went in, you were defined as a child, when you got out, you were an adult. And both roles were clearly defined socially. The expectations expressed by the environment were as clearly defined when you were a child, as they were clearly defined when you were an adult. Today you spend 15 years covering that distance, and in that period of life you're neither a child nor an adult, but the environment treats you for one moment as a child and in the next moment as an adult. It creates a rather uncertain identity. At the same time, we invest more in children and young people than we've ever done, but it's always in their thoughtful future that we invest. We keep them in the education system a lot longer than ever before, and we do it in good sense, in the belief that it will give them a better adult life. But no one can have their identity placed in the future if you don't have an identity here and now – just as little as a retired person can have his identity placed in the past and be present. As human beings, we are designed to live in our own present time all the way. After all, the point with children and young people is not primarily that they are potential adults. They are too, but the point is that they are children, and that childhood has its own value regardless of what it might be later in life. We, as parents and grandparents, need to invest a lot more in thinking about how we send wrong signals, and how we can help send the right signals that give children and young people an experience of being meaningful here and now and not just once in the future. People who have a self-image of respect will also have respect for other people, because there are two sides to the same thing. Safety in relation to other people requires that you are safe on yourself and that you have a self-image that you can live with every day. It represents a huge challenge in our kind of society. Therefore, I hope that the Council of State will continue to work along the lines she pointed to in her answer. But I also think it is right at last to stress that we need to get a better offer for those children and young people who are in critical health situations mentally. We need to invest in creating a system where people don't risk getting on a waiting list for months to get in at all to the expert help.
ParlaMint-NO_2007-02-06.ana.ud797e441	I would like to thank all those who have contributed here today to a very good, concrete, thought-provoking and reflective social debate. I am very pleased that this has become a broad debate on drug abuse, alcohol abuse, social skills in schools, safe and good teachers, neighbouring women, school health services, absenteeism, and also a debate that those who are outside the organized leisure services in the municipalities also need help. Just because there are so many causes of suicide, there are also a lot of answers, and that includes many aspects. Our society has changed dramatically over the past 50–60 years. In many ways, society has improved, and in some ways it has become worse. It's harder to be lonely. I don't think we're going to change society in all the areas where it's getting worse today, but we've come a long way with measures like that being free: caring, being a good neighbor, and being a safe and good teacher. I don't think we can completely eliminate suicide, but as long as more people who ask for help get it, and more people who are far down are picked up, I'm satisfied. Through the debate, we have also been informed that we, as politicians, can do something. We can follow escalation plans, and we can allocate more money to the school health service. I am sure that our Minister of Health will follow up. I want to repeat what the representative Dag Ole Tegen said: Let it be us, not them!
ParlaMint-NO_2007-02-06.ana.ud797e452	I will join the summary of the representative Ljunggren now. I also think it has been a very good debate. Just getting a debate where we dare talk loud about this, I also believe that it is a contribution to trying to do something about it. I also think that many good ideas have emerged in this debate that we want to take with us further. What everybody has seen is that there are no simple answers, because there are so many reasons why this happens. It's usually also completely incomprehensible when it happens. The representative Eng and more with her have been involved in this debate on human relations. Obviously, you have to remember each other all the time. We don't solve everything that the representative Ballo was into, in psychiatry or that kind of thing, but what we have to remember is that we all have a responsibility. We have to care. I think having different lowthreshold services for young people, for example. having offers that are open beyond evening hours, as well as strengthening what is happening, inter alia. in school, is unusually important. Having conversation groups, not least for survivors who are obviously also in a risk zone in relation to this, is a very important input. Volunteers also make considerable efforts in this important area. Then I think what Ljunggren picked up, and that Ballo also followed up – what role the school can play, and the interaction between health professionals locally, priests and teachers – is a very good idea to continue working with. I think that at least is one of many concrete things in this debate that we should follow up and see if we can get organized, not by adopting it here, but by trying to encourage more people to talk properly and soberly about so difficult things, because we know something that it might matter. Then the representative was Wage and many others said we don't know enough. We need to do more research. It's quite obvious. We've gained some more knowledge. We have to use that positive. We know that for many, it's so that it can be associated with mental problems of different kinds. I want to say to the representative that Sjøli raised in particular: the government is busy being able to exploit all the good people in the psychiatry to help both children, young people and adults. That's also why we're now going through the role of contract specialists. We want them more into the specialist health service, so that everyone is involved in taking responsibility, not just for the simpler things, but also for the more complicated things. That's often what we're talking about. Then I would also like to say on behalf of the Government that this government is going to follow the escalation plan and give the amount that we have promised will also be given in this period. There must be no doubt about it. So it's important for me to stress that if young people need urgent help, they'll get it. Then they won't be on the three-month list. But as I said in my main post, the government will come back in the near future with a special waiting guarantee, to cut the waiting time. Then we get plenty of opportunity to discuss it as well. But I think this has been a good debate.
ParlaMint-NO_2007-02-06.ana.ud797e469	The interpellation debate is therefore finished.
ParlaMint-NO_2007-02-06.ana.ud797e487	The patient journal is literally a vital tool in health care work. Therefore, there is reason to stress that the approach angle to this interference is not primarily to point to all the hazards and problems associated with the storage of sensitive information. It is equally important to ensure systems and working procedures which can guarantee that the information is available at the appropriate time and place. There are quite a number of studies dealing with mistreatment and accidents in specialist health services. Taking into account the figures used in international research, this concerns many thousands of cases per year in Norwegian hospitals. The proportion of these accidents and maltreatments due to a lack of information for those taking treatment measures is uncertain, but there is reason to believe that a not insignificant proportion is related to the fact that the necessary information is not available at the critical time and at the place where it should have been available. In a modern, highly specialised healthcare system, there are far more categories of staff involved with the individual patient than before. The organisation of hospital activities will also involve much greater staff replacement at all times, which means that more and more people need to access the information stored in the course of a patient’s life. The transition from paper to electronics obviously involves many technical advantages. It makes it much easier to store large amounts of information than it was before, and it makes it, above all, much easier to transport the information quickly and efficiently. It also creates entirely new opportunities for transporting information between hospitals in different parts of the country. Of course, in terms of the quality of patient treatment, all this is a step forward. At the same time, these technical advances, like all other technical advances, also have a backside: the potential for abuse will also increase. The more information is stored about the individual patient, the greater the potential for abuse if the information is held elsewhere than it should. We have had some cases that have created media lookups during the last year. I'll just mention some headlines. The evening post wrote in May 2004 under the heading «Employees snooping in patient records» on cases related to the University Hospital in North Norway. The director of the University Hospital, Knut Schrøder, stated very clearly and clearly that the problem had a significant scale, and that he had initiated new procedures and measures at the hospital to ensure that he could avoid future abuse on the part of employees. In the Health Review there was a look in May last year under the heading ‘To snoop easily in patient journals in Bergen’. It refers to a case where the Data Protection Agency, the local health authority of Hordaland and the State Health Authority jointly issued a very critical report to Health Bergen, where they pointed to several serious defects and deficiencies. It was noted that the electronic patient records are not properly protected from the transparency of employees who do not have a legitimate need for the information. It was pointed out that the system of post-control of who has been in and checked up in a patient record is not sufficient. It was noted that the back-testing cannot replace a pre-restriction of access compared to staff who should not have such access. It was further pointed out at the end of the report: ‘There is reason to believe that such problems also exist in other health establishments because the poor protection of confidentiality-related information is linked to the construction of the computer systems, which are poorly adapted to an organisation where health professionals work across posts, sections and departments.’ Last month we had news coverage in the media about similar problems related to Ahus. There's reason to think that the news releases that reach the media are just like the top of the iceberg. I see two major challenges. One is to ensure that the computer systems, the technical solutions chosen, are as safe as possible. There could reasonably be a dispute between the cost considerations, what is expensive solutions and what is cheaper technical solutions. However, in this area it should be clear that it is necessary to use the resources to secure the best and safest technical solutions. This can't be an area to save money. The second is the question of whether the staff have clear enough guidelines, and whether good enough procedures have been developed to prevent patient information from drifting away. Both components, both ensuring optimal technical solutions and ensuring that staff have clear instructions, are to a large extent management responsibilities. My question to the Council of State is whether she can guarantee that this management responsibility is really taken as seriously as it is required. In other words, those who are in charge of individual hospitals and health businesses place sufficient emphasis on this both when choosing technical solutions and when training and re-training the different categories of staff. Once upon a time, our entire healthcare system is based on a tacit trust agreement between the doctor and the patient, and that trust agreement is that patients should be able to trust 100 pst. that the information provided by the patient and the information provided by the physician through health studies are not used for anything other than the overall purpose of ensuring that the patient receives the best possible treatment. If media lookups give the impression that there is a significant degree of uncertainty associated with being treated in Norwegian hospitals, it is clearly to the detriment of the basic relationship between patients and health workers. Therefore, it is an extremely important issue to ensure that the quality of patient data processing is as good as it can be obtained at all.
ParlaMint-NO_2007-02-06.ana.ud797e518	The representative's salary has asked me to answer what I would like to do to ensure that the patient's privacy is better protected through the safe storage of patient records. This is an important question, and the monitoring carried out by the Health Archive Committee in the spring of 2005 shows that patient records are on the wane at all times. Of course, that's not good. In recent years, the media review of poor security of information in electronic patient records has also been carried out by the representative on the pay side. Ahus. The surveillance revealed that too many people had access to information from patient records, without having a real need for this information. Not long ago we could read in the media that patient documentation was thrown into an open container in Oslo. I am also deeply concerned that this can happen despite the fact that we have strict rules of professional secrecy as well as the retention and processing of patient information. A huge amount of patient records are stored in paper and electronic format in Norwegian hospitals. To give a picture of what we are talking about, I can tell you that according to the Health Archives Committee, there were 120 000 meters of patient records in Norwegian hospitals in the spring of 2005. If you put these journals in order, they would range from Oslo to Lillehammer. Many of the patient records that have been surveyed contain information on persons who have died too far. It is important that this information is handled in an appropriate manner as well. They shall be ensured against unjustified transparency, while retaining part of this information for subsequent research. It goes without saying that we can't keep all the material that is produced, that will be produced, for posterity. It is at least equally important that the information not to be retained be destroyed in a reassuring manner. I'll make sure that happens in the next follow-up. There will always be a difficult balance in this area between the need to ensure the transparency of records by other healthcare professionals and others who do not need the information and the need to ensure that healthcare professionals have good and fast enough access to patient information to help the patient with the best possible treatment. It is a difficult balance because it is difficult to satisfy both concerns when establishing fast and secure systems. The specialist healthcare establishments are obliged to ensure that the record-keeping and information systems of the establishments are sound and take care of the different considerations, and I agree with the representative on the salary that this is a management responsibility. So a little bit more about the health professionals' rules on professional secrecy. The rules shall ensure that only those who need information about patients in the service have access to such information. Health professionals are known to have a duty to preserve silence about what they are told about the patient as the job they have. Health professionals shall not only be silenced on matters they become aware of, they shall also actively prevent others from having access to, or knowledge of, such information. It is clear from the Health Care Act. The rules we have, should really be good enough and clear enough to ensure that there is no undue transparency in patient information, but here it is, unfortunately, in this area where there are other areas, that no matter how good the legislation is, one depends entirely on compliance. Unfortunately, it doesn't always happen. However, legislation may also have weaknesses in the process, both because society is changing and because of technical progress. An example of such a weakness may be that it is not explicitly stated in today’s provisions on professional secrecy that it is prohibited to seek information in patient records without the need for such information. There shall be no doubt that seeking or receiving information on patients is prohibited without the need for the health care to be provided. That is why, as soon as possible, I will send to the hearing a proposal for an addendum to the Health Care Professional Act to seal this hole. Infringements of professional secrecy may, as you know, be punished by imprisonment or by fines. Under the Health Care Act, provision is also made for administrative responses, such as warning or withdrawal of authorisation. I am of the opinion that clarification in the provision of professional secrecy, as I have just described, is probably the measure that will be most visible to healthcare professionals, and hopefully preventive in relation to improper access to patient information. So a little bit more about the patient journal systems themselves. Regardless of whether patient records are kept in paper or electronic form, of course, proper patient record-keeping systems must be established. The switch to electronic patient records in recent years has given us some additional challenges, as the representative also describes Wage. And that is all reason for concern when health company oversight reports show that too many employees have access to electronic patient records without actually needing it. Of course, electronic patient records make it easier to obtain information, because such records are available to several people at the same time, regardless of where in the hospital one is. It is clear that easy accessibility allows a rapid search for the necessary information, such as x-ray and probation, which is important for the patient. But while access is to be good enough, one must also ensure technically that the records are not exposed to unauthorised access, by establishing barriers for those who are not to have access. There is no doubt that many hospitals have not come far enough. Being able to track who has been in a journal, by means of a logging, is also a way of preventing unauthorised access. Such a law will also be a tool to control who has sought information in the patient records. I will also follow up on the State strategy for electronic cooperation in the health and social sector, known as the 2007 Interaction. During the last year, regional health enterprises issued a joint study on electronic access, exchange and sharing of patient-oriented information between health enterprises and within enterprises. The overall functionality of healthcare implies that the necessary health information must be available to healthcare professionals to provide healthcare to the patient. The Directorate has assessed the investigation and reported that one should look at possible IT solutions that could allow for easier communication of patient information than today. The Directorate for Social Affairs and Health has also established a standard for information security in the health sector. This standard shall complement the laws, regulations and circulars we already have and shall assist the information security work of each establishment. Furthermore, the Directorate has sent out a circular on access to and disclosure of information in electronic patient records. The circular clarifies the requirements of the legislation for silence-related health information and how it should be handled in an electronic patient system. I think the circular can be a good tool and a good guide for those who are going to deal with information that is silent. I assume that health professionals take time to read through this circular, and I will of course take it up with regional health companies. I have also taken action directly against the companies in the past. At the company meeting in 2006, regional health enterprises were asked to ensure that a common understanding and strategy for risk and vulnerability analysis within information and communication technologies is established. They were also asked to put in place the necessary measures to improve information security if necessary. In a very short time, in the business meeting for the current year, I am going to demand that regional health care companies provide for the phasing out of old technology and electronic patient journal systems that do not meet today's needs. This was also reported in the National Health Plan, which provided the State budget for 2007. We will also introduce a system of national approval of the standard for electronic patient records systems, and suppliers shall be obliged to use this standard in the systems they provide. Today there is no requirement for such standards. We also need, as we see it, common information and communication solutions that enable the actors in the service to have access to up-to-date information in conjunction with the user and patient. This may include, inter alia: is done by creating a so-called national core file. This means that one has a sample of information for a special purpose that is accessible to several, and then it can be supplemented by the information necessary for health status and contact persons, i.e. a breakdown of the information. Finally, I would like to mention that the Directorate and the Department are now going to have regional collections where this is the topic, and both health companies and private hospitals are being invited. I think it's important. To propose an explicit ban in the Health Care Professional Act on unfair access to patient records, to follow-up work already undertaken, to conduct several seminars in this area, and that other information material should now be out – and we will help companies to follow it further – hope that we can make a good contribution to ensuring that no one obtains unfair access to patient information.
ParlaMint-NO_2007-02-06.ana.ud797e558	I thank the Council of State for a detailed and good answer. I mainly share the opinion that today's law should be comprehensive, but consider it very positive that the Council of State wants to clarify the obligation of professional secrecy. It is very important, as the Council of State stressed, to find that the obligation of professional secrecy is not only an obligation for individual employees not to actively misuse or leak information to unauthorised persons but that it is also an obligation to do what is possible to prevent others from misusing information. I think maybe this is the most important point. Because in all major businesses it will be that in everyday life you are busy keeping the wheels going, you are busy making sure that everything that is going to happen happens, and it is easy to become so that care requirements that relate to the handling of sensitive information go into the forgetbook. It should be part of the new employee, so to speak, getting trained at the same moment they are employed by a hospital institution, that fixed programs are being created to inculcate this, so that no one can be in doubt about the obligations of the taushet promise that has been signed. I think that might be the most important thing. I am pleased that the Council of State also stressed so strongly that this is and must be a management responsibility, and that there is no place to anchor it other than the individual director of the individual hospital institution. Then I also find it very positive that the Council of State will develop a national standard regarding the IT solutions to be chosen. I also see the importance of getting IT solutions to enable communication across health companies. I know that today there is a great deal missing from the fact that this is the case. But the more you invest in making communication as efficient and painless as possible, the more you need to stress the care of those who have to handle the machines.
ParlaMint-NO_2007-02-06.ana.ud797e567	I perceive that the inter-pellant and the undersigned agree on the objective, and that we must have both a regulatory framework and – not least – a practice that ensures compliance. So I want to follow up on what has now come up, and what I have said. I also think it is important to make sure that all new staff in the health sector are properly informed about what legislation actually applies.
