ParlaMint-NO_2007-12-18.ana.ud731e131	The representative, Mr Solvik-Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-18.ana.ud731e245	Let me start with a quotation: ‘Freedom Norway is very pleased that the Freedom Notice has been submitted. The notification contains a comprehensive and thorough review of the voluntary sector and bears the impression that the government has listened to the voluntary nature of its work on the notification.’» In the work on volunteering, we have cooperated very well with large parts of the voluntary sector. It has given a good message, with good descriptions and actions – a message that recognises the invaluable role of voluntary teams and organisations, and a message with many and good actions for the voluntary sector. The message is an answer to the need for a new and holistic voluntary policy, as promised in the Soria Moria Declaration. In the introduction, the quotation was from the Freewill of Norway’s public address to the message. Freedom Norway is a cooperation forum for 150 small and large organisations around, with 2.8 million individual members across the country. The proposals we have put forward and, as we are about to adopt, have been put on the table on the basis of the wishes and influence of the volunteers themselves, from Voluntary Norway, from sport movements, from small and large voluntary teams and organisations. Therefore, it was gratifying and stimulating, I would say, to sit on the hearings in the committee and experience that many parts of the voluntary sector thought that the message was useful and important for all those who, in some form or other, are engaged in voluntary work, and that the feedback has been quite so co-ordinated. It makes us sure that the measures are good and effective for those in debt. Through the message, we recognise voluntary work, primarily self-esteem, but also the sector's great importance to us as a society. The voluntary sector is a channel for engagement and social participation and has a decisive impact on the quality of life, on the community and on the development of a living civil society. That is why we place particular emphasis on the sector itself. The voluntary sector shall develop on its own terms and conditions, guided by voluntary activity itself – because voluntary activity is primarily important in itself and for those who engage. It makes sense to participate, it is felt as important and useful to engage in matters of burning – one becomes both wiser and better. Therefore, perhaps the most important thing with a large and strong voluntary sector is that many people have the opportunity to participate in meaningful activities. In addition, voluntary activities ensure that we achieve important societal goals that voluntary activity creates in itself, such as: democracy and participation, but also social objectives such as health, assistance, care, inclusion and many more. Norway is at the peak compared to other countries when participation in voluntary activities is involved. There are 115,000 teams and organisations across the country, and together, as far as one thing to calculate, over 113,000 annual volunteering is involved. In the course of the year, there are almost six out of ten participating in voluntary work, and we have twice as many memberships in Norway as we have residents. Numbers are in many contexts of little importance, but numbers are at least with and give an insight into and an impression of a large and powerful sector. The Labour Party and the Government Party have set out four principles for the proposals in the message: we want to improve the framework conditions for the voluntary sector; we want to increase the resources of local activity and low-threshold activity; we want to support better and stronger efforts for inclusion and integration; and we want to contribute to more knowledge and research. That is why we are proposing to give NOK 1 billion in compensation for the loss of automatic receipts in 2008 and 2009. We stand by the promise we have given to the voluntary sector. We propose to reduce taxes and charges, so that the limits on when a person has to pay a pay employer’s fee are increased, that the amount of the exemption from payroll obligations and advances are raised, and that the tax deduction on gifts to voluntary organisations be passed on. We extend the limit to pay the employer's fee by 50 pst. from 2008 - from NOK 30000 to NOK 45000 for each employee and from NOK 300000 to NOK 450000 per employee. organization. The exemption limit for payroll and advance payments is extended to double – from NOK 2000 to NOK 4000. These are measures that improve the framework for voluntary activities — and they have asked for it — so that it is easier to recruit and hold good leaders, trainers, conductors, etc., and that more of the time can be spent on activity, not on reporting and bureaucracy. Then we will increase the resources of local activity and low-threshold supply. That is why we are introducing, inter alia: a set of grassroots on Norwegian Typing's games, so that the players can choose to give 5 pst. of the effort directly to their local sports team, their choir, their Red Cross team. We mean it will stimulate the activity and commitment locally, in the individual community, in the individual institutions. It will certainly mean greater revenues for a lot of layers around and make it easier to drive. I have to say that it is quite perceptive that a collective opposition is opposed to a system that – at least as far as I can see – has supported a more or less collective voluntary sector. The fact that a collective opposition is opposed to a decentralisation of gambling media, and that a collective opposition is more direct local impact on the tipping surplus, I believe not least sports and other parts of the voluntary sector will notice. In order for even more of those who are not currently part of the voluntary sector to be able to do so, we need more low-threshold capabilities. Therefore, we also need to strengthen the Free Fund scheme and evaluate it, we need to monitor whether it is possible and necessary to adapt state subsidies even better to new organisational structures, and we want simplifications in relation to, among other things. reporting requirements. A third major challenge is integration and shortages. Voluntary organisations play an important role in promoting disability and including and involving different people with different backgrounds, and they want to do more of it. We want to help, so that the voluntary sector can become even more attractive. We have to raise awareness, and we have to make the relationship right. For this reason, one of the measures is to establish a position of its own under Freedom of Association Norway, which is dedicated to integration work. Freedom Norway has wanted it, we support it, but I see that the opposition is also inconsistent with us in this area. One of the last important areas for us is the need for more knowledge of the voluntary sector. The voluntary sector is constantly changing. It is therefore important, both for the voluntary sector itself and for the authorities, to have up-to-date and good knowledge so that the challenges you face can be addressed in the best possible way. Freedom Norway has been very busy with the need for more research and knowledge. We are a few in it, and from next year we will launch a research project over a three-year period, linked to the voluntary sector. We have paid the first money for the work in the budget. We will learn more about the sector and more about the importance of voluntary enterprise in our society. The design of the project shall be in conjunction with the voluntary sector. I had believed that there would be a great deal of excitement about these principles and measures, as the voluntary sector itself has been so central to the work on the message. But when you read the setting, you get the definite impression that the opposition is actually against what the government says and does. I have nothing against that in my opinion, but that opposition in large words and formulations criticises us for is the same action that voluntary teams and organizations have requested. We have simply listened to the voluntary sector. The opposition's criticism of the Government is therefore a criticism of the voluntary sector. Of course, the opposition is allowed to disagree with the voluntary sector as well, but then one might expect other measures, a different device and a different policy. I don't see that. They come with various claims, but there is no coherent principle or other policy to see. Thus, it might be that there is discrepancy for the discrepancy of guilt that is the most important thing. We see just enough that the Christian People's Party wants a green card scheme, which will oblige the voluntary sector to ensure leisure provision for all in elementary school age. If you ask me, at least it tends to be called an instrumental grip – a contribution to a more autonomous voluntary sector does not. I see that the opposition thinks it's just the instrumental approach that's the problem. At the same time, they call for a government-owned scheme to be set up for the benefit of disabled people’s local organisations. Well, I support that disabled people's local organisations should have good conditions, but this too will be a voluntary sector governance – with their own state grant scheme with clearly defined criteria, other than the schemes we have today. Furthermore, the opposition is opposed to using state money to strengthen the work of including and involving children and young people with a migrant background. At the same time, I see that they share the concern that there are fewer children and young people with ethnic minority backgrounds participating in voluntary activities. There is therefore no link between what the opposition criticises and the proposals – or lack of proposals – that emerge. There were many years of civil government without any volunteering. We've spent the two years we've been running, working with the voluntary sector. Therefore, I am pleased that, in addition to the government party here in the hall, there is great support for the message we are currently processing, outside this hall. I believe that the measures proposed will help facilitate voluntary teams and organisations, more meaningfully, and that even more people will be able to participate in voluntary work.
ParlaMint-NO_2007-12-18.ana.ud731e288	It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e291	It was fun to be at the hearing," said the representative Johnsen. I'm not quite sure if we've been to the same hearing in connection with the volunteering. We heard about large non-governmental organisations that have to operate on up-to-date funds. For example, companies such as the Rescue Company must use their funds for normal operation. We're not doing anything without the rescue company in Norway, is it not a little funny? Then it was also said at the hearing that they have given us a room for thought – a room for thought, but not a deal. Does the representative Johnsen think that the voluntary teams and organisations have now been dealt with?
ParlaMint-NO_2007-12-18.ana.ud731e298	With the message and the actions that have been put forward, which we are following, and the actions that have both been included in the budget, which are to move forward in the future, it will be easier for voluntary teams and organisations than it has been until now, simply because we are providing relief on the tax side that is good for volunteering, and unlike the Progress Party, we support the introduction of a "grasroots share", which will increase revenue for voluntary teams and organisations locally. So where the Progress Party is going to go against what's going to tend to volunteer, well we're going to back up under what's going to tend to volunteer. Therefore, I believe that the future will show us that the concerns that many volunteer teams and organizations currently have to deal with, and that they described in a good way, will be less in the future. It is the whole purpose of the message and with the measures we propose that it be easier for voluntary teams and organisations across the country to carry out their important work. The measures that are here are a contribution to it, and I'm sure they will be effective. Otherwise it wouldn't have been as much excitement as it has been among voluntary organizations.
ParlaMint-NO_2007-12-18.ana.ud731e305	There was one thing that the representative Johnsen said in his post, which made me take this line. He said that the grant schemes – and I think I quote quite correctly – should be better adapted to the organisational structures of the volunteer. I wonder if the representative Johnsen could elaborate on it a little bit?
ParlaMint-NO_2007-12-18.ana.ud731e310	It is that voluntary activity is constantly changing. Organizations change, and the way people get involved changes. For this reason, it is also necessary in some cases to consider whether the means available to the public to support voluntary activity are appropriate to adapt the form, structure, involvement expressed by people in voluntary teams and organisations. For this reason, we want more of the public funds to come through, for example. operating aid instead of project support. It will be an important measure for the activity to take place on their premises. Perhaps it will also be so that large organizations are growing up today in a form that will prevent them from getting public help for their activity, but is fastening it. For this reason, there is a need to have a review of the way in which the pilot schemes are designed to best hit, and to enable the most people to express themselves through their voluntary activities.
ParlaMint-NO_2007-12-18.ana.ud731e315	I live in Old Town in Oslo. That means I'm a member of the Klan, of course. I've been for a very long time. I think Vålerenga might get a lot of money through the grass root. The representative Johnsen represents Uppland, and he has not heard any organizations that have been critical of the grass root fraction. Then he can't listen very well when he's home. Does the representative Johnsen think that the small organisations are able to market themselves against the large ones in terms of the distribution of the grass root fraction? As we understand it, there will be no more money for the volunteering of the grass root. You just take a percentage of the money that's already there. Does the representative Johnsen think that it is good for the organizations in his constituency to have the grassroots fraction introduced? Does he think 4H in Uppland is going to get big transfers with such a thing?
ParlaMint-NO_2007-12-18.ana.ud731e322	The answer is yes. I mean it. I think that maybe first and foremost is a system that will work for the small organizations. It's the small 4H layers, the small sports teams and the small volunteer organizations out in the district of Norway that most easily identify themselves with. I know very well where to use my 5 pst. I know where my parents are going to use their 5 pst. And I know that there are a lot of parents and grandparents and other people around the community who have a relationship with their sports team or their 4H team or what kind of team it might be. So they're the ones I'm least worried about, the locals. What I love most about the whole system is that we're going to strengthen the districts of the country. And I think it's going to get more income. Today I'm not playing anything, but I'm going to send in a lottery ticket again and no, because I know that 5 pst. Of my lotto efforts are going to go to the West Slider sports team, and that's good.
ParlaMint-NO_2007-12-18.ana.ud731e329	The cord shift is over.
ParlaMint-NO_2007-12-18.ana.ud731e332	Finally, Stortinget received a voluntary notice. Since several cases have already been dealt with in the past, such as: the establishment of voluntary registers and the regulation of lottery activities, without being seen in connection with this message, it is not free for me to think it is a bit limping. The Progress Party has always fought for voluntary teams and organisations. It was for the future life of the volunteer that we fought against the amendment of the Lottery Act. We are convinced that without voluntary Norway the country will stop. The voluntary teams and organisations are responsible for a number of tasks that would either remain undone or that the public would have done. In addition, there is no doubt that for each krona the voluntary teams and organisations use, society will again have ten times as much. The voluntary sector contributes in a number of welfare areas and contributes to diversity, making Norway a richer country. Recently, voluntary Norway has also become a political voice, and that is good. I'm thinking here, for example. in the NGOU on single asylum seekers, which was the first in its battle in Norway and was an impressive piece of work. In addition, the vast majority of cases are sent to different teams and organisations to get to know their views. Freedom of choice shall be exercised, and it shall be readily available. This means that the State should not overstate the way in which teams and organisations are to operate. But for this to work, the framework conditions for teams and organisations must be predictable. The Progress Party is associated with the Right Party, the Christian People's Party and the Left on most of this communication, both in critical assessments of State control and governance with voluntary teams and organisations, proposals for VAT, inheritance tax and a comprehensive review of gambling policy. But at one point, the Progress Party separates itself from the rest. It is in the case of state contributions to voluntary teams and organisations. We were known to oppose the introduction of automatic monopoly for Norwegian Typing. The reason was that we saw that this would have a major impact on the funding of voluntary Norway, in which of course we get it right. The next year is an exceptional year, and the Government has sent a proposal that the Council of State should allocate 150 million. kr to selected voluntary teams and organisations. I am pleased with all the funds that go to the voluntary teams and organisations, but when it is so politically directed that the Council of State will select which organisations will receive money, it will be unheard of. What about the hundreds of thousands of idealists and enthusiasts around the country who lose the money they had, who have put all their leisure time into labor and a living local exposure? They are hardly among the elected councillors. They have to go back to the past waffle roasting, flea market and other things to make money on in order to offer our children and young people a good and valuable leisure offer, and to give our old, our lonely and our sick a light in life. Is that what you mean? We are the richest country in the world, and we cannot even afford to ensure that the voluntary sector survives! It does not help with the 17th May speeches and wishes for Christmas and good New Year if the reality is that the Government and the Storting does not improve the conditions of the voluntary sector. At the hearing, one of the organisations said that the volunteering message has given us room for thought, but not room for action. What would have been necessary to get the room for action, I ask myself? Indeed, higher amounts of grants to voluntary teams and organisations, predictable basic aid — to which it was possible to relate, and not just one percent of a figure, if there is such a figure at all — full VAT compensation, waiver of inheritance tax on legitimized gifts, all who so desire, should be able to stand in the voluntary register, and last but not least, reduce the field of form and application. These are just some of the instruments that had given the volunteer greater scope for action. This was something concrete, and this should be part of the volunteering message. I am afraid the conditions of the voluntary sector result in fewer fires, less enthusiasm, and slowly fewer jobs will be recruited for voluntary work. Then there are children and young people and the weakest of us who will lose. Norway can't afford it. Voluntary teams and organisations have been self-financed over a number of years. The fact that the state now provides less basic support and that teams and organisations need to seek project support to a greater extent than in the past also contributes to a political overarching here. Not only do teams and organisations need to apply for project support, there are also strong indications of how these funds are to be used by the country. It is important for the Progress Party, and I assume that the other opposition parties are with me, that the organisations should get to work on what they can, what they were created for, whether it's children and youth, culture or sport, health or well-being, and not have to spend their time on the form field and apply to projects for which it's not even certain that they will be supported. For some this might be known: provide for simpler legislation in the field of taxation, VAT and employers’ fees by reducing the use of project-based permanent VAT compensation schemes for non-governmental organisations; These three points come from the Soria Moria Declaration, for those who didn't know it. What worries me is that here the government had a golden opportunity to actually fulfill its promises, but what happens? Still, there is project support, still no clarification on VAT compensation, and we can well say here, as the representative Molvær Grimstad was talking about, that half of volunteer Norway feels a bit tricked because it was thought that this VAT committee should also look at VAT compensation for voluntary teams and organisations. There is also no increase in the amount of donations to non-governmental organisations. The progress party is not very impressed with the piece of work that the Government has put into this message. There are still many beautiful words and promises and little concrete action. For those who volunteer, it is not so important which words are in texts, or which words are spoken here today, for that matter. What's important is what we're actually doing, so that they give an opportunity to continue their good work. So I'm going to deal with the suggestions that we have.
ParlaMint-NO_2007-12-18.ana.ud731e374	The representative Karin S. Woldseth has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e380	I have to say, as I have said many times before: when I hear the presentation of its cultural policy by the Advancement Party, I think it seems quite confusing. Not least their game policy. They were one of the initiators for changing the key, which helped to increase the amount of money volunteering – be honoured as the Progress Party for it. But then in the next round they're doing everything they can to help ensure that there's as little money in the pot to distribute through the key. They do that by going along with the rest of the opposition to the grass root fraction proposal, which would obviously contribute to more money in the pot. The second thing they do, and which is even more serious, is they're opening up the Commission Network to international gaming companies, which will erode the entire Norwegian Typing and the ability to raise a lot of money for non-governmental organisations in Norway. My question to the Progress Party is: do they think it is better that the money from Norwegian games goes into the pockets of the international capital rather than that they belong to the Football Federation, the Handball Association, the Red Cross and all the teams and organisations in Norway that obviously need much more money than the international companies?
ParlaMint-NO_2007-12-18.ana.ud731e387	Firstly, if the Workers' Party had agreed with us at the time of the introduction of an automatic monopoly, at least we would have secured the money for voluntary teams and organisations. When it comes to opening up to foreign companies, it's not worse than putting in place a concession, a licence, as it is done in England, Germany, and in many other countries, where a share of the foreign company comes from Norway, goes for charitable purposes. Here it is just a matter of looking further at it and not believing that Norwegian Typing is the only right thing for Norway, and that it is only those who can distribute funds for good purposes. It's actually not like that.
ParlaMint-NO_2007-12-18.ana.ud731e394	Karin S. Woldseth from the Progress Party outlined in his article the reactions to a message from the Government that is completely contrary to what we hear from the voluntary organizations, including what we heard when we had the volunteer organizations listening here in the Storting. Then the resound was that this was a good starting point for the voluntary work further. This was a good message, and this was not least an important message for the voluntary sector. I would like to ask the representative, Woldseth, what makes her think that the voluntary organizations really mean something quite different than what they say when they meet on a hearing in Stortinget?
ParlaMint-NO_2007-12-18.ana.ud731e399	They don't, and what the volunteer teams and organizations said was that this was a good starting point. But I think both the government and the government parties have created an incredible expectation. The message of free will is nice, but it has very little concrete in it that gives some predictable framework conditions to which the voluntary teams and organisations can relate. I think that's the biggest challenge. That's a lot of beautiful words. There is a lot of status quo, but there is little concrete about what small voluntary teams and organisations can expect in the coming years, and especially after 2009.
ParlaMint-NO_2007-12-18.ana.ud731e404	Several have not asked for the word for a line.
ParlaMint-NO_2007-12-18.ana.ud731e407	The voluntary organisations in Norway represent fundamental values in our society. Community feeling and solidarity are closely linked to what we associate with the spirit of virtue and the community arenas where we meet in voluntary work. The voluntary organisations are based on individuals who come together in common interests and who, through personal efforts, create arenas for development, not only for themselves, but also help others to participate in activity. It's a dimension that's important to bring with it. The voluntary organisations constitute the backbone of civil society and can, through it, be a counterweight and a corrective factor to the state as a power factor. Not least in our country, we have seen how large popular organisations contribute to countercultures, also in relation to political work. We have target movement as an example of that, and perhaps No to the EU is also an example of that. In this context, the ability of voluntary organisations to criticise and independently participate in society is central. Civil society is not just an harmless sphere of leisure activities. Civil society is also made up of fundamental values that deal with the ability and willingness of the population to mobilise in things they seem to be important, regardless of government or public leadership. Voluntary activities are also contributing to important societal tasks. Not least in the humanitarian field, where we know that very important and central tasks are being carried out by large organisations. It is in the nature of the case that volunteering appears to be a broad field – a wide range of interests, a wide range of organisations, from the large professional, almost business, to small associations with only a few members. An overall opposition promoted in June 2006 a proposal to draw up a voluntary notification. In this proposal, which we are also dealing with now, we pointed to 13 different areas of action we thought it would be useful to investigate. The main political grip, the course Espen Johnsen was wondering where it was, he can see there. In fact, it was in favour of measures of a general, general nature. Unfortunately, many of these issues have been dealt with only superficially or not at all in the present communication. In this context, it is disappointing that we have not come any more, for example. on the issue of VAT. We had also expected that the laws of urgency to be adopted in our law on collecting actions and the law on the voluntary register would be more complementary in the context. This is not least about the voluntary register. This register has the ability to become a very good tool in meeting volunteering with the public sector. It requires, however, that it be designed in a way that creates a digestion that also includes the small organisations. These must then experience the voluntary register as an appropriate tool, and public authorities must, through active adaptation, provide opportunities for rationalisation. In this respect, there were deficiencies in the case that were dealt with in Stortinget before the summer, and we would have liked to see a better follow-up on it now. Taking this into account, we can unfortunately not say that we have received the overall presentation that we had hoped for. The voluntary policy of the right and the other opposition parties is based on a strong emphasis on the independent position of civil society. For the right, this is a quality in itself. The power and ability of civil society to criticise and mobilise is a Community value which lies in the natural extension of the emphasis of the Right on personal responsibility. Our policies in this area will therefore be marked by the desire for general approaches and adaptations that contribute positively to voluntary activities, without public funding being used as an bait for specific activities or activities. This we experience is quite fundamentally different from the government parties, which is primarily reflected in the approach adopted in the communication. The structure of the message is chapter by chapter a systematic review of a number of policy objectives, followed by an analysis of how voluntary organisational life can contribute to the fulfilment of the Government’s project. The natural follow-up to this will be a targeted allocation policy to support given activities. We also see clear signs of this in some concrete proposals, such as the continuation of the Free Fund scheme, which requires adaptations that favour integrated activities. It is a price-effective objective, but at the same time a clear instrumental approach, which, in this way, also fits well with the other cultural policies of the Government. The government's starting point leads us straight into one of the difficult areas of the relationship between volunteering and the welfare country's activities. In particular, in the humanitarian field, volunteering has taken precedence over actions that have been gradually incorporated as public tasks, such as: hospitals and marine rescue services. In general, good and constructive cooperation between the organisations and the public actors involved has been developed. However, several of these tasks have gradually been incorporated into people's consciousness as public core tasks. In many cases, this means that public development of similar activities and, in many cases, a competitive relationship. On the SV side, a position has long been taken that the State should take over some of these businesses, such as the Rescue Company and their tasks. Right-wing believes it is very important to maintain the private involvement that voluntary action means. Firstly, organisations contribute in a way that has not been given the ability of the State. But more importantly, this commitment clearly means something to the overall solidarity of our society. Fortunately, a well-developed welfare state provides good support through life, but the back of this medal is that we can quickly get to it that we discharge ourselves of responsibility in secure assurance that the public takes it for us. Here, volunteering represents a counterpower that we're all served with to be kept alive. Here we meet another ideologically conditional barrier, namely where private organisations compete with public authorities in areas where today's government on a principle basis prefers the public. For example, we see this in the area of child protection and rehabilitation. In fact, we see that the government is changing in the sense that it distinguishes between commercial and non-profit-making activities. However, even with this starting point in many cases, there is still a long way to go before non-profit and public activities compete on equal terms. The government's approach leads us into a path where organisations will increasingly depend on a close relationship with the state. Aid schemes and instruments are targeted at the individual fields and tasks that will create a dependency balance may be difficult to balance. The increasing orientation of voluntary organisations towards public authorities is also reflected in the developments we have seen in cooperation between organisations. After more or less moderate pressure from the state, the voluntary organisations have structured themselves in national-led pyramidal organisations, which are responsible for communicating with the ministry and massaging. I stress that this organisation is not necessarily negative in the first place, but we see that this creates a good opportunity to exercise governmental influence over the organisations. In particular, the top stone of the pyramid, Freedom Norway, has now been added to the right. We have noticed that this organisation has received special treatment in certain contexts during hearings, and we have noticed that the Government of the State Budget contributes with its own position in Freedom Norway where it is to work to implement the integration dimension and thus the Government's performance project No. 1, Mangfold year. The first chapter of the voluntary service stresses the importance of the autonomy of the voluntary service. Should independence, i.e. the autonomy of the voluntary, be something more than a form of celebration, the policy in this area also needs to be balanced in such a way that it is not allowed to slip through good intentions and objectives. To this end, the right will continue to demand general instruments and policies in which the links between policy objectives and voluntary activities are not intertwined, so that voluntary action meets the policy objectives.
