ParlaMint-NO_2007-01-31.ana.ud49e24	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-01-31.ana.ud49e143	The government has not concluded on the percentage of climate targets we will set for 2020. It is now for treatment in the Government. What the Government agrees on is this: firstly, the entire government is behind Norway as an environmental policy country. Secondly – given by the first – we will have no lower level of ambition than the EU in terms of global greenhouse gas emissions from Norway. We're working on that right now. The important thing now is not that that's what we can call an auction over percentages – the most important thing now is that we start the discussion about what kind of instruments we're going to use to achieve those goals. And then it's a happy and historic day when the Right gives us a blank mandate on all the means we're going to propose to reduce greenhouse gas emissions – because the Right has not been a leading party on this issue before.
ParlaMint-NO_2007-01-31.ana.ud49e152	The President wants to accept four follow-up questions — first, Tord Lien.
ParlaMint-NO_2007-01-31.ana.ud49e156	Let me first say that the Progress Party probably shares Prime Minister Stoltenberg's skepticism with realism in some of the statements made by the Minister for the Environment. The 20 % come from the EU's work on climate policy. The EU produces 80 pst. by its power using highly polluting coal power. 98 pst. by the power we use in Norway comes from renewable hydropower. 20 pst. national emissions cut, says the Council of State. Then my question is: Shall these cuts – 20 pst., 30 pst. or 40 pst., for the sake of the case – on which the seventh and last landings are to be made through the use of the instruments permitted by the Kyoto Protocol, or shall this be done exclusively through the national emissions?
ParlaMint-NO_2007-01-31.ana.ud49e163	We will come back to Stortinget with our own big message. In this context, we are working to divide all the different sectors into different groupings. So we're dealing with the industry, transport, waste, etc. – the different sectors. We need to set specific targets for each sector and look at what action is needed to achieve these targets. We have said that we will come to Stortinget with a big message about it. There will be concrete targets, and there will also be concrete measures. With regard to our Kyoto commitments, we have said that the achievement of the Kyoto targets will be achieved through a combination of national measures and quota purchases.
ParlaMint-NO_2007-01-31.ana.ud49e170	Line Henriette Holten Heimdal – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e173	Norway shall be a leading country. That's why it's so important that we set a measure. And therefore, it is problematic that Prime Minister Jens Stoltenberg has not set this target figure – nor is it willing to do it for a while. The Christian People's Party supports the Minister of Environmental Protection in terms of vision and measurement. We want to draw the measure longer, to 30 pst. For this reason, I would like to give the Minister of the Environment one opportunity in the Grand Duchy's Question Time to confirm clearly and clearly that we are united in taking the measures proposed by the Low Emissions Committee, put into effect, 30 pst. as a measure – and be better than the EU. Can the Council of State give me that guarantee?
ParlaMint-NO_2007-01-31.ana.ud49e180	I am very happy that I can stand with the Christian People's Party about having an ambitious climate policy. If there is something on which the Government is very clear, and for which the entire Government is actively working, it is precisely to specify and make visible all our actions in order to be a leading country in climate policy. I have repeatedly said that Norway should have ambitious objectives, but I have also said that the Government has not yet taken a decision on this. That's why, of course, it's absolutely impossible to put into practice and guarantee some percentages from the pulpit today. But we're going to agree on an ambitious climate policy, and then in the spring we're going to come back with proposals on the concrete figures.
ParlaMint-NO_2007-01-31.ana.ud49e187	Gunnar Kvassheim – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e190	I don't remember ever having experienced in Stortinget that a state council until those degrees has been set aside – and taken down – by its own party leader as we have experienced here today. The Minister for the Environment has gone out and said that Norway should cut a minimum of 20 pst. of greenhouse gas emissions. Today the Minister of Finance says that this matter is not settled. The Minister for the Environment did not have a back cover for what she said. What we're experiencing here is that Norway is giving up the leadership role in this area. Germany, England and the European Commission have numerical targets, while the lead Norway does not have them. The combination of a weakened state council and the fact that we give up this leadership role is very bad – in an area as important as this is about. I would like to ask the Minister for the Environment about the following: How can we in the future know that the Minister for the Environment has a back cover in the Government when she participates in the change of environmental policy? Which of her statements is that which has back coverage in the government?
ParlaMint-NO_2007-01-31.ana.ud49e199	There is no difference between what the Minister of Finance says and what I say as Minister of Environment. We have been clear, both the Minister of Finance and I – and also other members of the government – that we are in a process of achieving our specific objectives. The European Commission has made a proposal that is now being discussed in the EU. No decision has yet been taken there. In the debate I have made concrete and said what I want. I think it's a good starting point that someone suggested 30 pst, and that someone suggested 20 pst, but I've always been clear that the government has not made any decision about it. Then it's my responsibility to ensure an ambitious climate policy. This is done by the Government through the concrete actions we have already taken, and through the big message about sectoral climate action plans that we are now going to work on in the future.
ParlaMint-NO_2007-01-31.ana.ud49e208	Erna Solberg – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e211	It should not surprise the Minister of Finance that the Right is actually interested in cooperating to get something done with the climate problems. The previous government actually cooperated with SV, among others. on objectives in relation to climate problems. But what this main question is about is what the Minister for the Environment meant when she said that she guaranteed to have as ambitious emission targets as the EU has. I want to ask the Minister for the Environment a few questions. Firstly, what does the Minister for the Environment mean by a guarantee, when the Government has not dealt with the matter yet? And what consequences will the Minister for the Environment's own guarantee have if the Government does not achieve more ambitious objectives than the EU does? What does guarantee actually mean for the Minister for the Environment?
ParlaMint-NO_2007-01-31.ana.ud49e218	Norway is a country that has both great opportunities and major challenges in terms of climate issues, the climate area. We are a petroleum nation, and we have great economic growth. This means that we have an additional obligation to ensure that we conduct a policy that results in emission reductions in our own country as well. This debate is going to go beyond the whole spring. I have been very clear that the Government wants – and will – to pursue an ambitious environmental policy, and that we are going to return to Norway as an environmental nation. Of course, when we return to Norway as an environmental nation, it also means that we are going to return to Norway as a front-line nation on climate issues. With regard to the specific climate objectives, we will come back to the Stortinget with it, but there is no doubt that we are pursuing an ambitious climate policy in Norway.
ParlaMint-NO_2007-01-31.ana.ud49e228	Let's go to the next main question.
ParlaMint-NO_2007-01-31.ana.ud49e231	I intend to ask the Minister of Finance a question. We know that the one-off charge for the car was changed from New Year. In particular, it meant that a number of diesel cars became more reasonable. Many then chose to take the government by the word, and went to the purchase of the cars that became more reasonable – the government actually boasted that they would be more reasonable, and that they had a big change of pace. The industry itself says that approx. 80 pst. of all new cars sold so far this year are with diesel engines and in the more reasonable category. In fact, many warned in advance of the change that the government was making, including the following: by pointing out some unfortunate consequences, but the Government chose not to take note of any of the warnings they actually received. You were on that conversion. Then suddenly the government warns that all those who have followed the call to acquire these cheaper cars are most likely to be punished. A sharp increase in the annual fee is announced for those who have chosen to follow the call. Among other things, we can read an opinion from the Ministry of Finance on the annual fee – on the Ministry’s own website. They say, among other things:\t\t You can change the ‘diesel cars will be able to pay higher annual taxes than petrol cars.’ [[...]] This has been quite a lot, especially through the media, busy. Because if you, for example, following the Swedish model of the annual fee, you can get an annual fee of NOK 10 000 per year. My question to the Minister of Finance is: What models does the Government have to assess, and what level of the annual fee is it talking about? This is actually very important information for those who are now considering buying a car and who are proud that the government's conversion from the new year would be a predictable change.
ParlaMint-NO_2007-01-31.ana.ud49e249	It's true, as the representative Leirstein says, that we're working to get a more environmentally friendly car park. In this context, we have made significant changes to the one-off fee from the 2007 budget. The effect of what we are doing now is primarily about bringing down the greenhouse gas emissions associated with the car fleet. That is why we have now introduced a CO2 component, as it is called, in the one-off charge. That means that fuel-rich cars come out cheaper. But it's completely wrong what Leirstein says, that this must be an eager representative of big business and look to the Treasury's websites, to find out that the local emissions will be addressed next year's charging system. It's in Stortinget's documents. This means that in this round we change the one-off fee so that cars that use little fuel come out cheaper. They've all brought it. For the next year and beyond, we have announced that this conversion will not address local emissions from car traffic. It is true that diesel cars have higher particulate emissions than petrol cars, and that we come back with measures to do so in connection with the annual tax. But we're not talking about amounts in the vicinity of the ten thousand krona class. We'll come back to Stortinget when we've concluded here, but this hasn't been a secret. It has been written in capital letters all the way to doing two things – both changing the climate and ensuring that we have instruments in relation to local emissions.
ParlaMint-NO_2007-01-31.ana.ud49e259	My point was, among other things. how people out there experience this. I think very many have actually not got the threat of this huge increase in the annual fee. But it's okay to confirm that you don't see an increase in the order of NOK 10 000. We'll have to wait and see what it's actually going to be. I also note that this conversion should be proven neutral. So for 2007 you should get the same amount of car charges as you got in 2006. Among other things, the proposal of the Progress Party on heavy cuts in car charges was voted down. When, in the current year, most people buy a car with a tax reduction, how do you imagine that you will get the same amount of tax? If one eventually sees that one will not be able to achieve this revenue neutrality that the Minister of Finance was concerned with, can we then fear that the Government will already in May/June undertake conversions, so that one will get into car charges as much as the Government actually wants to get in?
ParlaMint-NO_2007-01-31.ana.ud49e266	It is not that, in the revised national budget, we will have a full overview of how this picture is. It is such that when the budget came in October, all those who had intended to buy a small, fuel-rich car waited, of course, for over New Year's to buy it. So we do not know exactly how these distortions in the one-off charge are now affecting the car park. In addition, it was not entirely proven neutral. It was actually a small relief in the one-off fee in what we proposed. But what I want to say is very loud and clear – if there are any people who haven't come to realize that we're going to work on two things, both fuel-rich cars and local emissions – is: we're going to provide tools to address the local emissions – all of them must be prepared – and there will be a requirement for particulate filters related to diesel cars in the future. There is work here in Norway related to what is happening in the EU in this area.
ParlaMint-NO_2007-01-31.ana.ud49e273	The President accepts three follow-up questions – first Peter Skovholt Gitmark.
ParlaMint-NO_2007-01-31.ana.ud49e276	Not only are we among those who have Europe's highest car charges; we are also among those who have Europe's largest and oldest car park. Unfortunately, it has an average age significantly higher than in the EU. We have a scrapping age of less than 20 years, and we see that newer cars are considerably more environmentally friendly, while being significantly safer. In fact, in a Swedish survey conducted by Folksam, it is established that in a meeting accident there are 90 pst. less risk of death if you are in a car produced after 2000 versus in a car produced between 1980 and 1984. Will the Minister of Finance, like the Right, have a faster replacement of the car fleet to ensure that we get both safer and more environmentally friendly cars?
ParlaMint-NO_2007-01-31.ana.ud49e283	I guess I have to say that the right has had the chance – for four years – to do something about the car charges. It is only now, after the new government, that there has really been a significant change in car charges, with a very clear goal of getting to a more environmentally friendly car park. So I guess that wasn't the right without influence in the previous government. And they had the Minister of Finance. Nothing happened. Now there's speed in the business. This replacement happens a little over time, it's clear. But our ambitions regarding the composition of the car park are that we should do what is safe, and that we should be able to get a car park that reduces emissions in total. This is related to the discussion we had, namely: how are we going to manage to reduce climate emissions in Norway, and how are our contributions going to be in the world? It is clear that this is the transport sector, which accounts for approx. 20 pst. of national emissions, very, very important.
ParlaMint-NO_2007-01-31.ana.ud49e290	Lars Sponheim – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e293	It is only now, in 2006-2007, that we have precise and objective criteria for CO2 emissions. In the past, we had to use cylinder capacity and horsepower. So that's the time now. I think it is important to find out that the charging policy that governs purchasing behaviour in the climate-friendly direction must be taken out of the consumer's mind. And now we get ongoing reports that the importers are different prices. They cross-subsidize the cars the Government wants to price more, away, and they won't allow the tax reduction to benefit consumers, but they'll take it in their pockets in the form of increased margins. We shouldn't think of that. Now it is limited what the Minister of Finance can do in terms of pricing cars, but one can increase competition at the import level by facilitating parallel imports, in order to stress the importers. One can call the industry and give it a clear message that we can't find this in. And one can help in various ways to cooperate with the press and consumer organisations, so that consumers can get along with what the industry is doing now, and choose cars where the industry is honest and implements a climate-friendly policy. What will the Minister of Finance do?
ParlaMint-NO_2007-01-31.ana.ud49e305	Sponheim's points are very good, and he helps by asking me this question today. This is primarily a problem that consumers need to address. They have to ask and dig and make sure that the tax reduction that we have carried out for the fuel-efficient cars benefits the fuel-efficient cars. The Ministry of Finance has extensive websites, so that you can go in and check out what a reduction in the one-off fee will result in for each model. Consumers must use their consumer power and demand it. Because as Sponheim says, the car industry is not supposed to change the composition of the car park by doing this. I've said the same to consumers in many ways, and I'm trying to use the media and all the other channels to get it done. And we're going to closely monitor this. If there are any more steps I can take without introducing a planned economy where the Ministry of Finance decides the selling price for the individual car models, I will assess it.
ParlaMint-NO_2007-01-31.ana.ud49e315	Gjermund Hagesetter – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e318	For every minute that goes by, the state requires approx. 100 000 kroner in car-related charges, on an annual basis over 50 billion kroner. In particular, the entry fee for cars is extremely high in Norway. This means that cars in Norway are very expensive, and we have an old car park – we are at the top of Europe when it comes to age. Gradually removing the entrance fee would mean that we had a faster replacement of the car park, we would have a safer car park, a more environmentally friendly car park. The positive thing is that increasing demand for foreign-produced cars would not have created any pressure in the Norwegian economy, rather the opposite. Does the Minister of Finance agree that we can gradually remove the one-time charges on cars without creating any pressure in the Norwegian economy?
ParlaMint-NO_2007-01-31.ana.ud49e325	No, I'm not. At least it would have created the pressure that the treasury had lost considerable income and that those revenues had to be found elsewhere. The representative is quite right that we have a significant level of charges in relation to the transport sector and the car sector. The one-off fee is a little strange, but it would have been very important for the government budget if we were to give priority to removing the one-off fee. This government has other priorities. We have said that we should stick to the 2004 level in terms of taxes and taxes. My ambition for the future state budgets is to distort taxation so that we get a more consistent taxation of emissions – i.e. a greener tax system and a fairer tax system. In this context, significant reductions in the one-off charge on cars will not be a priority.
ParlaMint-NO_2007-01-31.ana.ud49e334	Let's move on to the next main question.
ParlaMint-NO_2007-01-31.ana.ud49e337	I want to continue the question strategy with the climate challenges. They are highly topical, including: by the United Nations Panel on Climate Change this week will present its new report. Climate challenges are addressing more and more people. The major consequences of the climate challenges we face will be evident in 50 years – I am thinking about the temperature increase. In 50 years, a third of today’s Norwegian population lives. Some of us have viewed SV as a driver in the climate issue. But now we constantly experience that SV is being run over by the Workers' Party on a case-by-case basis, both climate issues and other important ethical issues, such as biotechnology. But in climate policy, we need political leadership. We need someone to go in front of us. The message from Kofi Annan in Nairobi was quite clear: we must be braver, we must show political leadership, was his final message to the summit. In Nairobi, Norway failed to create alliances for radical leadership, nor was a radical Nordic voice heard in Nairobi. My question is: What role does the Norwegian Government intend to play in the ongoing international climate negotiations, where we need to be clear about setting – and now – clear new targets internationally?
ParlaMint-NO_2007-01-31.ana.ud49e348	It is absolutely right that climate is one of the most important issues in the world at the moment. The first part of the Intergovernmental Panel on Climate Change will be on Friday. There is reason to believe that the report will contain clear confirmations that we are facing serious climate challenges. Norway has been at the forefront for periods of promoting and operating international climate action. In Nairobi, I think it was a general experience for many countries that climate negotiations were a little tense. Norway, together with Sweden, took the initiative at the Nairobi meeting of an informal ministerial meeting, to be held in Sweden in June. Because we have this concern that the international climate negotiations are a little tense, we need to figure out other ways out of this. This is one of the reasons Norway took the initiative for a climate meeting in June, in Sweden, just at the Nairobi meeting.
ParlaMint-NO_2007-01-31.ana.ud49e355	In order to succeed internationally, alliances need to be built. The councils were in Germany yesterday. The next month there will be the Energy Minister's meeting, and then there will be the March summit where the climate and energy plan will be dealt with. The other Nordic countries now operate and coordinate in relation to a common strategy to form a centre of gravity in the EU's climate and energy debate. What will the Council of State do to help us, as a nation, as a country in the lead, also to create the radical Nordic voice that is being permeated within the EU?
ParlaMint-NO_2007-01-31.ana.ud49e362	Norway does a lot of things in this area. One of the things we do is we build alliances. I was, as mentioned here, in Germany yesterday to get in touch with the German Minister for the Environment, who is now chairing the EU. In addition, we are in close contact with many other partners, both the UK Environment Minister and other individual countries. In addition to these bilateral talks and the contacts we have, it is important that Norway contributes to environmental technologies, the development of technologies that affect global warming. What I am sure will be of great importance for Norway’s contribution is what we are now doing in relation to Mongstad – the development of a clean-up technology that can have an impact both in Norway and in other countries.
ParlaMint-NO_2007-01-31.ana.ud49e369	The President accepts three follow-up questions – first, Tord Lien.
ParlaMint-NO_2007-01-31.ana.ud49e372	It's so that we produce about every year. 120 TWh hydropower in Norway. If we were to produce this amount of power based on coal power, which is mainly done in Europe, Norwegian greenhouse gas emissions would have tripled. One hundred million. tonnes of CO2 would have been the result of 120 TWh coal power in Norway. This means that Norwegian industry is already based on very environmentally friendly power. The point of view of the Progress Party is to implement cuts, but it must be done where it is most cost-effective. Would the Council of State now confirm, if one were to fall on a cut of the order of 20-30 p.m., that it would be natural for most of these cuts to be made not in Norway but abroad – on Norwegian account, in line with the climate protocol instrument?
ParlaMint-NO_2007-01-31.ana.ud49e382	With regard to meeting the Kyoto obligations, the Government has said that we should do so both through national measures and through the purchase of allowances. We have said both in the Soria Moria Declaration and many times here in the Chamber that we should take significant parts at home, but that we should also use allowances as a supplement. If we are to have a great promise throughout the world, every country must contribute. It is not that as one of the world's richest countries, one of the most advanced countries in technology development, one of those countries that also has the opportunity to develop new technologies, we can shift responsibility away from us and say that clean-up needs someone else. Here, too, we must take our responsibility at home. That's the combination that the government wants to pursue.
ParlaMint-NO_2007-01-31.ana.ud49e388	Børge Brende – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e391	In fact, I find it sad that Norway does not have a policy on climate change in a fateful hour for the future of the Kyoto Protocol. It is now determined during the spring. How can Norway affect this when we do not even know what goals we have set? I also noticed that the Environment Minister said in the reply after my speech that it is completely ‘indispensable’ from the Stockholm Chair to guarantee a special percentage of greenhouse gas reductions. But on 11 January, there was an article in the Evening Post entitled ‘At least 20 per cent CO2 cut by 2020’, the Minister for the Environment said: ‘In spring, the government will propose that Norway undertake to cut at least 20 per cent, perhaps a whole 30 per cent of greenhouse gas emissions by 2020.’» She further said that she “can guarantee” that the Government will propose at least equal reductions. And then the Minister of Finance will not give backing to the Minister of Environmental Protection on this today! Then I would like to ask the Minister for the Environment: is it so that she still guarantees that we will reduce by at least 20 pst.? And if she doesn't get it through in the government, will she go off?
ParlaMint-NO_2007-01-31.ana.ud49e406	I am very pleased that climate policy is getting so much attention, because it makes it possible for us to have an offensive, broad, cross-political consensus on instruments, which are crucial to reducing emissions. Then I would like to say that the European Commission has made a proposal. So no decision has been taken in the EU either. I have repeatedly said that the government is working too fully with concrete measures to reduce emissions. We've said that we're going to get back to Stortinget in the spring with the actual numbers. Mr. Burnde is concerned about the climate. I am very happy about that, but I also want to say that we are now working on a climate bill because of the many permits of the previous government to increase emissions, which of course means that we now have a very demanding situation ahead of us.
ParlaMint-NO_2007-01-31.ana.ud49e415	For the sake of order, the President would remind us of a passus on the supplementary questions and additional answers in the Rules, because the President saw that the Minister of Finance was very eager. It says: ‘A member of the Government has the right to have the word spoken after each post by a representative’ or, where appropriate, ‘refer to another member of the Government to reply’. So it's up to one member of the government, if any, to leave another member of the government to answer. Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e425	I would like answers from the Minister for the Environment. SV entered this government as an environmental policy guarantor. We now see that the warranty does not apply. They have written in small writing at the bottom of the guarantee: This is not the government's policy. One day one was guaranteed to be cleaned. After year four, we get clean-up at Mongstad – if everything goes well. We were given guarantees regarding oil activity in vulnerable areas in the north, which was diluted in the management plan. In Nairobi, the Environment Minister had the chance to take international leadership, to bring together the Nordic countries on an offensive Nordic strategy. Now we hear that the Minister for the Environment will meet his Nordic colleagues in June. But the Nairobi Conference was a fall. It is well and good that a new attempt will be made to repatriate Norway as an environmental nation, but perhaps one should start to repatriate SV as an environmental party, because what is clear here is to bring together the entire opposition on a more offensive environmental policy than the SV actually stands for.
ParlaMint-NO_2007-01-31.ana.ud49e434	This Government conducts an environmental policy that no previous government has done. So we have an activity related to the climate that no previous government has had. I want to mention very briefly: we have an agreement on CO2 cleaning – the previous government did not lift a finger when it came to CO2 cleaning. I fully agree that the agreement will come a few years later than we had hoped, but we have got it done. We have renewable energy funds – the previous government did not lift a finger to put it into practice. We have now taken action after measures to reduce emissions. The previous government did exactly the opposite. It ensured that a number of new emissions were authorised. I can mention Snow White – the previous government gave the emissions permit to Snow White. I can mention the Kristin field, I can mention the Worm Lange, and I can mention Willie, Volve – a series of emissions that result in increased emissions. [[President clubs]] [[President clubs]]
ParlaMint-NO_2007-01-31.ana.ud49e445	The number is over.
ParlaMint-NO_2007-01-31.ana.ud49e448	Excuse me, President!
ParlaMint-NO_2007-01-31.ana.ud49e453	I shouldn't be surprised if the next main speaker, Gunnar Kvassheim, gives the Council the opportunity to continue.
ParlaMint-NO_2007-01-31.ana.ud49e456	SV says in its batch programme that greenhouse gas emissions should be halved by 2020. I find that the level of ambition has now changed so that it is more than halved. The joint association then had a collection where the three red-green party leaders were present. There was a collection of kisses, clapps and hugs, and it was similar to confusion when sports organisations enter into sponsorship agreements in the business community. They went to the pulpit to a great cheer and left the hall with their checks. The Bjørndalen justified this by the fact that there were parties that were supporters, and he stressed that they had changed their position. He said that in the case of SV, it concerns the gas power case, and in the case of the centre party, they have changed their position on professional questions. The head of the Joint Undertaking is quite right that SV has fundamentally changed its position on important environmental issues. In the case of the gas power case, where one was to have a cleaning from day one, and then it became a scheme involving uncertainty about cleaning by 2014. I am concerned about asking the Minister for the Environment if she is satisfied with managing the turnaround of the times in environmental policy, which we are now being documented on climate issues, and which we also know about gas power policy. Now a youth across the country is inviting to join a joint effort to put climate issues on the agenda – and so the government is going the wrong way and increasing emissions. It means that a campaign is to be launched where the people are to lead, and then the government is to go in a different direction. Another question it would be natural to ask the Council of State, is whether she does not see that this difference between life and learning from the Government side may be involved in undermining the campaign that she has now launched.
ParlaMint-NO_2007-01-31.ana.ud49e465	I want to ask the President if I can start to answer a little, and then I want the Minister of Finance, who was present at the meeting with the Bjørndalen to which it was referred, to escape. But the president has to decide if it's possible that she can make some comments afterwards.
ParlaMint-NO_2007-01-31.ana.ud49e471	The Council of State may transfer some of its time to the Minister of Finance...
ParlaMint-NO_2007-01-31.ana.ud49e474	Brilliant!
ParlaMint-NO_2007-01-31.ana.ud49e479	... and the Minister of Finance may, if the two Councils agree, answer any follow-up questions that may arise.
ParlaMint-NO_2007-01-31.ana.ud49e482	It's brilliant. Thank you very much, President! SV is an environmental policy driver in the Government, and SV has ensured that very many new things related to environmental policy have happened. The government is pursuing a policy that is different from that of the previous government. That's right, because now we're working on concrete measures that give concrete targets. When, through the climate campaign, we invite the Norwegian people to do well on these issues, it is precisely to emphasise that we are now taking a joint promise – both government, public actors, business, people through being consumer power, information, etc. This government is pursuing an environmental policy – as strong as no one has done before. Minister of Finance, please!
ParlaMint-NO_2007-01-31.ana.ud49e491	It was I who was with the Joint Confederation, on behalf of SV. It was not like kissing, clapping and hugging and full agreement. On the contrary, we stressed that there were disagreements in the question of environmental policy, but that there is scope for cooperation in order to achieve good solutions. Then I think that both the representatives of the Left, Right and Christian People's Party allow themselves a tone in the environmental debate that is completely out of match with what they actually did when they were in government. Not one penny was able to get Left to clean up gas power plants – we are cleaning new gas plants! No rail bet – it was a tragedy how the railway bet was held back. We're betting on this. No changes in the environmental taxes on cars – now something is happening in this area. So I'd recommend the representative Kvassheim to hack down a couple of heels. If not, it will be very embarrassing for him to look at the Left's own legacy, which we are now struggling with.
ParlaMint-NO_2007-01-31.ana.ud49e500	I'm recording that the average temperature is also increasing in the hall here. I take that as a good sign that I have met quite well in relation to what is a sore point at SV. There is no doubt that the guarantees provided by SV in the renewable energy environment policy, where there is now a full stop, and related to the gas power policy, where it is now being built without cleaning, etc., are the turnarounds in environmental policy. There must be an opportunity to challenge the party. Emissions from gas power plants are, to a large extent, the challenge in the coming years. There are now ten plans to build gas power plants in Norway. I want to ask the Minister for the Environment what approach does she want to take to these matters? Should these gas power plants be required to clean up from day one, or should they meet with the Stoltenberg doctrine: they are allowed, and then we will clean up in the future if that is feasible?
ParlaMint-NO_2007-01-31.ana.ud49e507	The President notes that the Minister for the Environment leaves the Minister for Finance to answer the question.
