ParlaMint-NO_2007-03-06.ana.ud392e79	The representative, Lena Jensen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2007-03-06.ana.ud392e538	There is no doubt that this is a very important field to address. In the large picture, the transport sector already accounts for more than one fifth of greenhouse gas emissions, some of which have been involved. The forecasts show that the transport sector will have a significantly greater share of emissions in Norway in the future, both when measured relatively, in percentages, and when measured in absolute emissions. In such a perspective, it is clear that measures are needed to reduce greenhouse gas emissions from the transport sector. I also think it's obvious that biofuels will be one of the strategies that it's important to move on to achieve the goals we set. As far as the process is concerned, it is not more difficult than we want to come back to many of these discussions and actions related to the sectorial climate action plans later. But I want to come up with some thoughts and reflections about the issues we have to discuss. In the public debate, it is often made as if biofuels would be able to meet our challenges related to greenhouse gas emissions from the transport sector. Although biofuels will be important, there is no doubt that there is a limited resource that we cannot replace. It's simply not enough forest or enough production space to replace the amount of energy we use today as fossil fuels with bioenergy. Just to give an example: even if we double the output in the Norwegian forests, it equals an energy of 20 TWh. Norwegian society currently consumes well over 350 TWh in total. So here you have an amount of energy, an unused energy resource, which represents a relatively low percentage. That is, we have to housekeepers with this resource as reasonable as we can, in order to get the greatest possible effect. Of course, we're going to use it for biofuels, but it could also be that there are other things that make sense to use it. A successful phase-in of 2nd generation biofuels requires, in my opinion, the use of waste heat from the production plants. The technologies we've been presented so far show that only 45 pst. from the original energy, it can be further processed into bioenergy. Then we depend on taking out the process heat so that we can get an energy account that goes together. In addition, on the southern hemisphere today more forests are being mined than is the growth. In many places in the world, there is a beginning to be a struggle for food resources. At least then, we're going to have a watchful look at the resources you use for fuel, and how this happens. We must ensure that it does so within the framework of sustainable development and that it does not conflict with food production and biodiversity. I'm not going to be very negative about this, but this is important to notice: I think we're going to be offensive about bioenergy, because within these limits there are great opportunities. I think it's right that the public as a large consumer takes the lead in introducing these technologies and making demands. I think it's very right that you promote claims for a percentage of interference. It's technology neutral. It is a reasonable way to quickly phase in large amounts of bioenergy. What is stated in the government statement is that one should go at the same level as the EU, i.e. 5.75 pst. by 2010.
ParlaMint-NO_2007-03-06.ana.ud392e551	The government is concerned about the impacts of greenhouse gas emissions, both globally and nationally. Road traffic, as mentioned by several, stands for approx. 20 pst. of Norway’s CO2 emissions. It is therefore important to address the possibilities of reducing greenhouse gas emissions from cars and heavier vehicles. I am very pleased that there is a broad consensus in the Storting and in the opinion that this is important and necessary. Biofuels are considered as climate-neutral fuels, since CO2 emissions from biologically based fuels enter the natural carbon cycle and thus do not contribute to the increase in total carbon, as combustion of fossil fuels does. We are committed to reducing emissions from road traffic and will therefore help to increase the use of biofuels. In addition, it is important to reduce fuel consumption and pollutant emissions in general. Investment in public transport and e.g. development of pedestrian and cycle routes is also an important part of the overall package. In the Soria Moria Declaration, the Government confirmed that we will bet on increased use of biofuels and on motivating the choice of low-carbon cars. We have already started the biggest environmental conversion of car charges in recent times, as part of our work to reduce greenhouse gas emissions in Norway. Among other things, we have the conversion of the one-off charge has been put in place so that CO2 emissions now count. And we've got an exemption from the CO2 tax on the proportion of bioethanol blended into ordinary petrol. We will also further assess the overall framework conditions for road traffic, including vehicle and fuel charges. Conversion to climate-neutral fuels may also provide opportunities for future industrial development in the form of production of 2nd generation biofuels. This will also make the action an even better environmental measure. As announced in the 2007 budget, the Government is now considering a possible requirement for the placing on the market of biofuels. Although we have already introduced more measures to increase the use of biofuels, we see the need for further efforts. The government is in the middle of these assessments now, and I cannot therefore advance the final decisions here today. However, I can promise that the Government is committed to putting in place good measures to reduce emissions from road traffic.
ParlaMint-NO_2007-03-06.ana.ud392e574	It's going to be line change.
ParlaMint-NO_2007-03-06.ana.ud392e577	As the Council of State had in mind, the Government has notified a possible marketing ban in the case of biofuels. This is something else that the Progress Party is opposed to. So when you have chosen not to use incentives, but prohibitions, in the view of the Progress Party, this will have to have the consequence that there must be tax relief on biofuels, so that biofuels do not become too expensive in relation to fossil fuels. Is it the case that the Government strongly assesses this, so that, as far as the directive is concerned, it must at least be possible to obtain a device that does not give us overall increased fuel charges in Norway?
ParlaMint-NO_2007-03-06.ana.ud392e582	We have already exempted bioethanol from the CO2 tax. We are also aware, of course, that today there are different charging treatments for blending bioethanol into ordinary petrol and biodiesel into ordinary diesel. This is something we will look at in terms of the overall framework conditions for road traffic. Therefore, there will also be an overall assessment of these charges in the context of its review.
ParlaMint-NO_2007-03-06.ana.ud392e590	It is good that the Government is committed to good measures to reduce emissions from road traffic, with which the Council of State concluded its contribution. The opportunities will be used, and we are concerned about the climate emissions we see from this sector. This is good. My challenge is a little bit of what I challenged the Council of State in my speech, if the Council of State can confirm that the sectoral climate action plans will set targets? In all other areas, we have political objectives. Then we find action, and we figure out how to achieve the goals that we've set ourselves, because we think it's important. Unfortunately, we experience a little too often in this sector that setting targets is important, and it is also repeated in the letter that the Council of State wrote to the Committee. My challenge is: can the Council of State now confirm that the sectoral climate action plans will contain concrete targets, including in the traffic sector?
ParlaMint-NO_2007-03-06.ana.ud392e599	We are in the middle of the sectorial climate action plans. What we have said, and as I have also said before, is that in the context of the work on the sectoral climate action plans, we should set ourselves national emission reduction targets for both 2008 and 2012 and for 2020. Then we have said that in the context of the treatment of the configuration of the Low Emissions Committee, we should set our generation targets. With regard to concrete design, what it will look like when we break up each sector, the distribution of the different targets within the sectoral climate action plans, we have not yet concluded. I have to get back to Stortinget with that when the Storing Message is delivered.
ParlaMint-NO_2007-03-06.ana.ud392e606	Government posts were kind, but very little concrete, so there is a need for some clarification in this round. May the Council confirm the Soria Moria target of 5.75 pst. the fuel consumption shall be biofuels in 2010, or we shall be faced with another environmental policy area where the targets are not met, such as: in the case of noise and expansion on Kårstø? The second specific question is that one now says that one should ‘assess’ a possible turnover requirement: Can the Council of States confirm – as some from the government parties put it – that there will be a turnover obligation?
ParlaMint-NO_2007-03-06.ana.ud392e615	As I have mentioned, the Government is now in the middle of an assessment of a possible marketing ban for biofuels. If – and when – such a trading order is imposed, I will come back when we have determined it. That is why there is no basis today for prioritizing the Government's final decision. I just want to refer to the Soria Moria Declaration, and to the Government, as I have also said, this field has a strong focus.
ParlaMint-NO_2007-03-06.ana.ud392e620	The chord shift has been completed. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-03-06.ana.ud392e626	There is broad scientific consensus that climate change is now taking place that is influenced by human activity. The consequences of climate change are serious. We will mark them clearly, not least here north of us – everything from shorter winters and more precipitation to more mountain images, etc. It can be a big challenge for us to adapt to these changes in the climate. A practical and functional adaptation is more use of biofuels in the transport sector. It will reduce climate emissions and it is a realistic strategy. Biofuels are therefore the main lever in the EU to reduce climate change emissions in the transport sector. In the Christian People's Party we think it is right now to set a target for the use of biofuels and introduce a directive on the turnover of petrol stations. Here, market forces can be used in a good way. The fees can be used to promote environmentally friendly behaviour, and we therefore need a tax exemption for ethanol blended into petrol. We have to pay more attention to biofuels and motivate users to use them. The potential is already here, but access to biofuels needs to be facilitated. Therefore, we must have a requirement for the oil companies to translate. There is evidence that biofuels can distort food production. We should not ignore this issue, but the Christian People's Party does not believe that biofuels will completely replace fossil fuels. The integration strategy will give us the emission reductions we need. This will hardly give rise to so much and less food production, because the distribution of food is, as you know, also a global challenge. Biofuels give rise to increased yields from our forests and will provide better conditions for a good forest culture. We therefore need to look at how forestry can meet needs, for example: through several forest roads, transport of timber, cutting methods and forest planting. Finally, let me remind you how important it is to stimulate the development and production of 2nd generation biofuels, where we use the whole plant, not just seeds and flowers. Research and development tools are needed here. Such a bet will be a necessary step on the road towards the hydrogen car and the hydrogen society. This is a longer-term technology that will build on experience in the use of biofuels. Therefore, a policy for more use of biofuels will both require even more effort for new technologies and will provide new business. That's why this is a win-win situation!
ParlaMint-NO_2007-03-06.ana.ud392e643	Yes, we would be able to take part in a debate in the Grand Chamber on how the Christian People’s Party believes that more alcohol should be used in Norway – and then at a fee level in line with Sweden. There are several of them who have spoken today, who have talked about the emission-neutral fuels. So we're talking here about biofuels as emission-neutral fuels. What does the majority base this on? Is it not true that the production of biofuels causes land reclamation in Indonesia and Brazil, deforestation and deforestation? Is it not true that this process uses fertilizers produced with coal power and that the ethanol is burned? The fact that the Christian People's Party doesn't know much about the production of ethanol, I'm going to do it with crushing tranquillity, but it's like you're also using a considerable amount of power when you produce ethanol. This is also done in Brazil and Indonesia by coal-fired power. Is the bioethanol not then transported over half the Pacific and Atlantic to Western Europe by tanker vessels which are obviously powered by fossil bunker oil? It is a paradox when only the Progress Party wants the real energy and environmental accounts to be surveyed for the use of bioethanol in Western Europe. My claim is that if this is going to be sustainable in the long term, it's about having to pick up a large part of the bioethanol we use from national production. So no matter how many happinesses we send in this room, we only have 20 million cubic meters of forest to use. The discussion today should have been: what are we going to spend the 20 million cubic meters for? My approach to this — in particular, given that the cost of action on CO2 reduction in the use of bioethanol is above NOK 1500, perhaps up to NOK 3000 per year. Ton – is that with a certain degree of eugenicity, we should rather focus more on the use of forests in Norway for bioheating, and perhaps to some extent on bioelectricity, with much lower response costs. If we are to invest in biofuels, we must use as much Norwegian forest as possible, and we must also invest in research and development on the most efficient production of bioethanol in Norway. When it's said, if the government reaches its goal of 5.75 pst. bioethanol incorporation – and if I take the calculation from the Government for good fish – you reduce CO2 emissions by 5.75 pst. A hybridisation of the Norwegian fleet could reduce emissions from the fleet by 40 pst without the need for coercion.
ParlaMint-NO_2007-03-06.ana.ud392e660	I would first like to thank you for a very good exchange of views. When we sum up, we see that most of the measures discussed here, there is a broad consensus in the Storting, perhaps with the exception of the Progress Party, which has taken some reservations in the debate. I have to comment on the post by the representative Ivar Kristiansen, who might give the impression that I thought the debate was unnecessary. It's an obvious misunderstanding. The debate is not unnecessary in view of the importance of the matter, and the use of biodiesel is important, but my point is that the debate may be a little unnecessary, as it is a matter of weeks before the Government presents its solutions. We have seen that the Council of State has received questions, and that she has had to refer to what is coming. So we will not have a constructive debate until the realities are on the table, and that has been my point. If the opposition doesn't like that I point it out, now it's going to be. With regard to the Christian People's Party, I think maybe they can tone it down a little bit when they almost regret not getting the Government with them in this case. It is, as I said, weeks before there is a big message about sectoral action plans, and then the government comes with it. You have a total mass that thinks this is very important. In conclusion, we may consider this debate to be a warm welcome and welcome the real debate that we will have over the holidays.
ParlaMint-NO_2007-03-06.ana.ud392e671	Biofuel is "hype" right now, and I'm because it is. But I think that is a good reason to say something about the transport sector when we first discuss the challenges we face, because the transport sector in Norway accounts for about 20 pst. of the CO2 emissions. If we take international shipping, it gets even higher. But it's not within our Kyoto obligations. There are three major challenges in the transport sector: one is to make people travel less, because we travel too much. Too often we use energy-intensive aids to move from one place to another. We should cycle more, go more and carefully consider whether all the trips we make are right to make. The other thing is to make people travel together instead of individually. Then we have to bet on a bus, train and tram instead of a plane and all the private car we have today. Our third challenge, the third we have to do, is to make sure that each means of transport uses less fuel. All these things are important. But what is good about the biodebate is that here we have completely concrete solutions. We have very specific measures that we can take now, and then we can get results quite quickly. If we are able to achieve the objectives set by the European Union and to which we have joined, and which we in the UK at least believe are more time-consuming – at 75 pst. – in the Soria Moria statement, it means about 1 pst. reduction of emissions in Norway. But there's no more than 1 pst. reduction, and it's a little bit important to remember when we're discussing this. We've been more time-consuming in our budget on two things: one is that we're going to consider how much the tax burden on E85 cars should be, and that's what we're going to get back to in the revised national budget. The second is that we need to assess tax relief and sales bans until revised. We're working on this. We work internally in the Government. We work with environmental organisations. We work with car dealers and car manufacturers, and we work with the people working in downstream petroleum. All of these are part of the debate, so that we can manage to come up with the best possible measures. Now, when we have a majority government, we have a majority in the Storting, the way the opposition promotes matters is to get debates like this in front of us presenting our proposals. When we put and discussed the budget in the autumn, none of the batches proposed to completely eliminate the fees on bioethanol. That's because it cost a couple hundred million dollars. That's why it's a little crude populistic to come right after the budget has been discussed, and say that now we're going to promote the proposal to remove this fee, because if you really meant it, you could spend the money. However, there are many good proposals contained in this document that we will assess when we promote our car package during the spring.
ParlaMint-NO_2007-03-06.ana.ud392e691	We cannot escape the fact that both people and goods must be transported. That's what it's been like, and it's going to be more and more like this. That is why it is important that we commit to the most environmentally friendly transport and reduce transport where possible. Much of our climate emissions come from the transport sector, to which most speakers have spoken, and action needs to be taken. I am glad that Regeninga is in the process of converting the car charges in a more environmentally friendly direction. I am pleased that the Government is working on the overall framework conditions for biofuels, and is looking forward to these measures being launched alive. The transition from the use of pure fossil fuels to more environmentally friendly renewable fuels is crucial. But as the representative Holmås was also involved in the previous post, one cannot escape the basic challenge that is road traffic. That's why there's another important thing that the government is about to do, and that's probably so important to get a more environmentally friendly transport, and that's the investment on the railway. One of the most important things we can do to reduce emissions in the transport sector is to get more traffic, both freight and passenger traffic, onto the road. Let me do an example. The government is financing a new double track between Ski and Oslo. We get multiple departures, space for more and reduced travel time. You will spend shorter time by train from Ski to Oslo than by the tram from Grefsen and down to the center. When people can get an even better collective offer, more people will choose this rather than barge into Oslo. It's environmentally friendly transport. When talking about the transport of the future, the overall objective must be to reduce the transport that contaminates, namely road traffic. If we are to solve the problems of emissions from the transport sector, we must not just change the terms of biofuels, with which the Government is now running. We also need to ensure that more transport, of both people and goods, comes from road to rail. The government has put up a large-scale investment on the railway, while making it more environmentally friendly fuel. It is a commitment to environmentally friendly transport.
ParlaMint-NO_2007-03-06.ana.ud392e702	Representatives of the Government Parties have tried to give the impression that, after a long period of standstill in this area, full speed should now be set in the environmental direction. I have a creeping feeling, after hearing the debate today, that that one does, is not to give full speed forward, but to prepare reversing in some areas where one has previously been ready. The Council of State will not confirm that the Soria Moria target is 5.75 pst. Stands firm. She is also not aware of whether there should be a trading order, as more from the parties to the Government have been asked to do. Now it's not possible to get the Council of States to confirm what should have been obvious, that the Soria Moria numbers are fixed. I want to challenge representatives of the three government parties, who have joined forces on the Soria Moria Declaration, to confirm that what the Government will bring in during the spring, is a scheme that implies that 5,75 p.m. the fuel shall be biofuels by 2010 and thus have similar ambitions as the EU in this area. Now we have relatively recent experience that the Government has problems matching SVs, no excuse – yes, to the extent that it does – the level of ambition of the EU in environmental policy. It would be a shame if that were also the case in this area. Here, representatives of the Workers' Party, SV and the Centre have a unique opportunity to confirm that this target figure from the Soria Moria Declaration is established, even though the Council of State is not able to do so today.
ParlaMint-NO_2007-03-06.ana.ud392e711	In fact, I think today's government parties have an almost arrogant approach to these issues. It's not just our nation, but the world's biggest challenge we're talking about. In fact, this matter is most of all about how to meet our climate challenges, reducing CO2 emissions. Then I noticed the representative Holmås’ statement. Whether there was help or assistance to the Council of State, I do not know, but he calls the opposition’s proposal ‘raw populistic’. I don't think that's a good starting point for inviting the Storting to a broad approach to these questions. I understand that as an aggressive form of defence you can use strong adjectives, but this is not the first time we have such matters for treatment. The rapporteur says that she does not understand why the opposition has such impatience, because it is only a few weeks before the government comes up with the solutions. We get to take her on the floor, and now let's hope that there's only a few weeks until the government puts solutions on the table. It should not be surprising that the opposition has to be more ambitious and much more impatient in these issues than the government parties are able to. We saw that the green certificate scheme was not put in place with Sweden, which could have really stimulated giant investment in future solutions. We have seen what happens to the Government's proposal on renewable energy, which I believe has given its character to both the electric industry, other actors in this industry and environmental organisations. There's not a lot of eyes on the cube that characterize it here. We have seen countries by country come well ahead of Norway in their proposals and approaches to solutions. Therefore, words like ‘raw populistic’ from the opposition are not a good contribution to getting a broad solution, and at least not to achieve the goals that I think most of the wishes will be achieved in this matter.
ParlaMint-NO_2007-03-06.ana.ud392e725	Yes, it is great that the Christian People's Party has a big deal with it, as the rapporteur said. It's not primarily the heart of the Christian People's Party, but what's good about it is the climate challenges we're facing, that we can agree that this could be some of the solutions we need to reach the commitments we've set ourselves. Then we see in this debate that the views of the government fraction and members of the government are cracking. For the Christian People's Party it's really great. We are willing to move the Government as far as possible in an environmentally friendly direction, including in the traffic sector. The representative Holmås called this ‘raw populistic’. I think that is quite a good idea. If we look at these five proposals that we made in October to November: a national target for increased use of biofuels – yes, it is quite sustainable. To develop a framework to make it profitable to change — fairly sober. A package of support schemes for drivers switching to biofuels – many cities already have it. What can we do from national teams? To introduce fuel marketing directives – it is not so much a very specific proposal. It may also be the proposal for the acquisition of vehicles for use in the public sector, where 75 pst. vehicles should use environmentally friendly fuels. I understand, even from my own experience, that there is a difference between sitting in opposition and in position. But we in the Christian People's Party want to use our commitment also in the opposition to be involved and take the necessary steps so that we can give this globe to the next generation – not in a deteriorated state at least. That's our goal, and then it doesn't mean that much, at least not to me as a representative, whether I'm sitting on it or that side of the table, because the commitment is there -- no matter what.
ParlaMint-NO_2007-03-06.ana.ud392e742	I don't know if it's Ivar Kristiansen who's particularly hairy, or if he only has a slightly selective hearing, but there was one point that went about exempting the proportion of bioethanol involved in gasoline from the fuel tax, which I thought was crude populistic. I like to stand by it. It's okay. The point is that when we discussed this in the Financial Committee before Christmas, all parties, except the Progress Party, joined the Government's proposals in this matter. That means you didn't have 200 million. kr which it costs to remove the fee, if one combines the tax breaks with the requirement to interfere with bioethanol, as part of the batches mentioned here, and in such a way it is OK. But we said very clearly that we will return to this in the context of the revised national budget. I understand that the opposition parties cannot say that they will come back with this in the revised national budget. But they could at least say that they will come back with the money in the revised national budget, if you don't have it now, or if you didn't have it before Christmas. But no one did either. That's why I'm saying that this particular proposal is a good thing. Once we have finished the budgetary procedure, we come up with proposals that cost money and that were not made available in their alternative budgets. That's part of how it is. Apart from that, I think there's a lot of good suggestions here, as it's clear that the government is recording, and that's what I said instead. I would like to grasp two things that I think are a bit troubled, and where I would like to have some advice from the opposition. One is the question of inclusion orders. It's okay to say that we need to have a mixing order, but there are a lot of ways to introduce a mixing order. Is there any particular way in which the opposition imagines such an intervention order designed? Obviously, we can discuss a lot of ways to do this. The progress party took up one thing. The policy of the Progress Party is somewhat influenced – and that is what the Policy of the Advance Party is doing in climate policy – by saying, yes, we are going to put this and this, and then we'll see how far it's going, but we won't put any clear ambitions. They don't want any ambitions for how big the interference is, but they want to start with a reduction in the fee, which you think is a prerequisite for doing this. As I said, it is very good in the proposal. Now we have had a debate. There are a number of remaining problems and challenges that the government parties have to solve, both in the light of this debate and in the time until we land this in the context of the revised national budget.
ParlaMint-NO_2007-03-06.ana.ud392e757	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fooding, see page 2148]]
ParlaMint-NO_2007-03-06.ana.ud392e773	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 5 minutes to each party and 5 minutes to the Council of State. Furthermore, the President will propose that three replies be given within the allocated speaking time following members of the Government’s posts. In addition, the President proposes that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-03-06.ana.ud392e782	By Document No 8:21 in 2006-2007, proposers raise a most relevant issue of clarification of security of supply and of giving the state the right and obligation to generate new power. I am pleased that this issue is raised, and that, through the justification for the proposal, the proposers actually indicate that the market alone does not ensure security of supply. That this attitude is now being endorsed by an overall committee, I am also positive and happy and surprised by it. I think it underpins a new political and unanimous recognition that not everything works as the intention behind the Energy Act and the market was. Most functions and tasks in today's society are related to the consumption of electricity on some scale. The pattern of consumption and the degree of dependence make a strong focus on security of supply natural and very important. This is a central and very important topic on which the Government is already working a lot. Norwegian energy supply is vulnerable. Near 100 pst. electricity production is currently based on hydropower. In order to increase security of supply, future electricity generation needs to include more energy sources such as wind, bioenergy and gas. One of the measures taken by the Government is to grant a concession to the CHP plant in Mongstad. We see that by today's system we will be able to assume in an extremely dry year that we have a sub-coverage equal to 25 pst. of annual consumption. This gives an illustration of vulnerability and is not a new phenomenon that has arisen in recent years, but fluctuations between production and consumption that have been there since the mid-1990s. As I said, this is not a recent situation. Between 1996 and 1998, we imported 16.7 billion kWh. Taking the period from 1990 to 2005, we produced nearly 120 billion kWh each year, while consumption was close to 117 billion kWh. We exported nearly 3 billion kWh each year in the period 1990–2005. Despite the media review and the dramatic angle given to security of supply, inter alia: With contributions from people in this room, we went about the same way for 2006. The fact that we currently have relatively good power exchange systems with the rest of the world is a good resource use and is now also absolutely necessary to maintain security of supply. The main issue that lies there will be whether the requirement for which we in today's society define security of supply can be met by a market-based system alone. The experience gained after the introduction of the market system by the 1991 Energy Act suggests, in our opinion, that security of supply considerations are not adequately addressed through the market alone. On the other hand, I believe that there is a certain basis for saying that the Energy Act has led to better use of resources, in view of the investments that have been made, but it has not, to a large extent, taken into account the new generation of electricity, which in turn underpins the security of supply required by today's society and which the proposers are trying to bring forward in a way. There is reason to believe that one of the responses lies in significant changes in the investment pattern of new electricity generation after the introduction of the market. In the period up to the beginning of 1990, a total of well over DKK 10 billion was invested each year. So in new power generation, before 1990, it was invested on average above NOK 4 billion. From 1990 until now, this has been reduced to NOK 2 billion per year. In the case of installed power, it has almost remained stable from 1990 until now. It is obvious that this relationship needs to be further assessed. We are therefore concerned that this issue receives a significant focus in the evaluation of the Energy Act. In a press release dated 20 December 2006, the Government and the Minister for Oil and Energy announced the framework for the evaluation to be carried out by the Energy Act. Central themes will be: conditions for the re-disposal of water storage machinery conditions for the development of the energy efficiency of the heating sector on the consumption side These are areas that support and strengthen the focus on security of supply. When the proposal highlights the responsibility and obligation of the State to maintain security of supply, I am pleased that we now have a joint committee that says that this needs to be assessed in the context of the Energy Act. I am also pleased that a total increase now sees the positive significance of the evaluation work announced by the Government in the Soria Moria Declaration on the Energy Act, which is now to be launched, being endorsed. This, hopefully, provides a broad basis for making the necessary changes to an important law, which also regulates security of supply.
ParlaMint-NO_2007-03-06.ana.ud392e829	Let me start by saying that energy has become the world's most important commodity today. The outlook for world energy consumption in the future shows that we are facing a formidable increase in global energy consumption. Global energy consumption growth will primarily come from fossil energy sources – coal, oil and gas, which today represents around 80pst. of the world's total energy consumption. Thus, by 2030, the world's energy consumption, according to estimates from the IEA, has been estimated to increase by approx. 50 pst. relative to current consumption. The fight for energy resources will be increasingly concentrated between nations, energy prices are expected to stay at a high level, and all countries will increasingly focus on security and adequate and reasonable energy supply. Norway is in a particular class among the world and Europe’s nations in terms of access to energy resources in their own country. Norway is today the world’s second largest net exporter of gas. Norway has been the third largest net exporter of oil in the world for many years, and Norway remains the sixth largest producer of hydropower in the world, only shut down by the world’s largest countries such as China, the United States, Canada, Brazil and Russia. Norway today exports about 90 pst. of the energy resources it produces. Our energy export is mainly related to oil and gas. In addition, Norway has Europe’s highest wind power potential. Norway also has large unused bioenergy resources. In addition, we have the world's fourth largest presence of future nuclear energy, thorium. In the middle of this enormously favourable energy situation, Norway nevertheless balances annually on the brink of a national power crisis. Since between 98 pst.–99 pst. of all the electrical energy we produce in Norway is hydropower-based, and the balance of power has become more and more strenuous over the last 10–15 years, Norway’s security of supply has today been decisively lavishing the graces of the weather gods. Being the mercy of the gods, or the wrath of the gods, is a situation even we godly nordic should be a little careful to leave the security of supply to, in the long run. So today, there's trouble in the Norwegian energy paradise, which should really be completely impossible, and which, for the outside world, must appear as complete paradoxical and absurd. Supply security and robust power balance should be a matter of course in the energy nation of Norway, which exports 90 pst. of the country's total energy production, and there only about 10 pst. So it's going to domestic consumption. Norway literally swims in energy resources, but nevertheless balances on the brink of a current crisis every year, creating instability in electricity prices and providing major security of supply challenges, which we could certainly have been ahead of us. In the weakened position in which the power supply situation in the country has come, of course, the Progress Party supports the proposal of the Christian People's Party that the State should be given the right and duty to ensure new power generation. In fact, however, the proposal is a sort of emergency solution, which, from a political point of view, covers political inadequacy in the Norwegian power policy, when we know that politicians have always intervened and stopped rebooting in Norway for the last 10–15 years. We therefore see an urgent need to support this proposal. I would like to thank the Christian People's Party for a relevant proposal and, of course, expect the Christian People's Party to live up to this proposal in the future when there are concrete issues of power development that can ensure security of supply in Norway and the Nordic countries. In conclusion, I think it is worth mentioning that it is perhaps strange that this proposal comes from the very Christian People's Party, because as the Progress Party interprets it, this must be the basis for us to be able to make new, large-scale improvements in hydropower in Norway. It must also be expected that we will build more gas power plants in Norway, that security of supply will be raised, and that priority may be given to both nature conservation and environmental considerations.
ParlaMint-NO_2007-03-06.ana.ud392e850	The rapporteur has addressed the matter in a thorough manner, and the entire Committee concludes that the review and evaluation of the Energy Act will also address the issue of security of supply. Through the EEA Agreement, we have undertaken to have systems that ensure adequate security of supply for the Norwegian people. I'm not so sure if there's a lack of clarity in liability, which is our main problem in these questions. When we have had situations that have been in border countries for crises, it is probably due to more circumstances. But one aspect that we cannot at least jump over is that from 1990 until now we have had four times as much increase in consumption as in the wake of new production – and that is not how we can continue. It is an undeniable fact that the market has not sufficiently stimulated the production of new renewable energy. We've just had a system where we've had a free demand for energy, but we haven't had a free offer in this country, and then we've got a so-called mismatch. Responsibilities are defined. We have almost 100 percent of the cases of public ownership. Nevertheless, we have seen that we have come into a vulnerable situation in individual cases. Recent snowfalls in the South, which did not occur for the first time in history, and the Steigen municipality, which for six days was powerless and which also lost telecommunications contact, are examples of how vulnerable a society can become. In the review that the Government is going to make, I think it is necessary to have a clearer distinction between production and distribution. I think it is necessary to see if we have not had a situation where we have underinvested in upgrading energy plants, while also finding examples that might indicate that we have had a sub-financing of trasé and line choices. Finally, I would like to challenge the Council of State, since the concept of security of supply is on the agenda today. We have three maritime municipalities in the country that have regularly been in a situation where security of supply is not at least what characterises day-to-day operations. It is Røst, Værøy and Traina, where we have seen that the demand for energy and lack of security and lack of capacity have made these municipalities very vulnerable in individual cases. These municipalities have a strong need to upgrade infrastructure and line networks, but at the same time we have seen that those who have the defined responsibility for supply have not been able to provide the job adequately, with the result that the business life of these maritime municipalities has not been able to develop over time in the pact with the challenges they have taken on, and thus have become very vulnerable. My question, if it is appropriate for the Council of State to address this, is whether he is willing to take the initiative to participate in some sort of spice layer that can ensure these three municipalities a stable security of supply in the future.
ParlaMint-NO_2007-03-06.ana.ud392e863	The main principles of the Energy Act of 1990 are a more efficient and market-based system of sales of power and an efficient power market with more flexible use of power. The change in 1990 was also intended to ensure a more socio-economically appropriate adaptation to production and consumption. It is widely known that the Energy Act has worked well in relation to several of the key objectives of the law. We have had an efficient use of power resources and a more flexible system. Consumers also benefit from low electricity prices over long periods. Developments in recent years have shown that the power market is functioning as intended in dealing with unexpected fluctuations in the intention, but only to some extent in terms of incentives for new investments in new generation capacity. In areas with low production and high consumption of power, system problems are revealed. Discussions around the power supply in central Norway have made this visible. As the Christian People's Party sees it, the market has not managed to generate new power in line with its needs. A recognition from the experience of this region is that the market regime has reacted too late to the need for more force. Therefore, the Christian People's Party believes there is reason to argue that a clean market management here does not ensure security of supply in a good enough way. Getting new generation of power to improve security of supply is therefore a challenge in the current situation. It takes time to get new power production. There are long planning periods, extensive authorisation processes, and market prospects are difficult to assess accurately. This creates some uncertainty about the speed with which new investments can come and have an impact on the market. It has been claimed that there are strict environmental requirements from policy teams that cause too little deployment of new power. The political system shall balance different considerations and be obliged, as the Christian People's Party sees it, to make environmental requirements that take into account the vital prerequisites for the life base of future generations, such as species diversity and a stable climate. Our entire infrastructure depends on energy. A secure energy supply we take for granted in our everyday lives. Where the market does not take full and complete responsibility, authorities should have the means to influence power generation and ensure supply to consumers. The role of the authorities is primarily related to the establishment of appropriate framework conditions and necessary market surveillance and monopoly control institutions. But with many actors in the power market, all of whom are responsible for their interests, the Christian People's Party believes that the legislation is not explicit enough on who is responsible and where the overall responsibility for the power supply is located. That is why I am pleased that an overall committee believes that an ongoing evaluation work on the Energy Act should look at the balance point between the market and political governance when the market does not take its responsibility. The Christian People's Party believes that the State should have a right and a duty to ensure that new production is started, and we therefore look forward to the evaluation report, where this should be addressed. I have to take a little tour of the representative Torbjørn Andersen's challenge to the Christian People's Party and his interpretation of our proposal. This interpretation is far from as the Christian People's Party sees it. This proposal does not open up to the major hydroelectric installations. It opens up, as today's legislation, for gas power plants, but then with CO2 management. And for the Christian People's Party, and I really believe in a total expansion, environmental and cultural considerations should continue to be given great importance.
