Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e44	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e233	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JONG	Gåsvatn, Jon Jæger	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e244	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.TOAS	Aasland, Tora	F	1942	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e253	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IME	Søreide, Ine Eriksen	F	1976	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e260	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.TOAS	Aasland, Tora	F	1942	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e267	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e274	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.TOAS	Aasland, Tora	F	1942	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e279	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e289	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e384	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e394	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e448	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
