ParlaMint-NO_2007-11-08.ana.ud1064e38	The representative, Kari Lise Holmberg, will present a proposal for a representative.
ParlaMint-NO_2007-11-08.ana.ud1064e235	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e238	Today we are discussing important EU and EEA issues. On the same day, the Right Leader goes into the newspapers and says that the most important issue now is membership – without hearing in particular in either opinion or in the political environment. When membership is the most important thing in the EU/EEA debate, is it to understand that the Right will make it a prerequisite for participation in any cooperative government, which is to say the Right, for EU membership to be on the agenda and for EU membership to be included in that government's declaration?
ParlaMint-NO_2007-11-08.ana.ud1064e246	The right view of the need for membership is shaped by the development of the EU and our growing dependence on the EU's assumptions for us, and the decisions taken there. We want to influence the decision-making process. The more EU legislation is implemented in us, the more clearly it becomes dependent. We are committed to informing Norwegian society about the situation and the extent of the interdependence between the EU and Norway. We believe that significant activity should be stepped up to raise the awareness of Norway’s population of what the EU actually means to it. That must be the way to create an understanding of, and a majority in favour of, that one can once again put the membership debate on the agenda.
ParlaMint-NO_2007-11-08.ana.ud1064e253	This is a debate that brings out the best in people. We in the Central Party have now heard the Progress Party talk hotly about both relapses and how one can improve the Kyoto agreement, and now the Right about climate and the environment – we are pleased about that. The representative addresses the issue of support for the CO2 capture and storage projects and the relationship with the EU’s competition policy. Does the Right assess this so that there is reason to believe that we will be exempted from this competition policy if we enter and become a full member of the Union?
ParlaMint-NO_2007-11-08.ana.ud1064e263	Our view is that some of the things that the European Union adopts and that concern us, we will have a great deal of understanding and feel that is okay. Other things are more difficult. But at least our perception is that it's wrong if we don't participate in the premise and decision-making process for these things, whether it's climate or other things. So examples of this kind illustrate very well how skeptical it becomes when we're not part of the investigation, premiscuous and decision-making process itself. That's our background.
ParlaMint-NO_2007-11-08.ana.ud1064e268	Let me first note that the representative did not answer Vidar Bjørnstad's question about the prerequisites for joining the government with no-parties in the future. Let me continue by referring to an article in the Evening Post yesterday from the former adviser to the Right of the Stortinget, namely Knutsen, who writes: ‘The EU is in the process of taking over the primary responsibility for European security, partly at the expense of NATO.’ Does Vallersnes share this view? There is a broad consensus in Norway that NATO is the cornerstone of Norwegian security policy. The installation from Knutsen was actually a bit alarming.
ParlaMint-NO_2007-11-08.ana.ud1064e280	There were two questions here. I'll have to do the last one first. I think there is quite a broad consensus both in the Right and in several places that the European part of NATO appears to increasingly coordinate its views through the EU structure. In my view, it may be probable that we will increasingly see the need to be part of the EU codecision process, which we will meet again in NATO. That's how things relate. When it comes to the government issue, the representative Nybakk knows as well as I do that both my party and her have a long experience in being realistic about entering into different government cooperation. I'm just repeating what I've said before: our goal is to work for an increased understanding in the country so that it becomes a majority that is for membership, and that allows us to put this question on the agenda again. The active driving work will also be included in the government's work.
ParlaMint-NO_2007-11-08.ana.ud1064e289	The cord shift is over.
ParlaMint-NO_2007-11-08.ana.ud1064e292	I too would like to thank the Foreign Minister for a full and good presentation. There is no doubt that, in some environmental areas, the EU will be a drag for us who want a more environmentally friendly future. The EU's position on the Kyoto agreement is an example of this. I also expect the EU to be of help when we are about to start negotiations on further reductions in greenhouse gas emissions. In some areas, however, the EU is bubbling up for us that will prevent man-made climate change. The state is a completely necessary support player to clean up the gas power plants in Mongstad and Kårstø. As the Minister for Foreign Affairs said in his statement, the Government is concerned about the future of both Kårstø and Mongstad because EU legislation in this area is not clear. We cannot postpone a moon landing because the EU does not get the legislation in place. We need to continue with our clean-up plans, at the same time we need to press the EU to put in place rules to ensure that we can provide state aid to clean up gas power plants. I believe that Norway can be a leading country in this area, a country that is working for a better environment in the EU, can use as an example in its efforts to reduce greenhouse gas emissions. The problems we can now face with the European Union are examples of how EU legislation on the internal market works. It is the free play of market forces that is the rule, everything else is the exception. There are exceptions to this rule, and now we have to ensure that state aid for the management of CO2 becomes one of the exceptions. I see that some people are blinded by Brussels and believe that it is the government's fault that the EU has not already accepted that state support for CO2 management can be given. I think we have to realize that the Norwegian Government, whether it is a majority government, cannot alone rule over EU legislation. Nor could we have done that if we had been a member of the EU. I think it's important that we all, regardless of whether we look at both the EEA and the EU, put the cappists on the stable. We must now ensure that the gas power plants in Mongstad and Kårstø are cleaned as planned. In environmental areas other than climate, we are struggling more with the EU. An ever-increasing problem is that we want to go beyond the EU in terms of reducing the use of substances harmful to the environment and health. There was something in Norway that was already in the EEA negotiations more than 15 years ago. At the time, we did not allow the use of asbestos, because we had transitional rules. Since the conclusion of the EEA Agreement, we have had to allow several times the use of substances that we initially wanted to prohibit, including: additions to baby foods. This government has taken a much more offensive view of the EU than previous governments. There's nothing we're doing just to protect us marines. We can also influence the European Union. By providing State aid so that companies can reduce their greenhouse gas emissions, we can drastically affect the EU. We do the same if we ban substances that are harmful to the environment and to health. The size treated in our St.meld. No 14 for 2006-2007, Together for a toxic-free environment – the prerequisites for a safer future, where a joint committee supported the Regeringen, among others. in the case of bans on environmental contaminants in consumer products. The Committee also asked the Government to consider the prohibition of brominated flame retardants. The SFT has now submitted to the consultation a proposal to ban 18 pollutants in consumer products. The government's position is that we have the right to do so in relation to the EEA. In its opinion, ESA is critical that we can ban these substances. It is important that we challenge legislation in the EEA. ESA must also address the problems of environmental pollutants. New knowledge of both climate change and environmental toxicities requires changes in how EEA rules are applied and how they are understood. The European Union is affecting us in good and bad. Sickly, if I could imagine that our cooperation with the EU was more equal, Norway, a rich neighbouring country, has a cooperation with the EU that many countries will envy us. The EU has concluded agreements with other countries, agreements that Norway would never accept. An example is agreements the EU wants to have with developing countries, Economic Partnership Agreements, so-called EPAs. The EPO has shown considerable resistance, not least because common rules primarily confer benefits to the EU. In the past, these countries have had access to EU markets under more favourable conditions than the EU has had to the markets of developing countries, so-called asymmetry. In this way, companies in these developing countries have had the opportunity both to export products to the EU and to prevent the domestic industry from being competitive by EU companies. The old agreements with the EU could have been much better, but many developing countries now go from bad to worse because of the EPA, because the principle is now the same for businesses both in the EU and in the developing world. Equal rules differ when the differences between those covered by the rules are large. Former President of Tanzania, Julius Nyerere, has illustrated the problem of common rules on how it would turn out if he and Muhammad Ali met in a boxing. Norway is better off than many developing countries are in the EU with the same rules. The problem with EU trade agreements is that they apply to countries that have a much lower starting point for competing with the same rules. If different countries are to be treated as equivalent, the rules must be different. Because we are not a member of the European Union, we also do not have common trade policy with the European Union. Norway can therefore use the power of the example to make more joint and several agreements with developing countries. There must be agreements with rules that give the greatest benefit to those who need it the most. This isn't about charity, it's about justice. We have now experienced increased labour migration from the east to Norway. There is no doubt that this labour immigration leads well with it. There will be more and more free hands, which will allow us to create more. In addition, this may mean that enterprises in the east need to offer better pay and working conditions to keep employees. In particular, it will be positive if workers from the east experience what professional organisation can mean for pay and working conditions while working here in the west. Those experiences are gold worth both for them sea and for the many who travel home again. Increased labour migration may also increase the risk of social dumping, as employers try to pressure workers into accepting low wages and poor employment. People who come to Norway to get a job are particularly vulnerable to this pressure. As the Government writes, this social dumping can lead to unfair competition with unfair pressures on acquired rights and weakened recruitment to particularly vulnerable professions and industries, and to serious enterprises losing jobs and customers to unprofessional operators. It is important that we facilitate the prevention of social dumping. The most important thing is to avoid high unemployment. If unemployment is low, there is the possibility of employers taking advantage of people’s needs and paying them less. The second most important thing is organisation. Good trade unions, with good trust elected locally, are invaluable in the fight against social dumping. In addition, we need to avoid rules that could lead to social dumping. The Government is now working on the Services Directive. This Directive shall increase competition for the provision of services. This can be tolerated if the workers were effectively organised also in what we call the ‘exposed’ parts of Norwegian working life, hotel and restaurant, car transport, cleaning and the many other service jobs that will be exposed to more intense foreign competition. The government is now carrying out a thorough assessment of the Services Directive. In this assessment, it is important to have the experience of the professional movement. We must not accept that low wages and poor working conditions should give dramatic competitive advantage in the fight for jobs, which is already happening today, especially in those parts of the world of work that are not covered by collective agreements. The fight against social dumping is international and workers must learn from each other. I would therefore like to highlight an important point of light in Norwegian European policy: the proposal for a system of grants to social partners next year in order to enable them to carry out networking in relation to sister organisations in the new EU Member State in Central and Eastern Europe. The new Reform Treaty is hardly a favourite in the Member States. Nevertheless, it is important that it is made available to people. We also need to know about that treaty. It is therefore positive that the Minister for Foreign Affairs is open in his statement that it should be translated into Norwegian.
ParlaMint-NO_2007-11-08.ana.ud1064e344	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e347	When I heard the post to Valle, I thought that there was a difference between creating noise and being offensive. I record that she herself believes she is offensive, but it reminds me of noise. Because while one of the SVs says that the chemicals legislation is too offensive, because one wants Norway to have stricter rules than one has applied in the EU, I note that the Government says that it will be important to give Norwegian industry the same framework conditions as its competitors in the EU as regards REACH. Then this whole tirad towards the EU appears to be relatively meaningless, or, as I said, noisy. The same is true when criticising the EU and CO2 clean-up, because so far the EU has not postponed the Government’s CO2 clean-up project. The Soria Moria Declaration states that the Kårstø plant is to be cleaned by 2009, but it is the government’s own work that has put it at a minimum of three years off. Then I have registered that the representative says that we cannot postpone the moon landing because of the EU. Then a questioner has to ask: what does that mean in plain text? Does it simply mean that SV, if necessary, will set aside the EEA Agreement in this matter?
ParlaMint-NO_2007-11-08.ana.ud1064e362	First to REACH, as I understood the representative took up. Yes, it is important that Norwegian companies have predictability, and they have just wanted predictability. This is how, in offensive negotiations with the EU, we have been approved by this government to continue the ban on the environmental taxes we already have to prohibit. As far as the new substances are concerned, I think it is important to challenge the legislation in this area as well, and that we are offensive to ESA when they try to put chains in the wheels here. Then it was the CO2 cleaning. Some of the problems are precisely that the EU has not put in place the CO2 clean-up legislation, despite the fact that the EU is also interested in setting up environmentally friendly industries. In order to meet the Kyoto agreement and fulfil their commitments, they must.
