ParlaMint-NO_2007-06-15.ana.ud714e76	The representative Mr Børge Brende will make a proposal for a representative.
ParlaMint-NO_2007-06-15.ana.ud714e230	Of course, the government party is concerned that those who need it are treated in hospitals as quickly and effectively as possible. But we're not some of what the bourgeois parties have proposed, that one should create schemes that favor those who get employers to pay for them to move forward in line. We are concerned that we should have an equal offer for all, and that is why, in the current year's budget, we have also arranged for a special effort for the group to which Mr Leirstein is looking for. There are funds - more than half a billion dollars - for precisely facilitating them.
ParlaMint-NO_2007-06-15.ana.ud714e235	Kristin Halvorsen has thought that combating poverty is just a matter of will. Some of those who really have a hard time are inside the drug field. The subject within the Rusfield writes on its website: ‘The country goes so far as to laugh, says the Minister of Finance, and addicts pay the price. A historically poor government budget is being followed up by a historically poorly audited budget. Through the previous health ministers, the Russfield has sat down to the table, at the bottom right, but Brustad pushes the field back under the table. A crown is not allowed to start a bet that has been announced for almost 2 years.» We in the Right are following up our efforts in the budget both in the area of rehabilitation and in the field of poverty reduction, with both money and action. The government seems to see another way. ‘It is not a good certificate for a government with the Workers’ Party in the driver’s seat that the number of poor is increasing.’ This has been taken from a leading article in Fädrelandsvennen, 22 May. I totally agree. There is no good certificate for any government. Why does the Labour Party not have neither the ability nor the will to combat poverty?
ParlaMint-NO_2007-06-15.ana.ud714e252	I do not accept the starting point nor the conclusion of the representative Skovholt Gitmark. I think it's a distortion of the actual situation. All in all, during the period that the current government has ruled, it has been an active and offensive commitment to health and care. It has been a great real growth in the promises for this purpose, and as late as in the proposal for a revised national budget, which we are now dealing with, the Government has put proposals of 800 million on the table. D more for health purposes, which also opens up for action in the field of rural areas. It's important to prioritize this, it's the government party occupied by. But the reality that Mr Skovholt Gitmark's representative expresses seems to me to be historically and politically incorrect.
ParlaMint-NO_2007-06-15.ana.ud714e257	Everyone's going to, I suppose is an expression that the chairman of the finance committee is well-known. Sandal also talked a lot about a good economy – more at work. At the same time, we see that the Government and the majority are cutting through the specific labour market measures, but claim that the level should be kept as high as in the past. However, we are told that one of our non-governmental organisations, which is involved in the training of drug users and those who come out of prison, must cut off their offers to these groups, which I would think Sandal was interested in getting an offer. So my question is, is this an example of red-green policy in this area?
ParlaMint-NO_2007-06-15.ana.ud714e265	I actually mean there's every reason to be proud of the efforts we've made in the labour market. It's just that the representative of the Seven points out that we have an amazingly nice and happy development in the way that unemployment goes down. And in a situation where we have had a strong fall in unemployment and employment continues to rise, the Government maintains the level of labour market measures both for the ordinary and for the special measures. It seemed to me that one takes the situation seriously and is busy that those who have found it particularly difficult to enter the labour market will have a unique opportunity at a time when the labour market is very positive. However, there may be groups that do not get a good enough offer. We take this seriously, and we are working constructively to make better arrangements for them.
ParlaMint-NO_2007-06-15.ana.ud714e272	Most people will agree that research is absolutely essential for the country to have a good future, including in terms of jobs, and in terms of democracy we have. In a friendly reply between the representative Sponheim and the representative Sandal on 28 November last year, the representative Sandal said: ‘I do not say that the proposal on the government’s table is ideal for the university and university sector. I want to be ready for that, but I don't think there will be any permanent condition that it should be like this. I can promise the representative Sponheim that I still want a heavy commitment. [[...]] When we come to the revised budget, we see that the cuts of 274 million. kr, which is the theme of the representative Sponheim and the representative Sandal, lies there heavily and rests, and the cutting of the rest seems to be an error. How will the representative Sandal fulfill his heavy commitment, which I am convinced he personally has, in relation to the future in terms of both higher education and research?
ParlaMint-NO_2007-06-15.ana.ud714e287	Research is an important area for government parties to get good results on. It's our goal and it's still our goal. I fully acknowledge the announcement I made here in the house on 28 November, that the research promise, among other things, was the one I made. The representative of Dørum has been so dissatisfied with, not necessarily a permanent state. I've also said that the solution is not ideal, and it's not just me, it's actually more from the government party that has expressed it. I stress this because I don't want to fall into the trap of defending something that is a one-year measure. We have ambitious targets in this area. There is no great commitment here in the revised budget, but I would like to tell Mr Dørum that he has to look relatively optimistic about the future. I'm at least basing such a outlook on it.
ParlaMint-NO_2007-06-15.ana.ud714e296	It's good times in the Norwegian economy. Norwegian business goes down, and a lot of companies want to hire more people. The country receives record revenue through taxes and taxes and direct ownership in the oil and gas sector. At the same time, today's government introduces new universal welfare reforms, and they are promising new welfare reforms, making more and more people dependent on public transfers to get the wheels around and also demanding more hands in the public sector. Is the representative Sandal concerned that more and more people are living from transfers from the public sector, which requires an increasing number of public employees? And if he is concerned, what measures does the representative Sandal Government think should be taken to reduce the number of employees in the public sector, so that more people can get into creative, creative work in the private sector?
ParlaMint-NO_2007-06-15.ana.ud714e303	I thought that the starting point and approach of the representative Tybring-Gjedde were distorted. I don't accept the assumption that we have too many members in the public sector. For the government party, it is important that we have many hands in the public sector that can carry out the heavy and important welfare tasks that are one of the very high priority areas for us to get good enough results. We look at what has happened, among other things. in the municipal sector since we took over the government power, it grows, it sprouts, it is optimistic, and the quality of welfare provision has improved. There's every reason to rejoice, and I have to say that the negative approach that Tybrung-Gjedde's representative is based on when he makes it almost as a demeaning thing to live on transfers from state to municipality, I don't accept. But it well illustrates some of the political distance it's in these questions between the Progress Party on one side and us belonging to the Government Party on the other.
ParlaMint-NO_2007-06-15.ana.ud714e310	The cord shift is over.
ParlaMint-NO_2007-06-15.ana.ud714e313	Considerable attention should have been paid to the treatment of the revised state budget. We are in one of the richest countries in the world. The surplus in the state economy totals NOK 338 billion for the current year, and the oil fund can be expected to consist of NOK 2 237 billion at the end of 2007. At the same time, we have major challenges in some areas, which we can solve if we want to. At that time, the revision of the State budget is a real opportunity for government and growth to make an extra effort. So you can take it wrong. The red-green government has presented a revised budget that is almost chemically free of politics. Expenditure that would have been on the state budget more or less in any case is covered under the pretext that this is a bet. At the same time, it is ignored that there are areas of society that lack resources. For the sitting government is obviously good at just that – sitting. There's not much action here. But the government is obviously proud that it will be the first government to abide by the rule of action for the use of the oil billions. Yes, six years after the introduction of the rule, it can actually work like that. For six years, you've been above the rule. And now, as the oil fund is growing at a pace that few could imagine just a few years ago, you will probably argue for years to be below the rule. A little bit of a rule! But let me not make the debate on revised into just a debate on oil money. For the Progress Party, it is important to regard the revision as just it: it is only a revision of the budget adopted by the majority in this Chamber. We take note that our proposals from the State Budget Committee last autumn were voted down. So we're not going to rematch the area by area. We should have such respect for the fact that the decisions taken in relation to the State budget have at least one year's duration. But along the way, there may be conditions that make you need an audit. The Progress Party has therefore consistently considered, in the examination of the revised budget, proposals that can be justified on the basis of an urgent need or that circumstances have changed since the adoption of the State budget. With regard to the so-called use of oil money in our alternative to the revision, as also mentioned by the case-rapporteur in his statement, we are at approximately $3.5 billion more than what the government is now proposing. But that means that we are at the same level as what was a responsible percentage use of oil money – according to the Government – in December. I guess what the government defended in December is longer than just a few months. The Progress Party has three main fields of action in its alternative to the revised budget. In the current situation, it would be wise to use a little more funds for investment in areas where capacity is available, for example: in the construction industry. By providing more funds for this purpose, the available capacity available in the market would be used without creating pressure in the economy. In addition, sensible investment in the road sector would provide better efficiency for business and the population and reduce the level of traffic damage. This would be positive for the economy. After all, the government's own proposals in this area as revised are not a commitment. In addition to the maximum required repair after the event in the Runway Tunnel and grants for some walk and cycle road projects, the Government does not at all charge any additional funds to national road investments. Taking into account the whole area of action of the Government in the road sector, further strengthening of national road investment is urgently needed. Let me remind you – as I said – of the considerable available capacity documented in the national and near-foreign construction industry and the opportunities available to place asphalt work, other maintenance and new facilities on international tenders, with minimal domestic demand impacts. It must be possible to set higher targets for the Government’s concept of ‘historical investment’ on the road network than for roads to decline more slowly than before. The Progress Party believes that maintenance needs to be stepped up immediately, and we propose to allocate significant amounts to improve asphalt and cover improvements during the year and other measures in the field of transport. Increasingly fewer unemployed people and the need for access to labour in many sectors would make it wise to invest in increased and faster patient treatment. This would allow workers waiting for an operation to have them carried out quickly by either public or private institutions, possibly abroad. As a result, savings had been made on public social welfare schemes, while the labour force had been brought back to work more quickly. This would reduce the pressure on the economy. The Progress Party is committed to ensuring adequate resources for regional health businesses, so that patient provision is strengthened, rather than the deterioration we see today. We are disappointed with the government's failure to act in this area. We are listening to the signals that are now coming about constantly cutting, cutting, increasing waiting times and longer waiting lists. The year’s wage settlement in the sector was also higher than assumed, and this will further weaken the economic situation of health enterprises. The Progress Party also believes that there is an urgent need to improve the quality and scale of care services in the country. The Progress Party will therefore propose that in the second half of the year, care for the elderly be strengthened by DKK 1 billion. In order to ensure that these funds go to improved care for the elderly in the current hopeless system of municipal funding and management of the care of the elderly, we have proposed that the funds be earmarked for increasing staff in the care sector. This should be done by attaching, in particular, to better medical coverage requirements in hospitals, since this is too low in most places. Today, we have a justice sector characterised by too little visible police force, too low an investigative and clarification share, too long a response time and too many unoccupied police positions. The result of this is that we get a public space of increasing insecurity as a result of organised recriminal crime, blind violence, rapes, obvious illegal activity such as. drug trafficking and visible decay such as tagging and infesting. People experience a growing insecurity in everyday life when the police don't go as far as it should. About 300 jobs are unoccupied in the Norwegian police. More than half of these unannounced posts relate to Oslo, and in Oslo, the police have a particularly demanding crime scene to deal with. In the districts, the introduction of new working time regulations will, at the same time, exacerbate the situation by forcing the police to cooperate closely in large geographical areas. This means that the time of the phone call could increase dramatically, and criminals could experience getting several hours of lead on the police. Such a development we are now seeing goes in the opposite direction to building a safer society and a more visible and present police force. The government's strengthening of police operational budgets is insufficient to meet the real needs of the police. This applies both to fill job vacancies across the country and to maintain a close police force with police posts in e.g. different urban areas of Oslo. The Progress Party will therefore further strengthen the police, in order to remedy the acute situation. Let me also say a few words about what we have done in the tax and tax area in the revised version. If there is to be some effect with tax relief on E85 cars, a significant cut must be made. The government has added up to NOK 10 000 in the one-off fee. It'll mean a little bit. The Progress Party proposes a reduction of DKK 50 000. It is cut in the order of magnitude that you have to adopt if you actually want to and believe that the market is going to buy this type of car. We also propose that the NOx fee be abolished from 1 July 2007. In fact, the situation of coastal boats and maritime transport is more threatened by this charge than many would think when the charge was imposed. We can't sit still and see that this huge fee should simply defeat companies and boats. Here it must take immediate action, and this can be done by Stortingen – by removing the whole fee. I note that the government parties do not change the position in relation to the Government's proposal. That's what we've been used to in the finance committee and in most other committees here in the Stortinget. However, there is something special when you hear all the good and sensible input we get as big-time representatives through hearings and via inquiries, that nothing seems to get through at the government parties here in the house. Perhaps that is why the number of organisations and others who want to consult our committee and other committees has begun to shrink considerably. But for the Progress Party, it is at least important to make serious recordings. We have done just that with our proposal for revision. I am addressing the proposals that the Progress Party is promoting in the vote, either alone or in conjunction with other parties, and those that are distributed in the Chamber.
ParlaMint-NO_2007-06-15.ana.ud714e358	The representative Ulf Leirstein has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2007-06-15.ana.ud714e363	In the setting we are now debating, the Progress Party proposes that municipalities should be given a €1 billion eartag for an elderly person who can "skin" as expressed in the text. Earlier this week, the same party, the Progress Party, proposed that one remove the municipal right to have property tax. This year, municipalities charge SEK 4.4 billion in property taxes, and I refer to the assessments and calculations made in the national budget for this year. My question to the representative of Leirstein is therefore: Does the Progress Party believe that we can get an elderly care as skin, by removing DKK 3.4 billion from the income of the municipalities and thus greatly exacerbate their economy?
ParlaMint-NO_2007-06-15.ana.ud714e372	The Progress Party really believes that with our arrangement for the financing of care for the elderly in the whole country, we would just have an old-age care that shines. The problem today is that each municipality receives a pot of money, and then you have to dispose of it yourself. Despite the fact that there are large distances in Kommune-Norway, there are many places where you will have some challenges with these transfers, even if the transfers have increased. We find that care for the elderly does not shine. When the Progress Party then wants a direct transfer from the State to the individual user, this would be ensured, regardless of whether you have property taxes or not. So for property taxes: Yes, the Progress Party is to remove the property tax. We're proud that we're actually the party in this hall that is actually to remove the entire property tax law, so you shouldn't have the opportunity to recover this unfair tax. There was no problem for many Norwegian municipalities not to have property taxes, despite the fact that they may also have been committed to care for the elderly. In all the progressive party-driven municipalities, it is ensured not to have property taxes, but to work to get an old-age care that shines. So this won't be a problem.
ParlaMint-NO_2007-06-15.ana.ud714e379	The Progress Party is an all-rounder, both in bag and bag: less taxes and taxes, more money for well-being, more investment for roads. No one can oppose this if he is not responsible for the whole. – So also in the revised national budget: plus NOK 3.5 billion. In the budget for this year, there is a tax relief of DKK 26 billion, partly financed by development aid and agriculture of DKK 16 billion. There is a public criticism of this from the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, last in the United Nations on 11 June. In yesterday's debate, the representative Kielland Asmyhr said: ‘It is also not in line with the Code of Good Organisational Culture of the Advance Party to act in this way.’ Does the representative of Mr Leirstein agree with the representative of Mr Kielland Asmyhr that public criticism from the rapporteurs of economic policy is contrary to the organisational culture of the Progress Party?
ParlaMint-NO_2007-06-15.ana.ud714e393	I have not seen the statements to which the representative Lundtigen refers. But let me first say: the entrance to the question here is that the party of progress is supposedly the party that is above all others. However, I note that when we are discussing economic policy, it is true that it is not that long ago that the Central Party and the representative Lundtigen were also concerned with increased investment, for example. to the road sector. I even remember a look at the TV 2 news last summer, where Lundtägen was out and promised that now it was really going to be a lift on the road. Nevertheless, Norwegian roads continue to fall, and national road investments do not amount to what they should actually be. So who overwhelms who, you might want to have a discussion on. So to rules for what is good organizational culture in the Progress Party. In the Progress Party, we are engaged in good and lively debates. We have big debates about all the programme posts we had to have at our national meeting at all times, and I also assume that the Central Party has good debates on this. But once the Progress Party has established a policy for four years, of course we in the Group of the Progressive Party will deal with it and promote that policy. That someone chooses to have divergent visions, and possibly thinks something about it in the media, we can live well with it.
ParlaMint-NO_2007-06-15.ana.ud714e402	Looking at the economic policy of the Progress Party is always exciting. Equally exciting is looking at the climate policy of the Progress Party, and it would have been okay if the representative Leirstein could update us on whether it is such that the Progress Party currently believes that the climate change we are seeing is man-made. In addition to this, it is easy to see here that the Progress Party suddenly in the revised budget is making up 120 million. kr to railway. We all remember that they cut $2 billion by rail for Christmas. This must, of course, be called the turnaround of the century in railway policy by the Progress Party. Is it the case that the Progress Party and the representative of Leirstein admit that what they did for Christmas by cutting on the railway was a great deal, that they now realize that they did wrong, and that instead they will bet on the railway in the time to come?
ParlaMint-NO_2007-06-15.ana.ud714e410	If the representative Holmås had been involved in what the Progress Party proposed in its alternative state budget for 2007, I think his issue would have been slightly different. What we did last, was also to bet on the railway in the areas of this country where the railway will actually pay off, and where the railway should be strengthened. Then you have many other types of projects on the railway side that we have little faith in will succeed. Now that we're dealing with the revised budget, we've seen that in some areas where a large part of the population actually lives, we need to have some more money for the railways. But since we're in the middle of a fiscal year, we're not going in and we're starting to cut the operating budget and the maintenance budget that's already been allocated to other areas in Norway. We come back to our whole railway policy when we're going to discuss the alternative state budget for the autumn. So to the climate: the representative would like to have an update on what is the climate policy of the Progress Party. I guess we'll have a long debate on climate next Tuesday in Odelstinget, and then, of course, we'll get back to this. I just notice that there are many researchers who partly disagree with the reality of the representative Holmås, about what is man-made and not man-made. And then I see that we have some challenges, and we will solve them through good, constructive proposals that we, among other things, have. comes back to the next Tuesday.
ParlaMint-NO_2007-06-15.ana.ud714e417	Today, we are also discussing a proposal from representatives of Leirstein and Eriksson to introduce a new tax savings model and to reintroduce annuities. I therefore allow myself to ask a question about it. My starting point is that the Progress Party always looks at itself as those who represent most people here in the country. Distribution tables show that most people — i.e. the half that serves the least – hardly affected by such a proposal, because it is the half of the population that serves the most, who receives 85 pst. of the fiscal aggravation under the previous IPA scheme. Does the Progress Party see that this tax-subsidized saving is disparately unfavourable and that this does not benefit most people?
ParlaMint-NO_2007-06-15.ana.ud714e424	If it is that you are very opposed to these kinds of arrangements because this scheme supposedly only benefits those who are very rich in this country, it is strange that the Workers' Party first goes in to remove the scheme, so to speak, to put things back in place again – but it is certainly the representative of Aasen Agdestein who can respond on a later occasion. What I find out is that with the figures we get from the companies that have these types of savings products, good statistics can be provided that there are ordinary people in Norway who actually have IPA and who have annuity agreements. It's automatically putting all these people in a booth and saying that they're so very rich, I think falls on their own unfairness. So this is very positive, it encourages people to save. For very many ordinary people, this has been good savings products, which you want to save for your future pension. I think it is sad that you create so much uncertainty about a system that you have now done. Those who are very rich are doing themselves, and they're doing well without IPS and annuity. They have other arrangements and will not be affected by them.
ParlaMint-NO_2007-06-15.ana.ud714e431	I'll follow up my line instead. It's municipal elections. The Progress Party has rapporteurs and rapporteur candidates in the countryside, rapporteurs who would like to think something clearly public. They respond to the economic policy pursued by the Progress Party. They say it publicly. Yesterday they received a sharp correction in the hall, that it is contrary to the rules of the Party's organisational culture, and the representative also said that 'we still have a good use for our course in good organisational culture'. I have to get a clear answer: Does the representative of Leirstein agree with the representative of Kielland Asmyhr in the representative of Kielland Asmyhr – yes or no?
ParlaMint-NO_2007-06-15.ana.ud714e440	I was not present myself and heard this debate yesterday. I don't know what the representative Kielland Asmyhr said yesterday. For the time being, I have just had to believe what Lundtigen claims he has said is what I have to take for good fish. So I do not choose to do that, and the representative of Lundtigen must not think that is bad. What the representative Kielland Asmyhr has said, he gets an answer. But the starting point, what Lundtigen says about very many local rapporteur candidates for the Progress Party disagree with the economic policy of the Progress Party, it surprises me. So I'm a fiscal spokesman for the Progress Party, and I've had the pleasure of being it for almost two years. There are no local politicians in the Progress Party who have come to me, who are fiscal spokespersons, to say that they disagree with the economic policy of the Progress Party. I note that in almost all areas, the programme on which we went to the elections in 2005 was, in fact, unanimously adopted by our national meeting. I'm dealing with that, and it's certainly also about the representative Kielland Asmyhr when we discuss these questions in this room as well.
ParlaMint-NO_2007-06-15.ana.ud714e445	The chord shift has been completed.
