ParlaMint-NO_2007-02-08.ana.ud2647e37	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2007-02-08.ana.ud2647e198	With regard to my and the Left's approach to the matter, I shall deal with the factual fundamentals common to most of the inter-pellant's posts and the Council's replies. Because in that basic tone, there were two elements, firstly, that we are facing a significant integration policy case, and secondly, criminal policy. Then I have to reserve myself against any description that suggests that the Somali environment is something you have not tried to deal with in Norway. It has actually been, but it has been quite demanding and challenging. But I think the description given today by cat hits. And when I think about it, it's almost like reading a historical story about the establishment of the Oslo Indremition in the Christiania of the 1860s, when the flat-filling rode the city so strongly that one could wonder who went straight and managed to live a normal life. It's obvious that in many ways cat strikes equally destructively into large parts of the Somali environment. I've been with the police myself – for the police tests, and I've been trying for a long time to save young people, get young people out and give them a new chance. I am absolutely convinced that if this is to be approached, one must think as broadly as both the inter-pellant and the Council of State did in terms of integration policy. It's about how you get received when you come to the country. It was also the inter-pellant and the state councils inside. It is a matter of cooperation between NAV, the school authorities and all the good forces, and not least the outreach work of the police in terms of knowledge of individuals. So what we're probably looking for is some shiny examples that allow you to show a way away and away. And I have a considerable sense, through my capital experience, that many from Somalia love driving a car – and they're good at it too. Some of the most glittering taxi drivers I'm exposed to, and who know where to find them, have such a background. It is obvious that finding out what tends people in a way that makes it good is the strategy, but it requires an interaction between many – government agencies, but also municipal bodies in Oslo. As far as criminal policy is concerned, it boils down in a city like Oslo in practice to what the status, the position and the allocation of resources are in what we call the law service of the police. Anyone who has been with the police for a few years – I have been doing that since the early 1990s – knows that the law enforcement service is always a budget balancing post. When everything else is going to be solved, that's what you're taking from it. This means that many of the everyday people who are actually going to be with them keep an eye on them, make sure that they are in contact, do good contact work — which is also preventative — often live in the situation that one day they are so many, another day they are so few. Clearly, it creates quite significant challenges. It's a question that worries me, and I'd like to come back another time. But I would now like to emphasize just how important it is that, in the context of the situation of the Oslo Police – I would ask the Council of State to look at it – there is certainty, not in detail, not in terms of priorities, but in terms of the situation of the public services. They're police street workers. It is those who must meet the expectations of the citizens of this city and who politicians will express differently. If that effort group is small, they are hard pressed between all kinds of expectations, whether it's the fight against everyday crime, the fight against violence in the street, or the fight on the topic we're talking about now. Traveling this theme doesn't mean that I'm trying to draw attention away from what I think has been the main point of view of both the interpellant and the Council of State, namely that more people have to go to work here, and they have to get a good interaction. And at best, when we succeed, we often get those situations created in Norway. But I have to admit that throughout all the years I've been involved in politics, it has all been people from Somalia who represent one of the greatest challenges we have on integration at all. They come from a society that is literally not a state, they come from a society that literally has no written administration, and they come to Norway with the culture that is also portrayed here today. We're going to accept people in a proper way. There is no doubt that it presents Norwegian health workers, social workers, schoolmen and policemen with enormous challenges. That's why we're going to have to have the humility to it when we take it up, that we recognize that it's complex. But then we're also going to agree with what I think has been the basic tone of both the interpellant and in the answer from the Council of State, that then we get to right our backs and rust up and start going those steps, so that we break the vicious circle. Because there's no doubt that this is going to continue, there's going to be a workshop that's unacceptable in this city. But then there is integration policy and criminal policy, and it has to be met in an age-old way. I think both the inter-pellant and the state councils made good sense and good progress in that way.
ParlaMint-NO_2007-02-08.ana.ud2647e217	It's true, as the interpellant said, that I had an interview with me on this case in the evening post in the middle of December. I also sent a question to the Minister of Justice at the time, but it was drawn to the advantage that we were given the opportunity to have a wider debate here. I think it's important to have as a starting point that the discussion about how strong a drug effect cat has, really isn't the big deal here. The important thing is that this drug affects an entire environment in a very special way. All the Somali organizations I know, and have spoken to, say quite unanimously that up to 70 pst. of Somali men chew this substance, and that 40 pst. they abuse it to a great extent. They say that if you take it down to those who are out driving, who are in a situation where they sleep little, eat little, can be homeless, etc., it is estimated that it is approx. 20 pst. by Somali men. So there's no doubt that this has a scale and a drama in its spread and how it turns out for the individual that's very special. This leads, for example, to: Thomas Breen mentioned, health problems such as mental illness, which leads to health problems such as loss of teeth — many people have noticed the yellow tooth color they get from chewing this substance steadily. It seems that the young people in these families are totally lacking role models. We've also seen dangerous numbers in terms of how many Somali youths complete high school. For boys in the Somali environment, it has been up to 60-70 pst. non-response – slightly lower, about 50 pst., for the girls. So we have to be aware that this drug creates a serious social problem. That's what's essentially here, not the analysis of how much there's going to be, how much of a drug effect there is. We have also seen that some of the Somali youth have gone on in drug use — from cat — so that they frequent the environment down at Akerselva, which uses different more serious drugs. So there's no doubt about the seriousness and the speciality of this problem. It also affects neighbourhoods, living environments, in Oslo, in such a way that when those who have been inside the city and abused this drug come out into the neighbourhoods, where family violence, family resolution, insecurity, obviously affects the families that are directly affected, but also across the rise and the whole block – and creates a disturbance. There is a significant social problem. I think it's right to say that society has neglected this problem for too long. It has not been taken seriously enough. For example, residents in the strike down in Greenland have constantly brought up with me that it is openly selling, open-source sales, in line of sight, up to the police house in Greenland. Of course, they are provoked by it. I have asked myself in the Health East and in the Rusmitteletaten in Oslo municipality about what kind of treatment you have, and how you work towards this group. I do not think I have received a convincing answer. It has often been shown the same thing, that it is not a long weaning time, and it is about getting them to work. However, people who have not slept for a long time, who have eaten to a small extent and who are in poor physical/psychic conditions, have difficulties in being able to be distributed to a labour market — hence also the high unemployment rate and the high number of social clients in that group. So I don't think the answers from the treatment site have been convincing either. I think there's a need for a mapping. The development of more specific treatment pathways and treatment arrangements is needed. For my part, as a health policy spokesman for the Workers' Party here at Stortinget, I would like to take the initiative of the Department for monitoring, for work on a more systematic treatment effort. I believe that the municipality of Oslo at the Rusmitteletaten, Health East, NAV, the police and Somali organisations should join forces on a survey, a process in which a plan is drawn up for how to work towards this Somali environment. There are now 18,000 Somalis in Norway. The number is increasing. It is important that we do not develop differences in this way that too many people here fall out because of this particular drug use.
ParlaMint-NO_2007-02-08.ana.ud2647e235	I believe that both this discussion in the Chamber here now and what has become apparent about cat abuse in Norway shows that this has been an underestimated problem. After all, Jan Bøhler gave the percentage of that, that's 70 pst. in fact, adult Somali men are, in part, heavy addicts of cat. When you also think about what kind of role models these men are for new generations, we realize that the problem is really much bigger, and not isolated to the 70 pst. who are, in fact, addicts. Before Christmas, I asked several Somali women for help. They asked for moral support, but they also asked for help for labour market measures and for better health follow-up. And not least, they were concerned about how Somali men's cat abuse devastated and split the family and made it not the safe frame around the growth of their children. More people here have said that the abuse leads to a loss of working capacity. Unemployment again leads to increased abuse. It's at all a very negative circle that it's of the utmost importance that we manage to meet now, so that we can reverse this development. In the same meeting that we had with these Somali women, they were also concerned that there is now a lot of evidence in Somalia that there is a change in attitude regarding the use of cat, and that the acceptance there for the use of this substance is at full speed down. They were concerned that Norwegian society must also approach this in such a way that there is no doubt that this is a substance that is not to be used – for many good reasons, it is explained here – and that the consequences of its use are as significant as they are. As many have encountered, this is a criminal policy problem, but it is, to a very large extent, an integration problem. I think we have a great and common interest in meeting this in an even more offensive way. That may have been done, but we just have to note that we are very close to the goal. Then it is important that we bet on a broad front, that we give support and backing to these women, who want to get involved, and that we also try to find a way to involve them in this work, so that they get the support they need to be a support for their men. It can be an important resource in the fight against cat abuse in Norway.
ParlaMint-NO_2007-02-08.ana.ud2647e248	The representative of Bøhler said it was quite right that we cannot discuss a laboratory that tests how strong, possibly how weak this substance is. We have to look at the people involved and what the effect of cat is. If you talk to the people you're talking to, and if you're in the environment you're talking about, there's no particular doubt about what the effect is. We have a similar debate, for example. on doping. People are seen to be big and strong, but eventually quite weak, simply because they have mental problems, most likely – perhaps not legally likely – because of doping abuse. Otherwise, the Minister of Justice's armory, the representative of Breen, was at the heart of something, namely the question of work and inclusion, which I also challenged in my opening post. It is whether the Government will signal a more positive attitude towards providing funding for pilot projects such as the European Environment Agency. MiA, Mangfold in Working Life, has applied for. Jan Bøhler was concerned that he did not have the impression that the drug scene and others were completely open to some of the initiatives that came, and this is a good example of it. I hope that the representative Jan Bøhler, who actually answered positively all the questions I had to the Council of State, also answered in a way on behalf of the Government. It remains to be seen, but I have a good hope that Jan Bøhler will also arrive in the majority government. So to SV and right and what we've done and haven't done. I think that on this issue, like very many other issues that are about minorities and people who are in minorities, there is a tendency to be so that party politics is not always well suited. I think those who are genuinely concerned about the issues it is about should cooperate as much as they can. I also see that this debate has shown that there is a cross-political commitment to this subject which I believe we should continue, and for example. use the various professional committees that sit here on Stortinget. We should do more of that. There's a lot of party tactics going on. This is one of the questions where we shouldn't run party tactics. In the end, the claim that right-wing fighters are prostitutes and beggars has nothing to do with this debate at all. I don't feel any special need to comment on it, except that the Right has proposed far more funds for both rehabilitation and mental health, and also has a poverty package of 125 million. kr higher than the Government framework. I feel in a way that you want to start a debate that has nothing to do with the cat problem. I think it has been a positive debate. Governments have been open. Most of them have been. Now I hope that we can jointly get a leverage for the groups that this applies, because, as SV pointed out here, this has been repeatedly taken up by individual representatives from different parties. The question now is whether all the parties in cooperation are actually able to focus on it and get it integrated into the overall work on drugs in the way it deserves.
ParlaMint-NO_2007-02-08.ana.ud2647e261	Then the interpellation debate in case No. 1 over.
ParlaMint-NO_2007-02-08.ana.ud2647e279	After I promoted this interpellation, the subsequent events have shown that it might have even greater relevance than I thought. In the newspaper Our Country last Friday was one of the headlines «Fairy Big Cities on the Weekends». They have gone through the violence situation in all the larger cities, and it turns out that on average, the violence has increased by about 25 pst. the last year. All cities say that there is a clear link between alcohol abuse, usually in relation to outdoors, and the increased use of violence. That is why we need to change the policy. We have to make sure that our big cities become safe meeting places. We can't live with a situation where many feel insecure, or actually choose not to go to the city center of fear of violence. As a society, we cannot accept that the majority's freedom and life-exploitation are limited by the fact that a minority makes trouble and acts threateningly. Therefore, it is time to take more measures to restore cities as safe meeting places. Society must focus its efforts on preventing crime. Police, restrictions and sanctions can never only be a good response to the challenges of order and crime facing our big cities today. That is why this must be widely attacked. In the last ten years there has been an increase of 30 pst. in the number of grants in this country. The increase has occurred in all counties. Alcohol consumption has increased by 33 pst. There is no doubt that increased availability of alcohol and extended donation times is confirmed by all police officers interviewed in the newspaper I referred to, a strong reason why there are major public order problems in some of the major cities today. For my own part and from the city that I represent, I regret to say that we have a majority in Oslo City Council that does not really take on board the fact that there is a significant link between violence and alcohol and gift policy. Even when the Oslo police say that they actually see a need for a reduction in the number of tipping points in parts of the Oslo center, they cross their arms and are silent. It's almost incredible that the majority of Oslo City Council can sit still and watch such a development. I know that in Oslo City Council there is at every moment an opportunity to change course – and had to do so, for the sake of the security of this city. We in the Christian People's Party support the fact that the number of places of gift should be reduced by 25 pst. in specific areas of violence and unrest, not least when the police themselves consider this to be necessary. I believe that in such areas the exemption from the normal working time of the alcohol law should be strictly practised. Consideration should also be given to whether the municipality should introduce differentiated closure times for the tipping points, so as to avoid unfortunate accumulations of people who unfortunately often generate night-time violence. Police and social services shall deliver their opinion before the local government — or as in, for example: Oslo, City Council – decide on a grant application. However, it is not the case that municipalities are obliged to pay more attention to their opinions than to the opinions of all other bodies — despite the fact that, for example: the police should be particularly competent to assess the safety and order aspects of the case. In the opinion of the Christian People's Party, municipalities should not be allowed to grant grants in cases where the police do not advise on the basis of clear political judgements. We also know that overdrafting and giving of minors occur to a significant extent. Unfortunately, the local authorities' control of the tipping points does not capture this to a small extent. This is also problematic in terms of violence and crime. It is appropriate to ask questions as to whether such intervention should be granted greater access to the donor supervisors than is currently the case. The same could apply to the police. That is why we in the Christian People's Party have come to that point that we should consider allowing control of shops and outdoors, for example. sells or donates to minors by testing young people below the age limit whether they can actually get alcohol. We know that there are non-governmental organisations that have done this, but such evidence cannot be used in any subsequent case on the waiver of grant. Unfortunately, the preliminary outcome of the police reform is less visible police, although the reform has been welcomed in other areas. Unfortunately, expectations about the release of resources for better public contact and faster and more extensive processing have not been met to the extent desired. The resources released — where they have arrived — have been largely eaten up by wage increases and an agreement for a fifth holiday week. In addition, much of the police work is more resource-intensive than in the past. We also know that international crime requires its own. In Oslo now the situation is that we have vacant positions that we should have had in favor of, so that people can feel an increased level of security. It is a fact that patrolling police in the streets provide security and have a preventive effect. So it should be a common political issue to strengthen the police's ability to exercise this kind of presence and thus increase the level of security. I would also like to say that there might be a question of whether the police's own measurement parameters should be changed to also focus more on prevention and security-creating work. Perhaps there is also a question of whether police training should be more differentiated in order to meet the different needs of police action in a better way than we can do today. I am sure that the chronicle that stood in the evening post a few days ago, which was written by Bjarne Hjeltnes, has made an impression on more than the undersigned. His 18-year-old son died in the summer of 2005 after being knocked down on the street in this town. The offender was sentenced to one and a half years of unconditional imprisonment and one year of conditional imprisonment. Bjarne Hjeltnes has expressed in his thought-provoking chronicle how difficult it is for him to reconcile with what he perceives as a very low punishment for the Prosecuting others for violence is a serious breach of integrity. Such abuses may cause physical damage and death, but may also lead to long-term anxiety and insecurity. It was with this in mind that a unanimous judiciary in the setting of a new general part of the penal code explicitly stated that, among other things, the level of punishment was high. acts of violence had to be lifted. When such a unique signal is given in the setting of a legal case, I believe that both the prosecution and the court are obliged to follow up. Such an explicit signal is undoubtedly more important than the criminal justice practice itself. Although, of course, as a representative of the magistrate, I am not going to go into the court's judicial activities, it must be allowed to ask a few questions in some individual cases and ask whether the Storting's explicit message to raise the penalty level in cases relating to the type of serious integrity violations has actually been met. Crime can be prevented in many ways and must be widely attacked. The voluntary organisations working in crime prevention can be strengthened. It is also possible to ensure that cities and residential areas are designed so that there are open and bright streets and meeting places and get dark passages and unlit places of residence. This is therefore an area in which city planners and planning authorities should also look closely. I am sure the Minister of Justice is also committed to ensuring the security of our cities. I am therefore very interested in hearing what opportunities the Minister of Justice sees for, so that we can once again experience that the centre of our larger cities can be a safe place for everyone.
ParlaMint-NO_2007-02-08.ana.ud2647e314	I thank you for a very good interpellation, and I have to say it so simple that I think I could stand in for every word of the interpellant's posts here. We very much agree on this. The reason why this is an incredibly important interpellation is that it promises to look at how we are going to fight very serious crime in many different kinds of fields. First of all, over the last four to five years, we are now seeing a rather joyful decline in profit crime in Norway, but this is what the interpellant has been talking about: it is left for the type of crime that he here points to – the crime of violence, especially in the urban areas. In this way, there is a criminal policy challenge that we need to intervene more strongly, not only in order to prevent, but also in order to respond. This gives us an opportunity to assess whether, in the context of police resource use, the focus can be shifted from what has been done in the past, which may have been directed towards the sizes that are now actually falling, and on this – not only to investigating matters, but also to driving prevention. The second element that, in the opinion of the Government, this interpellation is of particular importance in a criminal and social policy perspective is the raising of the question of freedom and the need for human freedom, and what to really put in the quest for freedom. For too long, we have connected freedom to the ability of commercial forces to establish themselves and to operate undisturbed from the intervention of public Norway. Here we choose to look at freedom based on how people are really affected by a social evil, and point to the restriction of freedom that many people actually get, whether you are directly exposed to violence, or you are in a situation where you actually don't dare to participate in public life and be out in the streets because you fear the consequences of the business that happens out there, especially at night. The third thing I want to point out is that, in general, it must be much better that we build a society that has little crime and – I kept saying – limit control authority and police as effectively as possible, and that helps us to have fewer criminal policy challenges and events than we still have to repair afterwards when the criminal act has happened. It is therefore up to the Government and the Storting to focus on the consequences of practical implementation, inter alia. In the United Kingdom, the number of drugrelated deaths among drug users in the EU increased by about half the number of drug users in the EU. The relationship we see between alcohol use and violence is one of the best documented links we have in the field of crime, both through national and international research. It has been throughout history in time; we have good studies showing progress in time. We also have good surveys from countries other than Norway. We see that as well as the rise in violent crime is closely related to the consumption of alcohol, it is not linked to what we traditionally believe to be addicts, but it is largely dependent on total consumption in society. Those who expose others to violence are often people who characterize themselves as moderate users of, among other things. alcohol. The increase in violent crime as the number of nightlife scenes increases is unmistakable. This, therefore, is not an eye-catching knowledge, rather a cross-sectional one. If a person wants to reduce the crime of violence, the natural consequence of such knowledge is to look at the practice that is being pursued locally and for which we also have a central responsibility through the framework provided. The Minister of Health and Health is responsible for the Law of the State on Alcohol, and this law gives municipalities great freedom to pursue the policy they want. But freedom is also accompanied by responsibility to provide freedom for those whom we may not bring forward only when we debate freedom. The Alcohol Act gives municipalities a unique opportunity to plan how they want the availability of alcohol in their municipality. This could be one of the main prevention instruments of the municipality, and the municipalities that are constantly failing in relation to precisely preventing this arena should be subject to clear requirements, in particular when they are high on the road in relation to requiring more police resources. The Minister of Health and Health and I would like to encourage municipalities to see the use of alcohol law instruments in conjunction with other instruments to prevent drug problems, including the prevention of violence. This has been facilitated by the development by the Directorate-General for Social and Health of a guide for the development of comprehensive drug policy plans. I would encourage the municipalities to use this to look at the funding policy in an overall perspective, and to further involve the police in this work. Local cooperation between municipalities and the police on crime and drug prevention is a cooperation The Government strongly encourages. I use every opportunity when we discuss criminal policy challenges out there, to travel the themes that the interpellant is now doing. I think it's important that we do that, just to get, among other things. municipal politicians to perceive the seriousness of the situation. Already today, the municipality shall submit to the police all applications for sales and donations for an opinion before a decision is taken. Opinions may also be obtained from the tax and tax authorities. Furthermore, the reputation of persons with a significant influence on the operation of the business shall be checked. This is a good system, which ensures that the municipality can make its decision on the best possible basis of knowledge. It is not the case that everyone has to be treated equally in the field of alcohol policy. If you have a factual reason to discriminate, if you don't get a permit and someone else doesn't, because you don't want there to be a lot of tips – for example. in Rosenkrantz’s street – you have full access to it. Local politicians must dry up, because it is vital if we are to be able to bring down the crime of violence. The scheme facilitates good cooperation between different public authorities and ensures that the municipalities make their decisions after the best information is available. If the municipality has a conscious relationship with its funding policy and, in the preparation of the drug policy action plan, has developed guidelines for this policy — based on input — it will facilitate the orderly and predictable processing of applications for funding. The representative Syversen is drawing up the situation in Oslo in his interpellation. That's good. The municipality of Oslo has informed me that it does so per year. 24 November last year there were 1,066 donations and 358 sales appropriations, sales of beer in grocery stores, in Oslo. In addition, there were 547 tipping points in the center with an opening time of until. 03.30 p.m. and donate time until 3 p.m. 03, a number that also includes between 65 and 70 boats with a hamlet. It is a myth that Norway is so restrictive in this area. We have gradually become one of the most liberal countries in this kind of policy, not only in terms of giving time, but also in terms of giving per. the population. The police have a responsibility to combat the crime of violence. However, this is a responsibility not only for the police but also for the Municipality of Oslo. Oslo police districts have for a longer time, even on the initiative of the undersigned, pointed out the problem of the densification of outpatients, among other things. in parts of Kirkegata and Rosenkrantz’s Gate. I've been sailing there recently, and there are some aspects of what the criminal policy debate should really be like when it comes to what we're going to do here in Oslo. The combination of relatively narrow streets and many intoxicated persons on their way to or from the public places often leads to violent episodes that quickly come out of control. The number of persons involved or involved in such events is disproportionate. I hope for a good cooperation between the police and the municipality in terms of the desire to reduce the number of rape episodes. I hope that the police's statements, in the context in which they come, are now given greater emphasis in the fight for reduced violence. I have been informed by the Police Directorate that the work of the Oslo Police Department is continuously focused on combating violent crime in the centre of Oslo. The visible patrol is reinforced, and patrols are deployed in fixed positions in the most heavily loaded areas. The centre of police station is actively following up points in the center that are plagued with violence and disorder, with particular emphasis on the conditions in Rosenkrantz’s street. The situation is very resource-intensive for the police. Unfortunately, with the extensive presence needed in the Oslo Centre, fewer police patrols will be available in other parts of Oslo for periods. It is the police’s opinion that in the future too, efforts will have to be concentrated in those parts of the Oslo Centre where the densification of service sites is high. Problem-oriented police work as a general, knowledge-driven method of work is part of the work of the Centre Police Station against violence and unrest, and as part of this effort, a report has been prepared on the violence in Rosenkrantz’s Gate in Oslo. That report shall be used actively, both internally and in the dialogue with police cooperation partners. My speech is running out of time. I have some suggestions for further action. I'll come back to it in my follow-up post.
ParlaMint-NO_2007-02-08.ana.ud2647e347	There is not much disagreement between the undersigned and the Minister of Justice as to the overall assessments of what is needed to create a safer city. There could be an interesting philosophical debate about what the concept of freedom really involves, and for whom. I think it fits well into the very kind of debate we have here today. I must nevertheless record that the Minister of Justice, at least as far as the more concrete challenges are concerned, will continue to ask and ask that the municipalities listen to the police and that they see the alcohol policy in a wider context. As one who is also concerned with municipal autonomy, I basically agree with that. At least I have come to the conclusion that, in terms of funding policy, there should be some tighter leads than the law has today. Since the Minister of Justice has not answered all the challenges, will I repeat some of mine: Does the Minister of Justice agree that the police should be listened to more strongly than is the situation today in terms of donations? And in what way does he mean that it should happen? The Minister of Justice, as a representative of the Government, believes that the alcohol law has the necessary instruments, including: with regard to the withdrawal of grant appropriations, including on-the-spot, where the relevant authorities see that this is not proportionate to the allocation granted and has certain criteria to be followed? Does the Minister of Justice also agree that there is still a need to strengthen the visibility of the Oslo police force in the centre of Oslo? I fully agree that a consequence of the need to use resources here is that the metropolitan areas of Oslo actually get less police resources than they could otherwise have. It may affect the fight against recriminalism that we are otherwise engaged in in in other contexts. And does the Minister of Justice think that it is satisfactory with as many vacations as the Oslo police are actually operating with? I'm glad of the Minister of Justice's commitment. I appreciate his appeal to Oslo City Board. I am also pleased that the leader of the Oslo Workers' Party is present here and, hopefully, will participate in the debate, because it is clear that his party can also play a key role in turning the policy around in this area.
ParlaMint-NO_2007-02-08.ana.ud2647e358	I was in my main post about the report that is now available regarding the situation we have in Oslo. I just want to say that the specific mapping that has been done there shows that approx. 60 pst. the violence in Rosenkrantz’s street is within the control sphere of the yard, i.e. not in the street. This responsibility is more closely linked to the alcohol policy pursued, but also to the practice of the outside area. So I believe that the interpellant has a major point in his post, where he challenges me as to how we're going to get more effect from the police's statements, because it's quite clear that the Oslo police have almost asked for fewer outlets and a tightening of the opening hours. I believe it is essential that not only local authorities, but also those of us who hold a criminal policy debate, now take this seriously on the agenda, so that the links that are there are clear. It is a clear political responsibility that we as political leaders and practitioners have. I'm ready to take that. I also believe that we have done so for a long time. I give tribute to the interpellant for having raised the debate. Then the interpellant also asks for a look at new measurement parameters for the police. I think we should do that. We need to find suitable ways to measure the effectiveness of the police with objectives other than what we have today. We're working on that. The same applies to the education issue that was raised. Then I believe it is important that we also make it very clear that the proposals that have now come, among other things. from the Right and the Advance Party, is totally unacceptable if we are to bring down crime in society, proposals from the Oslo Progress Party, among others. Walk around the clock, and suggestions to sell both wine and spirits in all grocery stores. It would create enormous challenges for us in terms of criminal policy, by having to create a good profile in many ways, given the developments some political parties want in this field. I believe it is absolutely essential that we strengthen the alcohol policy instruments we already have, including: The activities of the monopoly on wine, issues relating to charging policies and also other mechanisms outside the scope of the grant provisions. Then we come to the question of how to put more emphasis on police statements. I mean we're going to go into it. The government will look at the provisions we have regarding police statements. But at the same time I am aware that here we have to take care of the local maritime administration. I think it's important. I believe that what the government is now doing in the process of setting up police councils is important in this context, where local politicians and the police meet for a closer contact than receiving a hearing opinion, and where one can just discuss such things, where the police's opinions can be more effective. So I believe it is certainly important that we continue to strengthen the local economy. After all, the Municipality of Oslo has strengthened its budgets by nearly NOK 2 billion. In fact, some of this also has to go to traditional prevention.
ParlaMint-NO_2007-02-08.ana.ud2647e375	I fully agree with the description given by the representative Syversen of the situation, especially in the capital, and I am very pleased that he has taken the initiative in this debate. It is important that everyone should have the right and the opportunity to travel safely into the Oslo Centre, go to the theatre, go to the cinema, take a walk out afterwards, and feel that you are at home, here you move safely and comfortably. Those of us who may have been out traveling a little bit, will have seen that there are few cities that can be compared with the Oslo Center in terms of the situation on the weekends at night. I guess some of us have been in a city like New York, where it's mostly quiet in the 23-24s. In many other cities we see that there are nightclubs, but they have age limits and membership, and there are few that frequent these places. The situation we have in the centre of Oslo, with at least up to 550 outdoors in the inner city – many of them up late, until the 03.30s – is completely unique. This creates a situation that not only affects those who live directly in these places but also affects large youth groups. It will be an ideal, unfortunately, to travel to the city from the cities of the city, Oslo's outskirts and neighboring counties in the evening and at night during the weekends to see where you can get in. There's a kind of drinking culture, where you're looking for which outdoors are so-called nice. This is why the current situation in Oslo Centre puts traces in large youth groups. Studies at least indicate that there is a good part of them that manages to get to the outdoors. In a country-wide survey, approximately one third of young people, aged 13-17, who receive outpatient donations. Sirus, the State Institute for Drug Research, had a project on this for the Health and Social Directorate in a large city. They thought, based on the way they conducted the study, that up to 80 pst. Of the people who were already full, they got overlap, and up to 40-50 pst. by those who were on the border to be minors, they received a service without being asked for a licence. A lot indicates that we have a situation that is bad in this area. One of the things that I think we need is more frequent control of immediate reactions when there are obvious breaches of the rules. I have asked the Minister of Justice a question about this, so we will come back to the later in this Chamber as well. I think it is important that you can react immediately when there is an obvious breach of the law, because otherwise it might be speculated that you can draw it out indefinitely with written warnings and processing around, when you get reactions to breaches of the rules. In many other areas, we have immediate reactions when it's obvious and easy to see that the rules are breaking. I also believe that we need a new policy, especially in Oslo, in this area. The idea of just keeping us open longer and longer, then it spreads when people get drunk out on the street, and we get smaller problems in the center, have been tried for too long. It has only led young people and others to enter the city even later, drink even longer, and are even fuller – those who act this way – when they get out of the bars. We have seen, as the Minister of Justice said, that both the Oslo Progress Party and the Right are proposing to go even further with the same policy towards 24-hour service, as we heard last weekend. Also the Right has said that they want to go in the direction of longer opening times. We have heard that beer sales throughout the day have been discussed earlier here in the hall before New Year. That was one of the proposals the same parties agreed for then. I think we need a reverse operation on the city council in Oslo. We are committed to working with the Christian People's Party in order to achieve the goal of reducing the number of consecrations with the proposal mentioned by the representative Syversen, but we also need other measures, which I hope we can put all the forces around now, but even more fully after the municipal elections to the autumn. One of the measures, which we also need, is attractive alternatives for young people in the centre, i.e. drug-free, attractive alternatives. Here, the state and the municipality, through grants from the big city funds, should go in to establish something properly, which allows young people to apply instead of walking around restlessly and trying to get into places where they shouldn't be. We also need more police presence, we need training of doorkeepers, we need more guards in the cab queues, etc. What I want to ask the Government to do in connection with the Capital Message, which is to be presented in May, as far as I know, is to work thoroughly on this with security in the capital. It is important for the whole country how the city appears, it is an important signal for Norway as a nation that we get cleaned up in the situation that is now at night in the capital center of the weekends. I hope the government will get into this properly in the capital message.
ParlaMint-NO_2007-02-08.ana.ud2647e395	I have recorded that the Syverse has a strong commitment in this area, and I have several times before heard him address the issue he is addressing in the interpellation. I'd like to praise him for that, because it's an engagement you can see that too few have, and how powerful the counterclaims are. We are looking at the first page of the Daily Today’s title “Death after Ferry Filling”. Two young people are described who, in an intoxicated state, lost their lives after attaching to one of the ferries. A few days ago there was a debate on television, after a media look-up, related to child protection and a death after the use of drugs in an institution for the protection of children. That's about. In some sense, 26 000 children taken care of by child protection either at home, in foster homes, or by other means require action. There is a total of half a million children in Norway — a very high number. It's probably also that far more than the 26 000 had needed help, but it's hidden in the home what's going on. What we know is that very many of the problems related to children and young people, and difficulties related to growing-up conditions, often due to the use of drugs in adults, caregivers and parents. Instead, there was an interpellation about the use of cat, and it's right to focus on. It is also right to focus on the use of drugs, but what often does not appear in that type of debate is that there is no drug use in Norway that is the main problem related to problems that children and young people experience during their childhood; it is the use of alcohol by parents. It is often that what we ourselves have a relatively liberal relationship to, we tend to minimize the adverse effects of. It is quite typical to do so when it comes to the marketing of alcohol. After all, we see how, even in this Chamber, there is still room for a more liberal movement of alcohol, greater availability, open-ended shops that can sell alcohol and long-term outdoors, despite the fact that both the inter-pellant and the Minister of Justice have pointed out that there is good evidence that increased access leads to increased adverse effects. I myself was in a debate in Tabloid a few days ago, in which I debated with the Progress Party. After all, the promotion party is one of the top players in the field when the adverse effects have first occurred and calls for more resources, for it to be severely reduced, and for drastic action to be taken, but with a total decoupling of cause and effect. In this area, the causal link and efficacy are clearly evident. I think that, as role models, we should also take a greater responsibility than what we often do in relation to how children and young people feel that society is evolving. It's clear that as parents, as role models, we will also express how the next generation behaves. It's about us as politicians. I have previously stated that there are no particularly good factual reasons why politicians should have access to alcohol on weekdays during events when they are invited to various events. And I mean that. I would also like to challenge the Minister of Justice in that area. I would have appreciated it if there had been events under the direction of the Government that eventually became non-alcoholic. I experienced it myself when I met Dalai Lama in Daramsala in northern India, where every event in the week we were there was non-alcoholic. To the extent that someone wanted to buy something, there was, of course, access to it, but nothing that happened under the authority of public authorities had to do with alcohol. It is quite obvious that the culture that develops among young Buddhists in such a community is a culture where drug use is more cautious. It will be about drugs, but it will also be about alcohol. That's why I think a main message, which I perceive the interpellant has, is that there's a connection between cause and effect, and that as role models we also have to do something about it. There it is that, which actually the Advance Party of all, amazingly enough, has pointed out, that where my freedom begins, there ends yours. That means that we have to look at the concept of freedom based on criteria other than our own right to do exactly what we want, because it affects others in a very hard way.
