ParlaMint-NO_2007-05-08-2.ana.ud311e30	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-05-08-2.ana.ud311e239	Today's interpellation really deals with two issues. One is increased power generation. The other one's wired. In particular, the first topic is a familiar issue in this room, and makes it possible for most of us to just bring out old speeches, update the date, and then the numbers are the same in time. But for two reasons, there's a bit of a strange debate. First of all, many of the network conflicts we are now experiencing are due to the fact that there has been a lack of power in this room under previous governments, not just the last one, but governments before that as well. Had a built out of the power potential that was, one would have gladly avoided the need to bring power into other areas. Secondly, in the last period, we had a case about Årum in Fredrikstad, where, for health reasons – not purely aesthetic reasons – it was a fear in the local population because a power line was going through a residential area. It was a broad opposition that took up the theme – probably in time and untimely the previous government would feel – but the previous government did nothing, and today's government does nothing. Anyway, we're sitting here and we're very concerned about the problem. It is always sympathetic to repentant sinners, at least as a rule. I hope that this can mean that we are getting a little breakthrough today, because some of the network investments that are being made today are bad energy policies and there are bad environmental policies. Let me do the power production first. The need for power is still great in many parts of the country. One would think that the problem was solved now that the climate debate is going on, and it is probably a long time since someone has been talking about the power situation in central Norway and was really worried. But on 10 January last year, the Council of State said that we have to put in place a considerable volume with new power to secure the situation. On 1 May last year, the Prime Minister was at Forest and said that now it was just putting the shovel in the ground. So nothing has happened much more in that region. No significant new volume has come. Yes, the Council of State is probably spending a lot of time following the situation. I don't doubt that, but the results are missing. It's okay to have goals, but I think people in Middle Norway don't breathe out until they see that new power is in the system. Then, for example, I can. I want to know – and I'm sure I'll be shutting down by the Council of State to point this out – the emissions permit, for example. for the Tent Credit, or both the concession and the permit for Industrial Power Moor. It doesn't just help to blame the Bondevik II government and say that the situation should be resolved four years ago, when you can't even do anything in two years. There's a lot of complicated questions about this -- that's quite right, as the Council of State says -- and I think it doesn't really apply internally in the government. There's probably enough gas power problems even more complicated than they would otherwise have had to be. As an energy nation, our potential for power development is great, but it's not triggered. This is due, inter alia, to: protective decisions. The first thing this government did was protect the fabric that could provide 1.5 TWh with new renewable power without CO2 emissions and at low cost. But we also know that the upgrading project for existing power plants has automatically been rejected by the NVE, because the Stortinget after the power plant was built has protected the area. In the case of small-scale, bio- and wind power, much is boasted that a good support system has been put in place. What one forgets is that everyone who was going to deal with the system has said that it's the wrong system. We know that someone does not want the municipalities to be able to make local decisions. One shall not be able to say yes to small power plants, but one shall not be able to say no to wind power either. It is a paradox that the Storting now argues about the power grid as a disgrace to nature, but some come and will build a windmill, it is considered very positive. A compromise in this matter could be that the power grid around the country was shaped like windmills, and that the cables became like the wing voltage, for this cable debate is important, as it now takes off. It's rarely seen local people's reactions to water and biopower projects, but it's very often that one sees people's reactions to net investment. Then you have to see where society can get the most out of the money you're going to invest. Is it in the grid, or is there a significant increase in power generation? I'm not saying that we don't need both, but sometimes one can give priority to one to reduce the need for the other. The debate on networks is often emotional, and there are many planned investments in the future that will give us some debate. The consideration of the environment and aesthetic values is set against costs. I think that's natural, but it gets a little bit crooked when the aesthetic environmental values are often priced to zero, and one only looks at the cost between ground and air voltage. Whenever one knows that many routes will pass through protected areas, either already or soon protected areas, in the periphery of world heritage sites or in tourist areas, an absolute set of natural values should be higher than zero. Based on the attitude of the red-green parties before they came into government, and what has been expressed at the national meetings of some parties, as well as this new feeling from the Right, I hope that we will have a review of the network rules, so that we can avoid such conflicts in the future.
ParlaMint-NO_2007-05-08-2.ana.ud311e265	At first I want to remind Asmund Kristoffersen that the Right voted against the Enoxen Energy Fund, but for the introduction of green certificates, which would prove to have given much greater counting, just so it's said once again. I believe that the interpellant is raising an important debate, challenging us on conventional solutions in the energy sector that stem from a time when the flow in general was a very forward-looking good, and power lines were of course part of this picture, which symbolized growth and prosperity and not least jobs. Out in District Norway where the power was created, power lines were accepted by the population, because it led to visible wealth development. Today, the situation is different. Fuel lines are planned through vulnerable areas to give economic growth far away. Like everything else in our time, the perception of valuable landscape spaces, which can mean growth in a growing industry that gives more positive local impact, namely tourism and travel, but also increasing awareness that we have a responsibility to manage valuable landscape spaces in a way that our descendants too, who will certainly have even greater demands for aesthetics in the landscape room, may be familiar with. What we are talking about here today is simply the development of a new policy in an area where our usual performances are challenged and where our standards change. Therefore, it is commendable of Børge Brende to raise this debate. In the right, we have just left behind a national meeting that showed that the Right is in line with its offensive former Environment Minister. It is simply a question of a new valuation of landscape values and the social economy in a much broader perspective. Studies show that people are willing to help cover some of the additional costs of the central network charge. But a new socio-economic assessment suggests that this must be a fissile layer where those with a greater interest in generating energy, and those with a sales interest, are involved and contribute to more gentle land use interventions, such as cabling. Today, there is just a lot of power needs on the coast and even at sea, with political objectives of electrifying more of the base, that's what we're talking about. Then we can't leave the transit areas behind with the bill in the form of damaged landscape rooms. Personally, I think it is inspiring to be part of this kind of maturation process, which is bound to result in new policies in this area. It was therefore disappointing that the Council of State was so little attending, I would say so little visionary, when established truths are put to the test and new demands and standards grow in the consciousness of opinion. The Council of State said, "I see no need to change the legislation," but he wanted to take environmental considerations into account. It is the legislation that the NVE and other case handlers in Statnet deal with and on which they have submitted their recommendations. So the council also says that the sea cable is something quite different than land cabling, here there is a significant difference. I would like an answer from the Council of State as to whether no sea cable should be preferred where possible, in any case. The Labour Party responded by rejecting the question at its national meeting. Not surprisingly, they're never at the ball first in such cases. The climate brake Jens versus Bjørnøy earlier this winter we have freshened in memory. That is why my invitation to the Council of State, which has the mandate of the Central Party meeting, is that he should get rid of yesterday's legislation. Take Børge Brende and Right’s call for the development of a new regime, which sees more widely the economy and benefits of actors. There is a high time for renewal, and the Storting should be given the opportunity to contribute to this through a major communication on the theme as soon as possible.
ParlaMint-NO_2007-05-08-2.ana.ud311e278	The representative Asmund Kristoffersen presented the special energy situation we have in Norway with such an overwhelming amount of hydropower. That means that we have huge fluctuations in production, which in turn means that we are dependent on good exchange not only internally in the country but also across to our neighbouring country, which in turn means that we are dependent on having a good and secure wired network. We are also aware that in the last ten years there has been too little investment in a good and secure transmission system in Norway. We saw what happened in Sweden, which experienced that during one of the great winter storms many households were longer without electricity. We are interested in raising the level of investment in the network in Norway in order to avoid similar situations. We see that the challenges we face in the climate with more extreme weather make it even more important than before to focus on having safe power transmission. What is now planned from Statnett's side is extensive nature intervention all over the country, from the far north to the far south. There are large natural values that are affected by interventions that should not be trivialised. We see an involvement in that matter in the people's reaction after people's reaction, which I would say to the representative Ketil Solvik-Olsen, can only be compared to the popular mobilization that was against hydropower expansion when it was at its greatest. We've seen an increase in mobilization lately. It seems that people are happy in nature, are happy in pristine nature and appreciate the landscape they live and live in. That's an engagement that we of course appreciate very much. We also see that some of the projects may affect important international values in Norway. Some of the projects have problems relating to wildrein, a species of responsibility in Norway, which we are obliged to take care of. In some situations, but not in all, local energy production and energy saving can reduce the need for new power lines. It's certainly not always true. In fact, simple physical laws say that the greater the total power generation in Norway, the greater the need for a good and secure transmission system. It's not like the more power we have, the fewer power lines. The overall context is that the greater the power generation, the more need is for a good and secure network through which that power is to flow. It is also the case that costs have been used as an argument against wiring. We also know that it's approx. 3.5 pst. of the average electricity bill of people going to the central network. We have also seen that the economic models for diet-benefit assessments have always had problems dealing with what is the value of pristine nature, and what is the value of a landscape? It's true, as the interpellant says, that in the transport sector, more has been achieved. I think the energy sector in these matters has something to learn from the transport sector in the area conflict meeting. Many land conflicts in the transport sector at the beginning of the 1990s led to a rethinking of trying to integrate environmental considerations more closely. I think it's important that we sometimes dare to say that it's not possible to find a number for what Hardangervidda or the wild train is worth. Sometimes it's important to just say that here's the consideration to be taken of. We've also been concerned with another problem related to the wiring, and that's the wiring in densely populated areas. There are few people who want to live right under a cable. Many people are concerned about whether there is an increased risk of cancer or not by living close to high voltage lines. That's also why we're going to take, which means that we can't just have one flow policy. We need more. Finally, I would say that our starting point is that we want a case-approach. We want cultural and environmental considerations to weigh heavily and that we should be better integrated into environmental costs. But we're also going to say that it's not always that cables will be the most environmentally friendly option. Cableing may also have environmental consequences, but where cableing is the most environmentally friendly option after a good diet-benefit consideration, it is our opinion that it has to happen. It is my prediction that this will happen to a greater extent than has happened so far in Norway.
ParlaMint-NO_2007-05-08-2.ana.ud311e301	After listening to the interpellant, I'm a little uncertain about what is actually the main theme of the interpellation. I hear two outbursts: a criticism of a passive government not to do anything about the power crisis in central Norway, and I hear a question about the Central Party's commitment to put new powerlines into cables where the environmental costs of air conduction are high. There may be a lot to say about both of these themes. The force crisis in Middle Norway is a situation in which there is no simple or rapid response. But there's a lot of learning. The most important lesson is probably related to the handling of the Worm Lange and the expansion of the Sunndalsøra. In retrospect, we should learn that we need a change in planning and building laws, requiring a plan for energy supply in large-scale food projects. In this way we ensure that the builders also have enough power to do without risking the power supply in a whole part of the country. So I make some interesting observations when I listen to what representatives of the government and government say: it's unlikely how much harder it is to get things to do now than it was when they put the same representatives in opposition. The challenge for the future is to generate new renewable energy production, and here the Christian People's Party believes that the government is too passive. The new renewable energy support system is too poor to trigger significant new production. We expect the Government to extend the Energy Fund beyond the $20 billion they have promised. The Christian People's Party has previously suggested an increase, and I find that more people now mean the same thing, and that's good. The second theme is the introduction of new kraftliners to Middle Norway, and that is important. Already under the Bondevik II government, a work with better powerlines to Jemtland in Sweden started. But we also need new powerlines from the West – and the West. A series of new scheduled kraftlines will go through vulnerable natures, including: in Hordaland, in Sogn, and in Fjordane, and in Møre, and in Romsdal. A cable will be expensive, but this must be kept up to the cost of natural interference. The Christian People's Party believes that cableing is a very necessary measure in the most valuable and vulnerable natural areas. I therefore appreciate that this question comes up in Hardanger and in Sogn and Fjordane, at Sunnmare and at the top of Setesdal. There's serious and good reasons to sort out wires in these areas. Kraftliner cables are, in many cases, an important and good way to take care of important natural areas. In the future we have to expect more use of wiring. We now have good technology available for such solutions. It turns out that consumers understand such an extra cost. Another problem associated with powerlines is radiation from powerful grids and the consequences for the health of people who live by power fields. This is research done on, but the answer so far has not given rest to people who live in the vicinity of kraftliner. That's a lot of examples. We therefore need a more thorough debate on the use of cable in the power supply, and the Christian People's Party believes this theme should be the subject of a wide debate in a new energy message to the Stortinget. Today, there are many issues of energy supply that are up for debate. The interpellation shows that these measures are coherent. New solutions and measures are required. A new and broad communication is therefore both sensible and necessary in order to challenge new solutions that are tailored to the challenges we face today and to the challenges we face in the future.
ParlaMint-NO_2007-05-08-2.ana.ud311e335	The representative Burnde concluded his interview by saying that he invited a constructive debate around what most people experience as a serious issue. This he did after delivering one of his usual haranges against the policy of the Government. He presented this interpellation in a way that is difficult to describe as constructive and that is difficult to describe as some invited to cooperation and conversations. The debate has focused on the production of renewable electricity, and it has been pointed out that with more production we avoid building transmission systems. I'm going to be the first to admit that had it been so simple, it would have been all right, but when you use Middle Norway as an example, I'm convinced that Burnde here is speaking against better knowledge – for two reasons. Firstly, with or without a green certificate and with or without an energy fund, it would take a lot of time to get enough power to avoid repositioning the transmission system – much longer than until the autumn when the Worm Lange opens, and we get a situation that is serious on the supply side in Middle Norway. Secondly, the power supply in Møre and Romsdal – to Elnesvågen, to Aukra – hangs on one power line. And the security of supply is not improved by expanding wind power on the Fosen, which is then transported south in one power line to More and Romesdal. There will still be a need to secure the power supply through a new cable. This skips burning elegantly over. Then he talks so much about power lines that you would think it almost has not been built before in this country. It has not been long since a 420 kV line was built from Klebu to the Viking Land in connection with the extension on Sunndalsøra. If I am not completely wrong – I have to make a reservation about this – then Burnde was in the government when it happened. There were several protests in Trøndelag – Brende’s own home country – against the environmental pressures this pipeline brought with it, with a 40-metre-wide power street over valuable cultural landscapes and valuable natural areas and valuable residential areas. I did not register any significant involvement from the representative Burnde at the time to address those issues. When this interpellation is taken up, reference is made to the Central Party national meeting. There is no doubt that the decision taken at the Central Party’s national meeting was based on some of the very controversial power transmission projects that are now being launched, especially in the West. There is, of course, a clear expectation from our national meeting to both our own big group and to our own government councils of results, and that it is assessed in a different way than in the past that you can cable and take care of the natural values where necessary. There is not necessarily a question of amending the legislation. In fact, the legislation as it stands today allows us to put in cables where there is a strong environmental impact. This is the practice that needs to be changed, and it is not necessarily necessary to change a regulatory framework that already allows for a possible change of practice. Then I want to say, and it's a little linked to the cost-benefit considerations, that we know that the route Fardal – Ørskog costs between 1.5 and 2 billion kroner. Statnet says you have to multiply it by eight or ten if you're going to draw cables. So if these are correct numbers, you're talking about using a place between 10 and 15 billion dollars -- maybe even more -- to put one cable in the West. There's no one who can believe that it's a particularly sensible resource use, and it represents a lot more than 40 kroner per. person. So I'm going to end by saying that with regard to the power situation in Middle Norway, that's what the representative just before me was into, the expansion of the Worm Lange without the necessary new power generation came in, which is the cause of the situation we've been in. It was what the previous government stood for.
ParlaMint-NO_2007-05-08-2.ana.ud311e354	I have had great expectations for today's debate, for the national meetings in the Central Party, SV, Right and Left have pointed out a new course, a new policy, in this area. I had hoped that it had been confirmed by the Council of State, which has clearly announced that there would be a new course, a new policy, in this area. That's what's ordered. What came instead from the Council of State is, in fact, a warm defence for today's regulation and is well on the way to today's practice. He did not come up with any new control signals that would change the practice that today follows from the regulation, namely that almost all projects choose air voltage. The Council of State said that more time and resources should be spent on investigations. We don't need any more resource-intensive investigations. We need a new policy in an area where environmental costs have to be included in the accounts in a completely different way from what we have seen in the past. Several of the controversial and controversial lines are the result of a desire to electrify offshore installations. Reducing offshore emissions is once again part of the climate challenges. Line transfers related to supplies for industrial and petroleum installations, which are large Community money machines. It's also about new cables to be involved and optimising trade in power with the rest of the world, to increase profits from our hydropower resources. So great values are created, while you can risk what you're left with, is that local communities have to take the costs through major interventions in nature. I believe it is important that it is now clearly stated that there is going to be a different emphasis on the environment than before, and that it is the big community that has to take the bill as a result of this reorientation. It is important to increase power generation. This, of course, dampens the need for transmission lines. It is very regrettable that Norway now has one of the worst support systems in Europe, for example. related to wind power. It makes no sense to compare the government's new support system with what has been in force until now. That has to be compared with the green certificates that should have been in force from now on and forward. They would have represented twice as much stimulation in relation to renewable energy as the government's arrangement represents. I would like to point out that in some of the projects that have led to the debate today, the conflicts are so obvious that it must be possible to conclude as the parties have done, for example. in Hordaland. It has been established that the line to be routed from Eidfjord to Samnanger should go to the sea in Hardangerfjorden. It must be possible to reach a similar conclusion with regard to parts of the route from Fardal in Sogn to Ørskog in Sunnmøre, that alternative air voltages have to be chosen. The same appears to be true in Seatesdal, where interventions in nature are significant. I want to commend the many groups active in challenging established policies in this area. We are shaping our environmental policy by constantly renewing it in the light of new challenges. This kind of innovation is required in the area that we're facing. What is uplifting is that in areas where the Government says a certain no to good environmental solutions, it is still possible to achieve. The Prime Minister stood on the pulpit of the Hordaland Workers' Party and said that the submarine on Fedje would be covered – now the government has changed its mind and is considering lifting. The Prime Minister had no sense of having clear targets for climate change reduction – now he emerged with something that, in confusion, resembled enthusiasm at the National Labour Party meeting and spoke for it. I think it's going to happen in this area as well. It is not possible to defend the transmission of air voltage in the areas we are talking about here, because environmental costs are too high. Air voltage will also be the most widely used option in the future, but we need to be clearly informed that alternatives will be more widely used when the conflicts are significant.
ParlaMint-NO_2007-05-08-2.ana.ud311e375	At first I have to admit that I thought that my reference to the Central Party national meeting decision would have been well received and viewed as a constructive recording, not least by the Council of State's own party. It is almost possible to suspect that neither the representative Borten Moe nor the councillor Enoch was particularly enthusiastic about his own party's decision. In addition, I must remind you that once you've been driving the country for almost two years, you can't just take responsibility for what's going in the right direction, for example. the reduction of unemployment. I have rarely heard the reference that those who crashed earlier have had a finger in the game compared to it. But in the case of a possible lack of energy production, only those who have previously managed are responsible. Of course that's not right. The green certificates would have resulted in twice as much support for the release of renewable energy in Norway, and the responsibility for their scrapping, which has led to 90 pst. by a good part of renewable projects were dropped, the Government must take. I believe that, in a short time, through a climate policy settlement in the United Kingdom, better renewable energy schemes will be pushed forward. It will also relieve and remove the pressure from some of these lines. It's not right, as Borten Moe says, that renewable energy cannot come as a substitute for transmission lines. The transmission lines we're talking about here are going through big processes. Many of them will not be finished until 2012 and 2013. There's a lot of water running into the ocean, there's a lot of bioenergy – trees standing and rotting – and a lot of other renewable power that can be used before that time. It has to be possible to have two thoughts in your head at once. We have to expand more renewable energy, and we have to fulfill the Prime Minister's promise from Forest last year, 1 May, when he said we have to get the gas power plant in Forest in place as soon as possible. We've heard a little about that afterwards. I had hoped, as I also said, that we could have a constructive dialogue on how we can think differently and how we can also take more care of important natural values when we are going to carry out the kind of expansion we are facing. There I have to say that the representative Heidi Sørensen was exemplary in his post. The representative stressed that in case of major natural disasters, you have to think about alternative ways, and she concluded that today it's only 3.4 pst. of the electricity bill payable for the transmission system. Now, what we're talking about is sea cabling and possibly wired in the most vulnerable areas. I have two specific questions for the Council of State. Is it true that natural interventions will also be part of the cost-benefit calculations of Statnet in the future? Will the Council of State order them to do so? And will the Council of State, although he does not want to change the regulation here today, clarify whether there is a different attitude from the Government now, that you also need to choose more sea cable and cable where it is preferable – more than what has been done so far?
ParlaMint-NO_2007-05-08-2.ana.ud311e386	Let me start by pointing out that Børge Brende is guilty of a gross misunderstanding when he says that this government does not take responsibility for what it does. Of course, pointing out what the previous government did and did not do is not the same as not taking responsibility for what we are doing. It must be allowed to point out that we take responsibility for CO2 management at gas power plants, including those to which the previous government granted a concession without taking responsibility for CO2 management. We take responsibility for a renewable investment that is historic, and also something far from what the previous government was able to get in place. It must also be allowed to point out that the previous government built 420 kV lines in spite of local protests, for example. in Årum, as has been pointed out, did not take into account local protests. The fact that it is not possible for the current government to reverse the decisions already taken is another matter. The centre party was first out of the country by national meeting decisions. It shows that the Central Party is once again taking environmental considerations into account on important issues like this, and as I said in my two articles that I have already made, these decisions will now be followed up by making thorough assessments and focusing on environmental considerations. But I can reassure the President that I do not intend, as Gunnar Kvassheim asks, to conduct proceedings on individual projects from the Spokesman's Chair. I didn't expect there to be that kind of proposal on the table here. We have both facilitated local production and take seriously the need for increased transmission links. We have maintained the concession for Forest. Forests may start construction of gas power plants at any time. That concession has been maintained without any new demands being made, so the Prime Minister has his words in place. That concession was extended and granted in April last year, and thus it is able to build it. We've set up a historic agreement on Mongstad, which has already been pointed out. One more thing. Sea cable and cable have been shown to be better than air voltage in relation to climate change for all purposes. It is shown that the climb was without electricity for a week. Without paying more attention to it than that, I would remind you that Værøy and Røst were without electricity for almost a month because of a breach of a sea cable. So it's not like that that sea cable can be said to be safer than air voltage in given situations. We want to focus on natural action when we consider whether to put a cable or whether it is going to be air voltage. I can confirm that this government will base a different attitude than the previous government did, when we consider wiring up to air voltage, as Børge Burnde has asked. So I can reassure Børge Burnde that this government is going in the right direction from the previous one, also at this point.
ParlaMint-NO_2007-05-08-2.ana.ud311e407	Case No. So 9 is done.
ParlaMint-NO_2007-05-08-2.ana.ud311e425	The Government states in the Soria Moria Declaration: ‘The preparedness for oil protection needs to be strengthened, and we need to do more to prevent accidents from occurring and having disastrous consequences.’ Until the Fedje accident, the government had not given another penny for oil protection. A few days after Pedersen State Council took over as Minister for Fisheries, she was given the following report on her desk from the Swedish Coast Guard Agency: ‘Report — State of emergency equipment protection in relation to the recommended emergency level’. This report chose to exclude the public from the Council of State and was not released until February of this year. In the report, the Coastal Plant goes through what is necessary for allocations in the years to come in order to maintain the level of preparedness we have today, which must be defined at a minimum level. What is interesting reading is that they review what was needed in 2006 – investments of 52 million. kr – for which they establish: ‘This gap is expected to increase in the years up to 2010 if budget allocations are not substantially increased or the level of ambition is reduced.’;» A serious reminder. For 2007, the Swedish Coast Guard Agency says that an investment in new equipment is needed of at least 71 million. kr. This report is made by the State Councils except the public. The Council of State does not explain in the additional proposal she is making a few weeks after she has taken over this new information that has come to her table. Then one year goes by and the Council of State puts forward a proposal for 2007 – the current year – on oil protection. The only thing that is referred to there is that a report from the Coastal Agency has been received – nothing about the substance, just that the Council of State and the Department will now go through it. So the Storting has adopted the budget for 2006 and 2007 without realizing that there are 120 million. NOK in return for what the Coastal Works had as a professional recommendation. I must say that I am surprised that this information is not presented in the various budgetary proposals for which the Council of State is responsible. Why? Well, because they are absolutely crucial for the Storting when it comes to designing what you think is a reasonable oil protection solution in the years to come. It appears from this report that there is much to be done with regard to the upgrading of oil bilges, oil collectors, dispersants, etc. Now, the fact is, we're at 120 million. kr for losses in immediate measures for upgrading materials in the oil-protection depots. It's been fixed by the Coast Guard. We are in a situation where nothing has happened when it comes to strengthening oil protection in North Norway. When the Barents Sea Management Plan was presented, the Government stated that, with increased activity in the north, it was also necessary to strengthen oil protection in the north. Nothing has happened. It is still the case that part of the year there are two tugboats that can handle any crisis situation in North Norway. It is now reasonable for the Government to go in and consider setting up an oil-damaged animal emergency unit. It is also necessary to look at the possibilities for the creation of state-owned tugboat preparedness for the South, to work towards the creation of pilots from Lofoten and south along the whole coast, and to start work now. In the wake of the Fedje accident, the environmental organisation WWF set up with a lot of people who were involved and cleaned up. When they previously applied to the Ministry of Fisheries for support for training measures, they did not receive the support they requested. I was myself involved in that matter and tried to appeal to the Council of State. But the WWF's people came along well. It is also of interest to know if the Council of State is looking at this differently in the future. We are in a situation where oil protection in Norway is not dimensioned by the increased traffic we have seen in recent years. This has to be done. What is crucial now is that the Council of State should explain to the Government the following: Why was this report received by the Council of State at its table, with the exception of publicity? Why did it go 16 months before the Stortinget got to know – through the media – that there was no 120 million. kr on what was the professional recommendation? When the situation is such that the Storting was not aware of this, will there be an explanation of the situation in the revised national budget? Is it also the case that the Government of the revised national budget will make concrete proposals for strengthening oil protection in line with the technical recommendations? Does the Council of State think that everything is in its best order, or will the Government support the measures that I have outlined?
ParlaMint-NO_2007-05-08-2.ana.ud311e463	Let me first make it clear that I share Mr. Brende's wish to focus on oil protection along our coast. I am therefore pleased with this opportunity to inform the Storting about the work we are doing in this field. The government has an active environmental policy, including the work on oil protection. The Bondevik II Government has submitted St.meld. No 14 for 2004–2005, on the safe side — maritime safety and oil protection, in January 2005. The majority dealt with the case in May 2005. So it's been two years since the Storing on a broad basis discussed the needs that exist in this area. The size of the message was, among other things, briefed that the age composition of the oil protection equipment should be reviewed. In this review there should be an assessment of lifetime and replacement needs. Furthermore, during Stortinget's treatment of the staging message, it was announced that the towing boat stand would be reviewed along the Norwegian coast. This is the background to the report on the national towing gear and the state report on oil protection equipment developed by the Coast Guard Agency, referred to in the inter-pellation. Before I go into the reports themselves, I will briefly mention some of the most important measures that have been implemented, or are under way in the field of prevention maritime safety and oil protection preparedness, because it is important that we see these responsibilities in the context. Because we have to have two thoughts in our head at the same time. The primary focus must be on preventing accidents. Then we have to be prepared if the accident is first out. On the preventive side, we have the Coastal Agency's nationwide AIS network. This is a system that ensures the automatic identification of ships, including: provides the Coastal Authority with an overview of all available towing resources that can assist with an event. The traffic centre for North Norway was opened in Vardø in January 2007. This is in addition to the existing traffic centres in Brevik, Fedje, Horten, Oslo and White Island. I would also like to point out that last March Russia and Norway signed an agreement – or so-called MoU – on the establishment of a common Norwegian-Russian monitoring and information system to ensure the framework for oil transport in the north. In order to have a longer response time, ship traffic shall be moved further from country to country. Norway joined the IMO, the United Nations Maritime Organisation, in December 2006, to establish a heading 30 nautical miles from land, on the Vardø-Røst route. We will now consider establishing sailors also in the West and South. This work has been started, and the government will return to Stortinget on this matter at a later stage. A state towing boat stand has been established in North Norway. This has been done in cooperation between the Coast Guard and the Coast Guard. There is also a dialogue with different actors in the towing boat market and the oil industry. The background for this is the possibility of establishing cooperation within the towing boat stand. In addition, during the phase-in phase-in, the Coast Guard has new vessels in the Internal Coast Guard. These vessels also have towing capacity which may participate in oil protection operations. Cooperation between private and public preparedness is very important for the organisation of Norwegian oil protection preparedness. Responsibilities, roles and tasks between private, municipal and state actors are regulated. Private activities shall provide the necessary preparedness for pollution from their own activities and shall be required to take action to avert or mitigate damage and disadvantages. Municipal and state preparedness is an additional protection for those cases where the responsible polluter is not himself able to handle the pollution. Norwegian Oil Protection Association For Operator Company, NOFO, is an important part of the private preparedness. NOFO complies with the emergency response requirements of the petroleum business on behalf of the operators. The readiness of the petroleum industry for exploration and production, if any, is significant and must also be taken into account in the assessment of the total Norwegian oil protection equipment. NOFO has a lot of oil protection equipment that will also be used during a larger operation. For example, NOFO has: emergency arrangements with coastal inter-municipal response regions. So a few words about the Coastal Authority's report on the oil protection equipment on the depots. We need to continuously assess the need for preventive maritime safety and oil protection preparedness and to dimension the preparedness in line with risk assessments related to shipping. This was also the main message in the said big message that the previous government presented. The Coastal Works report reviews the need for new and reinvestment in oil protection equipment. An upgrade and enhancement plan is outlined in relation to the recommended emergency level. The equipment assessed shall be placed both on the depots established and on the designated vessels of the Coast Guard and Coast Guard. The cost of reaching the recommended level of emergency has been estimated at approximately 260 million. kr, distributed over five years. So it's completely different from what Børge Brende refers to in his interpellation. A framework increase of 11 million oil protection related to the Coastal Agency budget was made. kr in 2006. As the interpellant Burnde certainly remembers, the Bondevik government, which he himself was part of, let down the main depot of the Fedje. The government has already announced that in the revised 2007 national budget it will be proposed to re-establish a main depot there. The cost framework for this is approx. Twenty-nine million. kr. I both hope and believe that the majority of the Storing will join that proposal. In 2007 the level will be around 50 million. kr over the appropriations made by the Bondevik Government for oil protection. The national preparedness report was issued in January 2006. Towing gear will be assessed together with the other oil protection equipment and the prevention of maritime safety work in the coming years. The Government will continue its efforts to strengthen maritime safety and oil protection. Based on today’s risk assessment, oil protection preparedness is satisfactory. Based on ongoing risk assessments and the reports prepared by the Swedish Coastal Agency, the government will assess further measures in the coming years. The answer to today’s question in the interpellation is therefore that we are constantly working to improve preventive maritime safety and oil protection.
ParlaMint-NO_2007-05-08-2.ana.ud311e499	I can't see that important questions in my interpellation were answered by the Council of State, so I choose to repeat them. The Soria Moria Declaration states that there should be a strong strengthening of oil protection. In the current year, the budget is increasing by 3.5 pst. Then you have to bear in mind that as you increase by 3.5 pst., the traffic along the coast has also increased sharply. It is also the case that the management plan has opened up increased activity in the Barents Sea. So keeping up with the development required a different allocation framework. So to my main question. A few days after the Council of State took over in the Ministry of Fisheries and Coast, a follow-up to the Storing Report, a report from the Coastal Agency that had been ordered, said that in 2006, 50 million were needed. kr in additional investments to keep track of the activity along the coast and to keep adequate oil protection preparedness. So they say 70 million. kr in 2007. In the budget proposal, the Council of State writes on page 125: ‘The chassis has carried out a lifetime analysis of all oil protection equipment on state depots. The analysis outlines a replacement plan for the oil protection equipment. The plan is under assessment in the Ministry of Fisheries and Coastal Affairs.’ So now the Council of State has been sitting for a year and a half on a report that says that already in 2006 you needed 50 million. In order to keep up with the increased activity, and for 2007, the professional judgement of the Coastal Authority was that 70 million were needed. Extra kroner. Does the Council of State consider it appropriate not to familiarise Stortinget with a report that makes these kinds of professional recommendations? Would it not have been more correct for Stortinget to explain the content of this report, and then perhaps have thought that these additions were not necessary? The Council of State now says that she thinks that oil protection is satisfactory in Norway. But if oil conservation in Norway is satisfactory today, at least I do not understand the need to say in the Soria Moria declaration that it should be strengthened. The point is that oil protection in Norway needs to be strengthened every year, because there has been an increase in transport along our coast with Russian tankers. There are 200-300 pieces passing the Finnmark coast during the year. So then I would like to answer what is now my question: Is it that the Council of State should have explained these professional recommendations in the budget proposal, and why has the Council not followed up the 120 million? kr in increased investments requested?
