ParlaMint-NO_2007-01-17.ana.ud2489e22	The representative, Jan Arild Ellingsen, will present a proposal for a representative.
ParlaMint-NO_2007-01-17.ana.ud2489e117	Thanks for the nice New Year's Eve! And so do I! [[Laughter]] Welcome back to Stortinget for a new work session. It worries me that the Prime Minister does not immediately reject a full merger between Health South and Health East. I would almost say that the Prime Minister in his time was also the father of the five health regions. My wish and hope had been that the current evaluation had been awaited before changing the basic structure of healthcare companies as such. In this case, this will become a regional giant – more than half of the country’s population will fall below such a giant – even now just before the regional reform really starts. Many trade unions have protested against this. It's all right that you want to coordinate more in Oslo. I get that. But I'm worried that you're actually considering merging these health regions. My question is: Will the Government add to a democratic process, where both employees and users are heard, before structural changes are made, and will it wait for this to not take place before the evaluation is available?
ParlaMint-NO_2007-01-17.ana.ud2489e127	Still good new year – to everyone! We will not promise to wait until the evaluation is completed, because it is about the whole basic structure of the reform. We believe that it is possible to implement adjustments and changes within the structure we have today before the evaluation itself is completed. We have done something, including: to ensure increased popular participation in the regimes. We also believe that adjusting the boundaries of health businesses may be possible before the evaluation. It's in line with what we said in Stortinget before Christmas. I believe it is wrong to reject one model. We are now looking at many models, different solutions, to improve the management of hospital services across the South and East countries. It is a problem to use resources too poorly — having heavy hospitals, such as the Radium Hospital and the Rikshospitalet, located in a health business area other than for example. Ullevål hospital. I think everyone agrees on that. So continuing with today's system, I think most people don't think is a good solution. So the question is, what is the alternative to that? We will discuss this, inter alia: with employees’ organisations.
ParlaMint-NO_2007-01-17.ana.ud2489e134	The President believes that everyone in this room has now realized that everyone in this room has mutually wanted each other a really good new year for 2007. Then we come back to the case in 2008. [[Laughter]]
ParlaMint-NO_2007-01-17.ana.ud2489e137	I take note of the President's statement on New Year's greetings. Hospital reform has not been particularly successful. There was something the Prime Minister recognized earlier today. Strong forces both in the government and on the right will centralize the outside and place the hospitals right into the state register. The left will go the other way. We will strengthen popular governance and decentralisation. It will give more democratic control and more proximity to people most. The government has proposed a regional reform, which is a golden opportunity to get more democratic management of hospitals. The left says that the health sector must be seen in the context of this reform, while the right will therefore go contrary, with full centralisation to the state. My question is, which way will the Prime Minister go?
ParlaMint-NO_2007-01-17.ana.ud2489e146	I want to go the way that gives the best possible and the best possible health to the people of Norway. It's been the clue all along. How we organise hospitals, what kind of health businesses, what regionalisation we have and what kind of border we have – all of this is to be governed by one goal: that patients get the best possible health care across the country. This may be misunderstood by the representative, but I believe that the hospital reform from 2000 is very successful. It is successful because we treat significantly more patients than we did before. The number treated in Norwegian hospitals has never been higher than today. The waiting lists have gone down, the queues have gone down. But then there are queues in new areas because we are expanding the treatment offer. For example, before we could do not treat people with Alzheimer’s disease. Now we have new treatment methods, and then the new cows come. That's why we need to invest more, use more and deal with more. Then we have to discuss how to organise it in the best possible way.
ParlaMint-NO_2007-01-17.ana.ud2489e153	Last follow-up question – Harald T. Nesvik.
ParlaMint-NO_2007-01-17.ana.ud2489e156	Unfortunately, the draft budget of the Progress Party did not receive a majority. This budget could have resulted in more people in Norway being treated, and the constant proposals for depopulation and changes in the hospital structure, as we see in the media, had been omitted. But I'll leave it. I want to ask the Prime Minister a question. In a situation where we really need the money for patient treatment rather than using it for administration, and when we get such clear signals, among other things. from representatives of the University Hospital Environments and also from the Head of Board of Health East that there is a great deal of money to save by bringing together Health South and Health East, we can only imagine the good effects we could have had by looking at the whole regional structure again and bringing together Norway into a health realm. Will the Prime Minister take the initiative to review the organisation so that Norway can be brought together into a health state, instead of the five health republics that we have today?
ParlaMint-NO_2007-01-17.ana.ud2489e163	The model we have today is the result of a broad consensus in Stortinget on the health reform there, among other things. The progress party was there. I think you should be proud of that, because it has given very good results. And then you can keep improving, you can keep reaping experiences and doing things even better. One of the things we see is that the breakdown agreed in 2000 and 2001 is filled with gaps. Now we're looking at how we're going to do it differently, and what we're going to do in the case. Then we are in the middle of an evaluation of the whole reform. Once that is done, the time has come to discuss the more fundamental features of the reform.
ParlaMint-NO_2007-01-17.ana.ud2489e170	Let's go to the next main question.
ParlaMint-NO_2007-01-17.ana.ud2489e173	Today, the employment campaign «Jobing against bullying» starts. Last year the Prime Minister signed a coup d'état or a manifesto against bullying, otherwise like the former Prime Minister Kjell Magne Bondevik. Last year Prime Minister Stoltenberg also stated in connection with the opening of this campaign that he did not conceal ‘it is difficult for politicians to ‘end bully’, but it is very important for all adults to be aware and to address the problem. – The fact that we put it on the agenda is a contribution to bringing it to an end.” A few days ago, LO’s head of staff brought out a human resources conflict in the management of LO. It was brought out into the public room by the LO manager himself. It's a kind of conflict that we're not used to looking at in the public space. The LO manager also stated that her management of the personnel conflict was exemplary and could be a school example for Norwegian working life. Does the Prime Minister agree?
ParlaMint-NO_2007-01-17.ana.ud2489e183	This government is against bullying. We are against bullying in the workplace, against bullying in school and against bullying in all other contexts. We are very pleased with the work the previous government did in this area, among other things. with the anti- bullying campaigns that the previous government started, and that we've followed up. The government has also signed a manifesto against bullying, and we have a close cooperation with many companies and with the social partners to fight bullying. We're going to continue that cooperation. We're going to continue to work to combat bullying in every way and in every possible context. At the same time, I think it is right for a Prime Minister to be clear about roles and responsibilities. It would be wrong for me as Prime Minister to go into a single company and take a position on or comment on a particular staff case, where there will always be different opinions and different opinions. For the assessment of individual cases, the working environment of a single enterprise, we have competent bodies to do so. The Labour Inspectorate is doing that job. They have competence, and they have to assess individual enterprises whether it is LO or others. As Prime Minister, I will not go into a specific case of human resources or take a position on the working environment at a concrete workplace. That would be wrong because of the responsibility and the role of a Prime Minister.
ParlaMint-NO_2007-01-17.ana.ud2489e190	It's quite possible to answer as a party leader. I would like to repeat the question in this regard. But I record that other members of the Government have entered the conflict, most recently the Minister of Culture Giske, who have come up with characteristics such as fabulous behaviour, full faith, etc. – very strong formulations in a conflict that has been brought into public space. The Prime Minister, in Stortinget, has on a number of occasions expressed his opinion on the LO in praise of the law of order, but when a critical question is now raised in the management of a human resources conflict by the head of the LO, a handling that has a norm for the rest of Norwegian working life based on the position she holds, the Prime Minister refuses to give an opinion. Then you can get the impression that there are other ties behind the fact that the Prime Minister will not answer that question either as Prime Minister, as a party leader or as a private individual.
ParlaMint-NO_2007-01-17.ana.ud2489e198	First of all, I stand here in the House as Prime Minister. Secondly, I have the same opinion as the party leader. I have not entered and commented on personnel conflicts in private companies or other organisations, although there have been large and small conflicts in several organisations and companies that have reached the media over the years. Then I also believe that it is fully possible and completely correct, and that it will actually strengthen our fight against bullying, that we are concerned with the cleanness of roles and responsibilities, that we cooperate with the organisations, with the parties, in many measures to combat bullying, but that we are concerned about that, for example. is the Labour Inspectorate responsible for assessing the individual workplaces. The Labour Inspectorate has also been involved in assessing this matter. The day a prime minister goes into personnel matters, takes a position, rises to some kind of judge there, I think there's a lot going to be very wrong. That's why I'm going to act as neat as possible, and the neat thing is that I don't go into personal matters in private companies or independent organisations.
ParlaMint-NO_2007-01-17.ana.ud2489e203	The President will allow four follow-up questions – first Per Sandberg.
ParlaMint-NO_2007-01-17.ana.ud2489e206	The Prime Minister is very clear on this with roles and responsibilities, and that can be challenging for the Prime Minister. Because we're not just talking about lo leader Valla here, we're talking about central board member Valla in the Workers' Party, we're talking about the head of the Election Committee in the Workers' Party. We are also talking about the party secretary in the Workers' Party having entered into a personnel conflict in order to seek a position for a person who is employed in the LO. When the prime minister says he's against bullying, we all agree. But today, we have headlines in the media that former workers under a labor party government have also reacted to today's LO leader, and that today's labour party central board member Valla has behaved in the same way under previous working conditions. My question to the Prime Minister is: Is it not problematic to look at the division of roles and responsibilities when you are so connected to the LO?
ParlaMint-NO_2007-01-17.ana.ud2489e213	The answer to that question is no. I believe that it is all the more important that we be neat in relation to the division of roles and responsibilities. Entering into a staff case means, first of all, that you should take a thorough look at all aspects of the case, obtain assessments of the case from both sides, from many others who work there, assess the overall working environment – that is, collect a lot of information, and on that basis you might be able to make an opinion. But a prime minister should neither, nor should, enter companies, organisations, nor parties. I am not going to argue about the personnel discussions that have been in the Progress Party, nor am I going to argue about and decide on the personnel discussions that have been in the LO, but I am going to make sure that we have a law that ensures a good working environment. I'm going to make sure that we have strong work supervision that does their job, and I'm going to make sure that we have a good cooperation with many people to fight bullying. But it is completely wrong if, as Prime Minister, I start to engage in a concrete personnel conflict and take a position there.
ParlaMint-NO_2007-01-17.ana.ud2489e218	Åse Gunhild Woie Duesund – for follow-up questions.
ParlaMint-NO_2007-01-17.ana.ud2489e221	Conflicts and harassment at work are difficult regardless of the media profile they have involved. We know that bullying gives low self-esteem and poor physical and mental health. It is serious for those exposed to such exclusion mechanisms. Therefore, for several years, various governments, social partners and supervisory authorities have been working to prevent bullying and to promote an inclusive working life. Would the Prime Minister, in cooperation with the social partners and the supervisory authorities, like to help put a stronger spotlight on bullying in general and on women's right to combine pregnancy and professional life in particular? And how will he ensure that this is followed up in practice?
ParlaMint-NO_2007-01-17.ana.ud2489e228	First, I just want to repeat that I think it was a very good initiative that the previous government took with campaigns and work against bullying, initiatives that had broad support in the Storting at the time, and that today's government has followed up through various campaigns, manifestations and information. I also want to underline what I said when I signed the manifest, that if it had been so simple that one could just ban bullying, we would have abolished it a long time ago. The problem is that there are often more complicated mechanisms, things that are hard to detect. That's why we've stepped up and reinforced the focus, among other things. on bullying in the workplace, and of course also the right of women to avoid being bullied when they are pregnant. This applies in general, but the general view does not make it right for me as Prime Minister to go into concrete matters. We have the supervisory authorities to do that, not the Prime Minister's office.
ParlaMint-NO_2007-01-17.ana.ud2489e233	Lars Sponheim – for follow-up questions.
ParlaMint-NO_2007-01-17.ana.ud2489e236	Governments, trade unions and, in particular, LO management have been very involved in the fight against unfairly high management salaries and option agreements, because the signal effect of working life, for income-making, to the tranquility around the workplace is so dangerous. It has been blown into countless red-green bars to prevent such development, and many of us have supported it as well. This is why the signal effects of the labour market leaders are so important. It's in that context that one has to see these questions. I have no reason to go into a personal conflict and say who is kind or bad, but I record that now the brutalization in the workplace has got a face. Taking Valla could be an excuse for many. Is not the Prime Minister afraid of these signal effects – without going into human resources issues?
ParlaMint-NO_2007-01-17.ana.ud2489e241	There is a fundamental difference here: with regard to what is reasonable and unreasonable management remuneration, the Government has a position and takes a position on it, and has, among other things, it has been formulated through much stricter rules for options. We believe that options are unreasonable, and we have also made stricter rules for options. In the case of a specific personnel conflict, the views and positions of the representative Sponheim will vary. To go in and decide who is right, and who is wrong, I believe it is right that the representative Sponheim chooses not to do so, and on the very same basis I choose to do the same thing as the representative Sponheim.
ParlaMint-NO_2007-01-17.ana.ud2489e248	Jan Tore Sanner – to the last follow-up question.
ParlaMint-NO_2007-01-17.ana.ud2489e252	When the Prime Minister chooses to act as ‘tuse Birgitte’ in this case, there is little doubt that it may be related to the strong ties between the Workers’ Party and the LO. No one has asked the Prime Minister to be a judge in this matter, and no one has asked the Prime Minister to decide whether it is Valla or Yssen who is right. The question is whether Valla’s handling as an employer is a school example for others. Now there was a woman who thinks she was bullied by the employer, the next time it could be an immigrant. Does the Prime Minister think that in such a situation the Government should not have any public opinion about the behaviour of the employer? I record that the Prime Minister is now pushing the Labour Inspectorate in front of him. Will he ensure that an assessment is made of the Labour Inspectorate, of whether they are acting correctly in this case, and whether they should have entered into this conflict to see if it is actually as it is claimed, that one of the employees has been subjected to direct bullying by the head of the LO?
ParlaMint-NO_2007-01-17.ana.ud2489e259	I believe that the Labour Inspectorate has a very important role to play in ensuring a good working environment. It is also the basis for this government to strengthen the Labour Inspectorate and some of the reasons why the Government has been committed to having a strong and good work environment law. But again, when it comes to entering and evaluating the behaviour of different people in a human resources case — the staff case itself and its handling — information is required, information is assessed and information is provided by both parties. It is not a task for the Prime Minister's office, it is a task for the Labour Inspectorate. The Labour Inspectorate has – at least in the media – said that this matter they want to look at, and I am confident that the Labour Inspectorate will do so in a good way.
ParlaMint-NO_2007-01-17.ana.ud2489e266	The size goes on to the next main question.
ParlaMint-NO_2007-01-17.ana.ud2489e269	In Norway today, we have gradually had good arrangements to combine children and working life. But in the wake of a survey conducted by Anne Efskind on abortion and social background, an important debate has arisen. Economic uncertainty and uncertainty often coincide with the age at which women have children, at least if they listen to Dr. Gro Harlem Brundtland, who advises the girls to have children early. They usually do not come under the good arrangements, because they have also followed the call to take a long and good education. While a mother in work gets 80 pst. coverage of the salary for 54 weeks, up to 313 000 SEK, a mother outside the labour market only receives NOK 33 000. There is no more than a little of the equipment you need when you have a new child in the house – and then the operating costs start. The study also shows that in some groups there are more people who choose to interrupt pregnancy than choose to provide the child. The financial assumptions are not conducive to giving birth at an early age. The Christian People's Party believes that economics should not be decisive for whether or not the woman will bring the child forward, and has proposed a step-up of the one-off social benefits for women entitled to birth grant to 2G, i.e. approx. NOK 125 000. Better arrangements for students with children are also important. When Gunn Karin Gjul from the Workers' Party says in the media that it feels like it's too young to be a mother before the age of 25, times have changed since Gro. And when Secretary of State Eye speaks out, the reference to the line of work is quite clear: Parenticide beds are compensation for loss of income – and not bonuses for having children. We do not hear a word about those who are out of work. My question to the Prime Minister is: Have we not now taken an ‘overdose’ regarding the working line? Does the Prime Minister and the Government believe that only women who are permanently linked to the labour market should have children?
ParlaMint-NO_2007-01-17.ana.ud2489e284	The answer to that question is no. There is no doubt that women without a permanent link to the labour market should also be able to have children. Many of them luckily choose to have children, and I think that's excellent. Therefore, the one-off benefit has been increased — not in recent years, but in the past. What is the challenge, and which both the Christian People's Party and the Workers' Party have been engaged in, is to enable women who are working, to be at home with the child when it's newborn, and also to be able to have more children. That is why we have extended parental leave, where the allowance you receive when you have young children and choose to be at home with them is linked to the amount of income you have had in the past. The previous government also prioritised this, in the sense that it was committed to extending access for men to take out parental leave. It's the same thing: you spend money on those who are active. This government has said that the most important thing we want to spend money on is more kindergartens. It is important both for working parents and for non-working parents. It turns out that even non-professional parents want to have children in kindergarten, at least for a few hours a day. And non-professional parents also depend on the fact that the nursery price is not too high. That is why we have allocated the large amounts to full child care coverage, over SEK 3.3 billion in 2006. There are also large appropriations for this in 2007. We want to do everything we can to achieve the goal of full child care coverage. That's our first priority.
ParlaMint-NO_2007-01-17.ana.ud2489e293	There are good arrangements for women in the labour market. But based on what this study shows, I think we need to get together and look at the challenges for women outside the labour market in having children. It is also another group in the labour market that has clearly weaker social support schemes than ordinary workers, and it is self-employed. The previous government was in the process of improving the system and equalising ordinary workers and self-employed people. The current government has let this work go in very slow film. Last autumn, the government parties in Stortinget said that the Government will ‘work on improving the social security rights of self-employed persons’. My question is: Has the Government been fine-tuned to its goal now, so that the Prime Minister can say something more about when this work is completed? It is not more difficult than to address the proposal on full equality as the opposition parties promoted in the autumn budget debate.
ParlaMint-NO_2007-01-17.ana.ud2489e302	The previous government worked on this issue for four years without finding any good solution that it could promote for the Storting. This government has been working on and looking into this issue for a little over a year, and we'll probably look at it for a while. What we're prioritizing is full child-care coverage. Then you just have to figure out that that's what the big sums are going to do in the first place. And then we'll see how fast we can get started with other problems, when the big goal of full kindergarten coverage is achieved. Then I would like to stress that the previous government did not give priority to those who are outside the profession. Cash support was provided, which goes to both those who are in the working life and those who are outside, and is subject to the rights of fathers in the leave system. We need to look at the rights of self-employed people. I understand that it's an important topic, but I'm busy being a prime minister who does the most important things first. It is also important for self-employed people that we get full child care coverage at a reasonable price, and that is what we put everything on in 2007.
ParlaMint-NO_2007-01-17.ana.ud2489e313	The President will accept three follow-up questions – first Karin S. Woldseth.
ParlaMint-NO_2007-01-17.ana.ud2489e316	Like the representative Eriksen, we are also concerned. But in the report she mentions, there is another problem, namely that more and more young girls interrupt unwanted pregnancy. We live in 2007, and never has the opportunity to avoid unwanted pregnancy been better than now. Nevertheless, more and more young girls undergo abortion. In particular, this is a major urban phenomenon. The pressure there is to go through something like this, doesn't bother the Progress Party, especially because these are young girls who are going to live with this for the rest of their lives. This means that sexual education, attitudes change measures and other prevention measures must have failed completely. Can the Prime Minister say anything about the Government's intention to take initiatives to strengthen sexual education and to make awareness campaigns to avoid young girls coming into such a difficult situation?
ParlaMint-NO_2007-01-17.ana.ud2489e323	This follow-up question may have been on the edge of the main question, but it is up to the Prime Minister to comment and answer it.
ParlaMint-NO_2007-01-17.ana.ud2489e326	I would like to answer the question, in order to prevent unwanted pregnancy is an important matter. The government wants to step up work to prevent unwanted pregnancy, because we have high abortion rates, especially among young women and girls. It's set at $25 million. to follow up the Action Plan on the prevention of unwanted pregnancy and abortion. They go to a lot of different activities and are in addition to the ordinary health care, school health and that kind of thing. Thus, the Ministry of Health and Welfare is working on a free-of-charge prevention trial for women of the age group with the highest abortion rate, aged 20–24. The aim is to be able to gain experience and to look at whether even more accessible and free contraception is also relevant in that age group for the number of abortions, the number of unwanted pregnancies. So we step up the work. We are committed to avoiding unwanted pregnancy, and believe it is an important matter.
ParlaMint-NO_2007-01-17.ana.ud2489e336	The inquiry referred to by the representative of Eriksen raises a number of important questions for this meeting and for the Government. We see that the statistics over the last few decades show that the average age of the first-born has increased dramatically, one might say. It has many pages, including: that the volume of involuntary childlessness is increasing almost as much. It clearly has a bearing on age. It also means that the burden on health services in terms of the volume of more or less extensive medical assistance to overcome the problem is increasing. It is not without saying that the main reason for this is the financial arrangements we agree with, but it is quite obvious that it is a contributing cause. So the community involuntarily sends out the signal that it pays to wait as long as possible, for the better foothold and the higher your salary, the better the financial compensation schemes will be. [[The President clubs.]] Does the Prime Minister agree that it is not acceptable for young women to focus on the economy and lack of support schemes when deciding whether to complete pregnancy? [[President clubs]]
ParlaMint-NO_2007-01-17.ana.ud2489e345	The President will remember that there are numbers in front of both Prime Minister and asks how much time you have left.
ParlaMint-NO_2007-01-17.ana.ud2489e348	First of all, I would say that the average age of the first-born is increasing, is an expression of a lot of different factors, but one of them is that more women choose to take education. The average age of the firstborn will easily increase as a result. At the same time, I agree that it is important that we have support schemes that make it possible to have young children if you want to. Therefore, the one-off benefit is now at a higher level than before. In addition, support for studies has improved and, not least, the provision of childcare facilities to people under education has been improved as a result of the massive investment in kindergartens in general. Neither the previous government nor the current government has found money to increase the one-off benefit. We've spent money on other things. As I said earlier today, our main priority is now full kindergarten coverage. We'll focus on that in the first place. Then we'll see how far we get in other areas when that job is done.
ParlaMint-NO_2007-01-17.ana.ud2489e357	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2007-01-17.ana.ud2489e360	The Left Party and the Labour Party have agreed on a very large number of important gender equality reforms through history in order to increase women's freedom of choice when it comes to having children. We agree with the Prime Minister that kindergarten provision is a very important step to increase that freedom of choice. Now the Prime Minister and the members of the Government believe that this is a reform that is soon to be the target, that it will soon be full child-care coverage. Once the goal of full child care coverage has been achieved, the next challenge must be to increase freedom of choice also for women who actually choose to create their seas for the job, who do not just choose to be a worker. Because there are many people who feel that they don't have the freedom to have children, because they have the lack of rights to the system we've created, which is characterized by being an employee in order to have those rights. My question to the Prime Minister is: Does the Prime Minister agree with me that this is the challenge now?
ParlaMint-NO_2007-01-17.ana.ud2489e367	First, I would like to say that although we are struggling with some unresolved problems in facilitating women who want to give birth in Norway, we have achieved quite a long way. This is why Norway is among the countries of the western world with the highest number of children per year. woman. We have quite high birth rates. That's probably because of a lot of the arrangements we've put in place. So there's still some problems. We need to get full babysitting. That's what we're doing in 2007. Both the previous and the current government have pointed to the rights of fathers as an important area. We want to do something about that. It depends on how much money we're able to figure out that kind of thing. I agree that looking at the self-employed's right to maternity leave is an important topic. I know the details of those arrangements too bad to be precise on what should and can be done, but it's a topic on our agenda that we're going to look at. We're going to evaluate different models and their funding.
ParlaMint-NO_2007-01-17.ana.ud2489e376	We're going to go to the next main question.
ParlaMint-NO_2007-01-17.ana.ud2489e379	I want to use my main question to go back to the title ‘LO – Working Party’, but not with the more personal policy angle that the question has had before today – I find it difficult to go into, because I do not have enough detailed information. But all the noise and all the attention around it puts a sharp light on just the relationship between the Workers' Party and the LO, and also on the principal questions. I think principles may be more important than people in this, and that is what I want to use this questioning process to invite the Prime Minister to come up with. Should I help set up a building over the government of Stoltenberg II so far – should I pick out just one, because there are probably more – I would argue that on that Bauta it will be said that the organisational power in Norway has been strengthened at the expense of elected power. This might be true for LO power first and foremost, but not just that. It raises very fundamental questions for me. Now there are a huge number of examples that could be drawn up over the almost half of the years that the government of Stoltenberg II has been sitting on, which could support this. But I'm not going to spend time here. I just want to point out that this whole issue is helping to reduce the transparency and openness of the exercise of power, and it is unclear to what extent that exercise of power is popularly anchored. I would like to recall the words of Prime Minister Jagland at the beginning of this big deal about the need for the role of Storting, in taking care of everyone, including those unorganized. The left is known to be critics of this, on a principle basis. For example, we meet. often the Secretary of the Workers' Party, who blows this and, like, levelles it down to call it party politics, which is unworthy of our democracy in relation to this constructive cooperation. My question to the Prime Minister is quite simply: does the Prime Minister not see any fundamental aspects of shifting power from elected assembly to organisations to which he contributes, and which so many see?
ParlaMint-NO_2007-01-17.ana.ud2489e390	First, I would like to commend the representative, Sponheim, for two things. Firstly, I think it is neat that he says that he does not have knowledge or information in relation to going into the specific staff case. I think that is a neat and correct approach, and the approach you should take to that matter. Secondly, I think it is good for the representative of Sponheim to invite a more fundamental debate on how our democracy should work and how the role of elected bodies in relation to organisations should be. There I believe that our democracy is developed in a very fine and co-ordinated interaction between these different bodies of democratic influence. The power must lie in this room. Decisions shall be taken here. This is where budgets and laws are adopted, and the Government is to be the executive body. But the power adopted here in this hall, and the power exercised in the government offices, does not occur in enclosed spaces or in a vacuum. It takes place in dialogue with different organisations and groups, whether they are environmental organisations, trade organisations, or workers’ organisations. The dialogue with the broad membership organisations and the broad interests represented by the different organisations is also a contribution to Norwegian democracy. For example, when you have: In UN studies, the Norwegian model and why we get many things better in Norway than in many other countries, close cooperation between authorities and organisations is an important part of it. But it must not undermine the fundamental power and authority of the Great Britain to adopt laws and budgets. The most important issue mentioned as a problem is the case of sickness pay. Here there was a very parallel situation for two governments. The Bondevik II Government made proposals for an increase in the employer’s payment. It protested the organizations, and a different solution was found. The Stoltenberg II government made a similar proposal, and we found another solution. So it's not the first time in history that we see things being adjusted.
