ParlaMint-HR_2021-06-24-0.u42830	Now it's Mrs. Vukovac's turn to present the position of the House Movement Representatives Club.
ParlaMint-HR_2021-06-24-0.u43186	Well, because of the word "breathing," I don't think that's common.
ParlaMint-HR_2021-06-24-0.u43187	For what word?
ParlaMint-HR_2021-06-24-0.u43188	You didn't hear right.
ParlaMint-HR_2021-06-24-0.u43189	I didn't hear you, then there's no warning.
ParlaMint-HR_2021-06-24-0.u43190	You got away with it. I can do it again, Vice President.
ParlaMint-HR_2021-06-24-0.u43191	Let me hear it again.
ParlaMint-HR_2021-06-24-0.u43192	So, the quote goes “to the assembly this morning with the same dungism whose dad was a Ustasha, whose partisan. ”
ParlaMint-HR_2021-06-24-0.u43193	All right, let's move on, come on, let's move on.
ParlaMint-HR_2021-06-24-0.u43194	So, maybe there's a problem word this morning because it's neither afternoon nor evening spared by it, but the topic that was the one that was most important for the future has come down to us again who was to hand over the refugees, has anyone reported on, has anyone let anyone suggest it a month or a month later and of course this topic about World War II. They say there's no salvation for us some claim we produced it ourselves, and some claim it's God's punishment is another quote from this. My colleagues and colleagues, since the debate on the election of the President of the Supreme Court will now continue, and a lot of the quality team remains in individual debates, let's turn this debate into a metric to what the President of the Supreme Court should do tomorrow, how we will choose it next time, etc., and not return to '41, '45, all the luck we didn't have an active role in World War I who knows how much more of this would go back. In order not to talk about us as Atlantis, it is my humble message to someone who has clear attitudes about that period, but there is no need to bring them up every day and on every subject. Thank you.
ParlaMint-HR_2021-06-24-0.u43285	You, too. Mrs Grozdana Peric will be the position of the HDZ Representatives' Club. Here you go.
ParlaMint-HR_2021-06-24-0.u43286	Thank you very much, dear Vice President, dear colleagues and colleagues. Here on behalf of my club I want to say something about tourism and the impact of Covid-19 on the economy and tourism as such. We are aware of what happened over the past year and a half and how much Covid-19 itself has affected the revenues of the state budget, which meant budget expenditure and that more than 34 billion kuna has been recorded so far. It is very important to note how much work has been preserved by all the government measures that have taken to keep more than 600,000 employees in employment. But also how much the costs were for the healthcare system and the increased costs related to Covid-19. Last weekend or last weekend more than 330 thousand arrivals were recorded in the Republic of Croatia and thus the Republic of Croatia is clearly a safe country. However, we cannot stop ourselves from being sure and thus being able to relax completely and do nothing to keep it. Special efforts have just been made by the Government and by the Minister of Tourism and Ministry where the programme... and Croatia is actually enabled to make this positive echo recognized in Europe. We are a destination that is easily available by car and thus is our great comparative advantage. When we know that tourism is more than 20% of GDP, then it is very important for Croatia to keep and maintain this trend and thus continue to send a message to the public and to the countries in the environment that we are safe. We have to note that last year, no case of infection occurred in hotels or camps or in the commercial sector. That should go on in this year. So when we look at that period that over 57% more arrivals than last year and 58% more overnight, then it's a good sign that we have to keep pretty much. We know that in 2019 there were over 12 billion kuna revenues from tourism. We are far below that compared to last year, but what we certainly need to support and point out is that we also need to take as much as possible to split up as many people as possible. So far, it is 43% in the Republic of Croatia, although the average of the European Union is around 55%. In the surrounding countries that have much more traffic and revenues from tourism, it is 62 and 57%, for example, Italy and Spain. Therefore, while we are currently in a position to have a very good relationship between those infected with the test, of only 2.2 of the percentages, this still needs to be insisted and enlightened that what we can do is to provide us with a longer and safer summer and development and tourism and the economy, to increase this splitness, thus more and more health care professionals and tourist workers and all, all sectors that have recognised that this is exactly what they have done and that is why here, I appeal once again to the general public to be vaccinated because the availability of the vaccine is very large and it has been particularly important lately. Thank you very much.
ParlaMint-HR_2021-06-24-0.u43387	It is the first to be Mr. Marin Miletic in front of the Most Representatives' Club. Here you go.
ParlaMint-HR_2021-06-24-0.u43388	Dear Vice President, Mr. Radin, dear Mr. Bukarica, respected colleagues and colleagues, the Croatian peoples write in the book of old Sirah without thinking, do nothing, and you will not regret it afterwards. At first, my parents were vaccinated against Covid, and my personal view is that everyone has to be free to decide whether to vaccinate or not. It is also totally inadmissible and the non-democratic atmosphere that has been created, anyone who dares to think is being labelled differently. These heavy labels often go right under the belt, people are deliberately dified and excluded from any process of dialogue and I believe that it is dangerous for democracy. I've had some correspondence with my colleague Bojan, and I think it's important that we talk, so eventually, and see where we're wrong and say that's where we're wrong, if we're wrong, if we see it, is it, by our conscience. Where misunderstandings do not resolve, problems arise. The second opinion doesn't exist, what an audience et alter pars as if it's gone somewhere in the cracks of the crown. The Covid narrative took on the characteristics of cult character, informed consent, freedom as if it had disappeared in our health and political discourse. I would allow myself to say, covidoidologists, as if they created a covidor religion. Covidorolegia has its sacraments. He has his own eclesiology. He's got his own loud prophets. The naked islands, thank God, are gone for now, but an obvious attempt at marginalization is being made to limit human rights so that people literally get blackmailed. For now, we're playing with emotional blackmails, and soon we'll be witnesses to what border they'll go to, if the border hasn't been crossed long ago. A human cannot be a guinea pig of the pharmaceutical industry, it is not moral or ethical to examine on a human person the effectiveness of a particular medicinal product. Douglas Farrow, a university professor, Dr. Theology and Ethics says, just as you can choose, eat or fast, give or not give, without necessarily falling into sin, so you can choose vaccination, but you can choose inoculation, you can choose inoculation without falling into sin. The decision in vaccination, I quote further, requires reflection, good advice, a sound court, not appeal to duty. A reasonable soul owns its own body and, in accordance with the principle of subsidiarity, this court always belongs to family and individuals, and never belongs to church or civil authority. Never. The Italian philosopher Stefano Fontana says, a person who would have had sufficient motivation to know that the vaccine from the beginning was a political and ideological choice for which other therapeutic options were sacrificed, at least potentially useful, and not one primarily health decision, would have the duty to oppose this intention by not subject to vaccination. The greatest moral theologian, Prof. Dr. Tonči Matulić, at least in Croatia, says, quote, and this vaccination, like any other, should remain an ad libitum of the individual against seasonal flu. My point is that vaccination of children is inadmissible. The EU regulator has decided to vaccinate our children for 12-15 years even though the mortality of the population is less than 20 years old, only, Croatian peoples, 0.0000002%. So what are we talking about? What are we talking about? Obviously, this isn't about protecting children because it's a risk for young people to get Covid. 93 Israeli doctors wrote an open letter to the public, quoting only a part, we believe that even a handful of children should not be threatened with a vaccine against a disease that is not dangerous to them. It cannot be excluded that the vaccine will have long-term harmful effects that have not yet been detected, including impact on growth, reproductive system or fertility. It is necessary to allow vaccination of risk populations, and with almost full vaccination of this population, it is possible to return to everyday life.
ParlaMint-HR_2021-06-24-0.u43389	Thank you. Thank you. Thank you, Mr. Miletic, thank you, time [[Intruder: Thank you.]] Thank you. Mr Milan Vrkljan will present his position as an independent representative. Here you go.
ParlaMint-HR_2021-06-24-0.u43470	Thank you, Mr. Chairman. I was already speaking in part today's debate about the candidate for the President of the Supreme Court of Gold. However, part of the subject is simply being poured out and cannot be separated from one another, and that is why I have needs. I didn't mean to talk about this today, I thought I'd talk about something else, but today after the debate as he said by young counterpart Jaksic, who only walked into communism, I have needs to look back on the topic once more and there are no two days that we have marked, celebrated, gave him the importance of going to the 60th and some Croatian citizens in the forest of Brezovic. And it should be recalled at the time that this happened in Europe was a war of two totalitarian systems of communism and fascism and the Croatian people were determined by saving their heads for one or another option. And it should be said that yesterday both the president and the prime minister were there partly accompanied by applause, but also partly excavated, at one point a combat activist made a very ugly curse on Plenkovic when he mentioned Alojzi Stepinca that tells of a struggle that is not appropriate today in 2021. However, these 60 and some Croatian citizens were thinking in '45. The year they set off in the forest of Bezovica. I'm sure they didn't think five years after that would be '45. the years they and their followers come to Zagreb and tear down the monument of Ban Jelačić. I'm convinced they're '45. When they went to Brezovic, they had no idea that their policy, their movement of partisans and communists would go to Zagreb to move 5,000 citizens of the City of Zagreb out of their apartments who had waited for the end of the war that they felt nothing guilty and had not participated in any combat operations and had experienced that 20,000 Zagrebs had been evicted from their apartments in 2 weeks. It is, they were hordes of partisan-Communist who entered Zagreb and persecuted all people not by the criteria whether they were politically active, but by the criteria whether they liked their property. Even more banal and rougher way was that it happened in a small underbelith village of Karlobag, where in 1814 Šime Starčević wrote the first spell of Croatian language in Croatian. And that should be proud of all of us Croats and those who have just walked into communism and say they have not been educated enough. The man marked Croatian history. What happened? The powers of 20 of them with rifles entered Karlobag and their political commissioner took them immediately to the place where the monument was Šimi Starčević, knocked him down and threw him into the sea. Shortly after that, in Zagreb, Hebrang was arrested and taken to Belgrade, tied to a radiator chain and beat only because he said he wanted to and that the Croats had the right to their own state. Well, at the very least, the left hand must and the time will come that it will have to be obvious that Franjo Tudjman, who was an undisputed leftist and communist and sat with your comrades together at the table in '91. year from your president sentenced and accused as a man with dangerous intentions only because he said he wanted and that the Croatian people had the right to their country. I do not define myself here between antifascism and fascism, I define myself here and claim that Croatia needs a courteous Croatia, not a Balkan Croatia, and there is no left or right in Croatia. Nor are you left-wings, nor are there right-wings here only those who want Croatia to be governed by the rule of law and a country in which the legal gains of Western civilizations will be transferred directly to our daily lives And that we will not be citizens of another [[Thank you very much.]] Orders in Europe. [[Intruder: Time, time.]]
ParlaMint-HR_2021-06-24-0.u43471	Thank you very much. Mr. Glavasevic, no no you can go to the place it is a violation of the Rules of Procedure, there is no replica, please. Mr. Glavasevic, are you sure? All right, here you go.
ParlaMint-HR_2021-06-24-0.u43472	Yes, Your Honor, Mr. Vice President, I will quote Article 238, but I will not be silent about this revisionism in this assembly and this division of people on you and your president, we Croats and you who have just walked into communism. It's embarrassing, it's unworthy of the Croatian Parliament and the people sitting here in the Homeland War were civilian victims of a war whose families were murdered by Mr. Vrkljan. Shame on you, shame on you.
ParlaMint-HR_2021-06-24-0.u43473	Mr. Glavasevic, no, I know you know that I have to warn you, but please I will give you my word because I have to, and I will give you my word, but this Mr. Glavasevic this is a free speech, everyone answers for their words if it does not offend anyone, individually here it represents a position that someone thinks is offensive I say I will not enter into that topic, this I must give that warning because it is not a matter of this Rules of Procedure, it does not say the truth either, do you understand. And Mr. Vrkljan probably follows your destiny as well.
ParlaMint-HR_2021-06-24-0.u43474	Maybe not.
ParlaMint-HR_2021-06-24-0.u43475	Or maybe not.
ParlaMint-HR_2021-06-24-0.u43476	I will only refer to Article 238, which says that you as chairman must ensure order, peace and conditions for the work of parliamentary representatives, and also parliamentary representatives cannot, must not, nor should you directly refer to another parliamentary representative but only to you as president, and this is the simplest form of argument in which I ask you to intervene and maintain the dignity of the assembly. I understand that these lefties are [[Thank you very much.]] They were hit hard by the debates because no one had told them for 45 years. [[Intruder: Thank you very much, time, time.]]
ParlaMint-HR_2021-06-24-0.u43477	Mr. Vrkljan time, time, Mr. Wrkljan only for that reason should give you a warning, only for the sake of time, but you abuse consciously, and this course you have another warning and as you can see I was right, I have no right at all but this time I had.
ParlaMint-HR_2021-06-24-0.u46617	We will now interfere with the following point, which is: - Selection, appointments and resolutions, so I would like to ask the chairman of the Committee on Selection, Designation and Administrative Affairs, Nada Murganic, to explain the proposal for a decision. Here you go.
ParlaMint-HR_2021-06-24-0.u46618	Thank you very much, Vice President. At the meeting of the Committee on Elections, Appointing and Administrative Affairs of the Croatian Parliament, several proposals for decisions were made. The decision to elect a member and suspend the term of office of the Committee on the Constitution, the Rules of Procedure and the political system of the Croatian Parliament is elected as a member, since Tomislav Tomašević has put his term of office in office. Proposal for a Decision on the selection of the Vice-President and the termination of the term of office of Vice-President of the Committee on the European Affairs of the Croatian Parliament, Darko Sobota is elected future Vice-President of the European Affairs Committee Domagoj Ivan Milosevic will cease to act in accordance with Article 10(4). The Rules of Procedure of the Croatian Parliament on the day when the decision to suspend the parliamentary term of office is passed by the assembly. Proposal for a Decision on the selection of a member and termination of the term of office of a member of the Committee on Foreign Policy, Danica Baricevic will be elected in the future, a member of that committee, on the day when a decision on the termination of the parliamentary term of office of Domagoj Ivan Milosevic is suspended. Proposal for a Decision on the selection of membership and termination of the term of office of the member of the Committee on Finance and the State Budget of the Croatian Parliament, the Master's Office Marko Pavić will be elected as a member on the day of the Croatian Parliament's decision on the termination of the parliamentary term. Proposal for a Decision on the discharge of a member and the selection of members and termination of the term of office of a member of the Committee for the Economy, a member of the Committee, Danica Baričević, is hereby dismissed, and Majda Buric and Master of the Board of Economy Miro Totgergeli, future member of the Committee on Economy, Domagoj Ivan Milosevic, will cease to act on the day when the Croatian Parliament adopts a decision on the termination of the parliamentary term of office. Proposal for a Decision on discharge and selection of a member of the Board of Justice of the Croatian Parliament, a member of the Committee of Sandra Bencic is hereby dismissed and Rada Boric is elected as a member of the Board of the Croatian Parliament. Proposal for a Decision on the discharge of Vice-Presidents and the election of Vice-President of the Committee on Labour, Pension System and Social Partnership, Vice-President of this Committee Darko Saturday, and Majda Buric is elected vice-president. Proposal for a Decision on the selection of a member and termination of the term of office of a member of the Committee on the Spatial Planning and Construction of the Croatian Assembly, Urša Raukar Gamulin is elected, and since he has left that member of the Committee Tomislav Tomašević for his term of office. Proposal for a Decision on the selection of a member and termination of the term of office of a member of the Committee on Maritime Affairs, Transport and Infrastructure, Emil Daus is elected as a member of the Committee, as of 10 June due to the stay of the parliamentary term of office, Tulio Demetlika has left the post. The proposal for a Decision on the resolution and selection of a member of the Committee on Gender Equality is resolved by a member of Grozdana Peric, named Majda Buric as a member. Proposal for a Decision on the selection of a member and termination of the term of office of a member of the Committee on Local and Regional Self-Government, Emil Daus is elected as a member, since Tulio Demetlika has left the post for his term of office. Proposal for a Decision on the selection of a member and termination of the term of office of a member of the Executive Board of the National Group of the Croatian Parliament in the interparliamentary union, Urša Raukar Gamulin is elected, as Tomislav Tomašević left the post for the term of office. Proposal for a Decision on the appointment of members and termination of the term of office of members of the Committee on the Sharing of State Prizes for Science, for members of the Committee on the Sharing of State Awards for Science from the ranks of prominent scientific staff, is named academician Željko Reiner Vice-President of the Croatian Parliament, Dr. Nina Obuljen Koržinek Minister of Culture, academician Velim Neidhardt, president of HAZU, academician Angelko Akrap, Faculty of Economics, University of Zagreb, Prof. Dr. Vlado Guberac Rector of the University of Osijek, Prof. Dr. Amir Hamzić prof. emeritus Faculty of Natural-Mathematic Sciences in Zagreb, Prof. Dr. Janko Herak, Faculty of Pharmaceutical and Biochemistry, University of Zagreb, Prof. dr. Branko Jeren, Faculty of Electrical Engineering and Computing of the University of Zagreb, Prof. Dr. Stipan Jonjic, Faculty of Medicine, University of Rijeka, Prof. Dr. Stipe Kutleša, Institute of Philosophy Zagreb, Prof. Dr. Nedeljko Perić, Faculty of Electrical Engineering and Computing University of Zagreb, academician Slobodan Vukičević, Faculty of Medicine at the University of Zagreb. The president of the Croatian Committee, who is also chairman of the Committee and Minister of Science and Education, are members of the Committee for the Sharing of State Prizes for Science by Position. The current members of the Committee on the Sharing of State Prizes for Science appointed by the Decision on the appointment of members of the Committee for the Sharing of State Awards have expired within the legal period of 4 years of 11.11.2020 and have expired their legal term of office. The decision, as well as all decisions so far, will also be published in the National Journal, and will take effect on the day of its adoption.
ParlaMint-HR_2021-06-24-0.u46619	Thank you very much. Stay, we even have one replica, it hasn't exactly happened this long, at least as long as I remember, but the replica has a respected representative named Bauk.
ParlaMint-HR_2021-06-24-0.u46620	Thank you. Ma'am. President of the Committee. You have read everything the Committee has decided, which is fine, but you have not read what the Committee has refused to decide, which is the same because it is not the subject, but I will have to ask you. So my proposal was to get Mr. Silvano Hrelja rid of the post of vice president of this election and appointment committee because he moved to the ruling, and that committee belongs to the opposition. According to an inter-party agreement, and its transition has not changed so much that it and that place belong to the ruling ones. My question is, why did HDZ representatives reject this proposal in this committee? Thank you.
ParlaMint-HR_2021-06-24-0.u46621	Dear representative Murganic.
ParlaMint-HR_2021-06-24-0.u46622	Thank you very much. You know very well that in the course of the vote you have sent an update on the agenda, I mean exactly when we were at the end of that vote. The MPs refused to complete the agenda, and therefore, it does not say that they did not adopt your proposal. Namely, my colleague, I think that when it was the Committee's last session or when I explained here in the assembly, it also proposed decisions from this Committee, however, you also pointed out, also in the not knowing, in the debate or in the replica that there is, here, an excellent practice where clubs negotiate with each other and on the post of vice-presidential or chair of certain committees, and that, here, always, it worked successfully and I really welcome it.
ParlaMint-HR_2021-06-24-0.u46623	Thank you. Thank you very much. Thank you. [[Intruder: But it wasn't prepared now.]] I would like to thank the presidents of the Committee. I'm opening a debate. [[Intruder: I will be next time.]] I am opening the debate and reported on behalf of the Club of Representatives of the SDP, the respected representative Arsen Bauk. Here you go.
ParlaMint-HR_2021-06-24-0.u46624	I would like to thank the Honorable Vice President, Vice President. President, I'm sorry, you're saying that a little, well, well, well. I'll concentrate. Leaving the phone booth, did you get any idea it was gonna be next time, I'm fine, this one? You can't replicate me, you have to contact me again on behalf of the motionor. ... You gave the impression that this would be the next time and I would be happy with that part of your answer, but I am not satisfied with the part of the answer when you objected to me that I sent it too late because we.../incomprehensible/... since it is a session through mail, which should not be a practice, but it is more or less acceptable in this case because the representatives were manifesting themselves on the proposal to supplement the agenda. [[You can't hear the intruder.]] If I had sent it late, the secretary of the Committee or you could have answered me, we can't decide now because you sent it late, it will be on the agenda next time and all, so my proposal was also voted on by my colleague Kujundzic from the Bridge and I were in favour, and my colleagues from the HDZ were against it. Secondly, as regards the agreement of clubs, so I just co-ordinated the opposition clubs to the agreement and that place was won by the HSS-HSU Club as part of the opposition and there was traditionally Mr. Hrelja, nominates, but on Friday he moved to the ruling and he by default can no longer be on the basis of an inter-party agreement and I wanted to spare you his criticism to defend, save the other Temple because he crossed you, so it turns out. So it's very simple. Opposite place, you're no longer an opposition, a goodbye, and thank you for your cooperation. Give me a place from your quota or don't give him anything, all right. So that's the only question I wanted to ask at the Committee's session and I wanted to, of course, address it in the assembly so that it was clear what it was about. The issue is that the parliamentary majority rejects the opposition's proposal to be resolved by someone who is no longer in opposition from the post agreed on by the opposition club, and that is that. If we're going to have an attitude, here's what I see is that the president of the HDZ Club has come forward, that it will be done next time, and I will accept it as a logical explanation and I will still not compromise. If that's not the way it's gonna be, every appointment debate will start then with a lex Hrelja until it gets boring either the Hrelja or you. Thank you.
ParlaMint-HR_2021-06-24-0.u46625	The next one will speak on behalf of the HDZ Representatives' Club, honourable representative Branko Bačić, please.
