ParlaMint-HR_2021-07-08-0.u42844	Ruzica Vukovac will be the position of the National Movement Representatives' Club. Here you go.
ParlaMint-HR_2021-07-08-0.u43410	Thank you, Chairman, Mr. Radin. Dear colleagues and fellow MPs today would talk about how the ruling verticals with their flocks at the head of HZZ showed strength and muscle on the project Zaželi at pre-election time in Imotska krajina. Namely, for those of you who don't know the program Wish it was certainly one of the dares to say the best programs. A programme that employs women has a positive impact on a number of different aspects, the socio-economic problems of individuals as well as local communities themselves in a way that reduces women's unemployment by hiring in this project, but also by increasing the employability of women after the completion of the project itself. Acceptable partners of the aforementioned programme are also mandatory at the end of the day as HZZ and the Social Care Centre. The general objective of this call is one form of enabling access to employment and the labour market for women vulnerable groups, with an emphasis on hard-to-reach rural areas and islands. Of course, this programme also has its specific objective, and it is to strengthen and improve the working potential of more employable women and women with lower levels of education of employment in the local community, which will mitigate the consequences of their unemployment and of course the risk of poverty and also promote social inclusion and increase the quality of life of end-users. These are the most sensitive, therefore older and powerless. This and this programme with these and these objectives because of the political verticality and I would dare say one form of haughtiness of the ruling and their flocks in the two municipalities of the Imot region specifically to the municipality of Runovic and the municipality of Podbablje were left on the waiting list despite a positive assessment. It would be understandable to me if, by any chance, both municipalities had not already successfully realised this project but in a time without a choice. I would also understand if these two municipalities had not received a positive rating for the new phase of this programme. Well, it would be understandable to me, even if the other units of local self-government in the area of the Imot region had reported that they had not received the project either or that they had remained naturally on the waiting list, but they did. Yes, they all got and signed a contract for the realization of that programme except for these two. Now, what would possibly be the reason for this, I don't know, but the only difference is that in these two municipalities, they're independent commissioners. Independent commissioners are obviously guilty of being led by municipalities, and then by the people who live there, and then the needs of people living in this area are clearly second-class citizens in our Croatia. They are the culprits of the fact that women of difficult employment have lost their jobs. And the flocks, in the election time, drew their departments, and slowly liquidated the Split-Dalmatia County by awarding contracts to those of their own. And boasted publicly creating and actually manifesting a form of party system that brought them up. A system in which quality, life of need and everything ino is not worth the same. The culprits are independent that the older and powerless population of these two municipalities will remain left to themselves. The flocks of the ruling in this case are HZZs who carry out these crazy orders. They are the ones who consider our Croatia their own. They are the ones who have taken the right to decide whether we will live here, whether we will soon breathe, whether we may have something or not. They are the ones who put themselves in the place of little gods, who cheer and dress, but not with their money, but with the money of all of us. They are what they have been raised to often lose on their lips or leave somewhere by walking through their growing up. They lost themselves. And we, we will continue our way of creating a fairer, better and fairer Croatia, and God help us on this path. Thank you.
ParlaMint-HR_2021-07-08-0.u43500	Mrs. Katarina Peovic will be the position of the Club of Representatives of the HSS and the Workers' Front. Here you go.
ParlaMint-HR_2021-07-08-0.u43501	Good afternoon, everyone, here sometimes some good news happens, so I'm publishing a good news, which is that the workers of the Orjava will receive their salary. The payoff started this morning. This great victory, which is already big news when wages begin to pay off, is indeed an election. So the workers didn't receive the salary for three months, when the unions sent four letters to the government, there was no answer, but when one amount of people came out, so one group of people on Mark's square came up with a payday. Why am I saying that? Because workers' struggle and labour issues are completely marginalized, we do everything, but workers don't, and workers and workers get their heavy, hard-elected salaries only by such acts. Today, journalists asked me if the Workers' Front was calling for riots and violence because we called in a worker who destroyed his boss's Audi who hasn't paid his salary for months to call us for legal protection, and I replied we invite all workers and workers to contact us because we need workers and workers to get legal protection because they don't have it from the rulings. The government does not give any protection to workers and workers. In our public space, there are perfectly normal floscules to be careful about how a minimum wager is paid in a company. That's what Martina Dalic and Tajan Mrcela of Saponia both said, boasting one and the other that no one in their company has less pay than the minimum wage. Well, less pay than minimum wage is not legally allowed. There's nothing to talk about. We cannot boast of such data, but it has become completely normal and rhetorically acceptable for someone to boast about such data. We must say that both HDZ officials or those former officials are finally putting pressure on those parliamentary deputies and MPs who stand behind workers and workers, and I think it is inappropriate what Martina Dalic did, to call me and tell me that I was lying. Why did I publish that information? Not because I'm deeply offended, but because I assume the workers of Podravka are not in a better position than I am, or they're certainly in a worse position than I am if they stand up for workers' rights, to say something publicly and aloud, it should become a thing of the past. So no one calls for violence and disorder, but we call for the protection of workers and workers' rights that here from this high house rarely comes as a message. I will also say that I am very glad that the workers of the Orjava are starting to receive salaries today, but that this protest has indeed successfully put the situation in relation to the bankruptcy process. In fact, not only will they receive salaries but in this bankruptcy process, however, small fighting unions will participate in some guarantee that the bankruptcy process will end with the continuation of production in Orljava, not, means the shut-down of production, which, unfortunately, would be the goal of ruling, which in this case is the owners of the Orjava. So it's not a private-owned company, it's a state-owned company and it's totally unacceptable, and that's why it's a trend, and not just an isolated incident, what happened to me with Martin Dalic, what Minister Horvat told the market workers, when they came to protest in front of the government, which is that they themselves are responsible for minus 30 million kuna, although there are some people in the administration who, if they didn't work, then this administration should be replaced, if people didn't work well in that administration, then they should have been removed, the state has done nothing on that issue, there are some people 30 years sitting in the administration, but Minister Horvat had the face to tell the workers that they were responsible, and that the government there is not guilty of the 30 million debt that the company did and yet, insin'tin't it whether, a lot of complaints, he said, and the advertising about those shirts very good. So I call upon workers and workers not to remain silent, not to be brought into the situation of this worker, is it, which we have mentioned, but to fight for their rights, to organise themselves trade unionally and to seek legal protection. Thank you, everyone.
ParlaMint-HR_2021-07-08-0.u43502	Thank you, too.
ParlaMint-HR_2021-07-08-0.u55614	Good morning respected MPs and respected MPs, I apologize for the little delay, we begin with the announced agenda, first item: - Final proposal of the Law on Amendments and Supplements to the Pension Insurance Act, emergency procedure, first and second reading, P.Z. No. 155 The Government shall propose on the basis of Article 85. This Decision shall enter into force on the twentieth day following that of its Rules of Procedure of the Croatian Parliament. When setting up the agenda, we accepted the proposal from the Proposer to discuss this legislative proposal according to an urgent procedure. This Regulation shall enter into force on the twentieth The Rules of Procedure shall unite the first and second readings, and the amendments may be submitted by the end of the debate in accordance with Article 197. Rules of Procedure. The debate was conducted by the Committee on Law and the Committee on Labour, Pensions and Social Partnership. I would now like to ask the proposal's representative to give an additional explanation of the final draft law. With us is the respected minister of labour, pension system, family and social policy Josip Aladrovic. Minister, go ahead.
ParlaMint-HR_2021-07-08-0.u55615	Dear President of the Croatian Parliament, distinguished MPs, allow me introductoryly to point out that the pension reform of 1 January 2019 when an additional extended cycle of pensioners who can work and at the same time have a significant increase in the number of pensioners working and has more than tripled compared to the period before the reform was implemented. According to HZMO data on June 25, 2021, there were 17,813 pensioners working and receiving pensions. Although the results of the pension reform are visible, the Government of the Republic of Croatia in the 2020-2020 programme established a continuation of the reform, which also includes an additional extension of the cycle of pensioners which can work as well as the promotion of a longer stay in the world of work and after 65 years for all those who wish to do so. It is also important to highlight the unfavourable demographic aspect in which we are located. We are faced with an ageing population and an increase in the life of the population, so it is necessary to make it possible, through the legislative framework, to make sure that people of older age become more involved in the labour market as well as in the pensioners themselves. This enables pensioners, on the one hand, to generate additional income, but it is not negligible to influence the labour market as it also ensures additional labour force and transfer of acquired knowledge to younger workers. In doing so, a strong and significant social impact should be highlighted because employment in the elderly contributes to poverty reduction and to increasing social inclusion. I would like to remind you that the Pension Insurance Act provides for a general rule on the suspension of the payment of the pension of the employees who are employed or carry out the activity on the basis of which there is an obligation to provide insurance. The general rule excludes users of old age pensions, early retirement and retirement pensions for long-term insurance workers if they are employed up to half their working hours and disabled pensioners due to partial loss of working ability or professional inability to work independently of working time. In the periods of employment or the exercise of activity on the basis of which there is an obligation to ensure the provision of pensions to beneficiaries, pensions determined on the basis of completed pensions and salaries, these beneficiaries are therefore not entitled to a minimum pension. Therefore, the beneficiaries of the family pension under the applicable legislation do not have the ability to work while paying their pension at the same time, so in the event of employment, they are suspended from the payment of the family pension. It is important to mention that according to the HZMO data again, more than 215,000 users of the family pension, and their share in the total structure is 19.13%. The average amount of family pension including international contracts in June also amounted to 2.094 kuna and 93 June, which is less than the average amount of pension in the Republic of Croatia. In addition, in most cases family pensioners are widows, or widowers, older ones who use them after the death of a spouse or an extramarital mate. Therefore, it is a sensitive group of pensioners who remain the only members of the household, and their incomes are significantly reduced which leads them to a difficult material situation which is further damaged by the crisis, Covid-19. Data show that more than 27% of cases of surviving spouses and extramarital spouses are potentially at risk of poverty. Therefore, this bill proposes to allow family pensioners to work half full-time while paying their full-time pensions, and it is also prescribed that family pensions in employment periods do not belong to the minimum pension right. In this respect, it should be pointed out that, taking into account the current legal framework which regulates the ability of users to work on old, early age and old age pensions for long-term insurance undertakings, it is proposed to provide equal regulation of the work of family pensioners. The proposed entry into force is on 1 September 2021, given that HZMO, as an implementing body, must occasionally provide technical preconditions for the establishment of a new business process or to establish new programming and organisational solutions. The funds necessary for the implementation of the proposed law are provided in the State budget of the Republic of Croatia for 2021, but also in the national budget projections for 2022 and 2023. The proposed law will increase the expenditure of the state budget in the estimated amount of millions and 470 thousand kuna in 2021, 46 million kuna in 2022 and 68 million kuna in 2023, namely, the increased expenditure will come from the fact that part of widows or widows who are currently active in the labour market decide to leave early retirement, leading to an increase in the number of family pension beneficiaries, estimated at 350 new users in 2021, 2100 new users in 2022 and 2800 new users in 2023. At the same time with an increase in expenditure, will increase revenue from contributions to pension insurance in the estimated amount of EUR 2.8 million in 2021, 33,6 million kuna in 2022 and 43 million in 2023. For this reason, I conclude that it is proposed to adopt this Act on an urgent basis for particularly justified reasons. Thank you.
ParlaMint-HR_2021-07-08-0.u55616	Thank you. We have a request for a break. Comrade Grmo, here you go.
ParlaMint-HR_2021-07-08-0.u55617	Thank you, Your Honor. So we already have a situation in Croatia that in certain counties we have more pensioners than employees. Our pension system is in big trouble and what this government doesn't want to realize is that everything you have in the budget is given to you by the people, given to you by entrepreneurs, craftsmen who fill the budget. In this crisis, you have continued to repress, with totalitarian tendencies, you announce yesterday that support will bind to whether or not someone has vaccinated. How do you expect employers to control it when, in order to get people's support, they can't fire at all, and no one wants people fired? If you continue with this, with a policy like this, I cannot believe that as a liberal colleague, Mr. Hrebak approves this asphyxiation and entrepreneurial freedoms and personal freedoms, I promise you protests. You'll have a protest if you continue with this tyranny instead of meeting our entrepreneurs, you didn't give them anything, you just took them. Just as you're taking constant charges and taxes, will you take taxes and taxes from the unvaccinated? You'll take that. But you won't give support. We're going to get up hard here in HS against this, and we're going to see how these so-called. Liberals are appointed because the ruling majority depend on them, and if they stand up against this, with their two hands, this won't work for you.
ParlaMint-HR_2021-07-08-0.u55618	What were you supposed to do? Stanku? ... You could have, then you could have asked for it, not given this one political speech without any request for a break. [[You can't hear the intruder.]] But the procedure should also require a break. So I'm not running away from political speech, but I also need to respect the procedure. Here you are, colleague Hrebac, a violation of the Rules of Procedure.
ParlaMint-HR_2021-07-08-0.u55619	Honorable and esteemed president of HS, I will not ask for a breach of the Rules of Procedure, I know how it usually ends, although I might ask for it, then I will seek a break as well as my colleague Grumoja has asked for a break, but that break will take literally two sentences. Comrade Grmoy, don't just talk to me about liberalism and don't tell me any more about taking away my rights because we've seen what rights you'd like to take away, and next time, instead of the book, I'll give you a white sheet. Thank you.
ParlaMint-HR_2021-07-08-0.u55620	Okay. What was that now, a request for a break too? ... Okay. [[You can't hear the intruder.]] Injury of the Rules of Procedure, fellow Grumo, here you go.
ParlaMint-HR_2021-07-08-0.u55621	... He's been injured. 238, how uninventional you are with that white sheet and the Ku Klux Klan, so it's more inconspicuous. [[Specially enabled.]] So I never questioned the rights of any minority, especially not blacks, means in Croatia, nor do we have any problem with that. So it's so crazy that you're trying to get through that no one can buy it.
ParlaMint-HR_2021-07-08-0.u55622	Okay, I'm not going to share any warnings, even if there's a reason, but let's calm down, go back to what's at the heart of this law, which is the rights of our pensioners, so let's go with the replicas. First, it's my friend Kirin's turn. Here you go.
ParlaMint-HR_2021-07-08-0.u55623	Your Honor, Mr. President, Your Honor. The pension model rests on the 1883 Bismarck system of intergenerational solidarity and is linked to the number of employees whose income is a certain percentage in the pension fund. It is very important, in unfavourable democratic conditions, to enable the increasing involvement and promotion of remains in the world of work and after 65 years, to ensure additional labour force and transfer of acquired knowledge. Please, isn't it for the pension system, the pension fund better full-time without pension, where possible, of course, but employment up to half the working time with non-retirement benefits? Contribution to the pension fund in that case [[Intruder: Thank you.]] So... [[Intruder: Thank you.]] Need to encourage staying in the world of work [[Thank you, colleague Kirin.]] in order to get everyone [[Intruder: Comrade Kirin...]] who want to do it and make it possible. [[Intruder: Comrade Kirin, time's up.]]
ParlaMint-HR_2021-07-08-0.u55624	It's been a long time. Time's up. Here's your answer.
ParlaMint-HR_2021-07-08-0.u55625	Your Honor, Agent Kirin, I thank you for asking. So you've done well in apostrophe of the principles and models of Bismarck's intergenerational solidarity system. Of course, full-time employment, i.e. increasing the steady employment rate or the total number of persons employed, is very important for the sustainability of the pension system. It is precisely the intensity of this Law that we should further strengthen or extend the circle of those who can work so that they can earn additionally by their will and also contribute to the overall revenues of the state budget or to the overall macroeconomic stability. For this reason it is also one of the reasons why we allow this circle of pensioners whose age structure is somewhat lower to get back into the labour market and actively participate in it. Thank you.
ParlaMint-HR_2021-07-08-0.u55626	Hey, buddy Buck, here you go.
ParlaMint-HR_2021-07-08-0.u55627	Thank you very much. Dear Minister, I would like to ask you if you can further explain the position you said, which, of course, says in the proposal for this legal text that this law will cost the state budget this year something like a million and a half kuna, next year 46 million kuna, that year after that almost 69 million kuna. Please explain in more detail, on what basis will this cost actually take place and, in fact, by your assessment, will there be more insurance companies that will activate this right of those who are already receiving a family pension or those who are working and not receiving a family pension just because they work full-time, please the figures? Thank you.
ParlaMint-HR_2021-07-08-0.u55628	Here's your answer.
ParlaMint-HR_2021-07-08-0.u55629	I thank you for asking Mr. Bucky. Therefore, through a PFU form expressing additional incomes or expenditures that will affect the state budget in this particular case, we have on the one hand an increase in expenditure due to the estimated number of people who will use the right to retire and then re-activate in the working contingent, and on the other hand, the increase in income because these people who are activated in the working contingent are not currently part of the pension system as well as those that are part of the pension system because their activation will increase income from the contribution. It is very clear in the very assessment of the fiscal impact in the law that what expectations are made and of course we expect that more family pension beneficiaries will currently access the labour market from the pension system than will be vice versa. Thank you.
ParlaMint-HR_2021-07-08-0.u55630	Comrade Buric, please.
ParlaMint-HR_2021-07-08-0.u55631	Thank you, dear president of HS. Dear Minister Aladrovic. In the term of Prime Minister Plenkovic's cabinet, all pensions rose by more than 13% and the lowest by as much as 17%, a national compensation of 800 kuna per month was imposed, so-called. Covid addendum for pensioners up to 1,200 kuna, here today we will discuss the possibility of working as pensioners of the family pension and since all of this is foreseen primarily by the pre-election programme of HDZ which later entered all strategic documents from the Government of Croatia's programme, to the RNS, and since it is an active and working group for family pensions from 11 months last year, what can you tell us about and what outcomes and when can we expect? Thank you.
ParlaMint-HR_2021-07-08-0.u55632	Here's your answer.
ParlaMint-HR_2021-07-08-0.u55633	Thank you, dear representative Buric, for this matter. So, since you also know very well either the excellent pension system and all the problems or challenges the pension system faces, we are all aware that the level of levels, and also in the opening speech I mentioned this, the level of family pension in Croatia, or its adequateness, is not satisfactory. That is why we are also in the pre-election programme of HDZ and the Government programme of 2020-2024. add an item in which we want to form this system in another way, all with a purpose that our pensioners will have bigger and more adequate pensions. It is precisely the task of the task of the task force formed at the 11th month last year to come up with a system that we will later implement and, of course, as usual, fulfill our pre-election promise. Thank you.
