ParlaMint-HR_2021-12-07-0.u71541	[[CONTINUES AFTER MEETING IN 13,00 HOURS]] Here you go.
ParlaMint-HR_2021-12-07-0.u71743	Thank you. Today, December 7th marks the 30th anniversary of the Zec family's brutal murder. Father Michaelo Zec was killed outside his house on Trešnjevci, and Mother Mary and the little girl Alexander were killed in a garbage dump in Sljemen. They were only killed because they were different because they were Serbs, because they weren't ours. In the Homeland War 402 children were killed and their deaths were irreparable loss and a terrible loss for their families, a terrible number of innocent, powerless victims. The community must not forget the civilian victims of war in the Homeland War in Croatia among the victims is the share of civilians 43.3% and we believe that the Civil Victims Act of the Homeland War will finally allow real rights to civilian victims in the first place to families of the missing and killed as well as to all those injured in camps in Croatia, who also in BiH, Serbia, Montenegro, the possibility of exercising rights and obtaining civil victims' status and wounded. But while we are in harmony and agreeing on the condemnation of crime on Croatian citizens, are we ready to condemn those committed against others who are not our own? Are we going to convict the murder of an innocent girl and her parents? Mihajlo Zec and his family, wife Mary and 12-year-old daughter were Zagrebers, father Mihajlo was a favorite butcher, worked in a butcher shop at the beginning of Petrina Street, were like the rest of Zagreb and Zagreb families with Trešnjevka with three children. But they had one big mistake at the time, they were Serbs, they weren't ours, and it's enough that it was '91. was allowed to break into their house, rob valuable things, and when Father Michael asked them to return stolen values ferociously kill him in the center of the city of Zagreb where there were no acts of war. And when the unfortunate wife Mary and the 12-year-old daughter of Alexander took off in front of the house and saw a dead father and wife, it was enough for the murderers to put them in a police van and drive them to Sljeme and to the Adolfovac resort in a garbage dump in cold blood. The girl Alexandra asked them not to kill her mother after they had killed her father. She had no dream of killing her, too. And why would he? What did a 12-year-old girl from Cherriesque do? Alexandra Zac experienced the fate of Lee Deutsch and little Madonna, the fate of innocent children who were killed and killed only because they were different because they weren't ours. The murderers, members of the infamous Tomislav Mercep unit who illegally arrested 52 people from the Zagreb and Pagan areas and killed 43 confessed to murder, but because of the procedural verdict of a judicial error none of them were directly responsible for the cruel murder of the Zec family, however, one of them was Sinisha Rimac in '95. Decorated by a high state medal for a heroic act in the war and was the bodyguard of then Defence Minister Gojko Suška. In 2004, Jadranka Kosor expressed deep regret with surviving members of the Zec family and in the name of the Government of the Republic of Croatia granted them a million-and-a-half kuna as a one-off aid because, as minors, they lost their parents, no foster parents, no worries and no means of life. However, no representative of the city of Zagreb or the government of the Republic of Croatia has come to a ceremony organised by the anti-fascists league of documents and the Serbian National Council over the past 30 years. Today, the mayor of Zagreb Tomislav Tomašević will come to the ceremony in Sljemen and we want to believe that this is the beginning of a new time in which we will commemorate all innocent civilian victims, a time in which we will fight that no more children, no innocent person will be killed or marked just because it is different, just because it is not ours.
ParlaMint-HR_2021-12-07-0.u71744	Thank you. This would end with today's work, and we will continue the session tomorrow at 10.00 votes. Thank you very much and pleasantly for the rest of the afternoon. The session was interrupted at 13:32 p.m.
ParlaMint-HR_2021-12-07-0.u80585	Good morning, esteemed colleagues and colleagues. We continue to work, we still have time to resolve all the amendments yesterday, so today we can continue with the point we announced: - The final proposal of the Law on Renewable Energy Sources and highly efficient cogeneration, second reading, P.Z.E. No. 159. The proposer shall be the Government under Article. 85. The Constitution and the Art. in relation to Art. 172. 190. The Rules of Procedure of HS. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to the second reading of the law shall apply. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Legislative Affairs and the Committee on Economic Affairs. And now I would like to ask a representative of the motion of the State Secretary at the Ministry of Economy and the sustainable development of the respected Ivo Milatić to give an opening explanation of the final bill, please.
ParlaMint-HR_2021-12-07-0.u80586	... MPs and MPs. [[Last-on speaker]] Let me present to you the final proposal of the Law on Renewable Energy Sources and a highly efficient cogeneration which is a fundamental law that promotes and encourages the use of renewable sources in the Republic of Croatia. By applying the Law on Renewable Energy Sources and Highly Effective Cogeneration, it entered into force on 1 January 2016 and replaced the part of the acts in force until then to regulate the area of renewable energy sources, and in particular to encourage them. In 2018, the law in question experienced amendments and additions fully transposed the 2009 Directive. who was editing this area. However, the EU's efforts to increase the use of renewable energy resulted in the adoption of a new Directive on the promotion of the use of renewable energy at the end of 2018, and that Directive sets new targets that are set and that Member States together ensure that the share of renewable energy in total final consumption is at least 32% of renewable energy sources in 2030. The directive covers all energy sectors, as well as end-use sectors in which renewable sources should be used. Thus, in the integrated national and climate plan, Member States should consider potential and create a path towards the 2030 targets. for the electricity, heating and cooling sector, and transport, and all to generate the objective of using renewable sources in the final consumption by 2030. Based on these projections, as well as in accordance with the Energy Development Strategy of the Republic of Croatia, this final proposal sets a national goal for at least 36.6% of renewable energy to be in final energy consumption in 2030, and so we have not limited ourselves in case we and Europe and ourselves set ourselves greater goals than the one we have minimally set. This law creates a framework to encourage the use of renewable energy in a sustainable way. This means that the production of renewable energy must be efficient, economical and not adversely affecting environmental aspects, which is particularly important when it comes to the use of bio-mass for energy purposes. Therefore, transparent rules are laid down for the calculation of the share of energy from renewable sources and the definition of these sources and the reporting obligation is introduced to the European Commission in accordance with Regulation (EC) 2018/1999. This law also provides for the possibility of cooperation on joint projects with other EU members and the statistical transfer of the share of renewable energy. The same law builds on clear rules, scope and dynamics of providing support in line with the possibility of planning the development, construction and modernisation of energy systems, and the support programmes for electricity from renewable sources are encouraged to integrate electricity from renewable sources into the market-based electricity market in a market-based way to monitor market developments while avoiding unnecessary market distortions. Manufacturers in the market premium incentive system will get the difference if prices are lower on the market and the surplus funds return when prices on the stock market are higher than needed for the sustainable financing of a particular project over the years in which their work is encouraged. Furthermore, the law lays down the Ministry of Energy as a contact point to provide guidance throughout the process of issuing authorisations related to the use of renewable energy sources and provides for the creation of a Manual on administrative procedures and the establishment of permits for the construction of a renewable energy plant, the question of the guarantee of origin of renewable energy, issues related to the reception of renewable energy into gas systems and heat systems, as well as the question of increasing renewable energy in the heating and cooling sector. In order to implement this law, strong sectoral coordination is needed, thus stressing the need to develop new educational programmes, retraining programmes, and employment in order to ensure that the necessary jobs are filled with professional and qualified staff. The importance of information on support measures available to all relevant actors including consumers and those vulnerable low-income consumers and consumers of their own renewable energy, renewable energy communities, builders, installers, architects, equipment suppliers and systems for heating and cooling and use of electricity, and suppliers of renewable energy and intelligent transport systems. It is extremely important for consumers to be informed of the potential for the use of renewable sources whether it is electrical, heat or renewable fuel, as well as related equipment. The compensation for renewable energy and cogeneration sources is as intended so far, a fee charged by electricity suppliers to final customers as a fixed fee for each sold kilowatt of electricity. However, the law also provides for new funding in renewable production through CROTE, which is provided for in the plan for the use of financial resources obtained from the sale of mission units through auctioning in the Republic of Croatia and the funds collected from the energy authorisation fee and potentially from the fees for imported energy produced in third countries from coal-used production plants. The amendments and additions to the 2018 law have led to the assumption that certain groups of entrepreneurs belonging to the electricity intensive sectors and whose specific position is at risk due to high electricity costs are partially exempt from paying full compensation for renewable sources. On the basis of this, the European Commission has approved the support programme, and the same specifics continue to be maintained in this draft law. This law allows the takeover of electricity from final customers with their own production or self-supply users, which differs from the current law in a way that this will be possible in the future for the renewable energy community and what is important for the institutions will also be able to be users of the self-supply facility. The final customers have the right to participate in the renewable energy community by retaining the right or obligations that end customers have and are not subject to unjustified or discriminatory conditions or procedures to prevent their participation in the renewable energy community. This primarily applies to household buyers. Private companies may also participate on condition that their participation is not their primary commercial or professional activity. The renewable energy communities will have the right to produce, consume, store and sell renewable energy, including through the renewable energy purchase contract, and will also have the right within the renewable energy community to share renewable energy produced in the production units owned by that community. They will be given access to all relevant energy markets directly or through aggregated in a non-discriminatory manner. This law stipulates that the Republic of Croatia will promote the use of renewable energy in the heating and cooling sector and will accordingly seek to increase the share of renewable energy in the sector by 1,1 % as an annual average calculated for the period from 2021-2025. Specific efforts will need to be made in renewable energy for heat and it is extremely important that they now launch activities at local level in order to increase the amount of renewable energy in heating. Heat energy suppliers are obliged to provide final customers with information on energy efficiency and share of renewable energy in their centralised heating and cooling systems, at least once a year with an account or always at the request of the final buyer. User of a system for heating and cooling which is ineffective or which has no approved plan to make by 31 December 2025. becomes effective has the right to exclude from such a system, and in order to obtain the right to exclude from the system, the user must prove that the planned alternative solution to the supply of heating or cooling results in significantly better energy efficiency. The law also contains provisions that promote the use of renewable fuels, particularly biogas and hydrogen. It is thus prescribed that the gas transport system operator and gas distribution system operator are obliged to assess, where relevant, whether the existing gas network infrastructure should be expanded to facilitate the inclusion of renewable gas. This law also provides for a transitional and final provision that energy approvals issued in accordance with the Regulation on the use of renewable energy sources and cogeneration, the Regulation on criteria for the granting of energy approval for production plants, which do not constitute a contract for the establishment of a right of construction or the right of service in accordance with Article. 16 and the applicable laws will be concluded in accordance with the provisions of Article 16 of the Treaty establishing the right of construction and the right of service with the competent ministry. The 17th century is the 25th century. The law on the energy market recently adopted in this esteemed home in the section relating to the establishment of the right of service or of building on real estate owned by the Republic of Croatia or the property owned by units of local and regional (regional) self-government. In order for the Republic of Croatia to achieve an ambitious renewable energy target in final energy consumption by 2030 and that none of the projects which, in accordance with previous laws, had any problems in the sense that the regulation had not been adopted would not have ended the same path and exposed themselves to any possible arbitration. Dear MPs, aware of the roles played by this Law on Effective Energy Transition and Economic Development of the Republic of Croatia, we propose that this esteemed home be adopted after today's debate. Thank you for your attention.
ParlaMint-HR_2021-12-07-0.u80587	Thank you, Secretary of State. Let's go with the replicas, there are six of them, first up is counterpart Ahmetovic. Here you go.
ParlaMint-HR_2021-12-07-0.u80588	Thank you very much. The Honorable President of HS, the Honorable Secretary of State. In the case of a Member State of the European Union, the Commission shall adopt delegated acts in accordance with the procedure laid down in this Article and shall adopt delegated acts in accordance with the procedure laid down in this Article. The 18th ministry has committed that the revision of the support will not be at the heart of the rights already allocated or at the heart of the project's economic sustainability. I would, of course, be happier if you had made a commitment that support would not be at the heart of those who provide these funds for these support, which are, of course, citizens. A compromise solution, which I noted in my first reading, I see in the reduction of the time limit in which the programme is revised, instead of five years, it is necessary to revise this support programme every year. In view of the high profitability of generous support, the acceptability of such projects for external sources of financing itself must take at least some risk, so let this be the time period for the revision of the support programme. In your reply to my remarks, you pointed out that this is too short a period of time since these support programmes are approved by the European Commission. To me, this reason, it's too short a period sounds a little funny because I could say that it's actually five years too long. I'd like to ask for a little more detail. an explanation for why you do not accept my objection. [[The Intruder President: Thank you very much.]]
ParlaMint-HR_2021-12-07-0.u80589	Here's your answer.
ParlaMint-HR_2021-12-07-0.u80590	Thank you for your question. As regards audits, support and everything else, we have clearly defined here in the law that during the duration of the aid, during the duration of the contract we cannot afford any revision other than the one which we have brought with the contract and the support programme. There were some ideas in some governments before the introduction of various audits during contractual relations. It is inadmissible also by the European Commission, but by ourselves, we simply have to stick to what it is. As for the revision of the support we, or the support programme, have put in place deadlines that are normal and that are normal for our support programmes to be audited every so long and that they are possibly going to a new competition. So we can't revise the existing contracts if we've done it by one program, but we've been acting on it, and clearly every so long we'll be doing new support programmes and in as much as we've predicted together in this... [[/The speaker doesn't understand.]]
ParlaMint-HR_2021-12-07-0.u80591	Thank you. Comrade Daus, here you go.
ParlaMint-HR_2021-12-07-0.u80592	Thank you very much, Mr. President. Dear Secretary of State, I only have one question left here. So I'd like you to explain how in practice the silent connection authorisation mechanism will work. We know how HEP functions unfortunately on the ground in some situations. It's quite realistic that HEP doesn't come out in those months, it's formally believed that the license exists, and then what the investor does, how to merge exactly, and what for HEP means to power plants that they don't actually know exist and how it affects the network, if you can say it briefly, because practice, I believe, is a good intention, I don't doubt it at all, but the theory is one, the practice is repeatedly different and how to make it all work properly. Thank you.
ParlaMint-HR_2021-12-07-0.u80593	Here's your answer.
ParlaMint-HR_2021-12-07-0.u80594	Thank you. We have written this article because it is the same and envisaged by the directive and we agree with this article and we think that by our continuous communication with HEP ODS, which in this case is the one that is most often done by continuous communication and showing HERA about possible situations that are not respected by this literally forcing the distributor to stick to those deadlines. Is the whole intensity and this law is that all deadlines that are possible and depend on the state or someone who has to do with the state, and it is specifically owned by the state in a direct or indirect way that the deadlines are respected and that is what we will strive for and pursue.
ParlaMint-HR_2021-12-07-0.u80595	Comrade Totgergeli, here you go.
ParlaMint-HR_2021-12-07-0.u80596	Thank you, Your Honor, President HS, Your Honor, Secretary of State. In this home we often discussed facilities for the production of electricity and sun, and part of our colleagues even called it the Colloquial Mini Solars, we often discussed even when there were no laws related to energy. In 2018, however, we have adopted provisions that make it important to help the household in order to make it easier for it to install solar plants or to teach its production to HEP, and when they need it from HEP and to take electricity. And now what I'm interested in is, what are the trends from 2018 until now, how are they doing in the Republic of Croatia? mini tanning around houses and apartments?
ParlaMint-HR_2021-12-07-0.u80597	Here's your answer.
ParlaMint-HR_2021-12-07-0.u80598	Thank you. As far as the 2018 trends are concerned, they are excellent because by 2018 we had 55 megawatts of installed solar plants, and today we are already approaching Croatia near 200 megawatts which are installed by those who are in the installation process, and when you know that only one solar power plant that is the largest, it is the one on the 2.5 megawatt Visa, it is the only largest, it means that it is all either by house or halls of industry and others. So we've done everything in this law to continue this process, but we've extended it to the energy communities of citizens, we've extended it to institutions, which so far has not been the case, so these are hospitals, schools and everything else, the rest of them, other institutions that are of interest to the wider community. So we expect, and clearly with the rise in energy prices, it's practically cost-effectiveness of this and more and more modern.
ParlaMint-HR_2021-12-07-0.u80599	Thank you. Comrade Pavić, here you go.
ParlaMint-HR_2021-12-07-0.u80600	Dear Secretary, six, seven, eight years ago. There was a lot of writing and talking about floating hydrocentrals, floating hydrocentrals. Now in the world we have floating wind power plants, we have floating solar power plants. In this law, none of it is covered. Whether it is meant to be with something covered and contained in something or whether it should be defined specifically by a rule or otherwise that it can be implemented at all.
ParlaMint-HR_2021-12-07-0.u80601	Here's your answer.
ParlaMint-HR_2021-12-07-0.u80602	Thank you. As far as floating solar power plants are concerned, this law has no obstacle to floating solar power plants. The only law that could prevent floating solar power plants is the Nature and Environment Protection Act. So when we talk about floating power plants we mean primarily calm waters, no, no, not the sea and these big ones, big, big seas and lakes, ponds and everything. We have the knowledge that there are different initiatives, but clearly this initiative will depend most on how the Nature Protection Administration reacts and I think that when it comes to intensive farming in fisheries, there will be no obstacles to floating solars, as we talk about it.
ParlaMint-HR_2021-12-07-0.u80603	Comrade Oreshkovic, here you go.
ParlaMint-HR_2021-12-07-0.u80604	Thank you, Chairman. The esteemed representative of the promoter, digital and green transition, and the promotion of the production and use of renewable energy as it is addressed in this law seems to me only as a list of beautiful desires. In fact, we would all support this, but in order for this to be feasible, a good system-level organisation is needed, and this is not possible without trust in the competent institutions and state bodies of HERA, HROTE, as well as the Ministry of the Environment and Energy Efficiency, and I see further 3 basic problems, which is that many incentives are given through the fastest finger. We have not removed the interference or the conditions that this is no longer happening. Second, they said suppliers would have to make sure that consumers get the information they need, which is what will happen if it is not done. And the third thing is this conclusion of a contract with the Ministry of Service and the right to build. We have no control over the content of these contracts again. [[Intruder: Thank you very much.]] Thank you.
ParlaMint-HR_2021-12-07-0.u80605	Thank you very much, dear colleague Oreshkovic.
