ParlaMint-HR_2021-03-10-0.u27281	The sixth debate, SDP representative club, respected colleague Ivana Posavec Krivec, please.
ParlaMint-HR_2021-03-10-0.u27700	My colleagues and colleagues. Today I'm going to talk about something that has so far passed this pay phone, something that's happening in far away Chicago, but as far as we're concerned, it's much more than seemingly much closer to the issues we often waste our time on. There are no Croats who visited Chicago without feeling proud watching magnificent monuments to Indians the work of Croatian Cypriot genius Ivan Meštrovic, one of the artistic jewels in the city of great architecture and monumental heritage. For nearly a century, Meštrovic's Indians have been one of the most recognizable markers of the great American city. At least recently Chicago was unimaginable without its Indians, and then a strange time came in which ideologically scarred repairers of the past sought to cross cities and their monumental heritage to their narrow extent. From Chicago Monuments Project on the Monument to Indians Ivan Meštrovic wrote that the reduced display of Indians based on which they think about his further fate, or Meštrovićev's work as they stated on the pages, among those monuments in Chicago that need to be discussed. They suspect, therefore, that the masterpiece of sculpture is politically incorrect, impeccable, so if they succeed in their intentions, they are condemned to remove as something shameful. If that doesn't happen, the statue will forever wear a stain of politically incorrect which is already not a small damage for which compensation is not available. Since Karl Marx strongly condemned the Croats for their role in the asphyxiation of the revolution in Hungary in 1848. It is expected that his post-modern ideological followers, if the wave from America continues to spread further eastwards, will soon begin to look at the monument to Ban Jelačić, about the clerical Grgur of Nin, the gender stereotype history of Croats or King Tomislav, who reproduces the patriarchal pattern of the white man in the position of being able not to speak. The political reaction in Croatia to such a barbaric threat to the masterpiece of Croatia's largest sculptor was usually flaccid. The culture ministry is horrified, so they'll write them a letter to love us naively again saying it's a misunderstanding. When asked if the relevant ministry could in any way protect the monument or only an attempt to explain it, Obulen Koržinek replied that monuments in another country cannot be protected from here, and Ivan Meštrovic was also an American citizen. That's not enough. This is a political question and requires a political response, and it can only be the following, if the magnificent sculptures of an artist from Otavica, born in the area whose residents of Alberto Fortis in the Way of Dalmatia described you as some kind of Indian Europe. If, therefore, Meštrovic's "Indians" represent something embarrassing, unacceptable, in the extreme line unwanted, give them to us. In Europe torn apart by totalitarianisms of the 20th century, communism, fascism and Nazism, America was once rightly seen as a bearer of freedom and hope. Who could have thought that in the most advanced American cities in the 21st century we would witness totalitarian tendencies comparable to the Stalinist repair of party past. It's one of the more plastic examples on that trail of Stalin's government that deleted the photos from all the documents of the head of the Soviet secret police... After he fell into awe. [[The speaker doesn't understand.]] If you're going to fix your own past by removing what you're going to find unorthodox, let us fix our own. If history had anointed us more and had been luckier, Croatian Geni Meštrović would have spent his life in the homeland and his works like "Indians" would have been there. I will repeat, if you shame Meštrovic's "Indians", give them to us. Let them go back to where they came from. In the human and artistic universality that the repairers of the past deny, we will easily accept them. After all, this would not be the first of Meštrovic's work returned to Croatia. In Drnis there is a masterpiece of "The War of Life" bought by Meštrovic himself. Is our government ready to learn the same thing? Meštrović's "Indians" in which... The tiny and ideological eye sees only politics, the smart cultural policy should first of all see the artistic masterpiece, which exceeds the space and time in which it was created. [[The speaker doesn't understand.]] If they're ballast in Chicago today, we'll be proud. Give them to us. This should not only be an artistic or patriotic cry but also an unequivocal political message that we expect our government to hear first, and then convey to the US administration. Which, if our interests were not only theoretically but following a goal, they would have done it long ago. Let the whole world know that the unwanted Meštrovic Croatia is waiting with open arms.
ParlaMint-HR_2021-03-10-0.u27701	Thank you very much. We are now going to the fourth debate on behalf of the SDSS Representatives Club, respected colleague Anja Simprag. Here you go.
ParlaMint-HR_2021-03-10-0.u27742	Thank you, Mr. President. Dear colleagues and colleagues. Another area of Croatia with unique natural beauty awaits in line for the declaration of a certain degree of protection. One single, as they beat her, river Una springs in Zadar County, in Donjo Suvaya near Serbs. About the importance of the Union for the Licanes, it is heard only from the Lower Lapca and the Court that raised this issue in 2013, but to date, the only thing they know is that it is not in strategic development, a plan for the development of the Republic of Croatia. Recently, what we have witnessed here, nature park has been declared Dinara. With the right to ask what is wrong with their initiative to declare the Una Park of Nature. The largest depth to which the divers dived was in 2016 to a depth of 248 meters, which is also the new world record. In this way, the heat of the Una became the deepest researched karst spring in the Dinarid and the 5th deep source in the world. One river, two shores, and big differences. One of the banks in BiH, part of the national park, the other in Croatia, is exposed to devastion, desertion and oblivion. The wonder waterfalls of the UN in the upper current, in 2008 gained the status of the national park in BiH. As its value is protected in the neighbouring country, Una there becomes the backbone of the economic development of the western part of Bosnia, which is visited annually by up to 150 thousand tourists. A wider area of canyons is also protected as an ecological network. The area where this unique river starts is still '68. declared a hydrological monument of nature. The most beautiful waterfall of Une is Strbački buk, which as a tourist destination is not registered or is located on a tourist map. The fact that the Una National Park has been declared in BiH on the basis of sedated deposits, Una is common. Together, the rocks are saddled. Then why is Una in BiH a national park, and on this side is nothing? There is no parking lot near Strbačko Noise, no trail is arranged until the waterfall itself. This part of Croatia is hermetically closed towards neighbouring Bosnia, from the border crossing of Užljebić near Bihać to Strmica near Knin, we do not have an open border crossing within 130 km. The opening of Martin Brod would also open tourist routes from the National Park of Una in Bosnia, according to the UN source in Suvaja and Strbački noise on the Croatian side. It would be fantastic assumptions for a serious development of tourism. From Martin Brod in the national park, a village with the largest raft complex in the Union, a total of 124, a source of Una is only 15 km away, but as the Martin Brod border crossing is closed, tourists from the national park to the source of the Una, must cross as many as 115 km because they have to go around, around the Bosnian Petrovac, Bihać, Užlebić, Donji Lapca, to get to Suvaja near the Serbs. The view of those few inhabitants of this region is against the future, the declaration of nature parks, and the greater possibility of the placements of their organic products, as well as the development of tourism. The initiative was supported by the UN National Park in Bosnia because there is a real possibility and a danger of building an industrial plant, so that the protected values of this national park on the right side are at risk. It's all one river, the same world. I'll finish my presentation by the words of my acquaintance, the Lover of the Un. "We lost a step in time a long time ago, only Una goes forward. Una has outlived everything so far, she will outlive all our wars and hatreds and when we are gone, she will continue to flow completely calmly." Thank you.
ParlaMint-HR_2021-03-10-0.u27787	Let's move on, now it's time for a respected colleague, Silvano Hrelja, on behalf of the Club of Representatives of HSS and HSU. Here you go.
ParlaMint-HR_2021-03-10-0.u27788	Mr. President. Dear colleagues and colleagues. Dear pensioners, especially those retired before 1 January 2019 What I'm going to talk about is a contribution to women's equality on the occasion of International Women's Day. Divide and rule, old Rome is gone, but that principle, that strategy will live forever. There is no protest and there will be no protest because all groups are broken, just as Caesars love. Even the pensioners were not helped by the wisdom that comes with grays, they were given to divide, and now part of the time they yell at each other instead of yelling at those who are worse together. The Croatian pension system has many disadvantages, and there are many examples for this, and it is evidence that for the amount of pension it is more important for the retirement date than for the internship or payment. Caricated, maybe, but there's too many exceptions and division amongst the pensioners, 18 categories. Old until 1999, new until 2016, new two-stage from 2016, from 2014 an old pension without pensioning 60/41, but they were previously retired, so this is a picture of our pension system. One of the newer divisions was established by the introduction of a parental, motherly internship, adding six months per child to a total completed retirement internship, since not all mothers had the right to do so. It's inadmissible. Any amendments and additions to the law withdraws a period of time, and so this right applies to mothers retired until 1 January 2019. Mothers who retired before that date are damaged and wonder why their education is worth less. Such a change is followed by some European trends in the pension system, pension insurance, is part of an innovative policy against poverty, is certainly welcome and well-intentioned. We often compare ourselves with an insurance internship with countries that include motherhood, study, military deadline, and we who do not always say that we have little insurance training. But let's move on, in order to reduce the gap between men and women's pensions, an additional gap has been created, an additional distinction between retired women, so that they, or not to argue with each other at all, I will argue for them here after this pay phone. Today I'm going to refer the bill in which I'm looking, in a parliamentary procedure, of course, in which I'm asking that, I repeat, a good measure be applied to all the mothers of retirement. It requires some money in the budget, but it's much less than the pain of a mother's heart because of an injustice that, you imagine, has been done to them by law. Inadmissible. Therefore, pensioners, pensioners and pensioners, raise your voice, now before the election, that this injustice may be corrected. Support this law because the rights it makes for women mothers, they will use as long as they are alive, and that is a lot, a lot, a lot, an incomparably more than one-time aid that has been offered lately at local and national level. Thank you very much.
ParlaMint-HR_2021-03-10-0.u27807	We're going to the fifth debate, IDS Representatives' Club, dear colleague Marin Lerotić, please.
ParlaMint-HR_2021-03-10-0.u27808	Dear President of the Croatian Parliament, colleagues and colleagues. Since the beginning of this pandemic, we have been appealing to the government and to the national headquarters to introduce a regional approach in Croatia and to delegate greater powers to the civil protection county headquarters, which have proved to be able to manage this crisis in their own field with their work and quality assessments and reactions. But most of those appeals were nothing. The state persistently pushes the centralist governance model even though the model has proved countless times spent and missed, and is particularly inappropriate to address this unremembered health crisis and to allow tourist regions to prepare for the upcoming tourist season. Fortunately, there are countries in Europe that are thinking and working systematically and thoroughly and not from situation to situation, so last week we had opportunities to see that Germany has declared Istria and several other Croatian counties, safe zones for travel. It is amazing that some neighbouring EU member states are making more favourable decisions for our citizens than we are for ourselves. It may also encourage those responsible in Croatia to finally examine the way they deal with this pandemic and to see positive European examples. What is particularly worrying is that Croatia currently has a record and historical decline in GDP and economic activity that shows that this crisis is obviously going to be much longer than we expected together. And instead of making an emergency plan of activity and how to prepare and save the upcoming tourist season, we see that decisions are made too slowly and when something is decided, it is usually only half a solution to the problem. The tourist season is expected to be better than the last season and we do nothing to make it happen. The state acts as if our Mediterranean competitors will sleep winter or summer sleep and just let everyone who wants to travel this year come to us for a vacation. More than ever, there is a struggle for every guest's arrival, and it needs to be made aware at all levels and in time to make decisions in order to prepare ourselves quality. Also, there are too many expectations that EU financial assistance will solve all our problems. He won't. If we ourselves do not promote economic growth through our decisions and measures, then we will not be helped by European money. Public debt is already too large and continues to grow rapidly and unless something drastic changes, Croatia will face a debt crisis of historical proportions in the coming period. I'm saying all of this not because I want to spread pessimism, but on the contrary, to wake up in time and realize that this economic crisis will not solve itself when warmer and nicer days come. And that money from the EU will also not change that. It's up to us to seriously roll our sleeves so we can finally move forward. That is why we need a good atmosphere and enthusiasm but not that this is based on false promises from ruling citizens who create unrealistic expectations that all problems will be solved on their own. Such an irresponsible approach will ultimately lead to the great disappointment of citizens in politics and further collapse of confidence in institutions. The problems of the Croatian economy can only be solved on the basis of a clear and enforceable plan and the implementation of the necessary changes primarily with their own resources and their own abilities and only afterwards, through European means. It is therefore high time that all together, or government, start making decisions that are for the benefit of our citizens.
ParlaMint-HR_2021-03-10-0.u27829	Thank you. Good morning, dear colleagues and colleagues. The beginning of our plenary session as every Wednesday, we begin with the presentation of the position of representatives' clubs and independent representatives and MPs. The first is today the club of representatives of HSLS and Reformists and respected counterpart Darko Klasic, please.
ParlaMint-HR_2021-03-10-0.u27830	Thank you very much, good morning, everyone. Dear President of the Parliament, distinguished colleagues and colleagues. I would refer to the legislative change for flying drones in the EU area that came into force 1. 1. In 2021, it is related to the use and flying of open-air drones applied to almost all drones currently being placed on the market, or which operators and pilots are flying in the EU area. Of course, Croatia is part of this story, especially because of our circumstances in tourist activity. The rules were supposed to be equal for everyone at EU level, which was a fundamental assumption by the European Aviation Safety Agency, which is unfortunately not the case with us. We have further complicated the procedure because our laws often overlap, let's start from the beginning. In the Republic of Croatia there are 3 institutions that are related to drone flying, Croatian Civil Aviation Agency, Croatian Aviation Control and the State Geodetic Administration. In Croatia you must minimum pass the pilot's examination of the A1 and A3 qualifications so that you can fly legally with it and in addition, the drone must have a valid insurance policy. Although according to some other European regulations, this shelf is required for 20 kg drones, it is slightly different for us, even small 250 g drones that often belong to the category of toys must be provided with insurance policies. The cost of insurance for small drones is almost in the class of motorcycle insurance or a working machine. If you want to fly a drone, you're required to report flight control. Through the application of the AMC portal you simply register and if you have a passed exam for the drone pilot, you can get permission very quickly to fly up to 120 meters. Allowed flying close to people is minimal, at a horizontal distance of 50 m and it is very good as regards safety regulated and it is for every praise, and a flying permit itself if you meet these conditions and it is not a problem and protection of airspace security and citizens are well regulated by protective mechanisms. Where the problem arises in Croatia is the absurdd of our legal rules lies in the third part of the regulation that is characteristic of us and that is the permission to record from the geodetic administration i.e. implementation of the air recording regulation. This part of the law is obviously the rest of some of the past times where everything has been controlled and strictly limited or the relic has remained all the way from Yugoslavia. I don't think it's appropriate to have that kind of law nowadays. In the law itself, there is discrimination that allows air images only to be obtained by legal persons and forbids natural persons for an unknown or illogical reason. ... According to the Law on Defence in the Air Recording Regulation, they cannot be authorised, and recorded without authorisation unless they work for a media house or have a registered air recording company, then you may request a licence, otherwise not. [[The speaker doesn't understand.]] At a time when our economy and prosperity depend on our tourism industry, we prevent a free and highly effective commercial of our natural beauty and country due to these absurd laws. We know that one image speaks often more than 1,000 words, let us look at just as an example of the video of I. Kostelic on Youtube and the commercial made by his video of the Drone of the island of Mljet. And now for example, if a tourist, for example. comes on a trip to Zagreb, Split or national park of any of our own, from Plitvice Lakes to Krka, and wants to record those memories from the air, while adheres to legal frameworks and flight permits, he must not do so as a natural person, but only with prior approval from the State Geodetic Administration as a legal person, i.e. that he has a registered company that publishes these recordings and gets from them the permission of those same videos. The absurdity of this regulation cannot be greater if we know that Google and others today regularly record the entire planet to detail as well as many passengers from the aircraft filming Croatia, and they would have to ask for approval and pay for the recording from the State Geodetic Administration. If you are, for example. tourist from Slovenia and where, for example, For drone magic mini, weight is 240 years, which is a little harder than some toy, you don't have to take the exam and you don't need to secure your drone. If you will come to Croatia and fly a drone as a home, you are actually flying and filming with us illegally, regardless of the rules of the European Aviation Safety Agency... easier flying within the EU border. [[The speaker doesn't understand.]] In short, the message of these regulations is that one who is not professionally involved in air recording in Croatia does not need to obtain a drone, although the European Commission also predicts that by 2035 the European drone sector will directly employ more than 100,000 people and have an economic impact of more than 10 billion euros per year. Thank you.
ParlaMint-HR_2021-03-10-0.u27831	Thank you very much. So we're going to the agenda. First point: - Proposal for a law amending and supplementing the Biofuels Act for transport, first reading, P.Z.E. No. 118 The Proposer is the Government under Article. 85. The Constitution of the Republic of Croatia and of the The Rules of Procedure of HS. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to first reading of the law shall apply. The debate was conducted by the Committee on Law, the Committee on Economy and the Committee on Environment and Nature Protection. I would like to ask the motionary's representative to give an additional explanation of the above-mentioned bill, the respected State Secretary Ivo Milatic is here. Here you go.
