ParlaMint-HR_2021-03-03-0.u27275	Let's move on, now it's SDP's Club of Representatives, dear colleague Mirela Ahmetovic, come in.
ParlaMint-HR_2021-03-03-0.u27625	Dear president of HS, distinguished colleagues and colleagues. The tax application deadline expired on Monday. A large number of taxpayers did not have to submit a tax application on their own, but the IRS did so for them. This year's tax return will have a particular impact on young people in Croatia because the state has introduced a measure concerning the tax status of young workers. The aim of the tax change was to keep young people in Croatia and to commit in Croatia, and this should ultimately result in higher personal incomes. The government of the Republic of Croatia has provided new measures for young people whose effects will be seen in their accounts already in the summer, and so today I look back on the measure for young people because all young people under the age of 25 are exempt from paying taxes on income and cut, and those who are in the age group of 26 to 30 pay only 50% of the tax. The total return on more tax and income cuts will amount to around 2 billion kuna, with this measure concerning the tax discharge of young people, 300,000 young people will receive 700 million kuna tax returns. For young people, this will mean a number of savings, which can then be rerouted to other needs. And I will remind you that our government has taken another step forward for young people and for housing. As regards housing, subsidisation of housing loans for young people was continued until 31 December 2023. for each calendar year or budget year. This measure covers persons up to 45 years of age, the amount of the subsidy depends on the development index of the place where the property is bought or built and ranges from 30 to 51%, and is granted in the first five years of payment of the housing loan. This measure is also a demographic measure as two years are extended for each live birth or adopted child during the subsidy period. The government has taken concrete steps with these measures for the benefit of young people, and I believe that with these measures we will find some other models for young people, especially from the area from which I come from Sisak-Moslavina County where young people live in the conditions of the disaster that hit us at the end of last year. We must do everything possible to keep young people in our area, first of all restore schools, develop high school, higher education programs that will ensure that young people are competitive on the labour market. We are also proud of the project developed at the New Regional Centre for the Development of Video Games in the fastest growing industry in the world. The next step is Campus for the gaming industry which will include, among other things, colleges, accommodations for students and students, accelerator gaming industry and entrepreneurial incubator for e-sports. In my Sisak soon begins the arrangement of the former Domobrana military station, which will give part of the city not only a new appearance but also bring young people through the Regional Centre of Competence to learn, develop new skills and encourage them to innovation. This will make Sisak the centre of Sisak-Moslavina County a centre of education and innovation. All these major projects would not be possible without state support and funds from eu funds. It is precisely an emphasis on education, youth employment, their competitiveness in the labour market, the establishment of a family in our homeland, the subsidisation of the purchase of a house or apartment, and the tax relief part of the concrete measures that the Government of the Republic of Croatia implements, and which then cities, municipalities and counties can further extend, for example, through benefits for newborn children, the release of kindergarten payments, school meals, etc. We need to inform as many young people as possible about their rights and the measures the state brings for them so that they can use them and improve their quality of life. Thank you very much.
ParlaMint-HR_2021-03-03-0.u27693	Honorable parliamentary deputies and parliamentary representatives, good afternoon. Before the start of today's meeting of the Croatian Parliament, I invite you to remember the late mayor of Zagreb, Milan Bandić. After Mr. Bandic remains a rich political career, we will remember him by the great and working energy, the political passion and love he had for the city of Zagreb, which is why citizens and citizens of Zagreb chose him six times as mayor. Also, 5 times has been chosen as a representative in HS in 2000, 2003, 2008, 2015 and 2016. I extend my sincere condolences to his family, friends and associates once again, and now I ask you to stand up for a minute of silence. - A minute of silence – Make it an easy Croatian country. Now we're going to take the stand of representatives' clubs and independent representatives. The first is the Club of Representatives of the Most and Honored counterpart Ante Kujundzic, please.
ParlaMint-HR_2021-03-03-0.u27694	Thank you, dear Mr. Jandrokovic, Mr. Bukarica, dear colleagues and fellow MPs. Generally speaking, populistism is often defined as one form of politics that shows closeness to the people and instrumentsises a form of dissatisfaction with that same people. However, the sociological concept of populism in its habitat means the thin ideology of its species, which has a view of a society in which there are two antagonistic groups. On the one hand, dissatisfaction or people, as such, and on the other hand a corrupt elite. In this view, the people are groups of small, honest, honest, and even naive people who have lost the ability to participate in political decision-making processes and who are no longer sovereign and depend entirely on the decisions of these political elites, and the political elites in this view are a compact and networked group of individuals represented by prominent individuals, morally depraved, corrupt and guided only by their own interest in the damage of an honest and naive people. As in our Croatia, everything is different, starting with the blue sky, which is yellow, through the glasses that the rulings observe life, the everyday life of the citizens of our country, and then the meaning and ownership of public money, the distribution of the same and not counting further, so is the definition of populism. For the ruling, populism is all that comes out of the mouth of the opposition, regardless of the volume of truth spoken or the suspicion of which the opposition as such points out. And not only that, they took the ruling right to define themselves and who this patriot is, who loves our Croatia, who can work where they can work, who can have what, where and what they will invest, who can say and write and not list a sequel to the series. But how does it all work? Well, it's very simple, the principle of the Indian tribe's functioning. By ruling to protect each other, solid coalitions, from local to state level, where all the prostitution of politics, honesty, attitudes, ideology, programs, and everything. Under cover of how they want the common good, everything at the cost of taking the prey they later share with each other. The culmination occurs at the moment of the replacement of that sheep's humble suit worn before the election into a predatory wolf, a boastful suit after the election and all under cover of something new, something different, fairer, more God-fearing, more patriotic, etc. And then again after the old man, take care of yourself first, and then, of course, take care of your own, and it's your turn even to the younger ones who come. And the people, and the state, and the cry for the graves of those who created this land? It's for the ruling populism. The pulsism and the extinguished candle of hope in a better life. Popularism is the number of all those who have long ago lifted the anchor and gone elsewhere. The population is totally devastated by Dalmatia. The population is completely displaced and devastated by the Imotian landscape. The population is 65,000 people who have been robbed and have remained on the street for bankruptcy. Popularism is everything but a humble bowing and beating of water at all levels of government that do what they want and how they will, and if you rebel, the rule of law reacts because there is only one end in Croatia. You have to keep quiet, survive and be a sort of mutative sheep, and maybe something from you when you're in line, because, they privatized regional-local leaders and public money, they consider it to be their hard-earned sheep, so they give it what they want, the criteria they've defined without any criteria, and again, of course, by May, follows the period of piety, humility and smile and promises of the political Indians in white shirts, ties, suits, and after that, how we've already accepted all of this, and we're watching the kickings. Keep us from ourselves, God. [[Thank you.]] Thank you. [[Intruder: Thank you very much.]]
ParlaMint-HR_2021-03-03-0.u27739	4th debate, respected colleague Dragana Jeckov, on behalf of the SDSS Representatives Club, please.
ParlaMint-HR_2021-03-03-0.u27740	Thank you, Mr. President. My colleagues and colleagues. 1.1.2020 entered into force of the Law on Amendments and Supplements to the Law on Croatian Citizenship. This law contains two very important solutions to which the Club of Representatives of the SDSS has given special attention. One of these solutions is the correction of 30 years of long injustice, made by a pure administrative error in the former state. Namely, they did not have the number of children.../incomprehensible/... Croatian citizens who did not exercise the right to Croatian citizenship because the error of the matrimonarian was written in another republican citizenship, not Croatian. They are not considered Croatian citizens. These amendments, which entered into force in 1.1.2020, corrected that error. Another important thing is the solution that concerns citizens living abroad, who, due to their own failure, have not been included in the citizens' home book and these changes and additions, have been enabled. These children are now of age and have a period of 2 years to ask themselves to be enrolled in citizenship, in the home book of citizens of the Republic of Croatia. As I said, these two very important provisions are really important and important, and for this a period of 2 years has been ensured, however, under normal circumstances, and two years are indeed enough and enough for all interested parties to act in accordance with the applicable provisions of the law. However, the coronavirus, a Zagreb earthquake, a banish earthquake, have further complicated and requested adjustments to the regime of the work of state and public bodies, as well as diplomatic consular offices of the Republic of Croatia abroad. Well, it looked like this in practice. According to the Law on Citizenship, the parties to the State's residence were referred to the appointment of an appointment, the date of arrival to an embassy or consulate, and given the number of interested citizens, this appointment took several months. In some offices, the first term was exclusively advisory and then the next one was waiting for several months. On this occasion, the parties would receive several recommendations and would be given the opportunity to make payments to the necessary fees and to schedule that second and new term. This, of course, unless they are deterred from applying because they are suggested to have no basis for exercising the right to Croatian citizenship without further elaborated. There is another problem, and that is the restrictive implementation of that same law. The Implementing Body is the Ministry of the Interior and has published on its web pages instructions on the procedure in which the procedure is explained in detail on request for acquisition, request for termination or establishment of Croatian citizenship. In doing so, the provision of the law of the Member States is clearly cited. Article 5(2), however, even though this provision is clearly cited and it is unequivocal, the MUP added in the abovementioned instructions on the procedure another part which does not stand in the law or even in the sublaws that follow this law, which is that the cited legal provision applies only to persons born after 8. Ten. 1991. With such restrictive interpretation, a good part of the person has fallen out of the circle of authorising officers who can consume the rights provided for by this law. Therefore, for the sake of correct interpretation of the uniform application of the law, I hereby announce that we will use, that the Club of Representatives of the SDSS will use the legal institute of credible interpretation of the law in situations of the wrong and different interpretation of this law. At the same time, I urge that, for the above reasons that I have said something about the crown of the virus and of the banish and Zagreb earthquake, the deadline for obtaining Croatian citizenship should be extended. Thank you.
ParlaMint-HR_2021-03-03-0.u27780	And last registered on behalf of the Club of Representatives of HSS and HSU, the esteemed colleague Silvano Hrelja, just a little please wipe out the pay phone. Here you go.
ParlaMint-HR_2021-03-03-0.u27781	Dear Mr. President, esteemed colleagues and colleagues. I don't have any prepared paper, I'm going to speak from the head and heart because I find it very irresponsible in some way to blame the citizens or blackmail the citizens with a possible shortage of drugs, to even place that information towards them. Why is that rude, irresponsible? Because the citizens have fulfilled all their obligations. Whether workers are paying contributions, whether they are pensioners and pay 3% of the additional health contribution, whether they are not insured and paying for participations, whether they are provided supplementary health insurance and pay for the monthly health insurance policy. So, citizens in this big drug dispute have absolutely no responsibility, so they have fulfilled all the obligations, if they hadn't already had to do, therefore, they have to get the drugs. Where's the mistake? There's a mistake on the system. The health care system, the health funding system. If one system generates debt to large-scale drugs for 20 years, what should it do? So we need to change the way we work. You need to change the way you work. Of course, I understand also the directors who get some money from HZZO and the first thing they do, pay the workers, their employees, doctors, healthcare staff, other employees. And at the end of the ballad, the drugs remain and debt remains to the big drugstores because they can wait, because they've been taught to wait for years, they orderly charge the cost of funding and then when they cross a certain line, then there's this blackmail that goes very unethically over the back of citizens instead of name and last name saying where is the responsibility for this condition. Of course, in this whole health care system, not even the pineapples that get hospitals by the number of beds, services, and everything that's planned is enough. And there's an objective problem. There is a problem with the overall financing of the health system. How do you get out of this vicious circle? Very simply, medicines must be paid at a lower price than is now in a way that HZZO pays directly for the use of medicines. In a centralised state such as Croatia, that would be no problem. And what should we do before that? It is necessary to sit down with large-scale drugs, reprogramme that debt which is already too large and overcharged by the cost of funding because no normal can endure late payment for a year, should be refinanced for 5 years of those 6 billion and start paying regularly every month for the use of medicines. Then never again will the citizens of this Republic be set up as hostages and that someone will call for an artificial shortage of drugs due to non-payment. Citizens absolutely have no need for any fear that there will be no medication in the pharmacy. That's where the citizens pay neatly, get paid, and they'll be there. The only fear they can have is that because of a system failure they don't get the right medication at the hospital. Where it has to be. And that's the essence of the whole problem, these are just bickerings, who, in order for a chicken or egg to need a cut, needs a debt reprogramme and should introduce a direct regular payment of the consumption of drugs without creating these financial tails. Until this is resolved, happiness is gone, this will be repeated every six months, every year, every government, hence, no one will avoid this. I only ask citizens to be calm, they have to get their own medications, the mistake is on the system, they're completely correct. Thank you very much.
ParlaMint-HR_2021-03-03-0.u27782	I thank everyone who participated in the debate. We now move to the agenda, as we have announced, first item: - Final proposal of the Law on Amendments and Completion of the Law on compulsory health insurance and health protection of foreigners in the Republic of Croatia, emergency procedure, first and second reading, P.Z. No. 116 The applicant is the Government of the Republic of Croatia pursuant to Article 85. The Constitution of the Republic of Croatia and Articles 172 and 204. Rules of Procedure of the Croatian Parliament. On the occasion of the agenda, we accepted the proposal from the Proposer to discuss this legislative proposal in an urgent manner. In accordance with Article 204. The Rules of Procedure shall unite the first and second readings and the amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Law and the Committee on Health and Social Policy. Now, I would like to ask the proposer's representative to further explain the bill's proposal. With us is the Honorable State Secretary at the Ministry of Health, Željko Plazonić. Here you go, Secretary of State.
ParlaMint-HR_2021-03-03-0.u36884	Dear President of the Croatian Parliament, distinguished MPs and MPs. Therefore, in view of the need to bring national legislation into line with the Law on Foreigners in the field of health insurance and health protection of foreigners, this legislative proposal regulates the way in which the right to the health care of third-country nationals, so-called ‘Treasury’, is exercised. digital nomads. The adoption of this law will allow for the achievement of and the right to health care with digital nomads, etc. the digital nomads, i.e. third-country nationals who are employed or who carry out their tasks through communication technology for a company or own company which is not registered in the Republic of Croatia and which does not perform business or provide services to employers in the area of the Republic of Croatia, which has been granted a temporary stay in the Republic of Croatia. The application for compulsory health insurance is not required to submit a third-country national to a temporary stay in the Republic of Croatia for the purpose of staying, etc. the digital nomad, and it is required to bear the costs of using health care in a health institution or in a healthcare professional of private practice or other healthcare provider in the Republic of Croatia. The following is what we propose to adopt this legislative proposal. Thank you very much.
ParlaMint-HR_2021-03-03-0.u36885	Thank you, too. Please stay here because there are several replicas, the first is the respected colleague Maric, please.
ParlaMint-HR_2021-03-03-0.u36886	Thank you very much. Dear Secretary of State, this Health Insurance Act and the Health Protection of Foreigners defines who is obliged to submit mandatory health insurance and who pays for himself. Now, so some will go to private health institutions, some will go to state health institutions. One of the articles and this legislative proposal, i.e. those referred to in 2018 and 2013, says that the time limit for providing health care for those who have compulsory health insurance must be aligned with the waiting list with other users of compulsory health insurance. Did you give instructions to health institutions how to behave, means when a stranger who has compulsory health insurance comes to you and sees the waiting list, how they will react, will give him an appointment before or especially the one who pays alone or will have to manage it and go to a private health care facility where safe and higher prices are, you know what the miserable prices HZZO pays to hospitals? Thank you.
ParlaMint-HR_2021-03-03-0.u36887	Here's your answer. Here's your answer.
ParlaMint-HR_2021-03-03-0.u36888	I thought I'd talk to you now. I hope so. The law clearly cannot go into such details because it would then be a great detailing and determining something that, for example, would not be right on our side of the ministry. Each of these health care users can choose where they will achieve their health care, it is his right and does not have to pay the obligation to contribute to health care as is mandatory for all Croatian citizens. Thus, depending on the nature of the disease in the first place, he will contact someone who can and is confident that his service will satisfy his health needs. Therefore, such things are difficult to prejudge with legislation. The important thing is that he doesn't have to pay mandatory as so far there have been 400 kunas for the use of our health system services.
ParlaMint-HR_2021-03-03-0.u36889	Thank you. The second is honorary colleague Ban Vlahek, come in.
ParlaMint-HR_2021-03-03-0.u36890	Dear Secretary of State, I am interested in whether foreigners have the right to cash benefits which include salary compensation during the temporary inability to work caused by a recognised labour injury, transportation costs related to the use of health care from compulsory health insurance resulting from a recognised labour injury or funeral costs when death is a direct injury recognised at work? Thank you very much.
ParlaMint-HR_2021-03-03-0.u36891	Here's your answer.
ParlaMint-HR_2021-03-03-0.u36892	The answer is very short. They don't. This is the right of our health insurance companies to do what you have all stated, but usually they are called digital nomads means that they deal only with most of the communication technologies, so by example they work in some Western or overseas countries by their electronic means of work, they live in Croatia because it is much cheaper than living in New York, for example, and they exercise health rights as foreigners without paying contributions to compulsory health insurance. Therefore, they only use the cheaper status of life in Croatia than they would be if they were working in the United States or anywhere else in the West.
ParlaMint-HR_2021-03-03-0.u36893	Now it's time for your colleague to find it. Here you go.
ParlaMint-HR_2021-03-03-0.u36894	Thank you, Chairman. Dear Secretary of State, we are talking about health care that requires the supply of medicines, and regardless of what it is about foreigners, the same thing as it is necessary when it comes to the citizens of the Republic of Croatia, and we know that the supply of medicines is at least questionable. So why is it that this government's priority is to take care of, for example, state-run losers such as "Croatia airlines" and similar or refurbishing apartments in Mažuranc, and not the priority of supplying medicines? And second question, what happens if someone, whether a stranger or a citizen of the Republic of Croatia doesn't pay for additional health insurance for a year, does he still have that health insurance? Thank you.
ParlaMint-HR_2021-03-03-0.u36895	So on this first question I must say that this probably government is clearly concerned that there is no shortage of medicines in the Croatian health market as a whole. That this is how we can only testify by one fact that the Republic of Croatia is one of all EU countries with the highest number of authorised, especially expensive medicines for the treatment of malignant diseases in Europe. Our range that we have and which HZZO has approved has no country that is significantly richer than Croatia in Europe. Therefore, one is the market for medicines, and the other is the health system as a whole. Therefore, it will certainly not happen that our citizens will not be able to get the medicines they need.
ParlaMint-HR_2021-03-03-0.u36896	Now it's my friend Selak Rasdic's turn, here you go.
