ParlaMint-HR_2021-02-18-0.u27257	You, too. Mrs. Andreja Maric will be the position of the SDP Representatives' Club. Here you go.
ParlaMint-HR_2021-02-18-0.u27683	Today I will talk about the Slovenian and Croatian covid of science, the attack on the constitution, medical waste and other illogicalities of the headquarters of civil protection. First and basic question to which we should get an answer in light of the dictating measures or the introduction of new ones do we or do we not have a county approach? Why can counties as we can hear introduce stricter and not be able to introduce milder measures and by what decision? I'll remind you that by art. The 16th Constitution of any restriction of freedom or right must be proportionate to the nature of the need for a restriction in each individual case. Therefore, it is worse if the counties are to introduce stricter measures in terms of respecting the constitution than that they can mitigate it because who, then, will justify this proportionality of restrictions on the rights and freedom of individuals. The second question, what about crossing the border of Croatia's or Slovenia's crown of science? In Slovenia, if you have been over the crown for 6 months or have proof that you have been vaccinated twice, you can normally cross the border. But Croatian covid science offers a different approach, if you are over the crown within the 3rd month you can enter Croatia, and why is it in Slovenia for 6 months? And secondly, Croatian border crossings do not yet know those who have been vaccinated, so some of my friends who have crossed the border of Croatia and tried to go back and have been vaccinated, have had to test themselves and go into self-insulation so that they can stay in Croatia because we have not yet introduced the category of vaccines into our measures in terms of crossing the border. So is it because we cough as usual or because of what is more and more talked about, and that's the business of tests that are making these even more profitable? Another question that should also be asked is how many vaccines do we have in the first place? The report on the effects of the measures speaks of 6,800,000 doses approximately, and the vaccination plan speaks of 5,900,000 doses. Furthermore, should we obtain a Russian vaccine, or should we review the quantities of the previously ordered vaccine because we are talking about a million doses of additional amounts of the vaccine? Since we won't need the same amount then, the question of all the questions is what kind of contracts have we signed with vaccine producers at EU level and why do we have no idea about them? Will we review them if we are now forced to obtain doses of vaccines on the side, whether Russian or Chinese? And I will mention a detail, recently I saw "Dnevnik", in the Republic of Serbia where Serbian President Aleksandar Vukic said they signed a contract with Pfizer that allowed them to transport on their own, but they had to commit not to resell the vaccine. And it's been explained to us that the fact that we had nothing to do with the fact that we had to get double the amount of vaccine more than we needed so-called. A racket to make us an attractive market by being able to resell or donate later. Aleksandar Vukic was not ashamed to tell the Serbian public what contracts he signed with the vaccine manufacturers on the "Dnevnik" and also discovered that these contracts prohibit the reselling of other countries, and we said we would resell. Whether Pfizer offered us different contracts or we have no idea what our contracts say, and in fact we will end up with a huge surplus of medical waste that we won't even be able to donate because the countries around us have been better off in this whole chaos than the countries that we belong to. So, what is the truth of the contract we signed with the vaccine producers? Do we even know if we are fighting for the interests of the Republic of Croatia and when we will have one universal science as otherwise listens to science that knows no borders, so that even Croats who have been over the crown in six months can normally cross the border, but that our system is finally beginning to recognize those who are vaccinated as those who do not have to pay expensive tests and pass self-insulation. This is just another one in a series of speeches that will unfortunately follow on all the illogicalities of the civil protection headquarters.
ParlaMint-HR_2021-02-18-0.u27772	Thank you. As we said before after this presentation, we're going to move on to, it doesn't say anywhere, we're going to move on to carrying out, so we said, there are positions in the club of representatives and independent representatives and then we're going to continue with the replicas. The first is in front of HSS and HSU Mr. Silvano Hrelja, please. There's no in, there's no in the Rules of Procedure, and I've announced it before, there's multiple replicas. Here you go.
ParlaMint-HR_2021-02-18-0.u27773	Your Honor, Mr. Vice President. Dear colleagues and colleagues. Yesterday, the payment of national compensation for the elderly was started, which was initially called a national pension. The right to 800 kuna monthly income has been granted by citizens of the Republic of Croatia over 65 years of age who have failed to meet the conditions for retirement. I am pleased that more than 3,000 people have achieved such income that they will not have to constantly prove that the poor, besides being a representative of the pensioners in HS, I voted for the law solely for these reasons. That fee, let's face it, isn't enough to tell someone without income that we pulled him out of poverty. Recognising government announcements and associations of 100,000 potential users in this major project are realised with only 3%. The good news is that the elderly are less income-free than they thought, the bad news is that the laws that even in the media are called by those who don't know how people live in Croatia. I must say, I have not yet experienced that one law has missed so much in judgment and that makes me think. Do the promoters know how many people live in poverty, how they survive? If they know what it means to live with 1,600 kuna, which is presented as the upper limit of income for an older couple, it would be a better story if the upper limit of poverty was set... 2,710 kuna. On the other hand, I'm thinking if that right comes true, you're old, and you haven't collected 15 years of internships, why condition the incomes of the household? This kind of arranged national compensation for the elderly is holy water, it won't help much, but it won't help. But there is no way to build on that platform the protection of the elderly, mostly women from poverty. That is why it is important in another way to arrange family pensions as I have suggested in this House of Highs in my proposed laws. We have the privilege of learning from others and it would be good when we compare processes, not amounts. Slovenia is still 2012 She left the concept of national retirement, but in another way and very, very effective care and protects her poor citizens and has family pensions. Finally, this is still social aid for those who haven't worked or worked for less than 15 years, now it's settled here, payment goes. As this state fulfils its constitutional obligations, in some ways closed this chapter, but we haven't solved anything. The time spent on announcements and self - appreciation could be much more beneficial. An answer to the question could be asked, and why are those who worked social cases? At the end of the speech, only a few figures remain for the national compensation of 800 kuna. 26,500 people receive a pension of up to 1,000 kuna are 9,000 family pensioners, 93,000 receive a pension of up to 1,500 kuna and 31,000 and a third of all family pensioners. What about them? What do you do? It's a challenge we need to know the answer to as an orderly society. These are numbers, and behind each number is a person with his name and name, with his suffering, suffering, sickness, lack of property. Stand men, make the gentlemen of the government aware that they stand men and deserve to know how they live. It's our duty to help all of us. Croatia has no future when 2% of citizens have less than 1,500 kuna per month, and they scream news of enormous wages, bonuses, corruption and job setting. Unfortunately, we're filling pockets already, and then there's no empty pockets. Thank you very much.
ParlaMint-HR_2021-02-18-0.u27800	It is now up to Mr Marin Lerotić, who will be the position of the IDS Representatives Club.
ParlaMint-HR_2021-02-18-0.u27801	Thank you, dear Vice President. A few days ago, he published new data on GDP developments in Croatian counties for 2018, which clearly shows and results that the Istrian County has the largest, highest GDP per capita in Croatia after the City of Zagreb. This is another one in not clear and unequivocal indicators that Istria represents an economic development locomotive in Croatia but also the result of quality and continuous management in Istria County. Such figures are not a fruit of some coincidence but a result of the valuable work of our citizens, entrepreneurs, tourist workers, farmers, IT workers and all those who contribute daily to the development of the economy in Istria. The Istrian County and our cities and municipalities have long recognized the potentials that Istria has and many programs help our entrepreneurs and business owners. When I mention the IT sector and just last week data were published on the total income of the Croatian IT industry by county for 2019, according to which the Istrian County is at the very top of its income in the IT sector right after the City of Zagreb. This creates excellent preconditions for the accelerated digitisation of the economy and public administration in Istria in order to further step up and achieve even better results. Some companies like Infobip from Vodnjan are proof that we have the potential for the world's very peak in the digital age ahead of us. It is obvious, therefore, that Istria has a lot to say in a number of economic sectors and activities and that we do not want to just limit ourselves to a tourism sector that has been perfectly complex in Istria for a number of years and as such recognised worldwide by the highest standards of excellence. However, I must say that Istria could develop even more strongly, and thus pull the rest of Croatia behind it if the regional development system of Croatia was more just and not based on a discriminatory development index that punishes those who are most successful. As it is now regulated by the Regional Development Act and the Development Index Regulation, this system is not encouraged and acts in fact by limiting, limiting to the future development of Istria. It is clear to us that solidarity should also be shown to those parts of the country that, for some historical, geographical or other reasons, are not at the economic level that we are all seeking. Istria has shown solidarity in countless times over the last 30 years, and we will certainly continue to do so. But the need for solidarity against one must not be turned into discrimination against another. The solution that we all know is being imposed, but also for political reasons, it does not want to be implemented. This is about decentralisation of powers and responsibilities at regional and local level, certainly with appropriate fiscal decentralisation. Because all countries, developed countries in Europe are decentralised, and Croatia's national policy unfortunately insists on pushing the opposite direction and maintaining a failed centralist governance model, which is one of the most important reasons why Croatia is at the bottom of almost all the scales. This crisis is an opportunity for a strong turn in this matter. It should finally be recognised that the state-wide model is not good, and Istria can be an example of establishing a new governance model where excellent results are achieved in the synergy of the public and private sector through a regulated system. As a state, we must use the huge potentials we have and reduce bureaucratic obstacles to finally move forward. Istria as Croatia's most developed region definitely wants and wants to contribute to the process.
ParlaMint-HR_2021-02-18-0.u30952	We move to the last item of the agenda today, which is: Selection, appointments and resolutions. I ask the chairman of the Committee on Elections, Appoints and Administrative Affairs, Nada Murganic, to explain the proposals for a decision. There you are, Your Honor.
ParlaMint-HR_2021-02-18-0.u30953	I thank the esteemed vice president. Here's the first lead, right? The second is, here's the first time I've seen you, so congratulations. [[Intruder Voter: No, it's different.]] Thank you. We have several proposals for decisions with the Committee on Selection, Appointing and Administrative Affairs. Proposal for a decision on the resolution of a member and the selection of a member of the Committee on the Economy of the HS, a member of the Committee, Branko Juričev Martinchev, is hereby authorised, and Tomislav Okroša is elected as a member of the Committee. The motion for a decision on the appointment and termination of the heads' mandate and the dismissal of members and the appointment of a member of the HS delegation to the NATO Parliamentary Assembly is appointed Ante Bacic, and is being resolved as a member of the HS delegation to the NATO Parliamentary Assembly of the same Ante Bacic, as a member of the HS delegation to the NATO Parliamentary Assembly, is appointed as the magistrate Zdravka Busic. The proposal for a decision on the resolution of a member and the selection of a member of the HS Legislative Committee is resolved by an Anita Pocrnic Radosevic, and Tomislav Okrosa is elected as a member of the Committee. Proposal for a decision on the resolution and election of the Vice-President of the Committee on Family, Youth and Sports of the HS, the Vice-President of the Committee Ante Bačić is hereby resolved and Veljko Katazi is elected vice-president. These decisions will be published in the National Journal and will take effect on the day of their adoption.
ParlaMint-HR_2021-02-18-0.u30954	I thank you to the board president, Your Honor. I'm opening a debate. There are no reports. I'm closing the debate. We'll vote on this point when the conditions are met. I am merely announcing that tomorrow's session will begin at 9.30 p.m. with a report on a regulation adopted by the Government of the Republic of Croatia on the basis of legal authority. I wish you all a pleasant rest of the evening. Goodbye. The session was interrupted at 6:38 p.m.
ParlaMint-HR_2021-02-18-0.u34472	Dear MPs and respected MPs, I wish you a good morning, we continue our work. First point: Proposal for a law amending and supplementing the Law implementing Regulation (EU) 2016/1011 on indices used as benchmarks, first reading, P.Z.E. No. 91. The Proposer shall be the Government under Article. 85. The Constitution and the Art. 172. The Rules of Procedure of HS. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to first reading of the Law shall apply. The debate was conducted by the Committee on Law and the Committee on Finance and the State Budget. I now call upon the motionary's representative to give us an additional explanation, here is the respected Secretary of State at the Ministry of Finance, Stjepan Curaj, please.
ParlaMint-HR_2021-02-18-0.u34473	I would like to thank the Honorable President, the Honorable MPs and the MPs. Therefore, as has been introduced and mentioned before us, the draft Act amending and supplementing the EU Regulation of 2016 on indices used as benchmarks, something which came into force in 2018. I'm going to try to intro just give the frame as much plastic and as simple as possible. So, above all, this regulation that we transposed into our legislation in 2018 also aims to promote sustainable investment and those segments that play a significant role in the financial sector. Therefore, just to focus investment on these sustainable therefore green, in line with green policies and sustainable investment and thus achieve these objectives, which is the ultimate carbon neutral economy by 2050. So here we are talking about the application of green policies to, in the financial sector as regards certain operations in the financial markets themselves. So, the reference values mentioned here as the main two changes and additions are usually relevant in the financial markets to measure the performance of the securities or the investment fund, so first of all, we know the most famous ones when you go to the bank, so when they determine your interest rate, we now have one of the three things that we applied this regulation from 2016 or when we brought it to 2018 is, for example, the national reference rate, so the index in determining interest rates is particularly variable, which is actually telling us which is the zero cost of funding that banks in the interbank market achieve, then on that basis is calculated certain costs, margins and comes to a final interest rate. As you know, then you get one percent, most of all, 2-3% relative to the reference rate, so there are different indices. As for the different and stock exchanges, we also have the Zagreb Stock Exchange, so we also have Adria, so they use these certain benchmarks. Of course, this is all aimed at, in fact, preventing potential market manipulations of these benchmarks in terms of their inaccuracy and inaccuracy, which in fact violates market confidence in the cause of loss and consumers, investors and thus disrupts the economic system. So, in particular, what we need to understand here is that we are talking about the whole EU, a financial market in the EU that is far more advanced or more developed than just the capital market in Croatia, but such potential manipulations are harmful when it comes to cross-border transactions due to a direct impact on the functioning of the EU internal market. So, previously, we have had cases of manipulation at the very reference interest rates, so Euribor, Libor and the reference values in the energy and oil sector, they have just spurred the need for more transparent benchmarking procedures. So someone has to tell us what this base is. First of all, what we have here in front of us in these changes and additions is introduced precisely with this objective of the proper functioning of the internal market for consumer protection, of course two new categories of low-carbon reference values, so when we talk about these green policies that is the reference value for climate transition, which actually enables a sustainable transition to a low-carbon circular economy and a reference value that will bring investment portfolios into line with the Paris Agreement's objective, so in terms of limiting the temperature increase to 1.5 degrees Celsius... Speeds in the pre-industrial period, so what's more or less known to the public like this. [[/The speaker doesn't understand.]] So, by introducing these two new benchmarks, the EU should actually make the EU more attractive to investors in a way that sets a high standard of transparency and builds a long-term path for sustainable investment. These new categories are now trying to say the simplest things are actually voluntary labels intended for them are voluntary, the labels are specifically intended to direct the choice of investors who want to adopt a climate-based, climate-aware investment strategy, so it is specifically prescribed by the previous regulation, but also by these new regulations regarding the two values that are, which are supervisory mechanisms for which we have the HANFA, with the same administrators who can report that they get a certain reference value when investing in certain securities any transaction in the financial markets of capital or something like that where they say that if you invest in this, these financial instruments they have a reference value mark to you in accordance with the Paris Agreement or the climate transition itself, so that you know that you are encouraging and investing in something that is in accordance with the agenda that I mentioned and 2050 of the low economy itself. So that's what's most basic, so first of all voluntary, on the other hand means this particular proposal now, which is before you, the amendments and additions are explained in fact by the roles of the competent authorities given the new two benchmarks, so with this objective that I said, of course, and all that is in the area that these supervisory authorities have, as well as in that part, which are some of the violation provisions of other supervisory provisions that can be fulfilled. So what we would like only to finalize further notes, we apply the following benchmarks that were resolved on the previous regulation, that is to the Crobex family, so di is the administrator of the Zagreb Stock Exchange, also at the national reference rate where it was before and now it's from 31. 3. In 2020, the administrator of the CNB and ADRIAprime therefore again means Slovenska i Ljubljanska i Zagrebačka Stock Exchange where the administrator is also the Zagreb Stock Exchange. Here, it is, in short, something which is certainly a future in which, in accordance with policies and the EU, it is also intended to encourage investment in sustainable development, green policy, green economy, and in this way, the European Commission and the EU intend to give this very kind of ha, I can also say the seal that we will know when investment is there, that it is real, because the main reason that actually appeared when we established these harmonised benchmarks is the kind of prevention of actually manipulative green marketing, as Green Washington says, so where something was advertised somewhere and there were certain certificates that something was in line with the green policy and how it was seen, now this introduces order to really know who is administrator, who can be provided on the basis of scientific hard-core data, that something really follows the policy and thus direct investors to act or know exactly what they are investing. Here, please, if there are any questions, of course.
ParlaMint-HR_2021-02-18-0.u34474	Yes, thank you very much, Secretary of State. We have the replicas.
ParlaMint-HR_2021-02-18-0.u34475	Thank you very much. Reference values for green policies should mean that this regulation within the EU and we in Croatia will probably have the same benchmarks and indices. So here's my question: Will electromagnetic radiation be regulated? ionizing base cell radiation? In Croatia, 890 times more radiation is allowed than for example. in Paris or, for example, if the harmful projects we have in energy, how are they sanctioned, in what way? ... Someone who has CO2 and too much exhaust gas, which is going to happen, and of course, how can you get in the way of these green policies when we have a corrupt octopus of waste mafias such as CGOs that destroy and manage waste and, of course, environmentals? [[The speaker doesn't understand.]]
ParlaMint-HR_2021-02-18-0.u34476	Thank you very much. Here you go, answer me.
ParlaMint-HR_2021-02-18-0.u34477	I'd like to thank the esteemed representative of Bull. So, in addition to the opening act, this part is unfortunately not in the domain of either the Ministry of Finance or this amendment in question and the addition of the law, certainly we follow all of it in accordance with our powers to bring the data and procedures ourselves in line with the general green policy. As far as these examples of you are concerned, it is not the subject nor the work of this ministry nor these amendments nor the addition of the law.
ParlaMint-HR_2021-02-18-0.u34478	Injury of the Rules of Procedure, here you go, colleague Bulja.
