ParlaMint-NO_2017-10-25.ana.ud320e28	The representative, Nina Sandberg, will put forward a proposal for a representative.
ParlaMint-NO_2017-10-25.ana.ud320e116	Perhaps the greatest difference in our society is between those who are inside, and those who are outside the labour market. Since the Right Party and the Advance Party took over the government power, the number of young people who have failed has gone to the roof – an increase of almost 50 pst – without the government taking over the problem or presenting solutions. On the contrary, we see cut to the weakest groups. The number of people we can get into the world of work determines whether we will be able to keep the welfare state up to date. That young people lose faith in the future, get standing outside permanently, a crisis is not only for that debt, but it is devastating for the whole of society. The Labour Party will have an active labour market policy to get more young people into work and fewer in social security. We want a job guarantee for young disabled people. Under today's government, the unemployment rate has been high. Now the part that's at work is decreasing, and the part that's young on disability is dramatically increasing. Can the Minister of Finance refer to a new measure in this State budget that meets that challenge?
ParlaMint-NO_2017-10-25.ana.ud320e125	Once again, I agree that the great difference in our society is between those who are in the world of work and those who are outside. This is why the main features of the government budget for next year are about labour market. It's about securing the jobs we have, creating more jobs and qualifying more people to get into the world of work. It is extremely important, in particular at a time when the labour market is changing and increasingly demanding qualifications and competences. Then we have to make sure that as much as possible is qualified to participate in it. Then I disagree that the government has not taken many measures to take care of those outside – rather on the contrary. This budget offers a basic social profile, protecting those who do not have the back to bear the economic challenges, through good schemes. We ensure that as much as possible should be able to live on their own income by getting to work. It will be the most important job for this government in the future.
ParlaMint-NO_2017-10-25.ana.ud320e132	Sigbjørn Gülsvik – for follow-up questions. The President is asking for follow-up questions to be put forward and ready, so that we keep up the pace of the Questionnaire.
ParlaMint-NO_2017-10-25.ana.ud320e139	Tax policy is an important part of the distribution policy, and as surely as it approaches Christmas, there are proposals for increased fees from the State Council of Siv Jensen. While those with the highest incomes have received more than NOK 50000 in tax credits with this government, the majority have experienced tax increases – electricity and fuel increases and an air passenger charge. Nearly 4 billion. kr was the fee increases of the previous period. In this state budget, it's almost $0.5 billion. Add kr. What are Siv Jensen's plans for the next four-year period? How much will the fees continue to increase in order to finance the tax burden for those who have the most of it?
ParlaMint-NO_2017-10-25.ana.ud320e145	I believe that the representative of Gülsvik should bring with him what are the main features of the tax policy of this government. Taxes and charges go down in total – not up. The centre has itself promoted an alternative budget in which they propose to increase taxes by a significant number of billions of dollars. It is not the policy of this government. In the government budget for next year, too, we continue to reduce the tax burden. The taxes are going down by another 3 billion. kr. That means that under this government, the total tax burden has fallen by 26 billion. kr. The profile in this is good. Under this government, an average family has been relieved of NOK 10 000. You have to be a high gas man to think that it doesn't fit into a family economy. It is true that some climate and environmental taxes have gone up, but netly the taxpayers have come out of this, and there is a policy that this government intends to continue with.
ParlaMint-NO_2017-10-25.ana.ud320e152	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e157	Although the differences in Norway are smaller than in many other countries, Norway is the country in the whole OECD area where the differences are increasing most. The Minister of Finance has previously refused, on many occasions, the increase in differences in Norway, despite both the state budget, the fact that the SSB has documented this, and that many of her own political parties and colleagues in the government have admitted that the differences are actually increasing in this country. In the present state budget, the government continues this process, while the king of the throne raised the significance of a society of small differences. Can the Minister of Finance say a little about what the budget for next year will mean? Will the differences increase, or will the differences be reduced in Norway in the next year with the government's plans?
ParlaMint-NO_2017-10-25.ana.ud320e164	I think I can assure the representative of Knag Fylkesnes that the government fully agrees with what the king reads up in the Stortinge under the throne. That means that the government agrees that we should continue to have a society of small differences. This means that we need to qualify as much as possible for work and that we need to have good, safe, rusty welfare arrangements for those who cannot participate. One of the consequences of the tax reform was about dividend adjustments that have provided temporary results in the parameters measuring inequality. This does not mean that differences are increasing sharply in Norway. We have basic good tax-funded welfare arrangements. That's what we're going to have to keep going, because it creates security for our citizens even at a time when we're going to have to change into a completely different kind of business structure in the future.
ParlaMint-NO_2017-10-25.ana.ud320e171	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e176	Also for the Left, a society with small differences is important. But when we're going to prioritize what's most important, and fight for it, it's about the fight against child poverty -- about all the kids who experience growing up without the same opportunities as everyone else. That's why we've fought a lot to bet on school. We have also invested in free core time in kindergartens for low income families and lower price in kindergartens for those families with poor advice. In all these statistics, not only income matters, but lack of expenditure also means something to the development of those groups. So my question is, is the effect of bringing down the expenses of those families with poor advice also effective in the fight against child poverty, that you're not just focusing on the income part?
ParlaMint-NO_2017-10-25.ana.ud320e181	Many of the measures now highlighted by the representative Skei Grande have been the cooperation of the Government Parties, the Left and the Christian People's Party to put in place. We agree on this. It has been important to make provision for children growing up in poor families to have the opportunity to go to kindergarten. Therefore, free core time is important. Therefore, it means that those with the lowest income may not use more than 6 pst. of their income in order to have children in kindergarten. And that means that the school should be an arena for everyone – thick or thin wallet. This is why it means that we are committed to combating child poverty through a wide range of instruments, which make children — regardless of their parents’ finances — feel included and can participate in various social arenas in school contexts and in school leisure contexts. We've done a lot of this in common, because it means something to the self-esteem of these children. It's incredibly important, and it creates a foundation for these children to face a safer growth and future.
ParlaMint-NO_2017-10-25.ana.ud320e186	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e191	I want to keep track that there are too many children living in low-income families. Unfortunately, there has been an increase in recent years. In many ways, there are two tracks you have to work with. The important thing is to make sure that parents can have a job to do, that they can manage to feed themselves. That's the second most important thing. So we know that there's someone who can't work, who won't be able to get out of work, or that it'll take a while before they get out of work. Then it is also important to work with offers to the children who today grow up in a poor family. We've been busy making sure they have an activity offer. Nothing is more isolating than not being able to participate in sports or other activities that all your friends do, or not being able to participate in holiday offers. In the last few budgets, we have strengthened this effort very strongly. But we still know that this summer there were many who were in line and who did not come on vacation. We have a vision that all children deserve a holiday offer – preferably that their parents pay, but if not they should be able to get it for example. through a voluntary organisation. Does the Minister of Finance share that vision?
ParlaMint-NO_2017-10-25.ana.ud320e196	I very much agree that we should have good arrangements to ensure that children are given as much opportunities as possible when they grow up. The Christian People's Party has agreed with the government parties on this. I would also like to remind you in the debate on child poverty that the majority of children growing up in poor families today have a minority background. Therefore, it is extremely important that, in the coming period, we should facilitate better integration, so that more people with a minority background come into work, because both parents are at work. The best way to reduce child poverty is to ensure that parents have income that enables them to support their children. That is why, in the future, we need to work a lot more to facilitate the qualification of people with a minority background for working life. It is about Norwegian training, and it is about participation and inclusion in the labour market. Too many people have gone too long without being a part of the world of work.
ParlaMint-NO_2017-10-25.ana.ud320e201	Let's move on to the next main question.
ParlaMint-NO_2017-10-25.ana.ud320e207	It's amazing that in the state budget of Siv Jensen, in the state budget of the Progress Party, the ordinary people who can't live at home because of work, who get the big $750 million tax return. kr, while the 50 richest have got 1 billion. kr in tax cuts while the Progress Party has run. It's the many people who are going to get the tax snipes, the few who are going to get the tax snipes. There is something unsolvable and somewhat unhealthy about giving large tax cuts to those who may fall into luxury, while those who are going to live in vomit will get more taxes and get tax cuts. This is part of a pattern. In the last period, the Progress Party cut massively in the commuter deductions of those who are running far to work. A regular commuter who has to commute seven miles every day – there are many who have to – got less deductions, about NOK 8 000. Last year, Erna Solberg said that when it's a tougher labour market, it's important that people are willing to move on, are willing to travel far. Why, then, is it that when the Progress Party is going to present its budget, it is precisely those who are willing to travel, those who are willing to live far away from families in the days of the week, who are going to be penalised financially, that they are going to get more tax? Is it politics for most people, or isn't it?
ParlaMint-NO_2017-10-25.ana.ud320e216	The government’s budget continues to facilitate the reduction of tax pressure in Norway. The profile of the tax reliefs in this budget means that about half go to families with incomes of 600,000 or less, and 88 pst. the taxpayers receive unchanged or lower taxes under this scheme. Then it's absolutely right that the government has proposed to remove the deduction for diet and Losji, but it's a deduction that has expired. I fully agree that we depend on having people around is willing to commute. That is why we also need good arrangements for commuters in Norway. But this is a deduction you give to go home and make food. This means that many other taxpayers who also go home and make food, but who do not get this deduction, are involved in subsidising the group that gets it. Then I think it is much better to use that money to give tax relief to all the people of the country, to help more people come to work, that more people can live on their own income. I think it's a much better way to spend taxpayers' money.
ParlaMint-NO_2017-10-25.ana.ud320e223	It's a wonderful thing to listen to Minister of Finance Siv Jensen, because in the election campaign she promised, for example. a large tax cut for those who were to live in their own home, but when we read the State budget, it says that there is a new system for the introduction of property taxes. Minister of Finance, Siv Jensen, did not promise any tax incentives to those who have to live outside their own homes, but it is introduced. She says it has expired. Only in my own municipality, Stage, will there now be a new brackish rig, 200 workers will live on a brackish rig. There are many who have a practical job and have to travel a long time at work, have to stay outside the home, have two households and have extra costs with it. It is easy for Siv Jensen to say that it has expired, for she lives in a different reality. Many live in a practical everyday life, a practical reality where you have to travel far to get work. What's wrong with that, and why is it that group of people – those who have to go far, those who have the disadvantages – who get more tax?
ParlaMint-NO_2017-10-25.ana.ud320e230	As I said, there's nothing wrong with being commuting, rather on the contrary. It's important that people are willing to move to get work. I'm very happy that a lot of people do it. But this is really not a deduction from commuting. This is a deduction from 1927, and it's essentially about getting a deduction from going home to a place where you have cooking facilities and preparing food. It's something most of us do every single day, no matter what kind of work situation we're in. Is one not in a situation where you have cooking facilities, either on the furniture or at home, gets one also deducted. I think that sounds reasonable and correct. I also want to remind the representative, Mr. Schlagsvold Vedum, that the group that uses this deduction the most in all is people in the central East and people who do not live in Norway. There are many reasons to make changes in this and release this money, so that we can give relief to the entire population instead.
ParlaMint-NO_2017-10-25.ana.ud320e237	There will be follow-up questions – first Ingrid Heggø. The right-wing party government is about to leave what has been a major goal for most governments in Norway, simply to use the whole country. This sees, for example: in the draft budget on cuts in regional development funds, food funds, broadband, travel life, small rural roads, and local authorities will not actually be able to afford to recruit so many new teachers. The WebDithering Pot has been reduced from around 140 million. kr under the Stoltenberg Government and is zero in full in the draft budget of the year. There is no alternative proposal to smoothing the web page. Merging the web companies will not give lower web rentals without large cities inside the image, and it will thus not give any randomization as monks throughout the country. Does the Minister of Finance think that it is fair and proper that districts should develop nature and be a battery – a renewable battery – for Norway – and that this should be paid by residents and businesses in the districts by increasing the number of rents on the Internet?
ParlaMint-NO_2017-10-25.ana.ud320e246	I totally disagree with the claim that this government is about to leave the main goal of using the whole country. Where in the world did the representative come from? Rather, it is the opposite of having a good and competitive tax system benefits business throughout the country. The reintroduction and improvement of the system of differentiated employer charges is definitely a measure that benefits the district workplaces. The fact that we are now proposing to remove the property tax on machines is also an incredibly important tool, which I am excited about whether the Center Party will support in its alternative budget. It is one of the most important things we can do to secure the district jobs in this country. Our continuing to expand infrastructure across the country means something for the prosperity and distance to markets, that we are betting on education, on research, to facilitate good business practice – the sum of which makes it easier for businesses to be around the country, and that people can live across the country.
ParlaMint-NO_2017-10-25.ana.ud320e251	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e256	No, it's not true that the tax system that the government has today is helping to bring the whole country into use. Just take the cuts that the government has made in the wealth tax: Where is the wealth in this country? They're not spread evenly across the whole country, but they've piled up in a few regions, especially in the region we're in right now, and in parts of the West. If the tax regime were to help bring the whole country into use, one would have set up completely different types of framework. What has the government done? Yeah, she's running a fisheries policy where it's not the fishing communities that's good, and it's an agricultural policy where it's definitely not the whole country that's being used. One has a business policy where a cut in the tools that one has documented is very good for using the whole country. One cuts heavily in them – 300 million. kr only this year. In addition, cutbacks occur by halving in relation to broadband, ports and regional development media. My question is, what is the reason why the government is so busy protecting the richest in this country, and so absolutely not using the whole country, by cutting in all the tools we have?
ParlaMint-NO_2017-10-25.ana.ud320e261	The President will remind you that the starting point was the commuter question.
ParlaMint-NO_2017-10-25.ana.ud320e266	It was district policy, wasn't it?
ParlaMint-NO_2017-10-25.ana.ud320e271	It is an honest thing that SV wants to increase the tax for those who want to create jobs in this country. I disagree. There is a broad consensus in this house, in Stortinget, that we should continue to reduce the tax on working capital. The government has followed up on the government budget for next year. In addition, we have proposed improvements for district workplaces by proposing the removal of property taxes on machinery and equipment. We have reintroduced the differentiated employer fee, we have reduced the total tax burden by over 3 billion. kr, and the profile of this means that about half of the benefits to this government go to households with incomes of NOK 600 000 or less. But again: It is a very honest matter that SV goes to fight against lower taxes and will sharpen them. This means, in reality, that creating new jobs in the private sector is becoming more difficult, and that is the prerequisite for more people to get to work and less to social security.
ParlaMint-NO_2017-10-25.ana.ud320e277	Sigbjørn Gülsvik – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e282	Back to the question concerning commuters: I noticed once again that the Swedish Council of State Siv Jensen pushed foreign workers in front of him. The Progress Party has been one of the leading promoters of unregulated labour immigration, which has led to pressures on pay and working conditions, not least in the practical professions. In addition – with its background – one should now deduct Norwegian workers from diet and Losji. According to the tax rate, four out of five of those who receive this deduction are Norwegian workers. It's harder, the people who built the country. Why in the world should a take away from them this right?
ParlaMint-NO_2017-10-25.ana.ud320e287	As I answered the question from the representative of the Battle of Vedum, the government's main reason for removing the deduction to go home and eat food is that it is better to spend that money on giving tax relief to everyone. I see no good reason for the taxpayers who do not get this deduction, who go home and cook food, to subsidize someone who cannot do it in his own home, but on a shelf. The important thing is that you have cooking opportunities. Then the purpose of this deduction has expired. There is much better and much more accurate tax policy to facilitate tax pressures for all households. Therefore, the government has proposed to remove this deduction.
ParlaMint-NO_2017-10-25.ana.ud320e292	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e297	Having good rights for commuters is one of the important measures to ensure housing in rural areas as well. Therefore, it is necessary to ensure that its integrity is properly maintained. As many have experienced during this round, several measures are also demanding in the budget when thinking about districts. I'll especially take up cut in broadband funds, because a few businesses will flourish around the country, which is what Siv Jensen is busy about, needs one also broadband. And to ensure that the settlement is maintained, broadband is also an important key. I'd like to drill a little bit more in the government's argument about why it's important to cut broadband funds. The pot is halved, from approx. 140 million. kr to approx. 70 million. kr. Isn't that pot important to trigger investment, to secure broadband for the whole country and to secure housing and business?
ParlaMint-NO_2017-10-25.ana.ud320e304	Once again, the President would remind us that broadband may be a bit peripheral to the commuter question – but the Siv Jensen Council would like to answer.
ParlaMint-NO_2017-10-25.ana.ud320e309	I can at least answer that I look forward with excitement to the negotiations that are about to take place between the government parties, the Christian People's Party and the Left on the budget. I am absolutely sure that the Christian People's Party has a well-thought-out list of things they want to change in the budget. However, I would like to say in general – because some of the questions that come to mind make it appear that the 2018 budget is a cut budget – that the starting point is a growing budget. It is a budget where the positive development of the Norwegian economy is the basis. Now the arrows point in the right direction. Freedom goes down, the growth of the economy goes up. It has given us a greater scope for action to facilitate more jobs in order to ensure sustainable welfare systems. So the starting point is amazing. Then it's a very honest thing that the parties in the Storting have different priorities. It's basically because it's about – it's about prioritizing. The government has done that, and I hope, of course, that the Christian People's Party does.
ParlaMint-NO_2017-10-25.ana.ud320e318	Let's go to the next main question.
ParlaMint-NO_2017-10-25.ana.ud320e323	Yesterday, the NRK reported a further IT scandal in the health sector. Foreign employees of a company in Israel have had access to the private and sensitive patient information of the North. People should know that their private health information is not shared with people who are not supposed to have access – think of the young girl who has recently had an abortion, the boy who received treatment after an assault, or the woman who suffers from cancer and will soon die, but does not want everyone to know it yet. But these IT workers in Israel have had access to our patient information. This isn't the first time. A few months have passed since the Minister of Health and Health last had to answer for the lack of security of our personal information. Just a few months ago, we learned that over 100 IT staff from Bulgaria, Malaysia and India had received data rights that gave access to the most intimate patient records to 2.8 million Norwegians. In the letter to the Control Committee on 15 May 2017, the Minister for Health and Welfare wrote that ‘only persons legally admitted shall have access to sensitive data’. After our revelations, we figured that all of the holes would be sealed immediately. We thought this was under control. We thought the Minister of Health and Health had control. Can the Council of State now guarantee that no unauthorised person has access to our sensitive personal data?
ParlaMint-NO_2017-10-25.ana.ud320e336	The reply to the Control Committee addresses the issue of the basic ICT infrastructure in Health South-East. Posting it to external actors is a work that is under threat, precisely to ensure that solutions are found to the challenges of modernising the health infrastructure in the south-east, so that one does what is not least important in order to ensure the safety and security of patient information, in a good and safe way. The matter to which the representative refers relates to access to medical and technical equipment in hospitals. It will not be possible to operate a modern healthcare service today without having medical-technical equipment that has also been supplied by foreign actors. It is also not possible to operate healthcare today without the possibility for suppliers to operate the service and upgrade on this equipment, so that the hospital can actually operate often 24 hours a day. However, this is an access that must take place in a safe, secure and regulated way, where a person knows both who has access and has control of what access he has. In the case to which I referred, unregulated access was discovered and closed. In order for this work to be given even more attention, I have given a mission to the Directorate for e-Health, where, during the autumn, they will now come up with an investigation into just what kind of legislation and systems will be associated with having a safe and secure way of regulating this, so that one does not risk losing important patient information.
ParlaMint-NO_2017-10-25.ana.ud320e345	I notice that the Council of State does not now guarantee that our patient information is not still on the way. It is not reassuring for us in SV, and we will therefore send a letter to the Presidency to get the Council of State to the Stortinge for a proper and thorough explanation of this. Already in 2015, repeated in 2016, SV in Stortinget proposed that the government propose measures to reduce the vulnerability of ICT systems. Bent Höie's party, Right, voted here in Stortinget down these proposals. I hope that the Council of State now sees the wisdom of the SV's proposal. We've messed up involving foreign actors. We've been messing with external companies and sensitive personal information. Experiments in deploying large and important parts of our infrastructure without proper security must end. At the meeting with Health South-East on 15 September 2016, the Ministry of Health and Health took a decision to allow financial leasing for the large ICT systems. Does the Council of State now regret that decision when he sees what has led us into this policy?
ParlaMint-NO_2017-10-25.ana.ud320e357	Once again, the representative combines two different things. The case which the representative referred to at the end, which was about the basic ICT infrastructure in Health South-East, is after it was discovered that one in the transition phase in which one was in, was unable to address these issues adequately, put in rest. I think the representative has also brought that. With regard to the question which was the starting point for the representative, namely access granted to medical-technical devices, it is largely for medical-technical devices in Norway and other countries, simply because it is not possible, as I was told, to operate modern health services today without medical-technical equipment supplied by foreign actors. These must be able to operate the service and upgrade that equipment. Of course, in order to do that work in a safe and secure way, there are rules around it, but there is also a separate mandate given to the Directorate for e-Health, which will soon also make recommendations, and that is on my initiative.
ParlaMint-NO_2017-10-25.ana.ud320e364	It opens for follow-up questions – first Torgeir Knag Fylkesnes.
ParlaMint-NO_2017-10-25.ana.ud320e369	It is in many ways the same thing that we are discussing, even though the minister is trying to say that there are two different things. It's about privacy, it's about the security of one third of Norway's population's most sensitive data that's gone astray, and one actually doesn't know – shows the report from PwC, among others. – whether this information has fallen into the hands of those who can take advantage of that information directly to their patients. We don't know anything about this. This security hole has come to the Minister of Health guard. On previous occasions and through the Control Committee, we have asked a series of questions in which the Minister has tried to explain that this is something which is now to begin to take control, and then all of a sudden this comes back. The simple question is whether the minister has control or whether it is now out of control. Can the Council of State guarantee that unaccompanied actors in other countries do not have access to person-sensitive information in Health South-East?
ParlaMint-NO_2017-10-25.ana.ud320e376	Once again, in this PwC report, which is the first case to which a referee refers, it becomes very clear that it is very unlikely that patient information is going astray. It is also clearly documented in the survey work that has been carried out. Regarding the question of whether foreign actors have access to patient-sensitive information, the answer is yes: Foreign actors have access to patient-sensitive information, because it is not possible to operate a modern healthcare service today without access by foreign actors to medical-technical devices that also contain patient-sensitive information. If you hadn't had the opportunity, we wouldn't have had the opportunity to run a modern health service in Norway. At that time our hospitals had been closed pending e.g. maintenance, repair of equipment and upgrade of computer goods. The patient had been severely affected. What is important is that that access takes place in a controlled and secure way.
ParlaMint-NO_2017-10-25.ana.ud320e383	Ingvild Kjerkol – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e388	The IT scandal in Health South-East shows a vulnerability that the Minister of Health must take most seriously. The Minister of Health has in this room several times in the past given assurances that he will obtain the full overview and take the necessary steps to put an end to the access granted and which should not have been granted. Now the new information came this week, and it is tempting to ask the Council of State if he was familiar with that information. Then it is also tempting to ask the Council of State, the Minister of Health – when he refers to a mission the Directorate of e-Health will get to create these frameworks, when we know that we are already in the mood to make new, large purchases in the health platform in Middle Norway and the situation in Health South-East is not resolved with the situation you now have – if he knew this. Does he have a full overview, and is it considered sufficient, with the ongoing processes, to send an investigative mission to the Directorate for e-Health?
ParlaMint-NO_2017-10-25.ana.ud320e393	The investigation mission has been sent. We're waiting for delivery. The size was informed before the summer that the assignment was given. It is about the issue raised by the representative Wilkinson, namely that one is dependent on having a private subcontractor for medical-technical equipment and how that type of access is to be regulated. Parallel work is also underway on this issue, which is also relevant for other social sectors, under the auspices of the National Safety Authority. They will also make their recommendations. Just because this government takes these kinds of issues very seriously, it is a comprehensive work that has been undertaken — which is also related to the draft new safety law, which has also been delivered to the Stortinget. The question relating to the basic infrastructure in Health South-East is a work which is being asked pending the fact that Health South-East is just going to clarify the questions before choosing which way to proceed.
ParlaMint-NO_2017-10-25.ana.ud320e400	Kjersti Top – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e405	The main quality mark of the Norwegian healthcare system is that there is great confidence in the population, and the worst thing that a health minister can be responsible for is a development that causes this confidence to be demolished. Of course, when the Norwegian people now feel that sensitive patient information is being diverted, this basic trust is rocking. This matter is more serious than the Minister of Health understands. In Sweden, a similar IT scandal has occurred with a leak of detailed information about Swedish bridges, metro, road and track. The Prime Minister of Sweden calls this a disaster. There were significant political consequences that two councillors had to go. When we now – again – experience that information on sensitive patient data is on the wane, despite the fact that many health care professionals have taken responsibility and left the post, my question is: Will the Council continue to push healthcare professionals ahead of itself? Or what will he do to secure an ICT and infrastructure in Norway that is trusted by the Norwegian people?
ParlaMint-NO_2017-10-25.ana.ud320e412	I fully agree with the representative that it is essential for the public to have confidence that healthcare manages their patient-sensitive information in a safe and good manner, that there are clear rules for access and clear access control systems, and that this is monitored and managed in a good manner, so that any errors are detected. But it is also important that not this representative, and other representatives who have been on the pulpit, assume that patient-sensitive information is being diverted. I am not familiar with patient-sensitive information, but I am aware that in connection with the major case in Health South-East, there were accesses that should not have been there and that I have been informed that now is closed. I am aware that in this specific case, which the representative Wilkinson mentioned, and which I did not know before it became public in the media, there had also been an access which was not in line with the legislation and which was stopped. But that doesn't mean that patient-sensitive information is going astray.
ParlaMint-NO_2017-10-25.ana.ud320e417	Ketil Kjeseth - for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e423	We have been through a number of rounds — to put it that way — revealing safety culture in different sectors in Norway, and now we have come to the health sector. The water and sewer kit in Oslo had a code that was 0000 for login, and it was well known among many. It seems that we are now in doubt whether we have a similar culture in the health sector, at least in parts of it, in Norway approaching zero. The fact that medical devices – here we are talking about x-ray equipment, and it has all hospitals – are operated from abroad may be so, but if there is a culture with great access and with security holes out of Norway, the Minister of Health can never guarantee that something is not going wrong. The challenge here is how we ensure an understanding of what is to be managed in Norway and what can be operated from abroad, and build a security culture that is in line with this.
ParlaMint-NO_2017-10-25.ana.ud320e430	I fully agree with the representative that it is extremely important that healthcare has good systems in this area. That is also one of the reasons why, when the Riksrevision early in – here I have to take it to memory – in 2014 came up with a report on this that showed this type of hole, it was a clear mission from me to the health regions to work on getting better systems in this area. In addition, I have given a clear assignment to the Health Directorate. In the new safety law presented by the government, there is also a greater focus on vulnerability in ICT infrastructure. This is a work that is extremely important to continuously improve. As the representative had in mind, medical-technical devices are devices that are necessarily dependent on being supplied by foreign actors. This discussion does not have to be reduced to a discussion about whether or not we should have equipment supplied from abroad, because then we will not have the opportunity to operate a modern healthcare service.
ParlaMint-NO_2017-10-25.ana.ud320e435	Olaug V. Bollestad – for follow-up questions.
