ParlaMint-NO_2017-05-10.ana.ud551e28	The called alternate of the South-Trundellag County, Ferhat Güven, now takes the seat.
ParlaMint-NO_2017-05-10.ana.ud551e132	Firstly, no decision has been taken on the disposal of HV forces yet. There is a process in progress in the Defense to find the optimal strength structure to solve all the problems. I have explained in detail in the open hearing how I believe the preparedness work is being carried out today, and that includes, of course, HV at the highest level. So that said, HV's strength structure has been stable over the last five years, that is, even before we took over, and the reality is that now that we're adapting the number of HV soldiers to the actual filling rate, we're going to be at about the same level as we are doing today. That's the real number. But then there will be some adjustments within that figure to dispose of HV forces where the need is greatest, and it's a defence professional assessment made by the Defense.
ParlaMint-NO_2017-05-10.ana.ud551e137	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e142	The National Audit Office's report does not seem to make any particular impression on the government. The core of that report is so strong that it is the strongest criticism you can give. Some of the discussion is that the defence has to point out the necessary civil key objects. The center party believes that more objects have to be identified within energy and modern data communications. More people are needed at a time when the emergency situation requires it in all areas. The current strength target of Home Protection is 45,000, with 42 000 in the HV regions and 3 000 in the effort forces. The strengths are there – the ability to meet what the Riksrevision points out, and what is the new emergency situation. My question is: Will the government follow up the Riksaudition's very serious report by increasing today's number of soldiers in HV areas and the strength of today's 45 000 soldiers?
ParlaMint-NO_2017-05-10.ana.ud551e149	Of course, the National Audit Office's report has made an impression on the government. That is why we have also implemented a number of measures both before the Riksrevision made its report, and after the 2015 Insurance Report. The HV size alone is not based on object protection. It's also based on the military problems. And we have different ways of securing objects, as we explained in the open hearing. The strength target is one number and one way to assess this. Another way to assess is whether the forces are funded, whether they are practicing and training. When Per Olaf Lundtägen's party was in government, in 2009, none of the area forces were trained – none. It was a serious situation. We've overrun the 62 pst target. exercise in the territorial structure, two years in advance. In addition, we increase the HV's budget by 16 pst. – 191 million. kr – in order to maintain equipment, practice, training and activity. That's what determines whether you can operate the object protection that HV and other parts of the Defense do.
ParlaMint-NO_2017-05-10.ana.ud551e156	Abid Q. Raja - for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e161	The security of society is the primary task of politicians. Norway failed on 22 July. Norway cannot afford to fail again. The National Audit Office’s report shows that neither the police nor the defence together nor individually will be able to exercise adequate protection of important objects when a threat situation so warrants. It is very serious, and we can be happy that such an attack has not been attempted. This summary of the report will therefore be kept secret by the Minister of Defence. She has chosen to keep it secret. She doesn't want people at home to read this, understand this and understand this. Per-Kristian Foss, who has been a long-standing Right Representative and is now a National Auditor, says that the Council of State is trying to protect the Ministry and the Defence against criticism – that's why she chooses to keep this a secret. To quote him from DN: ‘The leadership of the Ministry of Defence and Defence use the Security Act to protect themselves from criticism.’ My question is, why does the State Council abuse the Security Act in order to protect itself from criticism?
ParlaMint-NO_2017-05-10.ana.ud551e173	Of course, I totally disagree with the premise that the Security Act is being used to hide criticism. Rather, on the contrary, this has been discussed openly since the Riksrevision presented its report on 18 October last year. The size has all available information, all classified and unupgraded reports, and there is also an up-to-date summary that has been the basis for the public debate and the more than 600 media releases that have been there. That's a lot. Of course, it is not possible for a government to keep critical information secret for its own sake, but it is possible – and it is also required by the Security Act – to protect classified information that can harm the security of the state in various ways. Object safety is one side of the Safety Act. Information security is another aspect of the Safety Act. I believe that the representative Knut Arild Hareide in the newspaper today also describes this in a good and sensible way, namely that it is those who are sitting on the intelligence information that has been designated to do the assessments of what is being graduated and what is not graduated. I disagree completely with Abid Q. Raja's way of presenting the situation for preparedness, but I have explained that in the open hearing, and I have also explained that in other contexts.
ParlaMint-NO_2017-05-10.ana.ud551e182	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e187	It's a very serious case that would have got much bigger headlines if it had had something a little more sexy an object protection. Because it is about the government not having done their job of ensuring security. Prime Minister Solberg said in the hearing that the reason why Stortinget did not get information about the weak object protection was that the government did not know how bad it was, because the Police Directorate reported to the Ministry of Justice that everything was in order in the field of justice. But an important dimension that is also hard to understand is that the Ministry of Defence is responsible for a good part of the objects. All sectoral ministries are responsible for the designation and classification of objects within their area of responsibility and the Ministry of Defence is responsible for a significant part. Why did the Ministry of Defence not better inform the Prime Minister and the Stortinget that one under its responsibility was not on the way to comply with the regulation on object protection in time?
ParlaMint-NO_2017-05-10.ana.ud551e196	This has been the subject of several discussions in the government — natural enough because it is an important part of the preparedness process. It's a little difficult to explain the entire object security regime in one minute, but today it's like the defense is responsible for the military objects. All military objects have a form of basic protection. They are typically inside bases, behind fences, behind fuses, etc. For new projects, the basic assurance is incorporated as part of the design. Then it's like we're assisting the police in providing object security where the police are asking for it, and that's the case in approx. 20 pst. of the cases of the objects pointed out by the police. There they have asked in advance for assistance from the Defence. In addition, both civil and military key objects can be secured by military forces, but on the civil side, it is thus primarily the police who are responsible for their forces, and then the Defense comes and assists if, for example, something. should last for a long time or if the police experience that they do not have sufficient security forces to cope with a complex situation.
ParlaMint-NO_2017-05-10.ana.ud551e201	Then we go to the next main question.
ParlaMint-NO_2017-05-10.ana.ud551e207	My question goes to the Minister of Justice. The Progress Party decided at its national meeting to go in to criminalise the ritual circumcision of male children. It's made strong reactions, and I want to quote some of them. Ervin Kohn, head of the Mosaic religious community, said that if the decision were to be implemented, it would mean ‘prohibiting Jewish religious practices’. The U.D. of Israel regrets the decision and states that such a ban would make it difficult to live as a Jew in Norway. The leader of one of Europe's largest Jewish organisations goes even further and clearly calls the decision anti-Semitically. This clearly shows that the decisions of the Progress Party have neither respect for, knowledge nor understanding of freedom of belief. For a Jew, it's not an alternative not to circumcise his boy; for Jews are circumcision, because it's a central religious precept. At the same time, it is about identity formation, cultural affiliation and the freedom to practice their religion for an vulnerable minority. The Minister of Justice has previously expressed a lack of understanding of what faith means for people. In the last period, he took the initiative and proposed a ban on pampering religious symbols in public space — the ban on hijab or gaudy, larger crosses. At the time, the law department in what is now his own department assessed that this ban would be a problem in terms of human rights and that it could be contrary to religious freedom. That is why I would like to ask the Minister of Justice: Does he want to go along with what the Progress Party decided at its national meeting, namely to prosecute the ritual circumcision of boys?
ParlaMint-NO_2017-05-10.ana.ud551e224	I think it's important to assume, first of all, that it's not my constitutional responsibility that we're discussing here. But I should like to say a little bit about the background to the policy of the Progress Party and what was adopted at the Country Meeting of the Progress Party. The Progress Party has had a different assessment from that of the government – and I stress that this is not government policy. These are the assessments of the Progress Party, and I support that assessment, which is about not imposing child intervention – that is what we are really talking about – which is conditional on religious belief, and which is not health-related at all. Then there must be no doubt that the Progress Party supports the Jews, has always supported the cause of the Jews and has been foremost in supporting Israel. It is still the policy of the Progress Party, but we have a different assessment when it comes to the intersection and what is actually an intervention in a child's sexual organ. Here one must respect that one can have opinions other than those expressed by the Christian People's Party. Yes, it is to a large extent right that the undersigned, as a party politician, have often participated in discussions about the use of religious symbols, in particular hijab, nikab and the like. But from there to say that those proposals have been contrary to human rights – we have actually received the opposite example, since the European Court of Human Rights judgment shows that it is actually possible to regulate that kind of practice. The party of progress has never been in doubt, and has been very clear that the use of nikab and hijab should be limited, and that religious symbols do not necessarily have a natural place in all rooms.
ParlaMint-NO_2017-05-10.ana.ud551e235	I thank you for the answer, although I have to say that I think it was a little confusing. As far as I know Judaism, and when I look at the statements that have come both from Israel and not least from the Mosaic religious community, the Minister of Justice actually forces Jews to leave Norway. That is why I think the matter is very serious. And it's not just a Christian People's Party that interprets it this way. Very well known, no other Western country or Western government party is going in to ban the ritual circumcision of male children. That is why I wonder how the Minister of Justice thinks that such a criminal order should be implemented in practice. How should it be investigated? How does he want to punish parents? Should they be prosecuted if they carry out the interception abroad? Wouldn't it just be a more dangerous intersection if it were implemented? That is the question of whether he believes that the Torah will change, or that the Jews will change their practice – that is what he wants to achieve.
ParlaMint-NO_2017-05-10.ana.ud551e242	Let me first point out that the Minister of Justice has not intended to do anything with regard to the decision taken at the national meeting of the Progress Party. It is not the government's policy, nor is it the majority in the Grand Duchy. But let me stress the following: it is the policy of the Progress Party, and the Progress Party has been in favour of it at its national meeting. I have to say about the kind of arguments that the representative makes regarding the control of interference in a healthy sex organ, that the exact same arguments could be put forward when it comes to something called "circumcision," but that I call an abnormal intervention in the female sex organ, i.e. sexual mutilation. The exact same arguments could be used against it, and that should probably be the basis for reflection. The assessment of the Progress Party at the national meeting was that it is not natural to perform surgical interventions in a healthy gender organ.
ParlaMint-NO_2017-05-10.ana.ud551e249	It opens up for follow-up questions – first Hans Fredrik Gruvan.
ParlaMint-NO_2017-05-10.ana.ud551e254	The Progress Party has recently taken more steps towards what can be seen as a more stringent line towards religious communities, by providing for more surveillance and economic strangulation. The decision of the Progress Party to prosecute the ritual circumcision of male children is perceived by many who are yet another step towards more control and surveillance. One of the reasons put forward as an argument for this Decision has been the provisions of the Children’s Convention, according to the head of the Health and Welfare Committee, Kari Kjønaas Kjos. Does the Minister of Justice agree with Mr Kjos that the ritual circumcision of boys according to Jewish tradition is contrary to the Children's Convention?
ParlaMint-NO_2017-05-10.ana.ud551e261	I ask the representative to understand that it is difficult for me here and now to assess whether a single decision is within or outside of a convention. In that case, it must require a slightly longer investigation. But it may be true. I don't want to answer that right now. I think it is important to draw an understanding that political parties are making decisions at their national meetings, and that provides the basis for an important debate, which I think is absolutely necessary, on how far to respect the intervention of religion in the lives of young children, and thus also to set lasting marks that must be borne for the rest of your life. I think this is a timely debate. I think that's a reason for taking that discussion. But at the same time, it is important for me, as Minister of Justice, to stress that this is not the government's policy of this big period.
ParlaMint-NO_2017-05-10.ana.ud551e268	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e273	At first I think this case reflects three things. One is that the Progress Party is not a party that seeks to reunite politics to embrace many, they are seeking conflict. Secondly, I think that what the Council of State has now said means that what is adopted at the National Council of the Progress Party does not become a real policy. And then the Progress Party voted a few months ago for this to be Norwegian policy. All the representatives of the Progress Party voted in favour. Now the party has turned around and will not only limit it from the public service offer, but they will have a ban. We have previously had proposals that the Progress Party is unable to implement, but now the Progress Party is in government, and they must conduct responsible and enforceable policies. And just hypothetically, how does the Minister of Justice see that he is going to follow such a ban?
ParlaMint-NO_2017-05-10.ana.ud551e278	This really shouldn't be very difficult. The Progress Party programme, which is the case for this majority period, was voted on in 2013. That's what applies to this big group, that's what applies to the policies of the Progress Party. What was adopted at the national meeting of the Progress Party is the programme of the Progress Party for the next major period. It provides guidance for what we go to elections in this autumn – what we as big-time candidates, each in this room, will go to elections on September 11, 2017. It is the programme adopted at the national meeting of the Progress Party. And this is certainly the representative quite well aware of. So it's not that this is about the Progress Party wanting to develop conflict in any way. On the contrary – I think it is bold that a political party is actually able and dares to raise a problem that most people tend to close their eyes to.
ParlaMint-NO_2017-05-10.ana.ud551e283	Abid Q. Raja - for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e289	There's enough contempt for knowledge when the council compares male gender mutilation to female gender mutilation, which is barbarism. Comparing it with male circumcision is really a blow in the face of all the women who are exposed to this barbarity. When it comes to the main question, about male cross-section, I'm going to try to focus on it. To inform the Council of State, more than one third of the men in the world are circumcised. The NRK can report that in the United States is about 80 pst. men circumcised, irrespective of religion and ethnicity. In fact, American authorities want such a practice to be welcomed. The World Health Organisation recommends this form, especially in developing countries. It also reduces the incidence of sexually transmitted diseases – chlamydia by 82 pst, HIV by 60 pst. For Muslims, only to have mentioned it for the Advance Party, this is not necessary. It is not an obligation to be circumcised. For Jews, on the other hand, there is an obligation, eight days after birth, known as the British Mila, and Jews have said that this ban is being imposed, they will be forced to leave Norway. My question to the Council of State is: Why will the Progress Party force Jews out of Norway?
ParlaMint-NO_2017-05-10.ana.ud551e296	This is going to be a strange argument. First, yes, I agree that the severity is very high, and that in no way can you compare the intervention we're talking about on a boy, with what's the sex mutilation of girls, which is undoubtedly a kind of practice that has to be stopped by all legal means. But what I did was not to compare the severity of the two. What I said, on the contrary, is that when you argue for the problems of proving, the problem of prosecution, you can use the exact same arguments. Then you talk about health control – the kind of issues that there has not been any willingness of the representative’s own party to introduce – to reveal, as I believe, a very important measure. But based on that we're comparing the severity of the two different ones, that's of course completely wrong. So it's not like the Progress Party has any issues with Judaism with regard to Israel. We stand behind the Jews.
ParlaMint-NO_2017-05-10.ana.ud551e303	Let's go to the next main question. Try hard to fight Vedum. No, I think it's Marit Arnstad who's taking that question.
ParlaMint-NO_2017-05-10.ana.ud551e308	Thank you for that, President. My question goes to the Minister of Defence. The government's long-term defence plan has aroused a lot of debate and frustration in parts of the defence. In the Army, the investments are postponed as a total increase as late as in 2015 was considered absolutely necessary. Homeland is being reduced by 7,000 soldiers. The protection of the marine environment is being laid down. And the Navy defense corvettes are abolished. In the long-term plan, the government uses large sums of money to build up capacity one place in order to build up the corresponding capacity somewhere else, without giving an increase in total fighting power. The closure of Andøya is an example of government breaking down both operational capacity and a community that has adapted to the needs of the Defence. The credibility of the long-term plan depends on the accuracy of the figures presented. The long-term plan states the following about the government's recommended closure of Andøya Aviation Station and the accumulation of activities at Evenes: ‘In total, an investment need of approximately 3.5 billion has been calculated. crowns for the collection of activities at Evenes.»
ParlaMint-NO_2017-05-10.ana.ud551e320	That's it.
ParlaMint-NO_2017-05-10.ana.ud551e325	In Andøyposten, 21 April, the Ministry of Defence says that the cost is now 4.2 billion. kr. Can the Council of State clarify what is right? Is the total investment need 3.5 billion? kr or 4,2 brd. Do you really want to delete this item?
ParlaMint-NO_2017-05-10.ana.ud551e331	First of all, to the premise of the questioner: there is nothing in this long-term plan that is going in the direction of building down the defense. On the contrary, this government is building up the Defence – that is, the Army, and that is the Home Office – with historical increases in the budget and also large investments that we have ahead of us. With regard to the question of Andøya, the representative probably came to the conclusion that yesterday there was also news of additional funds for the conversion from the government. It's important to be able to transform the Andeya community. The majority of the population decided that we should have the power and have the bases for both forward-run combat aircraft operations and maritime patrol aircraft on Evenes. It's to ensure both the bases and the capacities in a good way. We are now conducting a concept investigation at Evenes, where a large degree of reuse forms the basis for the concepts under consideration. So in our opinion, there's nothing new in the number material that comes out, which means that this is going to be e.g. significantly different from that of the long-term plan.
ParlaMint-NO_2017-05-10.ana.ud551e339	The Council of State would like to try to answer the question. That's how the government has told the Stortinget that it will cost 3.5 billion. kr. The Ministry of Defence publicly confirms in the press that it will now cost 4.2 billion. kr, and Defence Building, a subsidiary of the Ministry, have also indicated in meeting Trom County Council that it can reach over 4.2 billion. NOK – that it can cost up to 5 billion. kr. The size had a unanimous remark in the setting of the long-term plan where one says: ‘If there are significant changes to the decision-making basis, the Committee takes the view that the government will return to the Grand Duchy in the context of the revised national budget in spring 2017 with an update.’;» First, the Council of State may state the correct figure and the Council of State may confirm that it will provide updated cost estimates for the Storting in the submission of revised expenditure if that is the case that costs have gone from EUR 3,5 billion. DKK to SEK 4.2 billion. kr. ?
ParlaMint-NO_2017-05-10.ana.ud551e350	As we explained in the long-term plan, the issues of price on Evenes, and on Andøya for that purpose, are divided into several different segments. One is the base itself. The second is the question of air protection and protection. The third is personnel costs, and the fourth is operating costs. In the current calculations, there's nothing to suggest that the number that we took into account in the long-term plan has changed. It also means that there is no need for a review in the context of the revision. Then the assumption was that there would have been significant changes. As always on this type of major project, the government will of course come back to Stortinget if there is a need for updates, and we will also regularly update on large projects, such as: the development of Ørland.
ParlaMint-NO_2017-05-10.ana.ud551e355	It opens for follow-up questions – first Tryful Battle Force Vedum.
ParlaMint-NO_2017-05-10.ana.ud551e360	We notice that the Council of State is not going to use numbers now. It's a familiar tactic when you have bad numbers to come with. In her own proposition to the Storting, it says: ‘In total, an investment need of approximately 3.5 billion has been calculated. crowns for the collection of activities at Evenes.» It's a quote from the government's proposition. Now six months have passed since that decision was taken in Stortinget. In the six months – when there is an interview with the Ministry of Defence now, the people of the Ministry of Defence say that now the total cost is 4.2 billion. NOK – the cost has increased by 25 million. DKK per week, over 100 million. kr per month, but the Council of State can't be clear and clear about what the figure is now. Then my question to the Council of State is, what's the number in three weeks, four months, one year? Can the Council of State guarantee that that figure was taken into account by the government, $3.5 billion? kr, is that the right number? Or is it the wrong number?
ParlaMint-NO_2017-05-10.ana.ud551e374	Here it was also relatively much. I now have in two rounds black Battle force Vedum's party trap that there is therefore nothing in the number material we have per day that suggests that there are significant changes. This means that the figures in the long-term plan are still there. Now we're doing the concept selection investigation. It shall be completed during this year. It shall be based on external quality assurance, which is common to the type of large project, once it has been completed. It is, as I also had in my previous answer, of course, that if there were any changes, the government will come back to the Storting about it. We have e.g. See that, in the case of Ørland and the expansion adopted under the previous government, some of the costs have increased, for example: in relation to hedges, the hedging concepts are different, they have increased in view of the cost of the contractor. These are things that would have happened no matter where you had laid the base – whether it had been Ørland or Bodø.
ParlaMint-NO_2017-05-10.ana.ud551e384	Anniken Huitfeldt – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e389	I also have a question about the follow-up of the long-term plan. One of the decisions that was made, which was not in the government's original proposal, was to continue the Coast Guard Command. It's a very important force, especially in the north, and there's been a lot of international participation. The size decided was to assess whether this capacity could be linked to other departments, including the Special Forces of the Defence. My question is, Is this work going on? When do we get this case to Stortinget? There is a great deal of interest in this matter.
ParlaMint-NO_2017-05-10.ana.ud551e396	This is a work that has begun in the department. We are now drawing up the mandate to look at, as the representative says, the organisational link and also, for example, the organisation. consider things like localization and other things that belong naturally to this. I also think it is worth reminding that in the discussion about you, for example. shall submit to the Special Forces of the Defence Forces or, more precisely, to the Marine Hunter Command in this context, which has been discussed, account shall also be taken of the conditions associated with connecting so-called conventional departments with specialised power units. It has both advantages and disadvantages, which will then be assessed as a result. We'll get back to Stortinget when these assessments are done.
ParlaMint-NO_2017-05-10.ana.ud551e403	André N. Skkelstad – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e408	When we hear the signals that there may be relatively large exceedances – the Council of State also points out that it was also in so far as the location of a new fighter base on Ørland – and with so much uncertainty surrounding that project, it might have been natural to consider whether to postpone the process around Andeya. There is also uncertainty about air shields, which I think should also be able to cover Heggelia and the areas of inner Bardu, and not just Evenes. Could it have been an opportunity? Because with so much uncertainty as with the figures referred to here today, it indicates – for the time being – that there may be greater exceedances gradually, and then it may be possible that a breath in the ground would be okay.
ParlaMint-NO_2017-05-10.ana.ud551e413	Now I have answered that question in several rounds. There is nothing in the figures we have today that indicates that there are significant changes, nor is it appropriate, as the representative says, ‘large exceedances’ or that there is uncertainty about air protection. Air protection is an essential part of securing a base. We can no longer operate bases that can only work in peacetime, but cannot be protected in a crisis situation. That's why we're just doing this power collection and building up air protection on Evenes, just the same way we do on Ørland, in order to protect the base. On the issue of cost increases in Ørland, we have explained them in several rounds to the Stortinget. This is due to conditions that are not related to the base choice itself, which would have occurred wherever the base was, but which are thus increased infrastructure costs, entrepreneurship costs, and not least because of a change in the safety policy situation, depending on changing the safety concept for the aircraft.
ParlaMint-NO_2017-05-10.ana.ud551e420	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e425	This was a good-day-man-ax-chaff experience about Andeya. In the long-term plan, it's 3.5 billion. kr, which is the cost, and that is the total cost from there. The defense in the press, in Andøyposten, has gone out and said this is going to increase to 4.2 billion. kr. Then the minister says here that there is no knowledge she has gained. Does Andøyposten know more about the costs associated with Andøya than the Minister of Defence knows?
ParlaMint-NO_2017-05-10.ana.ud551e430	The answer to the last question is that I don't think so. This is also not a good-day-man-axe drill. I've now got the same question four or five times. I've answered the same four or five times. But of course, the answer is not what the representative wants. There's nothing in the numbers that we have, which indicates that the calculations in the long-term plan are no longer valid. In my opinion, it's also important to remember that the background to doing this force collection, that we put the maritime patrol planes where we also decided, in the previous long-term plan, to put the advanced operating base for F-35, is that we should have a better chance to operate. We need better protection, and we need to be able to protect both the base and the capacity even in a crisis situation. Then it's important to gather power because it's very expensive to secure, and it's important that we spend the money and resources to be able to operate the planes we have. It is a crucial part of Norway's defence capabilities.
ParlaMint-NO_2017-05-10.ana.ud551e435	Let's go to the next main question.
ParlaMint-NO_2017-05-10.ana.ud551e440	The question goes to the Minister of Justice. The data protection is under pressure from many sources. Technology developments increase the pressure both through great potential for the compilation of personal data we voluntarily provide, and through the collection of personal data without the knowledge or approval of the data subject. At the same time, the last decade's fight against terrorism has legitimised major private interference to citizens, and there are many examples of the fact that privacy is being weakened by gradual steps in the name of good intentions. Two weeks ago, we were able to read in the VG that the Minister of Justice had been in London to learn more about how the United Kingdom is monitoring its own people — one of the western countries that has gone the farthest in introducing interventional monitoring rules, and which, in the view of the Left, is a very bad example of follow-up. However, the Minister of Justice says that he will introduce mandatory storage of all Norwegian IP addresses for six months, and that he does not understand why anyone needs to hide the IP address. In practice, this means that the Minister of Justice goes in to store which websites all Norwegians visit for six months, including many others. It is in the Left's view a naive approach, as it is very simple for people who actually intend to do something criminal, to hide their tracks, while the privacy of ordinary citizens becomes dramatically weakened by such storage of IP addresses. I would like to site the representative Hoksrud, in Dagbladet on 4 May: "I very much disagree with Amundsen. This is about what society you want and what access to information you want the state to have, and for those who are concerned about the state being small, as FrP is, it is very worrying that someone wants to open up that kind of storage." ‘Some’ is, in this context, the Minister of Justice of the Progress Party. The question to the government council is therefore: why does he want to be inspired by the United Kingdom, one of the worst in the class when it comes to privacy, instead of listening to the wise objections from the Hoksrud party?
ParlaMint-NO_2017-05-10.ana.ud551e459	Now, I think my visit to London wasn't just in the way the representative refers to, but in general regarding cybersecurity, ICT crime and how to secure itself against it. It is correct that I have arranged for us to introduce an extended storage time for IP addresses. It has also adopted the National Assembly of the Progress Party, and we have a proposal for a representative to be discussed in the Storting on this very issue. When I've mentioned it, it's because Kripos and the "Dark Room" operation, several of those who work in the fight against child abuse, say that this is the tool, the tool, that the police need in their toolbox in order to take many who commit child abuse. When I then assess the relationship – that this is an effective tool to protect the weakest of the weakest in our society, namely the children – versus the fact that it is a very small intervention when we talk about privacy, it is not difficult to choose the children. That's what the Progress Party national meeting did this weekend, and it'll be important in the work further to stop child abuse, which I think as a society we have to take the goal of fighting. It's one of the most important games. If we can't protect the kids from abuse, we can just pack together, because then we don't do our job.
