ParlaMint-NO_2017-05-03.ana.ud198e28	The representative, Mr Knag Fylkesnes, will present a proposal for a representative.
ParlaMint-NO_2017-05-03.ana.ud198e115	Olaug V. Bollestad - for the next question.
ParlaMint-NO_2017-05-03.ana.ud198e121	Journals and security have always been a problem, even when we had paper records that floated around between levels and departments. But it is a challenge for me to understand what has come up today, that foreign IT workers have gained more access than most of the IT consultants working in Health South-East. The IT consultants who have ethical guidelines to deal with are thus given less access than has been given in this tender. I wonder what the Council of State thinks about ethical basis when a will source ICT. What is the basis for ethical guidelines? We're different than nations. We treat IT information differently. When we don't have that basis, we're at risk for information to be diverted.
ParlaMint-NO_2017-05-03.ana.ud198e127	With regard to the specific information that appeared in the NRK case today, I have to ask to come back again and, if necessary, answer after I have received a detailed explanation from Health South-East about the situation that this case concerns, which is the very transformation phase in which we are now in – whether it is Health South-East statements today that are correct, or whether it is what the NRK claims that they can document. With regard to the permanent situation, Health South-East has assured me that those working in this company should not have the same type of access as those working in the Hospital Partner and working in the same conditions today have, that security and security assessments are to be carried out prior to the transfer, and that a number of security barriers should also be built if and when different services are to be provided from abroad, inter alia. encryption. There are conditions to build up precisely the type of barriers, and Norwegian law is to apply.
ParlaMint-NO_2017-05-03.ana.ud198e134	Kjersti Top – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e139	This matter is much more serious than what has appeared so far in this debate. Foreign IT workers have access to patient information in Norway. Saka is nothing but a big scandal, and it's rocking the confidence of the entire Norwegian health system. I believe that the Council of State must cease to be in debt to Health South-East. He has to be responsible. The Council of State stood here in Stortingen one year ago and said that this project is not about the patient system or other systems where personal information is being processed. He said in Stortinget that there was an absolute requirement in the agreement that information security and privacy were maintained. I mean, the state council here has wanted the Storting, and that the state council can answer in this way what's happened now, I can't understand. I want to ask the Council of State in this matter, which is very serious, to come back to Stortinget with a complete explanation of the matter.
ParlaMint-NO_2017-05-03.ana.ud198e146	I cannot draw the kind of bastant conclusions that the representative makes, in the light of the case in the NRC today. I need an in-depth statement, also from Health South-East, as it is quite contradictory information that is being provided today from Health South-East, and what appears in the NRK. Health South-East claims, among other things: that the access granted is a temporary access for a limited period for twelve HPE employees for training, that this access was granted via the supplier portal and is limited to a defined period, that this access was closed on 27 April, when the training was completed, and that there are also 16 HPE persons who have had temporary access to the monitoring infrastructure. This access was only used at the Hospital Partner’s premises under the control of the Hospital Partner. This access is also closed. This is the preliminary statement I have received from Health South-East, but I need a more detailed explanation, because the NRK claims that they have evidence of something that goes beyond this.
ParlaMint-NO_2017-05-03.ana.ud198e153	Ketil Kjeseth - for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e159	The ambition to be the best in e-health in 2025 is good, but right now we need to be the best in Europe in terms of digital vulnerability and security. It's about both privacy and data security, but it's also about object protection. The basic question that the Council of State has to ask Health South-East is whether it is possible to operate databases in Norway from abroad without anyone coming into contact with personal data — which experts strongly doubt. We have to get that information. The more principle of this is – we will review the Safety Act during the spring – whether health data should be subject to object protection. It is currently not possible to provide information technology workers outside the borders of Norway with safety clearance and it is not possible for Norway to exercise supervision. Then the Norwegian law is not all the world's much worth. The question to the Council of State is whether it will consider health data as part of the Safety Act.
ParlaMint-NO_2017-05-03.ana.ud198e166	I fully agree with the representative that the first question he asks is a very central question in this matter and must also be fundamental to the work to be done in this area. As regards the issue of the Safety Act, it applies to Health South-East. Health South-East and Hospital Partners have carried out vulnerability and risk analyses that also affect conditions specifically related to the specific country, including conditions around local legislation. This concerns access to patient health information and infrastructure containing patient information, should be covered by the Safety Act. In that case, it would be a completely different discussion. In principle, health information for individual patients in Norway will not affect the State’s safety and will not therefore fall within the scope of the Safety Act as it stands today. But health south-east, as an enterprise, is covered by the Safety Act and makes these kinds of assessments, but then based on today's law.
ParlaMint-NO_2017-05-03.ana.ud198e175	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e180	It is a shocking matter that has come up, as we have been told today, about which the Minister of Health was informed a week ago, and which he still claims he does not have an overview of. We are not just talking about someone having had access from abroad – they have had access and have been able to extract information without it being possible to track it. And they've been able to give access to other people again, without being able to trace it. We almost have to assume that information about over one third of Norway's population has gone astray. Just to illustrate with a small example how serious this is: Let me take health information about abortion, which can come out, and what a threat it can be for women in a minority environment. Can one imagine other things — mental disorders, suicides, etc.? This has gone astray, out of the country. Norway is worst in Europe when it comes to security. And this is a relationship for which the Council of State has stood here in the Chamber and guaranteed security. How can the people of Norway have confidence in the Minister after this?
ParlaMint-NO_2017-05-03.ana.ud198e187	There are a number of claims in this article that have not been documented. I think it might also be a good idea for the representative to wait for a thorough statement on this matter. There are a number of the claims that are made here, which are not confirmed in the preliminary statement I have received from Health South-East, but which are conditions that we will go into. I also think the representative is wise to wait for an in-depth response, before he draws a great deal of conclusions.
ParlaMint-NO_2017-05-03.ana.ud198e192	Let's move on to the next main question.
ParlaMint-NO_2017-05-03.ana.ud198e199	It is good that the Health Council stands here, because my question goes to him. On 1 May I got a great day in Odda. Many thousands were met to go under the slogan of maintaining the acute surgical offer at Odda Hospital, which has a impact field larger than the Westfold County. On the basis of a ROS analysis, Odda is of the highest severity in the case of major road accidents. There is a great risk of explosions and natural disasters with rock and snow, they have a lot of nature, and not least they live by a lot of tourism. Increasing extreme weather means that sometimes the air ambulance cannot land, it is impossible with both car and boat transport. Today Odda Hospital is able to handle approx. 80 pst. of the trauma patients and the acute surgery patients they receive. Then they transport 20 pst. to the trauma centre in Haukeland or to the hospital in Haugesund. My question to the Council of State is: what is behind the decision of the Council of State to shut down the emergency surgery in Odda, with the trauma function they have, to sort what they can take for themselves, and what they must and will carry on, while he intervenes and wants to keep this in Flekkefjord? What is the difference between the reasons in Flekkefjord and Odda, when the Council of State intervenes anyway?
ParlaMint-NO_2017-05-03.ana.ud198e210	We have now been in a situation where there has been a year-long conflict of closures related to many of the smaller hospitals in Norway. It is one of the things that one wanted to get rid of through the Stortings treatment of the National Health and Hospital Plan, where one has defined different types of hospitals. But one of the main conclusions of the government, to which the majority of the population also joined, is that the answer in Norway is no longer larger and fewer hospitals, but that one should preserve and further develop the smaller hospitals as well. Odd hospitals are today the smallest hospital in the country, with a recording area of about 11,000 patients. It is a hospital that has experienced several times just having the funeral ghost hanging over it. Health West’s recommendation, following a thorough investigation and assessment, is that Odda Hospital should be continued as an emergency hospital, in line with the leadership of the National Health and Hospital Plan. A further plan for its implementation shall also be drawn up. I want to make sure, of course, that the further work is also in line with the leadership given in the Stortingen regarding the National Health and Hospital Plan. However, this means that the continuing concern about the continued existence of Odda Hospital as an emergency hospital is now gone, and that Odda Hospital is to be continued as an emergency hospital, is to be taken into account in the development plans that Health West is now to work with, and that apply until 2035. Odda hospitals will then receive a level offer with it as one found at other hospitals last year in Norway, such as in Lærdal and in Nordfjord – hospitals that just function very well and that provide a good security for the local population.
ParlaMint-NO_2017-05-03.ana.ud198e219	The people of Odda are concerned that the hospital is being preserved, but they are also concerned about what is in the hospital. Until today they have treated 80 pst. of those who have entered acutely, in their own hospital. Now it looks like there's a majority in this room to keep the emergency surgical offer and trauma function in Odda, which means that one should be able to separate those who are going to the trauma center, and those who are going to Haugesund, and then one should be able to deal with what you have competence for locally. What does the Council of State think now when we know that there is a majority in this room to preserve Odda hospitals? Will the Council of State come to the same decision and tell the people of Odda that we are interpolitically behind Odda hospitals, or will he recommend his group to actually oppose the preservation of Odda hospitals?
ParlaMint-NO_2017-05-03.ana.ud198e226	There is now no doubt that the hospital in Odda will exist as an emergency hospital. It shall be continued as an emergency hospital with emergency functions in internal medicine; it shall be radiological services, laboratory services and planned surgery; it shall be anaesthetic 24/7 in a 24-hour watch and shall be an outpatient facility. One must not pretend that the change in Health West has now taken place involves a closure or a path towards the closure of Odda Hospital. It's directly wrong, it's the opposite that happens. There has been no greater certainty that Odda Hospital will continue as an emergency hospital than with what has happened through these decisions. Of course, when it comes to the Storting's handling of the case, I will wait and see what the committee comes up with, but I'm going to base today's governance model, which means that it's the health company and the health company meeting that determines the content of the individual hospital.
ParlaMint-NO_2017-05-03.ana.ud198e233	There will be follow-up questions – first Hans Fredrik Gruvan.
ParlaMint-NO_2017-05-03.ana.ud198e238	Last week, the Minister of Health decided that the development plan for the Southern Hospital should be drawn up on the basis that today’s emergency functions at Flekkefjord Hospital continue. This is a very good news for Flekkefjord Hospital and Sørlanden. The Christian People's Party is concerned that there is now peace around Flekkefjord Hospital, and that there is no room for further interpretations. We therefore expect the investigations that Health South-East ordered about Flekkefjord, which were to be completed during the spring of 2018 after the decision in Health South-East was rejected, can now be scrapped. Can the Council of State confirm that the commissioned investigations are now being abandoned, so that there can be peace around Flekkefjord Hospital, and that in the future we can all be safe on the continuation of today's acute surgery and trauma functions?
ParlaMint-NO_2017-05-03.ana.ud198e245	There is no reason to worry about whether today's offer at Flekkefjord Hospital should be continued, and the work on the development plan towards 2035 by Health South-East should also be taken into account. My decision in the business meeting separated from the decisions of the board of Health South-East at one point, and that was just that point. The process carried out at Sørlanden Hospital Flekkefjord was, in my opinion, not in line with the quality requirements laid down in the National Health and Hospital Plan. I believe it would be very unfortunate for the hospital in Flekkefjord to have to live with this uncertainty for one year – it could have led to challenges related to the hospital that I believe were wrong. It was right for the population to get a clarification on the role of Flekkefjord Hospital now – and that is the role they have today.
ParlaMint-NO_2017-05-03.ana.ud198e250	Tove Karoline Knutsen – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e256	As the Stortinge dealt with the National Health and Hospital Plan, there were clear, but at the same time in principle, indications of how to maintain an emergency surgical response, so that the Stortinge should not sit down and control the hospitals in detail. Then parameters such as distance and geography were introduced, and asked that this be used as a basis for custom models that provide an emergency surgical response. In Gravdal Hospital, Lofoten, you've done just that. You've created a Gravdal model, which is a solution that stays within what the Storing has ordered, and as we see, there are many similarities between Odda and Gravdal. My question is: Hasn't the Minister of Health seen Gravdal and presented these kinds of solutions when you have had dialogue with Odda?
ParlaMint-NO_2017-05-03.ana.ud198e261	In the context of the National Health and Hospital Plan, it is quite right, as the representative says, that the government initially, but also by the Stortinget, stressed that geography, distance, climate should be emphasised in the local processes related to defining the level of preparedness within the different definitions of hospitals — in this context, emergency hospitals. It's kind of downgrading the content here will be in line with what you find in Nordfjord and Lærdal. But then it's precisely based on relationships with distance and geography you consider whether you need services and preparedness beyond that. That process has been carried out in Health Fonna and in Health West, and they have reached the conclusion they have made in the case of Odda Hospital, in line with the fact that local processes have led to other models, in Narvik, in Lofoten – and other hospitals that can now feel secure that they will continue as an emergency hospital.
ParlaMint-NO_2017-05-03.ana.ud198e266	Kjersti Top – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e273	In NOU 2015: 17 «First and foremost. A comprehensive system for the management of acute diseases and non-hospital injuries’ is referred to several studies indicating that the risk of dying after trauma is greater in sparsely populated areas than in densely populated areas. In the national trauma plan, which has recently been revised, the professional recommendations are that if there is 45 minutes transport time to a trauma centre, the patient should be transported to the nearest local hospital with trauma function. When no Odda hospitals are about to lose their emergency surgery, they also lose trauma function. Then it's between two and three hours to another hospital. My question is how the Council of State can defend the fact that people in Hardanger should not have the guarantee that people in Norway otherwise have, with the professional advice to have a local hospital with trauma function in the vicinity.
ParlaMint-NO_2017-05-03.ana.ud198e280	First of all, what's important in that kind of plan is to have a very clear understanding of what skills are available in the different hospitals. We have several emergency hospitals in Norway that are not part of a trauma team, but it has to do with the local conditions, distances and competences of hospitals, as I have explained earlier. Nor is it the case that everyone in Norway lives almost 45 minutes from a trauma hospital. And that's not the way the representative here reads, that you can put it up on that. It is also very clear in the NOU that the representative pointed out that it is the overall emergency medical chain that is crucial for the safety of the population. It starts long before the hospital. What is important is that good, predictable plans are made for this. It will also be done inside Hardanger.
ParlaMint-NO_2017-05-03.ana.ud198e287	Terje Breivik – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e292	Both the Left and the Party of the Minister opted for the introduction of a national health plan in 2013, with the aim that, after the establishment of the enterprise model in 2002, the Stortinget should take back the superior governance of the specialist services. The health plan is now a reality, and the uncertainty that has prevailed around many local hospitals after eight years of red-green plurality is usually removed – great! Then, unfortunately, there is one important exception to the rule, that is Odda, with the decision to close the emergency surgery. One thing is the security that acute surgery represents for the local population, which many people have pointed to, but perhaps just as important is the role of the function in making the hospital attractive to other medical groups. It has been claimed, with great concern, that the decision is thus seen to be the beginning of a gradual bottling and closure of the hospital and still insecure. Does the Minister understand this argument, and what is his answer?
ParlaMint-NO_2017-05-03.ana.ud198e299	I have a great deal of understanding of the turmoil and commitment that is in Odda, related to the changes that have been adopted at Odda Hospital. What has been important to me, and which I also feel the representative agrees with, is that that concern is no longer about whether the hospital should be laid down, as it has done many times before. The hospital shall continue as an emergency hospital. There are often a number of claims about what that kind of change will lead to. Then it is important for me to stress that the model chosen here is not a desktop model, it is a model that is well tested in the Norwegian healthcare system, precisely in hospitals that have found that they have found peace and predictability around their further operation, which has also provided security for recruitment. There are a number of hospitals in Norway operating within it and corresponding models, which are just ending up and which also have good recruitment.
ParlaMint-NO_2017-05-03.ana.ud198e306	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e311	The representative of Bollestad has been to Odda on 1 May. I think an SV is about as happy to see a KrF in May 1st train as a Krf becomes to see an SV in the church – so it was fun. It can be mentioned that even Odda Right joined the 1st May train this year, correctly with blue posters, but it was the same protest against the party's own Health Minister from the Right People as from the others on the 1st May train. The signals received in the last few days from the Workers' Party indicate that there is a majority in the Grand Duchy to prevent the closure of the acute surgery. Then I would like to ask the Minister of Health, since he instead explained how he thinks the system should work, namely that it is the company that decides – it is nevertheless the Minister of Health who has approved Health West’s plans at the business meeting – I consider it a matter of course, but would like to have it confirmed that if a decision were to be taken in the Stortinget that points in a different direction, the Minister of Health will follow it up and make sure that it is put into practice.
ParlaMint-NO_2017-05-03.ana.ud198e318	I am dealing with what is today's governance model, and we may be able to follow up if the majority of the population decides not to follow it in this case. Today's management model suggests that it is not the Stortinget that takes a decision on e.g.: the types of competence to be held in individual named hospitals. It will be a new practice, which, as far as I know, has never happened after the state assumed responsibility for the hospitals. It's something that each party has to think through the consequences of, if one violates that principle. It's always a good idea for a government council to follow up a decision on big business. It's always been like that, and it's always going to be like that.
ParlaMint-NO_2017-05-03.ana.ud198e325	Let's move on to the next main question.
ParlaMint-NO_2017-05-03.ana.ud198e332	My question goes to councillor Höie. The government is pursuing a hospital policy with new interventions for emergency surgery that is not professionally anchored. In the national health and hospital plan, the ‘local hospital’ disappeared. The government thought this was not accurate enough. Thereafter, hospitals were to be defined as ‘regional hospitals’, ‘major emergency hospitals’, ‘acute hospitals’ or ‘hospital hospitals without emergency facilities’. The survey concluded that all emergency hospitals should be prepared for surgical evaluation and stabilisation and management of acute events. The question is what this means. In the national trauma plan, it has been established that in the event of injury and accident, long-distance patients are to be transported to local hospitals with trauma function. What a local hospital with trauma function must have of emergency preparedness is precisely defined in the national trauma plan. They must be prepared for surgeons, anesthesiologists and trauma operators. The term ‘surgical assessment and stabilisation’ is not defined, either in the morbidity plan or in the national trauma plan. It's a politically constructed word, with no professional realities. It is appropriate to conceal the debate, to give false security and to make people insecure – contrary to what was meant by the National Health and Hospital Plan. Of course, this cannot continue. State councils may be able to answer the Biggest question of what this means in practice. As one example, the Council of State has confirmed that Narvik hospitals should have emergency hospitals prepared for the surgical assessment and stabilisation and management of acute events, but it should not have surgeons for the 24-hour period. How is this professionally possible? I don't understand. We now have emergency hospitals that should not be able to accept acutely ill patients. My question is: How will the Council of State ensure the preparedness for surgical evaluation and stabilisation without the need for hospitals to have surgeons on guard?
ParlaMint-NO_2017-05-03.ana.ud198e345	There are very few acute hospitals — perhaps just one — in Norway that can receive all emergency patients. The whole idea behind the National Health and Hospital Plan is that hospitals need to cooperate in networks, including emergency patients. It's nothing new. That's how it is today. Many emergency patients are being sent by the nearest hospital today, simply because the nearest hospital does not have the competence to handle that particular patient. The importance of this quality is that there are good plans and predictability for the types of competence and the role of the individual hospital in relation to various types of emergency incidents, and not least that the prehospital services have knowledge of it. The model underlying the definition of the national health and hospital plan as the minimum offer in an emergency hospital is from Nordfjord Hospital and Lærdal Hospital. The discussion of the contents of Nordfjord Hospital should not be unknown to a central party representative of the depository. We all remember the episode where the leader of the Central Party stood in North fjord and told the people that they didn't know what they were talking about. The model of the future local hospital that was developed and launched under the red-green government is the model that also forms the basis of the National Health and Hospital Plan, with which we now have many years of experience, including: from Nordfjord and Lærdal, but also from other different types of solutions in the case of a smaller emergency hospital. If a reason – as if the Centre Party is doing – is a much higher requirement to be allowed to be an emergency hospital, there will be very many of our smaller hospitals today that will not have the opportunity to be continued as an emergency hospital. This would lead to a centralisation of the hospital structure in Norway.
ParlaMint-NO_2017-05-03.ana.ud198e355	Maybe there's someone else here who doesn't know what they're talking about. When it comes to trauma patients, it is not right that most people go past the local hospital. One can read in the National Trauma Plan that most are actually treated in a local hospital. I'd like to refer to a letter that the committee received from Torben Wisborg. He's a professor and leader of the National Traumatology Competence Service. It's dated March 28th. He writes: ‘In the closure of emergency preparedness in Norwegian hospitals, the distance and time to life-saving treatment will necessarily increase. [[...]] And on the other hand, ‘When introducing new concepts as assessment and stabilisation teams, it is important that they contain something that is actually useful for patients. An assessment and stabilisation team that is less competent and less competent than today’s emergency hospital is to trick patients and the population.’ [[...]] I would like to ask again: how should a certain surgical readiness for evaluation and stabilisation be ensured without the presence of surgeons on guard?
ParlaMint-NO_2017-05-03.ana.ud198e374	Among other things, one can do it the same way that one does in North fjord and in Lærdal, where those who work there give an entirely different view, that this works very well. The management at Nordfjord Hospital says they haven't experienced the kind of episodes that many say will occur in the past twelve years. There is therefore a long experience with this model. At the hospitals in Nordfjord and Lärdal, a medical emergency team is established to take advantage of the overall competence of hospitals. This team is made up of spinal surgeons, internal doctors, anesthesiologists and general surgeons or orthopedians and may evict if there is a need to assess a patient also outside the hospital. At Lärdal Hospital there is an orthopaedic watch system associated with the planned surgery, and in Nordfjord it is linked to the outpatient clinic. Anaesthetics can implement stabilising measures and possibly also accompany transport.
ParlaMint-NO_2017-05-03.ana.ud198e381	There will be follow-up questions – first Janne Sjelmo Nordås.
ParlaMint-NO_2017-05-03.ana.ud198e387	Narvik can now become a hospital that does not accept acutely ill patients who need surgery. Taking care of acutely ill people is probably some of what most people relate to just having a hospital. How should Narvik be ensured for acute event assessment and stabilisation when the acute surgery is shut down and the surgeons are removed from the emergency department?
ParlaMint-NO_2017-05-03.ana.ud198e392	In Narvik, I find that there has been a good cooperation between the hospital, the municipality, the University Hospital North Norway and later Health Nord to find a good model for the further development of Narvik Hospital. It is that there will be a gastro-surgical offer in addition to the usual opening time and beyond afternoon and evening. That means it will be possible to handle gastro-surgical patients, 90 pst. by the acute patients, within that time. There will also be an expansion of the orthopaedic offer, which has been important for the Narvik population, among others. to prevent older people with femoral fractures, for example, from being driven on the long road to Harstad in order to receive treatment. I feel that the model that you have come up with in Narvik is a good model, which is also within the requirements of the National Health and Hospital Plan.
ParlaMint-NO_2017-05-03.ana.ud198e399	Tove Karoline Knutsen – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e405	Moving from an existence as an opposition politician to a positionist can be a test for any politician, but the spouse of the shock that the Minister of Health has caused himself must be looked for a long time. Not only was he strongly opposed to any sensible use of ICT in the health sector when he was in opposition – which he admitted here in Stortinget, unlike what he said at the outset today – but he also said that national health and hospital plans should be a complete and exhaustive management tool, and even regional health companies or other schemes were not needed. All the doors would open, and was it against presumptuously someone who was dissatisfied, they could go to the Storting and ask to get the matter resolved. Today, Stortinget has tried to get the Minister of Health to solve the unresolved problems with some hospitals. We mentioned Odda. The size has dealt with the national health and hospital plan and has provided good leadership. Was not the plan as exhaustive and complete as the Minister of Health thought it would be?
ParlaMint-NO_2017-05-03.ana.ud198e412	It may be a shocking experience to go from opposition to position, but when I look at the Workers' Party in opposition, I think it might be an even greater shocking experience to go from position to opposition. Especially does it have to be shocking to the memory sometimes. I think it is quite obvious how the National Health and Hospital Plan has worked in line with the way the parties also went in to ensure greater political governance. It was all parties outside the Workers' Party. We see that the very uncertainty that has been around a number of the smaller hospitals is now resolved. Some of them have been through processes. Most local processes have been good. There have been some exceptions linked to this, including: in Flekkefjord, and there have also been consequences. That decision is now the basis for the 2035 development plan. That means that the hospital map for Norway is drawn for the future, and I think that will bring peace and predictability.
ParlaMint-NO_2017-05-03.ana.ud198e419	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e424	I don't think anyone in this room disagrees that all hospitals can't do everything. We have to have some national functions, and we have to have some regional functions. Still, there's something I don't understand in this sequence. We say we should have an assessment and stabilisation competence in surgical patients, and we have specialists in Norwegian hospitals called surgeons, precisely because it's their specialty. How, then, can one explain that one must be prepared for assessment and stabilisation skills to be done by non-surgeons? I have also received signals from Narvik that, although there are surgeons at work, they are not allowed to take measures that they have the competence to do, after noon. 15th That's when the patient is to be transported. That's what the hospital is left with for duty. Then I ask, what does the Council of State think about this use of words about evaluation and stabilisation without a surgeon?
ParlaMint-NO_2017-05-03.ana.ud198e431	Firstly, the term ‘surgeon’ is a simplification of what is today’s reality and the reality of the future. There is considerable specialisation in surgery. That means that any surgeon cannot do any surgical intervention or evaluation. Therefore, it is incredibly important that each hospital also has a very specific assessment of the type of emergency patients going to the hospital and the assessments to be made by the individual hospital. As far as Narvik is concerned, it is clear that there should be a gastro-surgical offer in addition to normal working hours, in the afternoon and evening, which would mean that the gastro-surgeons who are at work then could also be used in the assessment and treatment of emergency patients when appropriate.
ParlaMint-NO_2017-05-03.ana.ud198e439	Let's go to the next main question.
ParlaMint-NO_2017-05-03.ana.ud198e446	My question goes to the Minister for Children and Gender Equality. In a modern and complex society, it is essential that we be able to maintain a situation similar to that of the law and that we have common rights and obligations. Yesterday, in the morning of the NRK, we could hear that nightlife discrimination is widespread in Oslo, and that the municipality of Oslo has again revealed that there is discrimination in several of the city's outdoors. Typically, people with a minority background are denied access to outpatients, whether they are on the grounds that they operate with guest lists or that they are full. Discrimination, according to the control authority, is mainly based on skin color, although there may also be other examples of discrimination. According to the director of the Business Administration in Oslo, there is a great darkness. Over many years, reports from minority youth have come to light that there is discrimination on the ground, and that you are well aware of where you have limitations and it is difficult to get in. Discrimination in the open air shall not occur. It is illegal, and it is a serious discrimination that must be severely combated. In the past, the municipalities themselves were able to determine the severity of the reactions to various infringements, and it was therefore possible, as for Oslo Municipality, among other things, at former business bureau Hallstein Bjercke, to put in severe reactions in order to overcome this discrimination. My question to the Council of State is: does the Council of State have any initiatives, or what does the Council of State think can and must do in order to finally overcome the discrimination in the outdoor sector that we know is taking place?
