ParlaMint-NO_2017-10-11.ana.ud219e20	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2017-10-11.ana.ud219e131	There will probably also be a new government platform, on which we heard it will be negotiated, so that we will get a new debate on what a possible Solberg II government will stand for. That's still Solberg In our relationship to. Yesterday the Prime Minister said that she was going to take responsibility for the whole thing – she warned the Storting against resolution-making. But here in Stortinget, I think we can assure you on behalf of the Workers' Party: we must be constructive, we must make proposals, we must have an impact on our policies. Of course it has to be responsible. I'm still looking to understand: what's new in the approach of the government to a new majority in the Grand Duchy? In the last period we had four parties with an agreement, and we also had a Progress Party that was one thing in government and one thing in Stortinget. It was a new contribution to our parliamentaryism. So now we get a majority here -- the government has lost its majority, it's a minority government. How will the Prime Minister, and perhaps in particular the parties in the Grand Duchy, the Right and the Advance Party, because those who are to have the policy implemented and have the majority here, deal with a great deal that no longer has an agreement on majority voting?
ParlaMint-NO_2017-10-11.ana.ud219e138	Let me first say something about a new platform: it is that the two government parties and the Left have agreed that we will continue discussions on possible forms of cooperation in the future. In that work, of course, we will also discuss which projects and individual matters will be between the three parties. We'll conclude with that, if we agree. Whether that means government participation for an additional party, or whether it means further cooperation in the Storting, will be seen, but there will be a basis for some political individual case clarifications. Our starting point is – as it stood in the Common Era, and as I said in my post – that there was a non-socialist majority at the four parties that stood together in the previous period. That's what I'm experiencing is the area we'll primarily consult first, but we were open in the last period and are going to talk to all parties about the important, big issues. We have always known that we were a minority government, even though we had an agreement in the previous period, and we will strive to find good common solutions in the goal of a sustainable welfare society, security for Norway and to keep the direction of development in Norway.
ParlaMint-NO_2017-10-11.ana.ud219e145	In one area, this government has been remarkably passive, and it is taking action that the proportion of us who are at work is falling. I heard the Prime Minister now say that in 2014 it was pointed out that Norway had suffered a decline since 2008. Yes, all OECD countries had a decline in the share of jobs after the financial crisis, but Norway is the exception that has only continued to decline. In the last four years, in the last twelve quarters, there has been a decrease all the way. This is in many ways the bomb under the welfare state and the revenue and implementation of all that is in the perspective notification. Once again, I miss the government's specific policy. We're talking about qualifying people not being allowed to go out to date. But these are words and headlines – where is the policy to address this major problem, which just seems to be increasing? In 2013, Erna Solberg was among those who talked most about alienation. That outsider has continued to grow. She almost doesn't talk about it anymore, nor is it politics to see. How will the government implement policies to increase the number of people at work, reduce the proportion outside the job – especially the proportion of young people who are currently outside the job?
ParlaMint-NO_2017-10-11.ana.ud219e152	I am very pleased that the Workers' Party now realises that the development of employment in the years from 2008 to 2014 has gone in the wrong direction. The biggest case we had in the employment share was in that period. I think we should have a professional approach to that, because there are different reasons and different reasons for this. What we've seen in this period is that we had a further fall in the employment rate below the oil price drop. What we've seen in the last two quarters is that it's now stabilized. The forecasts available are that the employment rate will increase in the future. And fortunately, from the second quarter of 2016 to the second quarter of 2017, employment in Norway has increased by 24 000. It shows that the signs of the economy are better. We've done a lot of things. Among other things, we have the doubling of the funds for the Skills plus Scheme, a mechanism established under the previous bourgeois government, which we continue and strengthen, and which contributes to competence. We have many additional measures that the representative will have the full opportunity to join during the year.
ParlaMint-NO_2017-10-11.ana.ud219e162	Persistent decline in the proportion under this government: when we left, the proportion was about the same level as when we went into 2005 — but enough about it. Other important conditions in the labour market are inactivity, semi-crime and total crime. I noticed, as I quoted in my speech yesterday, that the National Association of Construction, an NHO association, pointed out that there was a lack of leadership and implementation of adopted policies and supervisory authorities to clean up these conditions. This is probably an area where I think the government is talking about politics, they say they're sending it to the hearing, but they're not implementing politics. Just before the Storting went apart, almost 30 proposals were voted down here that would address this fundamental relationship of job security for people who are out in our labour market and who experience unprofessionalism. I think this – in addition to the falling proportion of people at work – is one of the greatest threats to maintaining core qualities in our welfare community. Will the government now show the leadership and actually implement measures that clean up the parts of the labour market where there are unprofessional conditions?
ParlaMint-NO_2017-10-11.ana.ud219e171	In the period from 2008 to 2014, almost all new jobs were made available to people who came to Norway as migrant workers. We couldn't have a better policy to get the Nordics who lived in the country, or the immigrants who already lived in the country, more out to work. It's our big challenge, and I think we should agree on that. The red-greens couldn't do that. We have to have a different policy when the growth is now back, than the one that was before. This government has ambitions about it. In the field of labour crime, this government has created an action plan and a renewal of the one that has many concrete measures, including: demand that we have apprentices for all public tenders. There are also a number of other requirements. We've built new work centres, and that's a good job. In addition to this, we are now working with clear initiatives towards the European Commission in relation to our experience of cross-border movement creating problems because it is not followed up in other Member States. We are now working on this initiative to put on the agenda practical solutions that help us to implement many measures, which are difficult today because other countries do not follow up on their responsibilities.
ParlaMint-NO_2017-10-11.ana.ud219e180	The problem is that those who are close to this do not notice anything about the initiatives they see no difference. But let me take a final question about the budget. This is a budget leak, but it's very, very small, so the Prime Minister should be able to give it. A few days ago, the Minister of Culture announced that she would cut off support for the Islamic Council of Norway. It was done after an overall assessment. I think I support that assessment, that it was right to do that. It is regrettable that this organisation is now losing its reputation, because it was important in the dialogue that was between life-vision societies. However, there is another support, at about the same level, that goes to the Human Rights Service, an organisation to operate under the grant scheme Grants to the national resource environment in the integration field and to engage in dialogue and integration. It does not operate them; they are engaged in stigmatisation of immigrants, Muslims, who are now to be photographed and hung on websites. We, as large communities, can show a clear view of this. We're not going to have harassment of minorities, so the aid can amount to 1.8 million. kr from the State budget is withdrawn. Then we send out a clear signal about where our standards and values stand. Will the Prime Minister do that in the budget that comes tomorrow?
ParlaMint-NO_2017-10-11.ana.ud219e191	The budget coming tomorrow was completed long before the campaign that HRS has now made, so the light of day. It is true that the budget line has been used to finance many different organisations contributing to integration, but primarily to the public debate on integration and immigration. When I was a municipal minister responsible for this, I used to say that I kept alive in everyone who spent most of his time filling the newspapers with criticism of me. That's a little bit of the price of democracy. We also fund our critics, we contribute to the hearing of votes, and we contribute to the breadth of the discussion. In fact, I think the discussion about that organisation can well be a discussion about exactly what they contribute to in terms of integration, but then we need to have a discussion about: are we going to fund a wide range of voices in the field of immigration and integration, or are we going to just fund those that we like what we say? It's actually a new principle in democracy if we're just going to finance them as we like what we say.
ParlaMint-NO_2017-10-11.ana.ud219e202	The parliamentary leader of the Progress Party, Hans Andreas Limi, announced yesterday that there would be a new government platform for the Right and the Advance Party. In the answer to Erna Solberg instead, you could hear that there would be some simple clarifications. Let's go back a little bit in history. In 2009, when the red-green regained power, we sat down, we negotiated, we presented a new platform where we showed direction and direction for the country, before the throne debate. My question to the Prime Minister is, Is Limi right? Is it going to be a new government platform, or can we just experience this government as a business ministry that doesn't have a plan that doesn't have a course that doesn't have a direction? I hope we can get a clear answer from the Prime Minister when it comes, and possibly why it does not come.
ParlaMint-NO_2017-10-11.ana.ud219e209	The throne showed the government's course. My article showed the government's course. It is a sustainable welfare society with all the policies that belong to it: mental health, integration policies, ensuring that more people come to work, ensuring that jobs are created, providing entrepreneurs in several areas. The government is not empty for policy. We have lots left. We have both the Health Declaration and other things that show the direction of it. But we have a political situation where the two government parties are going to negotiate with the Left about a possible government participation and a common platform with a completely new party. That makes us take that investigation and possibly the round of negotiations first. When we're done with that, we'll figure out if it's based on that, and then we'll have a platform that includes more than two games – three games. It would be totally unnatural if the two government parties were to create a common platform, negotiated between themselves, and then entered into negotiations with a third party on a possible new platform. It is true that there are three parties negotiating – with their three political programmes.
ParlaMint-NO_2017-10-11.ana.ud219e216	It's really impossible to understand the answer, because I get the impression that Erna Solberg, the Prime Minister, does not know even if she wants to have a new platform if the Right and Advance Party are going to rule on. It's very neat about the Storting and how to govern the country, that a government has a direction, a course, new ideas, and possibly better solutions to what one wants to achieve with power. It would be strange that it's only if the left goes in, that you have new ideas and better solutions, and a course and a direction. Yesterday we saw an example: Jan Tore Sanner was here, and he said that the municipal reform should continue. How is it going to proceed? Is there going to be more coercion? Is there going to be big, new bureaucratic processes around all the municipalities of the country? Or do you want to give work rest so that you can talk about content instead of structure? It owes a government the country. There must be predictability, and there must be clarity. I wonder again: is there going to be a new platform? And what is the plan, if any, in the community merger discussion? Or doesn't the government have a plan?
ParlaMint-NO_2017-10-11.ana.ud219e223	I actually think the representative Trygve Schlagsvold Vedum is a little bit faster than what he's giving the impression on the pulpit right now. I think he's very well understood what the political situation is, and that we're going to interact and discuss. In addition, we have political programmes, we have a large Sundvolden platform, we agree on the number of thrones and the direction forward. So I think people outside this hall understand what the government is saying, and what I'm saying about this. Of course, we have to negotiate how we detail all these areas. As regards the municipal reform, Jan Tore Sanner showed yesterday the agreement between four parties at the treatment in Stortinget, who said that the municipal reform should continue in the next period. That means we want to talk to the four parties that agreed on it, and then we want to design, based on the four parties, guidelines for it. This is, in fact, to follow the majority of the population who have expressed themselves in the context of landfill treatment, and it must be a minority government that is serious and serious. I'm going to do that in all areas.
ParlaMint-NO_2017-10-11.ana.ud219e230	I thank the Prime Minister for thinking I'm quick!
ParlaMint-NO_2017-10-11.ana.ud219e235	Take it as a compliment!
ParlaMint-NO_2017-10-11.ana.ud219e240	I've had a lot of things happen in the world over the last four years since the Sunvold Declaration. For example, IS has appeared. We have experienced that Russia has annexed a neighbouring country. A great deal has happened in both world and national policies in four years. Therefore, it is quite natural and quite right, if you are given a renewed opportunity to have government power, to go through what is the situation now. What's the plan? What is the strategy? What messages should we provide? How to plan the Norwegian public sector? Some of the planlessness that we've seen applies, for example. regional reform. Now I want to give Erna Solberg an opportunity: does Erna Solberg think it was very reasonable, what happened in the spring of this year, that you coerced Buskerud, Akershus and Østfold? Does Solberg think it is a well-functioning region that you have it from Halden to Hardangervidda? And does Solberg think it's a defeat if Stortinget now corrects the mistake that happened in ours?
ParlaMint-NO_2017-10-11.ana.ud219e248	The starting point for the two government parties was that both of them are followers of the fact that we have two levels of government in Norway. We believe it is a challenge with a regional level, because there are too few political tasks left for it. We've accepted that we're the only two parties on the Stortinget that believe it, and that's why we've said yes, we're going to do something beyond the regional level that makes it better, stronger, more forward-looking, more effective. This is the basis for a regional reform involving different drawing of the map. This is the fourth time since 2000, that we have a discussion in Stortinget – the one we had in ours – about the regional level. This is probably an example that we haven't found the right type of regional level, and then we're trying something new. I understand that the Central Party wants to go back to what has repeatedly been shown that those who are for a regional level are not satisfied with, and everyone has thoughts that we should do something else. Now let's do something else. Of course, you can discuss whether what we've done is perfect. But our problem is that we need to move forward in these discussions, and now we are organizing ourselves in a way that is more efficient and helps to solve some of the common areas of a housing and labour market.
ParlaMint-NO_2017-10-11.ana.ud219e253	It was interesting to learn that the government has two main projects – not so surprising to note that neither the increasing inequality of power and wealth in our country nor climate policy are among the main government projects. In the throne, the government announced tougher times. There's good reason to fear that it means that it'll be tough for those who have the least, because the experience with this government until now has been that it listens most to the economic elite. It'll hardly get the load this time either. The government has behind it a four-year period in which, despite large, large-scale use of money, it has carried out a series of unsocial cuts, affecting those at least in the Norwegian community. Now there's a parent rebellion on the move linked to one of the cuts, that's within the care scheme. I wonder what the Prime Minister has to say to the parents who have so bravely stood up and show the raw consequences for their children of the new rules. I wonder if it makes the impression on the Prime Minister, and whether she is willing to make changes to the system.
ParlaMint-NO_2017-10-11.ana.ud219e262	A sustainable welfare society – as I also said from the very Chair – includes the challenges of adapting to new climate requirements, we are going to ensure that our climate objectives are met. It's part of the sustainability concept. I thought it was quite obvious. What is important to us is that welfare sustainability is also about combating major differences in a society and ensuring further development, so that everyone can make use of their opportunities. It is therefore wrong when the representative says that climate issues and inequalities – and the causes of inequality – are not part of the main government projects. It's part of the sustainability of our welfare society in the future. It makes a lot of sense to me to see people who have difficulties with care money – they have had that for many years. Therefore, for many years on Stortinget, the right-hand side of the street was thwarted in order to get an improved care allowance system. For six years we challenged the red-green government here in Stortinget to make improvements for many of those who felt the then legislation worse. Now we've doubled the arrangement, we've made improvements, and we've done some tightening. A lot more people now get an opportunity that the red-greens didn't give them. [[The President cut off]]
ParlaMint-NO_2017-10-11.ana.ud219e269	The number is out. - Audun Lysbakken, please.
ParlaMint-NO_2017-10-11.ana.ud219e274	My question was not linked to the improvements in the care scheme, which we wholeheartedly support. My question was related to those who get paid less, and to those who are affected by time constraints that mean that seriously ill children do not have the parents with them when they need it, or that families have to choose between the safety of the children and the security of the economy. We have to make sure that the families who may have it tougher by all in Norway do not make that choice, that they will have security for their economy during the time they have to be present for their children. Then we have to reverse the change that was made, linked to the fact that one does not get full pay for more than one year. It must be a simple principle, that one can receive a care allowance for as long as the child needs it. There are proposals for consideration in the Storting on this. I think it would be interesting to clarify from the Prime Minister whether that is how she refuses to make changes to the restrictions that have been made.
ParlaMint-NO_2017-10-11.ana.ud219e283	First, I would like to say when the representative Lysbakken continuously mentions what has been cut in the care allowance – I have also heard representatives from SV say that it is to finance tax relief for the rich – that we have doubled the payments from the state budget to the care allowance scheme with the reform we have implemented. So we've taken the promises for the care scheme that the red-greens wouldn't take. But when we extended the scheme for many of the parents who felt that they did not receive care, that it was unpredictable, bureaucratic and difficult, we had to see if this scheme was sustainable if we were to have so many more. That's why we've made some changes to make you get the same compensation you'd get if you were a grown-up for a year, and then you'd switch to other arrangements. Of course, we're able to look at changes. Among other things, we agreed with the change that was made at Stortinget, which just means that with the most seriously ill children they have an opportunity to apply for longer periods of time within this scheme. It is an exceptional rule that was adopted during the course of the Stortinget proceedings. But it costs an incredible amount of money. We've doubled the payments to the care scheme, we've invested in this, which is important to us. We can make improvements to these arrangements, but it has to be done within an economic framework that we know has worked, and we have to make sure that we do not assume the responsibilities of the municipalities through this. [[President clubs]] [[The President cut off]]
ParlaMint-NO_2017-10-11.ana.ud219e292	The number is out. – The next replicator is Trine Skei Grande.
ParlaMint-NO_2017-10-11.ana.ud219e297	I am pleased that the Prime Minister refers to competence as an important part of the job of getting more people to work and more to succeed in the Norwegian labour market. If we're going to be able to build a welfare state that's sustainable in the future, it's important. But I think maybe she talked very little about building skills at the very least, those who are going into Norwegian school today, who are going to create the working life we're going to live on. They're going to be able to deal with major changes in Norwegian working life, where we're going to move to a greener economy, where we're going to go to a greater degree of robotization and automation, and new technologies are going to be put into effect. We're going to enable them to meet the professional lives of the future, which none of us really know. It didn't get much space with the Prime Minister. Is the Prime Minister equally concerned with building skills of the very least she is when she talks about how important it is to build it in those who fall out of the labour market?
ParlaMint-NO_2017-10-11.ana.ud219e304	I also said that there was an incredibly important commitment to early action, to making sure that children are equipped to cope with the future working life. It's incredibly important to do that. It is incredibly important that we achieve a better target than what we have done so far in Norwegian society, that young people are given the skills that enable them to cope with the labour market. Very many of the young people who become disabled because of mental problems have a combination of problems, both things that have happened in their lives, and also a school that has not been good enough to catch them up and be able to give them competence. That's why it's so important that we think about early work in terms of the work we do at school, which needs to be focused on an effort that reaches those who lag behind. It has been the government's clear and clear message. The second thing we have to do is take early action in childhood, which means that child protection, which causes mental health for children and young people, to a large extent, to be taken seriously. We have cooperated on that, and I hope we will work together on that in the future.
ParlaMint-NO_2017-10-11.ana.ud219e311	I want to continue with the care allowance scheme. It's a very good arrangement we have, that parents with seriously ill children can get support to set up. There are two reasons why this is very good: it can give the best everyday life for seriously ill children, but it can also make it cheaper overall for society because parents get the opportunity to set up.
ParlaMint-NO_2017-10-11.ana.ud219e316	And it's quite right, as the Prime Minister says, the blue-blue government has expanded the arrangement from the red-green government, but we don't have to let the red-green put the list for what's good enough. There are also limitations to this system that I think are problematic. I think, what is the business community asking for? Yes, they're asking for security and for safe havens. It's also the birthright of these vulnerable families. So my question is, Will the Prime Minister look at improvements?
ParlaMint-NO_2017-10-11.ana.ud219e320	We are always open to look at improvements in arrangements. We've made a big improvement, which has included a lot more, which has made it easier. A lot of parents with nursing children felt that they could get help for a little while, and it was over, and then it was ‘on’ again. Now there's more predictability. There is more flexibility in the scheme. But it's a challenge when you've made a better system, for a lot more people – that you shouldn't have a time limit for how long it should last. For the care scheme is a temporary scheme, not a permanent scheme. The permanent arrangements in our aid system have been the aid system, which can help you hire someone to help you and the municipal system. That's why it's not without limits, what we can do, because what we can quickly lose is part of the other measures, and you want to point out that it's easier if your parents are home. Instead of adding to the help they need from the public, it comes instead of that help. It's actually not going to be an improvement, it's going to be a deterioration.
ParlaMint-NO_2017-10-11.ana.ud219e327	Yesterday, the class struggle brought new figures from the kindergarten sector. Two examples: Grenland Kindergarten drift AS, where owners had injected NOK 540 000 in 2006, sold in the summer of 206 million. kr – a capital return of 81 pst. every year. Children's sports garden AS, where the owners made 410 000 kroner in 2008, sold in summer for 160 million. kr – a capital return of 111 pst. Every year. Such returns do not exist elsewhere in the legal economy. It is necessary to engage in lukewarm activities in order to obtain an equivalent return on capital. Here comes all the money from government grants and parental payments. I wonder if Prime Minister Solberg believes that that kind of private profit on public funds and parental payment is compatible with ensuring the sustainability of well-being.
ParlaMint-NO_2017-10-11.ana.ud219e334	I think that the debate on private participation in welfare requires a slightly different perspective than the perspective that Red brings into it. First of all, all children receive the same type of social benefits in Norway, in relation to what it is like in the municipality, according to the operation of kindergartens. Then it is true that in some municipalities you have – before – a free space. In the process of building more kindergartens, there have been many relief measures to do so. You might have thought better about the regulation at the time you did it, who you thought it would happen, or something else, but it was a ‘drive’, an activity, to get enough kindergartens, and that, by means of these, has given us full kindergarten coverage. Then I am concerned that we need to have competition in some areas, also in order to get better quality. For example, when you have: called open-air children's gardens, there's some of what private people have contributed significantly more of, which means that we get more freedom of choice as parents when we're going to choose kindergarten.
ParlaMint-NO_2017-10-11.ana.ud219e341	So the line change is over. We go back to yesterday's list of speakers. The following speakers shall have a speaking time of up to 3 minutes.
