ParlaMint-NO_2017-10-18.ana.ud398e28	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2017-10-18.ana.ud398e186	The challenge facing the Ministry of Agriculture and Food budget is that some of the organisations that have received money there for historical reasons also receive money from elsewhere and are in a slightly different situation than other organisations, such as the United Kingdom. children’s and youth organisations that receive much less money because they have not had a particular connection with that sector in the same way, despite perhaps doing such important voluntary work. There are some unfairness in how we allocate appropriations to non-governmental organisations, which I think we should look forward to. We're concerned that we're going to have a growing and increasing volunteering in Norway, but it's not certain that keeping exactly the arrangements that have been in the past is right. But I disagree with a statement from the representative if, in principle, we are supposed to say that volunteering should not have public support. I don't think that's what the Ministry of Agriculture and Food meant either. Mass volunteering will need a system such as Norwegian, including basic support, but then we should have objective criteria, and that is not the background for those support schemes in the Ministry of Agriculture and Food. There have been historical reasons and not objective criteria for who has received money or not.
ParlaMint-NO_2017-10-18.ana.ud398e191	Let's go to the next main question. The President will encourage those who have additional questions to move forward in the Chamber. I'll call you next, and then you go ahead. Then we'll get more progress in the questionnaire and maybe space for more questions. Marit Arnstad – for main questions.
ParlaMint-NO_2017-10-18.ana.ud398e201	We're going to continue on the same subject. I have to say, I'm a little surprised that the Prime Minister is minimizing this issue. Yes, there's enough small money on the big government budget, but it has very big consequences for the organisations that are now being hit by cuts. The voluntary sector cannot be replaced by State measures. The voluntary sector plays an invaluable role, the state cannot solve everything. Through the voluntary sector, we get ten times out of the resources deployed — cohesion, and people work free of charge for society, for social inclusion. On his blog last summer, the Prime Minister wrote about volunteering: ‘Freedom is an important force in Norway. Making an effort for others also gives something back. At the same time, it promises our society." I could not agree more. But the more incomprehensible it is that one reduces support to so many organisations. It concerns the Forest Company, Animal Protection, Public Reaction New Animal Policy, Hage Company, Food Center in Oslo, Nature and Youth, NOAH, Birötterlaget, Norway's Well, Building Youth Act, Norwegian Salmon Society, Norwegian Cultural Heritage, Spire, Young Entrepreneurship, 4H, Norwegian Children's and Youth Organizations Council, Legal Advice for Women, Jussbuss, Jussverdienstingen in Bergen, Jusshelpja in Nord-Norge, Norwegian Association for Developmentally Disabled, NOAS, Pro Centrete, Support Centres against Incest, Church Bymition, Gate Lawyer in Stavanger, Tromsø, Bergen, Kristiansand, Trondheim and Inland, to name a few. This is not the case in the big government budget, but the question remains: why was this necessary, and what consequences does the government think this will have for individual organisations and for volunteering as such?
ParlaMint-NO_2017-10-18.ana.ud398e215	It is the case that many positive increases are also made in the budget for non-governmental organisations. Among other things, the framework for volunteering centres is increased by 15 million. kr, which triggers more voluntary work through the unorganised voluntary work, and there is an increase in the VAT compensation scheme, a total of 11 billion. kr. We're increasing the response to child poverty by 26 million. kr, which are actions that go to organisations that are active for the most vulnerable and those that need, for example. holiday and leisure services. So it's not that the picture is that we cut over a low shoe to non-governmental organizations, the picture is more varied than that. In an area where the cuts are in the budget of the Ministry of Justice and Defence, it is because we are also making other priorities that help us to increase and support under legal support. I have to say that in any state budget you have to go through and see what are the main priorities in the future, what is the most important thing we have to do, what new measures we are going to take. In the future, all the new measures cannot come to the top of the old ones, so there must be new measures instead of the old ones. So when we have a protective measure order that increases by 47 million. kr, which thus contributes to better legal rights and help to the weakest, and it is not possible to have room for all the other arrangements. We have reached a point where it is no longer that we should not have cut and changed the state budgets – so we have done so in this state budget.
ParlaMint-NO_2017-10-18.ana.ud398e222	The cuts are systematic — in the department by department — all over the poultry. Maybe the cuts are suggested because the government knows that the Christian People's Party and the Left will try to reverse them. In this case, it is a very unfine and disrespectful way of dealing with both volunteering and other parties in the Storting. In previous replies, the Prime Minister referred to objective criteria. If you're going to carry out a process where you're going to change and then enter objective criteria, you should have a process with the organisations it specified. In fact, you should have been a little decent, did it in a real way, not just do a cut over the night from 1 January 2018. So that's the problem that the objective criteria obviously apply to someone, but not to others. There are three organizations that were proposed to cut, as the government has suddenly found money for anyway – Wayback, Retreat and Matvett. I support these organisations, but what is the difference between the job they do and the job that other organisations do? Is it so simple that the criterion for reversing the state budget is that the Prime Minister is in a difficult situation because of previous statements?
ParlaMint-NO_2017-10-18.ana.ud398e231	As far as the three organisations are concerned, Matvett is supported by the Ministry of Climate and Environment's part of the State budget. There is greater support than that provided by the Ministry of Agriculture and Food, and they will continue to have support through the future support scheme of the Ministry of Climate and Environment. As regards the changes related to the organisations in the field of justice, there is a difference between those providing legal advice and those providing support and assistance in the field of rehabilitation and repatriation. There, the Ministry of Justice and Defence has transferred more to free applications, so that it will be possible to apply for a larger amount there than it has been in the past.
ParlaMint-NO_2017-10-18.ana.ud398e236	Follow-up questions will be raised – first Tryful Battle Violence Vedum.
ParlaMint-NO_2017-10-18.ana.ud398e241	Today Prime Minister Erna Solberg said that what she maintains is the objective criteria – that is, like the fixed point. That's very interesting, because what's the objective criteria, obviously, varies all the time. And then the question to the Prime Minister is, what are the objective criteria to cut off absolutely all support for everything that has to do with building interests? It's going to be cut 100 pst. Is this an objective criterion? She promises 4H, but for absolutely all organisations that have to do with building interests – which have had a separate line on the Ministry of Agriculture and Food budget – the aid will be cut to DKK 0. Are these the objective criteria – as long as they have a field of interest? Then I asked a question to the Prime Minister instead: why is it that the organization that was critical of the government, the People's reaction to a new predatory policy, gets cut everything, while the organization that supported the government, WWF, continues everything?
ParlaMint-NO_2017-10-18.ana.ud398e248	Now it is well that the strongest criticism I have heard is from those who have criticized us from the other side of predatory policy, namely NOAH, who also criticizes us for getting less money because the system under the Ministry of Agriculture and Food has been liquidated, and which has been clear and strong in the criticism of government policy from the other side of the predatory bit. The background to the Ministry of Agriculture and Food's social welfare scheme is that it is considered that, when objective criteria were not implemented in the Grand Duchy last year, it is difficult to maintain specific support for organisations that are on this State budget for historical reasons, without objective criteria being allocated. So you have to make some choices. The size would not introduce objective criteria last year. The Ministry of Agriculture and Food and the Government’s assessment have been that then it is difficult to maintain a social welfare scheme of that kind in the Ministry of Agriculture and Food.
ParlaMint-NO_2017-10-18.ana.ud398e255	Nils Kristen Sandtrøen – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e260	Kokk Andreas Viestad, who is involved in the training of children and young people at the Geitmyra food culture centre, has pointed out a great deal. Six months ago, the government presented a national action plan for better diet. It says to cooperate with volunteers. I therefore wonder whether the Prime Minister believes that the cut to the food culture centre for children is the right way to cooperate and follow up the agreement and plan set out in the national action plan for better diet. Similarly, we see that it is cut to the volunteers who distribute food to the poor on the Matsentral. In the government’s agreement against food waste, many fine words about monitoring and reporting are used, but those who carry out the job in practice and ensure that food can benefit disadvantaged people will lose their support. Does the Prime Minister think that the cuts now proposed are a good follow-up to the words contained in both the national action plan on better diet and the agreement on food loss?
ParlaMint-NO_2017-10-18.ana.ud398e267	The Government follows up the agreement against food waste through several measures. One of them is that the country has assumed a significantly greater responsibility for statistics and for following up its work. There's food centres more places than in Oslo, but there's only one place that's been supported. You have managed to organize this in other ways, and donating food is actually the responsibility of the chains and companies. What the companies themselves have agreed to in this agreement is actually to deliver. It is possible to establish these systems in other ways than to have 300,000 kroner above the state budget for one food centre in one place in the country.
ParlaMint-NO_2017-10-18.ana.ud398e272	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e278	What's the problem is that cutting doesn't follow a principle. Norwegian Cultural Heritage, an organisation dedicated to the preservation of the Norwegian cultural heritage, has not been found to support this principle: ‘The functioning of voluntary organisations should be independent and not dependent on annual government transfers.’ This is a direct quote from the Ministry of Agriculture and Food. On the other hand, an organisation that Human Rights Service found supportive. Why does the principle that voluntary organisations should operate independently and not depend on annual government transfers, Norwegian Cultural Heritage and not Human Rights Service apply?
ParlaMint-NO_2017-10-18.ana.ud398e285	This is because the Human Rights Service system receives money, has a different reason – that it should contribute to integration and knowledge, and that all voices around integration, including the problematic aspects, should be heard. That's why there are different reasons. There is, therefore, a criterion set of support for the concept of integration, information and knowledge that is clear, while there is a historical reason for the Ministry of Agriculture and Food that some organisations have received money without any criteria. And that also means that you can't go in and evaluate whether they've met the criteria you've actually set. This can be done in an assessment of the objectives put in place for the scheme in the field of integration.
ParlaMint-NO_2017-10-18.ana.ud398e290	Ketil Kjeseth - for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e295	We promise to work for a clear head, warm heart, good hands and good health. Then I have declared the 4H-lift. I want to return to a joint play that the four majority parties had in the election campaign in August 2013 in Dagbladet. There was a civil agreement to increase the gift deduction and increase the VAT compensation. In that play, among other things, there were: the removal of red tape for volunteers, the increase in the proportion of state aid to children’s and youth organisations should go to operational support rather than project support, and the overall review of all national support schemes should be carried out. The cut that comes from the Ministry of Agriculture and Food now to the many organizations, on the contrary, generates more bureaucracy, more project support, and goes all the way across what we have as ambition. The question is: when will the overall review of all national aid schemes be completed?
ParlaMint-NO_2017-10-18.ana.ud398e304	I am pleased to say that we have managed to meet all the criteria and everything that was agreed in 2013 between the four parties – perhaps with the exception of the overall review of the aid schemes. That's why it's one of the things that we want to look at now. It's not something we have had the opportunity or time to get through so far. Some of the organisations that are now being cut off are not supported by others. But some people get very much support from other departments as well and receive support as children’s and youth organisations. There's enough reason to see if there's a fair distribution of support for different types of activities, that it's not just on a historical basis. We're going to do that review, and then we're going to decide what these arrangements are going to be like in the future. A dilemma that arises is that one has a situation where it is difficult if we don't have any clear criteria for why organisations are on different schemes.
ParlaMint-NO_2017-10-18.ana.ud398e311	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e316	It is interesting to hear the reasons given to the Prime Minister, and it is clear that there are different reasons for different items. For example, for the Christian People's Party it will. be important to re-establish the boundaries of the Church’s Bymission’s work with the Street Lawyer, which is an important legal aid measure. There are several hundred million dollars spent each year on free legal aid. Here it's about a few million who reach a lot. Or we have e.g. The Gospel Center and the arms of the Salvation Army, which have very good results and provide relatively small money, compared to the large sums spent through the public. The food centre is another example that has been mentioned. They reach widely, when many, for a reasonable money. But when I hear the reason, I'm a little uncertain about how important it is for the Prime Minister to cut those posts. If we go into budgetary negotiations with a goal of increasing them, is there strong opposition from the Prime Minister?
ParlaMint-NO_2017-10-18.ana.ud398e325	I'm too much like there's not necessarily room for a government budget, so if you agree to find room for them with other priorities, that's fine. It's going to be the reality in the years to come that there are many positive things we can be for by activities, but then we also have to dry out asking questions about old activities we've supported, and know why we're continuing to support. In the case of the work related to the Gospel Centre and part of the others, they do well to be part of a grant-based scheme. It was significantly increased last year, it is not under the Ministry of Health and Welfare. There we have proposed an allocation equal to the actual level of application, as it looks now. So it's not really a cut, because there's not so many people who have applied for what it was the Storting's intention to give money to do in this area. But we may not be able to earmark money for individual organisations on an application-based scheme. Then they have to search, and then there have to be criteria for them to get. I'm sure they have good applications, and then they'll be safe.
ParlaMint-NO_2017-10-18.ana.ud398e332	Let's move on to the next main question.
ParlaMint-NO_2017-10-18.ana.ud398e337	Now we're talking about families with seriously ill children. While there are good times for people with stock assets to meet, there are a good number of families with seriously ill children who are concerned about the consequences of the change of care arrangements. When the Prime Minister discusses this, she tends to be concerned about the improvements that have come. We're happy with them, too. That's not why we take this matter up again. But we are concerned about the dramatic income cuts that the new scheme involves, with lower incomes after one year, and also the limitation of five years, which affects families with seriously ill children beyond this limit. Today I have met three mothers, all of whom have seriously ill children. In the middle of tough situations and tough everyday life, they stand up, talk loud and take the fight to have a good care scheme, which ensures people security in difficult times and all the children who need it. Those are strong stories. There are families who warn about what kind of hopeless situation these rule changes will create, if they are put to life. I think the Prime Minister should listen to them. We have to take care of these families. We have to make sure that families with seriously ill children know that they have security, that they should not choose between being there for their children when they need it, and being able to pay their bills. Reference is made to municipal schemes, which are very often not good enough, and it is also obvious that costs will quickly be high by relying on public aid to do so instead of those closest to the children, namely the parents. Therefore, my questions are to the Prime Minister: Does she acknowledge that the conversion of the care allowance system is bad for seriously chronically ill children, children who are seriously ill over a long period of time, or get sick several times through growth? And will she consider turning around and asking the Right Party and the Advance Party big groups vote for the SV's proposal to correct these cuts?
ParlaMint-NO_2017-10-18.ana.ud398e350	I have no doubt that there are many touching stories – I have also read and seen many of them – about parents with sick children. I've been reading them for years. I also read them when I was a member of the Health and Social Committee. One of the reasons why we have made the changes we have made in the care scheme is the large number of parents with sick children – especially chronically ill children, i.e. children who are either not healthy or going to die – who have often fallen out of the care scheme, except in such intensive periods where they were in hospitals. So they fell out. That's the improvement that lies here, that parents of permanently ill children who need it, also come in. It's been an important task for us to do, because there's been some touching, tough stories that haven't been supported before. So we've more than doubled the allocation to it, and it's in full effect from next year. It's like from 1 October, when the arrangement has entered into force, everyone gets to zero. That means that everyone gets a time account from now on, so the next year there's no change in what is, for some families. I take note that it was a unanimous decision that we should look at improvements in the care system and look at changes that were to be made, but there are some discussions that we must then take. Shall we start with new boundaries between the groups – those who have seriously ill children who may die or be healthy, that is, those who are not chronically ill? So we're going to have one arrangement for them, which makes them, for example, gets 100 pst.? They are often the ones who have appeared in the media related to it. Or are we going to separate the two groups? There is a significant uncertainty as to what costs are. We've chosen a system that's related to the system that's for adults who are ill. You get sick money for one year, and then you get redundancy money, a level that is lower, in the years that follow – as others also have to adapt. It is possible to spend five years on care, so there are 1,300 days in total with the current system.
ParlaMint-NO_2017-10-18.ana.ud398e364	The Prime Minister is right that it has become a fine system, in the sense that it is related to other systems. The problem is that these stories show that it has no connection with real life, the everyday life and the challenges these families face. What Storting needs to know is whether the Prime Minister really wants to take this on board and is willing to change it. The alternative is that the Storting itself changes it. I think that -- in the light of what the Prime Minister is saying now, and what she said last week -- is clearly the best option. Let me take one example of a problem: Children have a legal right to have parents with them when they are hospitalised – fortunately. When a child is seriously ill and is in an institution, it is obvious that it should keep its parents close. But has the government considered the consequences of the new system if parents have used up their rights to care, and the child needs new operations or introductions? Is it then taken into account that the parents' right to be present is real, or will they – as the system seems to be working now – lose this income? Is the Prime Minister ready to turn around and admit that there are major problems here?
ParlaMint-NO_2017-10-18.ana.ud398e371	There's a consensus between all the parties in this room that we're going to look at the care scheme and changes to it, and that's what the government is going to do. We're glad we've lifted the improvement, i.e. we've doubled the number of families and children who get help and support. I'm proud of that, I've fought for it – against Audun Lysbakken – in the last period, and I'm glad that I've delivered on my election vows attached to this. It is clear that making improvements to this scheme is fully feasible. What we have to do is know where the boundaries go, but it's also part of a budget question. It is important to say that changes cannot take effect until the summer, but they do not have to. Then we have to have time to review and find budgetary coverage for any changes, and we have to submit to the Storting proposals for changes based on that. The representative refers to the experience now. There is no experience yet with the new care allowance scheme, except that everyone gets 100 pst. It is an opening, i.e. an exceptional arrangement, precisely for the type of cases to which the representative refers, which was adopted in Stortinget before the summer.
ParlaMint-NO_2017-10-18.ana.ud398e380	There will be follow-up questions – first Solfrid Lerbreck.
ParlaMint-NO_2017-10-18.ana.ud398e385	When children become ill, the community should be set up. The conversion of the care scheme causes many families with seriously ill children to be concerned about their finances. To reduce income to 66 pst. after one year provide insecurity for families who already have a very difficult situation. Kids don't get any healthier because parents get a big cut in or lose their care money. I have one question: what specific advice will the Prime Minister give to families who have to deal with getting much poorer, as well as that their youngsters are seriously ill?
ParlaMint-NO_2017-10-18.ana.ud398e392	My advice is that it must be assessed. First of all, the whole next year, you have 100 pst. coverage. Everyone with care starts from point zero, no one has had any changes in their situation since October 1. I see sometimes it's claimed that from October 1st, people get a lot less money. No, it's not like that, because it's 100 pst. coverage, all started with a new time account from the start of the new scheme. So it's open to search separately when the child is sick and has to be treated with a serious illness. It was adopted in Stortinget before the summer. We need to look at improvements in the system based on the decision taken by a unanimous increase. I think everyone has been committed to this. I am glad that this government has raised the allowance to a new level, that we have actually, contrary to what the previous government did, seen the sick children and their families in this country. It's possible that what we've suggested, and what we've been through, is not perfect. We're willing to look at new arrangements. But emotional rhetoric that someone does not see the sick children, I really think we should have avoided – taking into account that we have significantly lifted the scheme.
ParlaMint-NO_2017-10-18.ana.ud398e401	Lise Christoffersen – to follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e406	As the representative Lysbakken said, this morning we met with parents who are affected by the restrictions on the Right and the Advance Party have put into the care scheme. The parents are now with them, so the Prime Minister has a unique opportunity to speak directly to them. The previous representative asked the Prime Minister what to do, which I did not think the Prime Minister answered. So to sharpen that question further, one of the cuts is that the care allowance for mentally retarded people is stopped when the child is 18 years old. Parents would very much like to have answers to the question: What does the Prime Minister think is the alternative for parents of mentally retarded children when care is stopped without the child’s need for parental support changing?
ParlaMint-NO_2017-10-18.ana.ud398e413	This is one of the arrangements we're going to look at, based on the decision taken last week in Stortinget. To deliver on the decision that is just made, I don't think I can do from the pulpit here. But you have the assurance that this system for all those who have a time account works with 100 pst. future coverage. The background is that when a mental retardation becomes 18, he or she has independent rights. Then you go into all the arrangements that exist for adults, and you've thought that this is a reason why you don't need the same type of arrangement for your parents. It's possible that that's not right. Now we're going to go through the different parts of this system. But it's important to remember that everyone over the age of 18 has independent rights. It is possible to apply for aid in some areas, and it is possible to get help. Welfare pay in municipalities is one of these areas. Care allowance is actually a compensation for temporary loss of income, not a scheme to help parents take responsibility for the care of their children – it is still a public task in our society.
ParlaMint-NO_2017-10-18.ana.ud398e422	Sigrid Simensen Ilsøy – for follow-up questions.
