ParlaMint-FI_2019-06-19-ps-20.u1	On 18 and 19 June 2019 the committees have elected their chairman and vice-chairman.
ParlaMint-FI_2019-06-19-ps-20.u12	Mr President! I would like to begin by thanking Mr Sarkomaa for his fine presentation of the Kela report. I would like to comment on the same taxi ride that was already touched on by representatives Myllykoski and Elomaa. I'm sure we've all received a lot of feedback from people about these Kela taxi availability problems. They've been late, and there's been some trouble ordering the rides. Orders have been waiting in line for a long time, and sometimes taxis have not arrived at all. Apparently, there have been problems especially here in the south, Helsinki and Uusimaa. It is understandable that the problems must have been caused by the fact that the competitions were carried out at the same time as the national taxi reform was carried out. Therefore, I am particularly pleased that it really seems that Kela’s delegates have been actively and very regularly monitoring the situation, receiving and requesting reports on this taxi competition and thereby constantly trying to monitor and improve the situation. I hope that in the future you will act with the same responsibility and that Kela's competitive skills will also be further developed. In the public sector, this has been a minor problem in many quarters and is a good development target in the coming years. - Thank you.
ParlaMint-FI_2019-06-19-ps-20.u13	Mr President! We have a report on the activities of Kela’s delegates for 2018, and I would also like to thank the Chairman of Kela’s delegates, Sari Sarkomaa, for a good report. The availability of taxi services and the competitive tendering of demanding rehabilitation are issues that have become a lot of contacts and have concerned people. These must be taken seriously, and they have been taken up in Kela — thanks for that. Disabled children are a special group for which the question and question is whether they are the group whose rehabilitation is being exposed to competitive tendering. Their needs should be assessed individually and rehabilitation tailored to each of them. In the case of child rehabilitation, there is also a significant share of interaction with staff, and if it does not work, rehabilitation will not progress either. The second point that I would like to draw attention to here is the marginalisation of young people raised by Mrs Jaana Pelkonen. It is very gratifying that Kela's key project for 2018 has also been to improve the opportunities and life management of NEETs, as well as the measures taken to catch young people at risk of exclusion. It is necessary to continue this work and take an even more active approach to it, so that cooperation with municipalities is improved, and I personally would see that it would require some kind of binding legal amendment, so that when anxiety and such a announcement from Kela leaves the municipality, the municipal social services should be actively connected to the young person. Meeting a young person would be one of the most important things to be able to map out the whole situation in life. Parliament's representative Heikki Autto also raised the issue of student support, and I quite agree that a review of the income limits for student support should be carried out in the future. It is great — and it is a matter of this year already — that this educational material supplement, a good reform by the previous government, which is coming into use right from the beginning of the autumn season, has been made available smoothly through Kela in connection with applying for student financial aid.
ParlaMint-FI_2019-06-19-ps-20.u14	Mr President! Thank you to Kela and Kela's delegates for their work and for producing this report for us. Mr President! The most feedback from the citizens regarding Kela's activities may have come from these Kela taxis, which has already been referred to by previous speakers. Many problems have been encountered in their operation and, as we know, the problems got out of hand after the last call for competition and the amendment of the taxi law. There have been problems with the quality of the service, the transmission of rides, the waiting time and the ever-changing drivers. There have also been some criticisms from taxi companies, particularly in relation to the operation of brokerage services. Hopefully, this quality of service will continue to be monitored in Kela and the Board of Governors and, if necessary, the necessary measures will be taken. I am pleased that this issue has been addressed by the Council. Another issue that has come with a lot of feedback is these interpretation services, which have also experienced problems since the call for tenders. People have not always received the necessary quality interpretation, and many experienced interpreters, small entrepreneurs, have been driven out of service production. There have also been problems in terms of quality and individual service, as the previous speaker has pointed out, in competitions and subsequent activities relating to the rehabilitation of people with disabilities. This whole must indicate that it is very difficult to compete for people's services, especially when the needs are often very individual and varied. It does not always succeed in the desired way, so it is important to have such alternative forms of procurement, on the one hand, and to monitor and further develop the quality and implementation of competitive tendering on the other. I am pleased that the Council has drawn attention to this and I am sure that it will continue to pay attention in the event of problems and, in particular, in order to prevent them. Mr President! As far as basic income support is concerned, its transfer to Kela when it was decided and made was not in principle a saving measure. Unfortunately, however, for some people, for example, in reimbursement of medical expenses, the transfer has caused impairments and cuts and difficult situations for people's lives and livelihoods. It is good that attention has also been paid to this issue in the Kela Council. And I hope that when decisions are made in Kela, the individual situation of a person is genuinely taken into account, and that unreasonable situations are not created for persons with limited means.
ParlaMint-FI_2019-06-19-ps-20.u15	Madam President! I would like to join in thanking Mrs Sari Sarkomaa in particular for the presentation of the report on the activities of Kela’s delegates for the year 2018; she was very much a member of this report. And indeed, people contact us very much, because they know that Kela is an institution of society and, above all, of parliament. However, as Mrs Räsänen pointed out in her previous speech, the situation is that, at the moment, there will be no parliamentary representation among Kela's delegates, and in that sense, quite a few times, she has only had to give the names of colleagues and has hoped that people will then contact them if there are things of the kind that cannot be promoted as a representative. However, as has been pointed out in these speeches and also in this introduction to Sarkomaa, Kela does not have all these transfers — for example, transfer from municipalities to Kela for income support and taxi competition and competition for rehabilitation, transfer to the Incomes Register — always have gone just like in Strömsö, and it is good of course to bring these up. But sometimes one wonders that such major system reforms should be able to be prepared very carefully in advance, because these are the very things in which the so-called small citizen then feels that he is being kicked hard into the head when he wonders why, for example — as in this particular debate, a citizen posted a message — a guarantee pension and an invalidity pension have hit each other in the ears when a small fee has appeared in the income register and the person then leaves the next month completely guarantee pension on that basis. Well, it's really hard to explain to people in such situations that it's extraordinary that there's a problem like this right now, when a person feels like he's being kicked in the head of a society. But now that this government has this social reform on its list, which will be in its own way very massive, certainly this kind of system reform, but of course, above all the reform of the coordination of these various social security benefits, it would hope that they have been prepared in good time and then the necessary changes will be made and that there will then be wide-ranging working groups to consider all these coordination problems. There has been a special mention here last year of this competition for taxi taxis, and I must say that it is a good thing that we have now come in a slightly clearer direction, but it is particularly good that it can be concluded from the record of the Government Programme that this reform of the taxi laws, which has been in the background of this confusion, is now being applied for repairs, and it is good that we in the countryside do not have a taxi at all and that taxis in the growth centres in the Helsinki region do not really know where they are going.
ParlaMint-FI_2019-06-19-ps-20.u16	Apparently, there's a need for a debut. Mr Kurvinen, I give you a 1-minute reply.
ParlaMint-FI_2019-06-19-ps-20.u17	Madam President, thank you! There has been a very high-quality discussion here about this report on the activities of the Kela delegates last year. In my opinion, the clear thing that has really come up here in almost every speech is these different forms of Kela procurement — whether it is a question of taxi rides when you have to go to a central hospital, for example, or it is an issue of interpreter services, it is a question of demanding rehabilitation. I think it is very positive that the new Red Mul Government programme has stated that there is a willingness to assess the way in which the procurement law is suited to these various social and health care competitions, because they are such services that if you go just ahead of the euro, then there are usually the problems described in this debate. I personally hope that we will actually look at the procurement law as to whether legislative changes can be made. I'm sure Kela needs to think more about how to use direct acquisitions and how to use them, but we also need to look at changes in the law so that, above all, human care and support are realized, and then not just that.
ParlaMint-FI_2019-06-19-ps-20.u18	And then on the list of speakers, apparently.
ParlaMint-FI_2019-06-19-ps-20.u19	Madam President! There are a few questions here. With regard to these taxis — the honourable Member who asked about them — it is good to say that, as I am sure the representatives know, Kela must operate within the framework of the legislation and, when contracts are made, market law is lacking if certain equipment is required to be in use at the time of the offer. So we've been through these things, but I do feel this pain and myself sometimes wondering if I have to drive a taxi when all I had time to do was answer the concerns that came when the taxi didn't come. As far as Uusimaa is concerned, the tendering procedure has now been reopened, but I think that it is quite justified — and this is not, of course, a statement in accordance with that report, but the delegates have gone through this issue — that the legislation also needs to be assessed so that Kela can reasonably then compete for taxi rides in the future and people can get access to health care and elsewhere. It is often the most difficult diseases when these taxis are used. Mr Räsänen pointed out that small groups do not own a seat in Kela's delegates, and this underscores the fact that this is a matter of the Social Insurance Institution, which is 15 billion, it is a question of benefits that every Finn can obtain at least at some point in his life, and I do not think that the legislation is up-to-date, nor does the delegates think. That is why it is absolutely necessary for the parliamentary groups' bureaux to now set up its parliamentary working party and see how we can bring about rapid reform of the Kela legislation. You don't have to leave an empty table, we have a team of experts who have made their presentations. It is not entirely unanimous, but there is a basic consensus so that Kela's administration is brought to the level that general principles of state administration are implemented there, for example. What I found to be a little thin in this group of experts, which they were afraid to touch, is the supervision of Kela at all. In view of the fact that the Social Insurance Institution was once supervised by MPs, consideration must be given to what is a reasonable way of controlling such a large independent social security institution. For example, the State Audit Office is not involved in controlling spending, even though 80% of the state budget comes from the state budget. I think it is absolutely necessary to set up a parliamentary working party, and I think it is excellent that the government has promised to clarify the reform of the legislation, but that is not enough, but that the law should be reformed. I would also like to say to the MPs, when we all together ultimately monitor the activities of the Social Insurance Institution, that we have already submitted draft laws to the Ministry in 2017. They were prepared at the request of the delegates at the head of Kela. There's a lot of things that Kela has made, for example, a reform of its organisation, but the law has not been reformed. That is, if in two sections, bill proposals would be brought to Parliament. The most important thing is to bring the law into line with today's activities and, above all, to bring legislation in such a way that the Social Insurance Institution can act in accordance with its current responsibilities. Mr President! I note that this report is a key element of the supervision of the Social Insurance Institution, but it is important that those annexes are also carefully reviewed. There is a reporting procedure in Parliament whereby this report would then go to the substance committee, the Social Affairs and Health Committee. I myself have considered it important and I would like to say here that the Committee on Social Affairs and Health should also be asked for opinions from the Committee on Audit, perhaps from the Committee on Finance. I would also like to say that, as President-in-Office of the Kela Council, I have been somewhat concerned about the fact that the Committee on Social Affairs and Health, which has dealt with this report, has been the majority of Kela's delegates, which is why it is also good to assess in the future how this report will be dealt with and how it might be possible to reform the supervision of Kela in this Parliament, and that is why I repeat that it is necessary for that parliamentary working party to be set up. Here Mr Pelkonen asked about the situation of young people, about support for marginalised young people, and here Mr Laiho said that the NEET project will be consolidated, and much more needs to be done. I hope that Parliament and the delegates will be able to continue the work done during this mandate and during the last parliamentary term, that we have held joint seminars on the difficult issues for which there are no solutions. One of the key issues is how Kela cooperates with municipalities when the basic income support is managed by the Social Insurance Institution and the municipality has its own role to play. There is a huge risk that it will miss the fallers, and we need to work together to find a solution to this. As to why these joint seminars are important, it is good to say that: It is the responsibility of the Social Security Institution to make proposals for the development of social security and, in cooperation with the Committee on Social Affairs and Health in particular, it is an agile proposal and I hope that the government will also take them up quickly.
ParlaMint-FI_2019-06-19-ps-20.u20	This matter is suspended. We had an hour left for this, and we've already passed it a little bit. The proceedings shall be resumed at this sitting after consideration of the other items of the order of business.
ParlaMint-FI_2019-06-19-ps-20.u21	We will now resume the debate on item 4 which was suspended earlier in this plenary session. So the conversation continues.
ParlaMint-FI_2019-06-19-ps-20.u22	Madam President! Attention has been paid here to important issues in Kela's operations, but something that concerns me has so far not been dealt with. In this connection, I would like to say that this document, this report on the activities of Kela's delegates, is one of Kela's documents. The second, more important to me, is Kela's statistical yearbook. When Mr Aittakumpu here, I understand to be joking, threw out that it is good to read this as a Midsummer, in fact, the second statistical yearbook, which usually appears in June, has the entire Finnish social security system broken down into three and a half pages: health security, social security, pensions, everything else. And it is by studying it that I have some figures left in my mind that this report on the activities of the delegates does not quite open up in itself. I refer to page 55, where health insurance benefits are provided. You can read from there that last year Kela replaced the services of private doctors with EUR 56 million, private dental services with EUR 49 million, and private research and treatment — in practice X-ray, physiotherapy and laboratory services — with EUR 40 million. Few social security funds have suffered such a breakdown as these have occurred in the last four years. In Finland, compensation for dental care was equal to EUR 120 million, so now it is just over EUR 50 million. Two thirds of it was cut off. The compensation for private medical services amounted to EUR 75 million, now at that level of EUR 60 million. And the research and treatment allowance was halved from level 80 million to level 40 million euros. This has often been seen as a political right-wing issue, thought that since these are compensation for private doctors, private dentists and private health care companies, this would in some way be an unpleasant thing for the political left and then a very pleasant and important thing for the political right-wing. I see this exactly the opposite. During the previous government, as I told you, these were almost halved in certain respects, even more than halved in the case of dental care. And this is compensation, which is very important to people because we do not have the proper service system, which is not enough. People then rely on a private service system and Kela has replaced it. And the most drastic cuts in Finland's history were made during the last parliamentary term.
ParlaMint-FI_2019-06-19-ps-20.u23	Madam President! These rides and taxi rides by Kela have already been discussed in this Chamber several times, most recently in connection with the report by the Chancellor of Justice and now, of course, here. I myself tried to look here for the cost of this reform, and I did not actually get the figures out of it — I think the Kela delegates and the chairman were going away. All in all, the objectives of the reform have not been achieved here, particularly in the case of sick and disabled transport, so the problem has been running, and taxi services in those sparsely populated areas have also clearly deteriorated. This report does not contain an assessment of the impact of this competition on both costs and services for Kela's delegates, and I would, of course, have liked that. But fortunately, the government has already started a study on these taxi services, and I hope we will return to it very soon.
ParlaMint-FI_2019-06-19-ps-20.u24	For the referral debate, item 5 of the order of business will be presented. The Council of Presidents proposes that the matter be referred to the Committee on Foreign Affairs.
ParlaMint-FI_2019-06-19-ps-20.u25	Madam President! I myself, as Vice-President of Parliament, know that under the unwritten rules of the Vice-President, this toilet should not be taken too much of a position on day-to-day politics, but this is indeed the policy of the past, and I was indeed the chairman of the Finnish delegation to the Nordic Council last season – that is why here. Traditionally, a lot is happening in the Nordic Council. During 2018, a thematic session was held in Iceland in April on the subject of the marine environment and maritime safety, and during the plenary session in the Norwegian Parliament in October on the subject of hybrid influence. The Nordic Council Presidency was chaired last year by Norway, whose theme was “Sustainable and SafeNorth”. In particular, the strengthening of Nordic cooperation in the maritime and defence sectors was highlighted, and other key themes included overall security and mediation. In addition, the sea and climate change were present at September meetings in Greenland. In general and even now there are some new MPs in this Chamber, and yesterday a new Nordic Council delegation was elected to Finland. That is why I would like to highlight one key principle in Nordic cooperation, the Nordic interest. The starting point is that common solutions can do more in the Nordic countries, and together we are stronger than each other. Nordic cooperation is increasingly important and important, but we must work even more together to make it easier for citizens to move around the Nordic countries and between the different Nordic countries. A delegation from the Nordic Council of Finland has worked hard to remove the barriers to the borders between the Nordic countries, and a regular dialogue with ministers on Nordic issues and in particular on border barriers between the Nordic countries and their elimination. Removing the Nordic border barriers and increasing free movement between the Nordic countries remains the top priority of Nordic cooperation. At this point, this removal of barriers to borders means facilitating the movement of Nordic citizens, for example, in the pursuit of work or study, not of any other person. But how do we remove these barriers, how do we prevent the emergence of new border barriers, and how do we raise awareness of this both in national parliaments and in ministries? Here in Parliament, we should act in such a way that new border barriers would not arise when we were drafting laws or when we were implementing EU directives and regulations. As a good example, I would like to mention the Committee on Transport and Communications, which, in the early part of the year, last year, invited the Nordic Council to be heard by the Finnish delegation on the Council's recommendations. I was even an expert at the committee meeting. In recent years, Nordic parliamentary cooperation has increasingly focused on the themes of social security. Hybrid influence was discussed with the prime ministers of the Nordic countries. In addition, next week the Nordic Council Working Group's recommendations on Nordic social and global security cooperation and related Nordic cooperation will be finalised. The Nordic Council is increasingly addressing foreign, security and defence policy issues, and these issues were also strongly visible in the Council's activities and in the Council's recommendations — Arctic policy, security of the Baltic Sea, Nordic EU cooperation, mediation and so on. The Council also held discussions on Brexit with the then British Prime Minister, Theresa May, in plenary session. As chairman of the delegation during the previous parliamentary term, I would like to warmly thank the Finnish delegation for the four active and intensive years that have taken place. The new Nordic Council delegation in Finland started its work yesterday, and lycka till them only, good luck and success in this important work. Let us remember that the Nordic Region is in a way our family and our closest reference group. This will continue to be shown in concrete work, both in parliamentary committees and in the international parliamentary delegations. — Thank you.
ParlaMint-FI_2019-06-19-ps-20.u26	Mr President! Thank you, Mr Eerola, for this review. I would like to ask Mr Eerola, when he, in particular, has quite a long experience with the Nordic Council, a few questions. The first question of interest is essentially this interaction between the Nordic Council of Ministers and then the Nordic Council of Ministers. This booklet describes how efforts have been made to develop this political interaction through, among other things, these written and oral questions and then through these various recommendations and how these processes have been intensified. How would you look at the state of this cooperation and interaction now, whether it is satisfactory or good in all respects and is there something to be developed in it? Then I would also like to ask about this Baltic Sea cooperation, in particular this Baltic Parliamentary Conference on the BSPC and cooperation with it: what does it actually contain, and can it be imagined that it will be even more active? It is of particular interest that this conference of Baltic parliamentarians includes, I believe, all the Nordic Council countries, but it also includes these other areas, such as the regions of Russia and the regions of Germany and Poland, so that it is quite interesting in that sense.
ParlaMint-FI_2019-06-19-ps-20.u27	Mr President! Thank you to Mr Park for these questions. Interaction with the Council of Ministers: Of course, there is always something to develop and improve on, but my experience was that it went on and on and on and on and on and on, a little, depending of course, on which ministers from which country they always were and how active they felt about this cooperation — but, as a rule, very good. And especially in the Finnish delegation, we used to have these co-operation ministers and then other ministers, depending on the subject, also attended the meetings of us, the Nordic Council delegation in Finland, and were very active there. This development is progressing all the time, it is constantly going towards the Council of Ministers, how to make this cooperation more flexible. Yes, my own experience is that it is frivolous. Then this Baltic Sea cooperation: Indeed, as you described, all the countries of the Baltic Sea are involved, the Nordic Council also has its own chair there, and last season the representative of Kulmala Blue's future was our representative there. Unfortunately, I cannot tell you more about this now, but I am sure that these reports from Kulmala and the secretariat can be read over there if you want to learn more about them — I can actually go to the Park and dig up them from that international unit. But it's also one of those active people. That activity in relation to PN and cooperation with the Baltic Sea people has increased and intensified just like this in recent years.
