ParlaMint-FI_2019-11-06-ps-59.u1	The fourth item in the order of business will be presented for the referral.
ParlaMint-FI_2019-11-06-ps-59.u12	Mr President! I would also like the new government to see such important multi-page government proposals presented to Parliament in a referral debate by the Minister and then to be prepared to answer questions. And thank you for the fact that the Minister is there in the box and I am sure he will now also be taking part in this debate. I myself drew attention to the fact that here, in terms of the gender impact, it is stated that ‘the changes proposed in the calculation of the wage-freeretirementretirementretirementretirements proposed are expected to increase the cost of workretirement from the parental I'd like you to open this up a little bit more. In fact, there have been quite a lot of different points to be made in the preparation of this matter, and it is good to have an answer in this referral debate. And I would also like you to respond to this message from the Welfare sector, HAL, in which they are concerned about the impact of the proposal on the shortage of doctors. I understand that this view of Mr HALI has not been taken into account in this proposal, but I am sure that the Minister will be able to explain it to us now.
ParlaMint-FI_2019-11-06-ps-59.u13	Mr President! I will pay attention to the same thing as representatives Juvonen and Räsänen. In the government proposal, paragraph 2.5, second paragraph, refers to labour input social security, which currently works in the way that doctors can receive part of their salary as a labour input bonus, so that the employer or the company that pays its dividends does not have to pay social security contributions for it, even if it is taxable wage income, i.e. social security contributions and pension insurance contributions are not required. And now, if this government proposal removes this possibility, it would be good to find out how this affects the availability of doctors in the public sector. - Thank you.
ParlaMint-FI_2019-11-06-ps-59.u14	Mr President! I would like to praise the opposition on these constructive issues. I think they have been very proper and, among other things, those concerns about this possible shortage of doctors are such that I think it is all right for the Minister to be prepared to respond to them. There is certainly an increasing need for doctors in this country. But instead of simply considering such mechanical measures as to how many more doctors are always needed or how much money is always needed to produce services, I would also like to draw attention, among other things, to: A very expert article in the medical journal on such system failures and the importance of trouble demand in our social and health care, and I hope that such structural issues will also be addressed, not only in mechanical matters, such as the number of doctors. However, all this is very important and I hope that this good question of the opposition will also be answered.
ParlaMint-FI_2019-11-06-ps-59.u15	Mr President! On this issue, the Confederation of Finnish Industries has stated: ‘The Confederation of Finnish Industries has no comment on the management of the proposal. “ This is also rarely said by employees — in this case the Medical Association, which belongs to Akava. Akava has stated: ‘Akava has remained in preparation for the presentation. Akava has no comments on the proposal.’ STT has stated that ‘STK has remained in preparation for the presentation in three-pronged stages. STK has no objections to the proposal.’ For me as a new Member of Parliament, it has been a kind of experience that when we discuss the issue of A, we will be talking about trafficking in human beings, health centres, billions of people's pension responsibilities, gender impact and so on and so on. This is very much a technical arrangement, whether doctors work as a professional or in so-called associated companies, where part of the professional income can then be taken as a dividend, in which case it is taxed differently and it has different pension arrangements and practices. This will have no negative impact on the availability of doctors in the labour market. As a professional, I have dealt with perhaps 20,000 medical contacts, and I think that the issues in the HALI report are totally exaggerated when it says that, for example, working as a professional means bureaucracy so much that it reduces the professional work done by doctors, for example, in addition to official work. It is a very little bureaucratic work, which means that I have now been made a bull out of a fly with these questions from the opposition. This is a very technical solution, as stated here in the opinions of the employer, EK and Akava.
ParlaMint-FI_2019-11-06-ps-59.u16	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u17	Mr President! Thank you for this good, interesting debate. I promise you, ladies and gentlemen, that here I will always be proud to present the proposals of this government and my own legislative proposals, but let me say that this proposal is a proposal from the last period which will now be brought to your attention by this government. This proposal relates to the reform of the payment criteria for daily allowances in the last period.
ParlaMint-FI_2019-11-06-ps-59.u18	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u19	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u20	Mr President! Am I right to say that whenever the parliamentary term ends, the legislative proposals will expire and all the proposals that the government will bring will be government proposals? It has now been said here, on behalf of the Socialist Group in Parliament, that a fly has been bullied here, but it has only been requested that a significant bill be presented, that the Minister present the bill and answer the questions relating to it. I believe that this is a fundamental right for parliamentarians, and I hope that this type of debate does not have to take place here. There was also reference to pension liabilities. We are talking about pensions here, and I think that was a good speech, which Mrs Essayah raised here. I would now like to take this opportunity to say that I cannot go anywhere without being asked whether the government is really going to cut down on occupational pensions. The Government Programme reads that the possibility of raising the smallest pensions within the earnings-related pension scheme will be investigated. In other words, this would mean, for example, taking the euro out of the pensions of policemen and nurses and transferring it to the smallest pensions. It is important that the purchasing power of pensions is ensured,
ParlaMint-FI_2019-11-06-ps-59.u21	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u22	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u23	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u24	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u25	Mr President! I must say that I was also surprised by what Mr Lindén said about the fact that the opposition here, for its own amusement, would raise these issues. Not at all — this is purely about the preparation of the matter, including this statement by HALI regarding the medical matter and the possibility of this proposal increasing the shortage of doctors in Finland and what this will mean. I also believe that whenever a parliamentary term ends and if a bill is not submitted, it will lapse. Then the next government will have the opportunity to make possible repairs and filings that are seen to be necessary there. And in that sense too, I feel it is important to have this debate here to raise the issues. In other words, HALI says here that this proposal will have an impact on this shortage of doctors. And that is what I would have liked to hear about whether it has an added effect on the shortage of doctors or whether it may have an additional effect on doctors. What is the essence of a poodle in this matter? For Finns, it is very important that a person manages to retire with it. We are concerned about the small pensioners and, of course, we are also concerned about these pension issues in relation to this proposal. We have always been on the line that is best for Finland. And especially the elderly, the elderly, pensioners, are close to the heart, and why not. They have built this Finnish country. We also think it's important that they get to the doctor there. So when you are bringing in this care guarantee law, will it now ensure that these pensioners, nurses, nurses who have built Finland, who also care for you, all of us, can get to the doctor themselves if necessary? That is what this is all about, and it is great, Minister, that you are here to answer. You're a little late, but sometimes we're all late.
ParlaMint-FI_2019-11-06-ps-59.u26	Mr President! I should also like to comment on this speech by Mr Lindén, the representative of the Social Democrats. First of all, if you look at the Constitution, it has dealt with the points that Parliament, as the supreme legislative body of the country, deals with legislative proposals. There is a referral debate which tells us what is at stake, and the Minister often tells us what is at the heart of it. Parliament's representatives give their own views, their own greetings to the Committee on Budgets and the Committee on Economic and Monetary Affairs and Industrial Policy — this is quite normal. If you hope that there will be no debate, that they will go very quickly. as technical matters, so of course this kind of speech can be expected. I do not know in what capacity anyone may be able to say that someone, such as the statements made by HALI, would simply be ‘in my opinion’ because I would like to see more arguments being given. I could also say that in my opinion this and that, but that is not the information that was then studied. You also read very selectively these examples of yours. You said that Akava had nothing to say about the proposal. Regrettably, you failed to read the following phrase: ‘However,it is notable that the proposal is problematic in terms of the interpretation of taxation and pensions’.
ParlaMint-FI_2019-11-06-ps-59.u27	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u28	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u29	Mr President! It happened to my ear when Minister Pekonen pointed out that, when this large package of proposals, which also contains a lot of technical content, was prepared during the previous government, so it should not be for the current government, as I understand it, to demand a great deal of justification. Of course, the fact is that most of the proposals that are being submitted to Parliament at this stage have already been prepared during the previous government, and yet it is quite clear, and we are certainly all agreed that the current government bears the political responsibility for the proposals that it brings to Parliament, even though the preparatory work has, of course, already been carried out during the previous government. I think this is important, and I also think that the new ministers should have this in mind. Moreover, the current government has an army of assistants at its disposal to think that some of these assistants would have found time to familiarise themselves with this proposal and make notes to the Minister for this referral. Later today, we are discussing this cut-off of the Mayan cent, but even in this context, when we talk about the pension system in greater detail, this question was very well-founded by Mr Sarkomaa that, since the situation of small pensioners who may receive a pension of between EUR 1200 and EUR 1400 a month, this cut of Mayan will not improve at all, is it really the intention that their pensions will be improved within the earnings-related pension scheme, as agreed in the Government Programme? Everyone will understand that if you leave within the earnings-related pension scheme to move any increases for some small pensioners, it will then come from other pensioners. Indeed, I would warn the government not to engage in this kind of tampering with the occupational pension system. If the government does not have the political will or the ability to carry out the demarcation promise, which was of course oversized, then let it not be carried out, as has now been the case with the presentation of the cut-off of the centurion, which will be discussed later today, and let this be the case. But if, at the same time, it is agreed that there will be an entry into the earnings-related pension system and perhaps, for example, take away the middle-income pensioners in order to carry out President Rinte's election promises, then I think that this is an incorrect procedure. In this respect, let the pension system be consistent and good in the future.
ParlaMint-FI_2019-11-06-ps-59.u30	Mr President! I humbly accept all the guidance that has been given to me here, and I have now learned that, for example, it is correct to speak now of the centenary of May Day when there is a different kind of presentation in this Chamber. I am quite familiar with this point, and I therefore raised three other opinions here, because this was raised from several statements in this introductory speech in the light of just one paragraph of the opinion, which was critical of this issue. And if I now read exactly where this debate began in Mrs Juvose's speech. ‘If doctors do not have an easy way of working, many of This makes the shortage of doctors even worse.” After all, this is a purely HALI assessment of how interested doctors are, in addition to hospital work or a health centre, in providing private reception and how it is affected by the way in which it is taxed. To date, doctors in the public sector in their main job have applied for an exemption from entrepreneurship pension contributions, i.e. they did not raise a pension for themselves from that entrepreneurial income at all. I can tell you that I did this myself in my own time when, over the course of 21 years of work, I did a private reception in addition to a public service. I obtained an exemption from the entrepreneurship pension contribution, when this is basically such a tax and pension technical reform, which is what this is all about, and that is why I wanted to bring up a few other arguments about this by quoting the statements that were made by many different parties. But thank you most humbly now for the lesson that it is now possible to talk about the Mayan crop and the billion - dollar deficits and what it was now possible to talk about.
ParlaMint-FI_2019-11-06-ps-59.u31	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u32	Mr President! After all, this has in principle been a question of opposition parliamentarians asking for a bill to be presented. We've been asking you some pertinent questions about the bill. We haven't had the answers to all the questions. Here a representative of the government party has said that we have made a bull out of a fly. This is a serious job for a congressman. It is important that the draft law should be presented by the Minister, even if it had been prepared during the previous government. It is always the government's responsibility, and I hope that this will not become a practice. On this record of the Government Programme, when it comes to occupational pensions: Indeed, the Government Programme includes the possibility of raising lower pensions within the earnings-related pension scheme. What would that mean? Two options: either to cut off those ordinary, hardworking, middle-income pensioners. They would be cut off, nurses would be cut off and then given it to pensioners receiving a slightly smaller pension. Or to raise pension liabilities to send the bill to future generations, our children and grandchildren. This report is contained in the Government Programme. And I say here, Minister, that I have asked a number of Members of Parliament, representatives of the Government, whether you are going to do this or not, who presented this, what this is going to do? I haven't had any answers. If I don't get that answer today, then I'm going to end up with that written question. But it would be good if we could get an answer here together as to whether this study is to be carried out. And the fact is that if this type of action were to be taken, the entire occupational pension scheme would be scrapped, and this is unheard of. Election promises have always been made, and hopefully they will be kept even more in the future. I do not remember any government that has failed so many election promises at this early stage,
ParlaMint-FI_2019-11-06-ps-59.u33	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u34	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u35	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u36	Representative Laiho, and then Minister Pekonen.
ParlaMint-FI_2019-11-06-ps-59.u37	Mr President! This amendment to the Employment Pensions Act and the Health Insurance Act is a thick piece of paper, and its content is also significant. That is why I agree with the previous speakers that it would have been necessary to have a minister's presentation on this. In its opinion, HALI points out that it is essential to take a time-out in preparation, since the impact of this proposal on tax and pension income has not been adequately investigated. We also need to take into account the effects of the presentation on the shortage of doctors. Akava also points out that the draft law should be clarified, and it should also be illustrated how it will affect in practice in different operating models and situations. HALI has highlighted here the effects of this on the shortage of doctors, and this is indeed a matter to be taken into account. At the same time as we are planning the future social and health centre model and should strengthen basic health care, we must not be in the process of making legislative changes that could make it difficult for some groups to operate, or making changes that do not encourage doctors or other professionals, for example, to work there in basic health care, which would be the aim. To Mr Lindén, as a point of detail, there is currently no exemption from YEL entrepreneurs' pension. I myself have not at least received an exemption from it, but it is compulsory for everyone at the moment. Perhaps during the time when Mr Lindén has been a doctor, this has been the case, but at the moment it is compulsory for everyone to pay even if he is employed by a public employer. I would also like to mention the fact that we need to make it possible to have different solutions for doctors in primary health care. Of course, it may be that you are working in public and that you are doing a private job, which has been the model for years, but fewer doctors are willing to do this, because of course the burden of work is great. There must also be opportunities to do, for example, basic health care professions, different models of practice in the medical profession, and then no models would be worthwhile.
ParlaMint-FI_2019-11-06-ps-59.u38	Mr President! I believe that this has been a valuable debate here in Parliament by your representatives. I also welcome the criticism that I was not prepared to present this bill to Parliament. However, as I said, this is a technical change relating to this larger package of labour income reform. This proposal must now be submitted to Parliament before this labour income reform can then come into force. I am confident that this government proposal will now be submitted to the Committee on Social Affairs and Health and I believe that this will be dealt with in depth. If some defects occur there, they can then be transmitted. As I have already said, we will monitor these effects and we will intervene and then correct the mishaps that may be remaining here. But I think this performance is going well here. I would also like to say to you, ladies and gentlemen, that this government is also concerned about pensioners. And this government is not making any decisions or changes that would weaken a pensioner’s income. On the contrary, the Committee on Social Affairs and Health has adopted its report on the budget law, which will increase guarantee pensions by EUR 50 and national pensions by EUR 34. That seems to me to be an extremely good thing and also a small increase in small pensions. There has also been talk of a shortage of doctors in this debate. This government will also work under the leadership of Minister Kiuru to improve the medical shortage as well as to enforce this medical guarantee. These performances are on the move.
ParlaMint-FI_2019-11-06-ps-59.u39	Mr President! As I have said before, five years is a long time, and in five years there has been at least such a change in this Chamber that it seems that, as Mr Lindén has said, you can really talk about anything at all. In itself, labour income reform is a necessary reform, as Mr Pekonen described, and today, as a new member of the StV, I was digging into issues that had been criticised in this legislative package. The criticism focused above all on the fact that the formula for the change does not take into account all individual life situations where the income of a person is lower than in the 12-month period and does not correspond to the actual long-term income level of the person, which may seem unfair and may affect, for example, the question of maternity allowance in families with children. In that sense, of course, these inequalities need to be monitored very well, and, for example, if the long-term change is to be carried out by those who, over a 12-month period, have a lower income level than in the latest established taxation, then care must be taken to ensure that people's losses are not such that they affect their livelihoods really, really critically. In some ways, however, I would like us to deal with these issues in such a way that there is no image here that we do not even know for ourselves what we are dealing with. I understand the pain of having a great deal of concern about whether there is enough medical staff in Finland, whether we have enough doctors, and I believe that we will certainly be able to deal with this issue in this Chamber, such as social security, care guarantees and so on, but we were talking about pensions and the issue of earnings, and I hope that in some way we will be able to stay even in such a way that we know for ourselves,
ParlaMint-FI_2019-11-06-ps-59.u40	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u41	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u42	The debate and proceedings shall be suspended. The proceedings shall be resumed at this sitting after consideration of the other items of the order of business.
ParlaMint-FI_2019-11-06-ps-59.u43	We will now resume the debate on item 4 which was suspended earlier in this plenary session.
ParlaMint-FI_2019-11-06-ps-59.u44	Madam President! You'll find what you're leaving behind for you. This was the first debate here today that took place. In particular, it was pointed out that Minister Aino-Kaisa Pekonen was unfortunately not presenting this government proposal to us and we MEPs would have liked to have heard the background to the government's proposal. In particular, I myself took a stand on issues raised in the preparation of the matter, including the fact that, according to a hearing in the welfare sector, there were factors affecting the shortage of doctors in the government's proposal, and I would have asked what this meant, whether this government proposal would increase or reduce the shortage of doctors. Unfortunately, we did not receive any answers to these questions. There was also criticism of the opposition's questions and it was felt that we might have asked something that was obvious, for example, to the representatives of the government. This was also a theme to which I would like to comment once again that the Members of Parliament should ask questions, especially at the time when the new government proposal comes to the table. After all, the Minister said that this is a proposal from the government of the last period, but I also said in my speeches that when the term of government changes, if any bill fails in the previous period, it will lapse and then the government will be able to bring a new proposal, a modified one, improved one, that is to say, to take account of possible shortcomings. It is a good thing that the debate on this issue is still continuing and, of course, now that this proposal comes to the Committee on Social Affairs and Health, we will have to deal with it and turn it to the very last page, that we really know what that proposal is about. We need to get more doctors. It's our common will.
ParlaMint-FI_2019-11-06-ps-59.u45	Mr President! As far as I am concerned, this debate is now going on in this Chamber but to make an observation on this previous issue. I understood that here in the daytime, when this matter was discussed, the assembly raised the centenary and was taken from one direction and the other. Yes, I also express my great amazement that when this ‘santas’conversation had taken place, there is no such thing as a co-operative seat. Thank you for the fact that even the Finns of Peru are here to support the government in this matter and what we are now doing here. We would have liked to have heard this same statement of support for the assembly.
ParlaMint-FI_2019-11-06-ps-59.u46	Mr President! Thank you, Mr Kiljunen, for this constructive speech, and I thought it was a positive compliment. I welcome this because it has been a long evening and we have spoken a lot. Indeed, it is worth being here until the evening in Parliament in order to talk deeply about these matters. It was precisely because of the fact that it was there in the protest of our Finns on raising small pensions, which was discussed here in the previous issue. So the True Finns wrote to the protest in the vernacular, in plain language “Vappusatanen”, so that we know where we are discussing. Thank you for this attention, Mr Kiljunen. To return to the issue of medical shortages: It is very important that when a care guarantee is being made, citizens know what it will bring. If it brings more doctors, it's a great thing. The public needs to see a doctor. I would rather go directly to the doctor than to another multiprofessional team, nurse or other, because there are, for example, mental problems where help should be provided immediately. The chance to get to a doctor must come from a pharmacy shelf, and if you can get to a doctor within a week it is a great thing and a desirable thing. But we are very concerned that it is now project funding, which will start reforming social welfare and health care centres. The project money is not enough for the whole of Finland, and now the application is underway. We are concerned that it is really the case that when you apply for treatment at a health centre and try to get it under the care guarantee, then you will be directed to the nurse and not to the doctor. It would be good to know what is the multiprofessional team that will then work there in the future. With this in mind, it was my question that what will be the impact of this proposal? The Minister said that only technical changes were involved. Now we see it then in the committee. Of course, there is that concern and we hope that the opportunities for doctors to work as a professional and then as additional workers will not be weakened by this performance, but that it will actually increase doctors and do not do any red tape traps, because no one wants to fall into such traps, especially those who care for another person.
ParlaMint-FI_2019-11-06-ps-59.u47	For the referral debate, item 5 of the order of business will be presented. The Council of Presidents proposes that the matter be referred to the Administrative Committee. A maximum of 30 minutes will be reserved for the referral. The proceedings shall be conducted in accordance with the procedures agreed on in the case of scheduled cases.
ParlaMint-FI_2019-11-06-ps-59.u48	Mr President! Ladies and gentlemen of Parliament! This is therefore a government proposal to the Parliament for a law on the amendment of the Rescue Act and some other laws. The proposal is part of the legislative changes that will be made in order to replace the Administrative Law at the beginning of next year by a law on judicial proceedings in administrative matters. The provisions on appeal of the Rescue Act, the Rescue College Act and the Fire Protection Fund Act would be amended to reflect the changes made to the general legislation. The proposal also proposes certain other amendments to the legislation. The prohibition on appeal against the Supreme Administrative Court in certain cases imposed on the students of the Emergency Response College would be lifted. In the future, an administrative court decision in a case such as the admission of a student or the loss of a student's right to study should be subject to appeal as provided for in the law on judicial proceedings in administrative matters. The change would improve the legal security of the student and would put those studying for the basic vocational qualification at the Emergency Services Institute on an equal footing with polytechnic students studying for emergency services officers. In addition, the references in the Rescue Act to the annulled Personal Data Act and to the term ‘sensitive information’ would be changed to respond to changes in data protection legislation and the reference to the Personal Data Act in the Emergency Central Act would berepealed. - Thank you.
ParlaMint-FI_2019-11-06-ps-59.u49	Mr President! It is good that the Minister came here at the last minute to present this legislation.
ParlaMint-FI_2019-11-06-ps-59.u50	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u51	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u52	Mr President! I'd also be a representative. Like Mr Eestilä, he wanted to highlight the responsibility of this country for training, which is in this rather technical government proposal. My concern is the same, i.e. in connection with the move to the Crisis Management Centre, a clear promise was made during the previous government that we would focus on emergency training at Kuopio Rescue College, and the facilities of the Helsinki Rescue School were even considered old-fashioned and inappropriate in the future for organising education. Now, however, the Ministry of the Interior has stated that education will continue in Helsinki. It could be said that in this way the compensation that was expected in that direction towards Eastern Finland is being watered down by this government, which is also reflected in the appropriations that were expected for this training to take place in that part of Kuopio but which will not be received to the same extent. In that sense, it does seem a shame. It has also been expected that the Minister would be able to visit the Kuopio Rescue College. I don't know if the minister's been there yet. Let's hope it is, because I have to say that when I had the opportunity to visit that area in the past, it did make a tremendous impression that there is a training area in Finland where such real crisis situations can actually be practiced. There are no similar areas in Finland anywhere else. Of course, a few questions have also arisen that, when the minister is also appointed to the City Council of Helsinki and this Helsinki Rescue School is under the authority of the City of Helsinki, the Minister will then be appointed to decide on this matter in what role and whether he has felt that there would be some kind of conflict between these roles, when it is a matter of safeguarding the education of his own city. In that sense, of course, it is always hoped that these matters can be viewed from the national perspective, because this future of Kuopio Emergency College is so important for this whole education in the field of rescue.
ParlaMint-FI_2019-11-06-ps-59.u53	Mr President! Now I have to say that many times I am on very different lines with the Minister of Interior, Ohio, but in this question of Rescue College and Helsinki Rescue School, Ohio has made an extremely sensible decision in continuing this Helsinki Rescue School, and should in fact continue to do so. In recent weeks I have met people in the rescue and emergency services sector, and they have hoped very much that this training will be maintained here in the capital region, because in fact Kuopio is not able to produce enough firemen here in the capital region. Secondly, there is a shortage of staff from the Emergency Response Centre Agency, and that too could be one solution to bring that training to the south, as it was done some years ago. This improvement in the legal protection of students is in itself a good thing, but I would have asked about this bill the extent to which this relates to the rest of the courts and appeals. At the same time in this plenary we have a legislative reform of child protection, which would bring this under the right of appeal, i.e. perhaps undermine the legal protection of child protection, so how does the government now view this whole, so that they go in line, so that when something is improved, there is no weakening and so on, because it is now known that our appeal courts are completely overworked?
