ParlaMint-NO_2016-11-30.ana.ud343e28	The representative, Rasmus Hansson, will present a proposal for a representative.
ParlaMint-NO_2016-11-30.ana.ud343e120	The representative of Micaelsen started with some forthcoming cuts in the municipalities, related to resource-intensive users as an example. But in cooperation, we have focused on looking at the possibilities in the health and care sectors in the municipalities. In the Primary Health Communication, we agreed that until 2020, we will focus on migration, welfare technology, innovation and a little follow-up to the Hagen Committee Innovation in Care. One of the key factors is to recruit several ergot therapists to the municipalities to carry out the conversion and adaptation work. It can't be so difficult to see to it that Ergotterapeuts are escalated up to 2020, as we agree.
ParlaMint-NO_2016-11-30.ana.ud343e126	No, it is under discussion in the Grand Duchy that the government has presented a rehabilitating plan as part of the budget proposal to be dealt with by the Health and Welfare Committee. There is the government's proposal that we allocate a total of 200 million in 2017. SEK to the municipalities – 100 million. kr has been earmarked – precisely in view of the fact that the government parties and the cooperation parties have agreed on, inter alia. to legislate the requirement of ergoterape competence in municipalities from 2020. This means that we have given municipalities both earmarked funds and increased the free resources to build up competence in the rehabilitation field. This includes, among other things: referenced to ergot monkeys. I fully agree with the representative that a solution to the challenges we face, including: in the care of the elderly, it is about the ergot therapist’s competence to help people to master their own lives.
ParlaMint-NO_2016-11-30.ana.ud343e131	Burd Vegard Solhjell – for follow-up questions.
ParlaMint-NO_2016-11-30.ana.ud343e136	Although the nation will survive next year too, there is an unusually chaotic situation now, and he creates an uncertain community in his work with, for example, the local authorities. care and care; not water. If a budget is adopted on 5 December, it is unusually late, but now it is also possible that there will not be a multiple for a government budget on 5 December. I understand that the government's plan A is, of course, working on a bomb to get it done, but I assume that they must also be forbidden to use the last week that it is possible that it does not happen. Then my question is, how will the government prepare a whole central institution, which will plan and get things into next year, on the possibility that they can't manage to get a government budget with multiple figures in the Stortinget on December 5th?
ParlaMint-NO_2016-11-30.ana.ud343e143	What we're working on is finding a good solution. When it comes to questions about alternatives, it's not my role to answer them. When it comes to the local authorities' situation, it's like I've been a local politician myself when a former local government had a minority government, and then I had a lot of negotiations that went on overtime. But the municipalities managed to handle it then, and I think the municipalities can handle it now. Of course, although it is not a desirable situation, not from the government, the Stortinget or the municipalities, it is something that Norway can handle. We've done that before.
ParlaMint-NO_2016-11-30.ana.ud343e148	Tove Karoline Knutsen – for follow-up questions.
ParlaMint-NO_2016-11-30.ana.ud343e153	On 29 September this year, Jonas Gahr Støre and I were at the Colåshemmet residence and treatment centre in Bærum, where we met leaders and politicians who were deeply concerned that the investment grant had been changed. In the Political Quarter the next day, 30 September, I heard the Health Minister calm the municipalities and say that of course you should get money to renovate after 2021 if you build a new one. In the Question Time on 16 November, the Minister for Health said diametrically that only the new places to be built can be supported. This makes it worse for us both in Stortinget and for the municipalities. Who are the municipalities to listen to – the Minister of Health in Political Quarter, or the Minister of Health in Question Time?
ParlaMint-NO_2016-11-30.ana.ud343e160	The municipalities are wise to listen to both the Minister of Health and read what is in the proposition, which is my response to the Storting in this area. It is clear that municipalities will also receive money for rehabilitation for projects they are applying for before 2021. This is simply a result of the recordings that have come from the municipalities, among other things. We'll carry the municipality. It has extended the period beyond what was announced in the municipal bill. From 2021 onwards, municipalities will only receive investment aid for several sites. This is simply because the government believes that the elderly in Norway do not have time for the Labour Party's waiting-and-see attitude in older policy. There is a great need to increase the activity of expanding several sites. The municipalities have now had many years to rehabilitate places, they are given extended time to do so. But from 2021 we have to focus on building more spaces.
ParlaMint-NO_2016-11-30.ana.ud343e165	Let's move on to the next main question.
ParlaMint-NO_2016-11-30.ana.ud343e170	The most fundamental thing a country has to do with is the preparedness and security of people. In the last year, there has been a lot of unrest around the police, and resources have been used to reorganize, centralize and red tape. The processes in which the police are involved are very energy-intensive and have gone beyond daily operations, and the local preparedness has been weakened by the great centralisation we are now witnessing. The government's so-called near-police reform has become the opposite: a remote police reform with unrest, little predictability and torches all around the country. One thing is that there is concern about the remote police, or the so-called near-police reform, but now there is also concern about whether the country will have a budget. During a month before the Stortinget will end the harvest session, we do not know whether the country will have a budget and what framework the budget may have. So this also creates concern for the country's preparedness. My question to the Council of State Anundsen is: Can the Council of States assure us that the police and emergency services will have the necessary appropriations and resources so that they can solve their important emergency tasks in January 2017, even if there is not a budget majority on Monday?
ParlaMint-NO_2016-11-30.ana.ud343e179	Let me start by saying that I fundamentally disagree with the description given by the representative of the near-police reform. Firstly, it seems to me to be rather forward-looking to conclude that the near-police reform, which is now under implementation, has led to a remote police force. There's nothing to suggest, and it's -- to say it very mildly -- a shooting of a result that we're working very hard to avoid being the case. We're going to have more police out, we're going to have more police that give a better result for most people. Since the change of government, there are now 746 more policemen than it was when Battle Violence Vedum's party was in government. I also feel that the concern about the reform – as it is claimed to be there – is very small. Of course, all reforms create commitment, and it's important that people contribute and express what they think should be the outcome of a process. It's very positive, it's a very fundamental part of our democracy. I don't think we should fear that, we should cultivate that, that's good. But this is how the municipalities now experience – based on the feedback I have received, among other things. from KS – that the processes are good, that one is involved, that one ensures that one is actually a contributor to the process currently taking place. In the case of the State budget, the government presented its draft State budget in accordance with the plan, on 6 October. Then there are negotiations in the Great Britain. In this respect, I can refer to the Council of State Höie said instead that it is now the Stortinge that is negotiating a budget. As a responsible government, we are preparing for all kinds of scenarios. But it is also Storting's responsibility to help us land a budget. I feel pretty sure that we do. Of course, if this is not to happen against any assumption, both accumulation and government must jointly solve that challenge, so that we do not get into a situation where there is uncertainty both in the preparedness context and in all other public operations.
ParlaMint-NO_2016-11-30.ana.ud343e188	Thanks to the chaos we have seen between the Right Party, the Advance Party, the Christian People's Party and the Left Party, the deadline has been postponed on this house – unfortunately. That shouldn't have happened. Now it's happened, and it does, if you don't get a budget majority on Monday, we don't have time to put in another budget majority before Christmas. Thanks to the lack of leadership of Prime Minister Erna Solberg and Minister of Finance Siv Jensen, Norway is going to be without a budget, in fact. The Norwegian budgetary system and the Constitution are such that we adopt budgetary appropriations for one year at a time under the Constitution § 75. Then is my question to the responsible State Council and Minister of Emergency Anders Anundsen: What plan does the government have if there is not a budget majority Monday evening, to ensure that our emergency units are up and going and have the necessary resources and appropriations also in January and February 2017?
ParlaMint-NO_2016-11-30.ana.ud343e196	Nor do I agree with the representative's starting point for the question. It's sometimes that democratic processes are demanding, that it takes time. There is nothing new in Norwegian constitutional history, nor in Norwegian political history. The fact that you have demanding budget negotiations with minority governments is very common. I have great faith in democracy and great faith in democratic processes, and I am absolutely sure that it will also lead to a good result this time. I will not foreshadow that one does not reach agreement, rather, on the contrary, I have the opposite starting point: I am convinced that we are able to find a solution to this, so that we do not get into a situation where one must implement exceptional measures to have a budget. But if we are going to get into that situation, I am also sure that the Storing and the government will jointly solve that challenge, so that we do not get into a situation that challenges state operations in January, both in terms of preparedness and state operations.
ParlaMint-NO_2016-11-30.ana.ud343e201	There will be follow-up questions – first Geir Pollestad.
ParlaMint-NO_2016-11-30.ana.ud343e206	An important aspect of good preparedness is safe and stable rental. So it's about readiness to plan for things not to go all the way you'd have thought, and what to do then. We now feel that the government council responsible for the country's preparedness is standing here and saying that he thinks it's going to be okay, it's going to be fine, it's going to be okay with the budget. I would like to remind you that the country is now an ongoing meeting, except that we have a situation where there is no plurality of government budget proposals. So my question is, can the Council say anything about the consequences if the country does not have a budget for preparedness? And can the Council of State guarantee that whatever the outcome of the budgetary process, it will not compromise the security and preparedness of the Norwegian people?
ParlaMint-NO_2016-11-30.ana.ud343e215	It is not the responsibility of the Minister of Justice and Security to tell the Stortinget what happens if the Stortinget does not agree on a budget within the time limits set. That has been the case, if I don't remember mistakes, twice before, right before the budget model we now have, and then there are different ways to solve it. It has commented on the media today, including the possibility of having an operational authorisation to maintain the operation of the State. I can only stress what I said also on the previous question, that we are preparing to deal with any situation, and ensure that we are as good as raw as possible so that we do not get into a situation that goes beyond both preparedness and other public operations. I would also like to stress that I am a democrat both in my heart and in my soul and believe that this will find its good solution within the democratic framework of which the Stortinget is part.
ParlaMint-NO_2016-11-30.ana.ud343e224	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2016-11-30.ana.ud343e229	The Minister of Justice is part of a government that is involved in writing great history, perhaps not in the way that the government itself hoped for, but we see a budgetary chaos that has no other equivalent in the history of the whole of Great Britain, challenging both the progress and the rules of procedure and the predictability of how to deal with those kinds of questions. My question follows up the question from the Central Party, because what we hear is that the Council of State is a democrat – okay, that he has clarified it to this assembly – and that he has good hopes that this will be done, and that the Storting will come to a solution, but what I want to know is what is the plan of the Council of State for the police, for the preparedness, if the budget is not decided in time for one from 1 January 2017 to know how the money will be disposed of? What's the plan? There must be a plan.
ParlaMint-NO_2016-11-30.ana.ud343e236	Let me first stress that it is not the government that adopts the budget. It is the Storting that adopts the budget, and it is in the Storing that these processes are now in progress. Of course, the government is helping with everything we can to ensure that these processes land as well as possible. The negotiations are actually taking place in Stortinget, and I think that is something the representative of Tajik must respect. That's where the solution to the actual challenges is going to be. We must assume that one finds the solution that enables us to continue to operate independently of whether or not a budget has been adopted, should one come into such a situation. But I am quite convinced that both the government parties and the cooperation parties are doing what they can to ensure that we have a budget by the end of the year. If it doesn't, we have some constitutional history of how it can be solved, and I am absolutely sure that the Storting will be able to handle without the Minister of Justice instructing them or telling them how to solve it. There's a lot of good competence on this. For our daily operations, we are prepared for both, and we have to adapt to the situation that is the result of the processes that are going on in Stortinget.
ParlaMint-NO_2016-11-30.ana.ud343e245	Let's go to the next main question.
ParlaMint-NO_2016-11-30.ana.ud343e250	My question goes to the Minister of Health. «Here comes the winter, here comes the cold fine time.» Lina is taken from the rock song «Here comes the winter» by the eminent Jokke & Valentines. Unfortunately, many people experience it cold, fine time as a melancholy, direct health hazard and anything but fine. The air pollution problems, especially in the larger cities, are the same over the years as the seasons. This week the high pollution warning went to a number of locations. Over a million people are here and now exposed to air that goes on fire. For asthmatics and people with other respiratory diseases and people with serious heart disease, the warning of high air pollution means that they should reduce outdoor activities and not stop in the most polluted areas. One of the most pressing problems facing municipalities is the lack of tools to put in place effective measures to reduce the problem. A very accurate measure is called low-emission zones. The majority made its first decision on this in March 2015 – almost two years ago. Unfortunately, the government has not translated this into practical action. Action, or in this case lack of action, usually says more than fine words and speeches. My question to the Minister is this: What is the Minister's answer to all those who are again exposed to a high health risk and who have poorer quality of life due to high air pollution?
ParlaMint-NO_2016-11-30.ana.ud343e263	It is absolutely right that air quality is of great importance to people's health, and I believe that the government and not least our cooperation parties are doing a lot to improve the air quality of our cities. That's why one, for example. high levels of rail and public transport, environmentally friendly fuels and new technological solutions. It's about giving people an alternative to the car without reducing mobility, and I think you've shown very clearly that it's a priority. It is quite right that the Stortinget has adopted a proposal on the law on low-emission zones before the summer. This is a work going on in the Ministry of Transport, and it is the Minister of Transport who is constitutionally responsible for that proposal. But it is clear that this is also an important health issue, and I can assure you that this work is a high priority in the Ministry of Transport and in the Minister of Transport, so that you can get that matter done as quickly as possible.
ParlaMint-NO_2016-11-30.ana.ud343e270	I understand, of course, that things need to take some time to ensure defensive handling. Nor is there any doubt that the Minister of Health is taking the problems seriously, which he has now confirmed by agreeing that the simplest and cheapest measure to deal with air pollution is to prevent it by making it more attractive to use transport methods other than those based on fossil energy. In this way, it is incomprehensible that the Minister and Government propose in their proposal to the 2017 government budget to shed almost 1 billion. kr for the benefit of fossil vehicles. Yes, not only that, but this is so important to the government that they make it an unmistakable claim to their cooperation party – as an ultimatum. That a Minister of Transport from the Progress Party can find logic in something like this, is one thing, but why a Minister of Health from Right supports such a use of money and such a priority, I hope the Minister is willing to clarify.
ParlaMint-NO_2016-11-30.ana.ud343e276	Firstly, I believe that there are a number of good proposals in the State budget that contribute to what I said in my first answer, namely finding alternative transport options, which are not based on car transport – which has large emissions – while maintaining the mobility of the population. But the government is also concerned that Norway looks different in Oslo than at my home in the West and at the representative’s place of residence. Therefore, it is also important that when implementing the type of green shift that we agree on and that is also in the state budget, it is important to take into account and take care of those affected by this, where a framework of mobility, where a local business environment is affected. That is why the government has tried to balance this in our draft government budget.
ParlaMint-NO_2016-11-30.ana.ud343e281	Ingvild Kjerkol – for follow-up questions.
ParlaMint-NO_2016-11-30.ana.ud343e286	Local air pollution makes sick people sicker, and you're in danger of making healthy people sick. This is not a small challenge; in fact, it is so serious that Norway has been convicted by the EFTA Court of Justice of infringements of the EU air quality directive. Local politicians in the largest cities – in Oslo, Bergen and Tromsø – are committed to getting the government involved to meet these challenges. In Tromsø they are little impressed that the Council refers to the maintenance budget on the railway, they want measures to remedy this situation. My question to the Council of State is whether he recognises local air pollution as a health problem. What has the government done, and what will be done with the local politicians, who want tools and action to improve the air quality of our cities?
ParlaMint-NO_2016-11-30.ana.ud343e293	Yeah, obviously. Not only do I recognise this as a health problem, it does even the whole government and also our cooperation parties. This is precisely why one has invested not only on the railway but also on a number of other measures that will be of great importance. The municipalities may, for example: building safer walking and cycling routes, and municipalities can improve the provision of collective transport and contribute to less use of cars. This is where the state stands up more than ever, for example. to take 50 pst. of the major investment costs of major public transport projects in the four largest cities. At the same time, significant funds have been allocated to other measures contributing to mobility without such emissions. There are also many other instruments that are now being worked with in the Ministry of Transport. One of those measures is low-emission zones, which were not prioritised by the previous government, but which are now working to put in place.
ParlaMint-NO_2016-11-30.ana.ud343e298	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2016-11-30.ana.ud343e303	With all due respect, the Council of State cannot stand here and say that the work on low-emission zones is the priority of this government. When we first adopted something in March 2016, which the Minister for Transport refused to follow up, we had to adopt a separate bill. When the Minister of Transport sent this out at the hearing, the proposal for low-emission zones meant that it was not possible to put it into use in Bergen or Oslo, through the restrictions that were there. Misinformation to the Storing or concealment of reality is not right. Last winter, Erna Solberg was in school right here because we had another winter meeting where we had no legislation for low-carbon zones or for environmentally-differentiated charges, and where nothing had been done with the sweatshirt. We're still here, and we don't have any of these tools in place. Therefore, my question is: can the Council of State Höie assure us that he will be the driver to ensure that low-emission zones are put in place and for the municipalities of Oslo the opportunity to fivefold the tariffs in emergency situations this winter?
ParlaMint-NO_2016-11-30.ana.ud343e310	I have answered questions about this earlier, in the ordinary Question Time, and the Minister for Transport has answered questions about this repeatedly. The size is assured that the work on this regulation is a high priority in the Ministry of Transport. It is a regulation which must be subject to the same quality-related work, inter alia. consultation, such as other legislative and regulatory work. It's done too. The regulation has been in consultation, and it is now being implemented. I would like to remind the representative that he himself was a member of a government that had the exact same proposal on the table in 2012, who chose to scrape the proposal and pointed out that the municipalities had other means to use.
ParlaMint-NO_2016-11-30.ana.ud343e317	Ketil Kjeseth - for follow-up questions.
ParlaMint-NO_2016-11-30.ana.ud343e322	In the summer many «Skibladner» followed minutes by minutes between Gjøvik, Lillehammer and Hamar. The top story on Uppland Arbeiderblad’s website yesterday was: ‘Here you can follow the air pollution in Gjøvik – minute by minute.’ The sweatshirt is high in record, and here is the same challenge for Hamar and Lillehammer. This is no longer just a big city challenge. Tomorrow, the Health and Welfare Committee will give its opinion on tobacco legislation. It might be the most stringent tobacco legislation in the world. My question is whether the Council of State has equal ambitions for air pollution, because it is becoming a major public health challenge for many with asthma and allergy challenges, but also for many with cardiovascular diseases and even for those with diabetes. We have to do something about this: does the Council of State have as high ambitions to do something about air pollution as about tobacco legislation?
ParlaMint-NO_2016-11-30.ana.ud343e329	Firstly, I am pleased that the representative is drawing up the work that is now under way in the Committee on the Tobacco Injury Act. I am also pleased that we have submitted a proposal for treatment in the Stortinget that will again move Norway forward in terms of the work on the consequences of tobacco and to get one of the world's most severe tobacco scandals back. So air pollution is an important public health problem also in Norway. Although the challenges are greater in other countries, not least in periods in Norway when it is cold and quiet, it is also a problem in our cities. Therefore, it is now also working to make the municipalities even better able to handle such situations. The Ministry of Transport assesses environmental-differentiated tolls, a common legal basis for urban road procurement and the work on the regulation that I have explained earlier. Today, municipalities also have a number of tools that they can use if they want to.
ParlaMint-NO_2016-11-30.ana.ud343e338	Rasmus Hansson – for follow-up questions.
ParlaMint-NO_2016-11-30.ana.ud343e344	The Minister of Health points out that the challenges of air pollution in cities have been addressed – you work on the matter, you are aware that the previous government has not done things, etc. But it is such that the regulation on low-emission zones has spent so long that it probably does not apply this year either, and the work on differentiated tolls is unlikely to result in useful results until after the election. Meanwhile, according to the Public Health Institute, 185 people die prematurely because of suspended particulate matter only in Oslo, and in addition, all the other cities come. Is the Minister of Health satisfied with the efforts he has made to save people from death and disease due to car-induced air pollution in cities during the three years he has been in government?
ParlaMint-NO_2016-11-30.ana.ud343e351	Firstly, I am very pleased with the efforts made by the government, along with our cooperation parties, in the three budgets adopted to date, for a significant investment and new solutions to help people choose more environmentally friendly transport solutions. It is a historic effort that involves a green shift, which is important for the environment, but which is also important for the health of the population, and it is a work that I am proud of. At the same time, we have to recognise that there is still a long way to go, and that is why we are also working hard on new solutions in this area. So it's like that now there's actually one month left of this year -- it's been underlined several times in previous questions under -- but we're now working to get the regulation in place as quickly as possible, and it's high priority in the Ministry of Transport.
ParlaMint-NO_2016-11-30.ana.ud343e358	Let's move on to the next main question.
ParlaMint-NO_2016-11-30.ana.ud343e363	My question goes to the media minister Linda C. Hofstad Helleland. Norway has long been a country with high trust and strong communities. One important reason is that we have had strong media that have represented a lack, but also created common references and a common public. Public broadcasters such as NRK, later TV 2 and P4, large quality newspapers such as VG, Evening Post, Newspaper and several strong local viewers with a similar function, have created a combination of public information and public opinion. One should be careful to exaggerate, but this is now challenged, perhaps threatened, more than anything in recent times. Income streams have been moved, reader and viewer habits changed, media houses will cut in minutes, so at a rather fast pace. It's not a crisis for journalism or a lot of information. Good intermediaries are many of them, new channels of communication are emerging, but it is similar to a crisis for strong institutions with great resources and heavy competences, driven by the editor’s poster, which can remove light and quality-proof information. It's a serious challenge for the big common debaters to make an informed public possible. I fear a gradual progress towards getting our information first and foremost from those who are already with us, and that our facts and our point of view are becoming more and more different. It can weaken democracy over time. It is definitely not the government that is responsible for it, but the policy's task is, of course, often to solve problems created by social development. So if the councils of state agree with my reality description, what strategy does the government follow to deal with this big societal challenge we're in the middle of?
ParlaMint-NO_2016-11-30.ana.ud343e374	I share the reality description of the representative, Mr Solhjell, and I agree with most of it, I think, as the representative said. Here we have a situation for the media houses in Norway, for the media diversity, which is developing quite dramatically, and that happens quickly. What is difficult for us politically, who are concerned about taking care of a media diversity, is knowing the answer to what is right to do. For changes happens so dramatically quickly, and no one else comes up with a clear answer to what is right to do. That is why I look forward to submitting a big message before Christmas that deals with the financing of the NRK. I and the government are concerned that we should have a strong public broadcaster in this country, but we are also concerned that we should have a commercial public broadcaster that also participates in and improves our public broadcasting. That is why I also come with a big message that deals with a commercial public broadcaster. But in addition, we also have all the newspapers, and I'm worried when I see how their circulation figures are going. Some are well-informed about conversion, innovation, innovation, and it's a pleasure to visit some of the media houses that now see that the number of online subscriptions goes up very quickly, but there are also very, very many newspapers that are struggling. There I am concerned that we can look at modern media support that makes them have good conditions in the future.
ParlaMint-NO_2016-11-30.ana.ud343e383	I am happy the council shares my reality description, and it is very good that there are issues about NRK and TV 2 before Christmas. Something else would be very unwise, all the time the Storting has decided that things will come before Christmas. But what I asked for was a strategy. To use a chess reference, a strategy is a plan for how many moves will be made in time. What I'm probably missing a little bit in the answer, was a description of what the state council will do in addition to what the state council has ordered the state council to do with NRK and TV 2. What kind of grip can you take to increase the digitisation of our many local ways? It's a huge challenge for them. Other countries have introduced innovation support. What models could a person think of ensuring increased contributions from the big international players who are making a lot of money on this media development? How can we in other ways think of a different and better use of all the economic resources we use? Let me ask you this: what was the grip of NRK and TV 2 planning the government council for the next year to follow up the challenge that she's totally in agreement with is big?
ParlaMint-NO_2016-11-30.ana.ud343e392	I would like to remind you that a few months ago, the representative Solhjell and I agreed that there was an initiative the government was going to include in the issues related to commercial public broadcasting. Now there's a big message, I'm glad, and I also look very forward to how the Storting is going to deal with it. When I'm out visiting the media houses, and when they're visiting me, for example. as Amedia was a few weeks ago, they say that the best thing that has happened to them is precisely what the government has done by increasing non-discrimination of the media by introducing VAT exemptions for electronic news media and platform neutral production subsidies. One year effect of what we did with zero moms is 350 million. kr i support. It is precisely the measure that the government put in place after the red-green government said it was not possible, namely to introduce zero VAT, which has now really created a completely different dynamics in many media houses. So it's like we just put down a media diversity selection to give us some answers as to what we can do to think in the long term, and what strategy it's right to choose to take care of the media diversity. They come with their position on 1 March, and then we will continue to work on it to respond to the representative's request.
ParlaMint-NO_2016-11-30.ana.ud343e404	It opens for follow-up questions – first Torgeir Knag Fylkesnes.
ParlaMint-NO_2016-11-30.ana.ud343e409	Local and regional newspapers throughout the country greatly reduce the number of journalists, and we also see that the large media houses lay down their regional offices and retire in Oslo, VG as the last out. The NRC has also been criticised for very little reflecting what is happening in other parts of the country. So the situation we're in is divided by two. We've had a sharp decline in journalism outside Oslo, and we've got a national, public conversation that is increasingly centered around Oslo/Capital State Publicity. This increases polarization, increases the distance between the capital and the rest of the country, and represents the beginning of a democratic problem. So my question is, how does the government meet this development, and what will the government do to strengthen the journalistic environment outside Oslo and in the rest of the country?
ParlaMint-NO_2016-11-30.ana.ud343e416	I am very pleased with this question, because it is important that we think about a media diversity that we also have media clusters or strong media environments around the country. It's Stortinget's concern, and that's also the government's very concerned, not least when we're talking about establishing a commercial public broadcaster outside Oslo. I would like to follow closely what the outcome of the negotiations will be, after the wholesale communication on commercial public broadcasts is presented to Stortinget. But local guides around Norway are standing strong today, fortunately. For the government, this is important to maintain, and the local authorities also tell us, that the most important thing for them is opportunities for conversion, innovation and innovation that make them catch up with younger readers and get them online. Fortunately, we now see a very positive development that that's exactly what happens to the locals.
ParlaMint-NO_2016-11-30.ana.ud343e421	Arild Grande – for follow-up questions.
ParlaMint-NO_2016-11-30.ana.ud343e428	Although today’s Minister of Culture has few or no measures for a media industry in crisis, at least the government through the budgetary chaos that is now taking place has made sure that the media have plenty to write about. The government's lack of action was described as such by the Norwegian Journalist team in their budget input: ‘Unfortunately, important parts of media policy are being outsourced to the Media Diversity Committee. To the extent that the Council of State takes active action, the negatives that cut the press support and freeze the NRK licence are.’ These are proposals that the government has made many times. The Minister of Culture has not been able to arrange for agreements with commercial public broadcasters, and the poor management of Saturday newspapers by the government has made it worse for many local authorities. Why is it that the Minister of Culture says that we have to wait for the Media Diversity Committee every time someone makes proposals that can be positive for the media industry, while she has almost no time to lose in terms of proposals that can be negative for the media?
ParlaMint-NO_2016-11-30.ana.ud343e442	While the last thing the red-green government did before they left the offices was to say that it was completely impossible to introduce zero-VAT, which was a total demand from the media industry, this government has actually managed to put it in place. That's the most important thing that the industry says we could have done, and so they're also very happy that it's in place, because it contributes to innovation. Then I have taken an initiative towards my Nordic media counterparts and the big media houses to sit down in a media summit to see what we can do – that is, across the Nordic region – because we have a lot of the same challenges. There are no simple solutions. That's why the government put down the Media Diversity Committee, so they'd come up with an idea of what's right to do. I don't meet anyone, except one representative, one person, who has simple solutions to it. It's the representative of Grande, who clearly says that this is just solving overnight. Unfortunately, it's more complicated than that.
