ParlaMint-NO_2016-04-27.ana.ud1895e26	The representative Heikki Eidsvoll Holmås will present a proposal for a representative.
ParlaMint-NO_2016-04-27.ana.ud1895e452	Gender equality and thus gender equality are at the heart of the school's values. As far as I remember, it is also described in the school's purpose paragraph. It means a commitment for schools not just to practice equivalency and equality. We know that much of the discrimination is due to more subtle forms of discrimination that boys and girls can detect – and are exposed to. It is important that the school is aware of. But it also means that the gender perspective is part of the school's communication, understanding, through Norwegian, social and other subjects. I generally have more faith in incentives, encouragement and the visibility of role models and role models. If that's what we have a lot of work. As I said, it is my duty as the Council of State to follow up what the majority of the population has decided.
ParlaMint-NO_2016-04-27.ana.ud1895e463	Next follow-up question is from the Audun Light Bin. It's not from Kirsti Bergstø. That's Marianne Aasen! [[Laughter]] And then finally we get it.
ParlaMint-NO_2016-04-27.ana.ud1895e466	All good things are three.
ParlaMint-NO_2016-04-27.ana.ud1895e471	Earlier in this round, the Council of State spoke of measures to improve gender balance being delegated to the institutions. That's right. At the same time, we continue to control the sector very much: the Productivity Commission has demonstrated that 500 objectives and leadership have been set at the Norwegian Research Council. It is the King of State Council who decides what a university should be called, the Ministry has opinions on which journals the researchers are going to publish, and the Stortinget also controls the details of the number of scholarship positions to which we grant money. At the same time, this has been delegated to the institutions. Is not equality and equal opportunities so important for society that it is something that the Council of State and the Council of State must have strong opinions about, and not least concrete measures, in order to get something done about it?
ParlaMint-NO_2016-04-27.ana.ud1895e480	We have to separate, because it is not that Norwegian institutions can choose not to deal with the ambitions of equality, gender balance and good recruitment. These are overall objectives that the sector must also deliver. So the question is, what are the policy instruments used to get the institutions to do that? The majority of the population have decided that we should work out an automatic sex score system. I basically believe that today's system, where the institution itself can choose – discuss this, apply for it – is better. The reason for that is really two things. One thing, I think, is that there's not too little detailed management of universities and colleges today, that's too much. There is also too much detail management by the Research Council. It's a goal to get it down. The second is, I believe, that the core of a good university and higher education policy is great autonomy for the institutions. That means that in this case I weigh the autonomy higher. Then I'm going to say yes to good applications to introduce gender scores, if they come.
ParlaMint-NO_2016-04-27.ana.ud1895e491	Kirsti Bergstø – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e494	Already at birth, we're being fooled into pink and blue carpets. Girls and boys get socialized early into gender roles, and we learn how to play, dress and behave. Expectations and performances related to sex follow us all our lives, even when we're going to make choices about education. We know that kindergartens who deliberately don't work for the opposite, often contribute to the reproduction of gender roles. We know that boys get more attention than girls in school, and we also know that the gender balance among those who work at school and in kindergartens is biased in terms of professionals. Then it was striking to read the government's gender equality message, and it was striking to see that the minister of knowledge had not cooked in hopes a single measure that could really accommodate more equality in kindergarten, school and academy. Then I wonder, how is that possible?
ParlaMint-NO_2016-04-27.ana.ud1895e500	I believe that the most important measures, the most important ones, are to improve gender balance, for example. in school and kindergarten, it's not about sex scores and that kind of action, although I repeat that I'm open to it in some cases. If you look at e.g. the recruitment into kindergarten teacher training and the recruitment into the primary school for the youngest is where there is the greatest female dominance. How can that be? Well, I think something was revealed by a survey that the previous government started, about how we look at kindergarten teachers. When you ask people most, they say it's a very important job. Then they're asked if it's professionally challenging, and then it's between 30 pst. and 40 pst. That they think it is. Being a kindergarten teacher is professionally challenging! It's an expert position and an expert job. I think that one of the things that hangs on some of what we call care professionals is a vision that is simply linked to an old-fashioned gender role model. I think breaking it will be an important contribution to better gender balance.
ParlaMint-NO_2016-04-27.ana.ud1895e505	Let's go to the next main question.
ParlaMint-NO_2016-04-27.ana.ud1895e508	My question goes to the Minister of Knowledge, because through a new regulation he has introduced a new threshold of absence in secondary education that will apply from the coming school years. The limit will apply to absences from individual hours, not students' total absences, and students with more than 10 pst. absence in a trade, will not be graded in the trade. The biggest challenge in higher education is that too many students do not complete. Annually, 15 000 Norwegian young people leave school before they have completed and passed secondary education. Last week, two Fafo researchers launched a book called ‘The Fallen’, where they investigate the reasons for this and show that it is a very complex image. It's about low motivation, it's about lack of a good basis from the past in education, dissatisfaction, mental problems, difficult home situation -- very different situations. Some students have never enjoyed it, and for them it feels like a relief to drop out. The two scientists think we have to be pragmatic. The strategy must be to maximise its potential. I think that's well said. But then we have to have skilled teachers and principals who work like this, who organize, make demands, work patiently to get the students one step in the right direction of a completed diploma – that is, to follow up instead of giving up. A static limit of absence is going to destroy for these teachers. It's going to mean that they're forced to give up the student when the student passes a given number of hours of absence. In particular, there will be a major professional problem where there are many low-hour individual subjects. Therefore, there are so many now — school researchers, principals, teachers — who fear that the rigid boundary of the Council of State is about to enter can lead to an increase in non-response. That is a very serious concern, and my question to the Council of State is therefore: can he guarantee that the new absenteeism will not increase the absence of higher education?
ParlaMint-NO_2016-04-27.ana.ud1895e519	It is never possible to guarantee the outcome of new policy measures, but I believe that the new threshold of absenteeism can help to get rid of it, simply because part of the drop-out, not all, can also be due to the fact that students are given up – that there are no clear demands for attendance, and that they thus get a long absence, many individual hours, which then in practice leads to their leaving school, and that they are also given up. But then it's important to say two things: first, we have to do more, not less, to bring down the apostasy. This limit of absence does not change that. We must continue the great effort of the government and the cooperation parties, in health sisters and school health services. It's about 750 million. NOK – if I remember correctly – that has been used during this period. We need to have even better cooperation between Nav and school. We need to have better cooperation between our education system and the social support system. We need to continue the efforts made by the government and the cooperation parties on youth psychiatry and psychiatry, among others. by reintroducing what is called the ‘golden rule’, i.e. there should be greater growth in the psychiatry than in the health care system. So to point two: I mean the limit of absence takes this into account, because it's not a general limit of absence; it's a limit of undocumented absence. What does that mean? It is well described in the circular from the Directorate of Education. That means that you have a disease, that's a valid reason for absence. If you care for your own children and they are ill, there is a valid reason for absence. If you care for younger siblings, there may also be valid grounds for absence. Of course, it's not put up like this in the system that if you, for example, if you are diagnosed for a disease that is not yet known, you must be absent. Of course, there will also be valid grounds for absence. My point is that for those students who are struggling with e.g. Mental disorders, it's very important to get help to do something about it. That effort must be reinforced. However, I believe that the limit of absence is important, because it gives a clear and clear message that meeting up to hours is not voluntary if you have no good reason to leave. Otherwise, it was 70 pst. in the hearing which supported the introduction of an absence limit.
ParlaMint-NO_2016-04-27.ana.ud1895e528	Very many of the main reasons for absenteeism will not be documented. Not everyone struggling with mental problems will go to a health sister and get a paper on it – or those who get bullied, or those who don't like it, or those who feel excluded from school for various reasons. This is not just my claim. Sintef made a report in 2012 where they underlined that an absence limit could contribute to even more people unable to complete higher education. Then I think it is serious that the Council of State dares to introduce this without being sure of the consequences, when we know how important the fight against apostasy is. I think it might be a useful tool for a lot of students who really do it well at school, have the motivation in order, but need a little push in their backs, but it can be devastating for those we need to do the most for, the students who don't have to give up in our school. The government's priority here is to make mistakes. In addition, from the autumn onwards, a new assessment regulation has been introduced, allowing teachers more opportunity to have their absences counted on a stand-by basis. Why can't the Council of State wait with the absence limit until we see how the new assessment regulation turns out?
ParlaMint-NO_2016-04-27.ana.ud1895e533	One of the reasons for this absence limit coming is that the previous government clarified the law and said that it was not allowed to have an absence limit. Then there were a lot of schools that had practiced the limit of absence and had good experience with it, which wanted to continue, but Kristin Halvorsen said they were not allowed to do that. So this has been out at the hearing, and then, as I said, there's a lot of support for us having a limit of absence, including from teacher organisations, for example. Then it's about finding a system that's clear, clear and fair to the students, while it's flexible enough for the schools to take the necessary care of. And at least I don't think that the schools, if there's a student who's struggling, will give up that student because the absence limit is coming. Rather, it gives an extra strong and clear signal that a student must follow up early, both with help and with organized education.
ParlaMint-NO_2016-04-27.ana.ud1895e538	There will be follow-up questions – first Kirsti Bergstø.
ParlaMint-NO_2016-04-27.ana.ud1895e541	The Training Act requires county councils to follow-up to young people who discontinue secondary education and who are not in work. In a report from the Riksrevision, which was handed over to Stortinget on 15 March of this year, it appears that 60 pst. of young people who leave high school are not involved in any kind of action, and it often takes a very long time before the follow-up service in the municipalities comes into contact with those who have fallen out of school. When we already see that the follow-up of those who fall out of high school is too poor and there is reason to believe that more people will fall away with the new absenteeism limit, I wonder how the Minister of Knowledge dares to go out on such an experiment without having made a real effort for those who are already falling out of high school.
ParlaMint-NO_2016-04-27.ana.ud1895e546	As I said, I believe that the students who are struggling with sickness, mental illness and care tasks are well cared for by this absence code. It will also solve one of the problems with the old absence code, namely that if you had an hour or two with a psychologist, for example, chances of getting away all day were great. That issue is now going to be gone. But then I also believe that we should assess – and we should – whether the school and state's obligation to follow-up students who fall out needs to be stronger and clearer than today. It is a general obligation to follow up the student in all sorts of ways that are statutory, but I believe we should also consider an increased obligation to have a follow-up system, and will come back to Stortinget if there is something we decide to do.
ParlaMint-NO_2016-04-27.ana.ud1895e551	Martin Henriksen – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e554	The working party wants rules of absence which are understandable, which are manageable for schools and which do not give unreasonable results to students. Three different options were sent out in the hearing on the rules of absence. One of the options chosen by the Minister of Knowledge was to provide the principal with discretion on the basis of a given framework, so that there was no undue response from the absence rules for the students. The Minister of Knowledge chose the most rigid solution, such as: As a result, in small school subjects with 75 hours of schooling, four hours of absence over an entire year will lead to a student who has exceeded the threshold of absence not being assessed in the subject. Absence may have many reasons, the student may be fully competent, the teacher may feel that there is a basis for assessment, but the school does not have the opportunity to make adjustments. The question is whether the minister stands firm in the most rigid and rigid version — because he has such low confidence in the country’s school leaders that he does not think they can use discretion, while at the same time making demands on the students and using the discretion to the best of both learning and getting the most through the school run.
ParlaMint-NO_2016-04-27.ana.ud1895e562	Firstly, it is good if the Workers' Party stands on what they have said before, and wants a limit of absence – that is good. Second, it's also in what we've sent out, room for some insight, among other things. related to the evaluation of documentation and what is documentation. It is well described in the circular that Norwegian principals have certainly already read. Thirdly, there's a balance, because it's tempting to think that here you should have a very large room for understanding. But what it will also lead to is discrimination from school to school. One of the things I've been busy about is that this is going to be a system that's predictable for the students, and that's not going to put too much pressure on the principals either. There shall be clear rules to deal with – some room of discretion related to the documentation, but not full room for discretion. This was pointed out by several hearing bodies, namely that if you have too much discretion, it leads to discrimination for the students, and the system will be very easily perceived as unfair.
ParlaMint-NO_2016-04-27.ana.ud1895e569	Anders Tyvand – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e572	There may be good reasons to reintroduce an absence limit when we know that absence has increased by 30 pst. since the possibility to operate at such a limit was lifted in 2009. When we give young people a right to secondary education, it may be natural that they also have some obligations. But I'm afraid we'll get a little bit of rigid regulation. Blue Cross is concerned about some student groups, that the absence limit may have negative consequences for them. This applies, for example: students who are in the periphery of drug abuse, or students who simply need some training to master school everyday life — students who may have a slightly high absence at first and who quickly reach the limit of 10 pst. The Blue Cross wanted an opportunity for school leaders to decide that students should be given the opportunity to assess when they believe that there is a basis for doing so. They did not hear about this in the hearing, and I now understand that the Minister of Knowledge is not particularly willing to reconsider this either. But what will the Minister of Knowledge do then for school leaders and teachers to be able to keep these students at school, and that they do not fall away?
ParlaMint-NO_2016-04-27.ana.ud1895e579	If a student is struggling with drug abuse or mental illness and the school knows that, there is every possibility in this legislation to facilitate documented absences, and to ensure, for example, that: are involved in treatment, may have independent study work at the institution in which you are staying. This shall not apply as an absence. There's every possibility that it won't in itself lead to the student getting over 10 pst. The problem arises if there is a student who has drug problems that the school does not know about. This is actually going to be anecdotal, but I've met students who tell us about 100–150–200–300 hours of absence from school without anyone actually going in and asking them why they were so much gone. I believe that having an absence limit is a way of making it very clear that the school must address students who already have high absences from the very beginning, and action must be taken together with other parts of the public utility.
ParlaMint-NO_2016-04-27.ana.ud1895e586	Iselin Nybø – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e589	I probably belong to those who are skeptical about having such a rigid boundary as the Council of State adds up to. If we imagine that there's a boy in high school who's struggling with mastery feelings, who's struggling with motivation, and who wakes up every day, thinks, "Can I go to school, or can't I go to school today? Then we all agree that the best thing for him is to go to school. We all agree that completing high school is the key to a good life in the future -- it's at least the key to getting better at the statistics ahead -- because we all want it for our kids. When you lie there in the morning and assess whether you're going to school or not, and you don't have the motivation needed to get off the farm, I wonder what the council thinks is going to be better in the everyday life of that boy – with such a rigid rule that he's now putting up with?
ParlaMint-NO_2016-04-27.ana.ud1895e594	I believe that for just a few students – this does not apply to all – who choose to be at home for different reasons, and who are not ill or have health problems, I keep them out of here, this limit of absenteeism may be an important motivation. One of the things we know is that those that fall from, often start with absence in single hours, it increases, and then they go away more and more of the time. Having clear frameworks to deal with believes I can help. If this borders on what other parts of the auxiliaries should have to do, whether it's a health care provider, a hub, a psychologist or a health care provider, it's essential to solve these problems. So it's not the limit of absence that creates mental disorders, but the limit of absenteeism can make the school get an extra pressure to catch up early on students who have absences and take action. But we need to do more to get down the dropout – and it doesn't matter what this absenteeism limit is.
ParlaMint-NO_2016-04-27.ana.ud1895e599	Let's move on to the next main question.
ParlaMint-NO_2016-04-27.ana.ud1895e602	My question is to the Minister for Foreign Affairs. We live in a global breeding season. Power ratios in the world are changing. But some things are constant. Geography has not changed, Norway's position on the world map: large sea areas towards the north, border with Russia. For Norway, the north must be and remain our main strategic focus. It is in our own interest to preserve these areas as a low-voltage area. We serve more cooperation and contact, not less. I want to give my full support to the government's criticism of Russia and protests against the illegal annexation of Crimea. And I'm supporting the sanctions 100 percent. My question is not about challenging this, but about what we're doing beyond this. For cooperation, new content and measures need to be filled in. Industry development, environmental management, exploitation of marine resources, transport, defence and research in the north are not just about district policies. It is about developing the national self-interest, and it is important for Norway as a whole. It must be followed up with commitment. From dialogue to action, the government said when they launched their Northern Territory bet. But what's the action going on? One concrete tool is regional Barents cooperation. In northern lights today, an employee at Norway's Arctic University, Campus Kirkenes, asks if we have done enough. He says there are good reasons today to develop old and new forms of cooperation. My question is, what has the government done to strengthen Barents cooperation?
ParlaMint-NO_2016-04-27.ana.ud1895e613	The representative of Huitfeldt is absolutely right that Russia is a constant factor in our foreign and security policy. Russia is part of Europe, but it is not in all questions of Europe. We are experiencing, as the representative was also involved, a more unpredictable Russia. We have seen this in the handling of Ukraine, we have seen it also in Syria, and we have seen it in the context of the situation of civil society in Russia, the situation of sexual minorities in Russia and freedom of the press. At the same time as we point out these challenges, while dealing with an asymmetric military situation in the north, large capacity on the Russian side, we deal with it with root and anchor fasts in our NATO membership. But in parallel with this, we have been able to maintain a good and constructive dialogue on the north. In Arctic Councils, we cooperate very well, including the continuation of Barents cooperation, cooperation on the management of important fishing resources in the Barents Sea, cooperation on search and rescue, cooperation on nuclear safety, cooperation on the environment. Two weeks ago, there were top-level consultations in Moscow, and Secretary of State Hattrem is having similar consultations on the broad agenda that I am now presenting, in May. We have also had meetings at political level on nuclear cooperation. So within the more demanding framework that has arisen, and also with the sanctions at the bottom, we have continued a cooperation and constructive dialogue with Russia, where we, among other things, have. found a solution to the major challenge of Storskog.
ParlaMint-NO_2016-04-27.ana.ud1895e622	Yes, it's a more demanding framework. But at such a time, the Foreign Minister should not be careful to continue what has happened, but should develop new initiatives. It's about supporting the work of the Barents Secretariat, it's about supporting the work done by the three Nordic states, and it's about supporting new projects. So I repeat my question: What has the government done – not to continue, but to strengthen Barents cooperation?
ParlaMint-NO_2016-04-27.ana.ud1895e630	There is something that is not entirely consistent on this issue, because one has to assume that there is a new situation in the handling of and in relations with Russia. Among other things, we have not met in the Norwegian-Russian Trade Commission since the violation of international law in Ukraine in the annexation of Crimea. There has been a broad consensus on this. The sanctions have also led to a number of things that we did in the past that we can't do now. However, in a number of areas, we have continued – but also strengthened – cooperation. Among other things, we have strengthened the funding for the Barents Secretariat, so that people-to-people cooperation can be extended. We have also strengthened cooperation in Arctic Councils, which have been important. We have a new supplementary agreement with Russia on nuclear safety last autumn. And there was an understanding of the migration situation in Storskog, which was of great importance not least for Norway. So I had hoped that the representative would be satisfied with this.
ParlaMint-NO_2016-04-27.ana.ud1895e637	There will be follow-up questions – Martin Henriksen.
ParlaMint-NO_2016-04-27.ana.ud1895e640	To be honest, I think there are few in the north who are impressed by the Minister of Foreign Affairs and the government's power of action in the North Region policy. In the past, we had a foreign minister who traveled a lot in the north and engaged heavily in the policy of the north. Now it is that after a dedicated speech at the University of Tromsø in the autumn of 2013, the Minister of Foreign Affairs has hardly been able to see in a Northern Region context. It has largely been words and not action. The initiatives and new ideas come largely from outside the government. The regional role, e.g. to the counties of the people-to-people cooperation, is not strengthened. The counties are affected by budget cuts in development funds and infrastructure. The leaks about the defence's long-term plan are alarming, and there is no increased bet. And the increases in appropriations that have been, which the Minister of Foreign Affairs has previously boasted, come largely as a result of decisions by the red-green government, such as a research vessel or hospital in the Church. For this reason, I would like to repeat the question: What new initiatives has the Foreign Minister taken and is the Foreign Minister planning to take in order to strengthen the Northern Region policy, so that Norway remains the leader of the Northern Region policy?
ParlaMint-NO_2016-04-27.ana.ud1895e649	I'm a little in doubt about what the representative wants to achieve with this question. It didn't happen many months after we took over in 2013 before the representative was out and said that now the North Region bet is not what it was under the red-green. So I think the representative has been the most concerned about the map for quite a long time and not the terrain. In the more demanding situation that has arisen in relation to Russia, in terms of growth and value creation in the north, we have achieved results where growth in the north is higher than in the rest of the country. As I also said in the reply to the representative Huitfeldt, we have stepped up the funding to the Barents Secretariat – I heard nothing about that – to strengthen the people-to-people cooperation. We have established Arctic Economic Council in Tromsø, which is very important. So now we have both the indigenous Secretariat, the Arctic Economic Council and the Arctic Council Secretariat there. We've been given appropriations for the new Present. I can list a lot of individual things, but what we've been able to do in the first place is that North Norway appears to be a growing region. I hope that the representative does not aim to talk down his own region, as I can see that it was done now.
ParlaMint-NO_2016-04-27.ana.ud1895e658	Then the oral question procedure is changed, and we move on to the ordinary questioning procedure.
ParlaMint-NO_2016-04-27.ana.ud1895e670	There will be a wide range of changes in the set question list, and the President will refer to the electronic question list in this respect. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative of Hadia Tajik to the Prime Minister, has been transferred to the Minister of Finance. Question 3, from the representative of Odd Omland to the Minister for Municipal Affairs and Modernisation, will be answered by the Minister for Industry on behalf of the Minister for Municipal Affairs and Modernisation, who has been removed. Question 9, from the representative Jette F. Christensen to the Minister for Economic Affairs, has been transferred to the Minister for Transport who is directing him. Question 11, from the representative, Mr Vegar Solhjell, to the Minister for Climate and Environment, must be postponed until the next Question Time, when the Council of State has left. Question 12, from the representative Heikki Eidsvoll Holmås to the Minister for Climate and Environment, has been withdrawn. Question 13, from the representative Kjersti Toppe to the Minister of Health and Welfare, must be postponed until the next Question Time, when the Council of State has left. Question 16, from the representative Jan Bøhler to the Minister for Immigration and Integration, has been transferred to the Minister for Culture who is directing him. Question 17, by Mr Knag Fylkesnes to the Minister for Fisheries, must be postponed until the next Question Time when the Council of State has left. Question 21, from Kari Henriksen's representative to the Minister for Labour and Social Affairs, has been transferred to the Minister for Municipal Affairs and Modernisation, who is directly responsible. The question will, however, be answered by the Minister for Labour and Social Affairs on behalf of the Minister for Municipal Affairs and Modernisation, who has been removed.
ParlaMint-NO_2016-04-27.ana.ud1895e700	This question, from the representative of Hadia Tajik to the Prime Minister, has been transferred to the Minister of Finance.
ParlaMint-NO_2016-04-27.ana.ud1895e703	«The record high unemployment rate has a high cost. Thousands of people are permanently disabled and are out of work. At the same time, the competence of Norway is lost and its capacity for long-term migration is reduced. The government's highest contribution to unemployment is tax cut. It's been over two years since the government removed the inheritance tax and made the first cuts in the property tax. Can the Minister of Finance provide figures showing the number of jobs created as a result of these cuts?’
ParlaMint-NO_2016-04-27.ana.ud1895e715	Firstly, I do not know what cover Hadia Tajik has to claim that thousands of people are permanently disabled as a result of the increasing unemployment. The last figures I have are that measured as a proportion of the working-age population, there was a decrease in the number of people on health-related benefits from 2013 to 2015. So Tajik also claims that the biggest effort of the government to combat unemployment is tax cuts. That's wrong. 14 pst. of the increased space for action that this government has been using since we joined, has gone to different types of tax cuts. 86 pst. has gone to other things. We have used a wide range of instruments to combat the increasing unemployment: We have put forward a targeted package of measures to meet the South and Western countries. We have increased the traffic budget by about the same amount as we have spent on tax reductions. We've put forward a youth package. We have increased the apprentice grant. We have increased the number of sites reserved for young people. We have strengthened Innovation Norway. We have put forward a business plan. We have put forward a maritime strategy. It's working on an industrial message. We have made changes to the day-to-day pay legislation. I think it's good that there's a broad commitment to increasing unemployment. There is no doubt that increased unemployment is demanding for those affected by it. At the same time, we have to recognise that the Norwegian economy is in a very special situation. We have had significant challenges as a result of the oil price drop and the need to cut costs in oil-related industries. Unfortunately, this leads to significant migration challenges in the regions and industries affected by it. At the same time, in other parts of the country, we see a completely different development. Then it is important that we use the right tools and a broad range of tools to strengthen opportunities for growth and value creation where the challenges of migration are greatest, without destroying the growth base where it is really coming up. These are demanding challenges that this government is taking seriously. But we are very busy facilitating the creation of new jobs, and that is a prerequisite for increasing employment that we have jobs, and those jobs must be created by some, preferably businesses. We need profitable businesses that are willing to hire more people, and that is what the government is doing through the broad set of instruments, which also include, of course, a competitive tax system.
ParlaMint-NO_2016-04-27.ana.ud1895e763	The relationship between increasing unemployment and the danger of becoming unemployed is well documented, among other things. by professionals like Knut Røed, so I recommend the Minister of Finance to brief on it. When I point out that the big bet you are in this crisis situation is a big cut in taxes, it is based on your own numbers. If we accept the government's claim that they spend 4 billion. kr against unemployment, a number such as: Stavanger Aftenblad has proven that the number is not correct, and one then uses that number, it's the tax code that corresponds to almost five times more than that. In turn, more professionals, the Financial Crisis Selection, the SSB and various research environments have found that public investment is a far more effective tool for employment than tax cuts. The SSB even writes that tax cuts constitute a small fraction of the impact of public investment or production. So I ask, doesn't the Minister of Finance believe in what the professionals say?
ParlaMint-NO_2016-04-27.ana.ud1895e770	That's exactly why the government has spent most of the increased room for action on increased investment, because we know it works. That's why we've strengthened the movement effort by significant amounts far beyond what the Workers' Party was able to do when they were in government, that's why we've strengthened the research effort, that's why we've strengthened the efforts in the education sector – because we know it works. Yeah, we've also reduced taxes, but not because we think it's a cyclical tool. We've done it because we need a competitive tax system that allows more companies to establish themselves in Norway, so that's the prerequisite for getting more jobs. I believe that it would be much more sober for the debate on the Workers' Party also adhered to the facts. It was once so, at least, that the Workers' Party believed that the increased room for action should also go to tax cuts, but it is possible that it was the Workers' Party under Jens Stoltenberg's leadership.
ParlaMint-NO_2016-04-27.ana.ud1895e777	The government has cut taxes by nearly 20 billion. kr. There are several times as many people as you would have liked to meet the unemployment rate. Then I register that the Minister of Finance won't talk about the big bet of the government, simply cut taxes, and that the Minister of Finance doesn't really want to recognise what the professionals say, simply that a need to spend more money on public investment than it does on tax cuts, if it's one thing, is to have an impact on the number of jobs. So I think, will the Minister of Finance at least extend a hand to the almost 140 000 unemployed and their families and their communities by recognizing that this is a crisis for the country?
ParlaMint-NO_2016-04-27.ana.ud1895e784	There is no doubt that increased unemployment is a crisis for those affected by it, and that is precisely why it is so incredibly important that we use all the means we have to create new jobs. The most important thing we can do for those who now lose their jobs is to create a basis for them to get a new one. Then we have to use all the tools. It is – again – wrong when Hadia Tajik claims that we have spent the large amount of money on tax cuts. I acknowledge every tax reduction this government has carried out, and that is because it is tricked. We have also done so on advice from, among other things. The OECD, which believes that one of the smartest steps to strengthen its competitiveness, is to reduce taxes. But we've just spent the largest room of action on investments. We have increased the traffic budget by as much as we have reduced the taxes. We're now using 66 billion. kr for the knowledge sector. We're using over 32 billion. kr for research. So if you put it in perspective, the government has used a set of instruments, and we know that they're going to work.
ParlaMint-NO_2016-04-27.ana.ud1895e795	‘The government has cut taxes by over 21 billion. crowns, mostly for those who already have the most. This priority has been justified by the government's intention to increase value creation and employment. The working party has previously pointed out that the government spends 50 million. $ a day of tax changes, while there have been 50 new unemployed persons each day. What is the employment effect of the tax cuts that the government has carried out so far?’
ParlaMint-NO_2016-04-27.ana.ud1895e802	Here, too, there is a mistake in the allegations made by the representative of the Workers' Party. Firstly, the government has reduced taxes, not by over 21 billion. kr, but with 18.5 br. kr. Second, it's not right that we've given the most relief to those who already have the most. The truth is that 14 pst. of the increased space for action has gone to tax reliefs, of which only 4 have pst. reduced taxes on wealth. But the government has seen the need to facilitate a competitive tax system by reducing corporate taxes, by doing something about ownership taxes. It is also about taxes on wealth, and it is about making it both interesting and attractive for others to set up jobs in Norway, while at the same time taking care of the Norwegian egg communities that are now clinging to their life works around the Norwegian coast. I think it is very strange that the Workers' Party is not willing to extend a hand to family-run companies that have built values through generations, employed thousands of people around Norway and contributed to the local environments in which they are established. That's the truth and the reason for the value that comes out of many of the family-owned businesses. But once again, I think it would be an advantage in the discussion on instruments to combat unemployment that the Workers' Party was at least related to the facts. The assumption of increased employment is more jobs, and then we have to have more profitable enterprises that will as well as ability to employ more. This is precisely why the government has implemented several instruments. Yes, we have put in place a better and more competitive tax system than under the previous government. We have increased investments massively to different transport investments. We've been focusing on knowledge and research that we know are good contributors to growth and value creation, and we've done it through a wide range of other plans, not least the founding plan and other things that we know will be good and important contributions at a time when the Norwegian economy is going to undergo a transformation. Once, as I also said in reply to Mr Tajik's representative, when the Workers' Party put forward the action rule back in 2001, the Workers' Party, at least at the time, felt that the scope for action should also go to tax cuts. I don't know when on the road, from 2001 until now, that the Workers' Party lost sight of it, but at least it's quite obvious that the Workers' Party we see today is not as concerned with competitive taxes as they once were.
ParlaMint-NO_2016-04-27.ana.ud1895e813	The fact from the Ministry of Finance's own department is that the taxes and charges have changed by 21 billion. kr. We can discuss that more, and I expect that we will discuss it further. But I just have to say that the Minister of Finance still says that she is too tax cut, it may not be surprising, and that there is no clear answer to the employment effect that these tax cuts have given. The passivity of the government in the face of the crisis is striking, and I must remind Siv Jensen that the consequences for people are great. In today’s VG, you can read about Kristine, 22 years old, from Eigersund. She has applied for 50 jobs, is unemployed and knows, as she herself says, that no one wants her. When all the bills are paid, she has 500 kroner left. The rapporteur in Eigersund says the same thing, the unemployment there has increased by 130 pst, and they have 25 pst. youth unemployment, in a small municipality; For Eigersund, the dynamic effects of tax cuts are absent. The values the Minister of Finance talks about are not being translated into new jobs. So what is the Minister of Finance's response to Kristine and to the rapporteur in Eigersund, who is calling for action and who sees that there will be more unemployed, no more jobs?
ParlaMint-NO_2016-04-27.ana.ud1895e820	I have great sympathy for all those who now experience losing their jobs. The best answer to them, when they are now looking for a job after work without necessarily getting a new commitment, is that we are laying the basis for creating more jobs. That's actually the most important thing we can do. Therefore, I believe it is wrong to claim that the government meets this with passivity. We have met it with many instruments, with a package of measures. We've met it with a package aimed at youth. We have met it through Innovation Norway, through the Founding Plan, through a maritime strategy and a wide range of other measures that are in addition to the strong growth in investment in infrastructure, and the commitment to research and education, to mention the most important things. But once again, the basis for employment is more businesses, and can really the Workers' Party, with its hand on the heart, say that their answer, which is to increase the taxes by over 10 billion. NOK 28 million. kr every day – is a contribution to more jobs?
ParlaMint-NO_2016-04-27.ana.ud1895e825	I would like to remind the Minister of Finance that rhetoric does not create any more new jobs, and I have still not received an answer to the employment effect of tax cuts. The finance minister is busy with numbers, I've seen that. That's why I've gone to the national accounts, and there's one that shows that during the eight red-green years, 45,000 jobs were created on average every year. Now there are 23 000 new jobs created under this government, so fewer new jobs are created, the rhetoric of the Minister of Finance does not match the figures. Then it is worrying – also for the Minister of Finance – that even if you have a long list of brawls and think you have a lot of measures, it doesn't work. The action package was just words. There were no concrete measures. There are fewer jobs created now than it did before. My question is therefore: When does the Minister of Finance expect the dynamic employment effects to occur?
ParlaMint-NO_2016-04-27.ana.ud1895e832	I am quite obviously concerned about the increasing unemployment, and that is precisely why the government is spending all its time not filling this with empty rhetoric, which I record that the Workers' Party is doing. We are spending our time promoting action, proposals on proposals, that meet the challenges that large parts of our country are now facing. So I think we have to admit that some of this is going to take time, because when the whole oil and gas industry gets smaller, the growth in new jobs has to come somewhere else. The prerequisites for this must be that some people dare to invest in the new jobs, in the new businesses. This involves both a competitive tax system that makes companies invest here and not in our neighbouring countries, and it is about framework conditions that make it attractive to be in Norway and hire more. That's why the government is using a wide range of instruments to get it done, and we're not going to give up until evolution turns around.
