ParlaMint-NO_2016-11-16.ana.ud119e28	The called alternate of the Nordland County, Anette Kristine Davidsen, now takes the seat.
ParlaMint-NO_2016-11-16.ana.ud119e149	As I mentioned, New Roads impose more than 100 requirements. Many of these requirements are requirements to be met. They include: included all the serious requirements of industry and trade union movement. In addition, they go further and impose stricter requirements than they do, including: in the case of the number of skilled workers to be included. They have claimed 50 pst., and not 40 pst., which have been the industry requirements. They want to strengthen the level of competence in road construction. They also have a requirement that there should be at least 7 pst. apprentices in the projects. They demand and they have an agreement on the LO coordinator in all the projects. They have called for pay and working conditions, subcontracting, bank payment, on-the-spot audit – ISO 26000 – there are very many demands, including those related to social responsibility. There's a much stronger requirement list here than what we have in a lot of other projects in public.
ParlaMint-NO_2016-11-16.ana.ud119e154	Karin Andersen – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e159	If the prime minister is very concerned with foreign criminals, she has a job to do with cleaning up Bergen, where foreign drug gangs are obviously free to hire. With regard to employees and those who work in companies that have concluded large contracts with the public, there is a lot to do. The problem with the case with Nye Weier is that the requirements have been systematically weakened in the last few rounds. The requirement to have been repeated foreseened, sued or made a settlement, etc., is gone – now there is only the requirement to be convicted, again. This is a situation where many Norwegian and others, honestly, companies fight with their backs against the wall. Then you meet companies where you have corporate structures that are such that you can have issues about both social dumping and economic crime. Does the Prime Minister think that the rules should be tightened or weakened?
ParlaMint-NO_2016-11-16.ana.ud119e166	The government is very concerned that there should be zero tolerance for corruption in our society. We've been very clear on this in our ownership of state companies. Unfortunately, we can't beat ourselves on the chest and say that Norwegian companies have also been involved in corruption, but the government has been very clear and clear that we do not accept it. There are also clear demands in the tenders submitted by New Roads on the seriousness of the way in which labour is handled, the working conditions, the qualifications of employees and the use of skilled workers, but also on social responsibility and the use of subcontracting and contracted labour. Strict demands are being made by New Roads in this work. And there are probably as strict demands as there are in many other public procurement work in Norway.
ParlaMint-NO_2016-11-16.ana.ud119e171	Let's move on to the next main question.
ParlaMint-NO_2016-11-16.ana.ud119e177	On Sunday, I was delighted to give a salutation to 423 new citizens in a great civic ceremony in Oslo City Hall. It shows a Norway in change, a Norway that is more colorful, more common, more multicultural, and I want to say better than ever. The question that is then natural to ask is, What traditions do we take with us, what traditions do we not take with us? It's an important debate, and I think it's important that we take care of our very roots. We need to know where we're from. Then young people become safer themselves, and they can meet the new and unknown in a good way. An example of this is the debate we have on cleaning services. There are now principals on Voss who refuse to do so. I don't think there's a particularly strong resistance to cleaning services, but a fear of knocking someone out. It is an important principle that no one should participate in a religious ceremony against their will, and it should be equivalent. But we want to be a life-seeking society, and then the very question is, when it's true, life-seeking and religion: are we going to hide it, or are we going to lift it up? We know that the sacred service to Christmas has been an important tradition and part of our history. So I have an open question to the Prime Minister: What kind of value does she want to send in the questions and the debate that is now going on about services of secrecy?
ParlaMint-NO_2016-11-16.ana.ud119e186	I believe that we are becoming more tolerant and more open by being safe in our own values and in our own history. Norway is a country that has historically been a Christian country, where the Christmas service has been about Jesus and God, and the Christmas celebration has been primarily about it and not about bereavements and Christmas trees. I believe that losing that bond will be a violation of the historical tradition we have. I fully agree with the representative Hareide that it is not that some parents or some children should be required to go to a Christmas service if they themselves do not want it, but to give it the offer and be present and create that framework, I think is a quite natural part of a school day. It's up to every school, it's up to every parent group in collaboration with the principal and others to discuss this, of course, but I think it's going to be weird, and it's going to be a little failure sin if we're going to adjust so much that we don't take along the main reason why we're celebrating Christmas, and why we have that tradition in our part of the world. A Christmas service is one of the things I think many children have good things to experience and be present at. I hope that as many as possible of the parents who have a different religious background, it will also seem important to exercise curiosity, knowledge and learning about what this is, just as I think it is incredibly important that Norwegian children and Norwegian youths learn about Judaism, learn about Islam, learn about Buddhism and Hinduism, and perhaps also experience some of the traditions practiced there. But in this country, we're going to have a historical breach if that's how you're going to be afraid that we're going to have school gods, because we're not going to stumble or make differences between children. This is part of our cultural history.
ParlaMint-NO_2016-11-16.ana.ud119e191	I'm very, very pleased with the clear message sent here by the Prime Minister. I want to exemplify it with what Nobel code player Ayesha Wolasmal says so clearly. He says: ‘Those like me can get an exemption, but I rejoiced to serve as a school god. I thought it was so nice, because it was the only Christmas celebration you were included in. Otherwise, all Norway is closed during Christmas.’ It was her qualms, and it shows that cleaning can be a place for just being inclusive and getting with everyone, but of course based on volunteering. But the government has created some confusion about whether there should be a login or a cancellation around this. The Education Directorate has said that it must be an announcement, while the Minister for Culture has said that it should be a cancellation mechanism. I totally agree with the Minister of Culture that a voluntary cancellation is the good way to do this.
ParlaMint-NO_2016-11-16.ana.ud119e203	Firstly, I would like to say on the question of cancellation or cancellation that I think it might be a bit of detail management if the state decides on how to do this. I feel that you should be able to do this in the individual schools. But I think that making schools an event, it's more natural to say you're not going to attend because you have reasons not to do it, than to make it a voluntary event where you sign up. Then there may be a lot of other things that are fun. And it's part of a school curriculum to be able to participate in it. Then I want to tell you about a story I experienced many, many years ago. It was in the early phase of the Vietnamese refugees, and we had got the first to Bergen. Some time afterwards, the priest at Haakonsvern told of a kindergarten in the neighborhood where they had taken Jesus and God away from the Christmas celebration, whereupon the two Vietnamese families had brought up with him why it was like that, for it was so strange that there was no mention of it. They were actually Catholics, but for some reason it had been thought in kindergarten that they were not Christians at all, and therefore they had canceled Jesus.
ParlaMint-NO_2016-11-16.ana.ud119e210	There will be follow-up questions – first Anders Tyvand.
ParlaMint-NO_2016-11-16.ana.ud119e215	Some of the opposition to school gods services is that some people believe the school must be as neutral as possible. Then it is not only school gods that have been problematized, but also the fact that children teach Lovely is the earth and other Christian Christmas songs at school during the Advent season, and that you get to go somewhere around the Christmas tree at school. Then I fully agree with the Prime Minister that it is great that as much as possible, including those with a different religious identity and background, want to participate in school gods to get an insight into our culture and history. At the same time, freedom of choice is important. But now the freedom of choice is disappearing in many places because school leaders choose to say no, and then my question to the Prime Minister is: Does she worry that more and more schools are choosing to refuse to allow children to participate in school god services?
ParlaMint-NO_2016-11-16.ana.ud119e222	Yes, it worries me in the sense that we get a break from what has been our historical basis – what is an important part of our cultural history and tradition in Norway – that makes you get a smaller picture. In a lot of subjects, we're concerned that it's not just going to be literal learning, you're going to experience it, you're going to understand it through some kind of experience. In a way, it's not to participate in a school divination, or to say that you shouldn't have school divination, to take away some of what will be a presence to see what a service is actually, and to see what religious practice is. So in a professional perspective where we want more of thoughts about understanding and experiencing through other forms of learning, it's important to participate in religious acts in different religions. It also applies in our tradition. I think it's going to be wrong to limit it. I think it is important that you have a local discussion – there may be differences between schools and also in the composition of the population. But taking away songs of a religious nature will mean that we are significantly reducing Norwegian singing heritage, but also large parts of the international song heritage. Almost all prisoners of freedom from the US Civil Rights Movement are concerned with religious issues.
ParlaMint-NO_2016-11-16.ana.ud119e227	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e232	The Christian People's Party has raised the question of religious services, and it's important because it's not just about religion, it's also about culture and tradition. There is also one of several examples of how to understand the Norwegian language. It's also about understanding and knowing the sayings or references to poems by Petter Dass or texts by Alexander Kielland, or even understanding what it means to go to Christmas. At a time when we've been more multicultural, it's not as obvious that kids are growing up today with completely different stories and references. It's not dangerous, it gives you another ballast. But learning Norwegian is especially important for these kids, because they don't get it from home. They have to get it in the common arenas. If they succeed in Norway, if they experience social mobility, if they are able to speak from this or from the Prime Minister's office, they may master the strange Norwegian language. My question is whether the Prime Minister agrees that the kind of social mobility that this is about is important, and what she will do to ensure more insight into the peculiar Norwegian.
ParlaMint-NO_2016-11-16.ana.ud119e241	I fully agree – and I tried to convey that in my answers in the past as well – that, in addition to the fact that it is in a way about religion, religion has been influential in this country since we became Christians in 1030. Those are good stories and bad stories. It is important to remember that women were deprived of many rights in this country, that the Church decided that it was the oldest firstborn son of the king who could become king in Norway, to stop the civil wars early in the 1100s. At that time, we went from a Viking society where women were more equal, to a society where we were not equal for many years. It's an important part of the story to understand that kind of relationship in our society. Understanding how we are today, and how our cultural history is, will also be knowing religion and understanding what our religion is all about. I agree that everyone who comes to Norway needs to learn something about it. Because if we do everything neutral and remove all traces of religion, we remove much of our values and our history.
ParlaMint-NO_2016-11-16.ana.ud119e246	Anne Tingelstad Wøien – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e252	The centre party also believes that Christmas services at school are an old and good tradition, which we believe is important to take care of. It's actually like Christmas is a Christian celebration. Not least, we think it is important at a time when we have become a more diverse society culturally and religiously, because it contributes to increased understanding, and that is perhaps something we need in the time we are in now. Then we must also remember that it is not just about people coming from outside to our country, it is also about different beliefs and beliefs that we have in our country. Through the cooperation agreement with the government in 2013, the Christian People's Party introduced an additional K into the subject of religion, life vision and ethics. It didn't change the practical content of the hours, but it gives the impression that Christianity has become the priority religion. Does the Prime Minister think that the introduction of the word Christianity in the name of the subject has contributed to making the KRLE subject a more or less inclusive subject? And does the Prime Minister think that this may have contributed to the resistance to Christmas services and other traditions associated with the Church?
ParlaMint-NO_2016-11-16.ana.ud119e259	I don't think the introduction of K in the KRLE subject has done anything about the attitude to the issue of Christmas services or not, or that it has created greater or less resistance. I believe that what we did with these changes underlines the fact that the majority in this country count themselves Christians, that there is a greater emphasis on teaching what is the religion of the majority, which I also think was well illustrated in Hadia Tajik's questions instead, namely that it is important for people who come here, or others to learn about and understand our culture, our history and our traditions – understand how Norwegian society is built up. That is also why we set up a common subject – so that all those who have the background of Christian tradition and other things could learn more about other religions, so that we could learn more about and understand those who came here. But it must not mean that we should not learn the most about what has actually been the largest religion in Norway.
ParlaMint-NO_2016-11-16.ana.ud119e264	Let's move on to the next main question.
ParlaMint-NO_2016-11-16.ana.ud119e269	VG and other media have told us the last few days about a state in the Bergens police force that is so insane that it's almost impossible to believe. The police have no means of responding to serious drug crime, and the backers go free. The Minister of Justice of the Government and his party often spoke before the election that one should send criminals foreigners on the first plane out of the country. The reality in Bergen now is that the police are following drug traffickers with drugs on the bus, and they are invisible witnesses. In today's VG, the Prime Minister is trying to make this a matter of time for warning and alert cases. That's important enough, but the Prime Minister takes note of the basic leasing and bureaucracy crisis in the police. In the value of consultants, it is formulated as follows in the crime analysis: ‘The current resource situation suggests that one has little opportunity to initiate new major issues in the police district.’ In the real world, it's the criminals who decide how many big things there are. It is not a decision that the police have the power to control. My question is: does the Prime Minister mean that it is acceptable that the police should not intervene against serious crime for the sake of lack of research capacity and poor budget?
ParlaMint-NO_2016-11-16.ana.ud119e283	This government has increased the police budget by 3 billion. kr. We've increased the number of police officers by nearly 1,000 -- I don't have the number in my head right now. We have a significant boost in the fight against crime, but we also have a significant challenge in some key areas of preparedness, and we have a challenge related to ICT in the police, for which we are now working to find good solutions. We have given clear and clear priorities through the Round of Priorities given to the Police Directorate. There we have been clear that gross crime, gross profit crime, but also gross crime of violence, must be prioritised and investigated. Now the Special Unit is working on the issue of the alert and the situation in the West Police District. We will have to wait and look at their answer, their use of resources and their priorities, but the government's priority towards the Police Directorate is clear: these are priorities.
ParlaMint-NO_2016-11-16.ana.ud119e290	Minister of Justice Anders Anundsen is not aware of being a person of the small words, but in the VG on 15 November he spoke about this year's government budget. Then he describes the following, that these 300 million. kr is allowed: ‘ just to prevent further dwindling and to ensure a somewhat better space for action [[...]] [[...]] When the Minister of Justice describes his own budget in that way – yes, that is not strange. This is about Bergen, and my question is whether the Prime Minister can guarantee that this is unique to Bergen, and that one does not have the same situation, for example. in Stavanger, Oslo, Trondheim or Tromsø.
ParlaMint-NO_2016-11-16.ana.ud119e302	I assume that when a clear priority is given to the Police Directorate, it is followed up in the police districts. That's how the guideline should be, and if it's not followed up, there's reason to go through thoroughly why you haven't done it. This is what the Special Device does now when they look at the warning that has arrived. You work in the line related to the warning case. We have no indication that these priority rules are not being followed up, but there must be priorities for all police districts. Luckily, we see that the Crime Rate goes down in Norway. The percentage of information goes up. There is a lot of good police work in this country.
ParlaMint-NO_2016-11-16.ana.ud119e307	It opens for follow-up questions – first Per Olaf Lundtigen.
ParlaMint-NO_2016-11-16.ana.ud119e312	The Prime Minister stresses the need to follow the line. No one has criticized the person who has notified that one has followed the line. Nothing has happened. The Prime Minister says that one has to work faster on a matter with a 52-page notice of gross drug crime that is not being followed up. The attorney general says he assumes that the chief of police in the West is carrying out his mission in line with central leadership. Before it becomes such a case – is it really so that there are so many leaders for the police officers that they no longer have the opportunity to think sail and take the most important tasks first? One has to go into the matter before one gets such a case, but here there's clearly something about the whole system that doesn't work.
ParlaMint-NO_2016-11-16.ana.ud119e319	There is a clear priority provision – i.e. guidelines – related to the letter of assignment to the police directorate on which issues should be given priority. State lawyers also contribute to some of this priority. But within this, there is room for police officers to make priorities for resource action. I'd say there's been a lot of difficult things in the West District. There is no doubt that the matters they have had include: The Monika case has been demanding for this police district. It has been a bad and difficult thing. It has probably caused a lot of other work to become more difficult to do, but now the special investigation body in the police is going through these questions and has the matter up. Then I think we should wait to take decisions about what has happened until we actually get it on the table. I also record that the police director in today's newspaper agrees with me that this should have been done in a shorter time.
ParlaMint-NO_2016-11-16.ana.ud119e328	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e334	I note that both the Prime Minister and the Minister of Justice are seriously concerned about the situation in the Bergen police district. It is easy to imagine that this case concerns different situations. The background to the case is an employee who is concerned, who wants to do good police work, but who experiences being stopped in what he considers to be his duty. Especially in the last year, police officers and women around the country have been standing up and telling about tight operating frameworks. They are so tight that it goes beyond the operational service and the investigation of criminal matters, and provides inadequate equipment acquisitions. Does the Prime Minister see that the new alert case in Bergen also has, or may have, a context in which police districts have too tight operational frameworks?
ParlaMint-NO_2016-11-16.ana.ud119e341	As I said in my first answer, we have increased the police and justice budget to the prosecutors by 3 billion. kr. It is clear that it means greater room for action within the police, but there are some major investments that need to be made. ICT systems have been waiting too long. It is a very important tool for the police to work well and have a good everyday life, that they have good ICT systems. Therefore, some money goes further into the system to get this in place, but there are also considerably more police officers employed. The fact that we've ordered more police officers to hire for the money you get makes the frames feel tight in other areas. This means getting more people, but you can get a little tougher budget frameworks elsewhere in the individual police districts. There is no reason to conclude today that it is because of the allocation of money that this notice comes. There is no reason to believe that the West has other or greater economic challenges than other police districts capable of investigating serious crime, such as serious drug crimes.
ParlaMint-NO_2016-11-16.ana.ud119e348	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e353	I have respect for police officers who have to make priorities, and hearing the police chief say that for him it is fighting violence against children the most important priority – it is a policeman at my heart. However, when the specialty unit goes into the case, it is mainly because when the police have been ready to go in – one knows that there are backers, one knows that there are drugs in cases – it is ordered not to intervene in order to prevent crime. It's the serious thing. But leave the alert case. I agree with the Prime Minister that there is a special unit inside to investigate. What I am concerned about is that in the budget paper for this year and for the next year, the government writes that in the case of drugs, a particular priority should be given to taking backers. So one knows that one of the biggest police districts hasn't just put it away, but they've closed their eyes when it comes to backers. And then my question is to the Prime Minister: does the government need to know that there are other police districts that don't have a particular priority to take backers?
ParlaMint-NO_2016-11-16.ana.ud119e360	We have no information to suggest that you do not work hard with the backers in many of the police districts, and with the priority that has been given. It is that we give an award to the Police Directorate, and then there are those who are going to follow up the management of those priorities, together with the National Attorney – on which issues are the highest priority in the police. So I have no reason to think you're not doing this in other police districts. Then I think it's important that we now let the investigation of the alert case go its course, because it could be that when it ends, the story is somewhat different, and the priorities will look a little different than what is currently the media image. Now we have a system that will work, and based on that system, we're going to look at the decisions relating to what you're investigating, and the conclusions that are drawn on what you've actually done in the West Police District. I agree that an important priority, and as they clearly state, is violence against children. It shall be of high priority. The weakest shall have the best protection in Norway.
ParlaMint-NO_2016-11-16.ana.ud119e369	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e374	I want to raise my eyes a little, if allowed, for the background to the priorities that have been set in Bergen, right or crazy, is that we are currently using very large resources in the police, in law enforcement, in research and, not least, in criminal matters to combat drug crime. It confiscates large police resources. I have registered with pleasure that the Minister of Health has been out and said that he thinks we can better manage to limit the harmful use of drugs by moving them to health work instead of to the justice sector. It's a line that the left hand side is positive to. The question is, what does the Prime Minister think: Is it a wiser approach to achieving the goal we are some of, simply to limit the use of harmful drugs in society?
ParlaMint-NO_2016-11-16.ana.ud119e381	What the Minister of Health has called for in our programme debate in the Right is that in the case of minor drug trafficking or self-use, instead of fines or other health services, you should be able to get treatment and help – instead of getting a fine or a fine, which too many of the heavy users only end up as a long list of things they owe to the State, and which they never can afford, or which we can at any time recover. It is a debate that we have in our programme work. I'm positive about it, but it doesn't mean legalizing heavy drug crimes or major drug trafficking, or placing on the market and distributing heavy drugs is going to take legalized form. That has not been addressed by the Minister of Health, and that is not what I am in favour of. These gross criminal networks are a mixture of crime — human trafficking, unprofessional conditions in the labour market — and many of these things are linked.
ParlaMint-NO_2016-11-16.ana.ud119e386	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e391	For people in Bergen, this is a sad and serious matter that is ultimately about something as important as the trust of the police. If it is that the backers of serious crime are free, then the mountains, the people of our common hometown, fail. I agree with the Prime Minister that we should not conclude in advance. I also agree that we should not just make it a debate on resources. We need to discuss systems, we need to discuss the systems of police management that can often give priority to the simple in front of the more complex. And then I'm concerned about the same thing as the representative Rotevatn. I am very pleased that Bent Höie has given the signals about a change in course in the Right. I think that will give us a better drug policy. I also believe that this will lead to better resource priorities. We know that the police in Bergen have spent quite a lot of resources fined and followed by addicts on the streets. They should use those resources in a different way. My question is, why do we have to wait until the Right Program comes? The opposition in Stortinget is involved in such a turn. Can't we do that now?
ParlaMint-NO_2016-11-16.ana.ud119e402	The conditions that the Minister of Health has raised and that he believes we may not be spending resources on – fines and other things – are not part of what we believe the police should give priority to spending money and resources. We have said very clearly that this is about the serious criminal networks, the heavy networks related to drug trafficking. It's not running after the drug user on the Torgalmen that's the state's priority, it's the organized networks. We've made changes to some of this. For example, we have had a special arrangement in Bergen where we can judge people for treatment instead of for prison sentences, which have been very well evaluated, and which we are set to develop further to become a penal reaction that will be used much more widely. And then the question is, when do you have a criminal reaction? And when are they more widely referred to different forms of treatment?
ParlaMint-NO_2016-11-16.ana.ud119e410	Let's move on to the next main question.
ParlaMint-NO_2016-11-16.ana.ud119e415	At a time when high unemployment and many with high education and considerable skills have lost their jobs, in the Left's view, it should be a strategy of its own to get many of those without jobs to start new activities. In June 2014, the Left, with the aim of bringing forward concrete proposals for improvement, was a cohesive step towards asking the government to review the framework conditions for individuals. The aim of the Left's proposal was not only to make more people bet and create a job for themselves and perhaps someone else, but also to increase the chances of more people being closed. So far, after over two years, there are surprisingly few, if any, proposals in this way from the government – no proposals that improve the tax conditions for individuals, no one that improves social rights, nothing about simplification for individuals and nothing about increasing access to risk capital – rather the opposite. One thing is that the government doesn't give priority to following up the decision and the will of the Storting, something else is that the government doesn't give priority to making everyday life a little easier for those who choose to start themselves – people who are willing to take a big personal risk of creating values with others. Community is entirely dependent on such people, of whom we need far more. If there was one thing left-wing thought was synonymous with a Right-front party government, there was a much more offensive policy in this field. Is it my glasses, colored as they are of the Left's burning commitment to innovation and innovation, that stand in the way, or am I right in saying that the government of Solberg in action is just as little occupied by self-employed and those who dry and want to bet on a business idea, as the red-green government was?
ParlaMint-NO_2016-11-16.ana.ud119e426	I disagree that we are not engaged in business start-ups, that we are not concerned about establishing businesses. We have put forward our own business plan, we have followed this up by facilitating not least more start-up grants through Innovation Norway, and we are working on the overall, large-scale simplification work that has so far reduced the cost of reporting to the public – under this government of 7 billion. kr. All of this is also important for self-employed people, which makes it easier to report, easier to start and easier to deal with the rules that are for everyone. It's also easier to get help with the establishment. It's interesting to see that last year the SSB said that we have record entrepreneurs. The registered 61 000 persons established in personally owned enterprises and companies in 2015. So there's a huge growth in this. In the third quarter of this year, 4.1 pst was established. more enterprises than in the third quarter of 2015, so there was a record in the number of established persons both as self-employed persons and as a limited liability company. The share company model has been made somewhat more favourable with the changes made to share capital. This may mean that a part that would previously be self-employed chooses to set up a limited liability company. They will also have a clearer relationship with some of the social systems, and their responsibilities can be somewhat more limited by the way the company is organised. We are now working on the review of the framework conditions for self-employed workers, including in the social field.
