ParlaMint-NO_2016-10-19.ana.ud107e28	The representative, Mr Pollestad, will present a proposal for a representative.
ParlaMint-NO_2016-10-19.ana.ud107e121	There will be follow-up questions – first Tore Hagebakken.
ParlaMint-NO_2016-10-19.ana.ud107e126	The finance minister reminds us once again that the Progress Party went to the elections in a large tax haven – for most people – but already in the first budget the Progress Party failed in this way. Then several of the party's biggest representatives pushed out and demanded that the tax cuts in next year's budget should benefit ordinary people. The result was an even more unsocial budget. Neither in the third round of the budget did it cut the tax for most people. Siv Jensen has now submitted its last budget. Almost 25 billion. kr goes to tax cuts, but most people are left with only one five a day. In addition, the government has increased the fees by 3.3 billion. kr. Those who really have reason to rub their hands are the rich sponsors of the government party Right. They've contributed 16 million. NOK 230 million. kr in tax cuts. What does the Minister of Finance think about her own voters being eaten with crumbs, while Right-wing sponsors can laugh all the way to the bank?
ParlaMint-NO_2016-10-19.ana.ud107e133	Who has said that this is the last budget of this Minister of Finance? So to the question of tax relief for most people, it's like an average family has got over $8,000 in tax relief with this government. It's possible that the representative Hagebakken thinks it's too small to count, but to think so, you might have been sitting on the Stortinget for a while with a good salary. I rather believe on the contrary that it is good that the government has managed to give tax relief to everyone – evenly distributed. And so that's still like 75 pst. of what this government has spent on reducing taxes and taxes, has gone to any tax reduction other than a reduction in taxes on wealth. But yes, we have also given priority to reducing property taxes – again – because we believe it is wrong that there should be a difference in the taxation of foreign and Norwegian-owned enterprises in Norway. I had hoped that the Workers' Party had come a little further in its view of Norwegian ownership in Norway.
ParlaMint-NO_2016-10-19.ana.ud107e142	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e147	It is tempting to follow up when the Minister of Finance says, ‘Who has said’, that I might say, ‘Yes, what do you mean?’ But we're going to discuss in the party every now and then who should sit here and there, so I'm going to leave it, even though it was very tempting to continue on it. I agree with the Minister of Finance that there may be good reason to read this report and see what time it is for, because it is absolutely right that it applies until 2014 and is largely about the previous period of government. I'm going to come back to that in my main question, but I want to ask the Minister of Finance: how does she assess the balance in terms of the distribution policy between transfers and tax relief?
ParlaMint-NO_2016-10-19.ana.ud107e155	It is such that the overall view of the action space that the government has had in this period has about 14 pst. reduced taxes, while above 85 pst. have been strengthening different parts of the welfare community, from strengthening the community economy, strengthening hospitals’ budgets and contributing to record investment in road and rail investments to re-establishing the maintenance set-up – at least starting to work on it – to making changes in childcare policies so that we particularly support under low-income families, to put in place a reinforced care scheme, which I believe is an important contribution to the next year’s budget. This may not apply to many, but to those involved, this is an incredibly important contribution to mastering a demanding everyday life with very ill children.
ParlaMint-NO_2016-10-19.ana.ud107e160	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e165	The party of progress now has three years in government. I want to bring the pariliar Siv Jensen back to the election campaign in 2013. I am absolutely sure that Siv Jensen would have protested if the centre party had then said the following three things: the centre party believes that after three years with the Progress Party in government, the Norwegian people will pay a historic amount in fees; an increase of 3.3 billion. kr. The central party believes that after three years with the Progress Party in government, there will have been a new Norwegian record in tolls. The centre party believes that after three years with the Progress Party in government, tolls have been introduced into the air. We didn't say that in the Center Party, simply because we didn't think it would happen. Now it's happened. So my question is: Is Siv Jensen happy to have completed the lifting break of the times in Norwegian politics and have charged the Norwegian people 3.3 billion. Do you have any additional fees?
ParlaMint-NO_2016-10-19.ana.ud107e170	The President will recall that there should be a good link between follow-up questions and main issues. But I'm going to leave to the Minister of Finance if she wants to answer.
ParlaMint-NO_2016-10-19.ana.ud107e175	President, I would like to respond to that, because I am very pleased with the participation of the Progress Party in government, where we are taking more steps in the right direction. So as long as we've been in government, tax cuts of over 18 billion have been adopted. kr. It is true that some environmental taxes have increased. But we have also removed the inheritance fee. We have removed and reduced a large number of other charges. We have made repairs and changes to the car charges, which I know are very much appreciated by many of the country's drivers. Then it's true that we've set a historical record on the transport side. There has never been more money allocated to the road budget than during this government. In addition to having record appropriations for new investments, we have started a job that the previous government completely neglected, that is, the maintenance set-up. It is now going down with the Progress Party in government, and I am very pleased with that.
ParlaMint-NO_2016-10-19.ana.ud107e182	Ketil Kjeseth - for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e187	I would like to put the question to Mr Hauglie, since work and unemployment are also a topic for the question. The unemployment rate in my home country, Uppland, is on record 1.7 pst. So the unemployment isn't equal all over the country. We were in a financial crisis a few years ago, and the industry and parts of the labour market in Uppland changed. In addition, Nav has also been imposed, but has also organised some changes to get people working. So you did a good job in Uppland and Hedmark, in the Inland, where you don't depend on the oil price, but maybe more on the dollar price. But it's important how Nav works, and some projects have been tried out in the last three years. Now some of them are at risk of being stopped, and especially some projects aimed at those with drug problems and mental disorders. What will the Council of State do to continue the good projects?
ParlaMint-NO_2016-10-19.ana.ud107e192	First of all, it's quite right that the representative says that the Inland is going down, so it's going down, not least because of the crown price, and that's good. With regard to the projects to which the representative refers, it may in particular relate to one project, the so-called IPS project, which is a pilot project that is being tested in several parts of the country. I myself visited the project in Bodø and got an introduction to the good work they are doing there. I have also visited a project in Oslo, which is not financed as a pilot project, but which is a similar method. Now the project goes out. What we're concerned about is seeing how we can continue the good experience, retain the competences that have been developed in these projects, also in the future. We are committed to securing funding even after the project period expires, until we get this implemented in the ordinary work. We are in dialogue with the Ministry of Health about how we can continue these good experiences, and I feel confident that we will find a good solution to that.
ParlaMint-NO_2016-10-19.ana.ud107e197	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e203	My question is to the Minister of Finance. In spring, a tax reform was adopted that, according to the Newspaper, had a hair-tracing distribution profile. That's why it's good to hear that the whole bouquet of parties that we agreed on that reform, now that everyone has become concerned about increasing differences. That's very good. That's what's needed, because the government has distributed tax cuts to those who have the most in this society. It's a roughness that doesn't apply to everyone at all. For example, those who have lost their jobs, those who are in an insecure situation, those who might need good arrangements, tariff schemes that provide termination benefits, experience getting tax returns from the government. How can it be that those who have to stop due to bad times have to pay more in taxes when Siv Jensen decides, while those who have the most, will always get tax cuts?
ParlaMint-NO_2016-10-19.ana.ud107e210	This government has been concerned that everyone should benefit from tax reductions. It is an honest matter – as SV – to want to increase the overall level of taxation in Norway. So this government disagrees. We chose to reduce the tax burden, we have achieved reductions in the tax burden, and we will continue to implement reductions in the tax burden, simply because that makes sense. It makes sense because it facilitates more work, it facilitates more investment, and it facilitates more people to live on their own income. This is absolutely necessary in the current transition challenge of the Norwegian economy. The fact that we also make reductions in taxes on wealth is necessary for several reasons. The main reason is that we have different taxes on foreign and Norwegian ownership in Norway. I think that's unreasonable. There's a difference this government wants to remove. We know that many now have challenges in paying the property tax. So there is a reason why the Storting decided to suspend the payment of property taxes, simply because many companies might otherwise be at risk of ending up.
ParlaMint-NO_2016-10-19.ana.ud107e218	Let's go to the next main question.
ParlaMint-NO_2016-10-19.ana.ud107e223	My question goes to the Minister of Labour and Social Affairs. As referred to earlier in the Questionnaire, a report on the economy and living conditions of different low-income groups was published a few days ago. It covers the period until 2014, as mentioned above. It is the Council of State that has ordered this report, and we have to expect a report to be commissioned to look at the results and propose some measures to prevent groups from remaining low-income groups over time. I would like to quote from the report, as some have obviously not quite got what it says: ‘The development after 2001 was relatively stable with small changes in the proportion of persons with persistent low income up to 2011. Thereafter’ — and then until 2014 — ‘there has been a clear increase in the proportion of persons with persistent low income’. I expect that someone each has to ask themselves what went wrong in those years. What's very interesting is to see what groups this report points to as persistent low-income groups. It is not least the least-in-one pensioners, there are some immigrant groups, and there are some families with children. That is why I am very pleased that the Christian People's Party has had an impact on increasing pensions for the lone minimum pensioners in the year's budget, and that we have made sure that many children and parents – not least – get a lower parental benefit in kindergarten if they have low income. My question is: Does the Council of State think that this is a report that will help to reduce differences in Norwegian society – now I do not look at the tax system but at the transmission system – and what will the Council of State do with the report and follow up to the Stortinget?
ParlaMint-NO_2016-10-19.ana.ud107e242	Having a good knowledge base is absolutely crucial when designing our policies. What the report shows is – as the representative also says – that inequalities have increased slightly over the years. From 2009 they have increased. What's also important to remember when you look at the measure of income inequality is that you only look at the differences in income. It doesn't measure the impact of politics, and that's what we're concerned about: pursuing a right policy. There are three issues that are important in balancing differences: One is that we have an inclusive working life where we manage to include those who stand far away from work. Let's do that, for example. by having a labour market policy that captures those who find it difficult to get in on their own, through several action areas, through their own rapid track for immigrants, etc., as we are now proposing. The second is that we make sure we have a good school where it's not crucial where you come from, but who manages to lift all students regardless of background. That is why we are also betting on the school in our budgets, together with both the Left and the Christian People's Party. And the third element that is important is that we have a social security network that captures those who need help, it is good health and well-being services, that we have a health system that captures them more closely with mental health problems and drug problems, or that we have good social systems that capture poor families, such as free vacation and leisure services for children, that we are now keeping children's income out of the way by measuring social assistance, and that we have cheap and free childcare facilities for families with low incomes.
ParlaMint-NO_2016-10-19.ana.ud107e256	All of this helps to reduce inequalities in Norway. It doesn't come out when you just look at the income differences, but it's important to keep up with us when we're going to design our policies, and that's the background for us in our budgets, together with our cooperation parties here on the Storting, to bet on the kind of action that we know has the most impact for those who labor the most.
ParlaMint-NO_2016-10-19.ana.ud107e259	I agree with a lot of what the Council of State says. But if one flips it a little bit, we want a line of work. That's what we're working for, and it's what we need; we're looking at the level of employment. We want a good school, and we want to include those that otherwise fall outside. What I want to challenge the Council of State in the budget presented is: What measures for those groups that cannot be expected to enter the labour market will she point to be the most important to ensure that the social security network is intact?
ParlaMint-NO_2016-10-19.ana.ud107e264	Now I think that most people have the opportunity to contribute a little bit to the world of work. Looking at the reports, we see that the main reason for the rise in income disparities and inequalities is that we have had strong immigration into Norway in recent years. The differences are mainly driven by immigration. But we also see that social mobility in Norway is high. When you get to Norway with two empty hands, your income will increase quite quickly and in a very short time. We are committed to including many of the immigrants who are now coming, through their own fast track for those who are close to the labour market, through improved vocational guidance in reception, by improving the ability to increase the skills of those who come to Norway, including those who are coming to Norway. by ensuring that those who are not admitted to higher education from abroad are now given the right to take secondary education. All of this will help to strengthen more people who are currently out of work. Then, of course, we're also going to make sure that those who can't work have good arrangements to live from, among other things. through the decisions we have taken jointly, not least in the case of pensioners, here in the Storting.
ParlaMint-NO_2016-10-19.ana.ud107e273	There will be follow-up questions – first Line Henriette Hemdal.
ParlaMint-NO_2016-10-19.ana.ud107e278	To really combat the inequalities, we need to see individuals: children who can't go to football training because they lack shoes or who can't participate in skiing. It hurts them, it hurts a mother and a father, and it hurts all of us. The government's strategy for child poverty is that of the Ministry of Children and Gender Equality, which has the overall responsibility for, but Councillor Hauglie has some of the most important measures. For the number of children in poor families to be reduced, the income of families must be improved, and that is either employment or social benefits. The Left, the Christian People's Party and the Government have worked with this focus in various budgetary negotiations over the past few years. However, the government's draft budget for 2017 does not include a similar contribution for children in low-income families. My question is: is the government satisfied with the government's strategy against child poverty when the strategy expires in 2017?
ParlaMint-NO_2016-10-19.ana.ud107e287	The government has worked extensively with the Christian People's Party and the Left here in Stortingen to reduce child poverty through its own escalation plan and action plan to reduce the differences. It is a plan that involves many departments, and has many elements in it, and is about both good welfare arrangements, about free holiday and leisure arrangements, about free and cheap kindergartens for these families, etc. We're going to continue to target action against families that are struggling, but the most important thing we can do for families who are struggling with poor finances is to make sure that they are more involved in working life, that they get income to live on, and that their children get a good school, so that they do better when they go out to work themselves.
ParlaMint-NO_2016-10-19.ana.ud107e294	Dag Terje Andersen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e299	When the government of the state budget submitted for next year proposes to cut the basic and auxiliary aid, when it cuts in grants to child care, when it cuts in preparation, and when it cuts in aids and gravitational assistance – together cut at 146 million. kr to some of the weakest groups we have in the country – do the Council of State think that the difference is getting smaller or larger?
ParlaMint-NO_2016-10-19.ana.ud107e304	This budget is a social budget in which we implement and take important steps to get better arrangements for those who are struggling. We are now going to reform the care scheme, a care scheme that many have called for for improvements for many, many years. It is an important measure for those who have sick children. We do more than double the budget of this scheme, and we almost double the number of people entering it. We strengthen functional assistance for those who are in the working life. We reverse the tightening up that the previous government did in interpreting help to deaf blind people, who need to improve and increase the freedom of those who are deaf-blind. We now come with an intensified youth effort for young people under the age of 30 who are unemployed. And we have important measures to integrate refugees faster into working life. I would recommend the representative, Andersen, to read the entire budget and see the totality of what we're doing. Then he'll see that this is a very social budget for those who need help.
ParlaMint-NO_2016-10-19.ana.ud107e312	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e317	I would first like to thank the Council of State for having made a confession, and that is that increasing differences are driven by immigration. With that, I understand the labour force, that's what's the main reason. The centre party fully agrees, and the problem will strengthen in the future, because the Landsorganisation has now come to the conclusion that this is a dilemma in relation to their yes to the EEA Agreement. The hardest hit are those who have the weakest links with the labour market and with people with disabilities. Compensation of employees is a scheme that both employers and employees’ organisations see as a good instrument in reducing, in these circumstances, differences in income. My question is: Why does the government not put up a strong commitment to wage subsidies – lasting and temporary – to reduce the differences?
ParlaMint-NO_2016-10-19.ana.ud107e324	To this with inequalities and immigration driven: Yes, it is immigration driven, but I did not say it was labour-driven. In the immigration group, there is also a much larger group than those mentioned by the representative here. There are also refugees and others from parts of the world who have bigger problems and greater challenges of entering the labour market. So this is more nuanced than that. That it's immigration driven also means that it's a result of having an open economy, and that we've accepted many who are coming. I fully agree with the representative that we should use wage subsidies more. It has the greatest effect, and therefore you should also use it more. It is also our clear message to Nav that we want to use it more when they are now getting people out of the labour market. We now see that the use of the grant increases more than it did before, and of course we want it to be used even more in the future.
ParlaMint-NO_2016-10-19.ana.ud107e331	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e336	It is very interesting to read in this report. One thing you can read is that there are fewer and fewer poor retired people in Norway. That's good. Funny enough, though, this group, which is now richer than other groups, is a major effort from the Council of State in the budget for next year, by 1.6 billion. kr for married and cohabiting pensioners. But then you can read about the groups in Norway that are really and actually tired. One of the groups being highlighted is refugees – not EEA immigrants, as the representative Lundt owns just pointed out, but refugees – and not least children with a migrant background, who have a significantly lower income than others and who have major challenges. In the summer, state councils are sending out a number of proposals for tightening up social security schemes to that particular group. Then my question about the facts we now have will affect the work on those proposals.
ParlaMint-NO_2016-10-19.ana.ud107e345	Yes, we sent out a proposal at the hearing in July. The consultation deadline expires on 1 November, and then we will have plenty of opportunity to review both the hearing opinions and to present a case to the Stortinget where this will be debated. The starting point for the proposal we sent out is that it is part of the integration agreement, that is, we want to go through the various welfare systems, the social security systems that are targeting refugees. Today, refugees have some special arrangements that other residents in the country do not have. We've been through them. And we've also gone through the living requirements – that is, what's the condition, the entrance ticket to get some of the lasting benefits. So we're both concerned that we're going to have housing requirements – that is, that we have to have a certain amount of time here to get full access to some benefits – and we're busy reducing the special arrangements for the refugees. But at the same time, we also say to make sure that those who come have an income to live on when you won't get the normal working time that others will get. That's also the background for us wanting to move some of the refugees into an additional social benefit, to make sure that. We will come back to this later when we put a case before Stortinget.
ParlaMint-NO_2016-10-19.ana.ud107e356	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e361	The bourgeois parties, who have now had a small seminar on poverty, have previously agreed to ‘axe’ the child supplement for disabled dependants. It affects thousands of children. The government itself has estimated that the 367 families that are hardest hit in the current year will receive an average of NOK 29 000 each. It'll get the $8,000 in tax cuts that the Minister of Finance ran off instead, to pale. It throws more families into poverty. And polite recommendations from the Christian People's Party in the Questionnaire on precisely these groups do little to help when you're in the process of adopting budgets where you're adopting more poverty. Does the Council of State have anything to report to these families that is most affected by the government's own cuts, or is she, like the Minister of Finance, going to answer with a fully rehearsed ideological rule on anything other than the question?
ParlaMint-NO_2016-10-19.ana.ud107e368	There's cross-political consensus in this room, I see, that you need to strengthen the line of work, and that it's worth working. The size of the population adopted an inappropriate reform to stimulate it, and it has been decided how to calculate the child supplement in order to support it. The importance of the children’s supplement to the working line was also challenged by the previous government, both through the non-preferential and through the Brochmann Committee, which looked at the unfortunate aspects of this. But at the same time, we are committed to strengthening the welfare offer and arrangements for those who are struggling, through cheaper and even free kindergartens for three, four and five-year-olds, through cheap SFOs in selected cities and urban areas, through a good school and early effort to capture the students and through other targeted schemes to assist those who are struggling. So that's the sum of what we do, which you have to look at, and then you'll see that you have a social security network, also for the group that the representative is involved in.
ParlaMint-NO_2016-10-19.ana.ud107e377	Let's move on to the next main question.
ParlaMint-NO_2016-10-19.ana.ud107e382	On TV 2 Sunday evening we could hear about Laila Furubotn, who works in a kindergarten in Masfjorden. She is volunteering in the fire service, and she had received a daily course to deal with situations of ongoing life-threatening violence. The reason was experience and fear that the police will not come when there is an acute crisis. So then it's babysitting Furubotn, who's volunteer in the fire service, who's going to solve it when there's acute violence in the Masfjord. On the state budget day, a taxi driver in Kongsberg was beaten with a cola bottle in his face. Colleagues then called the police and asked if they could come and help, but the answer was: we don't have the capacity to do that, so you can do it yourself. We could read this summer that there was someone who found a dead person in Høyanger, and the police said, "Can't you send a picture with a cell phone?" In Stavanger, the police could not come because of the threat of violence. In my state we have seen a number of headlines, among others. in Hamar Arbeiderblad: «The case remained untouched with the police for two years». Due to lack of money, they had not been able to hire lawyers. The plan was to hire three lawyers this year, but it couldn't be done because of lack of money. At that time, the person was released from prison. The Minister of Justice is not here, but the Minister of Finance is responsible for funding and allocation to the Norwegian police. We have now seen a crisis around the Norwegian police force and poorer and poorer local preparedness. What will the Minister of Finance answer? Is the Minister of Finance satisfied with the situation we now see in the Norwegian police, and does she believe that Norwegian police have sufficient funding?
ParlaMint-NO_2016-10-19.ana.ud107e392	The President has some doubts as to whether the question is addressed to the responsible State Council.
ParlaMint-NO_2016-10-19.ana.ud107e397	It is for the person responsible for financing, and it is the Minister of Finance.
ParlaMint-NO_2016-10-19.ana.ud107e402	I'll leave it to the Minister of Finance if she wants to answer.
ParlaMint-NO_2016-10-19.ana.ud107e407	It is absolutely right that the Minister of Finance has budgetary responsibilities. Although I believe that the representative, Mr. Schlagsvold Vedum, had received a more complete answer by raising the question to the Minister of Justice, I should like to answer more than that, because Battle violence Vedum creates the impression of a police officer who has not been allocated resources under this government. It's as far away from the truth as it's possible to get. So in the 2017 budget, the government is adding 300 million. kr to the police districts to strengthen the staffing where people live. In next year's budget, the government proposes 330 million. kr to hire newly trained policemen. There will be more and not fewer policemen. We are now approaching the target of two officials per 1,000 inhabitants, and there is at least a lot of evidence that we will achieve that goal in 2020. We have given priority to getting funds for new police helicopters to strengthen our preparedness. It is a means of reforming the police. There are ways to improve ICT. There are ways to strengthen prisons. There are ways to strengthen the courts. So that's a fact. I noticed what the police's own trade union said when they took a position on the draft budget for 2017. They were happy. The only fear they now have is that during the budget negotiations, the Storting would be trying to reverse some of the efforts of the government. So yes, I am well pleased that the government is betting on and prioritizing the fight against crime in the Norwegian community.
ParlaMint-NO_2016-10-19.ana.ud107e418	What's going to be the strongest thing left after this collapse period is the government's ability to self-confidence, not least when Justice Minister Anders Anundsen used the community's resources to create a showcasing video about himself. The government should – instead of being so preoccupied with boasting of itself – get out and look at reality. Last fall they also said there was going to be a huge increase in the local police force. In the Inland police district, it was said that there would be 27 new posts. So far, zero has been employed. Instead of recruiting new lawyers, they have not been able to recruit new ones, because resources have gone to reorganisation, bureaucracy and internal processes. So we've seen a huge resource cut in connection with the police reform that's been going on, and the police force out there is getting worse. That's the reality of talking to the police community locally. So my question to the Minister of Finance is: Is the Minister of Finance satisfied that we have seen a huge growth in the bureaucracy in Oslo, with over 50 pst. more staff in the Police Directorate, and huge growth in the use of consultants? Is it a wise resource use, or should you rather use those resources locally, close to where people live?
ParlaMint-NO_2016-10-19.ana.ud107e425	I had the pleasure of discussing this issue with the Battle of Vedum in the NRK programme debate on the day the budget was presented. Even then, the representative, Mr. Schlagsvold Vedum, made the same false claim that this government has prioritised more resources to strengthen the Police Directorate than to manipulate police positions outside where people live. That's wrong! Just to take the numbers: there are 239 permanent members of staff in the Police Directorate, who run a team of 15,500 employees. That's the number. Then I understand that the representative of the Battle of Vedum, in everything he does, wants to create an impression of a government that centralizes. The truth is, the near-police reform is helping to carry out more police years out where people live. That's the right way to prioritize, because it's going to bring down the call-out time. That means that people can get faster help when situations arise.
ParlaMint-NO_2016-10-19.ana.ud107e430	It opens for follow-up questions – first Jenny Klinge.
ParlaMint-NO_2016-10-19.ana.ud107e435	The question will, after an example, be addressed in a specific question of money use. The favourite activity of the blue government has been to centralize, and it seems that it is their main goal in the reform of the police. And when they went in to centralize the payroll and accounting functions of the police into a common center, we argued strongly in the Central Party that this new center had to be located outside the central eastern region, and fully support that Kristiansund was finally elected. But we're stowing when it's now set up to build a temporary center in Oslo, with the extra resource use it means. It's hard to understand why the police at one stage are going to find offices and move people and spend money on this when it should be possible to let the police districts continue to handle these tasks until the Kristiansund Centre is up and running. Does the Minister of Finance, like the administrator of the government, think that this is a sensible use of resources and resources in a police force that is in pain with money for police work?
ParlaMint-NO_2016-10-19.ana.ud107e444	The President considers this to be at a level of detail that is quite high, and that it is below the Minister of Justice, but I do not know how the Minister of Finance deals with it.
ParlaMint-NO_2016-10-19.ana.ud107e449	Let me answer the question by meeting the claim of centralization. Once again, this is one of the favorite exercises for the Center Party, but it won't be any more true even if the Center Party repeats it every time they get a chance to do it. The truth is that many of the reforms that this government has launched are about improving the efficiency of money use in Norwegian society. It is a matter of allowing the representative’s tax revenue to be used more effectively than it was in the past. This means that if we can find other ways to organise joint tasks, which means that we save and free resources so that we can strengthen service production, strengthen welfare systems, yes, that's a good way to apply tax money. That is why this government intends to continue its efforts to implement reforms. To date, we have implemented a police reform. We are well in the process of implementing a municipal reform. We have carried out important and necessary reforms in the transport sector, an area in which we know that we have used the money incorrectly and got less for every penny we have inserted. There is a poor use of resources, and it is therefore important to implement reforms.
ParlaMint-NO_2016-10-19.ana.ud107e458	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e464	The Labour Party has great expectations of the final outcome of the police reform: a better police service. And we aroused good dialogue and good cooperation when the final Police Norway was to be realized. Several municipalities now report that the dialogue on police reform has not been good enough. Not listening goes back in this period of government, from the general strike in 2014 to today. In several policy areas, there is little involvement of employees, trust-chosen and non-governmental organisations. Figures from the national administrative database show that the number of employees in POD, the Police Directorate, increased by 17 from 2005 to 2013. From 2013 to 2016, there are 96 more, 16 times that number every year. Now it is going to be exciting to see the calculations regarding the number of police per 1000 inhabitants after the reform has been completed. Less dialogue between the parties and several bureaucrats – is this a direction the Minister of Finance is satisfied with, and is it a goal for the government to continue in that direction?
ParlaMint-NO_2016-10-19.ana.ud107e471	As I said in my first reply to the representative, Mr. Schlagsvold Vedum, it is wrong when it is claimed that the main effort of this government has been to strengthen the Police Directorate. The biggest effort on the part of the police has been to provide police posts in the districts where people live. That's what the government has prioritised spending money on. But I want to remind the representative that some of the heirs of the red-green government were a lack of follow-up to the Gjørv Commission's report, which was a very serious criticism of the lack of preparedness in Norwegian society. Of course, resources, including those of the Police Directorate, had to be followed up in order to manage, co-operate and coordinate preparedness in Norway. That's what this government has been following up on. But the main priority remains security in the everyday lives of the individual where it lives, and that is why we add more resources to the country so that we can have more police positions.
ParlaMint-NO_2016-10-19.ana.ud107e476	Hans Fredrik Gruvan – for follow-up questions.
