ParlaMint-NO_2016-04-06.ana.ud272e31	The representative of Sveinung Rotevatn will present a proposal for a representative.
ParlaMint-NO_2016-04-06.ana.ud272e111	In the Political Quarter on Monday, the Council of State ran with the favorite activity of the government: to complain to the Labour Party about not talking about their own policies. We seem to be passive and do not understand the long-term challenges of employment policy. Well, a shell that is known to be careful to throw stones when sitting in glasshouses. In the Labour Party, we see the relationship between the short-term and the long-term, and that one here has to focus on both and then act. Unfortunately, the government has been revealed that they do not understand it. For two years, the Prime Minister has been traveling around as a kind of tired mother without more offering the unemployed than a pat on the shoulders with an assurance that one will follow the situation closely. The so-called ‘action package’ is too far off, and the unemployed in the West have reason to feel cheated. In Norway, the highest unemployment rate can now be measured at some point, without the necessary measures being taken – cork in the short or long term. Is the Minister of Labour really comfortable with what's going to be in the history books about government efforts?
ParlaMint-NO_2016-04-06.ana.ud272e118	I feel pretty sure that what's going to happen in the history books is that the government put work, activity and conversion in the high seat through the priorities it did, in the budget and also through the action packages. So on historically high unemployment: The availability was higher in 2010 and even higher in the 1990s. However, it is clear that this situation is serious, and that is also the background for the government to give priority to what creates change, work and activity through a historical investment in infrastructure – it is crucial – and also through a historical focus on knowledge, research, education and what creates the jobs and innovation of the future. So I feel sure the story is going to go well with us. But there's no reason to think that this is happening by itself. We need to work continuously every day to secure the jobs. That is what the government is doing through the state budget we have presented, through the powerful package of measures we have put forward, as when the areas they are going to reach, and then we are going to present the revised national budget on not many weeks and the state budget for the autumn.
ParlaMint-NO_2016-04-06.ana.ud272e125	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e128	The challenges we see now are very geographically dependent. In particular, the affected South and West countries, other areas actually experience shortages of labour and, at least, a decline in unemployment. This is positive, but that means that the policy instruments must be targeted. At the same time, the Minister of Labour is absolutely right that there is a long-term job to be done. There's the long-term tool that helps, and there we're doing well. In order to address the increased unemployment rate we now have, concrete and targeted measures are needed in those regions. I want to challenge the Council of State on a special group, and that's youth. For young people between 18 and 24 years of age, the last quarter of 2015 was 8.8 pst. The last quarter of 2010, during the financial crisis, was 8,5 pst. Youth unemployment is higher now than it was in the financial crisis. This is a very dangerous sign because young people who should have been, for example, young people. apprentice or get into work, ends up with Nav instead. Will the Council of State provide something in the revised national budget, which is, of course, right around the corner, to strengthen the efforts of this group?
ParlaMint-NO_2016-04-06.ana.ud272e138	First of all, I would like to say that I share the concern of the representative, Mr Ropstad, for the young people. It's a group that's close to my heart, too. What we're going to get into the revised national budget, we almost have to wait – revised is just around the corner. Let me say something about what the government is doing for young people in the budget that has been presented, which also includes the Christian People's Party and the Left. I am committed to ensuring our young people a good education, that fewer fall outside the education cycle, and that those who fall outside are included. Youth is a priority today in Nav. We have presented a youth package in the 2016 budget, which includes both additional action areas, targeting young people in particular, and a new two-year training scheme in Nav for young people to ensure basic skills. We are now clearing up the guarantee schemes to target and systematize work better, and we are also increasing the apprenticeship grant, to mention something. So youth is a priority group for us. It is important for us that they stay on the school bench, and that those who are going out to work are guaranteed a safe and good job.
ParlaMint-NO_2016-04-06.ana.ud272e145	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e148	Many of the workers who lose their jobs today can become tomorrow’s employers if they succeed in creating their own business. And I know that the government and the Storting are concerned that it should be easy to start for themselves, take the chance, and luckily. One challenge that is self-employed is that if you have gone on a daily allowance and choose to start a business and not succeed entirely with it – a low ignition, one can go bankrupt, which will happen to many – it will give you quite a few possibilities later when it comes to the right to a social security network. Experience in France shows that if a self-employed person retains a daily allowance for the first few years of starting his own business, it leads to more and more profitable enterprises. Would the government like to consider additional provisions in the Day Money Code to allow more people to start on their own?
ParlaMint-NO_2016-04-06.ana.ud272e157	I share the commitment of Rotevatn to self-employed people and to creating my own businesses. That's what we're doing right now, just to help create more jobs for ourselves, but maybe also create jobs for others. This is also why the government has presented its own business plan – because we are concerned about this. For my part, as I mentioned in a previous answer, I have made changes to the day-to-day pay legislation which means that more people who become unemployed, who want to start their own business, can do so while they go on a day-to-day basis. Today you have the opportunity to go on a daily allowance for nine months while starting up. We want to extend it to twelve months. It is a proposal in Stortinget. We are also constantly looking at whether we can make other changes to the day-to-day money regulation, including: to make it even easier for entrepreneurs. And then there's a sample under the Ministry of Finance, a divisional economics committee -- it's someone else's name, I think -- that's also going to look at the rights of the new forms of employment, and self-employed people will be part of it.
ParlaMint-NO_2016-04-06.ana.ud272e166	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e169	In the case of increasing unemployment, the most severely affected young people, and those who quit high school, are hit hardest. A total of 10,000 of our 60,000 young people do not participate in interventions. Nav has a responsibility to help them get work, but much does not work. The recent national audit report shows that the follow-up of young people outside training and work is very poor. It's serious, and it gets worse. More jobs are needed for these young people. More jobs are needed in the private and public sector for this most vulnerable group. In a rough estimate, I would say that there is a need for at least 5,000 new places with a fixed-term salary subsidy. It is necessary because the youth teams we have are not able to do a good job if it is not employers who accept this vulnerable youth. My question is, what are the arguments against such a bet?
ParlaMint-NO_2016-04-06.ana.ud272e178	This government is highly committed to addressing the challenges raised by the representative Lundtigen. Our entire state budget is just about securing more jobs and secure jobs that can include more people in the workplace. In the case of youth, two things in particular are important. One is to make sure they have the knowledge, education and qualifications enough to get a job. The government now has a number of measures to address the most vulnerable young people through, among other things. Nav, by increasing the apprentice's grant, and now we're also making sure that youth law passes into adult law – that there's no gap there. So it's about knowledge and education for young people, but it's also about reducing the risk for employers by taking in many of them that you might not otherwise have. There are, among other things: a major measure of wage subsidies, and this has also strengthened the government. Then we have changed the Working Environment Act, which will make temporary employment easier – so this government has this high on its agenda.
ParlaMint-NO_2016-04-06.ana.ud272e187	Kirsti Bergstø – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e190	Unemployment is severe both for individuals and for communities affected by bankruptcy and depopulation. Just before Christmas, the announcement came that South Variety Gruve in Kirkenes was bankrupt and that nearly 400 workers lost their jobs. In a society of 10,000 people, about 1,500 people are affected directly or indirectly. South Varanger can really need a lift from state muscles in such a demanding situation. And we know that conversion agents and action packages have been used in the past, by the former government at least, in similar situations. I wonder: In what way can, and will, the government assist communities like South Varanger, which are severely affected by bankruptcy and depopulation and experience a great deal of unemployment today?
ParlaMint-NO_2016-04-06.ana.ud272e199	I think maybe the Minister of State...
ParlaMint-NO_2016-04-06.ana.ud272e204	Was the question addressed to the Council of State Sanner?
ParlaMint-NO_2016-04-06.ana.ud272e208	The question was addressed to the Minister of Labour because it deals with unemployment – the municipality of South Varanger in relation to the high degree of unemployment in the municipality today.
ParlaMint-NO_2016-04-06.ana.ud272e213	But you asked for specific action packages for South Varanger. I think perhaps the Minister for Municipal Affairs and Modernisation will be the right one.
ParlaMint-NO_2016-04-06.ana.ud272e218	It's Sanner's constitutional territory, so when Sanner's here, maybe Sanner can get answers?
ParlaMint-NO_2016-04-06.ana.ud272e221	I encourage the one who thinks it has the best answer from the government to answer.
ParlaMint-NO_2016-04-06.ana.ud272e226	I thank you for that. It is important that the person with constitutional responsibility also responds, and that the use of any means of conversion be placed under the Ministry of Municipal Affairs and Modernisation. It is quite right, as the representative says, that South Varanger has been hit hard after the bankruptcy. There were about 422 people employed in the mine, and it also has indirect effects on the community. Then it is that in several cases we have given means of conversion, at the latest to the local authorities, who were in a difficult situation. There are very specific criteria to be able to get such support, and they are that at least 150 employees lose their job, and that it is 15 pst. by the employees of the municipality. There's something below that limit. However, we have received an application, and we will deal with it thoroughly and properly. Of course, we are prepared to try to help the community as best it can.
ParlaMint-NO_2016-04-06.ana.ud272e235	Let's move on to the next main question.
ParlaMint-NO_2016-04-06.ana.ud272e238	My question goes to the Minister of Industry: in the last few days, we have seen a lot of suggestions related to what is now called Panama Papers, and where one of our major banks, DNB, which is partly state-owned, has been a frequently mentioned institution in this context. The state is known as a partner in many companies, and that is not the only company that has now been in focus, with a clearly negative sign, where the state is also the owner. I'm referring to Statoil, Angolan corruption prosecutor, and Telenor, Uzbekistan's corruption prosecutor, and Hydro, Tajikistan's corruption prosecutor. The country’s ten principles of good ownership include, inter alia, the second principle: ‘It shall be transparent in the exercise of ownership and in the activities of the company’. And in principle 10, it says, "Company will work purposefully to discharge its social responsibility." That's how a number of criteria are mentioned, including: issues related to anti-corruption and transparency, and then there's a sentence that I think it's important to include in this context: Traditionally, the concept of "social responsibility" has been intended to cover matters beyond compliance with laws and regulations. The Council of State itself was very clear in its statement, when this communication was being dealt with, that the state's expectations on these issues should be strengthened. So in the light of this, it might be an obvious question: how does the Council of State think that the state's intention, as adopted in those principles of good ownership, is being respected in the companies in question?
ParlaMint-NO_2016-04-06.ana.ud272e251	It is true, as the representative says, that a number of information has emerged and, unfortunately, a number of issues relating to companies where the State is on the ownership side. I have to be very honest and clear and say that I wish that this was information that had emerged in our ownership dialogue with the companies. For very many of the companies, this is a relationship that goes back in time, which should have emerged at a much earlier time, actually many years ago. Now that this hasn't happened, I'm glad that we get publicity around this, because it gives us an opportunity to both intervene in individual matters and to follow up the individual company, to figure out what happened, how it happened and how it could happen, and also to see what consequences this has for the companies, but also for our ownership. We have – since I joined – strengthened our expectations. A unanimous increase has joined the social mission of the companies, the way we expect the companies to work. We're taking this into account in our dialogue with the companies, we're having constant dialogue throughout the year. Social responsibility is one of the points that we are going to address in depth. In addition, I met with all the directors of the state companies, also for two of the companies that are not under the Ministry of Industry and Fisheries, to clarify our expectations early in the period, in 2014, and to exchange information on how companies work. I felt that it was a good meeting, and that many of the companies reported back that it was important to get this information and share experiences. I have now called for a new meeting to review how the companies have evolved in two years. We have also asked PwC to look at our legislation, compared with British and American law, and look at the behaviour of international companies in this area to find best practice. So we work systematically both for individual companies and in general.
ParlaMint-NO_2016-04-06.ana.ud272e264	I think there were a lot of good follow-up points in what the Council of State now came along with. What we have to ask ourselves as partners is, when we spend a lot of time and energy saying what expectations we have of the companies we're in, is whether the answer to history has now been that what has been laid down on paper, has not been followed up in practice, either in the companies or from the state, as the party you own. So I really perceive that the Council of State says that the management of ownership has so far been too weak, and that it will be improved, and I would like to have a confirmation of that.
ParlaMint-NO_2016-04-06.ana.ud272e273	Yes, the work on social responsibility must be something more than a theoretical exercise; it must be a practice for systems, cultures, and it must be worked systematically from top to bottom in any company. Then we also have to be clear that this means that we have to look at our own ownership exercise. We also have to learn from these things.
ParlaMint-NO_2016-04-06.ana.ud272e278	It opens up for follow-up questions – first Line Henriette Hemdal.
ParlaMint-NO_2016-04-06.ana.ud272e282	In the last few days, the disclosure has clearly shown that DNB has made it possible for customers, through the mailbox companies in tax havens, to avoid paying taxes. This is far from what the government wrote about social responsibility in the ownership announcement, to which the Storting has agreed. The state council has asked for a statement from DNB, that's all right. In response to the representative Syversen, the Council of State was a little involved in some of the measures she has taken. What other action will the Council of State take beyond what has already been presented here in Stortinget?
ParlaMint-NO_2016-04-06.ana.ud272e287	Now it has to be said that for each company there is different information and different facts on the table. Some of the companies clearly reject the fact that there is a breach of laws, regulations and guidelines. That's how different companies have a slightly different situation. But we follow the individual company and are dedicated to bringing all the facts to the table. It is too early for me to conclude with what this will lead to for the state's ownership management, but I have to be clear that we also have to learn from this. This should not have happened, it should not have happened, and it should have been in the public domain a long time ago.
ParlaMint-NO_2016-04-06.ana.ud272e292	Else-May Botten – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e295	I have one specific question, and that is: why aren't the departments finding out these things? It's the media every time. Why isn't the department going into this kind of thing and actually finding out?
ParlaMint-NO_2016-04-06.ana.ud272e300	I should have answered that. These are relationships that lie many years ago. I can't answer what owner dialogue was at an earlier time. I cannot answer why this has not come up before. I wish it had happened, I wish we could have caught up in this earlier. Now we're in a situation where it's come up. I'm glad, it gives us an opportunity to work on this and prevent it from happening again – and then we have to learn from it.
ParlaMint-NO_2016-04-06.ana.ud272e305	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e308	We have gained insight into tax evasion and attempts at creative tax planning. There are two types of tax planning: the manifestly lawful tax planning and the manifestly illegal tax planning. Between these two, there's definitely a grey zone. I suppose the Council of State agrees that companies in which the state is a major owner should not be in this grey zone. Will the Minister of Industry also encourage Norwegian private companies to stay away from this grey zone?
ParlaMint-NO_2016-04-06.ana.ud272e313	Yes, it's quite obvious, we want a high standard in the area of social responsibility, not only for companies where the state sits on the owner's side, but for all Norwegian companies and people. But my constitutional responsibility is linked to the companies, so that's why I'm following them. We've been very clear, and we've strengthened our expectations through the ownership message both to transparency related to cash flows and to avoid placing money in countries where we don't have tax agreements. So we're more than clear, but my appeal goes to absolutely every company.
ParlaMint-NO_2016-04-06.ana.ud272e318	Terje Breivik – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e321	The combination of the words ‘corruption’ and ‘tax haven’ on the one hand and ‘largest company in which the State is the largest owner’ on the other often shows up disturbing. The list for which the Seven did well. Today, large state companies are usually role models with negative signs. It is, of course, easy for us in this Chamber and for the Minister to state verbally that this cannot continue. The information and information currently available in the wake of DNB cases, and the way in which the clear message from the late Minister of Finance in 2007 was perceived and not followed up, indicate that this is very close enough. In this way, and that is also my question, it is not most interesting what the minister says – although she now says very much the right things – but what he actually does in practice to ensure that these companies become role models with positive signs, in accordance with the interests of the major owners.
ParlaMint-NO_2016-04-06.ana.ud272e326	What we can do is go into the individual case, meet the companies, get presentations from the companies. As far as DNB is concerned, I have asked for a written statement, I had a meeting with them last week. I have also asked for a written explanation where a number of new questions are expected to be answered. Then we have to do our own ownership exercise, but also the company's work in this area. We're dealing with the boards of companies, they're the ones who are going to do this job, and that's what we have to expect to do the job. Then we have to see if we're going to change our routines for this -- I'm completely open to that.
ParlaMint-NO_2016-04-06.ana.ud272e332	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e335	The councils almost respond as if this was a completely new discovery, but we had LuxLeaks two years ago, and we know that a number of state-owned companies have been operating in or in possession of tax havens for a long time. If everyone here in the Chamber is so very much in agreement that there is a grey zone to avoid, is the Minister of Industry willing to instruct the state-owned and the company-led to end his occupation with tax havens?
ParlaMint-NO_2016-04-06.ana.ud272e340	This is no new discovery. I had only been sitting in the Council of State for a few weeks when Yara adopted a historically high fine. After that came Telenor, and other companies have unfortunately come up with things that are right in time, but where it has been my responsibility to find out both what has happened and how we are going to work on this, and I have done that. Then it's not in line with our ownership principles, which a unanimous growth has decided, to instruct the companies. The Boards are the ones to make the decisions. But in the case of tax havens, in terms of transparency about cash flows, our expectations of the companies are completely clear in the ownership announcement. I would like to invite the representative to read page 83 of the ownership message. It can't be misunderstood.
ParlaMint-NO_2016-04-06.ana.ud272e347	Let's go to the next main question.
ParlaMint-NO_2016-04-06.ana.ud272e350	My question goes to the Minister for Municipal Affairs and Modernisation. A number of publications are available on the local authority’s websites to assist municipalities working on the community reform. Some of them have been published by the Ministry. On 1 April 2016, the nation had a longer article on the use of referendums and polls in the community reform. This is a political issue. Very many believe that referendums should be conducted, that they are the most democratic, and until the municipal reform came, they have been common practice. The article states that a supervisor who is offered by the Ministry of Municipal Affairs and the Ministry of Modernisation recommends the use of polls rather than referendums, and that it has been developed by TNS Gallup. How will the Council of State explain that a company with an economic interest in the selection of polls by most municipalities has been entrusted with the task of developing such a supervisor in a political issue?
ParlaMint-NO_2016-04-06.ana.ud272e361	Let me first say that there is now full speed in the community reform. Local politicians from all parties all over the country work well. They see that this doesn't go over. They see that municipalities face some challenges that make it necessary to change, and that it is necessary to build strong welfare municipalities, so that citizens can be given good services in the years to come. It's the local politicians who have to make the decision. They are the ones who are going to decide who they want to join before the County and the Grand Duchy and the Government make final decisions. The citizens must be heard, but how to hear the citizens is up to the municipalities to choose. They can do it through public meetings, they can choose to do it through so-called community studies, or they can do it with referendums. I see from the recent referendums – last in Sunnfjord – that people agree to build strong welfare municipalities. It was only in one municipality, Florø, that there was no in the referendum, so this is a local assessment. We've had an open process about who's developing the population survey, and I don't see any problem that it's a private company that's making such a proposal. And I have full trust – full trust! – that local politicians choose the solution that they think is best. This is an offer for local politicians, and I trust that they will make a wise assessment.
ParlaMint-NO_2016-04-06.ana.ud272e372	The council has made it a habit to talk for a long time about loose and firm that had to lie on his heart, when I ask a question. I would like an answer to my specific question, and out of respect for the Storting, I hope to get it. The more municipalities that choose a population survey rather than a referendum, the larger the market for actors such as TNS Gallup. They were so lucky to get the assignment to develop the supervisor. To me, it is an unfortunate mix of roles and not at all suitable to strengthen the legitimacy of the democratic processes that are now taking place in the communities. I believe that this helps to increase the democratic deficit and will therefore ask concretely: does the Council of State not see any unfortunate aspects of this?
ParlaMint-NO_2016-04-06.ana.ud272e379	The answer to the question is no.
ParlaMint-NO_2016-04-06.ana.ud272e384	It opens up for follow-up questions – first Marit Arnstad.
ParlaMint-NO_2016-04-06.ana.ud272e387	No, it's not that difficult. The Ministry of Municipal Affairs and Modernisation must send technical advice to the local authority sector. TNS Gallup is the head of the Department of Municipal Affairs and Modernisation. They conclude that polls are better than referendums. That is a contentious conclusion. TNS Gallup sells polls at the same time. They therefore have a direct economic interest in the conclusion they have made on behalf of the Ministry – a conclusion which is then sent from the Ministry of Municipal Affairs and Modernisation to the municipalities as a technical council. My question is, when the Council of State considers that this is not problematic: are there many other areas in the department where private companies with direct financial interests in a case send out professional advice on behalf of the department?
ParlaMint-NO_2016-04-06.ana.ud272e396	I can first confirm that there are different views on how to hear the people. Some municipalities do it through public meetings, others do it through community surveys, some do it through referendums, and some have a combination. There are also different points of view between the political parties. The former leader of the centre party, Anne Enger, has warned against the use of referendums and recommended the use of population surveys. This takes place in full transparency – full transparency – and I trust that local politicians will make such an assessment. I have answered the question: I see no problem that it is a private company that has made a draft of what such an investigation might look like.
ParlaMint-NO_2016-04-06.ana.ud272e406	Stine Renate Håheim – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e409	From one reform to another: yesterday the government presented the Communication on future regional elected levels, and we in the Workers' Party are very pleased that there is now a broad majority in the Parliament for elected government at regional level. Both KS and several of the parties on the Stortinget have criticised the government for its low ambition in terms of task transfer to the regional level. It is a criticism that we recognise from the municipal reform, because what the council said would be the task assignment of the times to the municipalities, has provisionally ended with the approval of the swimming pool, the issue of passports, and that the rapporteurs can implement civil marriage. This has not exactly contributed to increasing enthusiasm for the community reform, so one year ago, the Workers' Party and the majority of the population voted for the transfer of several major tasks to the regionally elected level. Why has the government not followed up on this in the message that was submitted yesterday?
ParlaMint-NO_2016-04-06.ana.ud272e418	The President believes that this question is a little bit on the side of the main question, but the Council of State can answer if he feels the call.
ParlaMint-NO_2016-04-06.ana.ud272e421	I can confirm that, but I still think it is a good question, and I am very pleased with the positive attitude of the Labour Party towards regional reform. The Right Party and the Progressive Party – as the representative Håheim knows – have initially considered that there have been enough levels of government, but when there is a majority in the United Kingdom, on a proposal from the Left, which would keep three, and we have been asked to facilitate regional reform, we do so. I think it makes sense and is right to implement a regional reform. Too much takes too much time, because we have an obsolete structure. The discussion of tasks becomes a little bit like the discussion of hens and eggs, because some states say they are waiting for the state, and then the state says it will first see if there are any results. Let me remind you that when the major municipal reform was carried out 50 years ago, not many major tasks were started. They started by enabling municipalities to handle several tasks, and then they came later. We have put some concrete suggestions on the table now. I look forward to good cooperation with the Christian People's Party and the Left – also with the Workers' Party – on a structure for the states and regions of the future.
ParlaMint-NO_2016-04-06.ana.ud272e428	Geir Sigbjørn Tuscany – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e431	I want to go back to the community reform. It now takes place around — land and beach — in all variations and in all shades. And it seems that some people have realized – perhaps recently – that there will be a reform. It's useful, and the country needs it. I believe that the talks on community reunification will continue long after the reform is over, in municipalities that see the benefits of it. In the middle of this, the income system is also an important element. Much can be said about it, but the new structural criterion divides municipalities into ‘voluntary small’ or ‘involuntary small’. But I get some reports from municipalities that can become ‘involuntary small’ because the neighbors are blocking. It seems to be a group that may require specific measures. What does the Council of State think about that?
ParlaMint-NO_2016-04-06.ana.ud272e440	Let me first thank you for the constructive work of the Christian People's Party on the community reform. It's important that there are a lot of parties behind it. The Christian People's Party, the Left and also the Workers' Party have said that you see the need for larger municipalities – Jonas Gahr Støre said in a speech yesterday that he is honoring those who are now doing the good job out in Kommune-Norway. When we look at how we can create strong welfare municipalities, we also need to have an income system that builds up under it. We can't have an income system that freezes an old structure. The income system has rewarded those who have chosen to stand alone and made it more difficult for those who have wanted to join forces. So it is that there may arise some situations that may be unfortunate. Well, then we'll see, we have to see how we can facilitate such a situation. But now it's important that we get the main principles in place, and I hope that we can do that.
ParlaMint-NO_2016-04-06.ana.ud272e449	André N. Skkelstad – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e452	The main question was whether you had faith in all the different indicators if it was to be done by a private company, and the approval of it. In recent times, several of us have observed that there are many ways to try to slow down processes. Last time we had the joy of Sunnfjord – there were many municipalities in Sogn and Fjordane who said yes. Despite the fact that many of the Central Party saviors have traveled over and tried to preach the happy message of standing alone, there were seven municipalities out of nine who responded yes. The Oslo power could not override this, which many had tried to do – the local people's regime won. What does the Council of State think about the process in Sunnfjord and the municipal reform so far?
ParlaMint-NO_2016-04-06.ana.ud272e461	Let me start by saying that I'm following this very closely. I joined NRK Sogn and Fjordane on Monday evening and follow with interest how local politicians from all parties – and I would like to say many constructive ones from the Center Party – work on this locally, because you see the need, and you are concerned about how to provide the citizens with good services for the future. It is true that in Sogn and Fjordane, there was a clear commitment to continuing to create strong welfare municipalities in Sogn and Fjordane, in Sunnfjord. I mean, that's good. I see that it works well all over the country, and I think it is based on a recognition that Kommune-Norway is facing some challenges that do not go away. It's about the many tasks, especially in the welfare field, the municipalities have, it's about how to help the most vulnerable among us, and it's also about seeing some financial clouds that can make it more demanding for the municipalities in the years to come.
ParlaMint-NO_2016-04-06.ana.ud272e468	Karin Andersen – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e472	If major new reforms are to be carried out both in municipalities and in regions, it should well be that one knew what to use those regions for. You don't. I also note that the government and the Council of State are not particularly excited that the population should know neither the economic consequences of these reforms nor the tasks for which these new units are to be responsible. Nor are they particularly enthusiastic about the people being able to say their own way through a referendum. On the question from the Central Party on the Council of State, there were some problems that those who have an economic interest in organising investigations and not referendums should be the ones who give the Council, the Black Council of State no. I would like to ask: why, and what arguments are there for those with financial interests to be the ones who advise both the ministry and the municipalities?
ParlaMint-NO_2016-04-06.ana.ud272e481	In fact, municipalities make independent decisions. The Ministry of Municipal Affairs and Modernisation has recommended community studies. The reason why we do that is that we believe that it gives local politicians the best decision-making base to decide who they might want to join. I have full confidence in local politicians – whether they want to choose a population survey, referendum or want to hear the citizens in other ways. The fact that the survey and the sketch for it has not been prepared in the department, I think is an advantage. I think it's an advantage that those who have knowledge of how to conduct this kind of community study do it. Then it's local politicians who decide if they want to use it or not. To repeat it, I have confidence that they're making wise decisions locally.
ParlaMint-NO_2016-04-06.ana.ud272e488	Let's move on to the next main question.
