ParlaMint-NO_2016-05-11.ana.ud122e26	The representative, Tove Karoline Knutsen, will present a proposal for a representative.
ParlaMint-NO_2016-05-11.ana.ud122e243	The Russian has launched the ‘No is no’ action itself, and at the Russian events there is now more watchkeeping, more lighting, separate toilets with their own watchkeeping, we can read. However, the fight against rape must take place in many arenas, affecting many sectors. The anti-violence action plan expired in 2014. A plan is not important in itself, but a plan puts something in focus, and a plan allocates responsibility. My simple question to the Council of State is: When does a plan against the fight against rape come – not for the sake of the plan, but precisely to combat rape? Or, as the Council of State said to the representative, Ropstad: we have to look at it comprehensively, in the overall perspective.
ParlaMint-NO_2016-05-11.ana.ud122e252	I fully agree with the questioner that it is not an action plan that is the most important, it is the measures that are actually being implemented, and that one is able to coordinate that effort as well as possible. In the context of the near-police reform, we strengthen the competence of the police, we increase the quality of the work done by the police, and we are now working to go through the whole care of the victims to draw it into the work done by the police, so that one does not get into a situation where one after having delivered the report remains standing entirely alone in the fight, which will then be very tough for the victim. At the same time, there is cooperation across different departments with different responsibilities in this area, so that we can ensure effective action against rape is as good as possible. I cannot come to any date or any conclusion as to when a possible new action plan against rape will see the light of day, but there is a way to coordinate action, to allocate responsibilities clearly, and it is a natural instrument to consider to ensure that the fight against rape continues at the same high pace as today.
ParlaMint-NO_2016-05-11.ana.ud122e261	Lise Wiik – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e264	The Council of State is well aware of the importance of securing sufficient resources for the police in the field of investigation and also points to the importance of prevention measures. I am very pleased with that. Nevertheless, we know that there are major shortcomings in the custody of the raped person. Reception for the raped must be local in the municipalities, and we know that the municipal economy is tight – very tight in most municipalities. This means that rape reception is too low a priority. So my question to the Council of State is this: how will the Council of State provide enough funds to the municipalities so that it is possible to prioritize the reception of rape?
ParlaMint-NO_2016-05-11.ana.ud122e271	I fully agree that the reception of rape is very important, and that it is an important offer for those who have been raped. Local authorities will then have to give priority to the provision of municipal services within the framework they receive at all times, but there are also a number of grant schemes to help provide a good level of provision for victims of rape. I think the most important effort I can make to help rape victims get the best follow-up possible is to better coordinate victim care with the work the police are doing. An example of this is the so-called Trondheim model, where one has a good and close cooperation with the municipality and has co-located the follow-up and support work for victims of violence, including for victims of rape, so that after a report, a person is almost led down to the aid device and support device that can help him to progress in life and through the heavy hour of an investigation and a legal case, perhaps in several ways. So I think that's where I'm going to focus my efforts on giving the most concrete offer to victims of violence and rape.
ParlaMint-NO_2016-05-11.ana.ud122e278	Iselin Nybø – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e282	Citizens in this country have a huge expectation of the police in terms of rape cases, both in terms of prevention and, not least, in terms of investigation and custody. We saw this quite clearly when a waitress in Gjesdal was at least produced a little unlucky as he recommended that all Russian girls wear bicycle pants during the Russian carriage. Then it becomes quite clear in the media that the audience expects something quite different from the police than that it should be the advice the police give to the Russian. Now it is certainly not that the gentleman believes that you have bicycle pants on under the Russian suit, so you are doing well, and then you have done what you need to do. But the audience was clearly not satisfied with that statement. My question is, do we have sufficient training in gender-based crime and sexualized violence at the Police College, so that our policemen are equipped to take care of the serious issues involved?
ParlaMint-NO_2016-05-11.ana.ud122e291	I think that's a very good question. There has been a lot of progress in the development of curricula at the Police College in recent years, also to raise awareness of new officials and women in the field of sexualized violence. I think the most important job we're doing now, among other things. In the context of the near-police reform, it is to contribute to the benefit not only of new students but also to the benefit of the whole sector. I think, unfortunately, that it is still necessary to have concrete training, concrete leadership focus and concrete follow-up to these matters in a way that is different from what you have been used to in the police. Unfortunately, there are often women in the police who have been most concerned with sexualized violence. We have to reverse that tradition completely. Everyone in the police must be as concerned about this as the Council of State is, as the police director is, and as the police are. I am absolutely convinced that it will help us to get better advice than what was given by this gentleman, and I will distance myself from all attempts – regardless of whether this may be so or not – to make the victim responsible for a rape.
ParlaMint-NO_2016-05-11.ana.ud122e298	Kirsti Bergstø – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e301	Over half of the girls in this country experience sexual harassment, that is, unwanted attention around sex, body and sexuality. We know that one in ten is being raped. It is heavy experience to carry with it for the women of the country. We also know that several cases of sexual harassment and rape are reported in the Russian era, and every year we see that the police around are out there asking Russians not to be too full and to take responsibility for themselves. This year it has peaked with advice to wear bicycle pants during the Russian era. I wonder how the Council of State believes that sexual harassment and rape can be combated and prevented during youth and during Russian times in particular?
ParlaMint-NO_2016-05-11.ana.ud122e308	Fortunately, I believe that much good work is done, not least by the Russian himself, in terms of prevention. I think that's where the main effort needs to be corrected. One is totally dependent on ensuring the necessary respect between Russians, between people regardless of gender, and that we are quite clear that making the victim responsible for a rape so that the rape can happen is not acceptable. If rape is to be prevented to the greatest extent possible, a number of preventive measures are to be taken. I have been interested in some of them in my previous answers. In addition, we must have effective criminal liability to effectively discharge those who commit these rapes. Here's a potential for improvement, which I've also had in terms of research, quality and follow-up. There are too few of these cases that end up with clarification and judgment, and I think one of the most important things we do now to improve this is – in addition to the investigation promise – the work on the near-police reform, which means that a few dedicated investigators with the necessary skills to follow up this. And then I have great faith that victim care will also be preventive. The fact that one contributes to a good example of police clearance and follow-up will hopefully help to reduce the number of victims.
ParlaMint-NO_2016-05-11.ana.ud122e313	Let's move on to the next main question.
ParlaMint-NO_2016-05-11.ana.ud122e316	My question goes to the Minister of Justice. It is imperative for the police to carry out a major police reform while maintaining good police work. The centre party wanted a different police reform than the reform that was agreed on, because we think it will allow for much more centralisation than the large majority will admit. Now more police districts are notifying that they have too few resources, and some of them are giving up profit-criminalism because they don't have all the jobs. We also get to the right that it goes beyond the follow-up of more serious crime and the prevention work. The centre party has previously challenged this issue and warned of possible problems in the implementation phase of the reform. I think there is every reason to doubt whether the government has provided enough room for police districts to provide good enough services to the people, while at the same time implementing the police reform, for one question is: if the problems in the police districts have nothing to do with the police reform, what is the cause? The party of progress has stood out as a guarantor that the police would get sufficient resources, choose to notice before they came into government. It may seem that the government and the Council of State have not been prepared for how much it will be necessary to carry out such a reform, and how much extra it will take for the police to be able to keep up with good service production in the process. My question is: has there been a greater problem than the government in the implementation phase of the police reform, or has the Council of State not ensured that the police districts have enough resources to cope with this phase?
ParlaMint-NO_2016-05-11.ana.ud122e329	The premise on the question from the representative Klinge is quite wrong. Firstly, we are now in an implementation phase. She has a very important point, namely that carrying out a major reorganization, in parallel with providing good services, is very demanding. However, there is nothing to suggest today that the implementation of the near-police reform is at the expense of the problem-solving process. After the government change, the police have added more than 3 billion. kr. This is a huge effort on the part of the Norwegian police. There are more than a thousand new police posts, including the 2016 budget. There are more than a hundred new police lawyers on the payroll than they were on the government shift. There are 16 new state lawyers, i.e. a massive effort and a massive commitment to Norwegian police, and there are funds of their own to implement the reform. That's also how you'll never get into a situation where a police officer can solve 100 pst. by all tasks and clarify and clarify all offences. I think the representative Klinge and I agree on that. The question is how to arm the police in the future to do that job as best as possible, with the resources that are available at all times. Then I am amazed that the Central Party does not want a near-police reform that is just supposed to release that force out in the police districts, near where people live, while at the same time getting a police force with more competence and more resources to deal with more serious and fundamental crime. The implementation of the near-police reform is quite well on track, but it is going to be challenging. This is not a reform that implements itself. We have recently received a draft master plan for the implementation of the reform of the Police Directorate, with which we are now working further, in order to have an overall framework and plan for implementation, inclusion and follow-up of all the very good political objectives that a broad majority in the UK is behind. I do not share the concern of the representative, Mr Klinge. What I would be concerned about was if we hadn't now implemented the near-police reform and had thought that the police as they are today are well organized, because it isn't.
ParlaMint-NO_2016-05-11.ana.ud122e342	The government called the police reform a near-police reform and claimed that she would not act as a centralist. It goes without saying that cutting from 27 to 12 police districts is a bit centralizing. In the future, there will be a lot of issues about the possible merger of the Länsmannskontoret and likeins about bringing together functions in the police in fewer units. In matters relating to the location of state jobs, we should, of course, have political governance to ensure that state jobs are spread throughout the country. In the case of localisation of police officers, the government clearly showed that they prefer shade away from this theme. Now we have a new case on the location of the payroll and accounting unit in the police department. POD uses here the criterion that effectively excludes all regions other than the Oslo region from being allocated to these workplaces. Why does the Council of State not ensure that the location of functions in the police is conducive to regional development and to improving the balance of the labour market around the country?
ParlaMint-NO_2016-05-11.ana.ud122e351	I just have to comment on the starting point for the near-police reform. The most important thing for people is that the police come when they need it. There's no standby in an empty janitor's office. Putting down a place of employment that has a staff member present three times a week, between 2 p.m. 10 a.m. 14 a.m. or 4 p.m. 10 a.m. 15, doesn't give a local standby, it doesn't give a local police officer. And if one sees what the majority of the population, the broad majority, has come about in terms of strengthening the local police through the near police reform, then there are measures following measures to compensate for what is today a far more distant police force than what we should have. With regard to the location of the coordinated remuneration and accounting department, which the representative addresses, it has now been sent to the hearing. The Police Directorate will receive a hearing response within the consultation period and a decision will then be taken. Of course, the national guidelines for the location of jobs will also be important, including for the government, when that decision is finally taken.
ParlaMint-NO_2016-05-11.ana.ud122e358	It opens for follow-up questions – first Geir Pollestad.
ParlaMint-NO_2016-05-11.ana.ud122e362	We probably remember all of the Council's showcasing video from the last election campaign, where the Council of State presented its image of the justice sector. There are many policemen out there who are not as satisfied as the Council of State with the situation in the police. The only police car after 405,000 km has collapsed at the county office in Nesna, Northernland. The mariner must ride, go or use a private car in the service. We didn't see Mr. Hogne Rosø in his Nesna or his Volvo in the Council's propaganda video. Will the Council of State see to it that the gentleman gets a new car, or is it not that the police in the districts have cars working, part of a police stationed for the future?
ParlaMint-NO_2016-05-11.ana.ud122e369	I almost want to say that it was a lice fit, because it is not the Minister of Justice who buys police cars for the lenner in Nesna. It is the chief of police who is responsible for ensuring that the equipment is sufficient in relation to the service to be provided in the district for which the chief of police is responsible. We are responsible for laying down the framework conditions for the police to do their job as well as possible. It's been added 3 billion. kr more since the government change, since the representative Pollestad's party was in government – 3 billion. kr more. There are over a thousand new police posts, there are a hundred more lawyers, so there is a stake in the Norwegian police that we haven't seen the husband in a very long time. So it will still be that there will be parts of Police Norway that have old cars, but at the same time there are many others who now get new cars, who buy new cars, who make investments in equipment. So I guess I can say it so that I'm absolutely sure that the police officer like the policeman in Nesna corresponds to, focuses on having a safe equipment park. It's actually the police chief's responsibility to take care of it.
ParlaMint-NO_2016-05-11.ana.ud122e374	Ingrid Hegø – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e377	The police reform was necessary, and it provides the opportunity to make important efforts for the future, so that a strong and close police force across the country. It also includes good trade unions throughout the country. However, the Police Directorate argues that there is too high a risk of low access to locally-placed workers with the necessary skills, such as: Florø – in the location of police services. I want to give an example from my own state when it applies to Diffi at Leikanger and the Lottery Authority in Førde. They recruit very well, and it shows that when it comes to localization, we have to think widely, and think that strong trade unions can be built many places in the country. Why does the Council of State not require POD to see the possibilities throughout the country when new services are to be provided with new offices?
ParlaMint-NO_2016-05-11.ana.ud122e384	So let's do that. The national guidelines for the location of workplaces shall be followed and they shall also be followed up by the Directorate of Police. I fully agree with the representative Heggø that it is necessary to look at all of Norway when you are going to locate police services. This applies not only to the central police services, but perhaps especially to creating the different professional environments in the police districts, it is crucial that we have the ability to locate them around the police district. It's important, because although it doesn't necessarily constitute an emergency force to have police investigation departments in a particular place, it says something about police presence and proximity. I am concerned that we should have good police services across the country, and it is important that the national guidelines for the location of state jobs are also followed by the police. We're going to follow that up, and we're still going to follow that up in the department.
ParlaMint-NO_2016-05-11.ana.ud122e389	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e392	First, I would like to stress the urgent need for police reform. We had a lot of loner offices that started to be drained for resources, lost for presence. That's why you had to grab some grips. We have talked about rape earlier today – the investigation is demanding, we need to build up our skills. One could talk about combating violence against children, organised crime, etc. Both sides must be dealt with, both building up the competence of the new police districts in terms of investigation and being out there. I believe that we are able to balance well in the police reform. But I would also like to support what has been said about the location of the police's new pay and accounting centre, that it is important that the Council of State pushes so that it can be decentralised. The fact that only the East has been assessed surprises me very much – when you can look at Leikanger with NAV Economic Services, Vadsø with the purchasing service of the Health Companies, etc. The police reform says that we want to spread the other functions of the police — not necessarily main seats, but functions — in the police districts. How does the Council of State follow this up to ensure this presence of police throughout the police district?
