ParlaMint-NO_2016-06-07.ana.ud158e111	The representative, Helga Pedersen, will present a proposal for a representative.
ParlaMint-NO_2016-06-07.ana.ud158e265	I totally agree with Hansen's representative that we're all a few about openness, but we may not be quite a few about what openness means, how we're going to practice it in a reasonable way. I also definitely agree that in all forms of recording of financial interests there is a little bit of 'government' to use a popular expression. It's a little bit ‘steer’ to register all of a sheep, in today's gift registry as well. Any kind of economic openness has to do with it, but then one way to do it is to do some work against the value it has in society, and then one has to find practical solutions. I think it's obvious to everyone that a day-to-day or second-to-second reporting is not a good and practical solution, and neither have we as proposers in any way meant it. But the solution is not to register – a way that has been common and used – I think I'm going to go in the opposite ditch. When it comes to pointing out to the representative Arnstad that there must be a balance point where one actually records it, but find a way where one practices some given times for it – perhaps a different type of investment company – I doubt it, but it's worth looking at it. I would like to point out that there is now a proposal on the table that does not delay what is going on with the GRECO recommendations, but that asks the presidency to look closer at the very point we are now discussing, and where more articles here show some uncertainty. That is our proposal No. 6, which thus asks the Presidency to come back with a proposal at this point, for a register of duties and financial interests, which ‘ensures that all company interests, irrespective of their value, are entered in this register’. It would give the presidency the opportunity to go back, look at it more closely and take it inward. If I get to take it with me, there's also a theme here that's worth noting and that's that all the parties in the Storting are not in the presidency. It is simply the result of the verdict of the voters – that those who are the least of us do not. But it is worth noting that those parties that are not in the presidency, all in different ways, have had critical comments. At least it could be an idea for a new round to have some process against the other parties to see if it can contribute to a anchored solution instead of a solution where most, as in the presidency, vote for – and not all, I now understood – while those who are not there are voting against. My advice would be that if the representative Hansen and the rest of the presidency were to speak out to the Stortinget, they could get through almost everything they've done out of work, now. They may be able to implement the GRECO recommendations. But at the point we are now discussing – where it is clear that there are a little different views and we are looking for the balance point – a postponement can and come back with a anchored proposal that might find it a better way. Finally, in NOK 2000 or NOK 6000, it's not so good to say what is the right limit. I'm pretty overconfident that $50,000 is a piece above what most people will think of as a fee that's a little bit more than a wine bottle. Whether the limit is NOK 2000 or NOK 6000 – I thought the representative Skei Grande argued quite well that one should follow the tax limit. One could also argue – for our representatives’ sake – that the limit should be NOK 2 000 for what is indebted. I think we're just leaving the proposal here, but until later rounds, there may be arguments for adjusting it, as the representative Skei Grande argued.
ParlaMint-NO_2016-06-07.ana.ud158e278	There have been a number of speeches in the same direction, which have competed in saying how magnificent this change in the regulation is, but there has been such a remarkable argument that I thought I should at least make a brief statement to remind you that there are also some counter-respects. Firstly, I think it has been damaged to transfer some of the reasoning from tax legislation – what tax authorities should care about in order to calculate the correct income. That's not the question that's up here. The representative, Hansen, was just thinking that the transparency would apply, were bonds that might affect the votes of the representatives, which would simply restrict them in the exercise of representation. Then you will understand that having a share or two or being a splitter – unless you have to remind the public that you write so well that you get something printed that way, and that you get paid for it – is not relevant in that context. I would assume that the representative Solhjell would not feel that his independence was running the whistle if he had greater revenues from it. I guess that'd be nice to him, by the way. Soljell used himself as an example, and I have seen that he does not apply for re-election. I would think that he has a lot to pick up by trying out the reality outside this room, and that he might also return as a better representative. What I want to say about this proposal is that it is an excellent piece of work if we focus on symbolism policy in politics. But it's not effective if you're really looking for what the representative Hansen was after, that's to be open about things that could be binding on the representatives. Then I would also like to remind you that if there were really substantive issues you were trying to regulate, you could consider why the disclosure law does not apply to the big business representatives. Irregularity rules do not apply, and there are very good reasons why they do not, but there is no need to argue that this is a part of a more publicity. I would also like to say that it is strange that one has also not been able to find a de minimis limit. This means that there will be a lot of extra work to register interests to which there is no link between any public interest. And then you've opened a new front: what happens if you forget to register changes that you've barely thought about, precisely because they're so meaningless? Of course you'll find it in the paper. It's not like you're eradicating the possibility of suspicion. No, of course you'll be suspicious because you haven't been up-to-date with the reporting to the officials we have to hire to keep track of this. I would like to say once again that the proposal is certainly an excellent symbolism policy, but it is not suitable to really restrain the independence of the representatives. If you want to get an overview of it first, there are completely different bonds that could be interesting to get on the table: how much subsidies you receive, how many children you have in school or kindergarten, which are also heavily dependent on public transfers. If we first start with the suspicion gap, we're going to have a lot to do. But it's clear that as long as we have SV here in the hall, we get proposals like this.
ParlaMint-NO_2016-06-07.ana.ud158e293	It was basically an article that commented on itself, so I have no further comment on it. But I said a mistake instead, because I said suggestion no. 6 from SV, and there is no proposal No. 6, it should be proposal No. 4th@item: inlistbox The first three of our proposals are amendments to the vote, while proposal No. 4 in reality is a proposal that can vote on regardless of whether it is the option from the presidency to Section 9 or our option that is accepted. That proposal states that the presidency should come back with proposals that take into account all types of companies, including investment companies. So I'd like it to be pasted afterwards. So the point of that is that it can be decided regardless of which proposal for Section 9 would be agreed on.
ParlaMint-NO_2016-06-07.ana.ud158e299	Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2016-06-07.ana.ud158e313	No one has asked for the floor.
ParlaMint-NO_2016-06-07.ana.ud158e327	The Presidency is presenting today its position on the regulation of allowances for the gross domestic product representatives and the members of the government as decided or proposed by the Enlarged Board of Directors. The Grand Duchy’s Wage Commission was set up on 21 June 1996 by the Stortinget. In the new law on remuneration for wholesalers, applicable from 1 January 2012, previous legislation and practices are continued. The Presidentship of the Grand Duchy appoints the Chairman of the Board of Directors and two other members for four years. The Additional Rules for the Commission’s activities, set out by the Presidency on 21 June 1996, as amended, read as follows: ‘The Commission’s task under the decision of the Storting is to determine, with the consent of the Storting, the annual remuneration of the representatives and members of the Government.’ Let me stress that the assessment and determination of the Wage and Wage Commission is done on a free basis, regardless of the presidency's assessment, and it has been important that they are an independent body that does this in relation to wage developments elsewhere in society. Remunerations are determined either at specified crowning amounts or in relation to other rates or amounts. The Presidency takes note of the Commission's decision on remuneration and promotes a unanimous proposal that the Storting should determine the remuneration proposed by the Enlarged Bureau. The Commission has obtained information from several teams to monitor wage developments in Norwegian working life, both from private and public activities. The Commission also refers to the agreement on the level of settlement of the year which, in previous years, the Wage and Wage Commission has focused on the expected annual wage growth at the year’s settlement. The suspension of the Wage and Wage Commission represents an annual wage increase in 2016 for the Wage and Wage Representatives and members of the Government of 2.4 p.m. This is based on estimated annual wage growth in both the state and local government as well as in the private sector. We note that in the end of the year, the Wage and Employment Commission highlights that social developments in the last year, with increasing unemployment and falling oil prices, have contributed to a more moderate wage settlement in 2016 than in previous years. The year-to-year settlement framework of 2,4 p.m. is based on the proposals of the Wage and Wage Commission and, in this context, the suspension of the Presidency is recommended.
ParlaMint-NO_2016-06-07.ana.ud158e349	This year, as in previous years, SV will present a separate proposal in this case. The fact that the Storting has a payroll commission must not prevent us from making a political assessment of the remuneration and significance and signal effect of the bigots representatives and government members in society. When you regulate wages by percentage, they always get much more and more growth with high wages than those who have low wages. 2.4 pst. of 800000 kroner is considered to be different from 2,4 pst. of 200000 kroner. In particular, those who make $200,000 will sign it. Therefore, we are promoting a proposal where the remuneration is determined based on the salary growth that an average full-time employee would get by 2.4 pst. wage growth. And then we've put it on top of what big business representatives, government members and prime minister served and got paid last year. SV is at the forefront in the fight against increased differences. For us, it is also an important principle that the gap between the salaries of ordinary peoples – what they have for housing and bread – and what big business representatives, government members and prime minister serve should not continue to increase. That is why I am addressing the SV's proposal.
ParlaMint-NO_2016-06-07.ana.ud158e358	The representative of Kirsti Bergstø has taken up the proposal to which she referred. Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2016-06-07.ana.ud158e374	At the request of the Family and Culture Committee, the President will propose that speaking time be limited to 5 minutes to each party group and 5 minutes to members of the Government. In addition, the President will propose that, within the allocated speaking time, up to five lines be given with replies from members of the Government, and that those who have to sign up to 3 minutes in addition to the allocated speaking time. – It shall be deemed to have been adopted.
ParlaMint-NO_2016-06-07.ana.ud158e381	Media pluralism is important for the preservation of democratic, cultural and linguistic values. The emergence of digital communication has made it more demanding to prevent unhealthy power concentration through regulation. It is therefore important to regulate media ownership that is adapted to modern media reality. In the proposal, the Ministry proposes to repeal the Media Ownership Act. There is a great deal of consensus in this matter, and the proposal is supported by a joint committee. The size has recently adopted changes to the Competition Act, which is important when we repeal the Media Ownership Act. We believe that the Competition Act, with the amendments that have now been adopted, will take account of media pluralism in the context of media acquisitions and mergers. The proposal also proposes a new law on transparency of media ownership that maintains the tasks of media oversight relating to transparency of media ownership by the public. The Committee agrees with the Ministry that this could contribute to stressing the importance of transparency in the ownership of the media industry. In its recommendation, the Labour Party proposes the introduction of a specific provision of the Competition Act which allows the assessment of media pluralism in addition to the purely competitive considerations of media concentration. I assume that the representatives of the Labour Party themselves will present the proposal. I would just like to stress from the Christian People's Party that we believe the Competition Act will be well suited to take account of media pluralism even without introducing such a special rule.
ParlaMint-NO_2016-06-07.ana.ud158e396	I refer first to the comments made by the Committee and also by the Labour Party in this matter. Initially, the Workers' Party was set to keep the Media Ownership Act, with some adjustments. We believe that this is not an area that works according to purely market logic, but is about something as serious as the infrastructure of democracy. Then we look at the landscape and recognize that there is no majority for this view in this room. That is why we have chosen to support the government's proposal, but at the same time we will try to contribute to transparency and to promote freedom of expression, the real possibilities of expression, and a comprehensive media offer. Therefore, we have proposed a separate provision that competition supervision in media markets cases may intervene if a concentration leads to market shares above 30 pst, and then with the necessary flexibility to change it in regulation. A differentiated media ownership is essential to ensure a strong freedom of expression. A weakening of ownership will include: could lead to more uniformity of editorial material, as a result of exchange agreements and other editorial agreements. We fear that this is not sufficiently taken into account in the proposals of the Ministry, and that is why we have proposed this provision. We would strongly want more parties to be involved in this. With this, I am promoting the proposal of the Labour Party.
ParlaMint-NO_2016-06-07.ana.ud158e405	The representative of Arild Grande has taken up the proposal to which he referred.
ParlaMint-NO_2016-06-07.ana.ud158e408	The government decides it will. ‘promoting good news production and a wide-ranging public conversation in the digital media society of the future’. The aim is therefore to ‘stimulate innovation and innovation, while respecting the traditions and basic values of the free press’ in Norway. In the case of ownership adjustments in concrete terms, the government states that it wishes to adapt the limitations of ownership of media to the desire to ensure diversity. I have understood that the Media Authority will continue to play a role in contributing to the transparency and knowledge of ownership in Norwegian media. Would the content and profile of a newspaper be equal to whether it is LO, Life's Word, Trygve Hegnar or Berlusconi who owns the paper? Does it matter to democracy whether they control all media covering policies and societal development in a region or throughout Norway? The decisions over which the owners have influence affect the content of the media. For example, it is the owners who employ the editor in charge that define the economy and the framework of resources and make a number of strategic choices for the business. However, direct or indirect influence by the owners is not easy to detect. How, for example, to do this. detect whether a newspaper avoids writing abusively about its own owner? So ownership concentration in the media can lead to a restriction of freedom of expression. In order for an opinion to be read or heard, there must be available channels where the opinion is not available. With the Internet, we have had a situation characterised by an abundance of speech and information. The fact that everyone can now speak in principle can be seen as a strengthening of democracy. At the same time, it is not arbitrary for the pervasiveness of whether the message is promoted on Twitter, in Dagsrevyen or in the locality that is alone in its area – or whether it is called Jens Stoltenberg or Solveig Torsvik. There is still a high and stable uptake of traditional media, and the possibility of producing content does not automatically give rise to influence. We see that there is hierarchical ranking within some media, and some are considered more important than others. In the edited media, there is no general right to access. That's why this is where ownership regulation has been most important. Research work in Norway and internationally indicates that the need for regulation is increasing rather than decreasing as a result of technological developments. Increased concentration and consolidation in the industry, the emergence of new bottlenecks and new ways of locking media users to e.g. software, makes ownership still important. A recent example in one of our neighbouring countries illustrates what can happen when powerful people gain great media control. Last summer, the British newspaper The Guardian revealed that employees of the competitor News of the World, owned by Murdoch, have for a number of years been listening to telephone calls from both public and private people. Can you imagine that such relationships would be revealed in a newspaper with the same owner as the News of the World? Nope. In the wake of the case, several measures have been taken in the United Kingdom, among others. examines the relationship between the Murdoch family and British politicians. Many suggest that mutual close ties have had political and journalistic consequences. We know who owns Norwegian media today, but we can't say anything about the future. Changes in ownership take place quickly and can have major consequences. It is difficult to reverse the concentration of owners in retrospect if it is found to have negative consequences. An argument that has been promoted against the law is that ownership restrictions lead to the favouring of non-resident owners over Norwegians.
ParlaMint-NO_2016-06-07.ana.ud158e435	The current Media Ownership Act has been the legal basis for the authorities to comply, inter alia. the desire for freedom of expression and media pluralism in the media industry. The parties recognise that technological developments are challenging in relation to the current media ownership law and that the law is no longer effective in monitoring technological and competition developments in the media field. The development of digital distribution has led to major changes in the industry. Technological changes and changes in user habits have also led to new dissemination platforms, which in turn have resulted in the creation of new enterprises. With changed areas of competition, it is challenging to regulate a precise piece of legislation. The centre party, as we know, is not a member of the committee and has therefore not taken part in the discussions during the proceedings, but we have noticed that the seas of a clear majority of the hearing bodies support the proposals in the proposal to repeal the law of today, among other things, have. Norwegian journalism teams were critical and concerned that the abolition of the co-ownership law would provide unpredictable legislation in this area. In particular, it concerns the repeal of specific thresholds in the applicable law, which are not equally defined in the Competition Act. The Central Party, like the Workers' Party, is concerned that media pluralism is not adequately addressed in the Ministry's proposal and therefore supports the Workers' Party's proposal that, in addition to the other amendments to the Competition Act, a special provision be introduced with a view to assessing media pluralism. The party to the concentration considers it wise to allow the Competition Authority to intervene if a concentration would lead to market shares above 30 p.p., as defined in the Workers’ Party’s proposal. The Centre Party supports this with the proposals in the Proposition and the minority proposal from the Workers' Party.
ParlaMint-NO_2016-06-07.ana.ud158e448	The government sees it as a central task to protect about media pluralism. Promoting media pluralism is an objective of which there is broad political outreach and which is enshrined in both the Constitution § 100 and Article 10 of the European Convention on Human Rights. The aim of media diversity includes a variety of and widespread ownership in Norwegian media. It doesn't matter who owns the channels we use to speak, discuss, collect information and orient ourselves in society. But that's not the topic of today's discussion. Today's debate is about how the objective of media pluralism can be promoted in a way that is effective and that does not impose unnecessary burdens on industry. Today, media acquisitions and mergers are dealt with by two supervisory bodies under two different legislations. There is a poor use of resources both for the state and for the media sector. I am therefore pleased that a unanimous committee joins the proposal under consideration today. By repealing the Media Ownership Act, the supervisory responsibility of the Competition Authority is brought together, and actors are given one oversight and one regulation to deal with. It will make merger control in the media area both more cost-effective and more effective. When assessing a purchase or merger, competition authorities will already consider the impact on both price and product quality. The importance of media diversity is an important part of this quality assessment. The size has recently adopted changes to the Competition Act which will make the law even better suited to ensuring media pluralism. That is why I see no reason for a new provision on media pluralism in the Competition Act as proposed by the minority. At the same time, time has passed from the Media Ownership Act. The law pre-defines markets and ownership limits based on what the media sector looked like at the end of the 1990s. However, since then, the media industry has undergone major changes in technological developments, changing user habits and new areas of competition, and the changes continue to increase at an increasing pace. I would therefore like to stress once again that I am pleased that there is an overall committee that joins the proposal to repeal the Media Ownership Act. The media act as channel guards by influencing who and which opinions are released into the public domain. In order to determine the information provided through the media, it is important to know where it comes from and what interests are behind. The government has therefore committed itself to maintaining the responsibility of the Media Regulatory Authority to ensure public transparency in ownership of the media sector. It is a media policy task that it is not natural to add to the Competition Authority, and I note that a Joint Committee also supports that proposal. I'm glad.
