ParlaMint-NO_2016-12-17.ana.ud83e67	The representative Trond Giske, who has been licensed, has again taken the seat.
ParlaMint-NO_2016-12-17.ana.ud83e196	The civil state budget for 2015 raised awareness when it was presented, and when it was adopted, due to very unsocial cuts on the one hand and huge tax cuts on the country's richest on the other. What we heard from the Right then was that it was important to have large tax cuts for the most wealthy because it would free up capital to create more jobs. Now we have phased out for the financial year 2015, and there were new numbers from the SSB yesterday. There are not exactly more jobs in Norway than it was in the previous year. On the contrary, this government is probably the least effective in many years in creating new jobs in the private sector, but there were 10,700 more poor. What is the Right’s comment that the government’s policy is now demonstrably increasing the differences and poverty in Norway?
ParlaMint-NO_2016-12-17.ana.ud83e202	We're concerned with reducing inequalities in Norway, but what we have to admit is that the biggest single factor that creates inequality among people in Norway is whether you have a job or if you're out of work. This is why a lot of focus has been on securing existing jobs and preparing the ground for creating new jobs. That's all, the most important thing we can do to mitigate the inequalities in Norway. Creating a good school that allows everyone to get an education, get a job and support themselves and their family is one of the most important things we can do. In addition, of course, it is important to focus on our welfare systems and take care of those who unfortunately do not have the opportunity to work and support themselves.
ParlaMint-NO_2016-12-17.ana.ud83e207	The cord shift is over.
ParlaMint-NO_2016-12-17.ana.ud83e212	How we spend the money on the state budget, often creates more commitment overall than how we're going to collect it. However, the tax system provides the basis for all that we can actually do in the budget. We pay for school, education, infrastructure, health, kindergarten and other elements that are absolutely central to making our society not only a better society, but also a competitive society for ourselves and our businesses. High participation in the labour market and a relatively high level of taxation mean that we are able to pay for a strong community which is the basic plan of the Norwegian society. This community is based on trust and an understanding that all provide according to ability, but also that everyone can extract what they need to participate in the best possible way. To achieve this, we need a tax system designed to minimise the loss of efficiency. The Labour Party and Norway carried out a comprehensive tax reform in 1992 based on the principle of broad tax bases, low rates and symmetric treatment of income and expenditure. Because we treat different industries in a very similar way, we also make sure that the capital invests where it throws most of it. These principles are also underpinned by the corporate tax reform adopted in Stortinget before the summer – a reform in which the Workers' Party was given a majority for most of the demands we made in advance. Here, corporation tax is reduced to 23 p.m., while dividend tax is increased and property tax remains. This was far from what representatives from the government parties were out and advertised as their main wishes during the negotiation. Where the government prioritises large general tax cuts, the Workers' Party prioritises distortions in the tax system that ensure a greater degree of efficiency in the system, while maintaining the revenue of the Community. This means that the Labour Party budget can invest more together, while not participating in the irresponsible high phase-in of oil money that the government parties have set up – a phase-in rate that would have ensured that the fund would be empty at the beginning of the 2040s. This government has now cut taxes by nearly 25 billion. kr and increased the fees by 3,3 billion. kr. The tax havens have largely benefited them with the largest assets, while the fees we all pay quite evenly over. The 95 percent with the lowest wealth – up to 5 million. kr – get on average NOK 2862 in tax cut – approximately NOK 8 per day. The 1000 richest get an average of 656 200 kroner in tax cuts – about $1,800 a day. About a quarter of the total personal tax bills have fallen into the 5 pst. richest in Norway. The Labour Party proposes in this budget to increase taxes by 5.45 billion. kr and the fees of SEK 5,05 billion. kr compared to the government’s 2017 proposal. The proposed wealth tax increase of the Workers' Party is about 3.9 billion. kr booked and SEK 4,85 billion. Illuminated. We are proposing a bottom-up deduction in line with the government's proposal, while increasing the rate from 0.85 to 1.2 p.p., which may come as a surprise to the representative of the Valen. That's about 12 pst. by the population paying taxes on wealth. So when we hear that the wealth tax laws are important to most people, this rhymes badly with reality. Not most people pay this tax, so you can get the impression when you hear the government parties. With our proposal, a couple could own a paid-down house at a market value of 11.6 million. kr without having to pay taxes on wealth, given that they have no other assets in addition. Neither can we say here that there are ordinary people or people most affected by our increases in property taxes. What most people would thus notice if the Workers' Party's proposal for changes in income tax had been adopted is that they would get lower taxes with our proposal, given that we keep the wealth tax out, and we can do that for most, at least for those with housing under 11 million. kr. In fact, people with incomes of up to NOK 600 000, which corresponds to about 80 p.p. of the population, get slightly lower taxes with our scheme than with the government's proposal for the 2017 budget. In short, four out of five would have lower income taxes with the Workers' Party. Then it's only 12 pst that pays property taxes – i.e. a tax and tax scheme that is for the most people, I would say. The government's mantra is to cut taxes on wealth to provide jobs in the private sector, despite the fact that there is no evidence to claim it. To date this year, there has been no net creation of a new job in the private sector. Where growth has taken place in the workplace, it is within the State administration. The government itself writes in the national budget that the unemployment rate is about to fall at a high level. It may seem that the government has bombed roughly in what they have chosen as an instrument. So the government is weakening our ability to make a good transition through the grips it is doing in fiscal policy. That's 21.5 billion. kr annually which cannot be used to strengthen the community and equip us for the future. In the 2015 national budget, even the government wrote that the cuts in the property tax are likely to go primarily to savings, i.e. not to investment in new businesses. In their comments on this position, the Progress Party and the Right do not dare to write that the cut in the taxes on wealth is particularly stimulating, as they write about corporate taxes and personal taxes. I see this as a confession that they realize that they do not have coverage for such a claim. Unfortunately, this will not lead to our not wanting to hear the oral statement here today or to our being sautéed with other tax cuts. What government parties and state councils should then be warned against is that they show to the world that they do not understand how to put together a tax system with a high degree of efficiency. Maybe that's why the well-founded overall arrangement of the Workers' Party got so much support before the summer? Through this budget, the government's work continues to increase inequalities, both directly through the tax system and through cuts in welfare and municipalities. As I was inside, trust is fundamental to this system. Therefore, the Workers' Party has been the drivers of measures against capital transfers and profit movements. The largest enterprises shall not be able to organise themselves out of paying taxes. The company tax and the interest limit rule, also for external interest rates, are good, but we have to do more, and the Workers' Party is impatient to set up a ownership register for real owners. We need to go through the law so that we can pursue those who are organizers of this activity, and we need to see if the law is robust enough to withstand the complex group structures being developed and the advanced financial instruments. Here we expect the Council of State to make visible and come to Stortinget with these matters in good time before the summer. Towards the end: The Labour Party prioritises giving tax cuts to a group of people who have a special key role in the Norwegian economy – those who are organised in a trade union. This deduction has remained silent for all the years that the government has ruled. There is a lack of understanding of the importance of the role of trade unions in the Norwegian economy and the Norwegian model. If Siv Jensen or others think they could achieve the same results with moderate wage growth in a difficult economic time without responsible trade unions with central wage formation, they are very wrong. Unlike the claims made by the government about their tax cuts, I have good evidence of mine. When it comes to the billing scheme, I will be very careful to say that others come closer to it. However, it may seem that the tax arrangements for the Workers' Party have had a significant impact on the negotiations between the government parties. We see again that what has been the starting point for the budget was to the right of the Right, that is, far away from what is the center of Norwegian policy – a situation that I think will hardly be able to maintain. Finally, I address all the proposals in which the Workers' Party is the proposer or the co-rapporteur, with the exception of proposal No. 7th@item: inlistbox
ParlaMint-NO_2016-12-17.ana.ud83e250	The representative of Truls Wickholm has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2016-12-17.ana.ud83e257	While the whole employment growth under the Workers' Party has fallen to migrant workers, we have seen that this year and last year together, around 110 000 new businesses have started in Norway, according to the SSB – this is due to better framework conditions and tax policies of this government. When the government removed the inheritance fee, the Workers' Party called it the social tax bill, but later it has not reintroduced it. When the government removed holiday pay for the unemployed, the Workers' Party called it unsocial, but has not reinstated it. When the government introduced air passenger charges, the Workers' Party called it unsocial, but chooses to keep it. It's okay. We know that the Workers' Party is stronger in rhetoric than in politics. In the Workers' Party's alternative budget, a tax increase of about 10 billion has been proposed. kr, but all the tax vows, including physical activity in school, school food, dental health, etc., are estimated to cost between 15 billion. DKK and 22 billion In addition, kr. Does that mean that the Workers' Party's actual tax bill is between 25 and 32 billion? kr more, or shall all these promises be broken?
ParlaMint-NO_2016-12-17.ana.ud83e264	Here were many statements from the Right. Right is a calculator part that's happy to sit and count on things for itself, and see what things cost. But it is also the case that once this government has implemented massive tax cuts, tax cuts that seem to have had no effect on contributing to employment or job growth in the private sector, it is only necessary to establish that that money has been used completely incorrectly. The fact that the Workers' Party in one year is unable to rectify all the tax cuts that the Right has done over four years, I don't think you should be very surprised about. It would not be in line with what is the Labour Party's way of operating policies, that is, seriously and predictablely, and it has been important for us once we have created our budget this time as well.
ParlaMint-NO_2016-12-17.ana.ud83e271	The representative, Wickholm, spoke almost warmly about the union deduction, and there is probably a lot of good about it. Another theme that goes on another part of society, which, in the opinion of the Christian People's Party, is also important, is the voluntary organisations. With the majority that has now been in this room, we have more than doubled the amount of what gives the right to deduct the tax on gifts to non-governmental organisations. It's important, because this is money that actually benefits volunteering, without any government decree on how to use that money. This is free money. What is the reason why the Workers' Party is not involved in this promise of volunteering?
ParlaMint-NO_2016-12-17.ana.ud83e276	Let me first say that when you talk about free money and money to be followed without a decree, I could draw the representative of Syversen's attention to the municipal scheme for the coming years, where most of the money is tied up. Some say that more money than what has come from new, fresh resources is tied up, so that many municipalities now actually experience cutbacks in what is the current year's budget. When it comes to volunteering, we just have to note that volunteering itself has said that this is one of the worst budgets ever made available for volunteering and that the amount of money present is not good enough. Of course, it's nice that the Christian People's Party and the Left have got things in the last turn, but as a whole, as a bet on volunteering in Norway, this budget is far from what we could hope for, and far away from what has been past years.
ParlaMint-NO_2016-12-17.ana.ud83e283	The Labour Party is constantly getting away with initiatives to debate the number or number of new jobs created in the private sector, as is the case today in a previous line. One thing is that the Labour Party grossly, almost unworthyly, simplifies the premise of the debate, but the debate is also quite uninteresting if an actual human being is occupied by unemployment, and not by rhetoric. It is of no interest in the sense that the Labour Party is not willing to use the tax system actively, as is the heavy tool, to create more jobs in the private sector – rather, on the contrary, with a tax tightening of well over 10 billion. kr which happens to business, Norwegian jobs, directly. The question to the representative of Wickholm is: Does he really believe that the tax scheme for the Workers' Party is a tax scheme that facilitates Norwegian business, Norwegian jobs, creates new growth, than what is agreed today? Or is it consciously double communication with regard to the forthcoming elections?
ParlaMint-NO_2016-12-17.ana.ud83e290	Here I think there is a fundamental disagreement about how to look at how to create jobs in a difficult time. The Workers' Party has caused the SSB to calculate the difference in the way the Left and the Government spend money, and especially when it comes to the cuts in the property tax. It has then been estimated that the approximate cost of creating one job in the private sector through a cut in the wealth tax is 64 million. kr. If you had used the money in a different way, you could have got everything from 15 to 70 times more jobs per invested dollar than what the government is paying for. I think the creation of a market and the possibility for private companies that already exist, to build up, come through a crisis period, get the opportunity to look for new markets and change, is a much better way to spend money than channel it right into the savings account of individuals, and then get an assessment of whether they are willing to invest in jobs.
ParlaMint-NO_2016-12-17.ana.ud83e295	A few days ago, Minister of Labour and Social Affairs Annicken Hauglie said to the VG that the government’s tax cuts ‘allow more people to live on their own earnings’. In that case, it must be assumed that the fact that more people can live on their own salary means some tax cuts that correspond to some extra knucklebread in the year. In other words, the level of ambition is low. I note in this debate that the Minister of Finance's own party does not take a line on the figures of the largest opposition party, the party that else says they're too tax cut for most people. It may well be that the tax arrangements of both the Labour Party and the Socialist Left involve more tax cuts for people than the party of the Minister of Finance is able to deliver. Does the representative, Mr Wickholm, agree that this debate so far indicates a resignation from the Progress Party, which now turns out to be the elitist party we have always known it to be?
ParlaMint-NO_2016-12-17.ana.ud83e305	I was interested in some of this in my post, and I also noticed what the representative Valen says, that the Progress Party does not take a line. It's enough because they're worried about having to participate in an active debate where they have to answer because they have chosen to spend the big money on giving them 12 pst. with taxes on wealth in Norway, massive tax cuts. But with the structure of the Workers' Party, in which the Vala is inside, they get 80 pst. less tax on the population of the country than on the arrangements of the Progress Party, given that they do not have any wealth. I have never heard that the ‘tagline’ of the Progress Party is the ‘party for people most of all with wealth’, but it is possible that it is what needs to be the new mantra, because it is quite clear in the budget that it is how the money is prioritised. I don't know if that's a result of them now cooperating with the Right, but that's what's become the Progress Party in this period.
ParlaMint-NO_2016-12-17.ana.ud83e310	The cord shift is over.
ParlaMint-NO_2016-12-17.ana.ud83e315	Taxes to Norwegian workplaces are incredibly important because lower tax pressures are the most effective medicine to create more jobs and more value creation. Many of the tax changes Stortinget has to adopt today is a direct follow-up to the tax settlement where corporation tax is to be cut to 23 p.m., while reducing the wealth tax on working capital. I am sincerely pleased that the Workers' Party joined this tax settlement, and that there is therefore hardly a lot of debate about those issues today. Step by step, we're now going in the right direction. We contribute to a lower tax rate, which will contribute to increased investment, increased saving and increased activity, providing safe jobs. I am extremely pleased with the distribution profile, both in the government's draft budget and in the budgetary agreement with the Christian People's Party and the Left. In the government's draft government budget for 2017, 97 pst. by all taxpayers receive lower or approximately unchanged taxes. Lower tax burden on individuals means more freedom and increased personal well-being. The budgetary agreement has not been resolved in this respect to an appreciable extent, because with the budget unit a whole of 96 p.m. by taxpayers less or approximately unchanged tax. Budgetary unity also means that a person with income corresponding to an average industrial worker’s salary receives on average NOK 1000 in tax reliefs. What's almost as important is that very few pay for a tax tightening. The fasite shows that only 1.3 pst. the taxpayers have an increase of more than NOK 2000 and their average gross income is approximately SEK 1.3 million. kr. The result of four budgets with the Progress Party in government is that an average family will pay about NOK 8 000 less in taxes in 2017 than when we took over in 2013. The Progress Party has always fought for cheaper cars for most people, and I am incredibly proud that since 2013, the Advance Party and the government have cut the price of new cars by nearly 3 billion. kr. Already when the state budget for 2017 was presented, the figures showed that an average one-off charge had fallen by NOK 20 000 per car. Now we're taking another step in the right direction, and I'm worried that the Progress Party, the government and the cooperation parties have once again given great relief to safe family cars for most people. The most important approach that we agree on for 2017 is to remove the horsepower tax and turn the fee over to CO 2 emissions. Now it's time for horse forces to be punished. The Bilinfo.no website has published a list of the 100 cars that get the biggest tax cut, a list that pleases any car enthusiast. Some examples of what the tax rate means in practice are that the charge on Norway’s most sold hybrid truck, Mitsubishi Outlander, is halved, that the charge on the chargeable hybrid car Volkswagen Golf GTE is kept at NOK 0, and that the charge on a new Volvo XC90 is reduced by nearly NOK 100000 compared to 2016. The budgetary agreement also contains a point that the one-off charge should be changed so that chargeable hybrid cars with a long electric range come out better than cars with a short electric range. The reason why the cooperation parties provide additional chargeable hybrid cars in 2017 is simple: Only 22 pst. of the daily journeys by car exceeding 20 km and the average journey by car is 15,8 km. A typical rechargeable hybrid car will be able to drive longer than this on battery. Most people should be able to do well in everyday life with all-electric driving if they have a plug-in hybrid car. Studies show that the vast majority of people who drive hybrid trucks load the car once a day or every time they park near home. This makes sense given how much cheaper it is to run on electricity. The most effective climate action we can do is renew the car park. The average Norwegian road vehicle today is a 2005 model with about 180 grams of CO 2 per km of emissions. The average CO 2 emissions for all new passenger cars registered in November were 88 grams per km, which means that Norway is now below the EU target of 95 grams per km by 2020. People should be glad to see how the Party's tax reliefs lead to ever lower CO 2 emissions from Norwegian cars. When we write 2025, the average car on Norwegian roads will emit about half of what the average car does today. This happens at the same time that most people can enjoy cheaper family cars.
ParlaMint-NO_2016-12-17.ana.ud83e348	It's going to be line change.
ParlaMint-NO_2016-12-17.ana.ud83e353	Since we didn't get the opportunity in the last round, we get to re-open the discussion about the game for the wealthy. That's like 25 pst. of the cuts in the personal taxes have gone to the 5 pst. richest in the country. It's just 12 pst. by the population paying taxes on wealth – they have been taxed heavily. Four out of five receive lower taxes with the Workers' Party's arrangements than with the government's arrangements. Then my question is, where is the Progress Party going to give tax cuts to most people? It is now the Workers' Party and the Swedish Labour Party that give tax cuts to most people, while at the same time allowing those who have the most, to pay a little more.
ParlaMint-NO_2016-12-17.ana.ud83e360	I record that it is very easy to be in opposition and demanding tax relief, but that there is a need for a Progress Party in position to implement them. History shows that every year between 2005 and 2013, those with revenues of between 350 000 and 750000 DKK received increased taxes with the Workers' Party in government. The same group has experienced a reduction in their taxes every year with the Advance Party in government, and they will now pay between NOK 2 500 and NOK 6 000 less in taxes in 2017 than they did in 2013 when we took over. At the same time, as I mentioned, an average family will pay about NOK 8 000 less in taxes in 2017 than they did in 2013 when we took over. I think we as a party should be proud of that. It shows that we've managed to get reduced taxes on ordinary people.
ParlaMint-NO_2016-12-17.ana.ud83e367	When the representative Steffensen was running an election campaign in 2013, he promised to cut the fee. The representative Steffensen cage in Gjesdal municipality. There is a built called Dirdal. If a cage in Dirdal and is a farmer, one has received more expensive diesel. If a cage in Dirdal and it's commuter, one's got poorer commuter deductions and more expensive diesel. This is a district enemy policy. If you're in Stavanger, Roy promised Steffensen a cut in tolls. Now people in Stavanger got Christmas gifts from the government. Yesterday, proposals were submitted by the Progress Party and the Right in the government on a 25-billion-billion-dollar toll package. kr. At some points for heavy goods vehicles, tolls will be higher than those decided locally. My question is: will the representative of Steffensen apologise to the voters in Gésdal, in Dirdal and in Rogaland?
ParlaMint-NO_2016-12-17.ana.ud83e372	Unlike the representative Pollestad, I am concerned about reducing the toll on Norwegian drivers when we are in government. What was the fact of the past period was that while Pollestad was the State Secretary of the Ministry of Transport and was involved in making the national transport plan where there was a record toll wagering, he didn't know how much toll they put in, because the first thing that this representative did when he came to the Stortinget was to ask the Minister of Transport: how much toll is it expected to be built with the national transport plan over the next four years? That was the attitude of the Center Party when it came to tolls. While the Progress Party has made sure that we have cut eight bomb projects, and we have reduced the tariffs to about twenty. It's just asking the drivers in e.g. North Norway, who pays 2 billion. kr less in tolls with the Advance Party in government than they would have done if Geir Pollestad had remained in the Ministry of Transport.
ParlaMint-NO_2016-12-17.ana.ud83e377	There has been an interesting development here, where we see the Right Party and the Progress Party draw the Labour Party and the Socialist Left Party behind in tax policy, and there has been a tax competition about who can give the most in tax laws to people the most. And that's good. This government has made sure that both taxes are given to business and to people most, because it has to follow each other a little bit. We now see that 110 000 new businesses have been established in the last two years due to improved competitive conditions in Norway following this government's policy. Then we heard the representative Wickholm say that they wouldn't be able to change the tax codes of the Right and the Advance Party in the first year. Then there's going to be an increase in taxes of more than 10 billion. kr in the first year. But then there remains a promise of increased taxes of 15 to 20 billion. In addition, kr. How does the Progress Party think these increased taxes will affect the business world, which is going to give jobs to people the most, and provide them with opportunities just as the transition to create the jobs that people most need?
ParlaMint-NO_2016-12-17.ana.ud83e384	Thank you very much for a very interesting and good question. No, I do share the concern of the Right that increasing the tax burden on Norwegian companies is not the way to go. In the time we are now experiencing, where companies across the West from Kristiansand to Kristiansund sit and wonder how to reduce their deficit, and how to manage to keep as many of their employees as possible, I am concerned that the Workers' Party will come to government and implement its policy of increasing taxes, where they have said in the first year it will be 10.5 billion. kr, and where we can only expect further increase in the years to come. It's worrying.
ParlaMint-NO_2016-12-17.ana.ud83e389	If I had delivered as unsocial things as what is in this budget here, I would also need support from the Right. The representative, Steffensen, said that history shows that taxes are increasing for ordinary people when the left side is running, but now it's like a person who earns 300,000 kroner a year got 4,600 kroner in tax cuts when Kristin Halvorsen was Minister of Finance. While the same person gets NOK 1 and NOK 65 in the tax cut from Siv Jensen and the Progress Party in this budget. First of all, on a scale from 1 to 10, how demeaning does the representative Steffensen think it is to give $1 and $65 a day to help caregivers and craftsmen, but hundreds of thousands of dollars to the fift? Secondly, if it's tax cuts to business, the Progress Party says they're prioritizing, then why they're knocking another 1.8 billion. Do I cut off the initial write-offs of machines and equipment to the very enterprises that need to invest and convert in a tough time for the country?
ParlaMint-NO_2016-12-17.ana.ud83e395	Once again, I'm happy with the job we've done when it comes to tax relief for ordinary people. We've made sure that all groups get reduced taxes, while history shows that the groups got increased taxes while the red-greens were in government. Now, when we're talking about low-income families, it's not just tax cuts that's been taken care of. Significant improvements have been made in, for example: the housing aid scheme. It will benefit thousands. There have been lower prices in kindergartens for those who make NOK 473,000 or less. That's almost $6,000 a year. More people get free core time in the kindergarten. These are just some measures that help to ensure that we have raised low-income families, so that they get a better daily life, while at the same time we have launched a strategy against child poverty, which will also help low-income families.
ParlaMint-NO_2016-12-17.ana.ud83e402	The cord shift is over.
