ParlaMint-NO_2016-02-17.ana.ud2568e26	The representative of Kjell Ingolf Roppstad will present a proposal for a representative.
ParlaMint-NO_2016-02-17.ana.ud2568e110	It opens up for follow-up questions – first Christian Thinning Bjørnø.
ParlaMint-NO_2016-02-17.ana.ud2568e113	There is agreement that work is the key to good integration, and to get refugees into work, each refugee needs competence monitoring to define what kind of service they need. Although there is agreement on that, it does not hold with beautiful words about competence to get people to work. You have to, as KS's county council requires in Requirement No. Two, let's go. In the fall, NOCUT gave clear notice that they could quickly initiate competence screening as long as they got enough money. But it happens a little bit. And in our alternative budget, we proposed to allocate money directly to both NOKUT and Vox, so that they could quickly start mapping. My question is, why is it still going so slowly, and how long is it really going to take before the government really starts monitoring refugees?
ParlaMint-NO_2016-02-17.ana.ud2568e122	It is the case that the majority of those agreeing to the budget agree to set a figure of 7 million. kr for competence monitoring. We are now working on how best to use this money to do this work in a good, fast and efficient way. I fully agree that knowing more about the people who are coming, what experience they have, what education they have, what work experience, is absolutely necessary in order for us to be able to do what we can to stimulate them to get to work. That's one side of it. On the other hand, integrating into Norway requires a great deal of self-sufficiency. I think that if we have a starting point and we see what the individual is interested in, what the background is, and if we are able to help him on a track you want to take, it is also easier to generate the self-help that is absolutely necessary to be integrated into the Norwegian community. There is no joke about learning Norwegian, nor is it a joke to get into a completely different working life than many come from, and therefore competence monitoring is important.
ParlaMint-NO_2016-02-17.ana.ud2568e133	Geir Sigbjørn Tuscany – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e137	My opinion is that there is a lot of good integration work in many municipalities today, and many are ready to accept and integrate more refugees to help. But we see a special challenge in the case of lone minors and their settlement. It is a demanding situation that we have to address. It is a clear signal from municipalities that the Christian People's Party has been in contact with, that support for the settlement and integration of lone minor asylum seekers is at an too low level, so the municipalities may refuse to do so. It is therefore necessary to increase the reimbursement mechanism for child protection costs, preferably from the current 80 pst. to maybe 95 pst. of the costs. The Christian People's Party wants to make the municipalities financially capable of receiving children on the run and therefore supports such a promise for the benefit of children. Is it relevant for the government to increase the reimbursement scheme to 95 pst. ?
ParlaMint-NO_2016-02-17.ana.ud2568e142	I fully agree that there are major challenges to the good integration of single minors. I met the police for a while. What they pointed out as one of the challenges is that many of these young people have enormous expectations when they come to Norway. Many will be lawyers, they will be doctors – they have great plans for the future. That's essentially very good. At the same time, we know that it's a demanding way to go to succeed in these dreams. This is why it is so important to focus on reality and to have a good integration process in municipalities to prevent, among other things. crime. With regard to the support for the municipalities, there is something we want to go into and look at. There's also how we're going to sit down with KS and see what costs are associated with different groups of immigrants, etc. So that's something we have to get back to in the ordinary budgets, and that's something that might also be mentioned in the integration message.
ParlaMint-NO_2016-02-17.ana.ud2568e149	Heidi Greni – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e152	The manner in which the municipalities accept the refugees, whether as a host municipality or as a resident, is absolutely essential for good integration. We know that these tasks are underfunded. This has been demonstrated by the state's own investigations. When Stortinget made the additional appropriations for 2016 for the reception of refugees, the municipalities were granted very little. It has been stated by the Stortinget that it should be corrected, and in the integration agreement that the Stortinget has forwarded to the Government for follow-up, it is stated in Chapter 4: «The Government, in cooperation with the KS, shall provide an overview of the increased costs of the local government sector in relation to health, school, kindergarten and child protection, etc., and return to Stortinget in an appropriate manner and provide for a sound financial framework in which municipalities are compensated for their additional costs.» [[...]] What has the government done these two months after the agreement was concluded? Can the State Council confirm that KS has been contacted? Is the work on an overview of the real costs of municipalities well under way? And when can we expect to get this case to Stortinget?
ParlaMint-NO_2016-02-17.ana.ud2568e164	I've already had a meeting with the KS, because I'm very concerned that we're going to have a good cooperation on integration in the future. More than 15 000 people are to be settled this year. In the Calculations Committee, which looks at the costs of housing — and the large calculation — there are four people from the KS and four from the country, who are now going through these figures. In view of that, of course, it is natural for me to have a meeting with the KS and continue working with them to review what is going on, because we are very concerned about, for example, that. municipalities that have incurred exceptional expenditure shall be compensated for some of this. Therefore, some money is also distributed to municipalities that, for example, have large receptions, which have large expenses, to contribute to compensation for it. But it is clear that many municipalities have been under great pressure, and I will praise the efforts made.
ParlaMint-NO_2016-02-17.ana.ud2568e171	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e174	In order to succeed in a good integration policy – and also with a good asylum policy – rapid clarification is one of the keys, both to those who should not be here and to those who should be here. If we say that no new ones are coming to Norway, there are now 20 946 applications for treatment, and until that, the Council of State has about. 1 100 case handlers. In January the 1 100 case handlers dealt with 430 applications. If we're going to continue at this rate, and no one else is coming, it will take over four years before we get a clarification for those who are now here. Is the Council of State satisfied with the pace of clarification?
ParlaMint-NO_2016-02-17.ana.ud2568e181	The situation we had last autumn put our entire reception apparatus and our employees in the relevant directorates, etc. Under strong pressure, so I want to start by commending the employees, who worked far more than you could expect from them in the situation that arose. So it's like employing more people, but it's clear that it takes some time before the new employees are ready to start full production, because there's a training process to do. In the training process, employees who are normally in proceedings and contribute to it will also be the ones to train the new ones. But what's important to me is to make sure that there's now a good flow in this system, and that we take care of e.g.. that they are ready to settle for the municipalities. That is why we have said that we need to look at the balance between the rejection cases – those that are obviously groundless etc. – versus those to be granted, so we do not get into a situation where, for example. are not persons for the municipalities to settle. But it's a challenge. We're working on getting better, and then it'll take time because so many came last year.
ParlaMint-NO_2016-02-17.ana.ud2568e190	Karin Andersen – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e193	I have not yet met a single refugee who does not burn after contributing and recovering. It is time we looked at them as resources that come here, that will be – as the council says – doctors, lawyers, have dreams for the future. Then a few people must be allowed to root properly where one is to be integrated, and then the problem is that the tightening proposals proposed by the government is a recipe for poor integration. They refuse people to rot. Now the trade unions have picked up the government's tightening package bit by bit, exactly when it comes to this. So the Council of State says there's no joke learning Norwegian and integrating. No, that's not it. Nor is it a joke to be without his family and to live in insecurity when one has experienced war. Has the council tried to figure out what it could be like, even for a perfect refugee, when it may take ten years to have to live in the sleep and insecurity of his immediate family before he is allowed to be safe and can rot?
ParlaMint-NO_2016-02-17.ana.ud2568e200	Everyone sees that many of the people who come to Norway have great challenges, and travelling from their family I think everyone seems to be very difficult. At the same time, we in Norway have to make some choices. We need to think about what is sustainable immigration policy for the future, which ensures that we can provide protection, for example. to persons coming in the years to come. We will not do that if the influx to Norway becomes so large that it becomes difficult to deal with it. Therefore, tightening is absolutely necessary. I think it should be obvious that if you are going to bring your family to Norway, you are able to feed them, and you are integrated yourself, so that you can help the family when it comes, to be the same. So this is a point we follow up from the asylum agreement, too, where there was a desire to tighten up family reunification.
ParlaMint-NO_2016-02-17.ana.ud2568e212	Then we go to the next main question.
ParlaMint-NO_2016-02-17.ana.ud2568e215	My question is to the Council of State Listhaug. We are facing an extraordinary refugee situation that requires completely new political action. The Christian People's Party has contributed – and will continue to contribute – and hopes that the cross-political work can bring about both tightening and better integration. The Christian People's Party will be involved in securing the country's future and our good welfare arrangements. When the government came with 18 points before Christmas, we and the opposition took part constructively and expanded them to 64 points, which is then the Storting's will in this matter. When the Council of State put forward 40 tightening proposals in the Rome Christmas, many were surprised and disappointed. We were surprised because the government did not take a greater lead in the merger, and we were disappointed because many of the measures would inhibit integration. They will hit vulnerable children and are likely to run counter to international legal obligations, as pointed out by the government’s own UDI, SSB, Bufdir and IMDI trades, to name a few. The Christian People's Party is now committed to speeding up targeted action. We have expectations about that, and we want to contribute. Last week the Prime Minister expressed in text messages and letters that the government was on the offer page. There's been an invitation to a new meeting, and we're looking forward to that. The Christian People's Party is willing to engage in a dialogue to see if it is possible to find cross-political solutions, even though some of the proposals to date appear unacceptable. We have expectations, we want to participate, and we will arrive at a result that is in the best interests of the country to secure the future. Does the Council of State wish to reach a broad consensus? And does the Council of State have the will to review and perhaps create proposals that come to other parties, at an early stage?
ParlaMint-NO_2016-02-17.ana.ud2568e232	There is no doubt that the need for tightening up is as great now as it was when several lots made a wide settlement before Christmas. Looking at the influx to Europe, it came in January last year from Turkey to Greece – the figure this year is 60,000. It points to the fact that we can face a huge challenge during this year, because it is expected to meet twice as many asylum seekers in Europe. I'm very happy that the Christian People's Party wants to contribute to tightening up, that you're on the offer page there. I also want to be, but I think it is absolutely necessary that the constraints we finally agree on are sufficient to meet the challenge we face. To take the example of single minors: there are many dilemmas about that case. What's our main starting point is that in most cases the best thing for the child will be to be with his family. What is happening today is that families pay human traffickers to take young family members across the world – put them at risk. Some children are killed, they are subjected to violence, they are subjected to abuse, and I believe it is a responsibility to look at what changes can be made to the law to help stop it, or at least to reduce it. We now see that Sweden has enormous challenges. There's a lot of newspaper headlines about how they're dealing with these challenges there. Last year, 33 000 lone minors came to Sweden. This is a dilemma, but I think it's absolutely necessary, also for the children, that we look at how we can tighten up.
ParlaMint-NO_2016-02-17.ana.ud2568e243	The Christian People's Party is well aware of the situation and the seriousness of it. That's why we're on the road to fighting for both humanity and children's best in this, while we see that new measures are absolutely necessary. In particular, however, we are responding to the proposal that single minors should only stay temporarily until they reach the age of 18. The proposal has been strongly criticised, and it has been pointed out that it may be based on false factual evidence. I can draw up the situation they experience when they have come, however and for whatever reason. It is important that we make sure that they feel safe and secure. We know they can have mental problems. It may make integration more difficult and may be demanding for foster parents and institutions, and it may also lead to the disappearance of several children from reception. There are even some who believe that this could be contrary to the Children’s Convention. Is the Council of State on the supply side in changing exactly that proposal?
ParlaMint-NO_2016-02-17.ana.ud2568e250	Now we're going to go through the hearing opinions, and we're going to have talks with the parties that were part of the conciliation, before we're going to promote what we think is absolutely necessary tightening up. In the case of the children, we think there are many dilemmas here. I believe that the journey these people are going through also helps to give them mental problems. We know that children are being killed, we know that they are in the hands of human traffickers, that they are subjected to violence and abuse. Especially girls, of whom there are few, experience very difficult relationships. So I think it is absolutely necessary that we look at how we can contribute to these children being with their family, rather than being sent out in the way that is today. They also experience a strong pressure when they are here, because the family expects them to send money back home. So they're under pressure from many different teams. I see the dilemma, and I think it is necessary to look at what measures can be taken to limit the flow.
ParlaMint-NO_2016-02-17.ana.ud2568e255	There will be follow-up questions – first Geir Jørgen Bekkewold.
ParlaMint-NO_2016-02-17.ana.ud2568e258	In a chronicle of the NRK Opinion of 10 February, the Council of State wrote that she was ‘in the process of producing facts in the debate’. That's good. Nevertheless, the hearing bodies point out that the government’s draft consultation on restrictions contains misrepresentation of facts, misuse of case law and unfounded claims. The SSB points out that the statistics on family reunification for lone minor asylum seekers do not argue that children have been sent here as so-called anchor children, and UNICEF even sent letters of complaint to the ministry because they believed that their report was misused by the ministry. Such criticism of the factual basis of the draft law is an unusually strong diet, and my question is: does it impress upon the Council of State, and will she correct this and modify the proposals that have been promoted on the wrong basis, when she submits the matter to the Stortinget?
ParlaMint-NO_2016-02-17.ana.ud2568e265	Of course, we will review the hearing opinions in a thorough and good way. What was in the draft consultation on the SSB figures was that there could be a double. It has not been so far, but the number of family reunions is also about which groups come to Norway. Somalis, for example, have family reunification to a greater extent than some other groups have. So it's like when I talk about reports – I also think the representative Bekkevold knows that it can be difficult when you get an interview, talking half an hour about a report. You're going to be pretty fast, and you're going to take the points that you think are important. What about anchor kids is in that report. We also know that some children in Norway have got their family here, they have been sent to Norway and have been given family reunification, so this is happening today. But what's our main point about the children is that we have to try to limit the influx, because of the best of the children.
ParlaMint-NO_2016-02-17.ana.ud2568e272	Eirin Sund - for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e275	I want to follow up on the questions asked by the representative Bekkevold. I hear the Council of State say that in the context of the consultation round which has now been on the 40 proposals, one should go through this and look at it carefully. Nevertheless, many of the hearing bodies have pointed out a number of challenges in the government's proposals, both the lack of evidence and the lack of impact assessment, both in the field of international law and in the field of child care, and it is not least a major question mark as to whether several of the proposals you make are practicable. Of course, we expect the government to respond to this criticism. But the question is: Will the government make a thorough assessment of the proposals with which the government finally chooses to come to the Grand Duchy, where these challenges and objections, which are very clear from the hearing bodies, will be addressed? I do not feel that the Council of State is responding to the representative, Bekkevård.
ParlaMint-NO_2016-02-17.ana.ud2568e280	What the government will bring to the Stortinget is what we're going to think is necessary tightening up to meet a situation where we can get a very large asylum influx to Norway. What is the task of politicians and governments is to think for the long term on behalf of the country, to ensure that we have a sustainable immigration policy that enables us to take care of the institution of asylum over time, that we have money left to help those who are in the neighbourhoods of war and poverty, and to have a welfare model for the future. There are elements that one in many of these consultation opinions does not take into account because they address individual elements. Then, of course, the hearing opinions will be thoroughly reviewed before the government comes back and submits a case to the Stortinget. And when the Storting gets it presented, you get plenty of time to go into these proposals and look at the final evaluations that the government is making.
ParlaMint-NO_2016-02-17.ana.ud2568e288	Heidi Greni – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e291	Siv Jensen called for the boycott of settlement. Erna Solberg boasted very much of the local authorities' work at the KS-Conference – very justifiable boasts – but it is still possible to be confused by what the government has actually intended to do in terms of following up these agreements. Refugee children are a central chapter of the Stockholm Integration Agreement. One of the booking points concerns child protection measures for lone minors. The municipalities are losing their lives to lonely minors, and the biggest challenge now is that there are too many lonely minors in line because the municipalities do not dare to settle. The integration agreement requests that the reimbursement scheme for child protection measures be reviewed together with the KS and states that it should take place quickly. Then my question is, how is this point followed up by the government?
ParlaMint-NO_2016-02-17.ana.ud2568e298	When it comes to housing, I think there's no need to be confused. It's just looking at the results that this government has delivered here, year after year. We've set records for the three years that we've now run. This year we're going to set a deciduous record, with over 15,000 settlements. It's about that we've arranged to get it done, and it's about municipalities that set up and want to be part of the work that is now necessary. In the case of single minors under 15 years of age, there is a responsibility under the Council of State Horne, but it is clear that the Ministry of Children, Gender Equality and Inclusion also works on these issues, looks at the different funding models and will also be in contact with the KS related to these issues.
ParlaMint-NO_2016-02-17.ana.ud2568e305	Karin Andersen – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e308	After these rounds, week after week, one can wonder how long the conciliators are going to find out that we have a government that keeps them fooled in the way they have done, and what they've actually done. SV has thankfully stood outside of this. The Councils of State are committed to maintaining the institution of asylum but have, in reality, submitted proposals to the institution of asylum for the Norwegian part. In addition, there are a number of factual errors, both with numbers and with references. This is about family reunification, about who is coming, and this is about anchor children, where information from other agencies is being misused to scare a majority of proposals for which only the Progress Party has so far been in favour. I have to ask the Council of State once again: how does the Council of State feel that integration should be facilitated when you have to wait ten years for your family, and to be informed that you are safe?
ParlaMint-NO_2016-02-17.ana.ud2568e315	Fortunately, there was a broad agreement on the Stortingen that took reality into account, which saw that the influx that came to Norway last year in the autumn was not sustainable over time. That is why a responsibility was taken into account in this Chamber. I record that SV stood outside the agreement, and then you can wonder if SV is comfortable with the situation that was last autumn, should continue – they about it. What I think is important when it comes to integrating is that you have incentives, that you make demands for those to integrate. I believe that too many people will find it motivating to know that if I do a good job of learning Norwegian, get to work quickly, I can actually get my family to Norway, or I can get a permanent stay if I am temporary in the period required.
ParlaMint-NO_2016-02-17.ana.ud2568e322	Let's move on to the next main question.
ParlaMint-NO_2016-02-17.ana.ud2568e325	For the sake of variation, my question goes to the Minister for Climate and Environment. Yesterday the NRK had a Focal Point programme where one of the conclusions was that more of Norwegian food production should be pasture-based instead of power-feed-based. It would be an interesting development if we could have made better use of our outcrops. The main obstacles to this today are Norwegian predatory policy. The Government does not follow the objective of the agreement on predatory animals to allow both the holding of predators and the simultaneous use of grazing throughout the country. This means that in area by area, a now ends with livestock because it is not proper to keep animals on pasture. This applies in Hedmark, which is the case in Nord-Trøndelag and in South-Trøndelag, which is the case in North Norway, and it applies in mountain regions in South Norway. There is a sad development for more environmentally friendly agriculture and also for District Norway. In a statement from the annual meeting in Hedmark Right on the weekend, frustration emerges very well, and I allow myself to quote: ‘Rights are properly used as a core value. Respect for individuals and property rights are strong ideological tabs. These core values have had to give way to a policy that lacks credibility and is very conflict-making.’ The centre party did not agree with the opinion. Today's policy creates major conflicts. Time and again, the Central Party has proposed measures in Stortinget that could give us another predatory policy, and our surprise has been great that the Right in Government seems to have forgotten everything in the party program, and everything they said before they came into government. Hedmark Right now requires that future stocking targets for wolves be set as two-three revirs, and they also believe that the subject-matter given to the government on this issue is a ‘mack’, which Gunnar Gundersen’s representative has so lyrically stated. Do the Councils have a point of view?
ParlaMint-NO_2016-02-17.ana.ud2568e341	I am not going to have any views on what is in the category of lyrical and not lyrical and not, but I am going to state that this government is pursuing a predatory game policy that is consistent with the predatory game agreement, which is in line with the international obligations of the Berne Convention, and which is in accordance with the Nature Diversity Act. We have more than the previous government opened for the harvesting of predators that could be a risk of damage at the front of the grazing season. We have given clear signals that the predatory game management must have a high level of preparedness both before and during the grazing season to ensure that the necessary take-offs are implemented. We have told the administration to conduct a clearer zone management that separates predators and grazing animals in time and space. This will lead to reduced losses, and has resulted in reduced losses, for the number of livestock replaced as taken by predatory game, was historically low in 2015, 14 pst. lower than the previous year and reduced by nearly 50 pst. in the last 10 years. This is a field of strong emotions and strong views. It is therefore important that we stick to the predatory settlement. It is important that we work for the continuation of a broad consensus on predator management. If the Center Party chooses to stand outside of it, it's not something we want, but we're going to have to take note of that.
ParlaMint-NO_2016-02-17.ana.ud2568e350	The center part is completely behind the predatory game agreement, but today's predatory game settlement is not followed up. The problem is also that the wolf management is not regulated in today’s prey settlement. That was the part that remained, and that we have now waited for winter and spring for the government to come with a big message about. If they come with that big message, they also know that they can have a majority in this room together with the Center Party. I understand the answer that the Council of State does not share the concern of the representatives of Gundersen and Hedmark Right in this matter, and that is a fact that should worry all the Right People out in the districts. The frustration that is now being expressed is simply being swept away by the Right in Oslo. It is quite strong when the Vice-Chair of the Business Committee calls the subject-matter of the wolf ‘a matchmaker’, and is it this subject-matter that Gunnar Gundersen calls ‘a matchmaker’, on which the government intends to base its announced report on wolf policy?
ParlaMint-NO_2016-02-17.ana.ud2568e359	We take as a starting point what lies in the predatory game agreement, namely the reassessment of the stock target for wolves and an evaluation of the wolf zone. It is on the basis that a technical basis has been established. Consultations and information meetings with interested interests have also been carried out, and our ambition is that the Storting should be able to start handling a case on stocking targets and assessment of the wolf zone as soon as possible. We have had rounds with the parties on Stortinget – and there have been rounds within the parties on Stortinget – and we are well aware of and take on the greatest seriousness of the concerns that exist, not least in Hedmark, but it is also that we have international obligations. It is our responsibility to present a balanced policy that takes account of different interests.
ParlaMint-NO_2016-02-17.ana.ud2568e367	It opens up for follow-up questions – first Janne Sjelmo Nordås.
ParlaMint-NO_2016-02-17.ana.ud2568e370	The centre batch has raised the question of predatory management many times. There must be some changes in predatory policies. Current policies do not take too little account of grazing industry and of the need for agricultural policies to implement land use. The Central Party believes that the Yews Act is too ineffective and that something must be done with the fact that we have been far above the target for several years. We believe that the quota for the killing of bears, set by the Environment Directorate, needs to be taken out 100 pst. and that the licence hunt needs to be better implemented. In the news yesterday, it turned out that there have never been as many wolfevir registered as now. There are wolf coal in at least six helnorphic reviruses and in four border reviruses. It provides the basis for a new wolf policy with licence hunting. The centre party wishes to receive a wolf rating, which may provide the basis for a new wolf management. And we've been waiting a long time for it to come. It's urgent. Can the Council of State confirm the early Easter of a major report on the management of wolves, so that the Stortinge may discuss this matter before the summer?
ParlaMint-NO_2016-02-17.ana.ud2568e377	To answer that question, I can confirm that we are working to file a case as soon as possible and hopefully before Easter. I would also like to say that I agree with the need to streamline the licensing of yours, and there we have also taken action. I am also concerned about stressing that the report published by Rovdata is an interim stock report – the one to which the representative refers and which was mentioned yesterday. The final report will be available on 1 June, which is why we should be a little cautious about making policies based on these provisional figures. They also show a wolf population exactly on the stock of three heroic juveniles within the wolf zone, while we actually know that one of these juveniles is no longer intact. So it's important that we wait for the final numbers before we draw conclusions here.
ParlaMint-NO_2016-02-17.ana.ud2568e384	Eva Kristin Hansen – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e387	The representative Arnstad referred to Hedmark Højre’s annual meeting this weekend, which adopted an opinion entitled ‘The wolf and the forest under the lupen’, requiring the repeal of the wolf zone and almost not having a wolf in Norway, and they are going to a very serious attack on the Berne Convention. According to Hamar Arbeiderblad on Saturday, Mr Gunnar Gundersen said two things to the annual meeting. He said, "Wood is not just wolf" – okay. And then he said, "This is the resolution I need to take the fight centrally." Based on the Government's replies here today, it seems that the positions of Hedmark Right are not representative of the government and the Council of State. Do I understand correctly that the Council of State is standing here today and is taking a break from Hedmark Right and can confirm that Gunnar Gundersen has lost the fight centrally?
ParlaMint-NO_2016-02-17.ana.ud2568e394	It is our desire to achieve a settlement in the Great Britain on the continued policy of robbery. It is our wish that that policy should comply with the Berne Convention and the Nature Diversity Act. And it's our starting point that if you're going to get a deal, you have to have a wide process. Then the starting values for the discussion must be clear, and it is quite clear from Hedmark Right that they have been ready with their starting and input values in that discussion. I have a lot of respect for it. Democracy is a beautiful thing, and we're going to take with us those points of view in the same way as we take with us other points of view that belong to this discussion, whether it's about views on and interpretation of our international obligations, or it's about other points of view – even in Hedmark and other states where this arouses strong feelings.
ParlaMint-NO_2016-02-17.ana.ud2568e399	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e402	These things are always a little amazing. In the Center Party you are concerned when you are above the stock targets, in the Left we are more concerned when you are below the stock targets, as it is too gloat. Wolves were below the stock targets last year, probably we're over this year, and that's good. I would like to address a little of the basic premise in the question from the representative Arnstad, who was on the basis of a programme yesterday that we do not use pasture in Norway because of predatory policies. I think to a large extent that the fact that we do not have so much outback in Norway is much more closely related to the agricultural policy we are pursuing, and that there is a good place for more environmentally friendly agriculture while at the same time caring for the large predators, although there are also conflicts. I would like to ask about the assessment of the Council of State: does he agree that we can have a more environmentally friendly agriculture – to make more use of outlanding, which can also stop regrowing in Norway – while at the same time achieving the objectives of predatory policies for the large predators?
ParlaMint-NO_2016-02-17.ana.ud2568e411	I agree that we can and should have more environmentally friendly and climate-friendly agriculture. I agree that we can do that at the same time as we achieve the objectives of the predatory game agreement. And I believe that this government has done just that, because we have been more concerned with and to a greater extent than the previous government has opened for the withdrawal of predators that could pose a risk of harm, prior to the grazing season. We are concerned that the grazing season should be disrupted as much as possible. We have informed the flight crew to have a high level of preparedness in this way. It shows that different considerations can be taken into account in this important issue.
ParlaMint-NO_2016-02-17.ana.ud2568e416	Let's move on to the next main question.
