ParlaMint-NO_2016-03-30.ana.ud2203e22	The representative, Ruth Grung, will put forward a proposal for a representative.
ParlaMint-NO_2016-03-30.ana.ud2203e120	There is no doubt that there is a need for a mechanism of taxes and taxes to ensure that businesses have predictability and not least the ability to operate well. That is why we are very concerned about good negotiations in Stortinget to bring about a tax reform that will solve it. However, we also know that in the current phase of unemployment — high unemployment in certain geographical areas and especially in some age groups — it is also important for a target group to target the measures. I believe that in every budgetary settlement since the new government came – in cooperation with the Christian People's Party and the Left in the Stortinget – we have managed to increase the apprentice's grant, which has increased by NOK 15 000 since the government change. We have also been told in the invitation to tender that there is a requirement for apprentices, which is good when you think about the crime of working life and to get out unprofessional actors. It will also contribute to more apprentices. If there's something that's dangerous, it's that the kids are available, that they're trained in school and they're going to learn, but instead they have to go to Nav. For this reason, I would challenge the Council of State: what other types of action does the Council of State see the need to do to ensure more apprentices, and for example. to increase the apprenticeship allowance or to make demands on apprentices?
ParlaMint-NO_2016-03-30.ana.ud2203e126	I fully agree with the representative, Mr Ropstad, that the strengthening of the apprenticeship grant has been important – together with a wide range of other measures adopted through the budgetary conciliation in Stortinget. We have taken more action on the employment side, we have strengthened labour market measures, we have strengthened the in-house training, we have increased the use of wage subsidies – especially to meet particularly vulnerable groups in the labour market and the apprenticeship subsidy, of course – because it allows more people to expand their skills at a stage where the labour market is more demanding. We're going to do more of what we know works, and that's exactly why, in cooperation between the four parties, we've strengthened this arrangement focused on each and every crossroads. It's an action we get to assess whether we should continue to strengthen.
ParlaMint-NO_2016-03-30.ana.ud2203e131	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e134	Road and rail investments are important to ensure short-term activity and to facilitate future value creation. This government has spent more oil money in the last three years than was done in the previous ten years. In the current state of affairs, less attention should be paid to tax cuts and more to investment in road and rail. There is nothing wrong with the rhetoric of the Progress Party and the government in the field, but if we look at the figures, we see that the investments in rail in the adopted budget for 2016 are below the level of the state budget presented by the Minister for Transport of the Central Party for 2014. If we look at investment in the road, it's one below the level that it's set in the National Transport Plan. To quote from Jensen's draft budget for 2016: ‘There are in the first series of national road investments below the national transport plan economic plan framework after three years’.» What will the Minister of Finance do to increase investment in infrastructure, not just talk about it?
ParlaMint-NO_2016-03-30.ana.ud2203e144	I think I'd like to ask the representative Pollestad to read the budgetary documents a little bit more thoroughly. During the working hours of this government, we have established an infrastructure fund of 100 billion. kr, we've got New Veier AS in place, we've strengthened the investment appropriations for both the road and the track, as well as our grip on the problem that the red-green government didn't take care of, i.e. the maintenance seat. For the second consecutive year, the maintenance allowance declines because this government prioritises both investment and maintenance. So there are many unsolved tasks in the transport sector. I agree with the representative Pollestad that one of the most sensible things we can do is spend more money on infrastructure. That's exactly why the government does it – in addition to reducing taxes to boost the competitiveness of our own business and the investment in research and education, all three areas we know contribute to increased growth and value creation over time.
ParlaMint-NO_2016-03-30.ana.ud2203e149	Terje Breivik – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e152	Those who now lose their jobs in the petroleum industry and many related industries will probably need to find new jobs in other sectors. And if companies that are now in the middle of the crisis along the coast, are to evolve, they are probably equally dependent on transforming themselves into new markets. Concrete acute measures that strengthen and facilitate innovation in existing enterprises and start up new ones are one of the most important things that can contribute politically to make everyday life easier. Now the state budget was quite good in 2016, not least after the left contributed with several concrete measures here on the house, and the left of course comes to continue to contribute as heavily by the next crossroads, but the job here on the house becomes considerably simpler and more effective the more government puts into its proposals, whether it is in the RNB or the state budget for 2017. A typical example of measures that need to be put in place is to make it easier to scale up technology, for example. Norwegian Katapult programme for Siva, removing taxes and charges for start-ups... [[The President cut off]]
ParlaMint-NO_2016-03-30.ana.ud2203e161	Time's up. Mr Jensen, the Council of State, is taking the floor.
ParlaMint-NO_2016-03-30.ana.ud2203e164	I am not quite sure if I understood the question, but at least I can say that I agree with the representative Breivik that it is important to bet on innovation and entrepreneurship. We're in a situation where the Norwegian economy is going through a permanent structural change. The number of people employed in oil and gas-related industries will remain smaller in the years to come, although it will provide major, important impulses and contributions to the Norwegian economy in the future. But that means we have to get more legs to stand on. Then we have to facilitate more investment in other types of industries with profitable enterprises and jobs. Therefore, it is important to use the whole instrument, both through direct action by entrepreneurs and entrepreneurs, and not least through the tax system. I am very pleased with the consensus negotiated between the four parties through the budgetary conciliation.
ParlaMint-NO_2016-03-30.ana.ud2203e171	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e174	The Council of State seems very certain in its case in the discussion on the taxes on wealth, although there is no research or evidence the government can refer to that confirms the Minister of Finance's point of view. But how can it be that disabled, unemployed and young people who have fallen out of high school should always be motivated for more effort by less, while the richest capitalists in society should always be motivated by the Minister of Finance by receiving much more?
ParlaMint-NO_2016-03-30.ana.ud2203e179	I totally disagree with that claim. The condition that we should be able to have good, safe, rusty welfare systems in Norway that take care of those who fall outside for various reasons or that we should be able to take care of those who go out of work for temporary periods is that someone is involved in financing this. Then we need profitable businesses, and the prerequisite for getting profitable businesses is that we have competitiveness. The prerequisite for their competitiveness is that they can operate in an environment that does not compete with countries with which comparison is natural. The level of taxation in Norway has been higher for many years than in countries with which comparison is natural. Therefore, the government proposes to reduce corporation tax to a competitive level. We have listened to all those who own their own businesses in Norway and take them seriously when we also propose to reduce taxes on wealth, simply because it provides more jobs and safer income, which enables us to maintain our welfare society.
ParlaMint-NO_2016-03-30.ana.ud2203e187	Let's move on to the next main question.
ParlaMint-NO_2016-03-30.ana.ud2203e190	The question goes to the Minister of Finance. For the previous round it should be said that it seemed as if there had been enormous tax relief for the current year. If you look at the book effect of tax relief for the current year, it may be more limited than the government itself wants, but at least it is very limited. But what I was concerned about is what you should and can do now for those who are unemployed, and against the increasing unemployment. A good barometer is Norway’s Bank’s regional network and how they assess the labour market situation. The Norwegian Bank’s regional networks are based on interviews with over 300 enterprises across the country. Their report, which came a few weeks ago, shows some very interesting findings that for the Christian People's Party are very important in working on what we can do to strengthen the fight against unemployment in the revised budget. In our view, this is necessary from among others. This report looks at how we can deliver targeted measures that do not prevent the necessary conversion, but actually contribute to it, and that the growth of unemployment, which is particularly high in the South of the West, is addressed in particular. We need action that works quickly, that stimulates employment in the private sector, that saves us for future expenditure, and that does not commit us at a higher general level of expenditure. That is when – not least from the effects of the financial crisis and what was done then – the maintenance and rehabilitation of barley can produce such a positive short-term effect, but also a long-term positive effect. So my specific question is: does the Minister of Finance think that there is a need for specific additional measures aimed at the South-West in the revised budget?
ParlaMint-NO_2016-03-30.ana.ud2203e197	The government believes, and felt, that there was a need for special measures aimed at the South and the West. That's exactly why we presented a 4 billion measure package. in relation to the state budget for the current year, where there were in particular three priority areas. It was just maintenance and construction, it was industry and innovation, and it was labour market action. That's because we know that it gives pretty immediate effect. Although it in no way solves the long-term structural challenges of the Norwegian economy, it will be a temporary relief in the region where the challenges are greatest. That is why we facilitate targeted and systematic projects that could be implemented relatively quickly. There are now ongoing contracts for many of these projects, precisely because we wanted to avoid adopting projects that could only be implemented perhaps after the problems of the Norwegian economy are over. It was one of the main challenges of the financial crisis, that many of the measures the Stortinget decided to take, was first started and started to work in the economy after the financial crisis was over, and then they could be strictly counterproductive. So it is important to realize the projects quickly and in those areas where employment needs are greatest, and I believe that the package of measures contributes significantly to all of this. But then the government has also always said that we need to constantly assess whether the situation is worsening, and that allows us also to be able to bring new and exceptional measures in revision if the situation so requires.
ParlaMint-NO_2016-03-30.ana.ud2203e204	I take it as a positive response to the challenge of the Christian People's Party. I fully agree that what we did was actually a general strong stimulus in the budget, but I would also like to say, when one goes into the March figures, that there is a need to further target actions against geographical areas and sectors. Then I would like to draw up a letter that was sent – cross-politically – from the head of state government in KS Rogaland, Janne Johnsen, in the middle of March, which points out in a very exemplary way what concrete projects can be implemented quickly, with different amounts of money, and which can stimulate the economy positively and not hinder conversion, and thus also contribute in the short term, but also in the long term, to the work we are going to do together. So my question is, is the kind of action that is outlined here, something that the government wants to include?
ParlaMint-NO_2016-03-30.ana.ud2203e213	Of course, the government is also in close and ongoing dialogue with the KS to both monitor and assess whether there are projects around that can be implemented quickly if the need is to be there. Clearly, there are many unresolved needs around many of the country's municipalities, but we must, as the representative Syversen rightly says, target the measures, and I believe that we have done so far through the state budget that was adopted before Christmas. That doesn't mean we're in the goal. This means that we need to constantly assess whether we are going to implement new and more measures, and the first opportunity to do so is in the context of the revised budget, which the Stortinget will receive in May.
ParlaMint-NO_2016-03-30.ana.ud2203e218	It opens for follow-up questions – first Filip Back.
ParlaMint-NO_2016-03-30.ana.ud2203e221	During the financial crisis, the party leader, Siv Jensen, was concerned about the lack of action by the government at that time. Jensen called for major changes in the state budget to meet increasing unemployment and financial crisis. To VG at the end of October 2008, the current Minister of Finance said: «The government must enter into major investments both in infrastructure and in the maintenance of building stock. But also the municipalities are going to have a terrible year next year. That's why we decided on the national government this weekend to add SEK 5 billion to our alternative state budget." The statements were good. We know that now, as in the case of construction, especially, and even though Norway is not in the midst of a new financial crisis, it is geographically part of the country that notes the consequences of lower oil prices and thus higher unemployment. I would like to challenge the Minister of Finance: do we want to see the same offensive, the same extraordinary measures, as the former leader of the party and the current Minister of Finance raised in 2008?
ParlaMint-NO_2016-03-30.ana.ud2203e233	That is, of course, the offensive the government has taken on board in the proposals we have put forward to the Grand Duchy in connection with the state budget, not least for the current year. This is about extraordinary investment in construction and maintenance because it is correct and necessary. It is about strengthening municipalities so that they can trigger more actions and projects. This is about a strong commitment to infrastructure both for maintenance and for new investments. It is about strengthening the competitiveness of a whole Norwegian business. However, it is also important to bear in mind that the challenges facing Norwegian businesses now face are quite twofold. The main challenge lies in and around enterprises linked to oil and gas-related business and industry, while large, other parts of Norwegian business are doing very well. Then it's important that we use the right tools, so that we don't destroy those who have a challenging time for those who now have growth and new market opportunities.
ParlaMint-NO_2016-03-30.ana.ud2203e238	Torstein Tvedt Solberg – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e241	There is no doubt that the situation is getting worse. A few minutes ago, the SSB presented the new AKU unemployment figures for January. They report 134 000 unemployed, 4.8 pst., far above the level predicted in the national budget. The Minister of Finance has previously said that the increased use of oil money should be targeted in a package of measures towards the South-West. Stavanger Aftenblad has shown us, as they went through the action package, that this was a bluff – it was not targeted, it was not applied to actions that work, and there is still uncertainty about large amounts in the action package of just 4 billion. kr. It seems to me that the government has given up the unemployed and is not willing to initiate measures that work. So I wonder what the Minister of Finance thinks when she sees today that unemployment goes up again, once again puts a new record in high unemployment. What would she say to the 134 000 people who are now unemployed, who have seen a government that is not willing to take action? Can they have confidence that the government is now waking up?
ParlaMint-NO_2016-03-30.ana.ud2203e250	It's absolutely right that new AKU numbers have been introduced while we've been standing in this word change. That means I haven't had the opportunity to go deep into them. I have understood that there is an increase of 0.2 percentage points compared to October last year, but that employment is also increasing, according to the evidence presented today. But I want to stress that the uncertainty in the material is high, especially because last month we got some happy news in the Nav numbers, which indicates that unemployment might have stopped something. My point of saying that is to underline the great uncertainty that lies in this. I would like to distance myself from the claim that the package of measures is a bluff – that is not correct. There are 4 billion targeted money going to remedy a more demanding situation, especially in the South and West. It is not about giving up the unemployed, rather on the contrary – it is about taking them seriously, making sure that new, profitable jobs are created around the country.
ParlaMint-NO_2016-03-30.ana.ud2203e258	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e261	Yesterday the message came that Orkla is considering moving 80 jobs related to ketchup production from Rygge to Sweden. In the South and Western countries, the package of measures is not targeted. In Rygge, one feels that the government is implementing a targeted policy to get rid of jobs. I am thinking of the so-called airline seat charge, a charge that the Minister of Finance himself has said has been introduced to get money in the treasury. When one sees unemployment rising, will the Minister of Finance consider scrapping this tax, which will directly affect Norwegian jobs, and which, according to the Minister of Finance, has little or no environmental impact?
ParlaMint-NO_2016-03-30.ana.ud2203e270	The President would point out that the word 'bluff' is not a parliamentary term.
ParlaMint-NO_2016-03-30.ana.ud2203e273	I am not sure if Pollestad now asked me about Orkla or about a passenger fee, but I can confirm that the Stortinget decided before Christmas that a passenger fee would be imposed which was initially due from 1 April. Before Easter I announced that we would postpone its implementation until 1 June, simply because ESA is now looking at the matter. We believe that this is not contrary to State aid law, nor does it need to be notified to ESA, but when ESA is now willing to look into the matter, the government has found it appropriate to postpone the implementation of the levy until 1 June. I am aware that the representative Pollestad has asked many questions about the passenger fee. However, I want to use the last 10 seconds to stress that unemployment is challenging for anyone affected by it. That's why it's important that we stick to the measures we know to create growth and value creation, and that's what the government intends to continue.
ParlaMint-NO_2016-03-30.ana.ud2203e282	Let's go to the next main question.
ParlaMint-NO_2016-03-30.ana.ud2203e285	Minister of Finance and Chairman of the Advance Party Siv Jensen has set a new Norwegian record in the number of state bureaucrats in departments and directorates – congratulations. In Norway, we have never had a government that has hired more bureaucrats at such a staggering pace as we now have – condolences [[muttering in the hall]] Let me take a few examples: in the autumn of 2013, local offices were to be centralised and laid down in state financial management and added to some cities. There would be fewer bureaucrats. The answer is that there have been several bureaucrats. Then a massive centralisation of the police has been carried out. You had to free resources, you had to get more police near people. The answer is – if we read the Police Forum that came out yesterday – that you cut the police resources close to people. There's less police resources in the districts, there's explosive growth in consulting, and there's 48 pst. more members of staff of the Police Directorate today than it was in 2013. Let me give you a third example: Local Hospital is being shut down. But when you look at the Health Directorate, it's 24 pst. more bureaucrats in the Health Directorate today than it was in 2013. First you centralize, then you red tape at a staggering pace. My question to Minister of Finance Siv Jensen is: Does the Progress Party still believe that reducing bureaucracy is an objective?
ParlaMint-NO_2016-03-30.ana.ud2203e294	I disagree with the claim that they both centralize and red tape. I rather believe on the contrary that since we joined the government has been working on a wide range of important reforms to improve the provision of services to people in different sectors. In the field of transport, a wide range of reforms have been put in place to allow us to build both roads faster, fairer and better than in the past. It will provide more money, and it will respond to many of the challenges and expectations of Norwegian business. The figures presented by the government before Easter related to treatment times in the hospitals show that the grips we have taken there make it go the right way. The Minister of Health can certainly say more about that, if he gets any questions. But I agree that we are in no way in the process of achieving effective central government in Norway. On the contrary, I believe that this job is far from being done. But many of the reforms we are in the process of, and not least the fact that we have now implemented this ABE reform, which demands every single year for every state agency to improve resource use over time, will mean that we will get more for taxpayers' money. But are we on target? No, we're not. Is the fight against an effective state and an effective bureaucracy continuing? Yes, it does, I can assure the representative of Battle Violence Vedum.
ParlaMint-NO_2016-03-30.ana.ud2203e305	There's never been any greater need for it than now, one has never been further from the goal than now. Because it is a fact that bureaucracy has never grown more than after Siv Jensen became Minister of Finance, and that the bureaucracy in departments and directorates has never grown more than after the Progress Party got the keys in there. So if the Progress Party is busy reducing bureaucracy, they should say: Be so good, take over control so we can do something about it, because at least we can't. And then when one looks at the police, who's had a growth of up to 50 pst. in the Police Directorate, and then when we travel around the country, we see that it is being cut in the local police resources. Last year, the Police Directorate took 100 million. kr from the districts to strengthen their own business, and then we get reports from e.g. Hordaland says that someone doesn't have the resources to investigate normal everyday crime. What kind of priority is this from the Progress Party, strengthening bureaucracy, cutting the resources of the police to ensure your and my daily lives?
ParlaMint-NO_2016-03-30.ana.ud2203e312	That statement is simply crazy. This government has strengthened the fight against crime in every budget since we joined. We have both increased the appropriations allocated to the police and ensured that all newly educated people come to work after finishing education from the Police College. That's good. But this was a challenge we gave the red-green government every year, without them being able to do anything about it. We've strengthened the courts, we've strengthened the prison capacity, we've simply helped our society gradually become safer. The fight against crime is high on the list of this government. So saying that we haven't strengthened the police's appropriations is simply wrong. I want to repeat what I said instead of saying that it is still a potential for improvement, and that we are in no way in the target, but we have started a wide range of reforms, just to help us spend taxpayers' money better. But I must also remember that it is not all the reforms that the government has proposed for the Storting, which would contribute to less bureaucracy, for which we have received a majority.
ParlaMint-NO_2016-03-30.ana.ud2203e319	It opens for follow-up questions – first Geir Pollestad.
ParlaMint-NO_2016-03-30.ana.ud2203e322	The government is eager to centralise important services that are close to people. One such ideologically driven centralization and bureaucracy is the Center Party against. But now it's also the way that in some areas the Center Party is of course too fewer and more efficient units. Toll collection is such an area, and we support the goal of getting today's 47 toll companies down to five. It will be a red tape reform. That reform is in the blue. No one knows where it'll go. Norvegfinans, who organizes toll companies with the Advance Party in government, writes: «Bomp money is an industry of growth and development». Will the State Council of Jensen take the initiative to ensure that this important reform actually becomes something more than just talk? For now a barely got a meter way in the process.
ParlaMint-NO_2016-03-30.ana.ud2203e330	The government is serious about the toll reform, and the representative Pollestad is quite right that it is a pointless resource use to have so many collecting societies around the country. You can do this in a much more efficient way and thus release money directly back to road construction, which must be the whole point. Questions about the details of the progress of the reform, it is natural that the representative should address the Minister for Transport, who will certainly have the details in mind if the representative asks him.
ParlaMint-NO_2016-03-30.ana.ud2203e337	Truls Wickholm – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e340	The Minister of Finance has cut the government's revenue by nearly 20 billion. kr. 50 pst. Of them have gone to the 5 pst. Richest. And it's true that the Minister of Finance is draining the fund to get this done, because when the Minister of Finance takes out money and doesn't fill in, it's going to be less that the Minister of Finance can get interest from. She's increasing expenses by 180 billion. kr, and she does not document the employment effect of her tax cuts – if one does not count on these 7,988 new state employees or 1,539 new ones in the department and directorate. It is likely that some of the policies of the Progress Party, toll companies that have to be followed by new bureaucrats, will also lead to more bureaucracy in the state. What about the war against bureaucracy when we see this development under the Progress Party?
ParlaMint-NO_2016-03-30.ana.ud2203e345	This is a question that began with the rule of action and ends with bureaucracy. I think I'm going to try to clear up some of the crazy claims that came up on the question. The working party accuses the government of spending too much oil money. I would like to remind you that the whole point of the rule of action has been that we are going to phase in more money year after year. That was the whole premise of the action rule that the Workers' Party put forward in 2001. But there were a few more prerequisites, namely that the increased use of money should go to reduce taxes, to increase investment in infrastructure, to focus more on knowledge. When on the road from 2001 until today was the Workers' Party leaving the track they themselves asked the Stortinget to agree with? For a struggle that the Workers' Party with such zeal is leading to tax cuts, which improves the competitiveness of our business life, one should look for a while. I have to say I think it is alarming that the Workers' Party is going to fight against a competitive tax system when it is the Norwegian business community asking for it.
ParlaMint-NO_2016-03-30.ana.ud2203e352	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e355	The Minister of Finance began his reply to the representative, Schlagsvold Vedum, saying that she was indisputable in the claim. It seemed to me to be an unfortunate use of words, for the representative Schlagsvold Vedum did not make any claim or anything that it was possible to disagree with. There have been 1539 more added to the central government under Siv Jensen as Minister of Finance, bringing together nearly 8 000 more statesmen. As has been noted, the Progress Party announced that they would go to war against bureaucracy. I have to say that there is a rather unfortunate use of language initially, but at least that war seems to be winning on walkovers – on the side of bureaucracy. The left agrees that one should dampen – and preferably reduce – the growth of central government. But we have recorded few, if any, proposals from the government – the only thing that had to be this flat cut that we have been helping to strengthen in the budgetary agreement. Nevertheless, this goes too slowly. Now it is six and a half years to the next major elections – what is the Minister of Finance going to do to fulfill his will?
ParlaMint-NO_2016-03-30.ana.ud2203e364	What I said I disagreed with was the claim of more centralization under this government – I disagree with that. I rather believe on the contrary that we have been concerned that in all areas we should improve the provision of services to people where they live. Then it's about organizing our society in a smarter way, so that we get more for taxpayers' money. That's one of the reasons why we're working on a municipal reform. This is one of the reasons why we have implemented major reforms in the field of transport. This is one of the reasons why we have implemented a wide range of health reforms. This is one of the reasons why several reforms have been undertaken in the whole field of tax administration. I am more than willing to cooperate with the Left on further red tape measures, but then it is also a prerequisite that we get our proposals through. The last reform I presented to the Storting, to wind up the municipal tax collection, was not left to the left.
ParlaMint-NO_2016-03-30.ana.ud2203e371	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e374	Over the last two years, the government and the majority of the population have introduced a requirement for efficiency in the budget. The Council of State has now said that the government is not in the process of achieving its objectives and that the government has undertaken many reforms. My simple question to the Council of State is: What effects do the Council of State see today of the efficiency goals that we have set ourselves?
ParlaMint-NO_2016-03-30.ana.ud2203e381	I am very pleased with that question, and I hope that in time I can give a much more detailed and complementary answer to this. It is important to measure the effects of a new reform, which is not new in this sense, because it has been implemented in many other countries and has long been effective in many other countries, but in Norway it was introduced after the Right and Advance Party came into government. The majority have also reinforced the effects of red tape and efficiencies reform through budgetary negotiations, but what we see is that where measures are managed in a targeted manner in each state budget, they also have good measurable effects. That's good. But these are the effects we would like to report to Stortinget, so as soon as we have a reporting basis – because this is a completely new reform – we will be able to inform the Storting about it in detail.
ParlaMint-NO_2016-03-30.ana.ud2203e386	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e390	Behind what the representative Hemdal and the Council both refer to as an efficiency reform, it hides something interesting. For it is true, as the representative, Mr Schlagsvold Vedum, said, that the number of bureaucrats is increasing with Siv Jensen as Minister of Finance, while implementing flat cheese needs, efficiency cuts throughout the state. It must mean that the cuts are not taken in the state bureaucracy and in the departments but are taken on the service side. Why is the Minister of Finance not willing to cut down on the actual state bureaucracy, in the state consultancy that is billions of billions a year, instead of cutting off the service offer to the Norwegian people?
ParlaMint-NO_2016-03-30.ana.ud2203e395	I am more than willing to do that too, and nothing would please me more than that SV also began to become more concerned about how we can get a more efficient central government. I believe that this is an important overall objective. That was one of the reasons why we introduced the ABE reform. I disagree that it's just a flat cheese match. It is a targeted requirement for each unit of the whole central government, and the point is that more stringent requirements are imposed on resource use. I think we have to do that, and we're going to have to do more of that in the years to come. Then, in addition to that, we can run site reviews and systematically take care of all the areas where there is room for improvement, and I want to discuss that more than want to discuss further with SV.
ParlaMint-NO_2016-03-30.ana.ud2203e400	Let's go to the next main question.
