Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7908	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7920	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	JovanovićMiloš	Jovanović, Miloš	M	1953	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7921	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7922	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	BorićAdem	Borić, Adem	M	1948	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7923	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7924	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	BilbijaŽeljko	Bilbija, Željko	M	1964	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7925	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7926	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	MP	notMinister	K-SNSD	Koalicija Savez nezavisnih socijaldemokrata	Coalition	Right	MirjanićŽeljko	Mirjanić, Željko	M	1959	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7927	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7928	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	MP	notMinister	K-SNSD	Koalicija Savez nezavisnih socijaldemokrata	Coalition	Right	MirjanićŽeljko	Mirjanić, Željko	M	1959	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7929	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
