ParlaMint-NO_2013-10-23.ana.ud1862e15	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2013-10-23.ana.ud1862e164	In the election campaign, today's government parties presented a wide range of very expensive and ambitious election vows. Many of them can't be found in the government platform they've created after the election. One example is that throughout the election campaign — and for a long time also before the elections — they promised to reduce the equity requirement for housing for young housing buyers. I understand that in those areas where the parties disagree, you might be able to negotiate election vows in government negotiations. But both parties agreed on this before the elections. Nevertheless, you have not followed it up. I actually think it is good for the country that they are more responsible now after the elections. It is about stability, security, in the housing market and throughout our banking system, and about not overseeing the kind of professional requirements. But I also agree with an overall housing industry that says that it is a mockery of all the young people who voted on these parties, that the few days after the election go away from such a concrete election vow. My question is, what has changed from you promised this a few days before the election, to the days after the election, since you go away from this election promise?
ParlaMint-NO_2013-10-23.ana.ud1862e173	It is not right to say that this is not mentioned in the platform. It's mentioned in the platform. What is mentioned in the platform is that we should ensure that the equity requirement is practised in a flexible way so that it is possible for young people to settle with housing. This means that we are going to be in dialogue with the Financial Supervisory Authority that they need to pay more attention to how the proper banking trade is to be carried out, that a 15 pst. capital requirement cannot be an absolute requirement. When people have the ability to serve their own loan, they should get loans even if they do not have equity at that level. That's a discussion we'll go into. Then it's like Jens Stoltenberg and I have an experience in common, namely that we both went out of the education system about the time we had the greatest unemployment and the biggest housing crack. We know it's important to make sure that people don't borrow more than they can handle. We have disagreed that it is done through an absolute 15 p.m. claim, it is the banking trade that is done in each bank that has to take responsibility for assessing what the customer is tolerating. We shall have a dialogue with the Financial Supervisory Authority on this. Then we're going to consider whether we can get to what we said in the election campaign, that an equity requirement will be lowered for very many groups.
ParlaMint-NO_2013-10-23.ana.ud1862e181	There is no doubt that what the government is now doing is going away from what you promised before the elections. Then you promised to lower the claim. What is on the platform is a flexible practice. It's already today's practice. Flexibility is already available today, and one can – for example. through additional guarantees – lower the requirement of 15 pst. One goes away from what was said so late as in a press release on 23 August, that the claim should be lowered. It's not followed up. The problem is that this is one of many examples of saying very clear things before the election and saying something else after the election. So a total housing industry agrees with our assessment of this. Another area is road. A great many concrete road projects were promised in addition to the record of our national transport plan. I accept once again that the requirement to remove all the bombs, which one party had, may not be something of – although I see that TV 2 has now made a bomb meter that measures all the tolls that will be required with the new government as well. The problem is that there is now confusion about the new road projects they promised, which they promised together, becoming something of. My question is: are you standing by the concrete road lifts you came with – in addition to the national transport plan – before the elections?
ParlaMint-NO_2013-10-23.ana.ud1862e190	We are in the process of building more roads than the former government provided in the national transport plan. It is not possible to read anything else out of the platform that we have provided. As far as concerns are concerned, it is because the Workers' Party is going to worry about these road projects. It is not that all road projects promised by the Labour Party before the 2005 elections were included in the Soria Moria Declaration, even though other parties agreed on them. There is no tradition that platforms in Norway are so detailed. That's the tradition of showing direction, and then you go through the budget every year. But I can promise Jens Stoltenberg that we're going to build more roads, and we're going to see again the road projects that we've talked about in the election campaign, in the priorities that this government is going to do. Each budget in the years ahead will contribute to more road construction.
ParlaMint-NO_2013-10-23.ana.ud1862e195	I'm not doubting that it's going to be any further. It is also included in the national transport plan presented by this government. But it doesn't keep building any more roads. The crucial thing is to follow up all the concrete road projects that were being run around the country, and it's still unclear whether you're actually going to follow up. Then there is a third promise where there is also uncertainty, but where I hope the government will follow up. It's promised in at least 12 billion. kr more to the hospitals. It is important that hospitals are given predictability. We promised 12 billion. kr more to the hospitals. The right hand side and the progress side said it had to be at least 12 billion. kr, because the automatic financing of commercial hospitals was also to be financed. And because there is uncertainty about that, I ask again if you can confirm that you are living by the promises of increased appropriations for the hospitals that you made before the election.
ParlaMint-NO_2013-10-23.ana.ud1862e202	We stand by our promises that we will bet on the public hospitals. We will return to how much we increase the budget every year. It would have been fun if we had a better starting point with the budget that is at stake now. That's how the Workers' Party promised 12 billion. kr more. If we divide it into four years, that means it should be three billion. kr in the current budget. There it is, 2.4 billion. kr, so the Working Party is 600 million. kr in return for their own election vows, and we understand that we have to cover up for what the Workers' Party itself was unable to prioritise for the hospitals. We have ambitions to do that with the assumptions that lie in any platform, but it depends on the economic development in the future. The harvest budget seems to have a lot of room, but not three billion. kr to growth in health businesses, which would be the logical distribution of the bet when you say 12 billion. DKK in four years.
ParlaMint-NO_2013-10-23.ana.ud1862e207	We've been following up on what we said in our budget. That's so that if we add to $2.6 billion. Every year, we get over 12 billion. Total kr. This is the case, both for national transport plans and other escalation plans, that you do not necessarily take everything for one year. You step up and you have an increase of 2.6 billion. kr per year. It'll bring us over 12 billion. kr in total during that period. As you can see, there are no problems with the budget we have presented. The uncertainty is whether the new government will follow it up. There is also another health issue that concerns me, and that is the issue of regional health businesses. Government acquisition of hospitals has provided much better organisation of our healthcare system. It has provided treatment for far more patients and a better worksharing between hospitals. The new government wants to abolish the system of regions, they want a centralisation of the decisions and that we no longer want a regional anchoring of important decisions in the Norwegian health system. I think that is unfortunate, but it is extra unfortunate that the most important decision-making body in the Norwegian health service is now due to resign for four years. It is an expression of a lack of implementation. It will create an uncertainty throughout the health system that the health system does not need. Is it the case that four years have been planned to set up a new system for decisions in the Norwegian health system?
ParlaMint-NO_2013-10-23.ana.ud1862e216	I think if you multiply 2.6 by 4, you get no more than 12, but Jens Stoltenberg can count on that afterwards. We have been clear on how to manage health businesses and policies in the years to come. It is not that there are several centralised decisions. Our starting point is to decentralize, make sure that individual hospitals make more decisions than at regional level. The important grip to get it done has been talking about for eight years at Stortinget – I'm a little surprised that the Workers' Party has not discovered it. It is that we need to have a national health plan with a completely different piece of governance, on which this room should be included. It is possible that it is centralisation to involve Stortinget more in health policy. I think it's a democratization to do that. The national health plan shall be in place here. When it is in place, we have the governance instrument that will ensure that regional health businesses can gradually be wound up. We hope we can do it in this period. Yesterday the Minister for Health held a meeting with a clear and clear signal: everyone shall continue as before, for the most important thing now is to put in place the national health plan, which shall be the governance instrument to be used by the Stortinge.
ParlaMint-NO_2013-10-23.ana.ud1862e223	The problem is that it is said to replace a system that makes ongoing decisions around Health-Norway with a national health plan. I disagree with that thinking, because I believe it is important that we anchor the decisions in the north, in the west and not all decisions in Oslo. The second is: I mean, if you're going to do that first, you shouldn't have health companies on notice for four years. It creates a decision space. It creates unforeseeable predictability, and it creates a lack of implementation that Norwegian hospitals should be uncertain about what should be the management system for such a long time. To abolish these businesses first, abolish the regions, it should be done quickly, instead of having four years of uncertainty about something as important as how to make decisions in the Norwegian health system.
ParlaMint-NO_2013-10-23.ana.ud1862e230	I allow myself to disagree. It's not going to be a lack of decisions. Both the Ministry of Health and the regional health establishments will follow the guidelines given by the Ministry of Health. We think we're actually able to manage the public sector. It is possible that the outgoing government did not feel that it could control the public sector, and that it therefore became a vacuum if it did not have an extended arm that was given instructions. We have an ambition to have tight governance of regional health companies' decisions. Then the whole goal is to decentralise even more, so that hospitals can develop in cooperation locally and not through a regional distribution of tasks – according to the plan that the Stortinge will adopt in the future, which will tell us about our ambitions in this area, which will provide criteria for quality and how to develop the health sector. I believe that there has been a vacuum in democracy with the model that has been. We need to reintroduce more transparency, more democracy and more local decisions for the development of the health system.
ParlaMint-NO_2013-10-23.ana.ud1862e235	I would also like to take advantage of the opportunity to congratulate Erna Solberg and my dear close to being the country's new Prime Minister. There will be exciting meetings both in the Storting and otherwise in the public vocabulary. As I pointed out yesterday, security and defence policy has a broad consensus area in Stortinget. An important pillar of changing governments has been that international operations should have their place in the UN mandate. State Council Helgesen stressed in yesterday's meeting that it is a conscious choice from the new government that, in its platform, it refers only to international law. The question is: is the Prime Minister agreed with the Prime Minister Helgesen that it may be relevant for Norway to participate in international operations without a UN mandate? In what situations does the Prime Minister see that this may be the case?
ParlaMint-NO_2013-10-23.ana.ud1862e242	First of all, I want to thank you for your congratulations. It's nice. There will be many opportunities for cooperation in the years to come in Stortinget. I heard probably the line change between the councillor Helgesen and Liv Signe Navarsete a little different than the one that was now given. What he said was that this government is based on international law, that the UN is the most important instrument of international law. It's not that it's always just the UN. He did not say that it was relevant for Norway to pursue a different policy or to engage in other conflicts. He noted the importance of international law that the interpretation of international law is not given exclusively to the UN, but what the UN does, and what the Security Council may decide, is the natural interpretation of international law. But in some cases it will, as he does, among other things. the above, be asked for help, and then it will be legitimate to participate in international law. This is primarily an academic discussion. We believe that when you go into conflict areas or other areas, Security Council decisions are the best we can get from those who administer international law today. This is going to be the main line. But we can never say that there will never be a situation like the situation in Kosovo, as a large majority in the United Kingdom agreed that Norway participated.
ParlaMint-NO_2013-10-23.ana.ud1862e249	I thank the Prime Minister for the answer. Unfortunately, the answer does not indicate how the government intends to handle this. What Helgesen said yesterday was that the international court can be and will often be a United Nations mandate, but that also e.g. invitations from third countries will be covered by international law. It opens up a different direction and blurs out what our changing governments have to say to clear lines on this issue. That's why I want to ask the Prime Minister if it's the way Norway has to put soldiers at the disposal, for example. to the EU’s forces, without having a UN mandate.
ParlaMint-NO_2013-10-23.ana.ud1862e257	I actually think it's wise for a country like Norway not to decide 100 pst. for what you do in thoughtful cases in the future. We have said that we must build on international law. It is a clear and clear mandate. The UN is the most important instrument for interpreting it. The main emphasis of what we think will always be that it is the mandate of the Security Council that will be important. Then there may be situations where it would be appropriate to participate without the Security Council having given a clear mandate, or there may be a discussion of how clearly to interpret international law. I believe that in the future we in Norway should have such an opening, just as when we agreed in this big room that we should participate in Kosovo to ensure that it was not ethnic cleansing, despite the fact that the Security Council had not given a clear resolution on it. I believe that the most important thing is to follow the UN, but that we do not always have to lock ourselves up. International law gives other possibilities. They can come.
ParlaMint-NO_2013-10-23.ana.ud1862e262	I would also like to welcome Mrs Solberg to the House of Commons as Prime Minister. We in the Left have great expectations of the job she's going to do. We want her to be happy with that. Norway is a country where many things are going well, as we have said many times in this debate. There are many indicators that indicate that we are doing quite well in a European and global perspective. But we can also see some dark clouds in the horizon. One thing is the enormous oil dependence that Norwegian economy has – depending on one industry, an industry that we know will not last forever, namely the oil and gas industry. Other things are that we do not invest in and invest enough in what are future industries – the jobs we may not yet know can be found. The Prime Minister promised this something in his speech. Does the Prime Minister agree with me that this is one of the major challenges facing the Norwegian economy right now?
ParlaMint-NO_2013-10-23.ana.ud1862e269	Yes, the biggest challenge for long-term development in Norway is to make sure that we have more legs to stand on. We believe that the two-part division of the Norwegian economy is a challenge, especially because one part is so significantly weakened in today's situation. This does not mean that we should weaken the second part, the oil and gas industries, but that means that we need a conscious strategy and policy on how to raise new areas – areas where we are strong, such as the environment. fisheries and maritime industries, but also areas in which we are not so strong, but should become strong, which are technological areas. We should therefore work consciously in research, innovation and framework conditions for Norwegian business, so that we are a country where it is interesting to invest and develop new jobs. Then we have to raise the competence of society as a whole. The environmental aspect is one of the important things. Norway has a great deal of expertise in some technologies that enable us to be world leaders in technology development in the environment as well. That is why we are so concerned that we are going to implement what the four cooperating parties have said about the Technology Fund.
ParlaMint-NO_2013-10-23.ana.ud1862e274	I have two lines -- this is a little unfamiliar, but very funny. The government that went off, in its enthronement, had only an ambition to follow up the climate agreement that was already in the Storting. Nor was it announced that a new climate announcement was requested for Stortinget. But in the agreement that the current government has made with the Christian People's Party and the Left, there are ambitions to strengthen climate reconciliation. Can the Prime Minister say something about progress in the new message, as the outgoing parties clearly have ambitions to do something that they did not have ambitions to do in a few months' time?
ParlaMint-NO_2013-10-23.ana.ud1862e281	It's a little early to make loop notifications for processes. The government has had one ordinary government conference so far and must have some time to change. But we think it's important that we strengthen some of the measures quickly, that is, that we work with the measures, with the effects. Storing messages are important in terms of ambition and political commitment to matters, but the most important thing is that we are actually doing something, and we have ambitions to start doing something quickly. Then we have said that we will come back to Stortinget with one thing. I'm not sure if we can promise to do that during this ageing period. I think it's going to be too much of a status report and too little a clear and clear line in the future, so we're going to need a little bit more time. But we will keep reporting in these areas to the Storting. Then there are some difficult and big issues, such as the CCS questions, where the big project was completed right after the election. That means we have to have a completely different and new strategy on it, in turn, in line with what several opposition parties have said in the past.
ParlaMint-NO_2013-10-23.ana.ud1862e290	I join the congratulations. In the election campaign there was one point in the Progress Party program that got some attention, and as many of us thought was pretty extreme. That is the point where it says that ‘the production of welfare services differs little from other services’. It is a position that is quite fundamentally different from the one on which the Norwegian model is based, namely the recognition that there are some tasks and services that need to be solved differently from others – in short, there is a fundamental difference between caring for our children in kindergarten or caring for our sick, and cutting hair or delivering pizza. To our great surprise, we find the same wording in the government platform. The Government considers initially that the production of welfare services differs little from other services. Does the Prime Minister really think this is the case, or was this a rock-and-lime accident working on the platform?
ParlaMint-NO_2013-10-23.ana.ud1862e297	That sentence emphasizes what I think is important. What is important in the case of public services is that they are of high quality, that they are good, that they are publicly funded and that everyone has access to the services. It's the responsibility of the public. So I believe that different people in different forms of organisation can actually deliver public services in many areas, and I see that the innovation power is growing by the fact that there are more who provide services. I believe that public -- not least where we have large, established forms of organisation within the public -- often enjoy being challenged by others who can think differently and flexibly about how they solve it. Therefore, I am concerned that there will be some offers – e.g. in mental health, e.g. for girls or boys with eating problems — where one sees that others have thought other ways of working with this, which have good results. That's why we need a diversity. That's why I want to go further and say that it's not about the same thing, I want to say that it's actually a goal in itself that it's a dynamic, and that there's someone who delivers because they can think new and different. But access and funding are important to ensure that everyone gets, and that it is good quality. We'll take care of that.
ParlaMint-NO_2013-10-23.ana.ud1862e302	Of course, the Green Party and I will join in the chorus of congratulations and look forward to working with the government from Stortinget. The Prime Minister stressed the very timely competitiveness challenge for the non-oil-powered part of Norwegian industry. From our point of view, this is all the more important as it is a key obstacle to the development of a sustainable and renewable business, which is what Norway needs to do. At the same time, both the right and the left to be very unwilling to address the basic problem, namely the fact that we have an oil-powered business on which it is mainly invested and which is driving up these costs. The state budget of the red-green drive them further up and weakens Norwegian competitiveness. Is the Prime Minister willing to comment on the basic fact that a main effort on oil in Norway continues to weaken the potential for alternative industrial development in Norway?
ParlaMint-NO_2013-10-23.ana.ud1862e309	No, I disagree. I think it must be possible to get two things: it is to maintain a welfare society, to maintain the good society we have today, which is largely linked to the oil-based business life and the income we get from it, while building a stronger other business life. Why do I mean that? Well, because the cost of the conversion that is often prescribed here is too large. It means fewer jobs over a period of time. It means more people who have problems paying their mortgages. That is why I want a gradual shift from so much of our revenue coming from the oil business to another business that can also bear our cost level. The aim must be that the new business also carries our cost level, because if not it means a welfare reduction. That means that we have less room to help the weakest groups of public budgets, and that means that each Nordic will have a poorer welfare base. That is why we have to try to get a task that I know is great and challenging: get a new and stable and good business with a high capacity to bear costs, and at the same time have an oil business.
ParlaMint-NO_2013-10-23.ana.ud1862e314	The cord shift is over.
ParlaMint-NO_2013-10-23.ana.ud1862e317	The election gave us a civil majority and with it a bourgeois government. But if there's something that's obvious in this throne debate, it's that vitality, that energy, the desire to shine out of a new government plurality, is missing. It is so obvious that the Left's parliamentary leader pointed out that it was the opposition leader who had the best mood. I think one of the reasons for this is that the most important project for the new Prime Minister was shipwrecked already in the Nydalen. The goal of forming a four-party government, a majority party government, was simply not possible. The result was a Right Party Minority Government. We have to respect that. We also said in the election campaign that the distance between the center parties, the Christian People's Party and the Left, and the Progress Party was so big that it was hard to imagine how to sit in government together. But there was another clarification in Nydalen, and it was that in the election between forming a minority government with the Advance Party or a minority government with the Christian People's Party and the Left, Erna Solberg chose the Advance Party. I don't think it would have been difficult to get a majority in the Christian People's Party and the Left's big groups for a Right-Christian People's Party-Left government, but that was never what they were confronted with, because the Right had chosen the Advance Party. That means that we've now got the most right-wing government in a very long time, and a government that is far from the center of gravity that exists in this room. Of course, the government must be measured by what they do. One week after a government change is a little early to fix the status. However, they shall be measured against something; they shall be measured against the promises they made before the election and shall be measured against the situation they took over. It was said yesterday, and it can be repeated today: never has any government taken over Norway in a better economic condition. Never before have more people been in employment in Norway, and never before has GDP been so high in Norway. We have a record business life, and most of the 350 000 more jobs have come outside the oil and gas sector. Norwegian business and Norwegian economy are bottom-solid. Therefore, there are no outside reasons why the Right Party and the Advance Party might be running away from their election vows. On the contrary, the promises have been based on the results that we have created. Norwegian school is in strong progress, we have better results, more resources, more teachers. Now we're going to have a change of pace in the bet. Training of teachers shall be doubled. NTP, where we were going to spend 150 billion. kr more over a 10-year period, shall be further strengthened. The share of tolls in new projects shall be reduced. The health area shall receive at least 12 billion during the period. kr more. After listening to the Prime Minister's explanation that this can be difficult – namely that we have not given help in the state budget we submitted for 2014 – let us clarify one thing: not one penny of the state budget for 2014 has been used, it starts to be used on 1 January. The new government is free to redeploy about everything in that budget if they want it – and has a majority for it. So do not use as an excuse that we have submitted a budget – you are free to move this money as you wish. In the care sector, we received 10 more employees each day in the previous eight-year period. Now the bet has to be increased. 250,000 new jobs in private businesses – we need to increase our growth and competitiveness. In addition, we're going to have 25 to 100 billion. in tax cuts, and the rules of action shall remain in force. We said at the election that this was not related, that this was not possible to combine. Now Prime Minister Solberg – The Right Party and the Advance Party – has the opportunity to prove that it was them and not us who were right. But now we don't get any answers. We ask if the government stands by the promise to lower the equity requirement – we do not get an answer. We're asking if it's up to the NTP promises – we're not getting any answers. We ask if it stands by the promise in the area of health – we don't get any answers. The main choices are the basic principles of the Norwegian model. The Prime Minister spoke about trust in Norwegian society. Studies show that we have record high international trust. Why do we have that? It's because we've organized our society together, because there's little difference between people, because we go into one common, good, public school, because we fund the welfare systems together. If the new government shakes by these basic principles, it also shakes the confidence and solidarity of the Norwegian people.
